Debata online: Średnia ważona — czy na jej podstawie można i należy ustalać oceny klasyfikacyjne?
🔗 https://www.youtube.com/watch?v=X-YBvc93g2s
GO (Gabriela Olszowska)
AKJ (Agnieszka Krokos-Janczyło)
KMM (Krzysztof M. Maj)
DS (Daniel Sjargi, Stowarzyszenie Umarłych Statutów)
JS (Jolanta Skrzypczyńska)

202:  S03 - Bardzo proszę.
2923:  JS - bliskie, więc jakby no w jakiś sposób może to było zaszufladkowanie, może trzeba od tego odejść, ale wydaje mi się, że to pomaga też uczniom, którzy no potrzebują jakichś ram, bo i uczniowie może na szczęście w szkole podstawowej, ale rodzice też często wyszli ze szkoły, gdzie to ocenianie było takie anonimne.
2947:  JS - Dziękuję.
2949:  S05 - W temacie tego, czy te przedsięwzięcia
2951:  S05 - Bardzo proszę o wypowiedź.
2956:  KMM - To ja może odbyłam się do tego, co padło na czacie, bo pani Małgorzata Wyspiańska napisała, że ale jak to zrobić przy 34-osobowej klasie, to odsyłam do mojej rozmowy z Andą Szulc, to po pierwsze na moim kanale, która robi to przy 40-osobowej klasie i wystawia oceny opisowe.
2970:  KMM - Robi się to bardzo prosto, mianowicie redukuje się liczbę kijów w miejsce marchewek.
2977:  KMM - Wystarczy jedna marchewka, a można odjąć 40 kijów w postaci klasówek, kartkówek i tak dalej, które obciążają przesadnie nauczycieli.
2984:  KMM - Mogę też powiedzieć z własnego doświadczenia człowieka wystawiającego oceny opisowe już od jakiegoś czasu na uczelni, gdzie podobno tego się nie da zrobić, ponieważ jest system, gdzie się nie da jej wpisać.
2993:  KMM - Cóż, da się to zrobić.
2994:  KMM - Po prostu trzeba te oceny opisowe wysłać do studentów albo mailem, albo jakimś innym komunikatorem.
3002:  KMM - I więcej czasu, przysięgam, z ręką na sercu zajęło mi sprawdzanie, ile procent jest na daną ocenę w zestawieniu z wymaganiami klasyfikacyjnymi, które są w tabelce.
3013:  KMM - niż napisanie akapitu od samego siebie.
3016:  KMM - Ponieważ prawda jest taka, że my sami siebie oszukujemy, że te wszystkie oceny one są z sufitu.
3021:  KMM - Nieprawda, są tabele konkretne, krajowe ramy kwalifikacji wprowadzone niestety w którymś momencie i one wszystkie dyktują bardzo często zakresy umiejętności.
3031:  KMM - które są następnie przepisywane na formę ocenową.
3033:  KMM - Bardzo dużo nauczycieli też wprowadza własne statuty, w szkole definiują na przykład, że od iluś procentu jest plus dostatecznie i tak dalej, i tak dalej.
3040:  KMM - Na mojej własnej uczelni, którą uwielbiam i wspieram w każdym momencie, jest ten rak w postaci tabelki, od 30 iluś tam procent taka ocena, od 40 inna ocena.
3048:  KMM - I to jest statut, który teoretycznie obowiązuje każdego.
3052:  KMM - Zmierzam krótko mówiąc do tego, że my nie jesteśmy w stanie za bardzo uniknąć tego, że prędzej czy później musimy mieć jakiś dokument, w którym będziemy pisali wytyczne.
3060:  KMM - Problem polega na tym, że te wytyczne, te minima i maksima, które będziemy ustalali, są totalnie aprioryczne.
3066:  KMM - Każdy, kto kiedykolwiek układał program własnego przedmiotu, dobrze wie, że w którymś momencie, jak przychodzi do wymyślenia tego, co trzeba realnie wiedzieć, a czego nie trzeba wiedzieć, podejmuje takie aprioryczne decyzje.
3076:  KMM - I ktoś inny, który prowadził ten przedmiot, podjąłby inne decyzje.
3079:  KMM - Co tylko pokazuje, że my udajemy, że jesteśmy w stanie zdezindywidualizować proces nauczania i stworzyć system, bo tak naprawdę nie umiemy.
3088:  KMM - I jedynym sposobem w moim przekonaniu powrotu do ocen opisowych i do feedbacku, który jest wpisany w prawie oświatowym, dodawania informacji zwrotnej, to redukcja liczby ocen.
3099:  KMM - W związku z powyższym osobiście uważam, że gdyby powstał taki edykt ministerialny, który zakazywałby wyliczania średniej ocen, uniemożliwiałby wykonywanie także operacji na średnich ważonych, to wówczas nauczyciele siłą rzeczy by zredukowali liczbę ocen, no bo każdy dąży do tego, żeby mieć jak najmniej pracy i żeby wykonywać objawy jak najefektywniej i w związku z powyższym wygospodarowałby się rednerwy czasowe, których nie ma.
3127:  DS - Bardzo proszę o odpowiedź, Panią Agnieszkę Krokos-Jemczyło.
3130:  AKJ - To wszystko, o czym tutaj mówimy, pewnie gdzieś tam wypośrodkowując, macie Państwo rację.
3135:  AKJ - Natomiast ja bym sprowadziła to do takiego wspólnego mianownika.
3138:  AKJ - Szkoła, zadaniem szkoły jest m.in.
3141:  AKJ - ocenianie.
3142:  AKJ - Tak mówi prawo i będę na tym stała.
3146:  AKJ - Jeśli chodzi o ocenianie, to ocenianiu podlegają osiągnięcia edukacyjne ucznia.
3151:  AKJ - Tutaj wcześniej Pani Gabriela mówiła o różnych formach.
3154:  AKJ - Nie mamy innej możliwości, jak w pewne formy niestety wpiąć to ocenianie.
3159:  AKJ - Ponieważ jak inaczej możemy sprawdzić?
3163:  AKJ - To zawsze jest jakaś wymierna i jakaś wypadkowa.
3167:  AKJ - Jeśli chodzi o sposoby oceniania i to, jak ocenia nauczyciel i co bierze pod uwagę, to do niedawna pracując cały czas w szkole i też ucząc,
3177:  AKJ - brałam pod uwagę te osiągnięcia ucznia, czyli to, jaki proces musiał, co uczeń wykonał, jak wychodzi tak, jak wyszła jego praca, no i ten wymierny efekt w postaci oceny.
3190:  AKJ - Proszę Państwa, oczekiwania niestety społeczne są takie, że my musimy oceniać, bo to jest informacja zwrotna i też jakby nie było,
3203:  AKJ - Dajemy informację, czy to jest ocena opisowa, czy ocena w innej postaci, ale ukierunkowuje, co dziecko robi dobrze, z czym ma trudności i w którym kierunku powinno pójść.
3213:  AKJ - Ja bym stała na straży, że jeżeli dziecko otrzymuje za klasówkę, przykładowo to, o czym tutaj wspominaliśmy wszyscy, ocenę dobrą, no to partię materiału, jaką jest sprawdzian z pewnego działu, ta forma,
3228:  AKJ - jest informacją zwrotną.
3231:  AKJ - I tutaj rodzice też, jako prawni opiekunowie, jako ci, którzy odpowiadają za dziecko, mają informację, jak to wygląda, jaki jest proces edukacyjny.
3243:  AKJ - Poza tym, proszę Państwa, my musimy porządkować w szkolnictwie pewne rzeczy i ja nie jestem za tym, żeby dawać albo kij, albo tylko marchewkę, tylko tak wygląda cały system.
3255:  AKJ - I edukacja ma to do siebie, że tak jak wspomniałam, jest to pewien proces i raz jest lepiej, raz jest gorzej.
3261:  AKJ - Ja pozwolę sobie zacytować księdza Twartowskiego, który był patronem szkoły, w której pracowałam.
3267:  AKJ - Musi być nie dobrze, żeby było dobrze.
3271:  AKJ - I wydaje mi się, że to jest taka konkluzja tego, że no proszę Państwa, no niestety oceniać nikt też nie lubi, ale musi.
3279:  AKJ - Odlegać ocenie no też nie do końca, ale średnia ważona normuje pewne rzeczy.
3285:  AKJ - Ja nie mówię, że może ona jest idealna, bo chyba nie ma idealnego sposobu oceniania.
3290:  AKJ - Natomiast normuje pewne rzeczy i porządkuje.
3293:  AKJ - I to nie jest też tak, że nauczyciel jest jakimś kalkulatorem, że nie wie co czyni.
3299:  AKJ - Zawsze jest
3301:  AKJ - jak jest statut szkoły, jest wewnątrzszkolny system oceniania, jest jeszcze może być przedmiotowy system oceniania, gdzie nauczyciel jako specjalista swego przedmiotu ma możliwość dodania od siebie pewnych kwestii.
3314:  AKJ - Nie umniejszałabym tej pozycji takiej nauczycielowi, że no nie do końca jakby jest świadomy pewnych rzeczy.
3320:  AKJ - Ja będę stała na straży i wierzę głęboko, że wie, w jaki sposób wykonywać swoją pracę najlepiej.
3326:  AKJ - Dziękuję bardzo.
3328:  S05 - Dziękuję.
3329:  S05 - Teraz Pani Gabriela Olszyk.
3332:  GO - Ale ja coś mam powiedzieć?
3335:  GO - No ja absolutnie jeszcze raz podkreślam, jest to droga donikąd.
3341:  GO - Jeszcze raz podkreślam, że my mamy myśleć wymaganiami edukacyjnymi.
3347:  GO - Problem w tym, że mało kto umie je w Polsce napisać, stworzyć, żeby były funkcjonalne.
3354:  GO - Myśleć wymaganiami, a nie formami sprawdzania wiedzy.
3358:  GO - Jeżeli my na mocy artykułu 12 ustawy karta nauczyciela mamy znać najnowsze to polecam kognitywistykę.
3368:  GO - To, czego mnie nie uczono, bo ten dział nauki, ten nurt naukowy się rozwijał.
3376:  GO - I tam jest wprost powiedziane, jak się człowiek uczy.
3380:  GO - I że owszem, mogą być stopnie, jeżeli komuś pomagają stopnie, ale te stopnie można wyrażać różnie.
3387:  GO - I tutaj wiem, że pan doktor Maj hoduje opisowemu.
3393:  GO - Ja jestem na przykład miłośnikiem słownego oceniania.
3396:  GO - Co by było, gdyby, ponieważ granice są naprawdę nieostre, my naprawdę nie mamy żadnej pewności, że umie i umie na 100%, z tymi procentami trzeba bardzo uważać.
3408:  GO - Wszystkie skale tylko procentowe są naruszeniem technologii oceniania, mówię tylko procentowe.
3416:  GO - W związku z tym, proszę Państwa, moim marzeniem jest, na szczęście można to zrobić, bo prawo dopuszcza, taka skala, że uczeń zawsze coś robi, uczeń często coś robi, czasami coś robi, rzadko coś robi, nigdy czegoś nie robi.
3433:  GO - Oczywiście można się uprościć do trzech.
3435:  GO - bo i takie są, przypominam Estonia, zawsze uczeń robi, czasami robi, nie robi.
3442:  GO - I ta skala trzy elementowa jest absolutnie wystarczająca, żeby udzielić informacji zwrotnej.
3450:  GO - I znowu się tutaj do pana doktora Maja uśmiechnę, ileż to czasu oszczędza nauczycielowi.
3459:  GO - Proszę mi wierzyć, trzy, nikomu jeszcze niczego nie powiedziało, pięć, jeszcze nigdy, żeby jeszcze nauczyciele wiedzieli, co to znaczy spełnienie wymagania edukacyjnego w podstawowym stopniu, co to znaczy stosowanie wiedzy zgodnie z algorytmem, wykraczanie i tak dalej, i jak się przyporządkowuje skalę od 1 do 6 do określonych wymagań.
3487:  GO - Jeszcze raz podkreślam, większości oceniają intuicyjnie, jak się podoba, wahania emocjonalne bardzo mocno wpływają, to ocenianie, czy też ocenianie z wagami jest obłożone ogromnym błędem, czyli tak zwanym widzimisiem.
3509:  GO - Tyle mam do powiedzenia, posługujmy się wymaganiami edukacyjnymi.
3515:  DS - Dziękuję serdecznie i powracamy do pani Agnieszki Krokos-Męczyła.
3520:  AKJ - Ja bym jednak skupiła się przede wszystkim na tym, że to co mówi też prawo i w kręgu czego musimy się tutaj obracać.
3531:  AKJ - Proszę Państwa, ja powiem tak.
3534:  AKJ - Jeżeli mówimy o artykułach, to ocena musi być wyrażona cyfrą od 1 do 6, jeśli chodzi o ocenę śródroczną, końcowo-roczną.
3543:  AKJ - W ciągu semestru ocenianie ma ucznia zmotywować, to po pierwsze, i powiedziane jest w jaki sposób, czy pozytywny, czy negatywny.
3551:  AKJ - I to, jaką drogę obierze nauczyciel, to tutaj już z całym szacunkiem, ale jakby jest wola nauczyciela.
3559:  AKJ - Poza tym młody człowiek musi mieć informację zwrotną, co umie, a czego nie umie.
3565:  AKJ - Jeżeli, tak uważam, otrzyma informację, robi, nie robi, być może robi, trochę nie robi,
3572:  AKJ - To nie jest jakaś wymierna.
3574:  AKJ - Ocena jest informacją zwrotną.
3577:  AKJ - I jeżeli jest w postaci cyfry, jeżeli jest jeszcze do tego wyważone, czyli pewne umiejętności zostały ocenione w postaci formy, i to jest czy klasówka, czy kartkówka, to wydaje mi się, że jest to zasadne.
3591:  AKJ - I tutaj...
3592:  AKJ - O takim widzimisie wydaje mi się, że chyba niekoniecznie.
3598:  AKJ - Tak z doświadczenia, chociaż może tak jest, nie wiem.
3602:  AKJ - Natomiast takich doświadczeń nie mam, nie spotkałam się, ponieważ jeżeli oceniamy przykładowo sprawdzian, no wiadomo, że to są punkty, jest do tego jakiś model odpowiedzi, to nie jest żadne widzimisie.
3613:  AKJ - Nauczyciel pracuje też na pewnym materiale.
3617:  AKJ - I będę powtarzała to, co powiedziałam, że taka praca samodzielna ucznia jest bardzo ważna i to jest praca samodzielna ucznia.
3625:  AKJ - Natomiast, proszę Państwa, dziecko ma możliwość wykonywania dodatkowych prac.
3630:  AKJ - To, co lubi, w czym jest dobre, w czym jest świetne.
3633:  AKJ - I tak jest w szkole.
3635:  AKJ - Zgłasza się, chce robić referat, chce iść na konkurs, chce wziąć udział w olimpiadzie, chce poprowadzić lekcje, chce zrobić dodatkową pracę domową.
3646:  AKJ - I za to wszystko, jeśli jest taka wola, oczywiście otrzymuje dodatkową ocenę, która jest przewidziana w statucie, oczywiście, bo to musi być zgodne z prawem, i wewnątrzkolnym systemie oceniania.
3659:  AKJ - Informacja zwrotna jest niezwykle ważna, ponieważ normalizuje pewne rzeczy i też systematyzuje pewne rzeczy.
3667:  AKJ - Dlatego uważam, że w postaci oceny, poza tym
3672:  AKJ - Któż z nas, stawiam takie pytanie, nie przekłada sobie na cyfry oceny?
3678:  AKJ - Jeżeli słyszymy, że ktoś na 30%, na 20%, no to być może jest to dla mnie nowością i może skłaniam się do jakiegoś myślenia.
3689:  AKJ - Natomiast tak jak mówię, moje doświadczenie jako nauczyciel, jako dyrektor średnia marzona na pewno wspomogła i jakby usystematyzowała pewne rzeczy.
3701:  AKJ - Dziękuję.
3702:  DS - Dziękuję serdecznie.
3703:  DS - Proszę o zabranie głosu Pana Krzysztofa Maja.
3706:  KMM - Mój argument zwykle jest taki sam, to znaczy prędzej czy później my musimy przepisywać te oceny na formę słowną.
3712:  KMM - To jest też argument, który teraz powtarzam z dyskusji, która się na czacie odbywała.
3717:  KMM - Mianowicie wydaje mi się, że do tego służy wywiadówka, żeby przeszczepić oceny, czy transponować te cyfrowe, które nic nie mówią rodzicom, na słowne.
3727:  KMM - I do tego służy słynne
3728:  KMM - Słynna lekcja z poprawianiem zadań domowych, ta mnie bawi niesamowicie, czy poprawia na niej klasówek.
3734:  KMM - Jakbyśmy sobie zsumowali, biorąc pod uwagę liczbę klasówek i sprawdzianów, wszystkie lekcje w ciągu roku, które są mi trężone na to, podejrzewam, to jest mój strzał, ale podejrzewam, że to będzie od 10 do 15 godzin lekcyjnych na przedmiot.
3747:  KMM - To i tak jest moim zdaniem ostrożny szacunek.
3750:  KMM - Bazuję w tym momencie i na swoich doświadczeniach i na tym, jak to wyglądało, jak prowadziłem praktyki zawodowe w szkole i do czego mnie zmuszano, bo też zmuszano mnie do takiego stylu pracy, nie akceptując zupełnie innego.
3762:  KMM - I wymuszano na mnie także pracę z poręcznikiem metodycznym, czego nie wybaczę.
3766:  KMM - ludziom, którzy mi to kazali zrobić.
3769:  KMM - W każdym razie zmierzam do tego, że fakt, iż takie w ogóle jednostki lekcyjne powstały, dowodzi tego, że uczeń przychodzi i on nie wie, co się stało, nie wie, gdzie popełnił błąd, nie rozumie bardzo często, gdzie popełnił błąd i nie jest prawdą, że to dotyczy tylko języka polskiego, ponieważ tak samo można mieć w przypadku chemii.
3784:  KMM - Ja pamiętam, że zrozumiałem chemię w momencie, w którym miałem
3787:  KMM - trzy godziny korepetycji z doktorką z AGH-u, natomiast nie rozumiałem jej przez cały semestr dostawania ocen dostatecznych, ponieważ nie wiedziałem, co się dzieje, nie wiedziałem, czego nie rozumiem.
3799:  KMM - Więc feedback jest absolutnie bezcenny i biorąc pod uwagę, że polskie prawo daje nam możliwość wystawiania stopnia wyrażonego cyfrą tylko na koniec, to nie korzystać z tego jest w moim przekonaniu grzechem, cały czas powtarzam i tutaj się zgadzam w 100% z dr Olszewską, w realiach, w których powtarzamy, że nauczyciele nie mają czasu.
3815:  KMM - Nie ma osoby, która by zgodziła się co do dwóch tez, że nauczyciele mają za dużo czasu i za dużo pieniędzy w Polsce.
3822:  KMM - Więc powinniśmy rozwiązywać nie tylko ten drugi problem, ale także ten pierwszy.
3826:  KMM - Bo wydaje mi się, że jedną z tych rzeczy, która konsumuje zdecydowanie za dużo tego czasu jest obsesja tych nieszczęsnych, a nigdzie nie, co też doktor Leszczewska podkreśla, nigdzie nie regulaminowo,
3838:  KMM - wyrażone, ocen cząstkowych, które następnie mają być jakoś zsumowane i dzielone i tak dalej i tak dalej.
3843:  KMM - Już pomijam fakt, że w moim przekonaniu sprawia to, że jeżeli mamy ten ważny przedmiot, któremu przypisujemy jakąś wagę, albo ważny egzamin, któremu przypisujemy większą wagę i wtedy akurat okoliczności psychofizyczne ucznia nie pozwolą, żeby było w porządku, to ta waga jest przypisywana na wyrost.
3861:  GO - Ja pozwolę sobie, przepraszam Panie Danielu, powiedzieć, że od 25 lat nie ma ocen cząstkowych.
3867:  GO - To, co jest w statutach, to jest osobna sprawa i tym pewno będziemy się zajmować.
3874:  GO - Natomiast niektórzy, to są oceny bieżące i sama nazwa bieżącej pokazuje podejście procesualne.
3880:  GO - To jest zupełnie inne myślenie o uczeniu się.
3886:  GO - Przepraszam.
3887:  DS - Dziękuję za ten dodatkowy komentarz również.
3890:  DS - Bardzo proszę o zabranie głosu panią kurator Jolantę Szczypińską.
3900:  JS - Nie słyszymy Jolu.
3901:  JS - Jak pójdą na studia, to będą już wiedzieli, jakim średnim liczą na koniec studiów.
3908:  JS - Bo na studiach pan Krzysztof powiedział, że tak się liczy, prawda?
3913:  JS - To tak jakby pół żartu, pół serio.
3915:  JS - Natomiast ponieważ skłaniam się od pewnego czasu do tego właśnie oceniania kształtującego, na jednym ze szkoleń dowiedziałam się, bo uczenie się uczniów jest procesem, ale uczenie się nauczycieli również jest pewnym procesem, że jeżeli wystawiam ocenę, bo
3936:  JS - Uważałam, że oddając klasówkę, z której wystawiłam ocenę i dałam komentarz do zadania, na przykład źle przybliżone, to ja dam informację zwrotną.
3947:  JS - I tam się dowiedziałam, że informacja zwrotna, w której jest ocena, tak naprawdę nie jest informacją zwrotną, ponieważ nasz mózg
3955:  JS - zakoduje ocenę, a nie to, że on źle przybliżył w tym zadaniu.
3960:  JS - I że jeżeli stosujemy informację zwrotną, to tylko i wyłącznie możemy używać tych sformułowań.
3966:  JS - Tego nie wiesz, nie zrobiłeś, nie pamiętasz, to musisz uzupełnić.
3970:  JS - Czyli nie możemy stawiać oceny.
3973:  JS - I tutaj ja myślę, że jednak...
3976:  JS - w stronę, żeby znaleźć jakiś sposób oceniania, który będzie jak najbardziej obiektywny i najwięcej tej informacji uczniowi dawał, co on już osiągnął, a co jeszcze musi ewentualnie uzupełnić, nadrobić.
3992:  JS - Natomiast będzie to na pewno proces i na pewno nie wiem, czy jest ideał oceniania, no ale oczywiście powinniśmy próbować do niego dążyć.
4002:  JS - Dziękuję.
4004:  DS - Bardzo proszę o kolejne pytania.
4007:  DS - Agnieszku Krokost-Ejemczyło.
4010:  AKJ - To znaczy ja się przychylę do tego, co powiedziała przedmówczyni, że oczywiście jest to jakiś proces i idealnego pewnie systemu nie ma.
4016:  AKJ - Dlaczego nie ma idealnego systemu?
4018:  AKJ - Bo proszę Państwa, kiedy system będzie działał na korzyść i będzie to ocena bardzo dobra i będzie to ocena, z której jesteśmy zadowoleni, to cały system oceniania, powiemy, że jest OK.
4027:  AKJ - I tak przede wszystkim robią też rodzice bardzo często.
4031:  AKJ - Natomiast jeśli pojawia się ocena negatywna, jest jakiś bunt i rodzi w nas niezadowolenie.
4039:  AKJ - Ocenianie samo w sobie jest bardzo trudne, natomiast tak jak powiedziałam, ja jestem zwolenniczką tego, żeby pewne rzeczy normalizować i pewne rzeczy ukierunkowywać.
4049:  AKJ - Ta informacja zwrotna, o której rozmawiamy, mówić o języka polskiego, sprawdzając chociażby taką formę jak wypracowanie,
4058:  AKJ - czy jakkolwiek to nazwać, zawsze pisałam komentarze, jakie się pojawiały, podkreślałam, pisałam komentarz, jaki to jest błąd i jak to należy poprawić.
4067:  AKJ - Zawsze po każdym sprawdzianie było tzw.
4069:  AKJ - omówienie sprawdzianu i najczęściej pojawiające się błędy.
4074:  AKJ - Ponieważ ten proces edukacyjny, dydaktyczny, jeżeli mamy jakikolwiek sprawdzian, to też jest informacja zwrotna nauczycielowi, co powinien poprawić, albo z czym klasa sobie nie radzi, albo z czym dziecko ma trudność.
4086:  AKJ - Oczywiście ta indywidualizacja pracy z uczniem to jest kolejny aspekt i to, o czym też mówi Pan Krzysztof Maj, nauczyciele nie mają tego czasu.
4096:  AKJ - bo zawód nauczyciela jest tak czasochłonny i pracochłonny, a wiem co mówię, że tak jak tutaj przykole się jak najbardziej, że tego czasu nie mają.
4105:  AKJ - Natomiast wydaje mi się, że kartkówki, klasówki, prace klasowe, coś co nauczyciel też musi sprawdzić w domu, to też jest jego praca.
4115:  AKJ - I skoro poświęca na to czas, stawiając ocenę, no to wykonał pracę i też udzielił informacji, jak ten etap edukacyjny przebiega i jakbyśmy nazwali, czy proces, czy etap, czy edukacja, cokolwiek, zawsze każdy uczeń i jego rodzic, szczególnie w szkołach podstawowych, będą oczekiwać informacji zwrotnej.
4139:  AKJ - w postaci tego, jaki jest postęp edukacyjny.
4143:  AKJ - Tak mi się wydaje.
4144:  AKJ - Z tym się spotykałam na co dzień.
4148:  AKJ - I tak wygląda to z praktycznego punktu widzenia.
4150:  AKJ - Natomiast tak, jeśli chodzi o zasadność, idealny sposób, przychylam się do słów pani Joli, że no niestety
4160:  AKJ - Pewnie idealnego systemu nie ma, bo czy jest to ocenianie opisowe tak zwane, no też spotykałam się jako dyrektor, że przychodzi rodzic i mówi, no dobrze, ale ja tak do końca nie rozumiem.
4173:  AKJ - Więc proszę Państwa, to jest taka różnorodność, która jest, natomiast trzeba pewne rzeczy...
4182:  AKJ - usystematyzować i obierać w pewne formy, żebyśmy mieli do czego się odnieść.
4186:  AKJ - Ja tylko powiem, że egzamin końcowy, czy matura, czy egzamin w tej chwili kończący klasę ósmą, no też kończy się jakimś wynikiem, też jakąś oceną.
4194:  AKJ - Dziękuję bardzo.
4196:  DS - I bardzo proszę o kolejny głos, panią doktor Gabrielę Olszowską.
4200:  GO - Ja chciałabym się odnieść do takiej sprawy, jak
4209:  GO - fakt, że stopnie nam coś mówią.
4213:  GO - Niczego nam nie mówią, oprócz tego, że jak jest wyższy stopień, to chyba coś bardziej mi lepiej idzie, a jak gorszy, to mogłem to umieć, ale nie wyszło, też tak może być.
4224:  GO - Chciałabym zwrócić uwagę na to, że stopnie szkolne
4233:  GO - są jakby to przereklamowane i informację zwrotną można udzielać zupełnie w inny sposób, tutaj zresztą panie to mówiły, do czego zmierzam.
4248:  GO - My nie pracujemy generalnie z kryteriami oceniania.
4253:  GO - nie oddajemy.
4254:  GO - Ocenianie tradycyjne jest takim ocenianiem, które uczy, żeby cię ocenić.
4262:  GO - Ocenianie formatywne, o którym tutaj Jola, my się znamy, więc pozwolą państwo, że sobie skróciłam dystans do pani kurator Skrzypczyńskiej, mówiła o ocenianiu wspierającym czy formatywnym, odwraca sytuację.
4279:  GO - równoważy sytuację nauczyciela i ucznia i pokazuje, proszę Państwa, nie nauczanie dla oceniania, a ocenianie dla uczenia.
4292:  GO - My musimy iść w kierunku jeszcze dalej i to pokazują najnowsze badania, a mianowicie ocenianie dla uczenia się.
4304:  GO - Jeżeli dasz uczniowi, nawet maluchowi,
4310:  GO - pracę poprawioną z komentarzami, dwoma, trzema, nie za dużo, bo to musi być bardzo wyważone.
4318:  GO - Do tego proste kryteria.
4320:  GO - Sprawdź się.
4324:  GO - dokąd doszedłeś, to to jest dopiero oddanie formy oceniania uczniowi.
4333:  GO - Ja bardzo często stosowałam to w klasach starszych, także w technikum, gdzie pracowałam.
4339:  GO - Uczeń dostawał swoje kryteria, znaczy te same kryteria, co ja, tylko nie spisane i musiał przelecieć przez pracę
4349:  GO - Komentarze muszą być oszczędne, nie może być za dużo, tu się zgadzam z uwagą pani kurator Skrzypczyńskiej i dostawał swoje kryteria, musiał się ocenić, a potem dostał moje kryteria, gdzie ja naniosłam znaki.
4364:  GO - Po dwóch razach była pełna zgodność z rozpoznaniem.
4370:  GO - I uczeń się nie pytał, czy ma 3, czy ma 4, czy ma 5, tylko w jaki sposób wypełnił kryterium.
4377:  GO - My musimy też zresztą wiedzieć, co to jest kryterium.
4379:  GO - Kryterium to jest stopień wypełnienia wymagania edukacyjnego.
4385:  GO - Jeszcze raz mówię, kluczem jest wymaganie edukacyjne.
4390:  GO - Tyle, dziękuję.
4391:  GO - Dziękuję.
4393:  DS - Obecnie nie widzę zgłoszeń do kolejnych wypowiedzi, w związku z czym pozwolę sobie przytoczyć jedno z pytań internautów.
4401:  DS - Pani Agata Ronaldowska-Kubis na Facebooku pisze następująco.
4406:  DS - Nauczyciele nie rozumieją tego, czym są wymagania edukacyjne na poszczególne oceny.
4411:  DS - Gdyby rozumieli, to nikomu do głowy nie przyszłoby stosowanie średniej ważonej.
4417:  DS - Bardzo proszę tutaj jeszcze o krótki komentarz panią Gabrielę Olszowską,
4421:  DS - A jeżeli ktoś z Państwa jeszcze chciałby się odnieść do tego komentarza, bardzo proszę tutaj o funkcyjne podniesienie ręki.
4427:  GO - My mamy napisane, że nauczyciel prezentuje na początku roku szkolnego wymagania edukacyjne niezbędne.
4436:  GO - Niezbędne.
4438:  GO - Najczęściej mamy książeczki z wydawnictw, 50-stronicowe, zdetalizowane do absurdu.
4445:  GO - Niezbędne.
4447:  GO - Niezbędne, żeby kontynuować, bo to trzeba rozumieć, co jest powiedziane, co to znaczy niezbędność.
4454:  GO - I tak jak zauważyła tutaj pani wnosząca tę uwagę, my musimy spopularyzować wymagania edukacyjne.
4463:  GO - Po co one są?
4464:  GO - Na początku marca będzie konferencja Stowarzyszenia Kadry Kierowniczej Oświaty.
4468:  GO - Będziemy prowadzić liczne zajęcia pokazujące, do czego służą wymagania edukacyjne.
4475:  GO - Uczeń charakteryzuje linię brzegową i proszę Państwa stopień wypełnienia tej charakterystyki dopiero pokazuje, czy charakteryzuje, czy nie charakteryzuje, to jest zresztą bardzo tak zwana wysoka umiejętność.
4490:  GO - Przepraszam, nie wchodzę, nie tłumaczę Państwu, nieelegancko się zachowałam, co to znaczy umiejętność wysoka.
4496:  GO - My musimy przejść na uczenie umiejętności w połączeniu z wiedzą i potem ewentualnie rozpoznawać stopień wypełnienia, to to jest tradycyjne podejście, oddać uczniowi i oddawać jak najczęściej uczniowi, by wiedział, by rozumiał ile zrobił.
4519:  GO - długo by można było o tym gadać faktycznie jesteśmy na przykład w moim programie w pracy nadzorze mamy popularyzację wymagań uczenie nauczycieli nie byliśmy tego uczeni i posługujemy się gotowcami tyle mam do powiedzenia przed nami droga dziękuję serdecznie i bardzo proszę dr Krzysztof Maj
4547:  KMM - Ja tylko krótko chciałem się odnieść do jednej rzeczy, to znaczy wydaje mi się, że też podnoszone w rozmowie i na czacie procedery poprawiania ocen przez uczniów bardzo dobrze pokazują jak duża liczba nauczycieli jest właśnie niedoedukowana i niedoszkolona w zakresie tego czym jest
4564:  KMM - ocenianie kształtującej, uczenie się w procesie czy nauczanie w procesie.
4568:  KMM - To jest właśnie kluczowa kwestia.
4569:  KMM - Jeżeli uczniowie myślą, że muszą poprawić ocenę, a nie że muszą wejść na następny etap, że porażka to jest tylko kolejny stopień do sukcesu.
4578:  KMM - To jest straszne, że tego nie są uczeni.
4581:  KMM - Gry komputerowe tego uczą, a szkoła tego nie uczy.
4584:  KMM - W grze porażka jest elementem procesu iteracyjnego.
4587:  KMM - Tak samo w projektach, w zarządzaniu projektami.
4589:  KMM - Mówi się o iteracjach, o kolejnych próbach dochodzenia do tego, a tymczasem bardzo dużo ludzi, z którymi rozmawiam z biznesu, mówi mi, Krzysztof, no co mam zrobić, człowiek mi się łamie.
4597:  KMM - Przychodzi do mnie, pomyli się raz i on się łamie.
4600:  KMM - Niektórzy się rozpłakują, inni się łami, jeszcze inni chorują.
4603:  KMM - To nie jest przypadek, że mamy taki duży wzrost zachodowań na depresję.
4606:  KMM - Przypominam raport Unawezy na 200 tysiącach młodych ludzi.
4610:  KMM - To jest największy raport, jaki mieliśmy kiedykolwiek.
4612:  KMM - Ja mówię o strasznych wskaźnikach.
4614:  KMM - Jest powyżej 60% ludzi, którzy nie wierzą w siebie.
