Matura: Krytyczna analiza | Co w zamian? (@KrzysztofMMaj)
🔗 https://www.youtube.com/watch?v=SYSQgtHDJzo
RM (Rafał Masny)
KMM (Krzysztof M. Maj)

0:  RM - Dzień dobry, witam.
1441:  KMM - Każdy będzie chciał porozmawiać z kimś, nie tylko dlatego, żeby mieć najlepszego pracownika, z perspektywy uczelni mieć najlepszego studenta, ale żeby ten pracownik wiedział, że on się nadaje na to miejsce, na to stanowisko, albo żeby wiedział, że się nadaje do pracy, bo potem inwestujesz w człowieka,
1457:  KMM - który odejdzie.
1458:  RM - Z tym, że to by ograniczyło pewnie studentom, jakby wannabe studentom, przyszłym studentom, szansę na zdawanie na wiele uczelni.
1469:  RM - No tak, oczywiście.
1470:  RM - Rozumiem, że to jest dobry efekt.
1473:  RM - To jest bardzo dobrze.
1474:  RM - Według Ciebie.
1476:  KMM - Znowu, to jest tak samo, co w przypadku rekrutowania się do pracy.
1480:  KMM - Mieszkasz w Krakowie i nie mówisz sobie, dobra, to ja wysyłam CV teraz do 300 miejsc, jedno będzie w Nowej Zelandii, drugie będzie w Stanach, trzecie będzie w Arabii Saudyjskiej.
1489:  KMM - Jakoś skalujemy te nasze marzenia i aspiracje do tego, na co sobie możemy pozwolić.
1495:  KMM - Osobna kwestia jest taka, że absolutnie nie powinno być opłat rekrutacyjnych na studia, zwłaszcza na uczelniach publicznych, ponieważ edukacja u nas powinna być całkowicie bezpłatna.
1504:  KMM - I druga kwestia, absolutnie nie widzę żadnego problemu, dla którego nie ma się to odbywać zdalnie.
1508:  KMM - Ja jestem w stanie bez najmniejszego problemu zdalnie przeprowadzić rozmowę z kandydatem, nie pytając go w ogóle o wiedzę, w taki sposób, żeby wiedzieć, czy on się nadaje na to miejsce, czy nie.
1516:  KMM - Wiem to, bo przeprowadzamy egzaminy wstępne na studia.
1519:  KMM - Jak jeszcze mieliśmy na AGH-u na studia drugiego stopnia egzamin, one właśnie tak wyglądały.
1523:  KMM - Ludzie mieli listę tematów, z których się przygotowywali i ty wiesz, w ciągu momentu mogłeś się zorientować, czy ten temat jest przygotowany po szkolnemu, czy on wychodzi poza pudełko.
1533:  RM - Czyli to jest tak, że te egzaminy są tylko jak się na doktoranckie... Nie, nie, na studia drugiego stopnia to są studia magisterskie, oczywiście, że są te egzaminy.
1541:  KMM - I absurd polega na tym, że często ludzie mieli tak, że obniżał im wynik z matury jeszcze.
1548:  KMM - Autentycznie, tak.
1549:  KMM - W zależności od tego, jaki był algorytm na studiach.
1551:  KMM - Myśmy akurat na szczęście mieli uwzględniane oceny, ale tylko wtedy, jeżeli ktoś był z AGH-u.
1557:  KMM - Natomiast jak ktoś był z innej uczelni, to wtedy były problemy.
1559:  KMM - Więc jako opcja to jest super sprawa, bo wiesz, ja wiem, że taka narracja się fajnie sprzeda na YouTubie.
1564:  KMM - Zlikwiduj matury, prowadźmy egzamin wstępny.
1567:  KMM - Tak, ale nie.
1568:  KMM - To znaczy matura ma sens dla tych ludzi, którzy chcą jakoś zwieńczyć swoją edukację, a egzamin na studia ma sens dla ludzi, którzy chcą kontynuować swoją edukację.
1577:  RM - A to nie zrobi trochę, w sensie, może bałagan proceduralny to dużo słowa, ale to nie byłoby większe koszty i więcej czasu?
1585:  RM - Na przykład te wolne tematy.
1587:  RM - Czy to nie jest tak, że jednak teraz ten klucz pozwala to zrobić w miarę sprawnie?
1593:  KMM - Wiesz, no ale to pytanie, co chcesz sprawdzać.
1596:  KMM - Bo jeżeli chcesz weryfikować umiejętności miękkie, no to nie masz innego wyboru.
1601:  KMM - Nie zweryfikujesz umiejętności miękkich, robiąc coś pod klucz i robiąc coś według schematu.
1605:  KMM - I zresztą, przypuszczam, że wiele osób, które reprezentowało skrzydło ścisłe, podałoby słusznie przykład tego, że na maturze z matematyki funkcjonują tablice z wzorami, funkcjonują narzędzia, które pomagają ci w pracy.
1618:  KMM - Na języku polskim nie masz takich narzędzi.
1620:  KMM - Dla mnie narzędziem pracy z tekstem, którym są dziady Adama Mickiewicza i są, no nie zgadniecie, dziady Adama Mickiewicza.
1626:  KMM - Więc jeżeli ja nie mogę wejść na maturę przygotowany z książką, którą będę analizował, nie z opracowaniem tej książki, tylko z książką,
1634:  KMM - to ja nie mam narzędzia i nie sprawdza się w tym momencie w ogóle mojej kompetencji.
1638:  KMM - Więc tutaj stoję bardzo twardo na tym stanowisku.
1640:  KMM - Matura z języka polskiego nie weryfikuje nic ponad tylko umiejętność przywołania z pamięci opracowania i pisanie pod uksematu, czyli dwa skille, których nie chcemy na żadnych studiach humanistycznych.
1650:  KMM - I wiesz, tak, oczywiście, że to będzie więcej pracy po stronie akademików, ale każdy akademik pójdzie na rozwiązanie następujące –
1657:  KMM - spoko, poświęcę swój czas na egzaminy wstępne, ale przynajmniej nie będę tracił półtora roku ze swojego dwuletniego przedmiotu na wypranie ludziom mózgów z tego, czego się nauczyli w szkole, bo to jest totalnie nieprzydatne w ich pracy przyszłej.
1670:  KMM - A do tego to się niestety sprowadza.
1672:  KMM - I też, żeby nie było tak różowo po stronie technicznej, ponieważ pracuję na uczelni technicznej, też miałem w to wgląd,
1678:  KMM - U nas od 20 lat na AG jest dyskusja na temat tego, że chcemy wprowadzić rok zerowy, ponieważ tak słaby jest poziom matematyki, fizyki i chemii, czyli nauk podstawowych znowu.
1689:  KMM - Więc to też nie jest tak, że tylko przy języku polskim CKE robi błędy.
1693:  RM - Na SGH w Warszawie też jest z tego co wiem rok zerowy.
1697:  KMM - No i to jest wprowadzane właśnie z tego powodu, więc wiesz, jeżeli chcemy mieć rok zerowy z języka polskiego, to jesteśmy na najlepszej drodze do tego.
1705:  KMM - I to jest trochę smutne, ponieważ to naprawdę nie jest akurat skill, teraz będę trochę brutalny, to nie jest aż tak trudne jak nauczenie się nauk podstawowych w postaci matematyki, fizyki i chemii, tak sensownie na wysokim poziomie.
1717:  KMM - ponieważ z bardzo prostego powodu, języka uczymy się od oseska.
1721:  KMM - To jest coś, co przez imersję językową, przez zanurzenie w tym języku, w domu rodzinnym, we wszystkich miejscach cały czas absorbujemy, więc dodanie do tego bardziej zaawansowanych umiejętności jest po prostu prostsze.
1736:  RM - Jaki procent w takim razie, to może być złe słowo, nie tak konkretnie pytam tak naprawdę, ale teraz studiuje pewnie 60% młodych ludzi,
1746:  KMM - No nawet dokładnie tyle.
1747:  KMM - Mamy bardzo wysoki wskaźnik studiowania.
1749:  RM - Właśnie.
1750:  RM - Jaki procent ludzi uważasz, że powinny mieć wyższe wykształcenie i w sumie jaka do końca jest jego funkcja w takim, w tym kształcie, który, może nie funkcja, zacznijmy od tego, jaki procent?
1762:  RM - Czy uważasz, że to jest tak, że studia powinny być bardziej elitarne właśnie, żeby faktycznie kształciły tą, no elitę to jest mocne słowo, chyba dzisiaj takie trochę wyprane, ale czy dzisiaj jest za dużo studiów, czy część tych kierunków nie ma faktycznie sensu?
1776:  KMM - Ja mówiłem ostatnio z uśmiechem na streamie, dobrze wiecie, jeżeli studiujecie kierunek, który nie jest wartościowy.
1783:  KMM - My to wiemy.
1785:  KMM - My wiemy, jeżeli pójdziemy na, no brzydko powiem, gówno kierunek, ale studenci tak mówią, okej?
1790:  KMM - I my to dobrze wiemy, że robimy to dlatego, że rodzice kazali, albo dlatego, że idziemy do pracy, gdzie pracodawca ma klapki na oczach i mówi, że nie obchodzi mnie wszystko, nie obchodzi mnie, co umiesz, masz mieć dyplom.
1801:  KMM - No więc wiesz, no w takim podejściu podchodzisz pragmatycznie, tak?
1805:  KMM - Okej, mam mieć studia byle jakie, idę na studia.
1808:  KMM - Więc to jest niewłaściwe z bardzo prostego powodu, no bo wszyscy wiemy, że to jest nie tak, nie tak to powinno wyglądać i jesteśmy nieuczciwi wobec samych siebie trochę.
1817:  RM - Ale z drugiej strony spotykamy się z jakimiś dziłami kultury i nawet na tych głównych studiach no czegoś tam się ci ludzie uczą, na pewno mają jakieś antropologie, jakieś elementy, zdobywają pewną wiedzę.
1831:  RM - Być może po prostu powinniśmy zrzucić te oczekiwania wobec tych studiów, tylko traktować je po prostu jako taką przygodę intelektualną.
1838:  KMM - Właśnie.
1839:  KMM - I wiesz, no i tutaj przechodzimy zupełnie do innej motywacji, bo jeżeli twoja motywacja jest taka, że chcesz mieć przygodę intelektualną i satysfakcję, to nie istnieją takie podziały na kierunki wartościowe i niewartościowe, tylko robisz to, co chcesz.
1851:  KMM - Ale trzeba sobie zadać bardzo ważne pytanie, czy faktycznie do tego potrzebujemy budynku,
1857:  KMM - z wykładowcami, drogiego w utrzymaniu, zwłaszcza, że w Polsce jest ponad 400 uczelni publicznych, publicznych, publicznych, tak, to są oficjalne statystyki na stronie Ministerstwa Nauki.
1866:  RM - To wiele jest w sumie.
1868:  KMM - Dobre pytanie i widzisz, to jest pytanie, które sobie powinniśmy zadawać, a równocześnie statystyki GUS-u mówią, że liczba naukowców od 1989 roku nie zwiększyła się.
1878:  KMM - Co oznacza?
1879:  KMM - Bardzo prostą rzecz.
1880:  KMM - Był sobie Uniwersytet, powiedzmy, Jagielloński i na Uniwersytecie Jagiellońskim był sobie taki doktor, powiedzmy, nazwiemy go Maciejem i Maciej stwierdził, kurde, w sumie teraz się otwiera filia tej uczelni, ja tam będę dziekanem.
1893:  KMM - Czyli większe pensje.
1894:  KMM - I w ten sposób masz proliferację gigantyczną uczelni i od 1989 roku w górę ta liczba cały czas rośnie.
1901:  KMM - Zresztą, brutalnie mówiąc, wystarczy sobie zobaczyć na historycznej nazwie uczelni.
1905:  KMM - Uniwersytet Kazimierza Wielkiego w Bydgoszczy brzmi bardzo dumnie, ale to było kolegiem nauczycielskie, które kształciło nauczycieli.
1911:  KMM - To jest samo Uniwersytet teraz Komisji Edukacji Narodowej, była wyższa szkoła pedagogiczna.
1915:  KMM - Dużo jest uniwersytetów, które teraz mają status nawet całkiem fajny,
1919:  KMM - ale one wyrastały z bardzo prostych szkół zawodowych dla nauczycieli, kształcących głównie pedagogicznie.
1924:  KMM - Dlaczego to jest ważne, żeby sobie to uświadomić?
1926:  KMM - No bo jeżeli pójdziemy tam, to dostaniemy prawdopodobnie wciąż możliwość kontaktu z ludźmi, którzy się specjalizują w pedagogice i nauczaniu nauczycieli.
1934:  KMM - A w mniejszym stopniu na przykład, no nie wiem, dowiemy się czegoś na temat medycyny czy prawa, bo to są kierunki, które mogli tak jak Uniwersytet z kolei Jana Długosza w Częstochowie otworzyć parę lat temu dopiero.
1943:  KMM - Ale z drugiej strony na tym, że w Uniwersytecie pracują ludzie z UJ, z Collegium Juridicum.
1948:  KMM - Więc wiesz, to jest fikcja wszystko, ta duża liczba uczelni.
1952:  KMM - Prawda jest taka, że dalej mamy kilka wiodących ośrodków akademickich, które rozprzestrzeniły się po całym kraju.
1959:  KMM - Po to poniekąd, żeby umożliwić ludziom, dlatego były filie, właśnie tańsze uczęszczanie na uczelnie.
1964:  KMM - Tyle, że było to w czasach, kiedy nie mieliśmy zdalnej edukacji.
1968:  KMM - I tutaj właśnie jest ta oś konfliktu główna między nowymi pokoleniami a starym pokoleniem.
1974:  KMM - Bo możemy pomyśleć sobie o uniwersytetach w Polski, których jest sześć.
1979:  KMM - ale mają tyle kasy i równocześnie dają wszystkim możliwość studiowania zdalnego, ale jeżeli ktoś chce takie prawdziwe doświadczenie studiowania, to przyjeżdża na uniwersytet, dostaje darmowe miejsce w akademiku, siedzi tam 12 godzin, rozmawia z ludźmi, bawi się, ma wspólne obiady z profesorami.
2000:  KMM - To jest dokładnie ten model, w którym funkcjonowały historycznie uniwersytety.
2003:  KMM - Cambridge jest zbudowany wokół stołówki akademickiej.
2007:  KMM - Oxford i Cambridge, uniwersytety kolegialne są zbudowane wokół dormitoriów, w których się spało.
2012:  KMM - Właśnie taka była idea, żeby zgromadzić wszystkich wariatów, którzy mają tę satysfakcję intelektualną z poznawania rzeczywistości w jednym miejscu.
2020:  KMM - Nie dlatego, że tam jest księgozbiór, nie dlatego, że tam są wykłady, tylko dlatego, że tam są ludzie,
2024:  KMM - z którymi oni mogą rozmawiać i się mogą wzajemnie inspirować i rozwijać.
2029:  KMM - To nie jest relacja, o którą będzie chodziło każdej osobie, która po prostu chce skończyć szkołę wyższą.
2034:  KMM - I wracamy tutaj do modelu, który był, funkcjonował i nikomu nie przeszkadzał.
2038:  KMM - Masz szkoły wyższe, zawodowe, do których idziesz, bo chcesz mieć dyplom.
2041:  KMM - Zajmuje ci to trzy lata ELO, równocześnie masz dobre praktyki zawodowe, czyli coś, w czym uniwersytet nie będzie się specjalizował.
2048:  KMM - Czy Jagielloński, czy Warszawski, czy w ogóle wszystkie wiodące uniwersytety w kraju.
2053:  KMM - One są słynne z tego, że te praktyki tam bardzo często są fikcją, że są źle zrobione, studenci na to narzekają, a szkoła zawodowa daje świetne praktyki z drugiej strony, więc ten podział miał sens, po prostu te instytucje mają różną funkcję, ale niestety w Polsce zadziałało po czasach transformacji to przekonanie, że wiesz, każdy chciał być uniwersytetem, każdy chciał mieć wielki złoty łańcuch, być dziekanem i mieć, wiesz...
2076:  RM - Złe wizerunkowo po prostu zrobiły się szkoły zawodowe.
2079:  RM - Myślę, że to naprawdę była kwestia może nieświadomego, ale kojarzyło się to, że nie dostało się na uniwersytet na przykład do szkoły zawodowej.
2090:  RM - Tak samo jak technika są w jakiś sposób rozumiane jako jakieś takie gorsze liceum.
2094:  RM - To jest straszne.
2095:  RM - Tak, to jest, może ma po prostu inną funkcję.
2097:  KMM - Zresztą większość ludzi na politechnikach czy na uczelniach o profilu technicznym zabija się o kandydatów po technikach, bo wiedzą, że oni będą mieli o wiele bardziej wyspecjalizowaną wiedzę z nauk podstawowych, a na przykład nie będą tak strasznie ciśnięci o te rzeczy, które są totalnie niepotrzebne z perspektywy inżyniera.
2115:  KMM - I jest dla mnie strasznie smutne, że po PRL-u w sumie, niestety, coś się takiego dziwnego stało z tym naszym szacunkiem do rzemiosła, do pracy fizycznej, że jest taki podział w kraju, który w ogóle sprawia, że jak ktoś przedstawi się, że jest doktorem na uczelni wyższej, to od razu mamy takie poczucie, że on jest wyżej w hierarchii.
2134:  KMM - To jest absurdalne kompletnie i utrudnia pracę w sumie, bo to są takie same...
2139:  KMM - certyfikaty kwalifikacji, jakie masz, kiedy na przykład, nie wiem, 20 lat prowadzisz firmę, gdzie jesteś stolarzem.
2148:  KMM - Ja pójdę do Ciebie nie dlatego, że jesteś wyżej ode mnie w hierarchii, tylko dlatego, że masz 20 lat więcej doświadczenia od randoma, który otworzył zakład obok.
2157:  RM - Ale zakładam, że na przykład w kwestii interpretacji badań, odczytywania ich, że jednak wiedza kogoś takiego, kto ma doświadczenia akademickie, no powinna budzić jakiś rysunek.
2169:  KMM - Tak, oczywiście.
2170:  KMM - To jest kwestia kwalifikacji kompetencji.
2172:  KMM - Po prostu spędziłeś 10-15 lat na temat, na przykład studiując temat szczepionek, w związku z powyższym typ z internetu, który obejrza dwa wideoeseje, no nie ma w ogóle, nie ma pola do polemiki z tobą.
2184:  KMM - A niestety wydaje nam się, że ma
2187:  KMM - To jest nieprawda.
2187:  KMM - Tak samo jak ja, jak przyjdzie do mnie hydraul i nie powiem mu, panie, bo ja uważam, mówię pan, ja zauważyłem z TikToka, ja uważam, że panu powinien te rury inaczej podłączyć.
2196:  KMM - To byłoby bezczelne z mojej strony, tak samo bezczelne jest ze strony kogoś, kto się nie zna na temacie, pouczać, wiesz, kogokolwiek, kto ma wyższe kompetencje, ale niestety my tak nie myślimy o pracy fizycznej, my tak myślimy tylko o pracy tej intelektualnej,
2209:  KMM - bo ona się wydaje jakaś, nie wiem, ezoteryczna i w ogóle, tymczasem to jest właśnie, zauważ, zabawne, biorąc pod uwagę to, jaki mamy procent wyszkolnienia i jaki mamy procent studiujących osób, czyli ludzie mimo to, że dostają taką edukację, jednak nie mają tych kompetencji, kwalifikacji, a to jest problematyczne, bo prawda jest taka, że jeżeli dajesz komuś
2231:  KMM - 12 lat edukacji plus 5 lat studiów, to jest prawie 2 dekady życia, w które spędzasz na abstrakcyjnych rzeczach.
2238:  KMM - Jeżeli ten człowiek po tylu latach nie jest w stanie wyszukać informacji w necie i zrobić cross-referencingu i porównać tego z trzema innymi artykułami,
2246:  KMM - to system zawiódł.
2248:  KMM - Albo jeżeli ktoś, wiesz, nie umie liczyć, albo nie umie pisać, nie umie mówić, nie umie konstruować zdań, argumentować, nie rozpoznaje, kiedy ktoś przeciwko niemu używa erystyki i, wiesz, słucha jak redaktor Mazurek orze polityków w radiu i sobie myśli, zaorał ich, a nie myśli, e no, ten człowiek przecież chce tylko wygrać spór, on nie chce dojść do prawdy, nie chce przedyskutować, chce złapać za słowo, tak?
2272:  KMM - Jesteś naukowcem, wymień wszystkich naukowców na tej zasadzie.
2274:  KMM - I
2275:  KMM - I my nie mamy takiej kompetencji, zauważ w społeczeństwie, które jednak jako społeczeństwo demokratyczne i społeczeństwo, które wykształca się jako wszystkie zresztą społeczeństwa naszego czasu kognitariat i jest intelektualne, nie mamy tej jednej dyspozycji, która umożliwia nam funkcjonowanie.
2293:  KMM - To znaczy nie jesteśmy w stanie stwierdzić, kiedy polityk nam sprzedaje jakąś narrację, która jest kłamliwa albo manipulacka.
2301:  RM - Ja jakiś czas temu nagrałem film, w którym opisywałem elementy rządu PiSu, które po prostu są autorytarne lub kierujesz ustrój w kierunku autorytarnym.
2311:  RM - I ostatnio wszedłem tam i pojawiło się bardzo dużo komentarzy, ale ten film się źle zestarzał, coś tam, ale się zestarzał.
2318:  RM - I
2319:  RM - Tak myślę sobie, ale jak on się miał źle... On dotyczy przeszłości.
2325:  RM - PiS już nie rządzi.
2326:  RM - Jak następne ekipy wpływają na moją analizę tego, co stało się wcześniej?
2333:  RM - Bo oczywiście podejście jest takie, że to nie jest film analityczny w jakiś sposób, który naprawdę przygotowywałem też z doktorantem z UW i to był dobrze przygotowany film.
2343:  RM - Tylko to jest po prostu wojna polityczna.
2345:  RM - Że ten film nie miał celu, żeby coś ludziom wytłumaczyć, tylko ten cel miał po prostu cel polityczny.
2350:  RM - Więc jest już inna ekipa, a teraz bijemy inną ekipę.
2353:  RM - I tak mnie to zszokowało, że jeszcze ludzie pisali, że on się źle zestarzał.
2356:  RM - Tak jak to po prostu nie miał prawa...
2359:  KMM - Tak, to się fachowo trybalizm nazywa, że mamy w tym momencie jakiś nasz tribe, jakieś nasze plemię i to nasze plemię teraz wali w innego wroga.
2369:  KMM - Ja tak cały czas starałem się argumentować, jak krytykowałem elementy polityki ministra Czarnka.
2374:  KMM - I dawałem za każdym razem przecinek i mówiłem, minister Czarnek nigdy nie byłby w stanie dosypać punktów artykułom, z których się śmiejemy, typu cement, wapń, no beton, że teraz jest na poziomie Nature, bo tak samo jest punktowane.
2386:  KMM - Nawiasem mówiąc, punkty, to też powiem, na wszelkie badań niech się niesie, są tylko w Polsce, w Indiach i w krajach byłego Związku Środowiskiego.
2392:  KMM - Nigdzie na świecie nie ma punktowanych artykułów, bo to nie jest metryka do mierzenia poziomu naukowego.
2397:  RM - Myślę, że tutaj moglibyśmy zrobić mały element didaskaliów, żeby ludzie zrozumieli, nie mając kontekstu, bo jaką zmianę wykonał... Więc były listy czasopism punktowanych i one powiedzmy, że jakieś czasopismy miały 100, inne 140, 170, a minister Czarnek stwierdził...
2420:  KMM - W cyklu czteroletnim.
2422:  KMM - Im więcej ktoś ma punktów, tym większa szansa, że utrzyma pracę na uczelni.
2426:  KMM - Więc wiesz, system jest straszny pod tym względem, że wymusza na tobie generowanie tych nieszczęstych euro gąbek.
2432:  KMM - No i minister Czarnek stwierdził, no dobrze, ale na tej liście nie ma czasopism polskich, nie ma czasopism teologicznych.
2438:  KMM - No to ja w takim razie, pomijając komisje, pomijając recenzje naukowe, dosypuję tym czasopismom, które są na przykład z mojej uczelni, punkty.
2448:  KMM - No i teraz pytanie brzmi o etykę tego działania.
2451:  KMM - Myślę, że jesteśmy w stanie łatwo ją ocenić, ale on nie mógłby tego zrobić, gdyby nie to, że wcześniej zaistniał taki system.
2458:  KMM - Ale ludzie uznali, no tak, Krzysztof wali w czarnka, super.
2462:  KMM - No i teraz też by mogli mi powiedzieć, że to się źle zestarzało, bo proszę bardzo, jest inny minister.
2466:  KMM - I teraz walimy w następnego ministra, a tymczasem problem nie jest minister, problem jest to, że zaistniał system, który stworzył furtki, przez które on przeszedł i które wykorzystał.
2474:  KMM - Więc w tym momencie technicznie możemy powiedzieć, że on był niewinny tej sytuacji do pewnego stopnia.
2481:  KMM - bo tylko wykorzystał głupi system, który został stworzony wcześniej przez Barbarę Kudrycką z PO między innymi.
2487:  KMM - Więc to, że ludzie łączą się w takie społeczności, atakują społeczność inną, no to jest akurat coś, z czym nie jesteśmy w stanie za bardzo nic zrobić w naszym społeczeństwie, gdzie są bańki filtrujące, algorytmy tworzą takie społeczności właśnie, ale na pewno możemy ludziom dać narzędzia do tego, żeby zobaczyli, że ktoś, kto tak pisze, no błądzi.
2511:  RM - Wspominałeś o takiej idei, żeby było mniej godzin nauczania i z tego, co słyszę, też masz dość pozytywny stosunek do nauczania zdalnego.
2523:  RM - Czy nie wydaje ci się, że w czasach, kiedy coraz większa część komunikacji jest jednak przez komputery, kiedy widać, że czas spędzany z rówieśnikami
2533:  RM - spada, jest ta epidemia samotności, która jest już uznawana niemalże po prostu za chorobę cywilizacyjną.
2540:  RM - Czy to jest właśnie dobry moment, żeby zmniejszać ilość czasu, którą dzieci spędzają w szkole, a nie na przykład... Dobra, a nie na przykład co to zaraz, po prostu to pytanie.
2552:  KMM - No to znowu przewrotnie odpowiem.
2554:  KMM - Zawsze jak była dyskusja na temat tego, czym jest edukacja zdalna, to podkreślałem, że po pierwsze to, że edukacja zdalna była zła, nie jest winą edukacji zdalnej, tylko tego, że ona udowodniła, że nauczyciele są wykluczeni technologicznie.
2566:  KMM - I że technologia była w szkołach obca, dlatego też te lekcje wyglądały tak, jak wyglądały.
2571:  KMM - Dwa, 45 minut, 5 minut, gdzie i kiedy, w jakim czasie ludzie spędzają ze sobą czas faktycznie rozmawiając, bawiąc się i tak dalej.
2580:  KMM - Nie przez 45 minut, bo mają siedzieć cicho i słuchać.
2583:  KMM - Nie mogą rozmawiać ze sobą.
2585:  KMM - Chyba, że jest praca grupowa, ale to się też rzadko zdarza, żeby ona była robiona sensownie.
2589:  KMM - Więc dostajesz 5 minut, kiedy musisz iść do toalety.
2591:  KMM - Nie, no Polski są już nielegalne.
2593:  KMM - Nie, no wiesz, ale zdarza się wciąż w szkołach, że jest 5 minut, 10 minut, to jest komfort pewien.
2598:  RM - 10-15, no ale jest obiadowa.
2600:  RM - Kończysz tą szkołę, jesteś w jednym miejscu.
2602:  KMM - To prawda, ale to jest wciąż mniejszość, zauważ, czasu, nie większość, prawda?
2607:  KMM - Ale versus zero.
2609:  KMM - Właśnie niekoniecznie.
2610:  KMM - To znaczy pytanie...
2612:  KMM - które sobie możemy zadać, jest takie, czy ktoś, kto zdalnie robi więcej, na przykład pracując zdalnie w biurze, ma mniej czasu dla swoich znajomych, dla swojej rodziny.
2623:  KMM - Wszystkie możliwe relacje ludzi pracujących zdalnie pokazuje, że jest dokładnie na odwrót.
2628:  KMM - I teraz wygospodarowanie sobie tego czasu po stronie uczniów i zagospodarowanie go w wartościowy sposób, to jest robota rodziców.
2636:  KMM - Nauczyciel nie ma wpływu na to, jak ktoś wykorzysta swój czas wolny, ale poniekąd ma, to znaczy jeżeli dajesz człowiekowi obciążenie w postaci cognitive load, czyli obciążenie poznawcze na 8-10 godzin, to on będzie mieć siłę tylko na to, żeby paść na kanapę i przeglądać TikToka.
2654:  RM - Czyli tu mówimy o pracy domowej.
2657:  KMM - Nie, w ogóle o szkole jako takiej, że jest strasznie dużo godzin.
2660:  KMM - Tak samo na studiach jest strasznie dużo godzin.
2662:  RM - I siłą rzeczy potem wybierasz... W polskiej szkole podobno na tle Europy jest... Podobno.
2669:  RM - Widziałem statystyki, uwaga widzowie, one zostaną tutaj przywołane, ale faktycznie na tle Europy to dr Tomasz Rożek przywoływał w swoim filmie o pracach domowych, których bronił, z którym się nie zgadzam, ale
2682:  RM - Faktycznie na tle Europy spędzamy średnio, jesteśmy w dolnej granicy.
2688:  KMM - To ja Ci podeślę kontrstatystyki, które też możesz wyświetlić.
2690:  KMM - Mianowicie Polska, polscy nastolatkowie śpią najmniej na tle wszystkich krajów rozwiniętych na świecie.
2698:  KMM - Wliczając to Stany Zjednoczone i można byłoby od razu powiedzieć, że no tak, że to dlatego, że używają smartfonów.
2705:  KMM - Ja wtedy z uśmiechem zapytam, czy rozumiem, że nastolatkowie w Stanach Zjednoczonych nie używają smartfonów.
2709:  KMM - Więc coś jest nie tak, należy w takim razie skonfrontować te badania ze sobą i zastanowić się, gdzie jest błąd.
2716:  KMM - Ponieważ te badania, o których ja mówię, są prowadzone na szerszej próbie i są bardzo problematyczne z tego względu, że spanie poniżej 6 godzin, a tam uśredniony jest wartość coś 6-7, jeśli mnie pamięć nie myli,
2730:  KMM - są w dni szkolne.
2734:  KMM - A w dni nieszkolne, czyli w sobotę i niedzielę, magicznie statystyka na Polska idzie w górę.
2740:  KMM - I teraz już wiemy, gdzie jest problem.
2743:  KMM - Problem jest w szkole.
2743:  KMM - Problem jest albo w szkole, albo w zadaniach domowych, albo w docieraniu do szkoły, albo w wykluczeniu komunikacyjnym dzieci, albo w całym spektrum problemu, który wiąże się z uczęszczaniem do szkoły stacjonarnej.
2752:  RM - I wydaje mi się, że właśnie zestawiając te dwie statystyki, że to są prace domowe, bo faktycznie z tego co wiem, polskie dzieci mają ponad półtorej godziny średnio pracy domowej.
2763:  KMM - Moi widzowie mi mówili właśnie, że to jest półtorej godziny, dwie godziny, że jest fikcją absolutną, to 15 minut, które jest przywoływane czasem.
2769:  KMM - I ja zawsze opieram się na tym, co mi mówią bezpośrednio ludzie, no też dlatego, że uczę na uczelni i daje mi to perspektywę w postaci, nie wiem, 300-400 ludzi rocznie, którzy potwierdzają różne statystyki, do których możemy dotrzeć.
2782:  KMM - Dlatego też zawsze będę powtarzał, że głos praktyczny jest też ważny obok głosu teoretycznego.
2787:  KMM - Ale zauważ, że my intuicyjnie chcemy bronić tego typu, tak?
2792:  KMM - I nie zastanawiamy się nad tym, okej,
2795:  KMM - to w takim razie przetestujmy, jak to działa.
2796:  KMM - To jest metoda naukowa.
2798:  KMM - Wdrażasz gdzieś jakiś model i testujesz, czy to działa.
2801:  KMM - Prosta sprawa.
2802:  KMM - Jeżeli masz zdalnie poprowadzone lekcje, które na to pozwalają, dajesz ludziom historię.
2808:  KMM - To jest świetny przykład lekcji, którą można robić zdalnie.
2811:  KMM - Świetnie, z wizualizacjami.
2813:  KMM - Nauczyciel sobie może odpalić cokolwiek w internecie, odpalić sobie Rome Total War, zagrać fragment, pokazać ludziom, jak wyglądają jednostki starożymskie.
2821:  KMM - A potem przychodzisz do szkoły i dyskutujesz.
2824:  KMM - I wiesz, i nagle robi ci się przestrzeń w szkole, której byś nie miał, bo nie wykorzystujesz formy podcastu, jaka istnieje.
2832:  KMM - Ludzie słuchają namiętnie podcastów, a równocześnie nie zastanawiamy się dobrze, jak to wdrożyć na uczelni.
2838:  KMM - Ja od czasów covidowych regularnie wszystkie zajęcia nagrywam dla studentów i również zaeksperymentowałem z tym modelem naukowo, żeby zobaczyć, czy to działa.
2849:  KMM - Mianowicie zacząłem robić im egzaminy, na których mogą używać wszystkich źródeł, czyli w języku nauczycielskim ściągać.
2855:  KMM - Procent zdawalności się nie zwiększył.
2856:  RM - Wszystkie dosłownie, czyli internet?
2858:  KMM - Wszystkie dosłownie, czyli internet również.
2859:  KMM - Wiesz, jak się to robi w ten sposób, żeby ludzie nie ściągali?
2862:  KMM - Dajesz im przykład nowy.
2865:  KMM - No prosta sprawa.
