MOBBING TO SMUTNY STANDARD? *Krzysztof M.Maj*
🔗 https://www.youtube.com/watch?v=ZYhuh4pJjvA
KMM (Krzysztof M. Maj)
MM (Mateusz Macierakowski, BEZ ŻARTÓW)

4:  MM - Bez żartów.
1472:  KMM - Nie dziwię się, że zaczynają się irytować tym, bo nie będę się irytować tak długo, jak ktoś mówi, no powiedzmy, że to jest jakiś performance, że on sobie lubi czytać klasyków, lubi starożytników, nikomu nie szkodzi, prawda?
1487:  KMM - Ale w momencie, w którym ktoś mówi, że tak, że to ma być egalitarne, że to ma być do wszystkich, a za przecinkiem dodaje, ale tylko dla moich krajan, albo ale tylko dla tych, którzy są wykwalifikowani, to jest w tym sprzeczność.
1498:  KMM - i ludzie tę sprzeczność dostrzegają.
1500:  KMM - Ja ją dostrzegłem, poklepiam sobie dość wcześnie, bo na poziomie mowy noblowskiej, gdzie uderzyła mnie jedna rzecz, że to jest, znaczy nie, nawet nieprawdopodobnie i bez złośliwości, to było najważniejsze wydarzenie w życiu tej pisarki i ona wykorzystała ten swój moment, ten jeden, jedyny moment na zrobienie 600 tysięcy wyświetleń na YouTubie, bo tyle ma wyświetleń mowa noblowska, odczyt noblowski, bo to nie była mowa,
1525:  KMM - Ten jeden, jedyny moment na to, żeby przyłożyć ludziom, którzy oglądali Dynastię i przyłożyć graczom, którzy grali w Tomb Raider.
1530:  KMM - Ale po co, tak?
1531:  KMM - Trzeba sobie zadać proste pytanie.
1533:  KMM - Po co to zrobiła?
1535:  KMM - Dlaczego to nie jest moment, w którym jesteśmy Wisławą Szymborską i mamy piękny, lekki, filozoficzny tekst, który nikomu nie uwłacza i nikomu nie urąga?
1544:  KMM - Jeżeli ktoś wybiera taki moment, ważny w swoim życiu, na to, żeby komuś, brzydko mówiąc, dojebać, to jest niskie.
1552:  KMM - Po prostu, to jest niskie.
1554:  KMM - Przy całej ironiczności tego przymiotnika, kultura wysoka bardzo często prezentuje niskie postawy etyczne, klasowe,
1563:  KMM - I intelektualne, bo prawdziwy intelektualista... Jakiś paradoks z tego wynika, jeden wielki.
1567:  KMM - Tak, prawdziwy intelektualista to nie jest ktoś, kto będzie na prawo i lewo chwalił się tym, ile przeczytał i co zrobił.
1574:  KMM - Tylko będzie w niewymuszony sposób dawał o tym znać i inspirował ludzi do tego, żeby się tym zainteresowali.
1581:  KMM - I ludzie mówią, że to jest inba.
1583:  KMM - To nie jest inba.
1584:  KMM - To nie jest to, że influencer palnął coś.
1588:  KMM - To jest człowiek, który jest na najwyższych poziomach, na jakie może wkroczyć artysta na świecie.
1595:  KMM - Nie ma wyższego odznaczenia, nie ma wyższego honoru i z tym się wiąże pewna odpowiedzialność.
1600:  KMM - With great power comes great responsibility, powiedzieliby ci, którzy znajdą Spidermana, czyli na pewno nie nasza snobiska.
1607:  MM - Dlatego pytałem też o ten status społeczny, czy ludzie właśnie patrzący na osoby o wysokim statusie społecznym, które wytyczają jakieś ścieżki dialogu, dyskursu publicznego, mocno inspirują się tymi słowami i tym samym tak samo funkcjonują w pragmatyczny sposób.
1623:  KMM - No dużo osób komentowało to właśnie z pokolenia powiedzmy, nie chcę agistowsko zabić, ale 40 plus raczej, że no tak, tak, dobrze powiedziała, tak, tak, słusznie,
1636:  KMM - Dla mnie wymowną sytuacją jest zdjęcie Moniki Olejnik, która trzyma Księgi Jakubowe i mówi, że powinniśmy to nosić jak torebkę.
1644:  KMM - Tak, bo to nie jest do czytania.
1646:  KMM - To jest do pokazania.
1650:  MM - Pozdrawiamy panią Monikę.
1653:  MM - Nie, ale tak całkiem serio.
1654:  KMM - Ja bym chciał zainteresować, to można byłoby to zrobić w inny sposób, a nie grać wizerunkiem, prawda, tylko.
1660:  KMM - To jest trudne do zauważenia, ale jak zaczyna się widzieć przejawy tego postępowania, to ono jest naprawdę bardzo rozpowszechnione i może nawet ludzie mają dobre intencje, ale zawsze podkreślam,
1672:  KMM - Trzeba używać języka osoby, z którą rozmawiasz.
1675:  KMM - Nie można używać języka swojego wyłącznie, swojej bańki, wyniośle, bo wtedy się przekona przekonanych.
1681:  KMM - Jeżeli chcemy przekonać nieprzekonanych, jeżeli chcemy... To jest na przykład w moim interesie żywy... To jest chyba najlepsza opcja przekonać wszystkich, prawda?
1688:  KMM - Żeby ktoś kto faktycznie traci czas bezmyślnie scrollując social media,
1694:  KMM - obejrzał fajny serial, zagrał dobrą grę.
1697:  KMM - Nie mówię, że nagranie złego TikToka czy zrobienie jakiegoś filmu na YouTube czy cokolwiek innego to jest marnowanie czasu.
1705:  KMM - To jest tworzenie tylko treści, contentu.
1707:  KMM - Ale ja też staram się tworzyć content, który komuś służy.
1712:  KMM - Żeby ktoś kto obejrzył to nie stwierdził, że zmarnowałem właśnie 40 minut swojego życia albo zmarnowałem pół godziny swojego życia.
1720:  KMM - też dlatego lubię wygłaszać ostre opinie, to mają zainspirować.
1723:  KMM - Jeżeli ktoś zacznie myśleć, to już jest dla mnie zysk.
1725:  KMM - Jeżeli ktoś przeczyta coś w inspiracji, to już jest dla mnie jakiś zysk.
1729:  KMM - Jeżeli ktoś w coś zagra, ponieważ zobaczy, że mimo że Krzysztof lami jak jasna cholera, to gra w Souls-like'i i męczy się w Dark Souls, męczy się w Sekiro, może w to zagra i przezwycięży trochę taką wsobną społeczność, która mówi, no...
1743:  KMM - Tylko prawdziwy gamer jest w stanie to zagrać.
1745:  KMM - Nie.
1746:  KMM - Każdy jest w stanie to zagrać właśnie.
1747:  KMM - Na tym rzecz polega.
1748:  KMM - Każdy jest w stanie przeczytać każdą książkę.
1750:  KMM - To jest kwestia tylko właśnie tego, jakie będzie miał do tego narzędzia.
1754:  KMM - Każdy jest w stanie obejrzeć jakiś film, tylko musi mieć do tego narzędzia.
1758:  KMM - Ale nie zrobimy w ten sposób, że jeżeli ktoś nie widział w całym swoim życiu filmu, to dobra, to zacznijmy od Bergmana.
1765:  KMM - Albo jeżeli, wyobraźmy sobie, chcesz, żeby ktoś zagrał w grę wideo.
1769:  KMM - No to w takim razie proponuję Dark Souls 2 na sam początek.
1773:  KMM - Gdybyś nigdy w życiu nie miał kontrolera w rękach, nie wie jak sterować w grach wideo, to polećmy nie dość, że najtrudniejszą grę, jaka w ogóle istnieje, jeżeli chodzi o gry, to znaczy Souls-like'a, to jeszcze damy grę, która jest przez samą społeczność Dark Souls uznawana za najtrudniejszą i miejscami złośliwie zaprojektowaną.
1791:  KMM - To jest odpowiednik polecenia czarodziejskiej góry komuś, kto właśnie skończył przeglądać TikToka.
1798:  MM - Czyli nie na miejscu po prostu, można powiedzieć.
1800:  KMM - To jest nie na miejscu i to nie jest empatyczne, to jest wyraz niezrozumienia drugiej osoby i moim zdaniem takiego uporu, tępego uporu i przekonania.
1809:  MM - Ale przecież można w umiejętny sposób pogodzić czytanie klasyków, między innymi właśnie Czarodziejskiej Góry, z przeglądaniem TikToka.
1817:  MM - Tylko po prostu trzeba chyba pokazać, w jaki sposób te dwie rzeczy trafnie połączyć, że jest czas na czytanie,
1826:  MM - od wykładów i przygotowywanie się do wykładów i jest czas na po prostu odmurzanie się mówiąc kolokwialnie i korzystanie po prostu z Instagrama i aplikacji szeroko pojętych.
1835:  KMM - To jest dokładnie tak samo jak z tym starym argumentem od Disco Polo, którego wszyscy używają, że to nie jest prawdziwa muzyka i ja mówię na to, to jest muzyka, która ma pewną funkcję.
1843:  KMM - taneczną.
1844:  KMM - Kropka.
1845:  KMM - Tak samo TikTok ma określoną funkcję jako platforma i rozpoznaje nasz algorytm i dostarcza nam treści, które nas rozbawią i rozerwą na przystanku.
1853:  KMM - Zamiast, żeby stać na przystanku tempo i patrzeć w reklamę, która się tam wyświetla,
1859:  KMM - albo, nie wiem, myśleć o tym, że mamy do zapłacenia podatki w urzędzie skarbowym, możemy sobie przyglądać śmieszne jamniki na TikToku.
1866:  KMM - Super sprawa.
1867:  KMM - Co pan bardzo lubi robić.
1868:  KMM - Oczywiście, jamniki są najszlachetniejszymi ze stworzeń.
1871:  KMM - Ale równocześnie może być też czas na to, żeby jak się już wejście do tego autobusu, wyciągnąć sobie Wojnę Makową i zacząć czytać, prawda?
1880:  KMM - Albo wyciągnąć sobie rzeczoną czarodziejską gulę, jeśli ktoś lubi tekst filozoficzny, bo to jest tekst filozoficzny.
1885:  KMM - Jeżeli ktoś chce o tym sobie podyskutować,
1887:  KMM - Super sprawa, ale wątpię, żeby kogoś można było zainteresować filozofią, jeżeli mu się na samym początku powie, ale wiesz, to jest trudne, bo trzeba mieć kompetencje.
1897:  KMM - A niech ktoś się sparzy, niech przeczyta, odbije się od tego i wróci.
1901:  KMM - Właśnie na takiej zasadzie działają trudne gry.
1903:  KMM - Ja się odbijałem od Souls-like'ów przez całe życie praktycznie.
1907:  KMM - Jako stary byk mając 32 lata, zająłem się Dark Souls 3
1911:  KMM - I jestem zachwycony.
1913:  KMM - Dalej chlnę na czym świat stoi, ale zrozumiałem, że ta frustracja to jest część doświadczenia.
1919:  KMM - I tak samo trudność, którą miałem sam czytając, no nie wiem, Heinrich von Ofterdingen, jeżeli pamiętam.
1926:  KMM - Heinrich von Ofterdingen, Nowalisa.
1929:  KMM - To była bardzo dziwna powieść, bo najdziwniejsza go w życiu przeczytałem i potem dopiero jak zacząłem czytać interpretację, to zrozumiałem, o co tam chodzi, że to jest symbolika i tak dalej.
1938:  KMM - To samo miałem w Westworldzie.
1940:  KMM - Oglądałem West, no ja nie wiedziałem, co się tam dzieje.
1942:  KMM - Obejrzałem na kanale AltshiftX piękną analizę z drzewami genealogicznymi, z jakimiś łańcuchami przyczynowo-skutkowymi, porządkując o to, czego się dowiedziałem i nagle miałem eurek.
1954:  KMM - To o to w tym chodzi.
1955:  KMM - Obejrzałem drugi raz i to było mądrzejszy seans.
1958:  KMM - Więc to jest coś, co sam się nauczyłem.
1962:  KMM - To nie jest tak, że ktoś mnie tego nauczył na studiach.
1963:  KMM - To nie jest tak, że ktoś mi wpojął taki wzorzec.
1966:  KMM - Jedyny wzorzec faktycznie, który mi zwarto do wpojenia, to ten, że jeżeli czegoś się nie rozumie, to nie oznacza to, że z nami jest coś źle, tylko że fajnie jest porozmawiać z kimś, kto to rozumie.
1977:  KMM - Ale znowu wracamy do problemu wyjściowego.
1980:  KMM - Jeżeli zaczynamy rozmawiać z kimś, kto to rozumie i on na starcie,
1984:  KMM - tworzy bariery komunikacyjne, to wtedy jest ryzyko, że taka osoba odpadnie od tego już na wieki wieków.
1990:  MM - Z założenia mnie zachęci.
1992:  KMM - Nie będzie częścią kultury, bo faktycznie pewną rację mają ludzie, którzy mówią o wzorcach erudycji, że sporo jest osób w Polsce, i to nie mówię o młodym pokoleniu, bynajmniej pokoleniu 40+, także, które nie oglądają seriali, nie grają w gry, nie czytają książek.
2011:  KMM - tylko oglądają telewizję na przykład, wyłącznie.
2014:  KMM - I to najgorszy content w telewizji.
2016:  KMM - I potem przełączają się właśnie na ten sam najgorszy content, tylko że na portalach streamingowych, czy na YouTubie, czy na TikToku.
2026:  KMM - Ja mówię, że
2028:  KMM - Coś tracą.
2029:  KMM - To jest moje zdanie.
2030:  KMM - Nie, że są gorsi.
2032:  KMM - Tracą coś.
2032:  KMM - Tracą z życia coś.
2034:  KMM - Umberto Eco kiedyś powiedział, że czyta wiele, ale to jest cytat, który jest powtarzany przez wielu, dlatego, że chce żyć wielością żywotów.
2042:  KMM - I to jest właśnie bycie w kulturze.
2044:  KMM - Kultura czy sztuka sprawia, że jesteśmy w stanie przeżyć życie kilkadziesiąt tysięcy razy na najróżniejsze sposoby, wcielając się w różne role, poznając różne historie z różnych kontynentów, z różnych kultur.
2055:  KMM - I odebranie sobie tego może być szkodą dla nas, to znaczy możemy nie zdawać sobie sprawy, że tego potrzebowaliśmy.
2063:  KMM - Jeżeli ktoś to sprawdzi i stwierdzi, ok, to nie jest dla mnie, wszystko w porządku.
2068:  KMM - Ale jeśli jest takie ryzyko, że nie robiła tego dlatego, że po prostu nikt tego wcześniej nie pokazał, nie pokazał w empatyczny i fajny sposób, to jest duża strata.
2080:  MM - Trochę odpływając na inne wody, chciałbym zmienić wątek i uderzyć w inne tematy, skupiając się trochę na Pana biografii, bo tak się zastanawiam, co Pan teraz mówi, że trochę to jest takie arebur w kontekście dyskursu akademickiego, w kontekście tego, co mówią wykładowcy.
2097:  MM - Czy Pan nie jest uznany trochę za taką personę non grata wśród
2102:  MM - innych wykładowców w waszym uniwersum, że trochę to jest tak, że pan piłuje gałąź, na której siedzi.
2108:  KMM - No jest sposób dobry, żeby temu przeciwdziałać, to znaczy należy sobie zrobić żelazny dorobek naukowy.
2114:  KMM - I to jest to, co ja zrobiłem, zanim zacząłem to mówić.
2117:  MM - A lotopie słynne.
2118:  KMM - To jest to, co mam nadzieję, że nie są słynne, bo to jest straszna książka.
2122:  MM - Przygotowując się do rozmowy, było parę cytowań, jest trochę, ale niedużo, prawda.
2126:  KMM - Od razu tłumaczę, dlaczego właśnie mówię o tym żelaznym dorobku.
2130:  KMM - On jest napisany w taki sposób, żeby on był żelazny.
2133:  KMM - To znaczy on jest napisany tak, żeby stawiał wyzwanie intelektualne, wysokie, profesorowi.
2139:  KMM - I o to chodzi.
2139:  KMM - Profesorowi, który nigdy w życiu nie przeczytał fantastyki, profesorowi, który nigdy w życiu nie zagrał w grę wideo, profesorowi, który uważa jak Martin Scorsese, że Marvel to jest kupa.
2148:  KMM - To jest napisane dla takich ludzi.
2151:  KMM - Kiedyś napiszę, obiecuję sobie, książkę dla panów.
2155:  KMM - Coś na wzór Czarodziejskiej Góry może.
2157:  KMM - Oby nie, ale chciałbym napisać coś takiego, co rzeczywiście wyrazi moją pasję, bo ja umiem o tym mówić, ale nie umiem o tym pisać, dlatego że mnie nauczono pisania właśnie w taki wysoki akademicki sposób, ale to pomogło w tym, żeby
2171:  KMM - w społeczności właśnie akademickiej nie być posądzonym o to, że nie mówię tym językiem czy tym kodem kulturowym, który jest tam przyjęty.
2179:  KMM - Owszem, mówię, ale mówię też innym.
2181:  KMM - I staram się tym pokazać, że każdy argument, który brzmi zajmujesz się fantastyką, bo jesteś za głupi, żeby zajmować się Thomasem Mannem, cały czas do niego wracamy, jest niewłaściwy w takim przypadku.
2194:  KMM - To znaczy ja się mogę tym zająć.
2196:  KMM - Nawiasem mówiąc, czarodziejską górę akurat właśnie cytowałem w jednej z prac.
2201:  KMM - ale dlatego, że cytował Ricker w czasie jej opowieści.
2207:  KMM - To jest jedna z zresztą bardziej znanych analiz, które on tam przeprowadził, znakomitych swoją drogą.
2211:  KMM - Ricker się zajmował interpretacją.
2213:  KMM - Jeszcze nie znam, ale może poznam.
2215:  KMM - No i cała rzecz polegała na tym, że jeżeli ktoś zobaczy, że jesteś w stanie to zrobić, ale zajmujesz się tym innym, to są dwie opcje.
2222:  KMM - Albo stwierdzisz, że to jest nieszkodliwy ekscentryzm, albo stwierdzisz, może coś w tym jest.
2229:  KMM - I też to jest powód, dla którego kiedyś zacząłem subskrybować, a teraz robię materiały wspólnie z Bartoszem Filipem Malimnowskim, jest bez schematu, bo to było wtedy, kiedy byłem na studiach i zobaczyłem jego esej o imersji w Bioshocku.
2244:  KMM - i o Blade Runnerze i zacząłem tego słuchać, usłyszałem tam filozofię, usłyszałem właśnie czytanie już nie po powierzchni, nie ślizganie się tak, to bardzo często na polskim YouTubie bywa w treściach około popkulturowych, nazwijmy to.
2258:  KMM - Na zachodnim YouTubie tak już nie jest, od dawna.
2260:  KMM - I pomyślałem sobie, o, to jest coś, co mi się podoba.
2263:  KMM - To jest coś, co pokazuje, być może wszystkim tym, którzy twierdzą, że to należy potępić w czambu, że w tym coś można wyczytać.
2269:  KMM - No a potem poznałem Slavoja Ziszka i zorientowałem się, że można psychoanalizą obrobić wszystkie filmy, które się chce i nikogo to na zachodzie nie razi.
2279:  KMM - U nas tak.
2281:  KMM - U nas jest pewien problem.
2282:  KMM - Ziszka się czyta praktycznie wyłącznie na Uniwersytecie Śląskim, którego filologia była znana z tego, że lubiła się z kulturą współczesną, niesłusznie nazywaną popularną.
2293:  KMM - Chociaż jeżeli użyjemy tego słowa w znaczeniu takim, że jest powszechna, to w porządku, ale jeżeli używamy tego derogatywnie, że jest popularna, więc niska, to źle.
2301:  MM - Waloryzowana negatywnie.
2302:  MM - Tak.
2303:  KMM - I więc tam zawsze nie było z tym żadnego problemu, ale to też jest powód, dla którego
2308:  KMM - tam się wyspecjalizowały zupełnie inne też studia.
2311:  KMM - Na Śląsku też zawsze lubiono, lubiano czytać fantastykę i nie było z tym takiego kłopotu jak na moje Alma Matzocher.
2318:  MM - Czyli trzeba mieć po prostu duży zasób, takiego kapitału naukowego, żeby bronić się mimo swojej trochę takiej mini ekscytryczności, to chce pan powiedzieć, chcesz powiedzieć?
2330:  KMM - Tak, dla mnie niestety dużo osób, które nie miały takiego dorobku, no z oczywistych względów nie będę rzucał nazwiskami,
2338:  KMM - i po prostu zostały zmuszone autentycznie do zajęcia się czymś innym.
2342:  KMM - Ja nawet nie żartuję.
2343:  KMM - Kochały fantastykę, zajmowały się nią,
2347:  KMM - habilitacyjne czy doktorskie rozprawy już były z czego innego pod rygorem wiadomym tzn.
2352:  KMM - albo to albo nie będzie roboty.
2354:  KMM - No więc coś innego można zrobić w takiej sytuacji.
2357:  MM - Po co się też dusić w jakiejś bańce tak usilnie skoro nie o to chodzi.
2362:  KMM - To też coś co wszystkim doradzam którzy chcą walczyć tzn.
2365:  KMM - jeżeli chcemy walczyć to musimy mieć plan B i musimy być
2370:  KMM - uodpornieni na krytykę, uodpornieni na ciosy, bo inaczej, jeżeli nie mamy bezpieczeństwa ekonomicznego, jeżeli da się nas łatwo zaszantażować albo złamać, no to wtedy taka walka nie ma sensu.
2382:  KMM - Trudno być bojownikiem jakąkolwiek sprawy, jeżeli pierwsza strzała z jakiegoś małego łuku nas przyszyje i my padamy trupem.
2389:  KMM - Trzeba mieć jakąś zbroję w takiej sytuacji.
2391:  KMM - Taką zbroją w środowisku akademickim jest oczywiście dorobek.
2395:  KMM - To jest przykre w zasadzie, bo powinno być, zawsze tak uważałem, że to co sobą człowiek reprezentuje, to czy prowadzi dobre zajęcia, to powinno wystarczać.
2404:  KMM - To czy napisał jedną, wystarczy jedną książkę w swoim życiu, nie dwie, nie pięćdziesiąt artykułów, ale jeden dobry artykuł.
2411:  KMM - I to jest coś, co nawiasem mówiąc w klasycznych wzorcach akademickich w XIX wieku funkcjonowało.
2417:  KMM - To znaczy, jeżeli ktoś napisał jedną rzecz i ona była dobra, to to wystarczało.
2422:  KMM - I słusznie mówią wszyscy naukowcy, że gdyby Einstein w dzisiejszych czasach pracował, to jego indeks hirsza byłby niziutki, bo nie publikowałby w czasopismach, które są uznawane za prestiżowe.
2433:  KMM - Więc niestety jest to gra, w którą trzeba grać.
2437:  MM - Pan też wchodzi po prostu w jakąś rolę, wchodzisz w obcą rolę wchodząc na uniwersytet, prawda?
2441:  MM - Bo ma się kilka jaźni takich społecznych i dostosowuje się do języka tym samym wykładowców, ale wychodząc z obszaru akademickiego zaczyna się normalnie funkcjonować, w sensie normalnie i robi Pan to po swojemu, prawda?
2456:  MM - Jakoś w ten sposób walczy z systemem.
2458:  MM - Jest to jakiś trochę taki dualizm, trochę taka kontradykcyjność, trochę na takiej, że jest...
2464:  MM - że jest walka, ale z drugiej strony i tak się jest w tym schemacie funkcjonowania, że Pan punktuje patologię polskiej edukacji, ale mimo wszystko funkcjonuje Pan w tym systemie.
2475:  MM - To nie ma się trochę takiej od tego cyklofrenii, mówiąc kolokwialnie.
2481:  KMM - Ja chyba się za dużo naczytałem, tak jak sobie myślę, postmodernistów, bo znowu Derrida mówił bardzo fajnie, że dekonstrukcja nie jest destrukcją.
2489:  KMM - Jeżeli chcemy rozmontować jakiś system od środka i pokazać, come on, on nie działa.
2496:  KMM - no to nie jest odpowiedzią wyjść z żagwią płonącą na ulicę i powiedzieć spalić wszystko.
2504:  MM - To jest oczywiście rzecz, którą... Czyli nie możemy zrobić od razu kompletnej rewolucji.
2508:  KMM - Znaczy nie, rewolucję można zrobić, ale nie w sposób siłowy, bo będziemy mówili językiem, który nie jest.
2514:  KMM - nie jest językiem ludzi, których chcemy przekonać.
2517:  KMM - To działa z dwie strony.
2519:  KMM - Więc jeżeli chcemy przekonać osoby, które są klasistowskie do tego, że to, co robisz, to jest klasistowskie, to trzeba niestety dać odczuć takiej osobie, czym klasizm jest.
2529:  KMM - I na tym polega też dekonstrukcja, żeby pokazywać, że język, którym się posługujemy, nie działa.
2537:  KMM - Żeby też nie używać skomplikowanego terminu bez wyjaśnienia.
2540:  KMM - Tym testem fajnym na to, w jaki sposób działa ta technika czytania w zasadzie, którą jest dekonstrukcja, jest takie zdanie, które Richard Rowey kiedyś wypowiedział.
2551:  KMM - Będę mówił bardzo zrozumiałym, egzoterycznym językiem.
2555:  KMM - Język egzoteryczny nie jest jasny, zrozumiały, prawda?
2559:  KMM - I dekonstrukcja mówi...
2561:  KMM - I call this bullshit.
2564:  KMM - I to jest coś, co ja się staram robić.
2565:  KMM - Pokazywać sprzeczności, hipokryzję, pęknięcia.
2569:  KMM - To, że na przykład Paweł Passini, reżyser, będzie mówił, że no, ja tu robię wielką sztukę, a wielka sztuka polega na tym, że zamykamy drzwi i łapiemy studentki pod spódnicę albo każemy im się rozbierać.
2581:  KMM - Była o tym reportaż Igi Dzieciuchowicz w Gazecie Wyborczej.
2584:  KMM - Jak wszystkie reportaże, był reportaż.
2588:  KMM - Cisza.
2588:  KMM - Nie wiem czy Paweł Pasini dalej wykłada, nie wiem czy zmienił swój stosunek do pracowania z nagością na scenie.
2595:  KMM - Nie wiem tego, prawda?
2596:  KMM - Nie wiemy tego.
2597:  KMM - Tak samo sprawa mobbingu na UJ w Instytucie Historii Sztuki.
2601:  KMM - Była interwencja nawet Rzecznika Praw Obywatelskich, precedensowa swoją drogą.
2605:  KMM - Był artykuł w Gazecie Wyborczej,
2609:  MM - Ale coś tam się zmieniło, chyba jeden wykładowca odszedł na samym końcu.
2613:  KMM - Odeszła, niestety, odeszła osoba, która była odpowiedzialna za sprawy studenckie, ale nie osoby, które były wskazywane przez studentów jako prowodyrzy.
2626:  KMM - A rektor Uniwersytetu Jagiellońskiego, profesor Jacek Popiel, który swoją drogą rekrutuje się z Wydziału Polonistyki, który zrobił kiedyś nieprawdopodobną awanturę studentowi, który nazwał go reakcyjnym bucem, więc należy pamiętać o tym, że profesora Jacka Popiela nigdy pod żadnym pozorem nie nazywać reakcyjnym bucem, nazwał mobbing specyficzną kulturą organizacyjną w odpowiedzi na interpelacje rzecznika praw obywatelskich.
2649:  KMM - Więc to jest właśnie ta hipokryzja.
2651:  KMM - Uczelnia, która mówi, że jesteśmy przyjazną uczelnią tęczową dla wszystkich, która robi równocześnie coś takiego, uprawia pinkwashing.
2662:  KMM - Na takiej samej zasadzie będzie mi nie odpowiadało to, że Disney, który kurczy czarnoskórego Fina na plakacie Force Awakens, ponieważ Chińczykom się nie podoba progresywizm i są rasistami, równocześnie będzie mówił w nagłówkach prasowych i grzmiał, że fani Gwiezdnych Wojen są rasistowscy, bo nie podoba im się kiepska postać, kiepsko zagrana inkwizytorki, która wcale nie została skrytykowana dlatego, że była czarnoskóra.
2690:  KMM - Nie, która trochę za kiepsko grała.
2693:  KMM - Ale nagłówki, które zostały wysmażone były inne.
2695:  KMM - Hipokryzja, taka sama.
2697:  KMM - Więc mnie złości nie system, tylko ludzie w obrębie tego systemu funkcjonujący, którzy... A składający się nasz na cały obszar systemu, prawda?
2707:  KMM - I delegujący też odpowiedzialność na ten system, za wszystko, co robią.
2711:  KMM - Że nie, nie, nie, to nie jest moja wina, to minister to zrobił.
2714:  KMM - A nie, to nie jest moja wina, to jest rektor.
2715:  KMM - A to nie jest moja wina, to wytwórnia.
2718:  KMM - Nie, to jest twoja wina, bo ty zdecydowałeś, że będziesz pracował z nagością na scenie w ten sposób, że zamkniesz drzwi i każesz się rozbierać studence w środku i nie wpadniesz na pomysł, że może się poczuć niekomfortowo.
2729:  KMM - To jest nasza osobista decyzja.
2731:  KMM - Zresztą genialną ripostę usłyszałem od jednego ze swoich znajomych, który powiedział, jeżeli aktor potrzebuje do tego, żeby zagrać scenę intymną, znaleźć się w sytuacji intymnej, to znaczy, że nie jest aktorem.
2748:  KMM - I to jest też znana anegdota, która była między Dustinem Hoffmanem a drugim z aktorów, teraz mi wyleciało nazwisko, przy Maratończyku.
2757:  KMM - Jest tam taka słynna scena dentystyczna, nie będę mówił szczegółów.
2761:  KMM - I właśnie Dustin Hoffman nie spał trzy noce, żeby się do niej przygotować.
2767:  KMM - No i przyszedł na plan i dostał najlepszą ripostę ever.
2771:  KMM - ale ty jesteś aktorem.
2773:  KMM - Masz to zagrać.
2773:  KMM - Nie musisz wykończyć się wcześniej przez trzy dni i trzy noce nie spać.
2778:  KMM - Masz to zagrać.
2779:  MM - To nie jest aktorstwo.
2780:  MM - Świetną książkę na ten temat też napisała Karolina Korwin-Piotrowska, jak wygląda kwestia mobbingu przez lata właśnie na filmówkach, na wydziałach aktorskich.
2788:  MM - Nie wiem, czy pan...
2789:  MM - Słyszał, nie wiem czy słyszałeś, jest coś takiego, ale właśnie zrodziło mi się pytanie, bo biorąc pod uwagę Twój jakby rozstrzał cyklu YouTube'owych, między innymi dla każdego coś przykrego, jest coś takiego na Twoim kanale i poruszałeś sprawy mobbingu i właśnie dużo studentów do Ciebie pisało prywatnie w kontekście mobbingowania na kierunku historia sztuki na Uniwersytecie Jagiellońskim.
2813:  MM - I na polonistyce niestety też.
2814:  MM - Tak, ale mam na myśli to, czy ten proceder i ten proces, który trwa do dzisiaj, zwiększył się, jeżeli chodzi o patologię?
2822:  MM - Czy za Twoich czasów też tak było, tylko trochę mniej, czy może się o tym nie mówiło, bo się ludzi kompletnie bali?
2828:  KMM - Nie, to ostatnie, to znaczy to było zawsze.
2831:  MM - Czyli mamy homo stare, jeżeli chodzi o tendencję, czy nie ma żadnej tendencji, jest tak samo źle?
2836:  KMM - Tendencja wzrostowa jest tylko, jeżeli chodzi o zgłaszalność.
2839:  MM - O zgłaszalność, czyli o odwagę tak naprawdę.
2842:  MM - I bardzo dobrze.
2843:  MM - Czyli jest jakiś progres, jeżeli chodzi o mówienie o tym.
2846:  KMM - Młode pokolenie, po którym się tak strasznie jeździ, że snowflake i tak dalej, tak naprawdę jest pokoleniem...
2853:  KMM - Tak, z jednej strony wrażliwym na pewno, ale z drugiej strony, które ma szansę być najzdrowszym psychicznie pokoleniem.
2859:  MM - Bo tak się zastanawiam, czy właśnie to wynika z tego, że jesteśmy pokoleniem płatków śniegu, czyli że jesteśmy wrażliwi i może wyolbrzymiamy ten problem.
2865:  KMM - Właśnie wydaje mi się, że nie.
2867:  KMM - Wydaje mi się, że wreszcie jest nazywana ta rzecz po imieniu, bo ja czułem dyskomfort bardzo duży, jak byłem świadkiem takiej sytuacji jako student, ale ja nie miałem jaj wtedy, żeby coś z tym zrobić.
2877:  KMM - Ja się bałem.
2878:  KMM - I moi też znajomi ze studiów rozmawiali i mówili tak, no ale słuchaj, jest dokładnie tak, mówisz, myśmy się wszyscy bali.
2884:  KMM - Nie mówili, nie wiedzieliśmy jak należy to zrobić.
2887:  KMM - Jeszcze prawda jest taka, że to był taki moment, kiedy były czasy częściowo internetowe, a częściowo nie internetowe.
2893:  KMM - Jeszcze był i papierowy indeks, i USUS, i tak dalej.
2895:  KMM - I nie było jasno wytłumaczonych w sieci procedur jak należy postępować.
2900:  KMM - Hej, dalej nie ma.
2901:  KMM - Tak, bo ja w którymś momencie też zrobiłem follow-up dotyczący tego, co należy robić, jeżeli się człowiek spotyka z mobbingiem, dokumentacja, nagrywanie i tak dalej.
