Jak gry wideo mogą uczyć o dezinformacji? Krzysztof Maj
🔗 https://www.youtube.com/watch?v=oxuy-Ogajxo
KMM (Krzysztof M. Maj)
MCH (Mateusz Cholewa)

0:  MCH - Wstajemy rano, otwieramy oczy, do porannej kawy scrollujemy internet.
1496:  KMM - Dlatego też, jeżeli ten świat jest dobrze wykreowany, to będziemy w stanie, tak wiesz, podprogowo uczyć różnych rzeczy.
1503:  KMM - To mogą być rzeczy bardzo podstawowe, jak na przykład to, w jaki sposób się rozprzestrzenia wirusy, ale równocześnie możemy, i tam jest cały katalog wirusów plaguing,
1511:  KMM - dowiedzieć się faktycznie, jakie funkcjonują, jakie istnieją.
1514:  KMM - Zresztą znowu Dawid Myśli jest przeze mnie przed chwilą przywołany, mówił ostatnio, że przez tę nieszczęsną nagonkę na szczepienia, która wynikła z fałszu i falsyfikatu, który się rozprzestrzenił w Stanach Zjednoczonych, potem został w Polsce niestety rozprzestrzeniony dalej, wirusowo swoją drogą,
1532:  KMM - mamy po raz pierwszy wzrost znowu zachorowań na odrę.
1536:  KMM - Myśleliśmy, że będziemy w stanie tę chorobę wytępić, zwłaszcza, że ona ma takie możliwości.
1542:  KMM - To znaczy rzeczywiście jesteśmy w stanie doprowadzić do tego, że będzie całkowicie wyrugowana.
1546:  KMM - To tak jakby byliśmy w stanie bodajże ospę wieczną wyrugować.
1550:  KMM - No więc to jest przerażające, że wskutek działalności, na którą się złożył każdy,
1555:  KMM - kto kiedykolwiek retweetował, repostował jakikolwiek tekst dotyczący szczepień, a nie miał na ten temat wiedzy, nie miał w tym zakresie tytułów naukowych, nie miał doświadczenia naukowego, nie miał dorobku publikacyjnego, nie pracował w szpitalach i nie szczepił ludzi.
1570:  KMM - To jest sześć warunków, które powinna spełnić każda osoba, która wypowiada się na ten temat autorytatywnie w sieci.
1575:  KMM - W związku społecznym w tym momencie wyciąłem 90% wypowiedzi internetowych.
1580:  KMM - A każda z tych osób, które w tym momencie wyciąłem, ma, no można byłoby powiedzieć teraz demagogicznie, krew na rękach, a możemy powiedzieć po prostu, że nie jesteśmy w stanie zweryfikować, czy nie jest spółodpowiedzialna za te sytuacje, z których teraz się będą mierzyć lekarze.
1594:  KMM - I oczywiście to jest przykład polaryzujący i radykalny, ale mamy ich znacznie więcej, bo one będą w przypadku różnego rodzaju idei politycznych, faktoidów, które są rozprzestrzeniane.
1603:  KMM - Ja dzisiaj się ledwo natknąłem na coś, to będzie o grze, ale nie będzie tym razem o, znaczy to już będzie o dezinformacji, mianowicie była informacja dotycząca na Twitterze, bo gdzieżby indziej, dotycząca tego, że Yasuke, czyli czarnoskóry samuraj z okresu Sengoku.
1619:  KMM - Czytałem ten tweet.
1620:  KMM - Tak, tak, tak.
1621:  KMM - miał nie występować tam i było to podpisane i wiele redakcji to też podjęło, że to jest specjalista, historyk, który się specjalizuje w tym zakresie.
1630:  KMM - Jest jeden problem, mianowicie Internet Archive pozwolił nam stwierdzić, że to nie jest żaden historyk, ten człowiek ma bardzo amerykańskie nazwisko, to po pierwsze, a po drugie okazało się, że nie ma żadnych danych na temat jego publikacji, w ogóle nigdzie praktycznie.
1643:  KMM - I to już pokazuje na takim bardzo podstawowym poziomie, że ludzie nawet nie są w stanie stwierdzić, kto jest naukowcem.
1649:  KMM - To jest przerażające.
1650:  KMM - Zauważ, że mamy do tego narzędzi o rząd wielkości więcej niż wcześniej.
1655:  KMM - Możemy sprawdzić w Google Scholarzy na stronie internetowej danego uniwersytetu.
1658:  KMM - Jeżeli to jest naukowiec polski, to w bazie Nauka Polska musi być, ponieważ prawo nas zobowiązuje do tego, żeby tam były wszystkie informacje o doktoratach, także o tych doktoratach, które zostały wycofane, jak doktorat Jacka Bartosiaka, haha, musiałem o tym wspomnieć.
1670:  KMM - Następnie mamy do dyspozycji portal ORCID, który przypisuje każdemu naukowcowi taki identyfikator specjalny.
1675:  KMM - Możemy sprawdzić bazy zagraniczne danych Thomson Reutersa, wszystkie inne.
1679:  KMM - Jest tych źródeł bardzo dużo, więc jeżeli ktoś jest uznanym specjalistą w jakiejś dziedzinie i nie ma ani jednej jego publikacji na ten temat, albo jest publikacji siedem, które są cytowane dwadzieścia razy,
1690:  KMM - to nie jest uznanym badaczem w danej dziedzinie.
1692:  KMM - Automatycznie.
1693:  KMM - A jeżeli tych publikacji nie ma w ogóle, to znaczy, że jest nikim w nauce.
1696:  KMM - Nie można być w nauce kimkolwiek, jeżeli nie rozprzestrzenia się w jakikolwiek sposób wyników swoich badań.
1703:  KMM - W jakikolwiek sposób.
1704:  KMM - To nie jest w tym momencie ważne, jakie jest miejsce publikacji, bo to jest toksyczny element polskiego systemu ewaluacji.
1709:  KMM - Ważne jest, żeby te informacje gdzieś były.
1712:  KMM - Ale musisz się gdzieś nauczyć szukania aktywnego tych informacji, oddolnego.
1717:  KMM - Jeżeli chcesz brać udział w debacie i być traktowany poważnie, to musisz odrobić zadanie domowe.
1722:  KMM - Ludziom się wydaje, że wystarczy, że jesteś przekonany o czymś bardzo intensywnie i emocjonalny do tego masz stosunek i możesz przyjąć zaproszenie do dowolnego kanału i wypowiadać się na ten temat.
1732:  KMM - Jest to absolutnie przerażające dla mnie.
1734:  MCH - A widzisz, dobrze, żeśmy zeszli trochę w ten rejon, bo chciałem nawiązać... Rozmawiamy dzisiaj głównie o grach w kontekście dezinformacji, ale też trochę o algorytmach.
1743:  MCH - I trochę o algorytmach traktuję gra przygotowana w ramach projektu Fake No More, który jest realizowany przez Szkołę z Klasą, ale także przez Stowarzyszenie Demagog, czy m.in.
1753:  MCH - przez czeskiego Fakescape, która to...
1757:  MCH - trochę mówiliśmy o budowaniu światów, tutaj też świat przenosi nas w przyszłość do takie postacie, które żyją w swoich małych bańkach i naszym zadaniem jest połączyć ich i znaleźć ich wspólne punkty.
1771:  MCH - Niektórzy interesują się grami wideo, niektórych pasjonują koty, niektórych pasjonuje sztuka, niektórych tężyna fizyczna i
1778:  MCH - Zadaniem graczy jest poprzez wymianę doświadczenia i tworzenie jakichś scenariuszy i historii, łączenie ich ze sobą, ale jest też w tym taki element trochę psujący zabawę, czy też dorzucający losowe czynniki, czyli ta panująca sieć i ten żyjący tam algorytm w postaci takiej ośmiornicy, której karty muszą być zagrywane w trakcie.
1800:  MCH - Wówczas one trochę zmieniają zasady gdzieś ogólnie przyjęte i sprawiają, że gracze muszą trochę kombinować, bo mają dodatkowe modyfikatory i ciekawie pomaga to budować relacje i jestem ciekaw, czy w grach wideo na pewno o budowaniu relacji jest dużo mowa, w końcu gatunek MMO istnieje.
1819:  MCH - Ale czy też widzisz przestrzeń do tego, żeby gdzieś przekazać właśnie informacje o tym, jak działają algorytmy?
1826:  MCH - Dlaczego dostajemy pewne treści, a nie inne?
1828:  MCH - Dlaczego tak łatwo i szybko dostaniemy informacje o denializmie klimatycznym, a niekoniecznie tą, która go obala?
1835:  MCH - I czy widzisz tytuły, które może korzystają na takich mechanikach?
1839:  MCH - Albo mogłyby wykorzystać to jako interesujący motyw do tego, żeby gdzieś obudować swój storytelling na przykład?
1844:  KMM - Wiesz co, na pewno by trzeba było wtedy skalować w górę to, co mieliśmy w jednak niszowej grze Orwell, którą przywołałem.
1851:  KMM - Swoją drogą ona ma też drugą część, o której zawsze zapominam.
1854:  KMM - Ale wydaje mi się, że to jest coś, co jest nieodłącznym elementem nurtu cyberpunka.
1860:  KMM - od Williama Gibsona w górę, no i tutaj możemy wymienić każdą grę cyberpunkową, Deus Ex Human Revolution, Cyberpunk 2077, może najbardziej znana polskim graczom w tym momencie, Watch Dogs, wcześniejsza gra Ubisoftu.
1872:  KMM - One wszystkie w zasadzie poruszają problem, od którego my nie jesteśmy w stanie w tym momencie uciec, to znaczy tego, że fake news czy faktoid
1880:  KMM - rozprzestrzenia się szybciej, z tego właśnie względu, że nie tylko mamy ludzi, którzy są nieświadomymi, złymi aktorami, bo też trzeba pamiętać, że to retweetowanie, repostowanie, które tak bardzo gwałtownie potępiam, ono jest nieświadome, to znaczy ludzie tego nie robią dlatego, że chcą czegoś złego.
1899:  KMM - Mogą robić to dlatego, że dysponują anegdotycznym przykładem, że no, że mnie komuś z rodziny coś kiedyś jakoś i ja teraz widzę, błąd potwierdzenia, że tutaj jest odpowiedź.
1910:  KMM - Przyszedł prorok, ewangelista i on nam mówi jak jest, mówi nam jak wygląda świat.
1916:  KMM - Taki prorok zawsze się znajduje w dystopiach, zawsze w którymś momencie przychodzi ktoś,
1920:  KMM - kto znajduje odpowiedź na wszystko.
1922:  KMM - W Deus Exima Revolution jest to Hugh Darrow.
1924:  KMM - I mamy swoją drogą rewelacyjną okazję w tej grze do tego, żeby skonfrontować się z osobami, które są tymi objawionymi prorokami i mówią nam, jaka jest wizja świata, w czymś, co zastępuje typowe walki z bossami, czyli najsilniejszymi przeciwnikami w danej grze.
1941:  KMM - W Deus Exima Revolution walki o wiele bardziej emocjonujące to są szermierki słowne.
1946:  KMM - Ponieważ jest to gra cyberpunkowa, umożliwia ona, tak jak w każdym przypadku świata cyberpunkowego, wzmacnianie naszego ciała.
1955:  KMM - To się nazywa augmentacja.
1956:  KMM - Swoją drogą będziemy mieli to niebawem, przyzwyczajajmy się.
1959:  KMM - Mianowicie ludzie mają implant chociażby konwersacyjny, który umożliwia poprzez śledzenie bicia serca, rozszerzania tęczówek itd.
1966:  KMM - sprawdzanie, czy oponent kłamie, czy nie, ale również możemy sprawdzać, jak nasza retoryka wpływa na poziom przekonania przeciwnika.
1975:  KMM - Więc my musimy przekonać tych satrapów i autokratów i tyranów albo po prostu szefów dużych korporacji, którzy mają władzę i pieniądze i muszą mieć tę wizję, tak, nakreślono im wcześniej przez PR-owców, że rozprzestrzeniają kłamstwa, że ich wizja świata jest niewłaściwa.
1992:  KMM - Musimy zdruzgotać ich światopogląd.
1995:  KMM - To jest niesamowite wrażenie.
1997:  KMM - Nie znam żadnej innej gry, która by to zrobiła równie dobrze i chciałbym, żeby to było częstsze, bo to nie jest gra, w której przeklikujemy się przez dialogi, bo jesteśmy znudzeni.
2005:  KMM - To jest gra, w której bardzo uważnie czytamy dialogi, bo zdajemy sobie sprawę z tego, jakie to ma kolosalne znaczenie.
2011:  KMM - Oczywiście tam możemy sobie stan gry zapisać i testować właśnie.
2014:  KMM - To jest też super, jak nasza retoryka wpływa na to, co mówi i myśli przeciwnik.
2020:  KMM - retoryczne w tym przypadku, chociaż to jest także przeciwnik w tym świecie faktyczny.
2024:  KMM - No bo też, że nakreślę sytuację, spisek, który jest tam ujawniony, polityczny, polega na tym, że tak, oczywiście możemy się ulepszać, możemy odjąć sobie rękę i wstawić protezę, możemy wymienić sobie oko na lepsze.
2036:  KMM - Tylko, że jest jeden problem, mianowicie, żeby przyjmowały się te ulepszenia i wszczepki, musimy przyjmować specjalny lek.
2043:  KMM - Bardzo drogi, pewnie.
2044:  KMM - Bardzo drogi lek.
2045:  KMM - I wystarczy manipulować ceną tego leku na giełdzie i w momencie robisz z klasy średniej klasę niższą.
2051:  KMM - W momencie jesteś w stanie z prosperującego przedsiębiorcy uczynić narkomana, który błaga o dawkę na ulicy.
2058:  KMM - I to są obrazy, z którymi się konfrontuje Deus Exima Revolution.
2061:  KMM - Jest to zrobione absolutnie rewelacyjnie.
2063:  KMM - No i też pokazuje, jak bardzo łatwo taką informacją manipulować.
2066:  KMM - Zresztą mieliśmy takie przypadki, one są memiczne, ale tak naprawdę nie.
2070:  KMM - że jeden tweet mógł doprowadzić do tego, że był skok na giełdzie lub wręcz przeciwnie, tylko że wiesz, to jest skok w postaci słupka i my się cieszymy, bo nie wiem, może ktoś ma akcję i ohoho, jak fajnie, ale nie myślimy o tym, że po drugiej stronie są pracownicy tej firmy i nagle 150 osób może zostać zwolnionych.
2087:  KMM - I znowu, czyjś tweet, czyjaś głupia wypowiedź mogła doprowadzić do tego, że realnie zostało zwolnionych 150 osób.
2093:  KMM - Poziom odpowiedzialności, jaki jest za wypowiedzi, które głosimy, jest gigantyczny i my sobie kompletnie z tego nie zdajemy sprawy.
2100:  KMM - Można byłoby jeszcze do tego dorzucić swoją drogą, jak już o tym mówimy, odpowiedzialności sieciowej gry poruszające problem cyberbullingu, czy jakiegokolwiek bullyingu.
2110:  KMM - Cała seria Life is Strange jest na tym osadzona, ale
2114:  KMM - Przypuszczam, że znaleźlibyśmy jeszcze więcej przykładów takich bardzo konkretnych, pokazujących, do czego to może doprowadzić.
2120:  KMM - Zawsze powtarzam zresztą swoim kolegom, a to pokolenie milenialsów jest, że za tak zwanych naszych czasów, tak, można było dręczyć ludzi tak, jak to się niestety dręczyło zawsze i to zawsze było w szkole jakimś cudem, czyli tym miejscu, które ma nam inkulturować i dawać nam okazję do zadzierzgania relacji społecznych.
2138:  KMM - No więc jeżeli ktoś komuś wsadził głowę do sedesu i trzy osoby się śmiały,
2143:  KMM - No to wiedziały o tym trzy osoby, może jak powiedziały o tym innym, to wiedziały o tym trzydzieści, no dobrze, najgorszy wariant, wiedziała o tym cała szkoła.
2151:  KMM - A dzisiaj będzie wiedzieć o tym trzysta tysięcy ludzi na TikToku.
2155:  KMM - W pięć minut.
2156:  KMM - W pięć minut.
2157:  KMM - I teraz poziom odpowiedzialności naszej za nagranie czegoś takiego, za puszczenie do internetu, nie może zostać zredukowany tym, że powiemy, a to zakaszmy smartfony w szkołach, bo ludzie sobie nie zdają sprawy z tego,
2170:  KMM - jaka jest odpowiedzialność i jaka na nich ciąży.
2172:  KMM - I jeżeli wycofamy smartfony ze szkół, to oni zrobią dokładnie to samo, tylko że z domu i wtedy nie będziemy mieli z perspektywy państwa, nauczycieli i pracowników oświaty żadnej kontroli nad tym.
2183:  KMM - Nie będziemy mogli wpłynąć na te osoby chociażby, żeby nigdy czegoś takiego nie robiły.
2188:  KMM - Nie będziemy mogli skonfrontować ich z odpowiedzialnością do coś takiego.
2191:  KMM - Więc to jest straszny problem w tym momencie, że także rządzący nie dostrzegają tego, jaki mogą mieć wpływ wychowawczy w tym konkretnym obszarze, bo wszystkim nam jest łatwiej zapomnieć, że problem istnieje.
2203:  KMM - A ten problem istnieje, tylko że wiedzą o tym cholera jasna tylko młodzi ludzie.
2209:  KMM - To na zakończenie.
2210:  MCH - Jako ktoś, kto też uczy i edukuje w ramach Akademii Stowarzyszenia Demagog i Akademii Fact Checkingu, gdybym chciał na przykład zaproponować wykorzystanie jakichś elementów gamifikacji gier wideo, co byłoby dla mnie, jako dla osoby edukatora, najbardziej atrakcyjne przy takim projekcie?
2229:  KMM - Ja zdecydowanie zacznę od Orwella.
2230:  KMM - Trochę wracamy kołem do początku naszej rozmowy.
2233:  KMM - Wydaje mi się, że wszystkie metody, o których można mówić, weryfikacyjne,
2237:  KMM - tam by się naprawdę zaaplikowały, więc zwłaszcza Orwell jest też wdzięcznym przykładem dlatego, że to jest gra idiotycznie przystępna, jest to gra point and click, w związku z powyższym każdy jest w stanie w nią zagrać, nie trzeba żadnych kompetencji dodatkowych, żadnych umiejętności, więc wszyscy twoi kursanci czy kursanci w ogóle zainteresowani tym uczniowie
2258:  KMM - mogą się tym zainteresować.
2259:  KMM - To nie jest kasus Wiedźmina, Dark Souls czy Cyberfanka, gdzie musimy spędzić kilka godzin, żeby w ogóle się zorientować, jak należy obsługiwać wszystkie systemy w grze.
2268:  KMM - Dlatego też samouczki tam są bardzo długie.
2270:  KMM - A tutaj po prostu dostajemy okno przeglądarki.
2272:  KMM - Najprostsza rzecz, jaka istnieje.
2274:  KMM - I oczywiście ten interfejs jest też bardzo taki kreskówkowy, umowny, ale też chodzi o to, że gra była zaprojektowana przez małe studio, które też nie miało jakiegoś gigantycznego budżetu.
2284:  KMM - I to w tym konkretnym przypadku jest zaletą, bo każdy też może sobie, niezależnie od tego, jaki ma sprzęt, pozwolić na to, żeby taką grę uruchomić.
2291:  KMM - I następnie przez to, że tam nie ma jakiejś historii, tylko w zasadzie historią jest to, co ty odkrywasz i twoja działalność jako tego aparatczyka, to bardzo łatwo jest konfrontować ze sobą różne doświadczenia.
2303:  KMM - Też nie ma tam zbyt wielu alternatywnych wyborów, one się pojawiają pod koniec, ale tego już nie zdradzam, bo byłby to potężny spoiler.
2311:  KMM - żeby utrudnić dyskusję.
2313:  KMM - Sam początek gry jest bardzo jednorodny dla wszystkich, więc jesteśmy w stanie z grubsza przedyskutować sobie te same zjawiska, przygotować sobie właśnie jakiś plan rozważań na parę szkoleń, a potem właśnie możemy na przykład dopytać ludzi, czy i jak osiągnęli jakieś alternatywne zakończenie, bo to też jest interesujące, że do takich można doprowadzić, więc zdecydowanie bym
2335:  KMM - Coś takiego polecam nie tylko Tobie w ramach Akademii Demagoga, ale w ogóle wszystkim, którzy są zainteresowani takim sposobem na zgamifikowanie swojego doświadczenia, wyszukiwania informacji, weryfikowania ich, a przede wszystkim właśnie tego, co nazwałem za publikacjami naukowymi, z których regularnie korzystam i w ogóle za metodą naukową cross-referencingiem, czyli tym krzyżowym
2357:  KMM - odnoszeniem się do wielu źródeł i ustalaniem tego, który z kontekstów jest właściwy, a który na przykład niekoniecznie może nam pomóc w dotarciu do tej, oh, będzie szumnie i idealistycznie prawdy.
2369:  MCH - W takim razie zamknijmy nasze spotkanie tym wielkim hasłem.
2373:  MCH - Krzysztof M. Maj, doktor Krzysztof M. Maj był moim i waszym gościem w pierwszym wideokasie Demagoga.
2377:  MCH - Świetnie było się z tobą, Krzysztofie, zobaczyć.
2380:  MCH - Wy zobaczycie nas, jak rozmawialiśmy.
2382:  MCH - No i cóż, dziękuję za to, że byłeś i usłyszeliśmy.
2385:  KMM - Dziękuję najserdeczniej za zaproszenie.
2386:  KMM - Pozdrawiam wszystkich widzów.
2390:  KMM - Słuchaliście podcastu Demagoga realizowanego przez Suns & Stories.
2394:  S00 - Więcej informacji o naszej pracy znajdziecie na stronie demagog.org.pl i w naszych mediach społecznościowych na Facebooku, Instagramie i Twitterze.
2403:  S00 - Do usłyszenia.
