Jak rozpoznać KOSMITĘ? 👽 – Krzysztof M. Maj i Piotr Kosek @Astrofaza  | pop!cast naukowy 🚀7
1486:  KMM - kanałów komunikacyjnych, który sprawia, że dużo ludzi może się zainteresować jakimś konkretnym tematem.
1492:  KMM - I tak jak mówiliśmy przed nagraniem, są takie zjawiska, które ludzie po prostu kojarzą, ponieważ one dryfują sobie w przestrzeni, ale one dryfują w przestrzeni nie tylko dlatego, że mówią o tym naukowcy, tylko one właśnie dryfują w przestrzeni dlatego, że mówią o tym tacy ludzie jak ty, pisarze fantastyczni naukowi i tak dalej.
1507:  KMM - I tu pytanie, to znaczy...
1509:  KMM - Jest bardzo dużo contentu na YouTubie, który jest skoncentrowany na tym, żeby potwierdzić prawdziwość jakiegoś wynalazku czy rozwiązania w fikcjach naukowych, science fiction i tak dalej.
1520:  KMM - Skąd taka potrzeba właśnie tego weryfikowania prawdziwości czegoś, co jest wyobraźnią?
1527:  KMM - Przecież też większość symulacji, które mamy bytów bardzo odległych kosmicznych jest właśnie wizją artystyczną.
1534:  KMM - W którymś momencie przylatywała ta dziwna asteroida z innego układu i w naprawdę bardzo poważnych portalach naukowych cyrkulował dokładnie ten sam rysunek, który był totalną fikcją.
1548:  PK - No, słuchaj.
1550:  PK - Nie siedzę w głowach tych ludzi, więc ciężko mi arbitralnie opowiadać teraz, dlaczego robią takie rzeczy.
1558:  PK - Wydaje mi się, że
1560:  PK - To może wynikać z jakiegoś poszukiwania pewnej dozy magii w naszym życiu, żeby nie wszystko było takie od linijki i tak dalej.
1569:  PK - Bo zawsze fajnie się o trollach, orkach historie sprzedawały.
1573:  PK - O krasnoludach, które w odmętach swoich kopalń wytwarzały niesamowite jakieś artefakty.
1580:  PK - No a była taka, że mniej lub bardziej było to oparte na jakichś tam
1586:  PK - o ile w ogóle niewymyślone od podstaw, to oparte na jakichś osobach, które miały deformacje różnego rodzaju i tak dalej.
1592:  PK - Stąd te dziwne potwory morskie się brały i tak dalej.
1597:  PK - Ale to zawsze gdzieś tam towarzyszyło, bo taki storytelling zawsze towarzyszy naszemu gatunku.
1602:  PK - Nasz mózg jest gdzieś tam pewnie na te historie uwrażliwiony.
1607:  PK - A poza tym, jeżeli by się udało potwierdzić jakąś technologię, która została wymyślona, to zbliża nas to do tego
1615:  PK - do tego świata wykreowanego, który tak bardzo lubiliśmy.
1618:  PK - Więc trochę możemy się poczuć, że tak jakbyśmy w nim może byli w jakimś stopniu.
1624:  PK - No i to też jest fajne, bo słuchaj, no przecież science fiction i rozwiązania, które są tam proponowane, często konsultowane też z naukowcami.
1631:  PK - Star Trek na przykład był dość mocno konsultowany zawsze z naukowcami.
1634:  PK - Wiadomo, że tam był ten technobełkot,
1636:  PK - Trzeba było zawiązać fabułę i tak dalej, ale przecież ten silnik, którego tam używali, to nie jest coś takiego, co nie mogłoby istnieć w rzeczywistości.
1645:  PK - Przy spełnieniu pewnych niektórych warunków to jest całkiem sprawna technologia, którą można by było opracować.
1650:  PK - Co prawda warunki są niespełnialne w tym momencie i to jest ten magiczny element tego silnika, bo nie mamy materii o ujemnej masie na przykład, ale kto wie, co tam kiedyś się uda wytworzyć, odnaleźć, wypraktykować, nie?
1666:  PK - I tego typu znowu to jest takie sprzężenie zwrotne.
1669:  PK - Z jednej strony oni czerpią ze świata nauki, a z drugiej strony inspirują mnóstwo ludzi do tego, żeby zostać naukowcami.
1675:  PK - Główny inżynier misji Dawn, sondy, która badała pas, nie Kuipera, tylko pas główny, planetoid i między innymi właśnie orbitowała wokół Ceres.
1686:  PK - Tam był silnik jonowy i wziąłem wywiad z nim, gdzie on opowiadał właśnie o tej misji i mówi, że niesamowite to dla niego było przeżycie, bo został szefem tej misji sondy, która wyposażona jest w silnik jonowy, gdzie pierwszy raz o silniku jonowym, jak jeszcze nie istniały takie silniki w rzeczywistości, usłyszał właśnie w Star Trek.
1704:  PK - Ktoś po iluś dekadach wytworzył taki silnik, a taki silnik został użyty w misji sondy, która pokazała nam z bliska planetę karłowatą.
1713:  PK - Więc to jest takie...
1715:  PK - sprzężenie zwrotne pomiędzy tymi światami.
1718:  PK - I może też dlatego jest takie parcie właśnie na wyszukiwanie tego, na próby odtworzenia tego, co fikcyjne w naszym świecie, żeby pchnąć nas dalej w kierunku tego właśnie fikcyjnego świata i kreacji, która została na ekranie czy gdzieś tam w książce zrobiona.
1732:  KMM - Miałem taką hipotezę kiedyś, że science fiction przygotowuje właśnie nasz język nawet do tego, żeby opisać różne rzeczy.
1738:  KMM - No bo wyobraźmy sobie sytuację właśnie, nie wiem, chociażby kontaktu międzygatunkowego.
1743:  KMM - No więc pierwsze, co będziemy robić, to będziemy szukać tych rozwiązań, które już zostały hipotetycznie przedstawione.
1750:  KMM - A powiedz mi, taki moment magiczny właśnie, piękny, którego brakuje w szkolnej czy uniwersyteckiej fizyce bardzo często,
1759:  KMM - który był twoim udziałem?
1761:  KMM - Czy zdarzyło się coś takiego, że spełniłeś swoje marzenia właśnie podczas realizacji tego rodzaju materiałów?
1766:  KMM - Wspominałeś mi też przed nagraniem, że byłeś w Europejskiej Agencji Kosmicznej.
1770:  KMM - Jakie to są doświadczenia?
1771:  KMM - Czy pamiętasz jakieś szczególnie któreś z nich?
1776:  PK - Tu jest pułapka pewna, o której ci zaraz powiem.
1778:  PK - Natomiast faktycznie ja byłem we wnętrzu, można powiedzieć, stacji kosmicznej.
1781:  PK - To się niczym nie różni.
1782:  PK - To tylko tyle, że nie jest na orbicie, a na Ziemi.
1785:  PK - Jest skalnie replika, na której ćwiczą astronauci.
1787:  PK - Co prawda my byliśmy w tej takiej pokazowej, więc ona pewnie trochę się różni od aktualnego stanu.
1793:  PK - To był moduł Columbus, europejski moduł badawczy.
1796:  PK - Natomiast obok była taka ćwiczebna już replika, ale do której oczywiście my nie mieliśmy wstępu, bo wiadomo, tam jest wszystko pod misję już stworzone, więc tam mają wstęp tylko astronauci.
1806:  PK - Bardzo skomplikowany proces, żeby tam się dostać w ogóle.
1809:  PK - Ale z drugiej strony ja nie miałem czasu, żeby się tym napawać aż tak bardzo, bo pojechaliśmy tam w konkretnym celu, czyli stworzyć film i mieliśmy na to ograniczony czas.
1821:  PK - I przez to, to było troszeczkę jak wiesz, spełniasz swoje dziecięce marzenia,
1827:  PK - Ale już jesteś dorosłym i to tak trochę musisz pamiętać, że jeszcze rachunki są do opłacenia, że musisz odebrać kogoś tam z przedszkola, prawda, nie wiem i tak dalej.
1835:  PK - Więc to nie jest takie pełne odczuwanie jak za dzieciaka, ale zawsze gdzieś tam przyćmione pewnymi rzeczami, które trzeba dookoła tego zrobić.
1842:  PK - Może gdybyśmy tak pojechali na wycieczkę tam tylko, to może to inaczej by wyglądało.
1848:  PK - Plus, no ale to chyba to jest taki najciekawszy moment, jeżeli chodzi o takie astronautyczne typowe.
1857:  PK - Weszliśmy też na ten radioteleskop.
1861:  PK - Też było dosyć ciekawe.
1862:  PK - Z tej czaszy kilkadziesiąt metrów nad ziemią to wszystko obserwować.
1866:  PK - No powiem Ci, że jak nie miałem lęku wysokości, to wtedy miałem.
1871:  KMM - A masz jeszcze jakieś rzeczy na takiej liście, które byś chciał odhaczyć, chciałbyś to przedstawić oczywiście, jeżeli możesz o tym powiedzieć i może nad czymś planujesz, pracujesz w tej chwili, coś, co byłoby spełnieniem twoich marzeń też.
1883:  PK - Na pewno chcielibyśmy na żywo relacjonować start misji Artemis, jak już będzie załogowa i będzie to misja z lądowaniem później tam na Księżycu itd.,
1891:  PK - Więc i w tym kierunku działamy, zobaczymy co z tego wyjdzie, no ale jakby są prasy, żeby to zrobić, żeby tam pojechać i żeby sporo materiałów zrobić, a oprócz tego właśnie taką realizację na żywo.
1903:  PK - Na pewno NASA, to jest taki właśnie temat, który chciałbym gdzieś tam zobaczyć i to z takich większych tego typu rzeczy.
1914:  PK - No i na pewno polecieć na orbitę jakoś, może nie na orbitę całą, ale chociażby suborbitalny jakiś lot, może się kiedyś uda.
1921:  PK - Te firmy powstają coraz to nowsze, bilety będą tanieć, więc może będzie to w zasięgu ręki za jakiś czas.
1928:  PK - Tego sobie życzę.
1929:  KMM - A myślisz, że ta tendencja, która teraz jest, żeby właśnie komercjalizować i loty i prawdopodobnie również ekspansję kosmiczną jest dobra, czy raczej właśnie stoisz po stronie tradycjonalistów, którzy mówią, nie, NASA, Narodowe i Międzynarodowe Agencje Kosmiczne to jest raczej droga, czy może jest właśnie coś pośredniego?
1950:  PK - Wiesz co, dla mnie proste pytanie.
1951:  PK - Po co NASA na niskiej orbicie okołoziemskiej?
1953:  PK - Ona już tam zrobiła to, co miała zrobić.
1955:  PK - No okej, może mieć jakąś swoją stację badawczą, ale też po co?
1958:  PK - Równie dobrze może mieć ją na orbicie okołoksiężycowej, co jest gdzieś tam w planach w postaci stacji Gateway.
1963:  PK - Jakby niska orbita jest już zbadana, przetestowana i wykorzystana, można powiedzieć, przez taką agencję jak NASA.
1970:  PK - Ona ma budżety, których
1972:  PK - na misje, którymi nie zajmą się firmy prywatne, a firmy prywatne coraz częściej będą się pojawiać w kosmosie, bo a, systemy satelitarne i różne rozwiązania, które dzięki nim można robić.
1983:  PK - 90% pieniędzy, które są w kosmicznym biznesie, to są satelity właśnie, różnego rodzaju telekomunikacyjne, obserwacyjne, które dają nam jakieś dane, z których później jak grzyby po deszczu powstają firmy, które korzystają i opracowują je i dają nam jakieś rozwiązania.
1999:  PK - Druga rzecz to górnictwo kosmiczne, które na pewno też się rozwinie prędzej czy później, oby prędzej.
2005:  PK - I też te firmy będą właśnie obecne na gdzieś tam i niskiej orbicie, i dalszej orbicie okołoziemskiej, i w tej przestrzeni powiedzmy ziemsko-księżycowej.
2014:  PK - Więc to...
2016:  PK - To już nie jest czas chyba na to.
2018:  PK - To już jest czas, żeby dać miejsce właśnie prywatnemu sektorowi, żeby dalej rozwijał to, bo NASA nie ma zainteresowania w tworzeniu infrastruktury na orbicie.
2027:  PK - Po co jej to?
2027:  PK - To jest agencja badawcza.
2028:  PK - A biznes nie ma żadnego biznesu w tym momencie w tym, żeby badać Plutona na przykład.
2035:  PK - Więc NASA mogłaby spokojnie ten budżet i po to to jest robione, po to jest chociażby ten program załogowych misji prywatnych, sektora prywatnego, które w tym momencie SpaceX oczywiście obsługuje, Boeing jeszcze się nie pojawił z tym swoim pojazdem.
2051:  PK - Natomiast oni będą mogli się zająć właśnie badaniami, które dla biznesu są nieopłacalne, więc nie będą tego robić, przynajmniej na razie.
2059:  KMM - A który z tych projektów uważasz za najlepiej rokujący?
2063:  KMM - Projektów których?
2064:  KMM - I sektora prywatnego i sektora publicznego.
2066:  KMM - Wspomniałeś o stacji Gateway, abyś mógł to też rozwinąć albo dodać jakieś inne.
2071:  PK - Cały program Artemis.
2072:  PK - Mi się to podoba, że w końcu jest to nie do końca, bo zawsze po części, ale nie do końca temat stricte polityczno-inżynieryjny.
2081:  PK - Na zasadzie przetestujemy sobie, czy jesteśmy w stanie zrobić taką technologię oraz pokażmy faka ruskim, bo tak to wyglądało.
2090:  PK - Tylko te plany są dalekosiężne.
2092:  PK - Zostańmy tam, pozyskujmy być może Hel III, być może spróbujmy zrobić zalążek jakiejś tam przyszłej kolonii.
2100:  PK - No po to jest Artemis generalnie i o ile się nic nie wydarzy dziwnego, a nawet jak się wydarzy, to to się po prostu przesunie w czasie jeszcze bardziej i tyle.
2108:  PK - Natomiast takie są plany.
2109:  PK - Potem gdzieś tam w dalszej perspektywie Mars, aczkolwiek jakoś tam bym się chyba nie nastawiał specjalnie na zbyt szybkie
2114:  PK - Postawienie nogi przez człowieka na czerwonej planecie.
2117:  PK - Ale może się pozytywnie zaskoczę.
2119:  PK - Zobaczymy.
2120:  PK - Oby.
2121:  PK - Natomiast sam powrót na Księżyc, to już minęło tyle lat, że to będzie tak spektakularne, że przez jakiś czas będzie na ustach ludzi.
2129:  PK - Zainspiruje na pewno następne pokolenia.
2132:  PK - To o czym mówiłem, tak jak Star Trek inspirował pokolenia naukowców.
2135:  PK - Tak jak lądowanie na Księżycu zainspirowało pokolenia naukowców, więc miało niesamowite PR-owe oddziaływanie na obywateli całego świata tak naprawdę.
2145:  PK - Tak samo to, mimo że już tam byliśmy, ale właśnie to nastawienie na kolonizację Księżyca de facto będzie miało też znowu impakt taki, dzięki któremu być może powstaną, urodzą się ludzie, a właściwie inaczej, ludzie, którzy już żyją, ale zobaczą to, zainspirują się do tego, żeby w przyszłości opracować chociażby właśnie bytność naszą na Czerwonej Planecie, kto wie.
2166:  PK - Więc to jedno z drugiego wynika.
2168:  PK - Musi być ten moment, który pchnie ich do tego, który zaszczepi, jak w incepcji dosłownie, tę ideę, że chcą się tym w życiu zajmować.
2179:  PK - Tak jak książka, którą dostałem w przedszkolu, zaszczepiła gdzieś tam moje zainteresowanie kosmosem.
2184:  PK - To jest ten sam schemat.
2186:  PK - Tylko wynik inny.
2188:  KMM - Tak.
2188:  KMM - I tak samo jak film będący kompilacją największych bytów w przestrzeni kosmicznej, który nie ma nawet żadnej narracji, może być fascynujący przez sam fakt właśnie zainteresowania danym tematem.
2204:  KMM - I ostatnia rzecz, o którą bym się chciał spytać, pewnie też sporo widzów byłoby tym zainteresowanych, czy są jakieś rzeczy sekretne, nad którymi akurat pracujesz, albo mniej sekretne, związane z rozwiązaniem kanału, czy jakimiś innymi seriami, planami na przyszłość, czymś, co właśnie też sprawi, że Astrofaza będzie mogła dalej rosnąć w siłę?
2223:  PK - Więc trochę tego jest.
2224:  PK - I na ten rok, i na następne.
2227:  PK - Teraz stronę robimy.
2229:  PK - Mam nadzieję, że w przyszłym miesiącu już będzie dostępna online, bo ta, co jest teraz, to została założona, jak chyba Astrofaza powstała jakoś wtedy, 7 lat temu i to właściwie nie działa.
2240:  PK - To jest taki wizytówka, jak to się mówi.
2243:  PK - A i tak tam ludzie wchodzą z jakiegoś powodu, mimo, że nic się tam nie dzieje.
2246:  PK - Natomiast będziemy mieli nową stronę, na której wszystkie te rzeczy będzie można sobie
2253:  PK - gdzieś tam zapisać, że będą, albo się dowiedzieć, że będą, no bo wiadomo, jak teraz wyemitujemy za jakiś czas ten odcinek, to do tego czasu, jak powstaną, to już ktoś zdąży zapomnieć 10 razy.
2263:  PK - Więc chyba strona to jest takie fajne miejsce, o którym mogę powiedzieć, które będzie dość szybko, może nawet się jakoś zbiegnie, nie wiem, kiedy publikacja jest zaplanowana.
2272:  PK - I tam te wszystkie informacje będą się pojawiać.
2275:  PK - Natomiast z takich rzeczy to na pewno chcemy zrobić stałą taką serię tematyczną.
2280:  PK - Pierwsza będzie o wszechświecie, potem na tapet wjedzie mechanika kwantowa i generalnie fizyka kwantowa.
2287:  PK - W stylu właśnie tych naszych super serii.
2289:  PK - Tylko krótsze, gdzieś tam o połowę, ale regularnie za to dwa razy w miesiącu, żeby się pojawiały.
2294:  PK - Więc takie mamy plany.
2297:  PK - Astrofaza Kids dla dzieci i młodszej młodzieży docelowo też, ale zaczynamy od dzieciaków też chyba w czwartym kwartale się to mówi.
2309:  PK - Tego roku się ma pojawić.
2312:  PK - I coś jeszcze.
2314:  PK - Ale to zajrzyjcie na stronę.
2316:  PK - To się dowiecie.
2318:  KMM - Na sam koniec, jedna rzecz, którą byś chciał zostawić ludzi, ja zwykle profiluję to pytanie tak, żeby to było pod właśnie młodych ludzi, którzy mogliby się tym zainteresować, ale taka rzecz od ciebie, od serca, która uważasz za ważną, za związaną też z twoją misją, ideą.
2336:  PK - W sensie jak zainspirować do czegoś.
2340:  PK - To są ciężkie pytania, nie?
2342:  PK - To jest pytanie w stylu, ja się zawsze ich boję.
2344:  PK - Jak wiem, że jest właśnie jakaś rozmowa, która ma taki element, to mówię, kurczę, przygotuję coś, nie?
2350:  PK - Ale to nigdy nie przychodzi do głowy w stylu, powiedz dowcip, nie?
2353:  PK - Powiedz dowcip i nigdy nie wiesz jaki.
2356:  PK - Przede wszystkim może to, o czym mówiliśmy już, żeby nie zatracić tego czegoś, nie?
2362:  PK - Kultywować jakiś ten swój płomyk, który gdzieś tam płonie.
2367:  PK - Niech to będzie, wiecie, pięć minut dziennie, ale gdzieś tam poświęcać na to, bo nigdy nie wiadomo, co z tego wyniknie.
2373:  PK - Nawet jak nic nie wyniknie, to cały czas mamy to coś swojego, nie?
2377:  PK - Takiego, które jest tylko nasze, my to rozumiemy i niekoniecznie ktoś inny musi, nie?
2383:  PK - A my możemy się tego trzymać.
2387:  PK - Taki mój przekaz na koniec.
2388:  PK - A mam nadzieję, że tylko rozpali się i będziecie mogli z tego coś ciekawego w życiu jeszcze zrobić.
2395:  KMM - Pięknie powiedziane.
2396:  KMM - Był z nami Piotr Kosek, który nie zatracił płomienia i dalej bada kosmos tak jak zawsze chciał.
2403:  KMM - Dzięki serdeczne.
2408:  KMM - I do zobaczenia w następnym Łukrze Nauki.
2414:  Cześć!
