Czy jesteśmy gotowi na PRZYSZŁOŚĆ? Monika Borycka i Krzysztof M. Maj | 51
🔗 https://www.youtube.com/watch?v=Tk0-NApCncU
MB (Monika Borycka)
KMM (Krzysztof M. Maj)

0:  MB - Staliśmy się takimi trochę badaczami przyszłości ze względu na to, że staramy się ją oswoić.
1782:  MB - Więc widać, że to jest temat bardzo ważny i my chyba już nie chcemy popełnić tego samego błędu, który popełniliśmy przy okazji mediów społecznościowych.
1790:  MB - I tą lekcję już odrobiliśmy jako społeczeństwa, jako organizacje, jako osoby tworzące różnego rodzaju regulacje i chcemy zareagować szybciej.
1801:  MB - Więc to na pewno jest kwestia pozytywna.
1806:  MB - Widzę też takie pierwsze fajne rozwiązania albo właśnie jakieś przykłady w obszarze AI for Social Good, czyli na przykład wykorzystania sztucznej inteligencji do podnoszenia jakichś problemów społecznych.
1825:  MB - społecznych do czynienia dobra.
1827:  MB - I tutaj bardzo dużo też przykładów, ale może taki pierwszy z brzegu a propos tych grafik, o których mówiłeś, to to, że część firmy na przykład wycofuje się z generowania przy pomocy sztucznej inteligencji grafik kobiet.
1842:  MB - To akurat duża marka kosmetyczna w ostatnich dniach ogłosiła, że nie będzie
1847:  MB - że nie będzie generowała.
1848:  MB - Dlaczego?
1849:  MB - Dlatego, że modele językowe są obciążone pewnego rodzaju bajasami, uprzedzeniami, które powodowały, że obraz generowany przez wczesną inteligencję
1864:  MB - Że fałszowywał rzeczywistość.
1867:  MB - Po prostu nie dostajemy nadal obrazów kobiet, które nie wyglądają jak z żurnala z lat dziewięćdziesiątych.
1874:  MB - To jest kwestia tego, na czym te modele były trenowane, na jakimś zasobie danych.
1879:  MB - Więc tego już nie unikniemy.
1881:  MB - Ale widzę duży też namysł nad tym.
1884:  MB - O wiele szybciej niż przy okazji mediów społecznościowych.
1887:  KMM - Dla mnie to też było ciekawe, bo dowiodło też z kulturoznawców i antropologów kultury, którzy pokazywali przez lata właśnie, że mieliśmy w kulturze nadreprezentację pewnych modeli piękna, pewnych kanonów urody, określonej rasy, określonej seksualności itd.
1903:  KMM - Więc AI w przewrotny sposób tego dowiodło.
1907:  KMM - Ja kiedyś robiłem takie eksperymenty na czatach GPT 3,5 i 4.
1912:  KMM - i czy będą w stanie generować teksty na podstawie lektur szkolnych, radziły sobie rewelacyjnie.
1917:  KMM - Natomiast nie dajcie bogowie dać jakikolwiek tekst współcześniejszy albo nowszy, albo coś z fantastyki.
1925:  KMM - Wtedy automatycznie się sypał.
1926:  KMM - Natomiast tak długo, jak mógł mielić opracowania od 30 lat robione tak samo, tak to robił.
1931:  KMM - Ale to też wydaje mi się ciekawe, że ten namysł nad tym, dlaczego...
1935:  KMM - sztuczna inteligencja działa tak, czy te modele generatywne, ustępuje bardzo często takiemu przeświadczeniu, że to jest po prostu magia.
1943:  KMM - Powiedz mi, jak widzisz możliwość wdrożenia
1951:  KMM - Takiej wiedzy, jaką przedstawiasz właśnie na temat trendów, takiej spokojnej, wyważonej do nauczania na wszystkie etapa szkolne, możesz sobie wybrać wcześniejszy albo uniwersytecki, bo też nie oszukujmy się, nie wszystkie uniwersytety mają tego rodzaju specjalności, na pewno też nie są one w głównym kurikulum, a już na pewno jeżeli chodzi o szkoły, to jest tutaj bardzo dużo do nadrobienia.
1971:  KMM - Co widzisz jako taką możliwą opcję?
1974:  MB - Wiesz co, bardzo dużo jest do zrobienia.
1976:  MB - Głównie w takim klastrze Futures Literacy, który jest już zdefiniowany.
1983:  KMM - Radycja przyszłości, tak?
1986:  MB - Tak.
1987:  MB - Nauczanie o przyszłości.
1988:  MB - Nauczanie myślenia o przyszłości.
1991:  MB - I to są, mamy też tutaj chociażby na uczelni
1995:  MB - Kacper Dnosarzewski i Norbert Kołos, oni tym tematem kiedyś się zajmowali, chyba dalej będą się zajmować, czyli takim projektem Jedna Lekcja o Przyszłości właśnie w szkołach, na etapie szkoły.
2007:  MB - Wiem, że coraz więcej takich inicjatyw się pojawia i to bardzo dobrze właśnie w tym nurcie w wieczór z literacji.
2014:  MB - To jest zresztą program albo inaczej jedna z
2017:  MB - Z takich pomysłów UNESCO chociażby na wdrożenie tego zainteresowania naukami o przyszłości wśród młodszych odbiorców.
2032:  MB - Oni ten program wpisali kilka lat temu.
2035:  MB - w taką swoją działalność i będą na pewno... I dużo też wokół tego się dzieje, tak?
2042:  MB - Więc pomysłów myślę, że jest cała masa na to, jak z tym wejść do edukacji, nawet na poziomie szkoły podstawowej.
2050:  MB - Naprawdę to są... Ja widziałam świetne prace na Expo w Dubaju już dwa, trzy lata temu nawet,
2060:  MB - Gdzie jedna z wystaw opowiadała właśnie o przyszłości, ale był też taki zaułek.
2066:  MB - To była przyszłość, tam były jakieś konkretne zdefiniowane tematy, na pewno mobilność, na pewno zmiany klimatyczne i w jedno z tych salek zawierała takie prototypy.
2080:  MB - To też jest taka jedna z gałęzi nauk o przyszłości, czyli speculative design, czyli prototypowanie, tworzenie, spekulowanie i tworzenie już konkretnych projektów pod potrzeby, których jeszcze dzisiaj nie mamy, ale będziemy mieć je w przyszłości.
2097:  MB - I tam właśnie były takie prototypy zbudowane przez dzieci.
2101:  MB - które miały takie warsztaty pracy z przyszłością i tworzyły prototypy rozwiązań, które właśnie adresowały różne trendy.
2114:  MB - Pamiętam, że był tam...
2116:  MB - Były tam ulice, które były, ponieważ akurat to była praca jakiegoś dziecka z tego regionu geograficznego i on zaprezentował taką palmę, sztuczną palmę z takimi solarnymi liśćmi, która dawała prąd drodze, po której jechał samochód jakby napędzany w trakcie jazdy.
2137:  MB - Rewelacja.
2138:  MB - I oczywiście znamy te historie, czy to z Jetsonów, czy z jakiejś literatury właśnie science fiction, prawda?
2146:  MB - Czy nawet już z pierwszych eksperymentów gdzieś na świecie, bo wiem, że takie drogi gdzieś były też już testowane i znamy to, ale to była totalnie czysta wyobraźnia tego dziecka.
2159:  MB - Ono nie przeczytało jeszcze żadnej powieści science fiction, a przynajmniej to były siedmio, ośmio, dziewięciolatki.
2168:  MB - Więc to jest naprawdę niesamowite obserwować, jak też dzieciaki w ogóle są stworzone do myślenia o przyszłości.
2180:  KMM - Ale w ogóle taka nieskrępowana kreatywność tymi wszystkimi rygorami racjonalnymi myśli, która nam mówi, nie, tego się nie da zrobić, na to nie ma pieniędzy i tak dalej, i tak dalej.
2189:  MB - Tak, tym bardziej, że historia pokazuje, że my często...
2196:  MB - nawet napując przyszłość, ograniczamy się.
2199:  MB - W sensie takim, że często jest nam trudno puścić tak wodze fantazji, żeby zaakceptować to, że rzeczywiście może nadejść coś niewyobrażalnego.
2210:  MB - I ta radykalna przyszłość, którą czasami próbujemy na warsztatach
2216:  MB - jakby tak wycisnąć jak cytrynę z uczestników, ona często się nie pojawia.
2222:  MB - Są jakieś takie blokady, tak?
2224:  MB - Że tak nie będzie.
2226:  MB - To jakby pierwsze, co słyszymy.
2228:  MB - Ja wiem, że tak nie będzie.
2229:  MB - Dlaczego?
2229:  MB - No bo tak teraz nie jest.
2231:  MB - Ale właśnie chodzi o to, żeby wyjść z tego kontekstu teraz i rzeczywiście to w tym pomaga nam to budowanie scenariuszy.
2239:  MB - I rzeczywiście gdzieś ten kontekst czasami zupełnie inny od tego, co obserwujemy, spróbować dostrzec.
2249:  MB - Więc jeśli mówisz o tym, to myślę, że ja bardzo chciałabym zobaczyć kiedyś nawet program taki, powiedziałabym, odgórny, systemowy.
2259:  MB - który taką lekcję o przyszłości w jakichś szkołach by mógł wprowadzić.
2266:  MB - Tym bardziej, że prawda jest taka, z tego punktu też wyszło UNESCO, że te generacje młode, to one
2278:  MB - Są i będą obarczone właśnie tym hipercyklem zmian, o którym mówiliśmy na starcie.
2284:  MB - Czyli, że one będą znacznie bardziej musiały odnaleźć się w mapowaniu tej przyszłości, bo po prostu tych zmian jest coraz więcej i one nakładają się na siebie.
2294:  MB - Tak nie było jeszcze kilkadziesiąt lat temu.
2298:  MB - I to uczenie ich, tak samo jak digital literacy, to uczenie ich funkcjonowania z narzędziem, jakim jest przyszłość, może pomóc im po prostu podejmować dobre decyzje tu i teraz, kiedy już będą mogli te decyzje podejmować jako pracownicy, regulatorzy, osoby, które będą miały wpływ, czy jako po prostu nawet użytkownicy technologii.
2322:  KMM - Wspomniałaś bardzo pozytywnie i ten wątek chciałbym pociągnąć o młodych generacjach.
2326:  KMM - Ja pamiętam, że w ogóle zacząłem sam nagrywać na YouTubie rozsierdzony zdaniem jednego z profesorów w Polsce, który powiedział, że generacja Z to jest stracone pokolenie.
2335:  KMM - Swoją drogą też mamy aktywistów mówiących, że to jest ostatnie pokolenie w sposób, starając się zawłaszczyć jakoś tę narrację.
2342:  KMM - Pomijamy oczywiście ocenę działań w tym momencie, ale to chodzi o
2345:  KMM - narrację, która się pojawia, że to jest końcowe pokolenie, ostatnie, albo że stracone.
2350:  KMM - Ja z kolei dostrzegam zupełnie inne aspekty młodszych pokoleń, z którymi rozmawiam, to znaczy oderwanie od tej bieżączki, która jest w tej chwili, zarabiania pieniędzy, kredytu albo tego, na co nas stać, co jest konieczne i
2364:  KMM - spojrzenia w skali makro, to znaczy jaki zostajemy ślad węglowy, co się dzieje z naszą planetą, tak?
2369:  KMM - I w jaki sposób technologia nas uwięziła i co z tym fantem zrobić?
2373:  KMM - Bo to też nie jest prawda, że ludzie, młodzi nie zdają sobie sprawy z tego, w jaki sposób była na nas technologia.
2377:  KMM - Ja myślę, że zdają sobie z tego sprawę lepiej, tylko że właśnie nie ma tych narzędzi, o których mówisz w obszarze digital literacy, żeby wyswobodzić się trochę.
2384:  KMM - I co obserwatorzy trendów mogą powiedzieć właśnie na temat fachowo tych tendencji, trendów, hipercykli wśród najmłodszych pokoleń?
2393:  MB - Wiesz co, ta generacja jest bardzo trudna do analizy, dlatego że w niej też dużo tych kontrtrendów, o których rozmawialiśmy, funkcjonuje.
2401:  MB - Często patrzymy i widzimy to, o czym mówisz, czyli pokolenie, które właśnie patrzy w dal, które jest świadome zmiany klimatycznej, które nawet, nawiązując do tego TikToka, o którym rozmawialiśmy, nie decyduje się na przykład na potomstwo, bo nie chce sprowadzać go na świat,
2421:  MB - Który umiera, tak?
2422:  MB - Są też takie postawy i to też jest jakieś zjawisko, które my gdzieś mamy na radarze swoim jako obserwatorzy trendów.
2429:  MB - A z drugiej strony widzimy, że na przykład mamy konsumpcję mody fast fashion na bardzo wysokim poziomie przez młodych użytkowników, tak?
2441:  MB - którzy po prostu robią sobie haule kupując na chińskich platformach, nie będę wymieniać nazwy, chińskich platformach, które po prostu sprzedają nam śmieci za małe pieniądze.
2458:  MB - Więc bardzo trudno często dostrzec taką jedną linię w tej generacji, że to jest takie pokolenie, takie pokolenie.
2469:  MB - Zresztą część agencji badawczych wycofuje się powoli też z takiego segregowania tych pokoleń.
2480:  MB - Mówiąc o tym, że właśnie ze względu na te sprzeczności, o których powiedziałam, dzisiaj lepiej spoglądać jednak na te grupy, na te kohorty pod kątem wartości na przykład, które je łączą.
2493:  MB - I tutaj w takiej grupie może się znaleźć 20-latek i 50-latek, jeśli łączy ich jakaś jedna wartość, w którą oni wierzą, wokół której koncentrują swoje życie.
2504:  MB - Więc często już tworzy się te kohorty w trochę inny sposób, prawda?
2510:  MB - Nie tylko tą kwestią demografii.
2513:  MB - Bo po prostu często jest trudno zdefiniować te pokolenia.
2517:  MB - Chociaż na pewno mamy pewne punkty wspólne, tak?
2521:  MB - Kwestia pierwszego pokolenia cyfrowego, tak?
2527:  MB - To na pewno kwestia pandemii.
2530:  MB - Tutaj bardziej wchodzimy już nawet na tę generację z alfa, czyli połączenie generacji alfa, która jest następna i generacji Z, czyli tego pokolenia, które właśnie miało to doświadczenie pandemii w scyfryzowanym świecie.
2545:  MB - Więc tu na pewno będziemy widzieć pewne punkty wspólne.
2548:  MB - Kryzys zdrowia psychicznego pośród tej najmłodszej grupy demograficznej.
2562:  MB - Więc widzimy też, że są pewne wyzwania, pewne kwestie, które rzeczywiście w całości pokrywają dane pokolenia czy dane kohorty.
2573:  MB - Natomiast, tak jak mówię, trochę myślę, że też biznes się już nasycił tym generacją Z. Była taka moda, że wszystkie raporty, co tam generacja Z chce jeść, co chce ubierać, jak chce pracować i tak dalej, że już trochę się tym nasyciliśmy i będziemy troszkę szukać innych dróg badania generacji.
2599:  KMM - A czy w toku obserwacji trendów potwierdzają się te tezy, które też często są przywoływane i przez filozofów i przez teraz ostatnio nawet reżysera Alexa Garlanda w filmie Civil War bardzo wstrząsającym o trybalizacji postępującej, polaryzacji społecznej?
2616:  MB - Myślę, że to jest jeden z bardziej wyraźniejszych trendów społecznych, które obserwujemy.
2620:  KMM - Ale taki właśnie supergeneracyjny, nieograniczony wyłącznie do jednego pokolenia.
2624:  MB - Tak, dokładnie tak.
2624:  MB - Zresztą on od dawna już na wielu mapach trendów się znajdował.
2629:  MB - Polaryzacja się zaczęła wraz z
2632:  MB - z narodzinami mediów społecznościowych.
2635:  MB - Więc to z nami funkcjonuje.
2637:  MB - Bardziej bym zwracała uwagę na to, wokół czego się polaryzujemy dzisiaj i jak wygląda ewolucja tej polaryzacji.
2648:  MB - Jakimi narzędziami też ona jest napędzana.
2652:  MB - Bo to będzie, myślę, kolejny etap rozwoju tego trendu.
2656:  MB - W jaki sposób on się będzie rozwijał.
2658:  MB - Co do trybalizacji, zgadzam się absolutnie.
2661:  MB - Zresztą ona wbrew pozorom może nas też uratować w pewnych kontekstach.
2667:  MB - Świetne wystąpienie szefa Patreonu, na którym byłam właśnie w Stanach, w Austin.
2674:  KMM - Ten serwis crowdfundingowy.
2675:  MB - Tak, dokładnie.
2677:  MB - Pierwszy na świecie, który jakby zapoczątkował w ogóle ten trend, że jesteśmy w stanie płacić właśnie w ramach tribalizacji za coś bezpośrednio artystom, osobom kreatywnym.
2689:  MB - I on opowiadał o tym, że dzisiaj wiele z tych osób kreatywnych nie czuje się jak twórcy, tylko jak producenci contentu.
2698:  MB - których algorytmy spowodowały, że ich twórczość jest totalnie też zalgorytmizowana, jeśli chodzi o ten odbiór.
2708:  MB - I on mówił m.in.
2709:  MB - o tym, że nadchodzi taka era prawdziwych fanów, nie followersów,
2715:  MB - ogłosił trochę śmierć followersów, że nie będziemy już followować, obserwować tego strumienia, które często nam algorytmy zaburzają, ale będziemy prawdziwymi fanami.
2729:  MB - I coraz więcej też obserwujemy takiej
2731:  MB - takiej relacji opartej właśnie na bliskiej relacji z artystą, albo z jakąś ideą, wartością, czy też budowania właśnie tych bliskich relacji pomiędzy grupami, w grupie o podobnych wartościach, która poszukuje tego samego.
2752:  MB - Zresztą widać, że mamy potrzebę, ogromną potrzebę.
2754:  MB - To z jednej strony mamy trend epidemia samotności, a z drugiej strony mamy nadal ogromną potrzebę bycia razem.
2761:  MB - I ta potrzeba jest realizowana dzisiaj w trochę inny sposób niż jeszcze 10 lat temu.
2766:  MB - Stąd te trendy, bo też czym są trendy i inną definicją.
2770:  MB - Trendy to są paterny w naszych nowych oczekiwaniach, ale wobec starych potrzeb.
2776:  MB - I my nadal mamy potrzebę bicia blisko razem ze sobą, ale realizujemy ją w inny sposób, tak?
2782:  MB - Nie wiem...
2783:  MB - Ostatnio zachwyciłam się taką inicjatywą Reading Party, party dla czytaczy, impreza dla czytaczy, czyli nie czytamy książkę w domu, nie idziemy do klubu na imprezę, ale przychodzimy do klubu, gdzie możemy się czegoś napić, najlepiej napić.
2801:  MB - Nie alko, bo to też duży konsumencki trend.
2804:  MB - I możemy poczytać z innymi w ciszy, a potem wymienić się wrażeniami z tego czytania.
2810:  MB - Czyli widzimy też, jakie na to inne się nasze potrzeby, jakie nasze nowe oczekiwania się na to nakładają, na tą starą potrzebę.
2817:  MB - Że my mamy to oczekiwanie jednak wyciszenia, odcięcia bodźców, fizyczności.
2823:  MB - Książka, która nie jest ekranem komputera.
2827:  MB - Ale razem.
2828:  MB - Więc to, tak jak mówisz, to bycie
2838:  MB - Te oczekiwania i te zmiany, no one właśnie rzeczywiście się tak w bardzo różny sposób manifestują.
2844:  KMM - Bardzo mi się podoba ten optymistyczny kontent, który pokazałaś i myślę, że też byłoby to zgodne z obserwacjami wielu osób, które na przykład zdumiewają się, że jeszcze parę lat temu Biblioteka Narodowa mówiła co roku praktycznie, że nikt nic nie czyta.
2858:  KMM - Nagle się okazuje, że jest wręcz przeciwnie, ponieważ młode pokolenia, które podobno miały w ogóle nie czytać, wręcz przeciwnie zaczęły.
2865:  KMM - Osobna kwestia jest taka, że zwykle redaktorzy mówią o tym, co my powinniśmy czytać, a nie co czytamy faktycznie.
2872:  MB - Dokładnie i są młode generacje, chcą czytać i lubią czytać.
2876:  KMM - I właśnie może tym pytaniem chciałbym też zmierzać powoli do finału naszej rozmowy, to znaczy czy nie masz wrażenia, że właśnie...
2883:  KMM - Przy obserwacji trendów za dużo wartościujemy, za dużo jest tej oceny ze strony krytycznej lub właśnie entuzjastycznej, która trochę zaburza szacowanie tego, w co faktycznie na przykład państwo albo uczelnie powinny inwestować, w co też biznes powinien inwestować.
2898:  KMM - Szybki przykład też, żeby nie mówić za bardzo ogólnie, trend w postaci pracy z domu, który wynikał z bardzo chłodnej kalkulacji przecież.
2906:  KMM - Nie dlatego, że jestem leniwy i chcę sobie być w poduszkach, tylko dlatego, że
2909:  KMM - no, marnuję czas dwie godziny w korku tam i z powrotem i nie jestem efektywny.
2913:  KMM - Ale i w momencie, jak spojrzymy na to z takiej wartościującej perspektywy pracodawcy, to myśmy myśleli, no to pracownik leniwy i wybiera to, co jest wygodne dla niego, a nawet nie patrzymy, że może mieć wzrost wydajności.
2924:  KMM - W jaki sposób unikać tego nieszczęsnego wartościowania?
2926:  MB - Wiesz co, to też jest etap tego mapowania scenariuszy chociażby.
2932:  MB - Bo my po to budujemy ich kilka i staramy się sobie wymyślić kilka przyszłości,
2936:  MB - żeby nie odbijać się ciągle między dystopią a utopią.
2940:  MB - Tylko właśnie rozszerzyć trochę to spojrzenie i pokazać bardzo różne aspekty.
2946:  MB - Bo przyszłość, a nawet teraźniejszość nie jest jednoznaczna.
2951:  MB - To narracje na to nakładają tą jednoznaczność, tak?
2954:  MB - Ale...
2955:  MB - Budując kilka scenariuszy, minimum cztery, które muszą być jeszcze o równym stopniu prawdopodobieństwa, takie wyważone, czyli też nie mogą być właśnie wychylone w żadną ze stron, że bardziej dystopijne i tak dalej.
2971:  MB - Często tworzą się te scenariusze przy pomocy takich historyjek z życia, czyli właśnie opisuje się taką postać, która przez cały dzień przechodzi w takim świecie wykreowanym.
2980:  MB - Po to też to robimy.
2981:  MB - żeby właśnie odlepić się od tej jednoznaczności, o której mówisz, że właśnie tylko negatywnie, tylko pozytywnie, żeby dostrzec bardzo zniuansowaną tą rzeczywistość dookoła nas.
2996:  MB - Ja w ogóle jestem zdania, że trendy to pomagają tak naprawdę nam ogarnąć nawet nie przyszłość, ale skomplikowaność rzeczywistości, w której my jesteśmy.
3004:  MB - Przyszłość oczywiście swoją drogą, bo te narzędzia, o których opowiadaliśmy, one mają moc badawczą i one są stosowane chociażby na przykład w budowaniu foresight miejski.
3014:  MB - To jest coś, co jest coraz częściej wdrażane w biznesie.
3019:  MB - W instytucjach publicznych, które po prostu mapują różne przyszłości danego miasta, żeby postawić na coś, obstawić coś i jakąś strategię wykreować.
3029:  MB - Czy, no nie wiem, nawet Ministerstwo Przyszłości, które widziałam na Dutch Design Week w jednym z amsterdamskich miasteczek, które ma za zadanie jako organizacja działająca publicznie.
3040:  MB - czy nie przy urzędzie miasta, które ma mapować właśnie różne decyzje dotyczące przyszłości.
3045:  MB - Więc tego jest coraz więcej i to są narzędzia, które na pewno funkcjonują z nami po to, żeby budować te długoterminowe strategie i żeby tą adaptację trendów w dobrym kierunku prowadzić, ale z drugiej strony sam trendwatching często operuje właśnie na takim rozgryzaniu
3061:  MB - Nawet w tej rzeczywistości tu i teraz.
3065:  MB - I to też pokazuje, jak nasz świat się skomplikował, że często po prostu potrzebujemy takiego narzędzia, które niby jest z przyszłości, ale tak naprawdę trochę pomaga nam mapować też tą teraźniejszość.
3079:  KMM - Zwykle w odcinkach Bunkra Nauki, które prowadzę, proszę o jakiś main takeaway, czyli jakąś główną myśl dla naszych słuchaczy, teraz trochę to przeformułuję, dla tych spośród naszych młodych słuchaczy, którzy na przykład nie mieliby okazji trafić na Trendwatching and Future Studies, a chciałbyś im dać jakąś radę odnośnie do świata turbulentnego, w którym wzrastają.
3101:  MB - Żeby pielęgnowali w sobie kulturę wyobraźni, którą tracimy w pewnym momencie, którą też jakby świat i ten właśnie bardzo zapatrzony w technologię, w cyfrowość, z drugiej strony świat różnych kłopotów odbiera nam tą radość z wyobrażania sobie.
3119:  MB - A dopiero moment wyobrażenia sobie innej przyszłości, innego rozwiązania, innej strategii,
3127:  MB - ten moment wyobrażenia powoduje, że my możemy pójść ten krok do przodu.
3132:  KMM - Dziękuję Ci bardzo za te lekcje z Empatycznej Futurologii.
3135:  KMM - To był kolejny odcinek Bunkra Nauki.
3137:  KMM - Dziękuję wszystkim, ale przede wszystkim dziękuję naszej gościni.
3139:  MB - Dziękuję za zaproszenie.
