Oto jak YouTube GNIJE i DOBIJA TWÓRCÓW
🔗 https://www.youtube.com/watch?v=9fyeOwIhQ8g
LC (Leszek Cibor, Przeciętny Człowiek)
KMM (Krzysztof M. Maj)
OR (Oskar Rogowski, Napisy Końcowe)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

18:  BFP - Kiedy ktoś czyta tytuł Oto jak YouTube gnije i dobija twórców...
2816:  KMM - się nie półnagą dupą i to nikomu nie przeszkadza.
2820:  KMM - No bo za tym jest wytwórnia muzyczna gigantyczna, która czyni zaszczyt YouTubowi faktem, że ich treści w ogóle mogą się pojawić w tak plugawym miejscu, jak platforma internetowa, która nie jest ich własną platformą.
2833:  KMM - Względnie macie amerykańskie reality show, różnego rodzaju talk show, które się pokazują i tam można robić, co wam się żywnie podoba.
2842:  KMM - Mogą być rzeczy, które są... Blackface na przykład.
2846:  KMM - Jakiekolwiek, które byłyby uznane za nieodpowiednie i w ogóle absolutnie nieakceptowalne dla jakiegokolwiek youtubera.
2853:  KMM - I tak samo mechanizmy cenzorskie.
2856:  KMM - Mechanizmy cenzorskie przecież funkcjonują w prawie amerykańskim.
2860:  KMM - Tam się cenzuruje od lat filmy, tam się przecież nie można było pokazywać od lat 70. w górę palenia, to pewnie Oskar mógłby mnie poprawić, czy dobrze mówię.
2868:  KMM - Ale te mechanizmy tam są, tam jest precedens prawny dla tego.
2872:  KMM - W innych krajach tego nie ma.
2873:  KMM - No więc tutaj zachodzi ten problem, tu znowu by się mógł prawnik bardziej wypowiadać, ale mamy prawo polskie, które się w ogóle nijak ma do prawa amerykańskiego i my jesteśmy tak w zasadzie w międzynarodowej korporacji pod prawem amerykańskim, a tak naprawdę to nie.
2888:  KMM - I w zasadzie nie wiadomo w jaki sposób można właśnie zrobić jakąkolwiek sensowną procedurę odwoławczą.
2893:  KMM - W związku z powyższym na wszelki wypadek uznaje się, że youtuber się myli.
2898:  KMM - Chyba, że ten youtuber jest duży i przynosi dużo kasy.
2901:  KMM - I tutaj macie odpowiedź, dlaczego patostreamy nie są zdejmowane.
2904:  KMM - No nie są zdejmowane dlatego, że to przynosi kasę i wyświetlenia, a poza tym przypominam, że patostreamy są odpowiednikiem youtubowym telewizyjnych reality show.
2913:  KMM - I tyle.
2914:  KMM - To jest po prostu format, który się sprzedawał wcześniej w tym obrzydliwym medium i sprzedaje się też tutaj.
2919:  LC - Jedna uwaga do obrony, akurat pod obronę chciałbym wziąć odrobinę YouTube'a.
2923:  LC - Patostreamy też są w jakimś tam stopniu pewnie tak, że przynoszą dużo wyświetleń, dużo kasy, ale wydaje mi się, że główny argument jest taki, że po prostu kadra
2934:  LC - polskojęzyczna, która weryfikuje patostream, którego nie jest w stanie zweryfikować żaden bod i tak dalej, jest tak mała, jest tak ograniczona, że oni nie są w stanie tego przejrzeć.
2943:  LC - Co zresztą, przykładem jest wiele na przestrzeni lat, kiedy byłem w programie wsparcia twórców i miałem swoją opiekunkę przez lata, no to wysyłałem jej nieraz, i to całkiem popularne kanały, gdzie tam, prawda, Jerzy Zięba
2960:  LC - ludzi leczył swoim pseudonauką, ale tam naprawdę niebezpieczne rzeczy się pojawiały, nie jakieś tam śmiech i chichy UFO, tylko tam naprawdę były... I nikt tego nie weryfikował, bo nie było po prostu par oczu w języku polskim, które mogłyby to sprawdzić.
2978:  LC - I dopiero wtedy, kiedy ja wysłałem, zaczęła się procedura, ktoś to sprawdził,
2982:  LC - I tak za każdym jednym razem, w szczególności zgłoszenie wysyłane mailem, a nie przez ten automat, gdzieś tam się przebijało, no ale ile, K20 osób może pracuje w języku polskim przy weryfikacji treści na YouTube i oni nie obejrzą wszystkich frizów, wiesz, mówisz o jakimś tam wycinku, a YouTube jest przeolbrzymi, ilość treści, która na niego wpada jest ogromna.
3007:  KMM - Ale myślę, że głęboką naiwnością jest uważać, że Google nie dysponuje narzędziami AI do wyszukania takich rzeczy.
3013:  KMM - Absolutnie będę chciał do tego nawiązać.
3016:  KMM - Oczywiście, że to mają i oczywiście, że mogliby to zrobić, ale myślę, że im się właśnie wygodniej jest schować za tym, że jest mało weryfikacji.
3022:  KMM - Mój ten ostatnio, moi drodzy, upadł na tym, jak Elon Musk został zmuszony do tego, żeby pokazać, jaka jest liczba weryfikatorów i wyszło bardzo ładnie.
3030:  KMM - że na przykład dla języka rosyjskiego jest zatrudnionych dwóch, a dla reszty języku jest tam po kilka tysięcy, nie?
3035:  KMM - Chociażby.
3036:  KMM - Więc to widać, że te dysproporcje są, rzecz jasna, natomiast to nie zmienia faktu, że te mechanizmy AI-owe są.
3041:  KMM - No jeżeli już z kontekstu jest w stanie ktoś mi wyłapać, jaką ja chcę mieć reklamę, ponieważ wcześniej coś kliknąłem, to na pewno się da wyłapać.
3047:  KMM - Wiecie, w Patostreamie jest takie natężenie wulgaryzmów,
3051:  KMM - że nie wierzę, żeby się nie dało tego zrobić, tak samo jak algorytm z taką niesamowitą precyzją, nieprawdopodobną jest w stanie te dwie sekundy muzyki wychwycić, które wykorzystałem.
3064:  LC - Ale czy ty pamiętasz, co się działo przy Adpokalips 1?
3067:  LC - Bo były dwie Adpokalipsy na YouTubie.
3069:  LC - Przy Adpokalipsie 1 właśnie to się działo, że YouTube zatrudnił, akurat w języku angielskim, czyli już wtedy, no to był rok,
3078:  LC - 2014, jestem pewien, już wtedy zaawansowane algorytmy językowe do wyszukiwania przekleństw i one po prostu myliły się na potęgę, demonetyzowały.
3090:  LC - Wiesz, tak jak ja napisałem nuda, czy tam ktoś napisał jakieś słowo, czy powiedział jakieś słowo, czy użył jednego przekleństwa gdzieś tam w środku i nagle, wiesz, demonetyzowały całe duże kanały.
3102:  LC - Brały pod... I to była apokalipsa, bo to szło hurtowo,
3108:  LC - po wszystkim, więc ja przypuszczam, że oni by mogli wpuścić takiego dzikiego psa do tego ogródka, ale ileś ofiar, która by była
3119:  LC - dookoła, no niejako granat po prostu taki, taki wrzucony i wszyscy by oberwali i to bardzo mocno by oberwali i wiesz, materiały sprzed pięciu lat by ci wyskakiwały i sprzed siedmiu lat by ci wyskakiwały, bo się akurat po polsku jakieś słowa złożyły w jakiś zbitek, który akurat w fali dźwiękowej wygląda jak jakieś zaowalowane przekleństwa albo jakiś slur albo coś, coś takiego.
3142:  LC - Więc wiesz, no to jest, wydaje mi się, tak, być może mają takie narzędzia,
3149:  LC - ale wdrożenie ich prawdopodobnie będzie ich kosztowało taki damage, taki PR-owy damage będzie przy tym, że to masakra, bo wykoszą prawdopodobnie w iluś tam językach tysięcy twórców zupełnie niewinnych.
3163:  OR - Ale nie do końca, bo oni jak wprowadzają czasami różne rzeczy, to bardzo często robią je na początku w wersjach testowych,
3171:  OR - Ja uważam, że bez problemu mogliby zrobić coś takiego jak AI.
3176:  OR - Umówmy się, dzisiaj jest troszeczkę inne AI niż było w 2014, to zupełnie jakby jesteśmy w zupełnie innym miejscu pod względem tego, jak ono wygląda, ale nawet zakładając, że to co mówisz jest prawdą, no dzisiaj mamy też zupełnie inne formy uczenia się AI.
3188:  OR - Jeżeli wrzuciliby taki algorytm AI,
3191:  OR - który by faktycznie to robił, ale jeszcze nie dochodziłoby do momentu blokowania kont, tylko i tak dalej, tylko po prostu dawałby triggery i człowiek mógłby wtedy korygować te, no tak jak się AI uczy i mówić, okej, to nie są triggery, to są triggery, to nie są triggery, to są triggery i tak dalej, to przecież po którejś iteracji takiego AI ono zrobiłoby się całkiem precyzyjnie.
3210:  BFP - Zostawmy to sobie jeszcze na ostatni punkt naszego dzisiejszego spotkania, czyli życzenia i tam naprawdę możemy sobie popuścić wodzę wyobraźni, a nawet nie tylko wyobraźni, bo rzeczywiście są narzędzia, które można zrobić i można postulować o ich stworzenie, tym bardziej jeżeli YouTube jest w stanie tworzyć zajebiście.
3228:  BFP - precyzyjne reklamy targetujące i mieć narzędzia do tego, żeby podpowiadać nam jakie słowo chcemy wpisać w wyszukiwarce albo w naszym systemie operacyjnym w telefonie, ale zostawimy to sobie za moment.
3242:  BFP - Zenzi Freak napisał, stara prawda jest taka, że 90% ludzi pragnie oglądać niewartościowy content na YouTubie, nie można tego ignorować, po pierwsze kasa, po drugie kasa.
3250:  BFP - Rzeczywiście jest to stara prawda, bo jest to ludowa mądrość.
3253:  BFP - Ja nie mogę nawet powiedzieć nie,
3255:  BFP - Po prostu nie widzę, dlaczego miałby krzywdzić twórców jednocześnie.
3259:  BFP - YouTube właśnie to robi, to znaczy krzywdzi twórców.
3261:  BFP - Może mieć poletko, w którym zarabia w taki sposób, ale jednocześnie wspiera wartościowych twórców, a tego nie robi, ostatnio im utrudnia życie.
3269:  BFP - I w związku z tym, żeby zamknąć ten punkt i przejść do kolejnego, który nazwałbym nasze nakłady pracy, żeby trochę więcej powiedzieć o tym, ile kosztuje nas przygotowanie jakichś materiałów i dlaczego to nie zawsze jest od tak,
3283:  BFP - i jaki z tego mamy zwrot, to chciałem dorzucić do tych lęków jedną rzecz, o której mówiłem na początku, Leszek.
3290:  BFP - Leszek powiedział...
3292:  BFP - Bałbym się stać się produktem.
3294:  BFP - I ja się tego autentycznie boję.
3296:  BFP - To znaczy ja mam bardzo deprecjonujące podejście do tego, czym się zajmuję na YouTubie.
3300:  BFP - W sensie czasem patrzę na przykład na filmy Krzysztofa o edukacji i myślę, co ja robię, jak ja pieprzę o tych serialach.
3305:  BFP - W sensie ja wiem, że to ma wartość, ale dla mnie to nie ma aż takiego impaktu.
3310:  BFP - I teraz myślę o pewnych innych kanałach, które idą w komentary, które idą w inne formy.
3317:  BFP - I zawsze podaję przykład tego...
3321:  BFP - No jednak bardzo poczciwego roka, więc nie chcę już tutaj przytaczać roka, którego bardzo cenię i bardzo szanuję.
3328:  BFP - I żeby pokazać jak oddzielam krytykę od hejtu, to podam przykład mojego kolegi, którego skrytykuję, ale nie będę hejtował.
3335:  BFP - I to jest Kiszak.
3336:  BFP - Mój kolega Kiszak, który prowadzi też kanał i ma taką wiedzę o grach, ma taką wiedzę o Souls-like'ach, o grach typu Dark Souls, ale jak ja patrzę na jego kanał, to ja widziałem, że on przedwczoraj wypuścił 5 filmów, wczoraj wypuścił 3 filmy.
3353:  BFP - Połowa z nich, to jest Kiszak, odpowiada na komentarz, na który odpowiedział inny YouTuber.
3359:  BFP - Kiszak ogląda ten film innego YouTubera.
3361:  BFP - Kiszak komentuje ten news.
3364:  BFP - Jakby ja chcę zadać pytanie, czy my naprawdę potrzebujemy takiego zasrania kontentu na YouTubie?
3369:  BFP - Czy my naprawdę potrzebujemy tych treści?
3372:  BFP - Jakby z całym szacunkiem dla Kiszaka, bo ja wiem, że on to robi na Twitchu, gdzie ten format wygląda trochę inaczej, ale my zaczynamy cierpieć na nieprawdopodobny przesyt kontentu.
3382:  BFP - Jakby chmury to udźwigną.
3385:  BFP - Nasze możliwości poznawcze i algorytmy już niekoniecznie to dźwigają.
3389:  BFP - I ja kibicuję Kiszakowi.
3391:  BFP - Ja uważam, że on może robić fantastyczne eseje, ale rozumiem dlaczego on tego nie robi.
3396:  BFP - Wiecie dlaczego?
3397:  BFP - Bo jak ja robię esej i jeszcze jakieś dwa filmy na tydzień, łącznie dwa filmy na tydzień, to mam osiem filmów w miesiącu.
3405:  BFP - I na te osiem może dwa zaprażą.
3407:  BFP - A Kiszak robi pięć i łącznie dwadzieścia w miesiącu.
3411:  BFP - I u niego zapraży pięć albo dziesięć.
3414:  BFP - U niego statystycznie jest większa szansa na to, że on wymiotując ten content...
3419:  BFP - trafi przy mniejszym nakładzie czasu i pracy w coś, co sprawi, że mu się to zwróci, a mnie się niekoniecznie zwraca.
3427:  BFP - I z tego punktu właśnie chciałem przejść do nakładów.
3431:  LC - Powiem wprost, podając może taki przykład, bo nie chcę mówić o tym... Powiem wprost, podaję numer konta i tutaj musimy od ojca dyrektora się nauczyć podawania numeru konta, bo to jest właściwy moment teraz.
3443:  BFP - Powinieneś taką beleczkę mieć jeszcze, która... Każdy, każdy, kto chce wesprzeć na Patronite, to widzi tam na dole i może to zrobić.
3452:  BFP - Ja nie będę mówił o tym, jaki jest mój nakład pracy, kiedy przygotowuję jakikolwiek odcinek, bo uważam, że to rzeczywiście jest pasja.
3460:  BFP - I nie uważam, że to powinno być jakkolwiek wyceniane.
3463:  BFP - Ale mogę podać prosty przykład, nie wiem, chociażby ostatniego filmu Blue Eye Samurai.
3469:  BFP - 18 tysięcy wyświetleń to jest 170 zł.
3475:  BFP - 180 zł zwróciło.
3476:  BFP - 18 tysięcy wyświetleń.
3478:  BFP - Czasem to jest 220, czasem to jest 160 zł.
3482:  BFP - To mogę powiedzieć Wam, to nie pokrywa kosztu montażu, którym zajmuje się Michał Idasiak, plus okładki, którą przygotowuje albo Agnieszka, albo Dominika.
3491:  BFP - Jakby to się nie zwróciło.
3493:  BFP - Jakby było 200 zł, to by się zwróciło.
3496:  BFP - Ale obecnie się nie zwróciło.
3497:  BFP - Teraz ktoś może powiedzieć, no to sobie sam montuj.
3501:  BFP - No to sobie sam rób okładki.
3504:  BFP - Jak najbardziej.
3505:  BFP - Ale tego nie zrobię.
3506:  BFP - Bo jeżeli jest ktoś, kto może to zrobić lepiej, to wygląda ładniej, to jest przyjemniejsze dla was w oglądaniu, a ja bym robił to dłużej, no to podstawy ekonomii mówią, no daj to komuś, kto zrobi to lepiej.
3519:  BFP - Poza tym,
3520:  BFP - Szczycę się tym, że wszystkie pieniądze, które idą na Patronite'a i tak naprawdę jest.
3524:  BFP - Idą do innych twórców, właśnie do Agnieszki i Dominiki za pracę artystyczną, którą wykonują jak trafia do patronów i także do Michała Idasiaka, który jest świetnym montażystą i mi się to bardzo podoba.
3535:  BFP - Ale gdybym nie miał Patronite'a, to by się to nie zwróciło.
3539:  BFP - Bo mniej więcej na filmach, czyli reklamach, gdybyście spojrzeli na reklamy, to ile ty zarabiasz na tych, ile ci płaci YouTube?
3547:  BFP - To bym powiedział od 1500 do 2500 złotych, mniej więcej, z reklam, to co płynie z reklam.
3556:  BFP - A wiecie ile dostaje od was, od społeczności?
3559:  BFP - Dwa razy tyle.
3560:  BFP - Znaczy nie dwa razy tyle, w sensie pięć tysięcy, tylko drugie razy tyle.
3564:  BFP - Ja sprawdzałem ostatnio ile jest wsparcia na bezschematu, czyli od osób, które wspierają kanał i to jest 2600 złotych.
3570:  BFP - To znaczy, chciałbym żebyście to odnotowali, to znaczy, że wy, społeczność, płacicie mi więcej niż YouTube.
3580:  BFP - I na tym na razie poprzestanę, oddam głos Krzysztofowi.
3583:  KMM - No ja teraz spojrzałem, moi drodzy, o teraz mogę spojrzeć do drugiej kamery, haha, spojrzałem w tym momencie na statystykę u mnie.
3590:  KMM - Najczęściej oglądanym filmem jest Witej w szkole, czyli w piekle, haha.
3595:  KMM - 199 tysięcy 400 wyświetleń kontentu edukacyjnego, który się podobno nie klika.
3602:  KMM - 1151 złotych i 56 groszy.
3604:  KMM - Więc dla mnie to jest fajny bonus, ponieważ film ten nagrałem, ile on ma?
3609:  KMM - On ma dokładnie tyle minut, ile go nagrywałem, ponieważ nagrywałem bez montażu, tak?
3614:  KMM - Ja wszystko robię live.
3617:  KMM - Zapłaciłem, płacę 500 złotych rocznie za Epidemic Sound, który daje mi muzykę, w związku z tym już to trzeba podzielić na 12 miesięcy.
3626:  KMM - No i jeżeli wyłączymy wszystkie, wtedy akurat nie miałem żadnych inwestycji w sprzęt poważnych, więc to była kamerka Logitecha Brio za 1200 złotych, mikrofon SPC Gear za 150 do 200, a i lampka Elga to jedna, która kosztowała 700 złotych.
3644:  KMM - W związku z powyższym, już w tym momencie, jeżeli bym zsumował te wydatki takie bazowe na entry level YouTube'a, to już jesteśmy powyżej budżetu tego filmu.
3655:  KMM - Więc podkreślę raz jeszcze, rozumiem twórców, którzy robią segment sponsorowany.
3661:  KMM - Ja mogę sobie pozwolić na to, żeby go nie robić, ponieważ tak jak mówi Filip, finansuje mnie w 100% społeczność.
3667:  KMM - Praktycznie mogę powiedzieć w 100%, ponieważ to co YouTube daje, pamiętajcie, że to nie jest 1000 zł, które wam wpada na konto, bo...
3674:  KMM - Film zrobił 200 tysięcy w ciągu dwóch dni, u mnie to było w ciągu ostatnich dwóch i pół roku praktycznie.
3681:  KMM - Więc to nie jest viable and sustainable model, mówiąc po angielsku.
3686:  KMM - To nie jest model, który jesteście w stanie utrzymać finansowania.
3689:  KMM - Dlatego właśnie crowdfunding absolutnie uważam, że jest przyszłościowy, chociaż ja osobiście nie mam żadnych złudzeń.
3695:  KMM - że walna część z osób, które wspierają kanał, wspiera go po to, żeby mieć jamniki, ponieważ emoji, które zaprojektowała Dominika, są zajebiste i szczerze powiedziawszy, gdybym sam mógł wspierać własny kanał, to bym to zrobił!
3706:  KMM - I nie tylko z pobudek narcystycznych, ale bym to zrobił po to, żeby mieć te jamniki.
3710:  KMM - Więc wiecie, to też jest kwestia tego, co możemy dać ludziom od siebie, albo od artystów, którzy z nami współpracują, prawdziwych artystów, nie takich youtuberów, którzy przydawkowali granulat, i...
3721:  KMM - I faktycznie zastanowić się nad tą synergią, która może być.
3723:  KMM - Dlatego też uśmiecham się, jak ktoś mówi o właśnie byciu na pasku Google'a, czy pracowaniu na korporacje, bo jest to, jak powiedział Filip, jeżeli rzeczywiście czymś jest dłużnikiem, to społeczności w takiej sytuacji.
3736:  KMM - I to powoduje kolejny problem.
3738:  KMM - Miałem taką jedną sytuację,
3740:  KMM - i tu się wraz z wami podzielę tą mroczniejszą stroną, kiedy jedna z osób wspierających uważała, że może sobie kupić moją lojalność w tym sensie, żeby wymusić na mnie reakcję na jakiś content, który się pojawił w internecie.
3751:  KMM - No, odpowiedź, którą otrzymała ta osoba, była bardzo w moim stylu, tyle wam powiem, żeby nie zdradzać specjalnie, ponieważ uważam, że moja suwerenność twórcza na przykład człowieka, który z definicji okazuje désintéressement wobec wszystkiego, co się na jego temat pojawia w sieci, ponieważ mój kanał nie jest o mnie.
3768:  KMM - Jest mój, owszem, jest tutaj dużo moich poglądów i mojego światopoglądu, ale to nie jest kanał, w którym mówię, dzisiaj drodzy widzowie, rano sobie zjadłem jajecznicę, o Boże, i potem sobie poszedłem i jajecznicę.
3782:  KMM - To nie jest o tym, tak?
3783:  KMM - Albo nie będzie o tym, że ja nagle sobie zrobię film pod tytułem, zjebałem, tak?
3788:  KMM - Tak jak powiem Krzysztof.
3790:  KMM - Albo, że zrobię sobie film pod tytułem, że o dzisiaj odkryłem, bo święty Antoni mi się pokazał na drzewie i uznałem, że w takim razie ja teraz przechodzę z bycia Łukaszem Jakubiakiem, który rozmawia z twórcami, do bycia Łukaszem Jakubiakiem, który będzie robił content spiritualistyczny.
3806:  KMM - Ja takich rzeczy nie robię, nie?
3808:  KMM - Natomiast dlatego cały czas podkreślam, że no trudno, żebym nagle na kanale zrobił content pod tytułem Krzysztof reaguje na kogoś, kto reaguje na Krzysztofa.
3817:  KMM - Bo z mojej perspektywy to byłoby okazanie braku szacunku wszystkim swoim widzom, ponieważ ośmielę się stwierdzić, że oglądają mnie ludzie, którzy nie oczekują tego rodzaju treści, a nawet jeżeli ich oczekiwali, to po trzech latach zorientowali się, że ich nie dostaną i jakimś cudem dalej nie mają z tym problemu.
3833:  KMM - Więc to też jest moja znowu rada dla twórców.
3835:  KMM - Miałem już pierwszą radę dla początkujących twórców.
3838:  KMM - Być może miniatura z żółtym napisem i z wykrzywionym ryjem nie jest tą drogą artystyczną, którą musisz podążać, żeby się wyróżnić, bo niezależnie od tego, jak oceniamy miniatury z ryjem wykrzywionym i żółtymi napisami, jest ich w brud.
3852:  KMM - Więc jeżeli chcesz się wyróżnić, logika nakazuje,
3855:  KMM - Wyróżnić się, czyli nie robić tego samego co inni.
3858:  KMM - I druga moja rada, jeżeli naciskają na ciebie ludzie, zrób coś, zrób coś, zrób coś, zastanów się, czy to jest zgodne z twoim etosem twórczym, modelem pracy, światopoglądem, tym, że chcesz, żeby ten materiał był w internecie przez całe twoje życie na przykład.
3873:  KMM - Albo jeżeli zajmujesz jakieś stanowisko, to jest Kazus Fudemperora, który pracuje, wiele o tym razem mówił, że pracuje w takim miejscu, że no nie za bardzo może pokazywać twarzy, prawda?
3883:  KMM - Ale on sobie z tego zdaje sprawę.
3885:  KMM - A ilu młodych twórców puszcza content do sieci pod właśnie kliki, pod oglądalność, pod wyświetlenia, potem dostaje wysokopłatną pracę i jest problem nagle wizerunkowy, bo ludzie przeczesują media społecznościowe wszystkie.
3897:  KMM - I też mogą przeczesać YouTube'a i może się coś takiego okazać.
3900:  KMM - Więc summa summarum, jeżeli chodzi o
3903:  KMM - stronę finansową, no jest moi drodzy, chyba nie powiem nic nowego, tak jak we wszystkich innych pracach, no musi w pierwszej kolejności iść kompetencja i to co chcecie dać merytorycznie, a w drugiej kolejności musi iść chcieć dorobienia się i zarabienia.
3917:  KMM - No tak przynajmniej ja ustawiłem etycznie swoją rzeczywistość i swój świat, lata całe na przykład, Filip się uśmiechnie, bo sam mnie o to napomina, nie brałem żadnych pieniędzy za jakiekolwiek swoje występy, bo uznawałem, że przecież ja jestem opłacany z pieniędzy podatników, tak.
3932:  KMM - No dobrze, ale rzeczywiście w odniesieniu do spraw naukowych tak, ale w odniesieniu do spraw pozanaukowych mógłbym.
3938:  KMM - Co nie zmienia faktu, że przez 15 lat swojego funkcjonowania nie brałem.
3942:  KMM - Więc wiecie, to się da zrobić i da się przeżyć, nie umiera człowiek, nie traci godności.
3948:  KMM - Ale to też nie oznacza, że nie należy siebie doceniać w którymś momencie.
3952:  KMM - Ja teraz z własnymi studentami rozmawiam i oni mi mówią na przykład, że robią komuś jakąś grafikę za bezdurno, to mówię, no słuchaj, dobrze, zrób tak parę razy, ale w którymś momencie musisz znać swoją stawkę i powiedzieć, moja godzina jest warta tyle a tyle.
3968:  KMM - No i też spójrzcie na to właśnie od tej strony, że różni twórcy muszą też wyceniać swoją godzinę.
3973:  KMM - Jak Dawid Myśliwiec mówił o swoich materiałach, to on nie nagrywa materiałów tak jak ja, że sobie włącza kamerę i 40 minut montuje, tylko wcześniej ma research, za tym researchem idzie fact checking, to samo ma Kurzgesagt.
3985:  KMM - Kurzgesagt w ogóle ma cały zespół od fact checkingu, więc ich minuta filmu czy godzina pracy będzie o wiele inaczej wyceniana i z tego też trzeba zdać sprawę, powiedział Krzysztof, zakończywszy tę przydługą wypowiedź.
3997:  BFP - To chciałbym przekazać teraz pałeczkę Leszkowi, a później Oskarowi.
4002:  BFP - Mówimy o nakładzie, mówimy o zwrocie.
4005:  BFP - Nie oczekuję od Was, jeżeli nie chcecie o tym mówić, jakie macie zarobki z YouTube'a.
4009:  BFP - Możecie mówić procentowo, możecie mówić, czy jesteście zadowoleni, czy nie jesteście zadowoleni, ale chciałbym dowiedzieć się i chciałbym, żebyście też innym powiedzieli.
4019:  BFP - Tak naprawdę chciałbym nawiązać do jednej rzeczy.
4021:  BFP - Może zrobię taką bardzo ważną rzecz.
4024:  BFP - Ja ich nazywam wujaszkami YouTube'a.
4026:  BFP - Wujaszkowie YouTube'a to są ci goście, którzy rozpieprzą się na kanapie albo na fotelu w klapkach Kubota, oglądają wasze treści za darmo, dokładnie tak jak inni.
4037:  BFP - Ale oni mają pretensje o to, że wyświetlają im się reklamy i w szczególności mają do was pretensje, kiedy zachęcicie bądź poprosicie o wsparcie, że macie czelność o to poprosić, bo to jest żebranie.
4049:  BFP - I w przeciwieństwie do innych, potrzebują się tym jeszcze podzielić.
4053:  BFP - Więc siedzą w tych klapkach Kubota, oglądają wasze materiały za darmo i mówią, musisz nasrać tyle reklam?
4060:  BFP - To się pojawia pod filmami napisu końcowych na przykład.
4062:  BFP - Albo do mnie, ja nie mogę patrzeć, jak ty żebrzesz po te pieniądze.
4067:  BFP - To pokazuje, że ty nie jesteś prawdziwym twórcą, że to nie jest twoja pasja.
4071:  BFP - I teraz za każdym razem, kiedy myślę o wujaszkach YouTube'a,
4075:  BFP - Mam z tyłu głowy, że za każdy akt pogardy, który oni mi pokazują, ja mogę odwdzięczyć się wyłącznie współczuciem.
4083:  BFP - Bo ja mogę przestać prowadzić YouTube'a.
4085:  BFP - I wiem, że są inne opcje, które na mnie czekają.
4089:  BFP - a mam obawy, że oni nie.
4090:  BFP - I stąd bierze się ta frustracja.
4092:  BFP - Może nie, może tak, ale jeszcze będę nawiązywał do tego, dlaczego uważam, że nie powinno być problemu z banowaniem takich ludzi.
4100:  BFP - I dlaczego YouTube celowo dał nam taką opcję.
4103:  BFP - I dlaczego to nie jest cenzura.
4105:  BFP - To jest po prostu wypieprzanie kogoś ze swojego własnego lokalu, a nie z miasta, ponieważ w swoim własnym lokalu ma się swoje własne zasady i nie chce, żeby taka osoba zniechęcała innych do tego, żeby do niego przychodzili.
4118:  OR - Ale czekaj, ale rozumiem, że banowanie to będzie kolejny temat.
4121:  OR - Będzie.
4122:  BFP - Jak najbardziej będzie.
4125:  BFP - Więc chciałbym, żebyście powiedzieli, czy nakłady, które wkładacie, to co inwestujecie, swój kanał się zwraca, czy to maleje, czy to rośnie, tak żeby ludzie też mieli jakieś naoczne pojęcie o tym, no właśnie, że to nie jest abstryknięciem palców.
4144:  LC - Napowiedziałeś o tych klapkach Kubota i ja od razu popatrzyłem na dół, bo siedzę w klapkach.
4149:  BFP - To ty piszesz do mnie te komentarze do jasnej cholery.
4151:  LC - To są tak stare klapki, że logo się zmazało, więc nie jestem pewien.
4155:  KMM - Nie liczy się, jak nie masz białych skarpet, bo one są w zestawie z klapkami Kubota.
4159:  LC - Nie mam, nie mam.
4160:  LC - Mam białe, nieopalone nogi.
4163:  LC - Natomiast do kilku rzeczy chciałem się odnieść odnośnie takiej losowości tego swojego kolegę Kiszaka.
4171:  LC - Kiszak to jest ten jego kanał.
4174:  LC - Mówiłeś, że właśnie robi taki content, pięć filmów w tygodniu i uczestniczy w takim wielkim loterii.
4183:  LC - numery tego tygodnia, bęben maszyny losującej zostanie zwolniony i wybiera się filmik, który dzisiaj YouTube będzie pchał, a jutro go nie będzie pchał.
4194:  LC - Wielka tajemnica algorytmu jest pod tym wszystkim ukryta.
4202:  LC - I powiem Ci to zresztą Filip, to wiesz, ja pracuję z wieloma twórcami i też z firmami jako doradca od czasu do czasu, próbując właśnie pomóc zoptymalizować treści i czasem jest taka loteria, taka zgadłość, zgadula, co się sprawdzi, co się nie sprawdzi.
4219:  LC - Tak samo uczestniczę w mastermindzie youtuberów zagranicznych akurat, jestem jedynym Polakiem w tym mastermindzie.
4226:  LC - Gości, którzy mają kanały po 2-3 miliony subskrybentów, mają wyświetlenia po 15 milionów, 20-30 milionów wyświetleń na rynkach anglojęzycznych i innych, zresztą niemieckich, francuskich i tak dalej.
4240:  LC - I czasem powiem szczerze, że dziwne jest to, co dzieje się na YouTubie, bardzo tajemnicze, ciężko to rozgryźć.
4249:  LC - Dlaczego o tym mówię?
4251:  LC - Bo takim złotym standardem i fajnie o tym opowiada akurat pytany, najbardziej popularny na YouTubie MrBeast,
4258:  LC - jak prawda tworzyć te treści.
4260:  LC - On słusznie zauważa, że inwestowanie w jeden konkretny film się opłaca na zasadzie dokręcania, jeśli rozebrać całą sztukę filmotworzenia na ileś tam komponentów, no nie scenariusz, kto prowadzi narrację, jaki jest montaż,
4277:  LC - jaki jest tempo, jaka jest muzyka, jak rozbierzemy i każdy z tych elementów będziemy tweakować o 1% lepiej, no to sumarycznie, prawda, jako całość uzyskamy jakiś efekt skali dodatkowy, bo tak samo na YouTubie, jak masz, nie wiem, powiedzmy 10% lepszy film w teorii,
4296:  LC - to mechanizm wyświetleń tego, jak YouTube pcha film do ludzi, jest wykładniczy.
4306:  LC - Czyli Ty zrobisz 10% lepszy film, ale uzyskasz 200% więcej albo 700% więcej wyświetleń.
