Popkulturowe TOP 2021. Najlepsze filmy, seriale i gry wg Bez/Schematu
🔗 https://www.youtube.com/watch?v=orC4wIAD1FU
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - Ostatnia porcja bez schematu w tym nieszczęsnym roku.
1681:  BFP - Jest bardzo współczesny, dzisiejszy, ma świetne elementy, które są RPGowe, ale podszywają się w ogóle nie pod RPGowe elementy.
1691:  BFP - Sposób wydawania rozkazów członkom drużyny nigdy się nie nudzi, tak jak nigdy nie nudzi się walka.
1697:  BFP - Ale ponad wszystko ta gra stoi na doskonałych dialogach i świetnie napisanych postaciach.
1703:  BFP - Fabułę tej gry spokojnie można by przenieść jako trzecią czy czwartą część Guardians of the Galaxy i być może byłaby lepsza niż to, co zrobił James Gunn w pierwszej i drugiej.
1711:  BFP - Tak dobre to jest i tak bardzo jest to doceniane.
1714:  BFP - To tyle, jeżeli chodzi o honorowe wzmianki.
1716:  BFP - Grą roku dla mnie jest produkcja Arkane Studios, czyli Deathloop.
1722:  BFP - Jest to tak świeża pozycja, tak nietypowa, wykorzystująca klocki, które pojawiały się już w innych grach, ale mająca fantastyczny koncept.
1730:  BFP - Jesteśmy uwięzieni na wyspie, jesteśmy w pętli czasu, zapamiętujemy wszystko, co się z nami dzieje, ale musimy się z niej wyrwać i co jeden dzień na nowo resetuje się czas.
1742:  BFP - I jak czegoś nie zrobimy danego dnia, trudno, musimy zresetować dzień i zrobić to na nowo, więc cały czas jest backtracking, cały czas powtarzamy te same sekwencje, te same rzeczy, ale zaczynamy sami, zmuszeni do tego, kombinować jak można to zrobić inaczej.
1756:  BFP - Inaczej dobierać moce, którymi dysponuje główny bohater, inaczej dobierać ekwipunek, inne trasy wybierać, wspomnieć.
1763:  BFP - Wspaniała gra, która pokazuje też jak Dark Souls, jak można tworzyć ciekawe poziomy, które odkrywają swoje kolejne warstwy stopniowo.
1770:  BFP - W zależności od pory dnia, w której pojawiamy się w danej lokacji.
1772:  BFP - I też to musi wybrzmieć wybitna gra aktorska.
1777:  BFP - Voice acting na poziomie Red Dead Redemption, na poziomie The Last of Us, na poziomie Bioshocka, czyli tak wygląda voice acting, kiedy zatrudnia się prawdziwe talenty.
1788:  BFP - Nie tradycyjnych aktorów, tylko aktorów, którzy...
1792:  BFP - potrafią dokonać cudów swoim głosem.
1795:  BFP - I dzięki temu postać Colta i postać polującej na niego nie powiem kogo, bo to jest dla tych, którzy będą chcieli zagrać w grę, ciekawa zagadka i ciekawe rozwiązanie.
1806:  BFP - Dialogi między tymi dwiema postaciami, między łowcą a ofiarą, którą gramy, są absolutnie złote, nigdy mi się nie nudziły i nawet, uwaga, były lepsze niż dialogi w Guardians of the Galaxy.
1818:  BFP - To tyle, jeżeli chodzi o gry.
1820:  BFP - Grzegorz.
1823:  GW - No cóż, to tutaj starałem się oddać sprawiedliwość mniej więcej każdej platformie, więc chociaż na Switcha nic nie mam, ale w tym roku, jeżeli chodzi o takie wybitne gry, natomiast na pewno hicciorem, który warto
1845:  GW - Warto się zapoznać z racji tego, że jest to debiut w ogóle studia Ember Labs, które do tej pory zajmowało się reklamami i animacjami.
1855:  GW - No po prostu pozazdrościć takiego debiutu.
1857:  GW - Doskonale zanimowana, przepiękna, interaktywna opowieść z dozą skakania, przyjemnego systemu walki i elementami logicznymi.
1865:  GW - Bridge of Spirits, dostępna na PC, PlayStation 4 i 5.
1870:  GW - Towarzyszymy tytułowej Kaynie, która by uwolnić znękane dusze i przeprowadzić je na tamten świat, uzdrawia prainę, która została obłożona klątwą.
1883:  GW - Mamy motywy tam z Beyond Good and Evil, mamy motywy z Pikminów, bo mamy przecudowne, urocze stworzonka zwane Rot, które za nami podążają, pomagają nam w łamigłówkach.
1894:  GW - czy też okami.
1896:  GW - Absolutnie warto, zwłaszcza, że gra jest sprzedawana za połowę ceny AAA, a w promocji na Epic Store ostatnio była nawet za 60 zł.
1903:  GW - Jest prześliczna.
1905:  GW - Jest prześliczna.
1906:  GW - To jest 10-15 godzin intensywnej rozgrywki, która się naprawdę nie nudzi.
1910:  GW - Potem Psychonauts 2 na PlayStation i Xbox Series X, dostępna również w Game Passie.
1917:  GW - No to tutaj znowu jest pokaz maestrii Tima Schafera, który pokazuje, że jest mistrzem designu i tak skomplikowane i trudne tematy jak psychologia i psychoanaliza w modelu Junga może zostać pokazana w kolorowej, popkulturowej i bardzo ciekawej formie.
1933:  GW - To jest kontynuacja historii Rasputina, psychonauty, czyli właśnie eksploratora ludzkich umysłów, który wędruje, eksploruje przemyślenia mózgi innych ludzi, dochodząc do ich traum, problemów, fantazji, dokonując bardzo osobliwych terapii w takim kompletnie abstrakcyjnym stylistycznie świecie.
1958:  BFP - I zaznaczmy, że dokładnie też taki był Rasputin w cesarskiej Rosji.
1963:  BFP - Dokładnie to samo robił i dokładnie w tej samej stylistyce.
1966:  GW - No ale nie wywoływał cudzych mózgów przez bekon, także... No ale w każdym razie patenty, które się tam odwalają to jest naprawdę... Nie zobaczycie nic takiego innego w żadnej innej grze, naprawdę.
1981:  GW - Także warto się zapoznać.
1984:  GW - No i oczywiście moja absolutna rewelacja tego roku to jest Ratchet and Clank Rift Apart na PlayStation 5.
1992:  GW - Tak powinny wyglądać wszystkie gry nowej generacji.
1996:  GW - To jest pełnoprawna, gdyż Miles Morales to jest tylko dodatek dodatkowo mimo wszystko dostępny na PlayStation 4.
2005:  GW - produkcja na nową generację konsol, która jest jakby interaktywnym filmem Pixara i to mówię z pełną powagą.
2014:  GW - Jest fantastyczna wizualnie, przepełniona drobnymi detalami, ultrapłynna, ze świetną fabułą, pełną humoru na co najmniej dobrym poziomie, dość długą, bardzo regrywalną.
2026:  GW - Jeżeli ktoś posiada PlayStation 5, powinien się obowiązkowo z nią zapoznać.
2031:  GW - ekipa Insomniac Games towarzyszy marce PlayStation od samego początku istnienia i nigdy nie zawiodła.
2037:  GW - Jedna rzecz, która ich wszystkie gry wyróżnia, to jest to, że mają bardzo pokręcone designy broni i mamy motywy typu wyrzucanie kuli dyskotekowej, która zmusza przeciwników do szaleńczego tańca.
2055:  GW - To jakby słuchało Krzysztofie na uczelni.
2062:  GW - Mamy małe robociki, które co chwila komentują, jeżeli gracz coś źle robi, już pomijając kwestię całego motywu z przenoszeniem się między wymiarami.
2078:  GW - który by technicznie był ledwie możliwy w stosunku do poprzednich generacji, a tutaj przez możliwości techniczne mamy to, że w ułamku sekundy przenosimy się pomiędzy całymi światami.
2091:  GW - Gra jest absolutnie zachwycająca, nic innego lepszego nie zagrałem w tym roku, a mam na koncie ze 30 parę tytułów, więc myślę, że tutaj
2103:  GW - Ten tytuł jest zdecydowanie wart zapoznania się, oczywiście niestety dostępny tylko na PS5, ale być może za niedługo, z racji tego, że Sony pracuje nad tym, żeby kolejne ekskluzywy udostępniać na PC, gracze komputerowi też będą mieli szansę się zapoznać z tym tytułem, bo naprawdę warto.
2124:  BFP - To tyle ode mnie.
2126:  BFP - Powiem coś, co oczywiście mnie zatopi i stanie się pewnie jakimś takim audiosamplem,
2132:  BFP - Ale to boli, boli, że jestem PlayStationowym kakoldem i muszę oglądać jak inni grają w PlayStation 5, a ja wciąż w tej konsoli nie mam.
2144:  BFP - Proszę, zrobiłem wam przysługę, macie bloopera, który będzie faktycznie w odcinku.
2149:  BFP - Ja to wytnę i zapętlę.
2151:  BFP - Mam nadzieję.
2152:  BFP - Krzysztof.
2154:  KMM - Ja też nie mam PlayStation 5, ani żadnej innej konsoli, bo zawsze byłem graczem PC-towym i postanowiłem nawet ostatnio udowodnić sobie i wszystkim, że da się w Dark Souls 3 grać na myszyj klawiaturze.
2169:  KMM - Da się, oczywiście, że się da.
2170:  KMM - Jest to bardzo ciężkie, ale się da.
2172:  KMM - Wszystko się da.
2173:  BFP - Da się robić streama, którego ogląda 800 osób i dalej grać na tej klawiaturze i myszce całej.
2178:  KMM - Właśnie poniekąd do tego nawiązuję.
2180:  KMM - To znaczy, ja nie przyznaję gry roku 2021, dlatego że to jest moja czerwona kartka dla gamedevu z bardzo prostego powodu.
2188:  KMM - Ja nie dostaję wciąż obiecanej gry RPG, która miała wyjść, miała zmazać grzechy świata i wszystkich nas zbawić.
2198:  KMM - Jeden mesjasz gamedevu już mnie zawiódł w postaci CD-pu i cyberpunka.
2203:  KMM - Miałem dostać rozszerzenia fabularne, które sprawią, że ta gra będzie niesamowita w ogóle.
2208:  KMM - W dalszym ciągu, jak wchodzę do cyberpunka na potrzeby wykładów, to się błąkam po pustym mieście i tylko gwizdze wiatr i te takie charakterystyczne kule słomy na horyzoncie się przetaczają, tak, to na pustyniach zawsze, memicznie, filmowo.
2223:  KMM - Więc nie dostałem tak samo Baldur's Gate 3, który jest w alfie od nie wiadomo kiedy, mimo że pracuję nad nim w mojem ukochanym studiu.
2233:  KMM - Pracujemy nad tym, ile możemy, naprawdę.
2237:  KMM - No tak, wpadłem, wpadłem.
2239:  KMM - I tak czekam, czekam na tego RPGa, więc zacząłem grać w stare.
2243:  KMM - Grałem sobie w Red Dead Redemption 2, grałem w Wiedźmina 3, grałem w Dark Souls 3 i tak dalej, i tak dalej, ale...
2250:  KMM - Trzy wzmianki honorowe w związku z tym ode mnie, czekającego wciąż wytrwale na RPGa.
2256:  KMM - Po pierwsze, pierwsze specjalne wyróżnienie idzie do Creative Assembly.
2261:  KMM - Creative Assembly pokazało, że można wspierać długoterminowo produkt, nie robiąc równocześnie graczom świństwa.
2269:  KMM - Każdy dodatek do Warhammera Total War 2
2273:  KMM - Jest lepszy od jakiegokolwiek Total War'a z wyjątkiem Shoguna II, no bo to jest legenda, umówmy się, jak i kiedykolwiek wyszedł.
2281:  KMM - I to jest gra, w której spędzamy najwięcej czasu.
2285:  KMM - Mamy w tym momencie jakieś 2400 godzin na liczniku, z czego 1000 jest zostawione w samym 2021 roku.
2289:  KMM - I za 30 minut będziesz robił streama.
2294:  KMM - Nie mogę powiedzieć nic innego na temat Warhammera Fantasy.
2298:  KMM - Jest to gra wspierana absolutnie fantastycznie i według bardzo podobnego modelu, który pochwalę u drugiego studia.
2305:  KMM - Mianowicie dodawane są kolejne frakcje, ale także kolejne partie świata.
2309:  KMM - Cały Warhammer Fantasy i cały Warhammer Total War jest rozwijany przez Creative Assembly na zasadzie następującej.
2315:  KMM - Wprowadzamy stary świat, dobudowujemy nowy świat i teraz w trzecim Warhammerze, który ma wejść w lutym jest cały wschód.
2323:  KMM - To jest idealny model światotwórczy i biznesowy również, ponieważ nie żeruje na tym sequelability, dorzucaniu kolejnych sequelów fabularnych, tylko dobudowuje kolejne partie świata i można to robić potencjalnie nieskończenie.
2339:  KMM - To jest nawiasem mówiąc to, co zrobiło Arkane przy serii Dishonored, wspomniane już Arkane Studios, bo Filip mówił o Deathloop.
2347:  KMM - Teraz druga wzmianka honorowa węduje, teraz mi się oberwie strasznie, do studia MiHoYo.
2354:  KMM - Genshin Impact jest grą mobilną.
2356:  KMM - Grą mobilną, która wszelako zawojowała wszystkie platformy i zrobiło się o niej tak głośno, jako żadne inne.
2363:  KMM - Wiem, Grzegorz mnie teraz nienawidzi.
2365:  KMM - Ale dlaczego chwalę Michoyo?
2366:  KMM - Nie dlatego, że stworzył obrzliwy mechanizm monetyzacyjny, który wyciąga od graczy potworne ilości pieniędzy i jeszcze w dodatku wprowadza mechaniki hazardowe.
2375:  KMM - Nie, nie.
2376:  KMM - Bo to potrafi zrobić każdy i to pokazało i Ubisoft i EA, ale Michoyo robi to szczególnie skutecznie.
2382:  KMM - Natomiast chwalę, Michał, za to, że równocześnie, jeżeli jesteśmy w stanie grać w tę grę bez podpiętej karty kredytowej i to jest mój pochwalany i rekomendowany sposób grania w tę grę dla wszystkich, którzy nas słuchają, to jest to interesująca, przyjemna przygoda w świecie animkowym, wprawdzie bardzo przypominająca Legend of Zelda, ale w odróżnieniu od Legend of Zelda, wykorzystująca właśnie dokładnie ten sam mechanizm rozwoju świata.
2412:  KMM - przykuwa.
2414:  KMM - Osobiście zawsze logowałem się do Genshin'a wtedy, kiedy pojawiał się nowy region i nowe w nim opowieści do odkrycia.
2420:  KMM - Nie interesowało mnie wszystko to, co jest poza tym, czyli robienie buildów na podstawie arkusza kalkulacyjnego.
2427:  KMM - To jest styl gry, którego nigdy nie zrozumiem.
2431:  KMM - I jeżeli chodzi o trzeci tytuł growy, jest mało znany, to będzie ze studia Indii, mianowicie Riftbreaker.
2440:  KMM - Riftbreaker jest połączeniem Hack'n'Slasha, Tower Defense i klasycznego RTSa, czerpiącym to co najlepsze z takich tytułów jak They Are Billions, ale również
2452:  KMM - dobrych tower defensów.
2454:  KMM - Jest to gatunek, który szczególnie sobie upodobałem, z racji tego, że ja zawsze tortluję we wszystkich, żółwiuję, o, tak będzie ładnie po polsku, we wszystkich grach strategicznych.
2463:  KMM - I myślę sobie, że można spokojnie mówić w przypadku Riftbreaker o inspiracjach z takiego Death Trappa, z Gemcrafta i innych tego typu.
2474:  KMM - Więc jeżeli ktoś też lubi tower defensy, ale równocześnie chciałby czegoś w rodzaju kampanii fabularnej, charakterystycznej dla klasycznych RTS-ów,
2481:  KMM - I jeszcze mieć takie fantastyczne, nostalgiczne wspomnienie z pierwszej Dune'y, jeżeli ktoś jeszcze pamięta, w której można było budować chodniki.
2491:  KMM - To jest pierwszy RTS, w którym mogę budować chodniki i sprawić, że moja baza będzie śliczna, pomijając to, że będzie skuteczna i będzie miała mnóstwo wieżyczek, które plują ogniem.
2503:  GW - Pokochałbyś Frostpunk.
2506:  GW - A jeżeli komuś jest w ogóle bliski właśnie polski gamedev, jego sercu i tak dalej, no to pragnę tylko zaznaczyć, że Read Breakers jest od Exor Studios, które ma swoją siedzibę w Szczecinie i chłopaki bardzo mocno się przykładali do tego, żeby ta gra właśnie miała taką jakość, a nie inną.
2524:  GW - Robili to przez dłuższy czas, ale zdecydowanie widać, że opłaciło się.
2528:  KMM - Widać i jest duży postęp w stosunku do Exmo of Defense, który był poprzednim ich tytułem.
2534:  KMM - też był świetnym tower defense i też właśnie łączył te dwie wydawałoby się sprzeczne gatunki, prawda?
2540:  KMM - To znaczy jeden jest ten hack and slasha, w którym biegniemy przez całą mapę i wyrzynamy setki frogów, a z drugiej strony klasyczny RTS, w którym budujemy bazę i staramy się obronić.
2549:  KMM - Więc trzy honorowe wzmianki, ale zero wyróżnień ode mnie.
2552:  BFP - A jak lubisz budować chodniki i lubisz citybuildery, to czekaj na Gorda.
2560:  BFP - Dobrze mówię, Grzegorz?
2562:  GW - Pozdrawiamy Stana z tego miejsca.
2564:  GW - Tak, tak, jak najbardziej Gort może być w tym roku naprawdę bardzo ciekawym tytułem, który zawojuje rynek, bo mamy połączenie horroru, strategii, citybuildera,
2578:  GW - dbania o jednostki, a jednocześnie mamy bardzo ciekawie napisany scenariusz.
2585:  GW - I wszystko podlane oczywiście poważnym słowiańskim klimatem.
2590:  GW - Także może się podobać.
2592:  BFP - Grzegorz, jak już jesteś ad vocem, to twoje inne trzy pozycje.
2597:  GW - To matko święta.
2599:  GW - Powiem ci, że tutaj mi zabijesz ćwieka, bo się przygotowałem i z muzyki, i z książek, i nie wiem co wybrać.
2604:  BFP - No to Krzysztof może pierwszy, a ty się zastanów.
2608:  KMM - To ja zacznę chytrze, to znaczy wymienię dwie książki, ale tylko jednej dam miejsce pierwsze i ponieważ ma być bez schematu, to będzie to Mikołaja Marcela, Selekcje.
2621:  KMM - Fakt, to jest moja pozycja.
2623:  KMM - To jest książka, która...
2626:  KMM - No wybiła mnie z tropu, zbiła mnie w pantałyku i następnie wbiła w ziemię.
2632:  KMM - Czytałem ją w pociągu, jak wracałem z Warszawy i przeczytałem ją w całości od razu, a potem zacząłem ją czytać po raz drugi.
2641:  KMM - Jest to pozycja absolutnie przerażająca i dla każdego, kto w ogóle...
2646:  KMM - czuje, że chce kiedykolwiek się wypowiadać jakkolwiek na temat edukacji, pozytywnie, negatywnie lub w ogóle, jakkolwiek, to jest lektura obowiązkowa.
2655:  KMM - Także dlatego, że ta książka jest takim portalem do innych książek na temat edukacji, współczesnej kultury, humanistyki cyfrowej, mediosfery, internetu,
2666:  KMM - a także historii naszej kultury i cywilizacji, pokazuje w jaki sposób szkoła na każdym etapie infekuje, bo niestety ma taką strukturę wirusową, wszystkie sfery naszego życia i bardzo negatywnie wpływa na te także zjawiska, z którymi się spotykamy w pracy, na tolerancję wobec mobbingu itd.
2685:  KMM - Pozycja obowiązkowa.
2686:  KMM - Nieczęsto zdarza mi się czytać książki niefantastyczne, a jeszcze rzadziej mi się zdarza czytać książki popularnonaukowe.
2693:  KMM - Natomiast jako ciekawostkę na koniec wzmianknę, że to jest książka habilitacyjna, więc da się pisać książki naukowe na tytuł, na stopień, habilitacyjne, które są zarazem pozycją, którą jest w stanie przeczytać każdy.
2710:  KMM - I to jest dla mnie wzorzec absolutny tego, w jakim kierunku powinna zdążyć akademia.
2715:  KMM - Choć oczywiście niestety nie zawsze to jest możliwe.
2718:  KMM - Natomiast jeżeli chodzi o honorowe wzmianki, to pierwszego jedności musiał dostać Brandon Sanderson, bo jeżeli Brandon Sanderson napisze cokolwiek, to dostaje ode mnie od razu automatycznie wyróżnienie i nagrodę, ponieważ jest to jeden z najgenialniejszych pisarzy fantasy współcześnie żyjących, o ile nie najgenialniejszy współcześnie żyjący pisarz fantasy.
2735:  KMM - I nie tylko.
2737:  KMM - Mówię tu o Rytmach Wojny, kolejnym tomie Archiwum Burzowego Światła i jest to rzecz absolutnie kongenialna w stosunku do poprzednich tomów, które napisał z tego cyklu, co jest niezwykłe.
2749:  KMM - Zwykle jest tak, że saga jest nierówna, natomiast Archiwum Burzowego Świata jako projekt narracyjny osadzony w uniwersum kosmicznym po prostu onieśmiela swoim ogromem, ale nie tylko.
2759:  KMM - To nie jest tylko książka, w której jest wybitnie realizowany świat otworzeń i bardzo konsekwentnie,
2764:  KMM - Ale także jest to fascynująca i frapująca lektura, w której złapałem się na tym, że czytałem właśnie Sandersona wtedy, kiedy miałem atak kolki nerkowej w wannie.
2772:  KMM - Wierzcie mi, wtedy nic nie jest miłe, ale czytałem Sandersona, tak?
2777:  KMM - I zapominałem o tym, co się dzieje i zapominam o tym, że muszę sobie co chwilę dolewać do tej wanny przeklętego wrzątku.
2784:  KMM - Więc tak, Rodzenie kamieni nerkowych z Sandersonem, polecam.
2788:  KMM - I trzecia rzecz jako... To jest tzw.
2790:  BFP - alternatywny poród.
2791:  BFP - Tak.
2792:  KMM - I trzecia wzmianka dotyczy animacji, więc tutaj będzie zbiorcza nagroda dla animacji, które obejrzałem w tym roku, nie jestem w stanie tego inaczej powiedzieć i wyróżnić, to znaczy i Arkane, i Castlevania, i Smocze Książę, jest naprawdę bardzo dużo, i Love, Death and Robots, jest za dużo tych tytułów, żebym był w stanie wymienić wszystkie, więc wspominam tylko, żeby zwracać uwagę na animację, nie...
2818:  KMM - martwić się tym, że o, że ja nie lubię anime, albo o, to są kreskówki, albo ja dla mnie Pixar nigdy nie przemawiał.
2824:  KMM - Zacznijcie zwracać uwagę na animacje, te, które się ukazują w formie serialowej i także te, które są inspirowane różnymi światami fantastycznymi i także te, za które odpowiadała studia animatorów czy game designerów, bo to wydaje mi się jest przyszłość tego, w jaki sposób mogą wyglądać
2843:  KMM - Nie tylko filmy, ale i seriale fantastyczne.
2845:  KMM - I mogę śmiało powiedzieć, że każdy z tych wymienionych przeze mnie animacji bije na łeb, na szyję każdy serial fantastyczny, który obejrzałem w ciągu ostatnich pięciu do dziesięciu lat.
2854:  KMM - Więc wliczam w to grę o tron także i te dobre sezony gry o tron.
2858:  KMM - I myślę, że ktokolwiek, kto się trzyma od tego z dala, powinien częściej zaglądać na tę zakładkę animacja w serwisach streamingowych.
2866:  BFP - Wyróżniłeś trend.
2868:  BFP - Nie głupie, nie głupie.
2871:  BFP - Grzegorz.
2872:  GW - No dobra, to spróbuję to troszeczkę po prostu pomieszać, jednocześnie wbić trochę kij w mrowisko.
2880:  GW - Nie wiem, czy bardzo liczysz tutaj Filip na... Myrtoszu, przepraszam, bo masz kurczę cały czas wpisane Filip w awatarze i mi się kisi po prostu.
2889:  GW - No chyba wolałbym, żebyś mówił Filip, ale możesz mówić Bartosz.
2892:  GW - Okej.
2893:  GW - W każdym razie... Książka.
2897:  GW - I to jest książka jakby...
2902:  GW - Moje pierwsze miejsce, skoro już muszę coś wybrać, to to jest absolutnie pierwsze miejsce.
2907:  GW - Marta Niedźwiecka i Hanna Rydlewska, Slow Sex.
2910:  GW - Czyli świetna książka o relacjach, o budowaniu więzi, samoświadomości ciała, komunikacji zarówno w łóżku, jak i poza nim.
2919:  GW - Autorki opisują, jak można podchodzić do intymności w zabieganym świecie Tindera i płytkich jednorazowych związków.
2926:  GW - Książka nie tylko prezentuje sam problem i pewne rozpostrzeżenia, ale także ćwiczenia z różnego zakresu.
2934:  GW - I myślę, że to jest książka zdecydowanie warta uwagi dla każdego aktywnego seksualnie człowieka i tak jak mamy trend właśnie slow food w kuchni,
2946:  GW - gdzie uczymy się czekać na pewne rzeczy i je odpowiednio smakować, no to to jest dokładnie ten sam odpowiednik, tylko w stosunku właśnie do relacji intymnych.
2957:  GW - Później Honorable Mention, Jason Schreier, Press Reset, kompletnie inny biegun, ale... No to jego książka nowa wyszła.
2967:  GW - Tak, to jest kontynuacja Blood, Sweat & Pixels, najsłynniejszego spowiednika światowego gamedevu, czyli właśnie Jasona Schreiera.
2976:  GW - Każdy jego artykuł dąży do odsłonięcia kulis produkcji zarówno małych, jak i dużych tytułów.
2984:  GW - Człowieka warto czytać nie tylko na łamach serwisu Bloomberg, gdzie pracuje aktualnie, ale i zapoznać się właśnie z rozszerzonymi historiami zebranymi zarówno w...
2994:  GW - jak i w jego nowej publikacji, która zapewne w przyszłym roku będzie miała w końcu tłumaczenie.
3000:  GW - Autor opisuje tam wielkie sukcesy podszyte łutem szczęścia, jak i koncertowe porażki oraz historie takie...
3010:  GW - Redemption Arcs, można powiedzieć, czyli m.in.
3016:  GW - historię... No Man's Sky?
3019:  GW - No Man's Sky, dokładnie.
3020:  GW - Także ta książka zdecydowanie jest też warta zapoznania się i żeby domieszać, a jednocześnie z racji tego, że... bo nie mogę tutaj nie powiedzieć czegokolwiek o muzyce, a nie będziemy się...
3033:  GW - Pałować osobno, że tak powiem, z muzyką, to zdecydowanie, bo już miałem mówić, że Time Clocks by Joe Bonamassa jako moja topka, ale zdecydowanie ciekawsze, warte polecenia ze względu na to, jak bardzo to jest inne.
3050:  GW - To jest płyta Bruno Marsa i Andersona Packa, An Evening with Silk Sonic.
3055:  GW - To jest dla mnie absolutna rewelacja.
3057:  GW - Dream Team popowo-soulowy, serwuje nam w kilku utworach to, co najlepszego serwowały nam kiedyś lata 70. w zakresie funk i soul.
3067:  GW - I gorąco polecam sprawdzić wideoklipy na YouTube i nagrania na żywo.
3070:  GW - Jest to festiwal rewelacyjnego campu, a jednocześnie hołd w stronę tej epoki muzycznej.
3077:  GW - Same utwory są dynamiczne, świetnie nagrane, stylistycznie uderzające i dowcipne, a jednocześnie nawiązują właśnie warstwą tekstową.
3088:  GW - Jest tutaj taka subwersja, że teksty są bardzo, bardzo współczesne.
3095:  GW - Także dla każdego fana popu i fanku zdecydowanie obowiązkowo, a dla innych po prostu sobie zobaczcie chociażby Smoking Out The Window czy Leave The Door Open i przekonajcie się sami, a później sobie włączcie po prostu na Spotify i dajcie temu szansę.
3115:  GW - Myślę, że warto.
3116:  BFP - To ja tak w 5-6 minut się spróbuję zmieścić, bo Krzysztof zaraz musi lecieć na swojego streama, bo inaczej go 800 osób wyniesie na widłach.
3126:  BFP - Zacznę od muzyki.
3130:  BFP - I zaskakując może tych, którzy śledzą moje polecenia popkulturalne, które się ukazują nieregularnie raz na miesiąc, nie będę mówił Mastodon, nie będę mówił, nie wiem, Deftones, nie będę mówił Tool, powiem Dua Lipa.
3145:  BFP - I to jest płyta z 2020 roku, Future Nostalgia.
3148:  BFP - Ja ją odkryłem niedawno i ja jestem naprawdę zachwycony tym albumem, to znaczy...
3154:  BFP - To jest disco pop w najlepszej możliwej postaci.
3161:  BFP - Słuchałem wielu utworów z tej płyty na żywo, znaczy nie słyszałem na żywo, ale oglądałem nagrania wykonania Dua Lipy na żywo i jest to jedna z najlepiej panujących nad swoim głosem żeńskich wokalistek w muzyce mainstreamowej.
3176:  BFP - Bez wątpienia.
3176:  BFP - I nie mogę tego samego powiedzieć o Halsey, którą zachwalałem w tym roku i która pewnie byłaby drugą płytą, którą bym podał.
3184:  BFP - To nie jest talent Dua Lipy, tak bym powiedział, jeżeli chodzi o sam głos i wspaniała płyta ze wspaniałymi kawałkami, słucham jej w aucie od pewnego czasu, bardzo, bardzo robi mi dobrze.
3196:  BFP - Polecam też komiks, czy właściwie, no tak, komiks, nie wstydzę się tego słuchać, chciałem powiedzieć nowela graficzna, ale komiks to jest co innego i nowela graficzna nie musi być tym samym.
3207:  BFP - Byłem rozczarowany nieco pierwszym serialem MCU, który wyszedł w tym roku, czyli WandaVision.
3214:  BFP - Być może dlatego, że oczekiwałem tam więcej z komiksu Vision autorstwa Toma Kinga z 2018 roku.
3223:  BFP - Wanda Vision, która wydawało się wzorować na tym komiksie jest fabularnie
3231:  BFP - esencją swoją, dziecinna.
3234:  BFP - Jest infantylna w porównaniu z komiksem Toma Kinga, gdzie Tom King przez postać wyżana i jego rodziny androidów opowiada o istocie człowieczeństwa.
3244:  BFP - O pewnych przywarach typowo ludzkich, które rodzą się w maszynach
3248:  BFP - i które ich uczłowieczają na ich niekorzyść.
3251:  BFP - Tak bym to sprzedał.
3252:  BFP - Ja pochłonąłem to w jeden wieczór, to jest kilkaset stron, pochłonąłem to w jeden wieczór, nie mogąc się oderwać.
3257:  BFP - Coś wspaniałego i One Division wypada na tym tle naprawdę blado.
3262:  BFP - No i wreszcie chciałem polecić to samo, co polecił Krzysztof, czyli książkę naszego kolegi Mikołaja Marcelli,
3270:  BFP - Selekcje.
3271:  BFP - Czyli jak szkoła niszczy ludzi, społeczeństwa i świat.
3274:  BFP - Ja jestem zachwycony tą książką, bo ona została napisana przez rebelianta, który ma tytuł naukowy.
3279:  BFP - Człowieka, który naprawdę mówi zaorać, ale nie mówi zaorać jak anarchista, który chodzi w skórzanej kurtce i słucha Sex Pistols albo The Offspring, tylko rebelianta, który naprawdę ma jakąś koncepcję.
3294:  BFP - I jest to dla mnie wielka przyjemność, że
3299:  BFP - mogę z Wami robić te odcinki i mieć takich ludzi jak Wy do ciekawej rozmowy o popkulturze i jednocześnie prowadzić czy współprowadzić podcast na moim podcaście BFM, który też bardzo polecam z tego miejsca i prowadzić tam cykl z Krzysztofem i właśnie z Mikołajem na temat edukacji.
3318:  BFP - Wydaliśmy niedawno pierwszy odcinek, który okazał się niezwykle chętnie słuchany.
3322:  BFP - Mieliśmy dużo ciekawych wiadomości, spostrzeżeń, uwag i przygotowujemy kolejny odcinek, który będzie, o ile pierwszy mówił o wszystkich grzechach współczesnej szkoły, to teraz przechodzimy do działania, będziemy mówili nowa szkoła, czyli jaka.
3335:  BFP - Że może być alternatywa.
3337:  BFP - Może nie będziemy tak radykalni jak Mikołaj, ale zaprosimy do rozmowy Annę Szulc, która napisała właśnie książkę Nowa Szkoła i będziemy robili to we czwórkę.
3344:  BFP - Więc bardzo serdecznie tego zachęcam.
3347:  BFP - Cieszę się, że znam Mikołaja.
3350:  BFP - I na sam koniec, bo nie zostało nam wiele czasu, jeżeli będziecie chcieli, możecie też dodać to od siebie.
3355:  BFP - Czego ja najbardziej oczekuję w zakresie popkultury w 2022 roku?
3359:  BFP - Jeżeli chodzi o film, absolutnie czekam na marzec.
3362:  BFP - To jest Batman.
3364:  BFP - Martina Reevesa.
