🔴 Thrones of Delay — WARHAMMER 3 (frakcja Dawich i Imperium)
🔗 https://www.youtube.com/watch?v=httWILQnfRQ

73:  Czemu?
3677:  Dlaczego milicjanci chodzą trój... Rii.
3682:  Stul Rii.
3682:  To jest tutejszy paimon.
3684:  Wiesz, dlaczego milicjanci chodzą trójkami?
3686:  Jeden czyta, drugi pisze, a trzeci pilnuje tych dwóch niebezpiecznych inteligentów.
3691:  Nooo, tak.
3697:  Nooo, tak.
3700:  To brzmi jak dużo wojska.
3703:  A zatem zrobimy w ten sposób.
3708:  Uuu.
3716:  Tak, tego się spodziewałem.
3718:  Teraz tak, czy on ma zasięg dla nas?
3720:  Ma zasięg.
3723:  Ma zasięg, ale nie pełen.
3727:  I zrobimy tak.
3731:  Dobra.
3734:  I spróbujemy porekrutować troszeczkę.
3736:  Kusznicy są już dostępni, dobrze.
3738:  Bardzo dobrze.
3741:  Chociaż ci piraci mnie też interesują.
3746:  Ja tak strasznie nie lubię tych bitew oblężniczych.
3753:  Dobrze, siła pocisków dla jednostek piratów zabójców, świetnie.
3756:  Rytualne blizny to będzie co odporność na ostrzał, a to tempo uzupełniania strat, świetnie.
3763:  Zabójca bestii, zabójca demonów.
3765:  Czy ja dobrze rozumiem, że to jest... Szansa na uniknięcie zasadzki, dobrze.
3770:  To jest niewykluczające się, cudownie.
3775:  Naprawdę jest potężnie.
3781:  Rewelacja.
3785:  O, Adrian Eker pisze, że śledzi od True Detective czwartego sezonu bez senatu.
3789:  Ale się cieszę, bardzo miło to słyszeć.
3791:  Ciężkie kamienie żarnowe, rozwój plus 10, to jest nam bardzo potrzebne.
3794:  Leży króla trolli, idzie w górę, świetnie.
3799:  Tu coś jeszcze możemy uczynić.
3801:  Nie, to wymaga niestety...
3804:  Strefa wpływu, tego nie znam.
3805:  To wymaga przynajmniej dwóch tur.
3807:  Dobra.
3811:  Czy on powiedział Black Pudding?
3813:  Czy czytałem coś Ricka Riordana?
3815:  Kiedyś tak, kiedyś tak.
3816:  Jego główną serię, czyli Bogowie Olimpijscy, Percy Jackson.
3821:  Czy zapada już decyzja, jaką grę ogrywamy teraz po Gowie?
3824:  No właśnie tę.
3826:  Natomiast potem jest Ghost of Tsushima.
3830:  Najgorsze jest to, że N-Timesy wydarzyły się tuż przed wyjściem Total Warów, który nakręcił popularność serii.
3834:  Tak fatality.
3836:  Absolutnie.
3837:  Co więcej, później jest tak, że wycofało się część z tego Games Workshop i wskrzesiło Warhammera Fantasy jako takiego.
3845:  Więc niezależnie od Age of Sigmar jest to rozwijane.
3857:  Dobra, to jest trot nieczysty.
3862:  Biorę to.
3863:  Trudno.
3864:  Nie wygralibyśmy z tą armią, nie ma szans.
3866:  Armia uzupełniona 18%.
3868:  No, nie wygralibyśmy.
3874:  Ale to dobrze.
3875:  Bo dostaniemy chyba... ...cechę trota, czy ja dobrze mówię?
3880:  Bo on mówił jako wsparcie, więc może być różnie z tym.
3883:  Cecha trota to jest plus 10%.
3884:  Do...
3889:  Tak, zdrówka, więcej, dobrze, dobrze, bardzo dobrze.
3898:  Bardzo dobrze.
3900:  Ok, ok, ok, ok.
3906:  Tu jest jeszcze jakaś jedna armia, ona jest bardziej żenująca, to my się tutaj przeniesiemy.
3912:  Dobrze, i zrekrutujemy sobie... No może nawet jeszcze tutaj parę oddziałów.
3920:  Może tych zabójców sobie zrekrutujemy.
3923:  Miejmy więcej zabójców, skoro on tak boostuje zabójców, to krasnoludzcy wojownicy są nam średnio potrzebni na tym etapie.
3931:  Bandolier niepotrzebne, Pradawna niepotrzebne.
3934:  Od jakiego Warhammera Total War warto zacząć?
3936:  Moim zdaniem od trójki Arbuz.
3940:  Filip się błąka, biedny, poznamy mieszkanie rozsypce.
3942:  No znajomych, rodzinie, no co robić?
3944:  Trzeba.
3947:  Tak by wyglądało AGH, gdyby kłady naukowe miały nieograniczone fundusze, absolutnie.
3952:  Siła broni plus 5, bierzemy zawsze.
3956:  Ale to mnie ciekawi.
3959:  Zabójca elfów.
3960:  Zasięg plus 10%.
3961:  A, podczas walki z elfami tylko.
3963:  A czy mamy coś podczas walki ze skawenami?
3965:  Zasięg ruchu na mapie kampanii plus 10%.
3967:  To bierzemy od razu.
3970:  Okej.
3971:  Okej.
3971:  Dobrze.
3973:  Jest dobrze.
3974:  Jest dobrze.
3974:  Naprawdę.
3975:  Czy my możemy już sobie wykuć ten talizman, który ja tak bardzo lubię?
3981:  Chyba nie.
3984:  To jest kufer starego strażnika, tak?
3989:  Ale my chyba będziemy produkować piwo, prawda?
3992:  Gdzieś to widziałem.
3997:  Gdzieś to widziałem i już nie wiem gdzie.
4002:  Dobrze, dobrze.
4004:  No to lecimy.
4006:  Lecimy dalej, jeszcze szybko sprawdźmy w umowach, czy jest wszystko...
4014:  Płacą to biorę!
4017:  Witamy w Krakowie.
4019:  Sam budynek pod pistolety.
4024:  A!
4025:  No oczywiście, że tak!
4027:  Słuszna uwaga.
4028:  Czemu ja tego nie zauważyłem w ogóle?
4031:  Dobra.
4032:  Pozbądźmy się tych, żeby mieć większy dochód.
4037:  Nie wiem, czy чисle jest, to nie jest nadużycie, bo to są jednak dwie tury.
4042:  No, zobaczymy.
4046:  Przychodzę Baldurka, 3.60 godzin, pierwszy akt dalej.
4048:  Tak trzeba.
4051:  Pragnę przypomnieć, że filmy Custodies mają tyle wspólnego z kanalami, co Krzysztof z Posiadaniem Dzieci.
4056:  Poza tym Games Workshop nie użyło nawet poprawnej formy Adepta Custodies, bo to był dział marketingu, który zareagował tylko dlatego, że miał zareagować, a że miał zareagować, to wiedział od Amazonu.
4068:  Mówię Wam, to jest wszystko wina Farmazonu.
4071:  Adrian pisze, że gdyby nie zastanawiał się nad zakłonem, Dragon's Dogma 2 nie trafił na twój materiał, nie zaczął bym śledzić kanału, więc coś dobrego z tego wynika.
4077:  Coś dobrego jeszcze wynikło, Adrianie, w ogóle mi miło, że zacząłeś śledzić Dragon's Dogma 2, w tym sensie, że ograłem go do włora także.
4084:  Gdyby nie to, to by się to nie udało.
4088:  Dobra, Skavenii kombinują.
4091:  Uuuu... No tak, no to któreś z tych nam padnie.
4096:  Nie ma szans, żebyśmy się obronili.
4098:  To ja robię tak.
4101:  I w Krakatrak będziemy musieli sobie powołać jakąś dodatkową armię.
4105:  Natomiast teraz... Robimy to, co się spodziewałem, że będzie konieczne.
4120:  Dziwne, dziwna rzecz.
4122:  Okej.
4124:  I rekrutujemy sobie żelazne smoki.
4127:  Trzeba znowu wyłabić skawenów.
4138:  Ja bym spóźniony, pisze Brojak, pierwsze wrażenia z nowego DLC, jestem zachwycony.
4142:  Mówiłem?
4144:  To jest słaba armia?
4152:  Nieznaczna porażka.
4155:  Aaa, nie, nie, nie chce mi się.
4157:  Mam przynajmniej jeden, jeden oddział zginął.
4160:  Bardzo typowa skawenia taktyka.
4167:  Pozdrawiam Krakusa, Adrianie, pozdrawiam.
4170:  Widziałem jakiś nagłówek, że modderzy odkryli path tracing w plikach Dragon's Dogma.
4176:  Nie wspominajmy o istnieniu tej gry.
4179:  Okej, 5 tysięcy kosztuje, to niedobrze.
4182:  Szarżur.
4184:  Czy jest tak jak zawsze?
4188:  Nie, dosłownie brakuje jednego piksela.
4191:  Boże, jak ja tego nienawidzę w tej grze.
4193:  Naprawdę, to jest ta jedna rzecz, którą mogli zmienić.
4197:  Ta jedna rzecz.
4202:  Ta jedna jedyna rzecz.
4206:  Dobra.
4207:  To jest potrzebne.
4208:  Chciałbym, żebyśmy mogli więcej rekrutować jednostek z ducha Gruniego, ale niestety.
4215:  I tu coś?
4216:  Czy nic?
4217:  Nic.
4218:  Dobra.
4220:  Mójca demonów.
4221:  Zabójcze ostrze.
4222:  To się nam przyda.
4223:  Chyba, że... Fiksacja runa.
4227:  Odporność fizyczna 10%.
4229:  To się też przyda.
4232:  Im więcej tych odporności, tym lepiej.
4237:  Krzysztofa, jak czaty nie przekonają, to go połowa dobrych gier minie.
4240:  A to jest prawda akurat.
4242:  Dlatego jest synergia, moi drodzy, na kanale.
4244:  I świetnie.
4246:  Królewski podatek, złoto, przysięgi z budynków plus 10%.
4249:  Dobrze, teraz boostujemy dalej jednostki.
4256:  Masz budynek, który daje 2 do rekrutacji na poziomie 4.
4260:  Bardzo dobrze.
4261:  Bardzo dobrze.
4262:  Im więcej, tym lepiej.
4265:  Filip, człowiek, który został Krakusem.
4267:  Tak, Noelli.
4268:  Adrianie, dziękuję za dołączenie grona wspierających mocjamników dla Adriana.
4274:  Proszę bardzo, jest fokus nawet, nie do wiary.
4280:  Co znaczy Path Tracing?
4281:  Śledzenie ścieżek.
4285:  Path Tracing oznacza na przykład, że jeżeli tutaj jest skała,
4289:  to jednostka musi wiedzieć, jak ją ominąć.
4292:  I dlatego robisz ścieżkę w silniku i po tę ścieżkę śledzi sobie jednostka, która nią przechodzi.
4304:  Ja nie wiem, co tutaj się dzieje.
4310:  Ale biorę to.
4311:  2027 złota przysięgi albo okupacja.
4319:  Wezmę okupację tym razem, bo przyda nam się to miasto.
4326:  Czemu by nie?
4326:  Tego się możemy już pozbyć i co możemy jeszcze zrobić?
4332:  Możemy.
4335:  Kolejny oddział żelaznych smoków.
4336:  Czy jest nam potrzebny?
4340:  Tak, bo to jest dwa razy więcej płomieni, ale równocześnie piraci zabójcy nie są tacy źli.
4347:  Good.
4349:  I tu coś, tu nic.
4351:  Ależ super jest ten dodatek, rewelacja absolutna.
4354:  Spopielająca bomba kasetowa, zadaje wyobrażenia od ognia, nie czytam dalej.
4359:  Zabójca orków, zabójca demonów, pancerz, zabójca elfów.
4364:  Okej, tu już nie dostajemy dużo boostów dla samego naszego biednego Gotreka, więc atak w zwarciu mu polepszymy.
4373:  Tutaj awanturnik, dobra.
4376:  Jest jeszcze Raytracing, polegający na śledzeniu poczynań niekanonicznej Jedi.
4382:  No i teraz mamy problem, moi drodzy, taki duży problem.
4392:  No... To jest duży problem.
4399:  Tak, on teraz zaatakuje.
4405:  I to jest katastrofa, dlatego właśnie nie znoszę tych garnizonów Niezmodowanych, bo normalnie korzystam z modu na garnizony Więc my stracimy te prowincje teraz Okej, rozwój 15
4430:  Będzie mieć problem z tymi skavenami.
4433:  Wintertooth na 1000% zaatakuje, nie zauważyłem go tam.
4437:  Widziałem, że... No, powiedziałem.
4440:  I gdybyśmy mieli, gdybyśmy mieli ten mod, to byłoby idealnie.
4445:  W jaki sposób miałem walczyć bez mojej głównej armii z nimi?
4448:  No dobra, spróbujemy.
4454:  Szlachetna porażka, więc teoretycznie się powinno udać.
4461:  Nie, nie można jeszcze kontrolować specjalnych jednostek.
4465:  Niestety.
4470:  Warto, jak z Lejbem.
4471:  Warto.
4472:  Przynajmniej Daouich albo Imperium.
4474:  Wybrałbym sobie którąś z tych frakcji.
4481:  Och.
4484:  Dobra, teraz, teraz jest, teraz jest, moi drodzy, bolesna moja męka, bo dostajemy znowu garnizon, którego się nie da obronić i będę znowu narzekał na to, bo to się akurat nie zmienia.
4495:  Musimy sobie znaleźć jakieś miejsce tutaj, które będzie łatwiej obronić niż inne.
4501:  Oczywiście jest rozpiżony przeciwnik po całej mapie i możecie sobie myśleć, o, to dobrze, bo zyskałem przewagę taktyczną, nie, niedobrze.
4510:  Myślę, że to nie jest przewaga taktyczna dla nas.
4512:  Dobra, czy to jest dobre miejsce?
4514:  Nie.
4514:  Nie ma ani jednego miejsca, które jest odgrodzone z jednej strony tylko.
4519:  Wszystkie są otwarte z wszystkich stron.
4521:  To jest niesamowite absolutnie.
4523:  Bo są czasem takie fortece, gdzie jest to zrobione lepiej troszeczkę.
4528:  Dosłownie nie ma jednego punktu kontrolnego, który moglibyśmy tak obronić.
4533:  Może tu?
4535:  Tak, chyba ten jest najlepszy.
4538:  Zresztą na nas mogą napieprzać z góry z drugiej strony, ale przynajmniej dostajemy... Co my dostajemy?
4544:  Dwie wieże dostajemy tutaj.
4546:  Więc tak.
4548:  To się najbardziej opłaca.
4555:  Okej, yyy... Tak.
4560:  Tak.
4566:  A górnicy do niczego się innego nie będą nadawać, tylko do obsady wieży.
4573:  Niech te wieże strzelają, a strzelają dzielnie.
4581:  w trolle.
4583:  Małe trolle i duża powódź.
4585:  Roskańskie ogary tymi się nie przejmuje jakoś bardzo.
4589:  Jak tu sytuacja?
4590:  Krasnoludy czy krasnoludowie?
4592:  Ja mówię krasnoludowie i elfowie w odróżnieniu od wszystkich innych takich, wiecie, ras nie fantazy typu krasnoludki.
4601:  Krasnoludowie stąd, żeby podkreślić.
4605:  Aspekt fantasy.
4606:  Dobra, w norskańskie trolle proszę nie pieprzać.
4609:  Oni powinni zginąć momentalnie przy tym ataku, ale oczywiście tak nie będzie.
4615:  Jeszcze są ci tutaj górnicy.
4618:  Dobrze, nawet nie próbuję walczyć z nim.
4622:  To nawet nie ma co.
4624:  Ale... Okej, oni jakimś cudem aktywowali te wieże, więc dobrze.
4632:  Te wieże chyba nie będą potrzebne, ale możemy aktywować jeszcze tutaj wieże.
4637:  Te dwie.
4640:  Tak.
4642:  Możemy napieprzać w trolle.
4647:  Okej.
4648:  I tysiąc, tysiąc, tysiąc.
4651:  Bierzemy przebijającą wieżę, nie ma to tamto.
4654:  I tutaj wybudujemy sobie drugą wieżę.
4657:  Może to przetrwamy.
4663:  O nie, o nie, te wieże strzelają chusteczkami do nosa, o nie!
4670:  O nie, dodali widzę w znacznik tempa regeneracji, to jest ciekawe.
4676:  Dobra, to zabijajcie cokolwiek innego.
4681:  Okej.
4690:  Przepraszam, czy może mi ktoś wyjaśnić uprzejmie, co tutaj się odcyndala?
4701:  Czy to są jakieś, czy to są jakieś nowe zdolności, o których ja nie wiem?
4711:  No na to jestem nieprzygotowany, they fly now!
4721:  No i tyle w temacie, jeżeli chodzi o... ...o te wieżyczki.
4728:  Dobrze, ale oni nie przeszli na... Dobrze, czyli to jest tylko nieszkodliwy bug, dobrze.
4736:  Nie ukrywam, cieszę.
4736:  Zobaczymy, czy ten bohater będzie do czegokolwiek się nadawał.
4739:  Nowy.
4747:  Dobra.
4751:  Okej.
4752:  I wycofujemy ich.
4756:  Puuu, dziki gon.
4760:  Zresztą pewnie teraz by się przydały zbugowane wieże zwierzęludzi, oj tak.
4764:  Oj bardzo.
4765:  Dobra, uciekamy stąd.
4769:  No nie, nie, niewiele, niewiele się tam nastrzelali.
4771:  Mogło nas uratować rzeczywiście natomiast wieże tego drugiego poziomu, nie?
4775:  To znaczy 1400, czekam na... trzeciego poziomu, przepraszam, czekam na nie.
4779:  Właśnie wbiłem i zobaczyłem na Steamie DLC.
4781:  Co to ma być, że rozbili jeden DLC na trzy i biorą 33% więcej niż za identyczne DLC?
4785:  To jest Creative Assembly, GenGreymin, to jest Creative Assembly.
4789:  Czy oni mogliby się wycofać tak, jak im rozkazałem 40 minut temu?
4792:  Dziękuję.
4796:  Tędy i tu.
4797:  Ok, ok.
4797:  Tym się już udało przejść.
4798:  Ci...
4829:  Okej, zostańcie, bo cały czas napieprza w te norskańskie ogary, to jest dobra wiadomość dla nas.
4834:  Tu jest jakiś debuff na nich, dobrze.
4837:  A to znaczy, że zużyli swoje... Okej, mamy... Teraz mnie kusi, żeby poczekać do 2000.
4842:  Będziemy mieli najpotężniejszą wieżę wtedy.
4845:  Chyba może nas uratować to, że... ...coś niemrawo się tutaj poruszają.
4851:  To dobrze, chyba, nie wiem.
4853:  Tak, nie, nie wiem.
4857:  Do tego creative assembly wszystko wolno.
4859:  Nie chodzi o to, że im wszystko wolno, to chodzi o to, że oni mają taką politykę od lat niestety.
4865:  Nic nie jesteśmy w stanie z tym zrobić.
4867:  Jak na razie protesty fanowskie doprowadziły do tego, że przynajmniej dodają jakiś content sensowny.
4871:  A prawda jest taka, że ja teraz wracam do Warhammera, tak bym wracał do nowej gry.
4875:  Tak jest dużo rzeczy.
4878:  Więc dla mnie jest to okej, ale wiecie, ja mam sześć tysięcy godzin w obydwu częściach, więc weźcie to pod uwagę.
4885:  Jestem bardzo zainwestowany w Warhammera.
4890:  Dobra, ile będziemy potrzebować?
4892:  Tutaj 1550 do wybuchowej wieży.
4896:  Okej.
4898:  To się może udać.
4901:  Trochę mnie niepokoią ci łowcy grasandów z oszczepami tylko, którzy mogą naszych kuszników spróbować zaatakować.
4908:  Jeszcze tak.
4917:  Grasnoludy, dobrze.
4918:  No 6 tysięcy go... Dużo, dużo się zrobiło już.
4922:  Ale kretyni, dobrze, dobrze.
4924:  Oni są podatni na ataki chusteczek do nosa.
4928:  Świetnie.
4931:  Łowcy grasantów z oszczepami będą przez nas targetowani w pierwszej kolejności.
4936:  26 sekund do wieży, dobra.
4937:  Możemy przyspieszyć troszeczkę.
4944:  Okej.
4945:  I ty napieprzasz włowców grasantów wyłącznie.
4949:  Trot się tam zbliża.
4950:  Z trotem będzie naj... Znaczy nie z trotem, tylko z frogiem będzie największy problem.
4953:  I z trollami, taka prawda.
4956:  MajesticDwarves pisze, że 4300 u niego.
4959:  No proszę, proszę.
4963:  To nie chodzi o to GainGreyman, że oni zabiorą ten główny punkt.
4966:  Tak długo, jak długo mamy jeden, to powinno się udać.
4970:  Przynajmniej mam taką nadzieję.
4975:  bo tutaj mamy większe szanse.
4976:  Jeżeli ja bym się okopał w tym miejscu, to zauważcie, nacierają z tej strony, z tej strony, z tej strony, przegrywamy.
4985:  A tak jest spora szansa, że oni się złapią tutaj na... Uuu, niedobrze.
4995:  Macie zostawić mnie.
4999:  Dobra, dobra, dobra.
5003:  Widzicie?
5006:  Oni głupieją, będą zajmować się po kolei, więc jest szansa, jakaś szansa jest.
5012:  Ten punkt mogą sobie zająć, to jest kluczowy budynek i tutaj będziemy mieli debuff do dyscypliny.
5020:  Okej, więc tak, pierwsza ważna walka.
5028:  Trolle i wysyłamy na nich krasnodów z wielką bronią.
5035:  Quorles, bardzo proszę uprzejmie niszczyć łowców grasantów z oszczepami, dziękuję.
5045:  Okej, 1550, bierzemy.
5057:  Dobra.
5059:  Frolle wyeliminowane.
5062:  No tak, Frode już tu idzie, dobrze.
5066:  Wiem co zrobić.
5068:  Spróbujemy ich tutaj zwabić po prostu.
5078:  Oni się już prawie zginęli.
5081:  Także to jest AI.
5084:  AI w stanie czystym, nie?
5086:  Rozpierdzielona po całej mapie.
5089:  Nie znoszę tego.
5090:  Nie znoszę.
5092:  To jest wszystko przez graczy, gracze mówili, że o, blężenia są niezbalansowane, no i takie mamy konsekwencje teraz.
5101:  Czy ja mogę się dowiedzieć, co oni robią?
5102:  Boże, nie włączam automatycznego trybu strażniczego i się tak to kończy.
5112:  O Boże, o Boże.
5125:  Okej.
5133:  No i mam nadzieję, że ich zwabimy.
5140:  A czemu ja nie mam teraz tego do przyzwania?
5142:  Ale chyba to jest tylko w tamtej armii, moi drodzy, niestety.
5150:  Rozpróbujemy ich sięgnąć w tę stronę.
5159:  Mówimy tak.
5161:  Tu poślemy jeden oddział.
5165:  Powiedzmy, że to będzie jedynka, tak?
5167:  Jedynkę poślemy tutaj, a resztę posyłamy tu.
5175:  Noooo, ciężko będzie.
5180:  To jest fraud właśnie.
5182:  Przecież to jest pierwszy poziom w ogóle tego bohatera, więc tak.
5187:  Oni już tam idą.
5196:  Ok.
5206:  Pusznicy zagrożeni.
5211:  Mam wrażenie, że ostatnie teoretyczne obejrzenia były w miarę ok, to Medieval 2 albo Shogun.
5214:  Tak, tutaj są nieporozumieniem.
5217:  Dobra, ale te dwa oddziały powinny wystarczyć.
5222:  Częściowo ich zwabiliśmy.
5227:  Częściowo.
5235:  Okej.
5245:  Walczcie z tymi trollami!
5249:  Strzaź mi do trwofroga.
5253:  Okej.
5255:  Tu się powinno udać.
5259:  Przynajmniej mam taką nadzieję.
5263:  Trzeba patrzeć, żeby oni się tutaj nie zbliżyli.
5267:  O, już się zbliżają.
5270:  Tragedia absolutna.
5273:  Durny system checkpointów wzięty z cholernego Company of Heroes.
5277:  Przeklęte na zawsze gry strategiczne, w których są durne systemy checkpointów.
5282:  Jak ja tego nie znoszę i nienawidzę.
5293:  Wiedziałem, że to będzie problem.
5296:  Jak to tylko zobaczyłem, wiedziałem, że to będzie problem.
5298:  Mielibyśmy dwa dodatkowe oddziały, byłoby lepiej.
5303:  Okej, musimy sobie zbudować barykadę.
5306:  Barykadę można scizzować w taki sposób, żeby dawała nam więcej amunicji.
5317:  A frog częściowo ginie.
5324:  Wyślijmy krasnoludów na pomoc dalej.
5336:  Przede wszystkim tutaj jest absurdalna sytuacja taka, że przeciwnik, który atakuje, zawsze ma, jeżeli jest AI-em, zawsze ma przewagę nad nami, natomiast na odwrót nigdy.
5347:  Wielki, wielki zamek, który premiuje taktykę AI polegającą na tym, że się rozprzestrzenia na wszystkie strony.
5356:  Okropność, nie znoszę i nie cierpię.
5363:  Dobra, tych wyślijmy w tę stronę.
5366:  Jak tam nasz bohater?
5367:  No jakoś się ma.
5371:  Wyścigaj Froda.
5373:  Froga.
5377:  Dobra, idźcie po amunicję.
5379:  No za wolni są niestety.
5384:  Jak tu sytuacja?
5387:  Kiepsko, bo jest bohater.
5389:  Hmm...
5394:  No.
5396:  No.
5398:  Ciężko, ciężko będzie.
5403:  Już jest zajmowany ten punkt.
5404:  Liczę na to bardzo, że jak uzupełnimy sobie amunicję, to zwiększy się nam balance of power wtedy.
5410:  Bardzo na to liczę.
5413:  Jezus, tu są następni jeszcze.
5417:  No ale nasz bohater zaraz zginie.
5422:  Idź, idź zająć, nie, nie zajmie tam, bo tam są jeden z dwóch wrogów.
5427:  Idź tu.
5436:  Fuck.
5437:  On idzie, on idzie.
5438:  Dobrze.
5439:  Udało się.
5439:  Aaaa.
5460:  Dobra, macie więcej amunicji, dobrze, idźcie tutaj, dobrze.
5465:  Teraz wy.
5469:  No oczywiście, że nasi się zaczęli wycofywać, nie wiem dlaczego.
5476:  Dobra, idźcie tam, idźcie tam, idźcie tam, idźcie tam, uciekajcie.
5480:  To jest jakaś komedia po prostu.
5483:  Te garnizony, ale żałuję, że ten mod odinstalowałem, powiem wam.
5487:  Bardzo żałuję.
5489:  Komandosy, oczywiście, że ogrywałem, absolutnie, uwielbiam.
5494:  Pytanie, czy jak to...
5504:  Uciekaj, uciekaj, uciekaj.
5509:  Strzelaj mi w te trolle.
5517:  A może jednak zrobimy inaczej.
5520:  Skoro chcą walczyć, to niech walczą.
5524:  Ha!
5529:  Dobrze, on nawet sporo zabił, ten Fryk z Marszczona wbrew.
5532:  Natomiast to, co się tutaj dzieje, to jest jakaś katastrofa absolutna.
5537:  Frode zabił połowę armii, autentycznie.
5546:  Dobrze.
5548:  Tutaj trolle powoli giną.
5551:  Dobrze, bardzo dobrze, bardzo dobrze.
5554:  Teraz tego bohatera też trzeba zabić.
5558:  Patrzcie, ilu zabił frog.
5559:  106.
5564:  No, problem mamy.
5570:  Jaki mod?
5570:  Jest mod na garnizony.
5572:  Nie pamiętam jego nazwy, jest jeden jedyny mod na garnizony.
5576:  Better Garrisons czy coś w tym stylu.
5578:  I on dodaje jednostki w zależności od liczby... Fuck!
5583:  W zależności od liczby budynków wojskowych.
5591:  Bo to jest, no po prostu się nie da grać garnizenami, które są na początku.
5594:  Wszystko się sprowadza do tego, że trzeba byłoby za każdym razem gigakosztowne sobie armie wznosić i budować.
5603:  Bez sensu kompletnie.
5610:  Ci się przenieśli tutaj, no przecież ja oszaleję!
5614:  Ach!
5616:  Dobra, zróbmy inaczej.
5618:  Poślimy naszego bohatera tutaj, bo on najszybciej to przejmie.
5623:  Znaczy chyba, bo tutaj to, co się tutaj dzieje, to jest jakaś, jakiś dramat po prostu.
5628:  Wycofują się nasze jednostki, to się nie powinny wycofywać.
5634:  Dobra, wy macie jeszcze, macie jeszcze możliwość, strzelajcie w nich.
5638:  Strzelaj!
5646:  Dobrze, bardzo dobrze.
5647:  No i Frode rusza.
5649:  Nie no, on jest po prostu niepokonany, bo on się jeszcze regeneruje, nie, więc... Nie jest w stanie nam, nie jest nam w stanie autentycznie całą armię zniszczyć, jedna jednostka, bo nie mieliśmy tutaj wcześniej drugiej.
5662:  Trzeba było zrekrutować od razu drugą armię, taka prawda.
5672:  Wieża nowa tutaj nie jest do zbudowania, ponieważ w tym miejscu jest ściana.
5677:  Jakiś debil to projektował, więc się nie da zrobić nowej wieży.
5681:  To jest najgorszy zamek do obrony.
5686:  To jest zamek, w którym się ma mniejsze szanse, jak się broni człowiek, niż jak atakuje.
5691:  Autentycznie.
5693:  Nienawidzę go absolutnie.
5694:  Zamki Dawig zostały tak spierdzielone, że się w głowie nie mieści, a w podstawce, czyli w Warhammerze 2, były jednymi z najlepszych.
5701:  Można tam się było bronić dosłownie kilkoma oddziałami w nieskończoność praktycznie.
5706:  Uwielbiałem te bitwy.
5708:  Dobra, koniec.
5714:  I tak wyrżnęliśmy im całkiem sporo oddziałów, o wiele więcej niż gdybyśmy się bronili w innym miejscu.
5721:  Bo prawda jest taka, że tutaj nas wyrżnęło wyłącznie to, że Frode zabił całą armię praktycznie sam.
5726:  207.
5730:  Masakra.
5735:  Górnicy nic nie dadzą.
5737:  Górnicy, zresztą zobaczcie ile oni zabili, pięciu.
5741:  To nie jest, to nie jest armia dla nich.
5743:  Warhammer 3 jest na drugim miejscu globalnych bestsellerów Steam.
5746:  Proszę bardzo.
5747:  Najprawdopodobniejsze DLC jest to z Elspeth.
5749:  Z Elspeth zaraz przechodzimy, za pół godzinki, bo mówiłem wam, że bardzo jest duże prawdopodobieństwo, że kampania zostanie spalona.
5761:  Ja byłem na to w 100% przygotowany.
5767:  Dlatego, że przetestujemy sobie nową frakcję wtedy, dzięki temu.
5773:  Na samym początku, na samym początku bitwy oblężnicze są już żenujące.
5780:  Flaut New Vegas?
5784:  Ja jednak jestem zwolennikiem grania w gry nowe.
5791:  No, to jest komedia absolutna, coś takiego.
5794:  Komedia.
5796:  Ko-media.
5802:  Czy C.A.
5802:  naprawiła mechanikę Niewolników Mrocznych Ergów?
5804:  To nie jest dodatek z Mrocznymi... Okej, era rozrachunku.
5813:  A i teraz, no w samą porę, cholera jasna, w samą porę, nie?
5819:  W samą porę dostaliśmy ich.
5823:  No po prostu doskonale.
5830:  To jest w ogóle nieprawdopodobne.
5843:  I to rozumiem.
5845:  To rozumiem.
5853:  Co dziesięć tur jest RRO z rachunku?
5855:  No wiecie, co dziesięć tur, ale wystarczyło tyle tur, żeby wyeliminować nam jedną prowincję, nie?
5861:  No to jest komedia absolutna.
5865:  Mamy rozwaloną prowincję przez jedną armię Froga.
5873:  Trochę szkoda, że nie doczekaliśmy się reworku Kisleva i Kairosa, a nie jest przerażające, Bartku, że potrzebujemy reworku frakcji, które zostały dodane dosłownie w trzeciej części.
5883:  Trzeci Warhammer bazowy był tak złą grą, że frakcje, które wprowadził, wyjąwszy Kislev, wróć, wyjąwszy Kitaj, były kompletnie spaprane od samego początku.
5893:  Słabe, wątłe dramaty.
5897:  Hmm.
5901:  Zobaczymy co teraz.
5903:  Rytualne blizny.
5903:  Dobrze, bardzo dobrze.
5910:  Okej, jeszcze to.
5912:  Dobrze.
5918:  W frakcji zabójców teraz jest pasywka.
5920:  Wszyscy zabójcy póki się biją nie mogą umrzeć poniżej 50% HP.
5925:  Dobrze.
5926:  I widzicie?
5927:  I frog siedzi teraz w mieście.
5928:  I założę się, że gdybyśmy my teraz zaatakowali, to my mielibyśmy przerąbane.
5935:  Bo AI robiłoby to, co zawsze robi AI, to znaczy, bo ja sobie zajmę punkcik tutaj, ohoho, a ja sobie zajmę jedną jednostką, inny punkcik z drugiej strony mapy.
5944:  Punkty do zajmowania, do likwidacji we wszystkich grach na zawsze.
5956:  W ten oto sposób wróciliśmy do punktu wyjścia.
5964:  Dobra moi drodzy, próbujemy frakcję Erspef teraz.
5968:  Tylko sobie zrobię zapis radosny.
