🔴 Yuan-bo zwiedza terrarium z Mazdamundim — WARHAMMER 3 Yuan-bo #2
🔗 https://www.youtube.com/watch?v=Xd5wxHcz938

193:  Witam wszystkich najserdeczniej!
3195:  To znaczy nie wiem, czy w Dark Souls nie zaczniemy grać w styczniu, jeżeli chodzi o przerwę.
3199:  A teraz nie zaczniemy sobie w drugiej połowie grudnia jednak w Warhammera Rogue Trader, bo jest bardzo chwalony.
3208:  Matka Ostankia!
3210:  To jest też nowa, Lordzini, która została dołączona.
3213:  Baba Jaga.
3215:  Chcę mieć z nią pakt.
3221:  Nic tak nie pomagało w zatwardzeniu w średniowieczu jak oblężenie i kusznik wroga pod latryną w murze obronnym.
3231:  Shenhua's Sacrifice jest na pecety, pisze Anna Boremska.
3234:  No ja wiem, że to jest bardzo dobra gra, ale pytanie, czy ta nowa część będzie też na pecety, nie?
3239:  O, Monik, możemy Lordem Constepatorem go zabić.
3241:  Zobaczcie, Lord Constepator jest potężny.
3244:  Mi do życia pasowałby uniwersum trylogii Czarnego Maga.
3247:  O Jezu, mnie też.
3248:  Pod warunkiem, żebym się dostał do tej ich szkoły.
3252:  Nie, nie róbcie tego.
3253:  Czemu zawsze on atakuje, jak ja rekrutuję?
3257:  Dobrze, co my tutaj mamy?
3259:  Znaczy, my nawet nie mamy garnizonu, który jest zgarnizonowany.
3263:  A ja nie wiem, co to są za jednostki.
3265:  Tu jest koatl, on jest bardzo silny.
3270:  Ooo... Dobra, lepiej niż jednego lwa.
3278:  mieć elitarny oddział wydmowych smoków.
3281:  Muszę poradzić sobie, bo AI się bardzo boli takich elitarnych oddziałów.
3288:  Natychmiastowe przeczyszczenie bełtem jest sposobem na zatwardzenie?
3291:  Do dzisiaj.
3294:  Czy mam u siebie adaptację akustyczną, bo nic nie widać na materiałach, a słowo echo mimo sporadycznych krzyków wyprowadziło się ze słownika?
3300:  Cieszę mnie, to tak jest adaptacja akustyczna.
3303:  Nie jest jeszcze na całości tego pomieszczenia, to znaczy od moich lampek tutaj, które są w tym miejscu, w tył nie ma adaptacji akustycznej, natomiast tutaj ściana jest adaptowana akustycznie i sufit jest adaptowany akustycznie przez profesjonalistę, który robi to w filharmoniach i salach koncertowych.
3323:  Trybutariusze płacą, więc kanał zyskuje.
3328:  Taka prawda.
3329:  Co my tutaj mamy zrobić?
3331:  Przeprowadzić skuteczną próbę zabójstwa?
3333:  Nie żartujcie sobie nawet.
3335:  Nie ma czegoś takiego jak skuteczna próba zabójstwa na tak odlegle.
3340:  Więc to nie jest żadna adaptacja akustyczna z naklejonymi dziwnymi gąbeczkami, tylko porządnie jest to zrobione.
3347:  Muszę wam obfocić to studio, bo ostatnio coś pokazywałem na kanale, ale było widać niewiele.
3353:  Dawid, witam w gronie wspierających.
3355:  Jamnik najserdeczniejszy dla ciebie.
3357:  Popatrz jak łypie, popatrz jak łypie.
3359:  A ty też masz teraz jamniki.
3360:  How cool is that?
3362:  Niechaj jadeitowy jamnik nam błogosławi, pisze Daniel Mazur, wspierający 8 miesięcy, za co serdecznie dziękuję.
3371:  Zawsze niuch.
3372:  Lewajatan dzięki za wsparcie 26 miesięcy już, a jak mówiłem zagraj w Rug Trader, to nie, bo grafa B. No bo B, ale to jest Warhammer, więc ja nie jestem w stanie się powstrzymać.
3382:  Dobra, mieliśmy karawanę wysłać.
3384:  Nauczyć karawaniarza to chodzi i powtarza.
3387:  Gdzie go wyślemy?
3388:  No nie mamy wielu opcji.
3389:  Możemy go wysłać tutaj nie.
3392:  To była ciekawa składnia.
3393:  Możemy go wysłać tutaj nie, tutaj nie i możemy go wysłać tutaj, gdzie był ostatnio.
3404:  Nie chcę dodać... No ruszaj!
3409:  Chyba, że on wraca?
3412:  Ja nic nie rozumiem.
3413:  Czas podróży.
3414:  Nie, on jest chyba wysłany.
3416:  Będzie grany Dark Souls 1.
3417:  Właśnie jest w planach, tylko kiedy się zaczyna przerwa semestralna.
3421:  Ona się zaczyna u mnie koło stycznia, moi drodzy.
3424:  Po francusku jamnik to tekel?
3426:  Naprawdę tak po niemiecku?
3427:  Po fińsku?
3429:  Maj raj ko... O nie, ja tego nie umiem przeczytać.
3432:  Na pewno się da to przeczytać w forwo, moi drodzy.
3437:  Jestem pewien, że to się da przeczytać.
3439:  W forwo.
3448:  Memra kojra.
3449:  Memra kojra.
3451:  Memra kojra.
3453:  Memra kojra.
3455:  Memra kojra.
3459:  Okej.
3463:  Memra kojra.
3464:  Coś, coś, coś w ten deseń, tak.
3467:  Kompas Wusin, dobrze, to jest ogarnięte.
3469:  Sprawy wagi państwowej, wciąż nie mamy czterech sztuk kamienia, potrzebujemy.
3478:  Ogólnie zabawne jest to, że jak wyszło Atomic Heart, to... O, nie, nie, rosyjskie studia, teraz jak Rockside wyszedł, to też jest wyprodukowane rosyjskie studia, ale pytanie, czy kasa idzie do nich, czy też studio się wyprowadziło, moi drodzy.
3493:  Są trzy coatle, mamy przerąbane.
3496:  Widzicie, że teraz to przegramy i to ekstremalnie.
3503:  Dobra, liczę na to, że ten ociupinkę replenishmentu, który zebraliśmy, coś nam da.
3508:  Musimy koatlę wyeliminować jak najszybciej, bo one będą rzucały zaklęcia.
3513:  Czy oni mają jakichkolwiek... No niestety nie mają żadnych łuczników, to jest cała piechota, a piechota dostaje takie busty nieprawdopodobne tutaj, że to się w głowie nie mieści.
3523:  Ja podejrzewam, że tę naszą Almie stracimy po raz trzeci.
3525:  Myśmy już raz ją stracili, znaczy po raz drugi stracimy.
3529:  Dobrze, przynajmniej nie nienawidzą nas.
3539:  No dobrze.
3542:  Znam tę mapę.
3544:  Walczyliśmy tutaj ostatnim razem.
3549:  Dobrze, przynajmniej są łucznicy.
3551:  I jest jakaś piechota do trzymania linii.
3554:  Więc wykorzystamy ich.
3564:  Może tak zrobimy znowu, że oni będą tutaj.
3569:  Łuczników damy tutaj na szpicę.
3575:  Chciałem dać za to, żeby on się regenerował, to byłoby cudowne.
3579:  Był leak współpracy Edeninga z Thrustmaster'em i wyszło, że DLC do Eldena ma wyjść w lutym 2024?
3585:  Good.
3586:  Będziemy grać, moi drodzy.
3591:  Nie podoba mi się to.
3599:  Nie podoba mi się, że będziemy walczyć pod górę.
3601:  Bardzo mi się to nie podoba.
3604:  Dobra, teraz cel jest następujący.
3606:  Zbaitować a better position Koatle.
3609:  Bardzo mi na tym zależy.
3614:  One jakimś cudem i tak szybują do nas i to względnie szybko.
3621:  Więc dobrze, bardzo dobrze.
3624:  Dlaczego ja się nie mogę ruszać?
3625:  Dobra, mogę się już ruszać.
3627:  Uciekaj, uciekaj od koatla.
3634:  Świetnie, świetnie, świetnie.
3636:  Jest idealna sytuacja, moi drodzy.
3639:  Jest idealna sytuacja.
3642:  Dobrze.
3644:  I teraz tak, jak będą w zasięgu, podprowadzimy troszeczkę kuszników, jak będą w zasięgu koatle,
3657:  Dobra, szybciej, szybciej, szybciej, szybciej, chcecie?
3659:  Zaklęcie.
3660:  Sieć, sieć, sieć amentoka.
3663:  Dobrze, wyeliminować.
3667:  Strzelać wszyscy!
3673:  Dobrze, bardzo dobrze, bardzo, bardzo, bardzo dobrze.
3680:  Właśnie stracili jedną z najpotężniejszych jednostek.
3684:  Good.
3687:  Dobrze, grupa druga oni.
3690:  Tutaj nas flankują oczywiście.
3696:  Masz w nich strzelić.
3704:  Dobrze.
3713:  Okej, okej, bardzo dobrze, bardzo dobrze.
3722:  Koatle się na razie nami nie interesują.
3729:  Bardzo dobrze, bardzo dobrze.
3732:  Dobrze, nadciągają dwa koatle, to jest niedobra wiadomość.
3739:  Spróbujemy odciągnąć tutaj przynajmniej Kroksigory na moment.
3748:  I teraz znowu wszyscy kusznicy.
3751:  I wszyscy łucznicy będziecie strzelać w jednych.
3758:  W jednego koatla.
3760:  Tego mianowicie.
3763:  Dobrze.
3764:  Strzelać w niego.
3765:  Strzelać.
3768:  Oh nie.
3777:  Dobra.
3785:  Okej, Rogata to nie jest dobra wiadomość.
3788:  Ten Coatl już jest tutaj.
3791:  W szeregach naszych kuszników, najgorzej.
3796:  Jezus, już jest dziki chaos.
3804:  Już jest dziki chaos, ja nic nie widzę.
3808:  Eeeem...
3813:  Dobrze.
3816:  Piechociarzy musimy wyeliminować jak najszybciej, bo oni będą bardzo dzielnie walczyć.
3826:  Rozmieniaj się w smoka.
3830:  Przestańcie atakować moich kuszników do ciężkiej cholery, ja zwariuję z tą kawalerią rustikaną.
3839:  Za mało jednostek.
3844:  Dobra, bo zaraz nam zginą.
3846:  Musimy wycofywać tych, którzy są jakkolwiek ruszeni.
3851:  Dobrze, teraz Kroksigory są najniebezpieczniejsze.
3862:  Wiesz, to cholerstwo będzie walczyć do ostatniego Kroksigora.
3867:  Czy moi kusznicy wreszcie są już bezpieczni?
3870:  Częściowo.
3873:  Boże, najgorsze jest to, że jeszcze ci wrogowie są koszmarnie głupi.
3878:  Przepraszam, powiedziałem wrogowie, miałem na myśli naszych sprzymierzeńców.
3883:  Dobra, częściowo go uratowaliśmy.
3886:  Gdzie jest Yuanbo?
3887:  Yuanbo dostanie trzecią grupę.
3890:  Walnij mi kometą Cassandory w nich.
3896:  Czy wreszcie nasi kusznicy zaczęli strzelać?
3899:  Tak.
3902:  Przejdźcie do formacji!
3933:  Co to mnie atakuje?
3934:  A koatl jeszcze jeden żyje.
3936:  O Boże.
3941:  Dobra.
3942:  Kometa Kasandory.
3948:  Strzelać mi w tego koatla.
3950:  No przecież szlak mnie trafi.
3951:  Czemu to cholerstwo nie wykonuje rozkazów?
3958:  Pogrom straszny.
3960:  No tak to jest, jak się walczy z jaszczuroludźmi.
3962:  Najgorszy przeciwnik, jakiego można mieć, jako Kataj.
3965:  Nierozwinięty jeszcze Kataj, dodajmy.
3973:  Jeszcze wszyscy nasi, zauważcie, wszyscy absolutnie, nasi wojownicy wycofują się, natomiast oni walczą do ostatniego.
3982:  Nie jesteśmy w stanie ich złamać.
3988:  To już jest koniec w tym momencie.
3991:  A, zabrakło bardzo niewiele.
3993:  Zabrakło linii frontu, którą powinniśmy mieć, gdyby w tej grze były jakiekolwiek garnizony.
4000:  Ale nie ma garnizonów i nie można, co mnie denerwuje od samego początku, nie można ich edytować w żaden sposób.
4011:  Dobra, jest szansa, że jak tego coatla ubijemy, to wtedy coś możemy zrobić.
4016:  Przestań, nie, nie, nie, nie możesz zginąć, nie możesz zginąć.
4022:  Dobra, on się, on się, on się prawie wycofał już.
4029:  No, to jest, to jest horror z tymi koatlami.
4040:  Jak zobaczyłem, że są ich cztery, to już wiedziałem, że przegramy.
4048:  Spróbujemy ich wycofać.
4049:  No mówię, im po prostu nie kończy się w żaden sposób dyscyplina.
4061:  Nie przychodzi mi do głowy, co moglibyśmy zrobić.
4065:  Teraz oni się będą włączać z powrotem do walki.
4074:  Dobrze, 12 sekund do ubicia ich lorda.
4078:  Może to coś nam da?
4086:  Okej.
4088:  Niech zginie.
4090:  Pyrrusowe zwycięstwo, nie obawiam się, że nie.
4093:  Myśmy mieli szlachetną porażkę przez auto rozstrzygnięciem, moi drodzy.
4105:  O Jezu, jeszcze chybi kometa.
4109:  No nieeee!
4116:  No, jest koniec.
4121:  Dramat.
4124:  Nie znoszę i nienawidzę.
4128:  Macie dowód na to?
4130:  Jaki to jest bullshit.
4131:  Zostało nam więcej jednostek niż... Znaczy nie, im zostało więcej jednostek niż nam.
4135:  Okej, wycofuję się z bullshitu.
4137:  Trzeba było zrekrutować więcej elitarnych oddziałów.
4142:  Przestaję lubić nefrytowe lwy, powiem wam.
4145:  To są jednostki tak nieprawdopodobnie słabe na obecnym poziomie replenishmentu, że to się w głowie nie mieści.
4151:  Musiałbym mieć Yuanbo na najwyższym poziomie, żeby to miało sens.
4157:  Horror.
4159:  I teraz znowu będzie trzeba rekrutować armię od nowa.
4162:  To już jest drugi raz, kiedy to robimy.
4169:  Szlachcicy mają Trade Entrepreneur.
4171:  To już zostało niestety, Bear, spatchowane.
4175:  Jak wszystko... Dobra, tutaj jest okej.
4179:  Jak wszystko, co przynosi graczom radość, zawsze są patchowane wszystkie możliwe, przyjemne mechaniki.
4188:  Natomiast jeżeli coś nie... Ja tego nie rozumiem, ponieważ balans ma sens wtedy, kiedy robicie grę multiplayer.
4194:  Nie ma sensu wtedy, kiedy robicie grę singleplayer.
4195:  Żadnego sensu nie ma.
4197:  Jak widzicie, byliśmy przygotowani do tego, co tu się stanie.
4200:  Musimy mieć artylerzystów Żurawia też, obawiam się na nich.
4203:  I artylerię żelaznej, przynajmniej artylerzystów.
4207:  Może ze dwa oddziały artylerii żelaznej Nawałnicy.
4211:  Ich nie.
4212:  Ale na pewno musimy mieć jedno działo.
4215:  Kiedy powrót nierautomaty?
4217:  Nie ma planowanego Luciferu.
4223:  no i te lwy cholerne, no co zrobimy musimy je rekrutować jamczurię nam jeszcze jest skandal czy będę oglądać 1670?
4238:  jest w planach, ale ja już mam w planach tyle seriali, że nie nadążam z ich oglądaniem, dramat Rock Trader jest planowany za Twilight Pencil ile kosztowała moja wieża?
4247:  nie mam pojęcia, nie prowadzę takich obliczeń ja wydaję na bieżąco
4253:  Krzyżdowicza, ty jaką Wigilię chcielibyście w szkole?
4255:  Żadnej?
4256:  Można zrobić spotkanie świąteczne, ale Wigilia to już jest narzucanie określonego obrządku.
4260:  Ja wiem, czepiam się strasznie, ale mam alergię na to przy wszystkich Wigiliach pracowniczych.
4265:  Zmuszanie ludzi do czegoś takiego to jest krytyzm.
4267:  Chcecie się spotkać, spotkajcie się, nie ma żadnego problemu.
4271:  Nie rozumiem, dlaczego musimy organizować to w miejscu pracy lub w miejscu nauki.
4276:  Dlaczego się nie można umówić poza miejsce pracy lub miejsce nauki?
4279:  No umyka mi to, nie rozumiem po prostu.
4282:  Miejmy... może jedno działo.
4289:  Albo nie, rekrutujemy tutaj lwy.
4292:  Tak, rekrutujemy tutaj lwy.
4298:  Lucyfer, dziękuję za ponowny trybut.
4300:  Polecam powrócić do Nier Automata i zjadłeś już ziemniaczki z ta surówka na koniec.
4303:  Najlepszy kotlet w historii gamingu.
4304:  Tak, mówiliście.
4306:  Dziękuję za trybuty bardzo, Lucyfer.
4312:  Jeśli zrobią OP jednostki jednej frakcji, to trzy boty nie będą za trudne, ale na pewno przydałbyś lepszy balans ze strony buffów.
4318:  Znaczy nie, ja mam na myśli eliminowanie mechanik, które dają ci fun z gry.
4322:  Nie chodzi o balansowanie jednostek, bo takie gry zawsze są niezbalansowane.
4326:  Możemy sobie udawać, że na przykład taki StarCraft jest zbalansowany.
4329:  Nie, nie jest zbalansowany.
4331:  To jest przeciąganie linii wiecznej, w zależności od tego, co nagle ktoś wpadnie i policzy, a później ktoś inny policzy coś innego, no i tak dalej.
4341:  Blokada armii, dobrze, rekrutujemy dalej.
4344:  Na szczęście szybko ta rekrutacja postępuje, to mnie cieszy przynajmniej.
4347:  O!
4348:  Flara ognistego deszczu, to chciałem!
4351:  To jest najlepsza artyleria w tej grze, znaczy w tej grze, no.
4355:  Są lepsze artylerie, ale ta jest najlepsza jaką my mamy.
4358:  To jest artyleria na miarę naszych możliwości.
4363:  Tak.
4366:  Troszeczkę tur stracimy.
4367:  Później się ludzie dziwią.
4368:  Krzysztof, dlaczego jest 58?
4370:  Dlatego jest 58, że jest bullshit w postaci potwornego poziomu trudności.
4375:  Inaczej to byśmy mieli już podbite kilka prowincji.
4378:  Gdzie pan wali, pan ładuj.
4379:  Trzeba będzie ich na nowo zrekrutować.
4384:  Tutaj nam się kształtują jakieś możliwości radosne.
4389:  No powiem wam, że rośnie szansa na konfederację z Miao Ying, a jak z innymi?
4393:  Enter.
4399:  Szybka umowa, tak będzie szybciej.
4402:  Ok, jest dokładnie tak samo, ale Miao Ying ma troszeczkę mniej, więc będziemy jej wysyłać pienio... Będziemy jej wysyłać pieniądze, chciałem powiedzieć.
4413:  Albo teraz dołączymy do wojny przeciw.
4418:  O, będzie nas lubić bardziej.
4421:  I wyślemy jej kasę, jak najbardziej.
4425:  Nie, wyślemy jej kasę.
4427:  Ofiaruj daninę.
4428:  Tak jest.
4429:  Średnia danina.
4433:  Jak ogólnie ten DLC, Kitajcy Dobrzy?
4436:  Yuan Bo jest znakomity... Jest chyba najsilniejszą frakcją Katai obecnie.
4441:  Chciałbym docenić za używanie wysokiego głosu do wyśmiewania hipotetycznych krytycyzmów.
4444:  Mam flashbacki z oglądania Roya.
4446:  Ooo matko, Roya, serdeczna tarcza.
4452:  Balans gry to jest trudne zagadnienie, należy zapominać, że poza czystymi dźwigniami wchodzi w grę aspekt, jaki łatwo wdrażać w jakąś taktykę.
4456:  Tak, ale cały czas mówię, balansujmy multiplayery.
4459:  Po co balansować singleplayer?
4465:  Jsoft pisze, że widział dziwiamniczka i zdał kolosa z Warda.
4468:  Everything is connected.
4470:  EVERYTHING IS CONNECTED.
4477:  Dobrze, że jak jest krzywa progresów, ponieważ jest tała przy grach fabularnych, jak wymaksujesz wszystko połowy fabuły, to potem jest trochę nudno.
4481:  Tak.
4482:  I tutaj jest ten problem.
4483:  Jak zrobisz już jedną armię, to steamrolujesz przez całą mapę.
4487:  Wszystkich jesteś w stanie pokonać.
4488:  My do tego dążymy.
4490:  Stań do walki z demonami.
4492:  Drobne zwycięstwo.
4496:  Ej no, stać nas najwięcej.
4500:  Lubię natomiast te potyczki z karawaniarzami, powiedział Krzysztof, zanim ją przegrał.
4505:  U mnie na uczelni jest podział na Wigilii, ma gisterka z trzecim rokiem licencjatu, a pierwszy i drugi rok licencjatu osobno, tak?
4512:  Dziwne.
4517:  Czytamy i studio All Cut od Rock Tradera śmierdzi.
4520:  Dotacja od Jim Capital powiązanej z Gazpromem.
4523:  O Jezus Maria.
4525:  To mnie zmartwiłeś, czerwony list, bardzo.
4530:  To ja nie wiem, czy ja chcę grać teraz w Rock Tradera.
4533:  Czemu ta wojna się nie może skończyć i nie wiem, niech zrobią jakiś put w Rosji, wyeliminują tych wszystkich kretynów, którzy są u władzy.
4541:  To jest coś przerażającego absolutnie.
4546:  Ja nie jestem w stanie zrozumieć, mały wątek polityczny, nie jestem w stanie zrozumieć, jak to jest w ogóle możliwe, że ukraińska armia jest tak nieprawdopodobnie waleczna i tak się długo broni.
4557:  To jest coś nieprawdopodobnego.
4560:  Rewelacja.
4562:  Ale już wszyscy by chcieli, żeby był spokój na granicy.
4569:  Ale prędko na to się nie zanosi.
4573:  Bawiam się.
4577:  Ale wiecie, uważam, że to jest dobre i dojrzałe, że jako konsumenci już o tym mówimy.
4583:  Że jednak czują firmy jakąś presję.
4586:  A jak firmy czują presję, to wiecie, no w firmach pracują ludzie i ludzie głosują.
4591:  To ma sens.
4595:  Jasne, jest to niewdzięczne bardzo dla konsumentów, ale bojkotowanie w takich sytuacjach ma sens.
4601:  W innych nie, ale w takich ma.
4607:  Bronią swoich domów, rodzin, no wiesz, to USP, tak, ale... Tak czy siak.
4613:  Tak czy siak jest to niesamowite.
4621:  Tylko w Polsce o tym mówimy, zachód nie pokradował Atomic Heart.
4624:  No tak, moi drodzy, bo zachód, wiecie, jest na zachodzie.
4628:  I oni nie zasmakowali, co to znaczy być pod rosyjskim, moskwickim, przepraszam, butem.
4639:  Dobra.
4641:  Jeżeli ktokolwiek powie, że to jest Corner Camping, banuję na czacie.
4651:  Elgion, dziękuję za trybut.
4653:  Co do RockTradera uprzedzam, nie ma polskiej wersji językowej, nie ma 90% dubbingu.
4660:  Dobrze, gramy wcześniej w sosy.
4662:  Przekonaliście mnie, poszło szybko.
4666:  Ile mam książek?
4667:  Też... Dlaczego wszyscy myślą liczbami?
4670:  Nie mam zielonego pojęcia.
4672:  Liczę, że parę tysięcy.
4676:  Ale ile dokładnie?
4678:  U rodziców jest między 3 a 4.
4682:  Trudno powiedzieć, bo to jest też ten problem, że książki są za książkami w regale, więc jak to policzyć?
4688:  W ogóle nie mam pojęcia, by to oszacować.
4692:  A jeżeli chodzi o to, ile mam w wieży u siebie?
4697:  No będzie między 2 a 3, tak myślę.
4700:  Ciężko mi to powiedzieć naprawdę, dokładnie.
4704:  Dobra, będziemy strzelać tymi naszymi żenującymi lampionami, które obrzucają przeciwników chusteczkami do nosa.
4712:  Ja nawet nie żartuję.
4714:  Więc będziemy strzelać... Popatrz, widzieliście ten strzał chusteczką do nosa?
4719:  Ja nie przesadzam.
4723:  Łowca charakteryzuje się tym, że dał się złowić.
4729:  Liczna trolleaku Pratchetta?
4731:  Dużo?
4732:  Tak.
4747:  I w tym momencie ja sympatyzuję z trollem.
4752:  Czy wieża jest wysoka?
4753:  Bardzo wysoka.
4754:  Niebosiężna, moi drodzy.
4758:  Warhammer jest multiplayer, ma opcję co-opa Warhammer multiplayerowy, a Warhammer singleplayerowy to są dwa różne Warhammary, masz inny balans jednostek Lore od Marcina, Smoczy Cesarz, wuuu Podjął próbę podboju lustry jednak, jednego, dwie wysłane floty inwalsyjne zostały zatopione przez tajfun możliwe, że Wielcy Slamowie magicznie wywoływali te tajfuny Ja myślę, że po prostu lamił Zlamił tak jak ja ostatnią bitwę moi drodzy, taka jest prawda
4788:  Lampion.
4792:  Bardzo proszę.
4793:  Bardzo proszę być Lampionem.
4797:  Nie dostaniesz orderu, jeżeli nie będziesz dobrze walczył.
4799:  Wyeliminować Rydvan.
4803:  Wyeliminować Zgniłomiecza.
4805:  Wyeliminować Zgniłomiecza.
4808:  Dobrze.
4810:  Stonch Line of Spears, moi drodzy.
4815:  Za rzadko przechodzę w ten tryb, żebyście mieli fajnie i filmowo.
4819:  Przechodzę w Eni tylko wtedy, kiedy mam pewność, że wygramy.
4824:  Proszę bardzo, to są demoniczne siły Korna, moi drodzy, a to są żenujące lampiony.
4831:  Katajczycy, odpierać!
4834:  O Boże, jaki ten Rydwan jest piękny, czemu ja nie mam takiego Rydwanu?
4839:  To jest jacyś wieśniacy z kapelutkami, a tu dosłownie demony.
4846:  No dramat.
4848:  Dobra, tutaj jest problem.
4853:  Tak jest, tak jest.
4856:  Walcz za imperatora.
4857:  Doskonale.
4859:  Zobaczcie, nawet nie zdążyli jednej chusteczki do nosa wystrzelić.
4862:  Ile?
4863:  Nie no.
4864:  Ej, sporo zabili. 44?
4868:  Nie spodziewałem się.
4870:  Czy czekam na Piąty Archiwum Burzowego Światła?
4872:  O posze, tak.
4875:  Angielska premiera w grudniu 2024.
4877:  No ja nie spodziewam się, żeby Polska była od razu praktycznie.
4880:  To jest debel z tysiąc stron, więc wiecie, poczekamy na to z rok.
4884:  Czy wie, że Maga ma windę?
4885:  O Boże, nie mówcie mi o mojej windzie.
4889:  Nienawidzę windy.
4891:  Jest tak nieskuteczna, że to się w głowie nie mieści.
4896:  Zawiesza się.
4897:  To jest jedna jedyna winda, jaką widziałem, która się zawiesza.
4901:  Limit towarów powiększony.
4904:  Doskonale.
4906:  Jak sytuacja z rekrutacją armii?
4910:  Średnio.
4914:  69, nice.
4915:  On miał bardzo duże szanse dzięki temu.
4925:  A propos tego, co się dzieje na wschodzie, istniejsza propaganda działa podejrzanie dobrze.
4928:  W zeszłym tygodniu zdarzyło mi się usłyszeć od kogoś, że Onudze wygrały.
4931:  Tak, tak, tak.
4932:  To jest straszne, jak zostały infiltrowane media społecznościowe.
4937:  Czy to prawda, że podstawową jednostką magiczną jest jeden pojedynczy mag?
4940:  Tak.
4942:  Zresztą nikt nie widział zawieszonej winy.
4944:  Wierzcie mi, ona autentycznie się zawiesza, to jest dramat.
4946:  Musimy powstrzymać tę armię.
4953:  Blockad Army, sukces.
4954:  To chcemy widzieć.
4956:  Doskonale.
4957:  Czy ja już mogę go wymienić na... Mogę?
4963:  Czemu ja go nie widzę?
4964:  Yuan Bo.
4966:  Yuan Bo!
4967:  Yuan Bo!
4969:  Nieskuteczny generał!
4971:  O, popatrzcie, jaki jestem nieskuteczny!
4974:  Ej, my nie mamy kuszników już, to słabo.
4978:  Hmm...
4983:  Nie lubię.
4985:  Brak kuszników?
4986:  Niedobry.
4989:  Weźmiemy artylerzystów żurawia w takim razie.
4990:  Będą po dwie jednostki strzeleckie.
4993:  Chociaż nie, nie, nie, nie.
4994:  Musimy mieć linię frontu.
4995:  To nas ostatnim razem zgubiło.
4997:  Więc trzeba więcej tych cholernych lewków.
5006:  Okej.
5007:  Będzie git.
5008:  Dwie tury i wyruszamy.
5011:  Czy mam polecajkę, książkową polecajkę w klimatach dystopyjnych?
5016:  Tak.
5017:  Bardzo ci polecam książkę i w zasadzie serię pod tytułem The Giver, czyli Dawca.
5024:  Lo i Lori.
5026:  Nie boisz się, że spadnie, gdy winda się zawiesza?
5028:  Nie, ona się zawiesza za każdym razem na piętrze, znaczy nie rusza.
5031:  I dosłownie ma error wypisany na cyferblacie.
5034:  Koszmar absolutny.
5037:  Kiedyś miałem tak, że winda się zatrzymała, w związku z powyższym Krzysztof po prostu zrobił to, co Krzysztof w takich sytuacjach robi, to znaczy otworzyłem sobie drzwi, wyszedłem między piętrami i tyle mnie widzieli, potem widziałem w wieży ogłoszenia od spółdzielni, że coś się stało z windą niedobrego, bo zatrzymała się między piętrami, nie wiadomo co się stało, a ja sobie myślę, a wiadomo.
5064:  Wiadomo.
5066:  Tak było, nie zmyślam.
5067:  Zresztą może to jest winda szabatowa.
5083:  Szambo się rozbudowuje, dobrze.
5086:  Jak tam jest z... Miauing.
5089:  Miau?
5091:  O, 39.
5092:  Dobrze, musimy jej dawać więcej łapówek.
5097:  Doskonale.
5098:  Doskonale.
5101:  Jakaś polecajka, po Agnieszce hałas, a sprawdzałeś wyznawca Rogatego Szczura Czarny Pryzmat, a jak nie Czarny Pryzmat to Powiernika Mieczy, a jak nie Powiernika Mieczy to Trollogię Likaniusa, bo wszystkie te rzeczy są w tych klimatach.
5115:  Uuu, dobrze.
5116:  Będziemy mieli mury, a mury runą.
5118:  A pak, naprawdę to nie.
5120:  Potrzebujemy tutaj kuszników, ale oprócz tego potrzebujemy wreszcie dżonkującą dżonkę.
5126:  Nieee.
5128:  Potrzebujemy niebiańską wieżę.
5131:  Musi być wieża, moi drodzy.
5132:  W leżu jamnika musi być wieża, mówmy się.
5138:  Blokada armii 69.
5139:  Nice, a jednak porażka.
5141:  Co za skandal.
5142:  Co za obrzydliwy skandal.
5143:  Etykt dotyczący biesiady.
5145:  Każdy katajski arystokrata, aryskotrata, zawdzięcza swoje położenie ciężkiej pracy kmieci.
5153:  Lubię słowo kmieć.
5155:  Najwyższa, więc pora okazać im wdzięczność.
5157:  Poślij najlepsze frykasy z całego niebieńskiego cesarstwa.
5161:  Ale cudowne.
5163:  Średnia hawajska dla każdego, nie inaczej.
5166:  Mamy, moi drodzy, pizzowego jamnika.
5167:  Gdzie jest pizzowy jamnik?
5170:  Proszę bardzo.
5173:  I jak wpiszecie Jam Hawajska, wspierający kanał Trybutariusze, to będziecie mieli Jamnika Hawajskiego.
5179:  Nie inaczej.
5181:  Czy grałem frakcją Nerga?
5182:  Grałem.
5183:  Not a fan, szczerze powiedziawszy, bo bardzo się wolno rozwija.
5187:  W odróżnieniu od infekcji, które się rozwijają bardzo szybko.
5197:  Czy to jest jakiś żart?
5199:  Skąd on się wziął w ogóle tutaj?
5204:  Znowu koatle?
5206:  Jakim cudem on ma dostęp do koatli na tym etapie?
5211:  Znowu to przerżniemy.
5215:  Chyba, że uda się ich wystrzelać wieżami, na co liczę.
5221:  Może.
5224:  Na urlopie świątecznym w końcu spróbuję hawajskiej, pisze Bigomeza, bardzo dobrze.
5228:  Mazda Mandy nie umiera, ale widzicie, jak to jest straszne?
5232:  I od razu jest nowa armia.
5234:  Myśmy nawet nie zdążyli naszej wyrekrutować, a AI już wystawiło swoją.
5238:  Dlatego nie grajcie na poziomie legendarnym, nie róbcie sobie tego, ja to robię dla fanów na streamie.
5245:  No i to, co kocham, czyli armia jest rozbita na trzy części po prostu i to nie daje nam przewagi.
