🔴 Bear with me, niedźwiedź ze mną — WARHAMMER 3 Kostaltyn #2
🔗 https://www.youtube.com/watch?v=yjpBzYQVOcw

34:  Szybko ruchnij.
4751:  Daniel Ratajczak dalej jest Jan Mikołajem, co to się dzieje, moi drodzy?
4757:  Po pierwsze, yuch, Likoja wraca do grona wspierających Nondorian i Bodzio89 i ValkyriiVal i Szymon Półtorak.
4767:  Supreme Petriarch Kostaltyn nie jest w gronie wspierających za to, ale Jakub Walkiewicz i Kaczko Szatana i Miriam Kasoł oraz Ratatosk.
4779:  Dziękuję serdecznie za wsparcie.
4782:  Drodzy, oberwaliśmy mocno, ale to była godna walka.
4786:  Wszyscy przegrali, bardzo dobrze.
4789:  Teraz możemy Żmija troszeczkę wyleczyć, wszystkich poleczymy.
4792:  I... Rycerka praktycznie w ogóle nie oberwała za to, proszę bardzo.
4797:  Daniel jest dzisiaj TurbojamNikołajem, tak jest moi drodzy.
4803:  Dobrze, leczenie się przydaje bardzo.
4806:  Kostaldynk też powinien mieć leczenie, ma leczenie, dobrze.
4813:  Ooo, wikin... wikini od wikinga?
4817:  Wikin rzeka byłoby chyba, albo, albo, ale nie bardziej by pasowało, wikini byłoby fajne.
4822:  Ale wikini się kojarzy z bikini, więc wiecie.
4825:  Co?
4825:  Każdemu jego porno!
4832:  Tak.
4833:  Jeszcze jest jedno leczonko.
4834:  Czyli w zasadzie żmiej wyjdzie z tej walki lepiej.
4839:  Czy ustrój szała można nazwać utopią?
4840:  Ja bym raczej mówił o tym, że to jest idylliczne, nie?
4842:  Bo tam brakuje jakiegoś jednego władcy, który by dbał o to, żeby polityczny ład się utrzymywał.
4849:  Dobry wieczór, że pozwolę sobie skłamać, pisze Brillen.
4851:  Czy Brillen jest awatarem Artura Schopenhauera?
4854:  Drobne zwycięstwo my ass.
4860:  Byłam u endokrinologa i mam zwiększoną dawkę leków na tarczyce przed Dominiką, ale niestety czuję, że z moimi zdrowymi nerwami będzie tylko gorzej.
4866:  Chciałem prosić o jamniki wsparcia.
4868:  Wszystkiego prozdrowotnego dla Ciebie, Dominiko.
4870:  Jeżeli możecie, moi drodzy, to ślicie jamniki, ślicie zwierzynę wspierającą, chociaż nie łowną.
4876:  A ja Ci od siebie powiem, dlaczego się nic nie wyświetla.
4879:  Dziękuję.
4880:  A ja Ci od siebie powiem, że musisz sobie dać na wstrzymanie maksymalnie tyle, ile jesteś w stanie odpoczywać.
4884:  Odpoczywaj.
4887:  To jest coś, czego mnie moja mama nauczyła.
4889:  Jak się cokolwiek dzieje ze zdrowiem, to nasza hierarchia wartości od razu się zmienia.
4895:  I zdrowie wskakuje na pierwszym miejscu, jeżeli nie było na pierwszym miejscu, oczywiście.
4906:  No i teraz pytanie.
4915:  Czy nam się opłaca faktycznie przekazywać te tereny, bo one mogą być dość dobre.
4919:  To miasto jest świetnie bronione.
4924:  I my moglibyśmy wtedy mieć ziemię chaosu dla nas.
4929:  Tutaj są zielonoskórzy, których może wykończyć dla nas Caryca.
4933:  Hmm.
4935:  Ta flanka jest zasadniczo zabezpieczona.
4940:  Tutaj jest cały czas Caryca.
4942:  Jest nasza drużyna.
4942:  Jest Borys Ursus.
4945:  Ale Borisowi Ursusowi, moi drodzy, będziemy rekrutować dumstak jeźdźców niedźwiedzi.
4950:  Czy on jest dobry dla jeźdźców niedźwiedzi, bo tego nie pamiętam.
4954:  Tak, siła dla jeźdźców niedźwiedzi.
4958:  Więc zobaczycie chyba pierwszy raz na streamie w akcji Jeźdźców Niedźwiedzi.
4963:  220 kosztują w utrzymaniu dużo.
4965:  Stoik, dzięki serdecznie.
4966:  Na trybut jeszcze, kiedy Bookshelf Tour, haha, i dedykowany materiał o twoich największych zajawkach czytelniczych, zmienimy, zmienimy tego formułę stoiku.
4973:  Będzie mianowicie seria live'ów o fantastyce, na których będziemy się skupiać wyłącznie na tym, to znaczy na fantastyce.
4983:  I tak to rozwiązaliśmy.
4986:  Udostępnia garnizon, czekające w pustu, uosobienie żywiołu bestii.
4989:  Tu garnizon, to są ciężkie stanie bojowe, czyli nope.
4991:  Dobra, ale możemy sobie tę chatkę Wiedźmy brać, myślę, na sam początek.
4996:  Kostaltynopol to będzie to właśnie.
4999:  Kostaltyn.
5002:  Kostaltynopol.
5006:  Ciężkie słowo.
5009:  Osada Łódź.
5012:  Musi być Łódź, to prawda.
5015:  Niezmiennie, moi drodzy.
5017:  Albo... Łódź, chódź.
5021:  Tak jest.
5022:  Jak miło wrócić na strumieńki z wzajemnością, Nia Doris, dobrze cię widzieć.
5027:  W Krakowie podobno wiatr wam dokopał, ale strasznie rudyliście, strasznie.
5032:  Ja aż zamknąłem okna, które miałem zamknięte.
5036:  Land for the taking.
5039:  Niepokoi mnie ten bohater tutaj, nie?
5041:  Czy możemy kogoś tutaj zrekrutować, kto będzie mógł asasynować?
5044:  Nie, ale mamy, moi drodzy, możliwość zrekrutowania lodowych czarownic, a to oznacza, że... Tak.
5050:  Bierzemy.
5059:  Kostaltynopolitańczyka wieneczka teraz będzie.
5063:  I jamczarzy.
5066:  A właśnie, jeszcze mieliśmy jedną rzecz zrobić.
5069:  To jest jamnik.
5070:  Jamnik mrozu.
5072:  I jest lepiej.
5077:  Łódź Bałamuty.
5080:  Kiedy te live'y o fantastyce, Krzysztof?
5083:  Będą.
5084:  Będą.
5084:  Na pewno w tym roku.
5086:  Może się uda przed wakacjami.
5090:  Liczę na to, że w kwietniu, ale zobaczymy.
5093:  Amunicja plus 20%, zawsze to bierzemy.
5096:  Przychylność Ursuna.
5102:  A, amunicja!
5103:  Bierzemy.
5105:  Janin Mrozu jest głodny.
5106:  Głodny zwycięstw!
5108:  Dzięki Krzysztofowi trzy stówki zaoszczędzone.
5110:  Dziękuję Danielu Ratajczaku za trybut i cieszę się, że mogłem zniechęcić was do kupowania Dragon's Dogma.
5119:  Co do zmian w dziedzinie life balance, rzuciłem jakiś czas temu pracę w korpo, pisze wyznawca regał tego szkoła, żeby dowodzić jedzenie rowerem.
5124:  Jedna z lepszych decyzji w moim życiu, ileś stresu jaka mi ubyła, sprawiła, że przestałem wymiotować co rano, przestałem wyczesywać siwe włosy, przestałem mieć problemy z koszmarami nocnymi.
5131:  Nie wierzyłem lekarzowi, kiedy powiedział, że to jest wina stresu.
5134:  Dużo z nas nie wierzy, sam nie wierzyłem, a to jest wina stresu bardzo często.
5139:  I am Kostaltin!
5142:  You are Kosta... He is Kostaltin!
5147:  Rycerka.
5149:  Levelowanie rycerki jest moją ulubioną czynnością ostatnio.
5152:  Odporność na ostrzał.
5153:  Premia przeciwko piechocie.
5155:  Po czym mówimy?
5155:  Kislewici, łączcie się.
5158:  Powinna być bierna umiejętność.
5159:  Regeneracja.
5161:  Czy on ma regenerację?
5165:  Ona nie ma regeneracji.
5166:  Dajcie spokój.
5168:  Supranational serial mnie ominął.
5171:  Chciałem pamięć spotkać.
5172:  Figla.
5172:  Przeczytaj jeszcze raz.
5173:  Kostaltyno policzanie.
5174:  Tylko wianeczka.
5175:  Aaa, tak.
5177:  Nie, to ja jestem!
5178:  Kostaltin krzyczy, jesz z Erlenwaldu.
5180:  I kto wie, może ma rację.
5183:  Denerwują mnie te monity dotyczące ulepszenia budynku.
5187:  Więc uszkodzony budynek won, bohater się poruszył, dostępne ulepszenie budynku won.
5195:  I have returned!
5198:  Praise Ursun!
5201:  Mieszkańcy Sosnowca to Sosnowiecczanin i Sosnowiecczanka.
5204:  Bardzo ładne słowo.
5206:  Ale po co być mieszkańcem Sosnowca, jak można się stamtąd wyprowadzić?
5209:  I wiem, co mówię, moja rodzina się wyprowadziła z Sosnowca.
5212:  Nie mogliśmy znieść tej hańby.
5215:  Znaczy, część rodziny.
5219:  LazyTitle pisze, że polskie uczelnie generują tyle stresu, ponieważ odnosi wrażenie, że trzeba wiedzieć absolutnie wszystko, a jeżeli czegoś nie wiesz, to jesteś mieszany z błotem.
5226:  I to jest ten problem, nie?
5227:  Że ktoś cię miesza z błotem z takiego powodu.
5234:  W sumie czemu byśmy nie mieli z nimi mieć umowy handlowej?
5252:  Armia uzupełniona, armia uzupełniona czy Skarbiec?
5254:  Armia uzupełniona.
5256:  Dobra.
5258:  I moi drodzy, możemy użyć monet, żeby wyprzedzić carycę w pozyskiwaniu popleczników.
5265:  I teraz jeszcze możemy coś zrobić jednego.
5267:  Mamy często zajmowane osady, więc jeszcze raz wezmiemy Ursuna.
5272:  Gorsze jest tylko studiowanie w Brzydgoszczy.
5276:  Niezmiennie mnie bawi to, czego się dowiedziałem, mianowicie, że Uniwersytet Kazimierza Wielkiego w Bydgoszczy, który brzmi tak dumnie, nie?
5282:  Tak naprawdę to było kolegium nauczycielskie.
5286:  No muszę powiedzieć, że mnie to zaskoczyło.
5288:  Nawet mnie to zaskoczyło.
5290:  Ależ to są drogie te budynki Kislewitów, po prostu rozbój w biały dzień.
5293:  Naprawdę, rozbój w biały dzień.
5301:  Pójdziemy w to.
5305:  I Legion Gryfa.
5309:  Tu są szlabany na tramwaju, Sosnowiec jest za granicą.
5314:  Skoro przy temacie miast dobrze ci się mieszka w Krakowie, pisze Krankheit, prócz pracy na uczelni trzyma cię co da się tam więcej, marzy ci się jakieś specjalne miejsce, gdzie chciałbyś mieszkać?
5322:  Zawsze chciałem mieszkać w Wielkiej Brytanii, natomiast, i zresztą miałem w którymś momencie taką możliwość, żeby tam studiować i tam pracować, też naukowo, natomiast zdecydowałem, że nie.
5333:  I od tego czasu w ogóle na ten temat nie myślę, szczerze powiedziawszy.
5337:  I jedyne, co w Krakowie jest bardzo irytujące, to jakość powietrza, no i ceny.
5344:  Nie dziwię się kompletnie ludziom, którzy na przykład mieszkają sobie radośnie w Katowicach, dojeżdżają.
5352:  Dojazd z Katowic do Krakowa często jest szybszy niż z jakichś rogatek Krakowa do centrum miasta.
5364:  Dramat absolutny.
5365:  A równocześnie macie niewiarygodnie taniej.
5369:  Lud.
5370:  Najlepsze czarowice są lodowe, moi drodzy.
5373:  Nawałnicy nigdy nie wybierajcie.
5375:  W Wielkiej Brytanii jest marna służba zdalna.
5377:  Jest parę rzeczy, które mnie powstrzymało, natomiast ja bardzo lubiłem północ Wielkiej Brytanii.
5381:  Miałem tam rodzinę w Newcastle mianowicie i najeździłem się po tych wszystkich Norwambriach, po hrabstwie Norwambia głównie, więc Durham i cała reszta.
5389:  Bardzo mi miła mojemu sercu, kojarzy mi się też bardzo sympatycznie.
5392:  W ogóle lubiłem i Sunderland i Newcastle.
5398:  Paulina pisze, że bardzo cudownie wspomina studia.
5401:  Dobre lata spędzone w klubie, na miłych pogawędkach, sesja była jak wakacja.
5404:  Jeszcze mnie uczyli staży, często przedwojenni wykładowcy.
5407:  I tu jest klub problemu.
5410:  Tu jest klub problemu, to znaczy ci staży wykładowcy pamiętali czasy przedsystemowe i też tacy ludzie, którzy mnie uczyli na polonisce byli najlepsi.
5419:  Czy na Steamach o fantastyce będzie coś o literaturze grodzy?
5422:  To zależy od was, bo ja właśnie dlatego robię Steamy o fantastyce, moi drodzy, że wiele razy ludzie mi mówili, o Krzysztof, zrób, zrób, zrób kanon, tak krytykujesz kanony, to zrób własny.
5437:  I właśnie cała idea polega na tym, żeby nie robić kanonu, bo nie na tym to polega.
5443:  Tylko chodzi o to, żeby zrobić coś innego i będziemy robić właśnie taką alternatywę.
5449:  Ja do tego potrzebuję was, to znaczy potrzebuję ludzi, którzy znają się na różnych nurtach lepiej ode mnie, ja się w ten sposób czegoś od was uczę, robimy to wspólnie i będziemy sobie tworzyć taką mapę różnych polecajek fantastycznych.
5461:  Ile razy się zdarza, że polecacie mi na przykład jakąś animkę, ja nawet nie mam czasu zapisać sobie tego, prawda?
5469:  Więc dla mnie to też będzie praktyczne, nie oszukujmy się.
5473:  Okej, myślę, że możemy się wyprawić już naszymi saniami bojowymi tutaj i na przykład wyeliminować Throga.
5479:  O tak.
5482:  Więc to będzie, moi drodzy, coś, czego jeszcze nikt nie zrobił.
5487:  Wydaje mi się przynajmniej na YouTubie na taką skalę, a jeżeli uda mi się jeszcze mój plan dodatkowy, to na pewno już nikt czegoś takiego nie zrobił.
5496:  Co cię mnie powstrzymało przed przeprowadzką?
5498:  Ja jestem strasznym domatorem.
5499:  Jak udało mi się już tutaj osiąść, jeszcze urządzić wieżę, to sama myśl o tym, że miałbym się przeprowadzić, wywołuje u mnie atak paniki.
5510:  Ja nienawidzę zmian.
5512:  Jestem typem człowieka, który na studiach zamawiał sobie w kantynie Bibliotece Jagiellońskiej codziennie, bo chodziłem tam codziennie i czytałem,
5521:  Mój sposób na to, żeby powstrzymać się od robienia innych rzeczy.
5526:  Filet z kurczaka z frytkami oraz surówkę z marchewki.
5530:  Kiedyś zamówiłem coś innego i... O, mamy skrytobójcę akurat, świetnie, czyli będzie to nasza zabójczyni.
5536:  I babka, która sprzedawała mi te obiady, ona była w ciężkim szoku, ona była przerażona, świat jej się zawalił, ale jak to coś innego, nie?
5543:  Więc to jest mniej więcej tak, jakbym teraz ubrał czerwoną bluzę.
5546:  Bylibyście też zaskoczeni w stopniu, w którym była zaskoczona tamta babeczka.
5551:  Więc ja tam dokładnie tak samo, jeżeli chodzi o osiąście w jakimś miejscu.
5555:  Raz osiądę, mogę tu zostać do końca życia, nie będę mieć z tym żadnego problemu.
5558:  Ja w ogóle też nie mam takiego przekonania, Krzysztof to Sheldon, trochę tak.
5561:  Nie mam też takiego przekonania, że ja potrzebuję czegoś więcej, wręcz przeciwnie.
5566:  Raczej wtedy wolę inwestować jakościowo.
5569:  w coś, czego mam mało.
5571:  Czyli robię, jak w gęślinie byśmy powiedzieli, że to są inwestycje wertykalne, a nie horyzontalne.
5577:  Czyli nie interesuje mnie zmiana metrażu, ale interesowałoby mnie na przykład to, żeby kupić sobie dobry sprzęt do małego metrażu.
5583:  O, coś takiego lubię.
5584:  Jestem też dla tego typem człowieka, który dużo zapłaci za hotel, bo wolę zapłacić dużo za hotel i być krócej na wakacjach, ale w dobrym standardzie, niż zapłacić mało za hotel i być dłużej na wakacjach.
5598:  To jest taki mindset po prostu.
5601:  Zawsze miałem.
5602:  Enough is enough.
5603:  Oj tak, Itxo, o tak, absolutnie.
5606:  Mnie bardzo pomaga to podejście.
5608:  Ono przede wszystkim jest cudowne w tym zakresie, że absolutnie rozwiązuje problem gromadzenia ponad miarę.
5619:  Dziś jestem neuratypowym, musiałbym się przebadać, moi drodzy, nigdy nie miałem okazji.
5624:  Hmm.
5625:  A to jest jedna z rzeczy, które chcę zrobić, to znaczy bardzo bym chciał zająć się także tymi diagnozami, ale niestety po 30 mam dużo różnych diagnoz, a ja bardzo zaniedbywałem swoje zdrowie, więc mam dużo, dużo do nadrobienia.
5638:  Ale zestaw.
5639:  Frog, Archaon Wszechwysraniec, Wszechwybraniec, przepraszam, i Skarbrant Wysraniec, przepraszam, Wygnaniec.
5647:  I oni wszyscy chcą nas zabić.
5651:  No dobrze, zobaczymy jak to się skończy.
5658:  O, ciekawe, ciekawe, ciekawe.
5661:  Też nie lubię, że miałem przeczek z Krakowa, a teraz się zgłosiłem na Erasmus i wiem, że to będzie do mnie duże wyzwanie.
5664:  Bardzo się martwię, bo będę sama w nowym mieście, a ledwo się poruszam po Krakowie.
5669:  Ale zaaklimatyzuj się, daj sobie czas na aklimatyzację.
5672:  Weź sobie też coś ze sobą, co będzie ci przypominać o miejscu, które opuściłaś.
5676:  Może to bardzo pomóc.
5677:  Ja tak przynajmniej robię i to działa.
5680:  Moja mama zawsze się dziwiła, czemu chce mieszkanie w bloku, tymczasem mój minimalizm szczeliko.
5683:  Tak, tak, tak, ale to też jest kwestia tego, że bym też starał się tak zrozumieć ludzi pokolenia transformacji, że dla nich po prostu nie do wyobrażenia jest, ale jak to nie chcesz mieć domu pod miastem?
5695:  Ale jak to nie chcesz mieć SUVa, którym będziesz dojeżdżać 4,5 godziny w korkach?
5699:  Przecież na tym polega definicja życiowego sukcesu.
5704:  No nie, ja nie, nie, nie, nie.
5706:  Dla mnie możliwość mieszkania sobie i pójścia w mieście i pójścia z buta do centrum, albo wezwania Ubera i przebierania w Uberach jak w ulęgałkach, to jest bezcenna rzecz.
5721:  Mieszkam na zachód od Eveness.
5723:  Im dalej na północ, tym piękniej, pisze Raven of Cinch.
5725:  Och, ja miałem marzenie, że sobie zrobię się takie tournée po Szkocji, jak jeszcze mogłem pić whisky, ale teraz już nie mogę, więc...
5735:  Nie mam powodu, żeby tam wrócać.
5737:  Nie no, pewnie bym sobie wtedy pozwiedzał już tak czysto, a nie merkantylnie myślał o tym.
5746:  Po trzydzieste kręcisz takim kołem fortuny, co cię dziś boli przy Rakta.
5753:  Co dziś i co tym razem?
5755:  Po stanicach podróżuje samozwańczy obrońca prawdy, głosząc bezbożne wieści.
5759:  bluźnierca ma mi obywateli nowiną, jakoby wielka cerkiew stanowiła, bo nie była.
5765:  Jedynie konstrukt polityczny stworzony z myślą o tym, by nim sterować.
5768:  Rozumie się, że to wierudne kłamstwo.
5770:  Trzeba działać natychmiast.
5771:  Z pozor.
5772:  Upozoruj drobny wypadek.
5776:  Dlaczego nie mogę?
5777:  Rozwaliłem sobie duman jelita, wiesz, stresikiem, który podobno, wiesz, im więcej masz stresu, tym odparniasz się na stres, masz taką grubą skórę, tak jesteś silny i możesz więcej tego stresu brać.
5792:  No to ja brałem 15 lat ten stres, no i w którymś momencie organizm powiedział stop.
5800:  Szabrowa Góra, dobra, to wyeliminujemy zagrożenie tutaj, wrócimy następnie w to miejsce, bo założę się, że tutaj przy Twierdzy Srebra już gromadzą się siły do zajęcia wielkiego jeziora czaszek.
5813:  Szkocja piękna.
5816:  No i co?
5817:  Ktoś nas chce atakować?
5818:  Nie chce nas atakować.
5819:  To my się będziemy trzymać Aleksandra Babanina, bo czemu by nie?
5824:  A tymczasem Borys Ursus, zobaczcie, jest coraz potężniejszy.
5827:  Będzie mieli tutaj drugą armię, niebawem, i bardzo dobrze.
5830:  Borys Ursus wszelako potrzebowałby, potrzebowałby jakichś patriarchów.
5836:  To jest ważne.
5837:  Patriarchowie są dobrzy do leczenia jeźdźców niedźwiedzi.
5841:  To ważne.
5843:  Skoro o tym mowa już, to... O, zasięg plus 15 dla małych gromów, bierzemy to.
5849:  Lepsze miecze, lepsze łuki.
5851:  Siła pocisków, zawsze lepsze łuki.
5857:  Tymczasem moja ciocia z dołem dwupiętrowym pod Krakowem budowała kilka lat, zadłużyła się, teraz dom niewykończony, nie widać końca remontów.
5862:  Czy na naprawdę jest idealne życie?
5864:  No wiesz no, jeżeli ludzie chcą się w coś takiego pakować, no to spoko, niech się pakują, tylko że zawsze jest niedobre to, jeżeli narzuca się coś takiego jako normę.
5874:  To nie jest norma.
5879:  Ale ja strasznie cenię to na przykład u moich rodziców, że oni totalnie byli właśnie do porozmawiania na ten temat, można było ich przekonać, o, wiedziałem.
5888:  I nie mieli problemu z moim wyborem stylu życia.
5891:  Pamiętam, że podczas Steam'a StarCrafta powiedziałeś przy majstrze, że gruba skóra to kwestia poczucia własnej wartości, dzięki czemu zdałem sobie sprawę z tego, jak dużo zawdzięczam mamie.
5901:  To jest najlepsza gruba skóra, jaką mamy i my ją pozyskujemy dzięki, że to przypominasz i w ogóle jestem poruszony, że to pamiętasz tak długo.
5909:  Więc my to zawdzięczamy, zauważcie, nie w wystawianiu się na stres, tylko w budowaniu motywacji wewnętrznej.
5916:  To jest też coś, co powiedział, moim zdaniem bardzo słusznie, doktor Kay, czyli psychiatra prowadzący kanał Healthy Gamer, że to jest ta jedna rzecz, której nigdy nie dostaniecie z zewnątrz, to znaczy nigdy nie dostaniecie motywacji wewnętrznej.
5930:  I bardzo często to właśnie może rzutować na nasze dobre samopoczucie i na to, jak funkcjonujemy w świecie.
5938:  Motywacja wewnętrzna to jest po prostu clue.
5941:  A motywacja wewnętrzna bierze się z tego, że na przykład wiecie, że nie musicie siebie nieustannie sprawdzać i testować, że poradzicie sobie z tym, a jeżeli sobie nie poradzicie, to trudno.
5953:  Czy słyszałem o kanale fantastycznym?
5954:  Tomasz Kołodziejczak z Ignacym Trzewiczkiem fajną robotę wykonują.
5957:  Słyszałem, ale nie śledziłem niestety projektu, widziałem tylko zapowiedź.
5962:  Majster pisze, że miłe wspomnienia zostają na długo i ma dobrą pamięć w przeciwieństwie do mnie, ale to prawda, to prawda.
5971:  Okej, Aleksander Babianin zbliża się do Skarbranda.
5976:  Ja myślę, że gdybyśmy wylądowali tutaj, to byłby problem, ale on nie powinien teraz zwodować swojego statku, zobaczmy.
5985:  Motywacja wewnętrzna, o fajne, spróbuje.
5987:  O, w ogóle tak, próbowanie.
5992:  Biorę ten wynik.
5994:  Próbowanie się z różnymi wyzwaniami i testowanie swoich możliwości to jest dobra rzecz.
6000:  To jest to, co ja cały czas powtarzam odnośnie do systemu edukacji.
6005:  Nie ma tak, że Krzysztof dzieli się swoimi doświadczeniami, czy Mikołaj Marcela, które działają, a ktoś inny odpowiada, a mnie się wydaje, że nie.
6014:  Przetestuj.
6016:  Zanim powiesz nie, bo mi się wydaje, przetestuj.
6019:  To jest metoda naukowa.
6020:  Ja to testuję codziennie.
6023:  Żadna z rzeczy, które wam nie powiedziałem, żadna, nie została przeze mnie przetestowana.
6030:  Głupio to brzmi, ponieważ podwójne przeczenie, ale testowałem generalnie rzecz biorąc wszystko.
6040:  O, Astrogoth przerżnął.
6043:  I to tak solidnie przerżnął.
6045:  Bardzo dobrze.
6048:  Kusi mnie, żeby zrobić to... Wiecie, co mnie kusi.
6052:  Eksploit.
6052:  Nie będę robił eksploitu.
6057:  Jacek Walkiewicz w Ted Talku mówi, że zaufanie do siebie jest najważniejsze.
6060:  Jak się przewrócę, to wstanę.
6061:  Jak nie będę mieć siły, to sobie poleżę.
6064:  Jup.
6067:  Dwie godziny testowania Dragon's Dogma nie wystarcza.
6069:  Ale to jest druga rzecz, zawsze to powtarzam.
6072:  Jeżeli jakiś produkt nie spełnia oczekiwań, to jest problem tego produktu, to nie jest mój problem.
6080:  Bardzo mi przykro.
6085:  Jeżeli jakaś aplikacja nie działa, to jest to, gdzie mam kość niezgody bardzo często z ludźmi.
6090:  To jest to wina projektantów tej aplikacji, większe prawdopodobieństwo niż wina użytkownika.
6096:  Bo jeżeli użytkownik coś testuje i jemu wychodzi uparcie coś, co nie było naszą intencją, to znaczy, że trzeba popracować nad zakomunikowaniem tej intencji projektowej.
6105:  Dawid pisze, że znarzeczono, próbowaliśmy ogarnąć budowę domu, nie udało się z perspektywy czasu, cieszę się.
6109:  Bo to jednak studnia bez dna finansowej, naraz inaczej patrzymy.
6112:  Słuchajcie, wszystko, nagle się okazuje, że coś takie jak kominiarze istnieją, że trzeba podprowadzić sobie wszystko do domu samemu, że jeżeli pęknie studzienka, to musicie to robić od zera.
6122:  Jeżeli internetu nie ma i na przykład się okaże, że kabel został spieprzony, to nie spółdzielnia się tym zajmuje, tylko wy się tym zajmujecie i musicie to sami ogarnąć.
6131:  I wszystko trzeba samemu ogarniać.
6132:  Oczywiście, można by mować, jeżeli ktoś nie ma z tym problemu, ale ja, ja miałbym z tym problem.
6139:  No przecież to jest jakaś parodia to, co oni tutaj robią!
6142:  Nie atakują nas!
6145:  Zaatakujcie tchórze!
6149:  Skandal.
6150:  No i gdzie jest ten Astro Goff?
6152:  Zniknął.
6154:  A, tutaj uciekł.
6158:  Czae.
6160:  Rapcho pisze, że motywacja na terapię jest to dla niego, że chce odzyskać przyjaciółkę i może znaleźć sobie w końcu partnerka.
6165:  Samym przyjaciółkiem nie mam męskich kumpli.
6166:  Zawsze tak miałem też, Rapcho, jak ty.
6169:  Wbrew pozorom nie jest to złe, jeżeli masz wokół siebie sporo przyjaciół.
6174:  Myślę, że to jest dokładnie na odwrót.
6178:  I płeć przyjaciół wtedy nie ma znaczenia.
6182:  Ważne, że są.
6186:  Masz zdolność, Sarina.
6187:  Drodzyna, przyjrzyj się Tobie, Sarina.
6211:  Jestem wdzięczny szkole, wdzięczny moi drodzy, zostało ujęte w cudzysłowie, za to, że w wieku 20 lat bolało mnie tak lędźwie, że czasem nie mogę leżeć z bólu i tylko siłownia pomaga.
6221:  Tak, siłownia, ale też materac.
6222:  Jak będzie cię stać, będziesz mieć taką możliwość.
6226:  Błagam cię w imieniu wszystkich, których boli kręgosłup i przestał, jak zainwestowali w materac, zainwestuj w materac.
6245:  Gdzie mam mieszkanie kupione, czy wynajmuję?
6247:  Ja mam, moi drodzy, jestem w korzystnej i idealnej sytuacji jedynaka, który mieszka w mieszkaniu, które zajmowali wcześniej dziadkowie.
6255:  Po prostu zrobiłem tak, że jak się przeprowadzałem z wynajmowanego, to remotowaliśmy z rodzicami wspólnie, dzieląc się kosztami, więc w czepcu urodzony Krzysztof się mógł przeprowadzić na swoje dzięki temu.
6271:  Więc ja nawet dlatego nie próbuję mówić, że mam ciężką sytuację i nigdy tego nie robiłem.
6278:  Ale to nie znaczy, że nie będę empatyzował i mówił cały czas, że sytuacja na rynku mieszkaniowym jest tragiczna, bo swoje pomieszkałem, to było ile lat?
6286:  Dziewięć lat?
6288:  I wynajmowałem.
6289:  Więc wiem, jakie są realia, jakie są koszty.
6293:  Tak, luksusowa sytuacja, absolutnie.
6295:  Nie przeczę.
6296:  Moi rodzice mi bardzo dużo pomogli, edukacyjnie i życiowo.
6300:  Ja na przykład nigdy bym sobie nie mógł pozwolić, żeby wyjechać na pierwszą konferencję naukową.
6304:  W ogóle to byłoby niemożliwe.
6306:  Z bardzo prostego powodu.
6308:  Mianowicie pierwsza konferencja naukowa, na jaką jechałem, była zagraniczna i nie miałem na nią pieniędzy.
6315:  A żeby mieć stypendia, musiałem wyjechać na konferencję międzynarodową.
6319:  Czyli wiecie, no paragraf 22, jeżeli nie macie starych, którzy was wesprą, to co możecie zrobić wtedy?
6327:  Dlatego stypendia za punkciki to jest chujnia, bo stypendium powinno polegać na tym, przychodzi ktoś z zajebistym referatem, mówi, chcę jechać na konferencję międzynarodową, przyjmują mnie, daj tam mi stypendium naukowe.
6338:  Jeżeli pojadę na konferencję, będę mieć artykuł i tak dalej, będzie osiągnięcie, to wszyscy zyskujemy.
6343:  Ja zyskuję, wy zyskujecie, macie dobrego studenta.
6346:  ale nie.
6347:  Stypendia naukowe są dla ludzi, którzy już mają osiągnięcia, czyli są dla ludzi bogatych, którzy się chcą jeszcze bardziej bogacić.
6354:  Masakra.
6355:  Jaka szlachetna porażka.
6361:  Ile metrów kwadratowych?
6362:  40 z hakiem.
6374:  Na konferencję z pracy musisz jechać za swoje?
6392:  Oczywiście, że tak.
6393:  A przepraszam, myśleliście, że jeżeli się płaci za publikację artykułu naukowego 2000 dolarów, to na konferencję też się nie jeździ za swoje?
6400:  A jak jesteście studentem, czy studentką, czy doktoratem, doktorantką, osobą studiującą, osobą się doktoryzującą, to myślicie, że co?
6406:  To samo.
6407:  Tylko, że wtedy nie macie nawet pracy.
6410:  W związku z powyższym ładujecie ze swojej kasy, więc jeżeli ktoś ma stypendia ministra albo inne stypendia naukowe, to wtedy może to reinwestować, ale wiecie, wtedy nie ma pieniędzy na życie.
6419:  Więc teraz przy studiach doktorskich, które się nazywają studium doktoranckie albo szkoła doktorska różnie, macie pensję bazową, ale ta pensja wystarcza na wynajem mieszkania i ELO.
6430:  Ale ona nie wystarczy na to, żeby pojechać na konferencję międzynarodową.
6433:  Więc jeżeli nie macie tego zewnętrznego backupu finansowego w postaci swojej pracy albo rodziny, która to finansuje, to tego się fizycznie nie da robić.
6440:  I dlatego ludzie się tak zabijają o konferencje, o publikacje i tak dalej, żeby mieć stypendia naukowe, z których to stypendiów będą mogli reinwestować kolejne osiągnięcia, za które dostaną kolejne stypendia naukowe.
6452:  I to jest ten system punkcikowy.
6454:  To jest sedno tego systemu.
6456:  Dlatego on jest taki zły.
