69 000 SUBSKRYPCJI DLA SLAANESHA — WARHAMMER 3 IMMORTAL EMPIRES
🔗 https://www.youtube.com/watch?v=rB9atL7RQ-4

688:  Chcieliście żądzy?
5239:  Już żeby barykada nas powstrzymywała, no przecież to jakiś horror!
5246:  Nakari, chodź, chodź zająć to miejsce.
5249:  Przecież ja zwariuję.
5252:  Czy ja po prostu oszaleję?
5260:  Dobrze.
5263:  Zajmuj Nakari, bo przecież zwariujemy i oszalejemy.
5268:  Demonetki nam wszystkie zginą w efekcie.
5272:  Bo cały czas usiłują z nimi... O, dobrze, dobrze!
5274:  Udało się!
5275:  No nie wierzę!
5280:  Dobrze, dobrze, zajmuj to, zajmuj to, świetnie.
5285:  Jest ciężko, moi drodzy, ale będzie lżej.
5287:  Jak tylko będziemy mieli lepsze jednostki, wreszcie.
5293:  Te wieże mnie denerwują jeszcze.
5297:  Dobrze.
5298:  Ta zginęła.
5302:  Tutaj jak sytuacja?
5304:  Zniszczyć tych włóczników.
5307:  Natychmiast.
5308:  Demonetki?
5310:  W bezpieczną stronę, proszę.
5314:  Jak tu?
5317:  Dobrze.
5318:  Wykańczamy, używamy fascynacji, żeby wykończyć te jednostki, które zostały tutaj.
5322:  Oby się udało.
5325:  Cały czas nas ostrzeliły ze stołpu.
5326:  To jest stołp.
5328:  Trzeba zająć, żeby stanąć na wysokości zadania absolutnie Bigomeza.
5332:  Żebyśmy mieli wspaniały, fioletowy ogień Slaanesha i Gniwus, to byłoby dobrze.
5337:  Ale niestety nie mamy.
5339:  Dobra.
5340:  Ruszamy do stołpu.
5345:  Hurra!
5347:  Demonetki tymczasem na włóczników niech pójdą.
5350:  A Nakari niech zniszczy to miejsce.
5354:  Wszyscy do stołpu!
5357:  Dlaczego oni się nie ruszają?
5360:  Aaa, bo tu jest barykada.
5364:  Te barykady naprawdę, o mój Boże!
5367:  AI uwielbia takie żenujące mechaniki, których nikt inny nie używa.
5372:  Niech Konar będzie podpalony, dziękuję Katokamasz, dziękuję!
5377:  Uciekają?
5377:  Dobrze, niech uciekają wszyscy.
5380:  Dakari powinien wzbudzać przestrach.
5384:  Stołp jest broniony, no jakoś jest, powiedzmy.
5388:  Gdzie mamy żniwiarki?
5390:  Tu są żniwiarki, dobrze.
5392:  Żniwiarki możemy wykorzystać do tego, żeby złapać tych ucz... Aaa!
5396:  Ktoś ucieka!
5398:  Dobrze!
5403:  My ass!
5408:  Ej, ale nie... Dobra, jeden oddział demon... Dobra, dwa oddziały demonetek zginęły, nie jest źle.
5415:  Nie jest źle.
5418:  Humanisty niepotrzebasz tak zaplecza naukowego uczelnia jak w naukach medycznych i technicznych.
5422:  No, wiesz co, NoOne, powiem ci, że różnie z tym bywa, ponieważ zastanówmy się na przykład na taką rzecz jak gry komputerowe, czyli dajmy na to przyszłość humanistyki moim zdaniem.
5435:  No ten sprzęt kosztował ponad 20.
5437:  Średni budżet na gry wideo u mnie w ciągu miesiąca
5444:  1000 do 1500.
5444:  Teraz wyobraźmy sobie, że robię taki grant.
5450:  Macie już dowód, kochani, dlaczego w moich artykułach od najnowszego, licząc w górę, będzie informacja w przypisie pierwszym, że dziękuję wspierającym kanał, to będzie o was, na YouTubie, za możliwość wpracowania na takim, a nie innym sprzęcie.
5465:  Ja to będę robił złośliwie właśnie po to, żeby pokazać, że niedofinansowanie humanistyki jest taką samosprawdzającą się przepowiednią, nie?
5473:  Że nie będziemy analizować rzeczy, które są aktualne, bo nie będziemy mieć pieniędzy, a nie będziemy mieć pieniędzy dlatego, że nie warto, ponieważ trzeba dawać pieniądze na organizowanie spotkań poetyckich dla 69 osób, które przyjdą.
5485:  Katastrofa!
5488:  Połowa tego na Primo Gemmy.
5489:  Nie!
5491:  Nie będzie wydawania na Primo Gemmy w Genshin Impact.
5496:  Nie no, widzicie, średni, średnia cena gry wideo to jest 350, tak?
5500:  Załóżmy, że mam zrobić artykuł o tym, w jaki sposób zaprojektować dobrze otwarty świat, tak?
5506:  No i zasady nauki mówią o tym, że nie możecie wziąć sobie jednego przykładu, tak?
5511:  Że ja będę goły i wesoły, haha, i zrobię sobie na jednym przykładzie.
5515:  No nie, musicie mieć przynajmniej 3, 4, 5.
5516:  No to to jest dokładnie już 1500 wtedy na 3, 4, 5 gier.
5519:  Eee...
5524:  No to o czym my mówimy?
5526:  A średni budżet na sprzęt, który jest przeznaczony w grantach naukowych, na laptopy, to jest około 2-3 tysiące.
5536:  Jedna trzecia kosztów karty graficznej.
5539:  Zdradziliśmy wszystkie Redwany.
5541:  I wszystkie ryjki.
5543:  Niedopuszczalne.
5544:  Ale za to możemy złupić i to zrobimy.
5549:  Tak?
5550:  Czy nie?
5557:  Grabież i okupacja.
5559:  Tak będzie bezpieczniej.
5563:  Tak będzie zdecydowanie bezpieczniej.
5567:  Okej.
5569:  Co tutaj możemy wyrekrutować?
5571:  No możemy oddanych grasantów Slaanesha, whatever.
5575:  Miejmy ich.
5576:  Czemu by nie?
5581:  Czy mamy coś, co nam będzie regenerowało żyćko?
5586:  Hmm... Gipki i zwinny.
5590:  To gdzieś tutaj było.
5593:  Żniwiasz dusz.
5596:  Boże, dopiero od dziesiątego poziomu.
5598:  To na razie poprawmy sobie obronę, bo jest z tym niedobrze.
5601:  To samo tutaj.
5604:  I... O mój Boże.
5610:  Strasznie dużo pieniędzy, ale warto.
5615:  Ale warto.
5615:  Tymczasem tu przejdziemy.
5621:  Niech jurność nas rozpali, pisze Marek Kraus.
5624:  Dziękuję ci za trybut.
5625:  Nie umniejszając nauką humanistyczną, koszty sprzętu np.
5628:  inżynierii genetycznej mogą osiągać setki tysięcy złotych.
5630:  Absolutnie, absolutnie tak.
5637:  tysiąc złotych nagrywa, a jeszcze szukasz specjalnie najdroższych gier, można o wiele grać za mniejszą kwotę.
5641:  Tak, ale jeżeli potrzebujesz dużego wolumenu, to wtedy się sytuacja zmienia natychmiast.
5645:  Nie mowa o kupowaniu jednego tytułu na miesiąc, prawda?
5650:  Na sprzęcie z grantów możesz pisać o grach w kontekście historycznym, Tetris, Pac-Man, Mario, Cywilizacja 2.
5655:  Tak.
5656:  I ludzie to robią, dlatego jak się dziwicie, dlaczego w groznawstwie, jak ktoś się nimi interesuje, jest tak dużo przykładów z indie-gierek, właśnie dlatego, to nie jest dlatego, że ludzie się snobują, na przykład wybierają sobie tylko gieryki indie, bo autentycznie nie ma kasy.
5668:  Albo jeżeli chcą dla studentów zaprezentować coś, nie?
5671:  Ja korzystam właśnie z tego setupu, który mam, żeby ludziom prezentować gry, które są najnowsze i dyskutować o największych i najnowszych problemach, tu i teraz.
5679:  No a jak nie ma na to pieniędzy, to co?
5680:  No to wtedy bierzemy jakąś gierkę indie i dyskutujemy o problemach, które są niszowe.
5685:  No i skutki tego są, jakie są.
5688:  Śmierć na służbie.
5691:  Czemu myśmy zostali dojechani?
5695:  Ooo, bardzo mi się to nie spodobało, to co zobaczyłem właśnie.
5701:  Bardzo mi się to nie spodobało, tu jest jakaś duża armia.
5706:  Okej, ale ona nic nie zdziała tak czy siak.
5711:  Zobaczymy.
5716:  Jest to prawda?
5716:  No, zaatakował.
5717:  Jak, jak Boga kocham, zaatakował.
5719:  A my nie mamy pieniędzy na uwiedzenie.
5720:  Czy mi nie powiecie... Powiedzcie mi jeszcze, że przegram.
5722:  To będzie dopiero numer.
5744:  Ciężka sprawa.
5745:  Czy Heroes 3 jest zainstalowane?
5747:  Heroes 3 jest zawsze zainstalowane, moi drodzy.
5750:  Imagine poprosić o grant na badania uzależniające mechanik w grach, potem ten grant wydać na Primogemy.
5758:  Proszę, proszę.
5758:  To jest punkciki w najgorszym ich wymiarze.
5780:  Czy są dostępne gdzieś w piłce dzików artykuły naukowe o anime innych niż bardzo popularne battle shounen'y?
5785:  Po polsku?
5786:  W Polsce nie ma badań nad anime.
5787:  W Polsce badania nad anime jedyne, które znam, były prowadzone przez Altonę Kobus, Martę Tymińską, Piotra Siódę.
5796:  To jest bitwa polowa?
5801:  Aha, czyli jak my atakujemy AI, to AI dostaje mury.
5806:  A jak AI nas atakuje, to dostajemy bitwę polował.
5810:  Dobrze, ale wiecie co?
5812:  Nas uratuje las w tym momencie.
5816:  To znaczy, tutaj się schowamy, w lesie, będzie bitwa ostatniej szansy.
5822:  Przypominam, że zaczęliśmy dopiero kampanię i mamy bitwę ostatniej szansy.
5825:  Tak to się kończy, jak się gra na poziomie legendarnym.
5828:  I się nie uważa.
5830:  Ale nie mam tutaj nic do zarzucenia, ponieważ walczyliśmy dzielnie.
5836:  Dobrze.
5839:  W takiej sytuacji jedynie Corner Camping nas zbawi, moi drodzy.
5842:  Starodowa partyzantka, tak jest.
5844:  Ma dużo łuczników i włóczników, więc jeżeli dobrze wymierzymy zaklęcia, powinno się udać.
5849:  To, co mnie martwi, to to, że mamy bardzo mało piechociarzy.
5853:  I stosunkowo mało konnicy.
5858:  Spróbujemy konnicę tutaj zgromadzić, tak żeby była niewidoczna.
5864:  Izvita podobała, bo spadł poziom osady po jej zdobyciu.
5866:  Aaa, racja!
5869:  R-racja!
5870:  Kloska się cieszy za polecenie carnivalów, super, że się podobało!
5873:  Bardzo dobrze się oglądało, jeszcze lepiej się nie uczyło do matury, bo tak to wciągnęło.
5877:  Bardzo dobrze, trzeba odpoczywać, a nie tylko rydzić do tych kolernych egzaminów.
5887:  Co jest najciekawsze we współczesnym humanistycznym?
5889:  Warto się zajmować nowymi rzeczami, cytrus.
5892:  AI na pierwszy rzut.
5895:  Fakt, że humanistyka nie zajmuje się AI jest czymś, co zostanie jej... w którymś momencie... znaczy, stanie jej kością w gardle.
5904:  Bardzo duży błąd taktyczny.
5907:  Dokładnie to samo można powiedzieć o innych naukach, po prostu naukowcy się powinni zajmować tym, co jest tu i teraz.
5914:  Jest taki... nie wiem dlaczego przesąd, że humanistyka zajmuje się tym, co jest stare.
5920:  Na ile streamów zostało jeszcze Hogwarts Legacy?
5921:  Jeden maksimum VLED.
5923:  Potem sobie zrobimy właśnie Warhammera, bo będzie Chaos Dwarfs dodatek, wychodzi po świętach.
5928:  W związku z powyższym wtedy sobie to ogarniemy.
5931:  A potem jest 28 kwietnia i Jedi Fallen Order 2.
5937:  Czemu AI zawsze się rozkłada taką tyralierą?
5940:  Albo wiecie co, wiem dlaczego.
5942:  Bo nie zobaczyli nas, musimy ich zwabić.
5948:  Okej, okej, okej, okej, okej.
5950:  Chlaśnijmy Biczykiem.
5958:  Dobrze, Biczyk, Biczyk chlaśnięty.
5961:  I oni powinni się teraz zainteresować, a z drugiej strony będą przychodzić falami.
5965:  Dobra nasza.
5968:  Ważne, ważne żeby... Aaa... Żniwiarki są widoczne.
5975:  Już wiem na czym polega problem, one się nie mogą ukryć.
5980:  Czyli musimy żniwiarki przenieść do Armii Głównej.
5983:  To nie jest dobra wiadomość.
5985:  Absolutnie nie jest dobra wiadomość.
5988:  Eee... Dlatego się rozłożyli tyralierą właśnie.
5990:  O, proszę, proszę.
5992:  Dobrze, tych włóczników zgarniemy pierwszej kolejności.
5995:  To się może udać, moi drodzy.
5997:  Czy będzie jakiś team z Mrocznych Elfów?
5999:  Mroczne Elfy zostały spieprzone w Warhammerze III Pitstar, więc póki nie będzie jakiejś dobrej łatki, która naprawia przyjemność z gry z nimi, nie ma to specjalnego sensu.
6013:  Trzeba pokazać, że jesteśmy chętni.
6015:  Prawda?
6016:  To zadziała, moi drodzy.
6018:  Czy nasza konnica jest ukryta?
6022:  Jezus, po czwary Slaanesha nie.
6024:  Po czwary Slaanesha jeszcze są nieukryte.
6026:  Przecież ja oszaleję.
6028:  Nie mogą ryjki zostać zaatakowane.
6034:  Oj, oj, oj, oj, oj, oj, oj, oj.
6036:  Trzeba się ukryć.
6038:  Seeking Slaanesh is embraced.
6043:  Po czwary slanesza.
6044:  Nie da się ukryć.
6046:  Nomen omen.
6048:  Niedobrze!
6050:  Lukrowanie muffinek po tym strumyku będzie bardzo niezręczne przed suki tsubane.
6060:  Malinki i czekoladka.
6063:  To jest dopiero, moi drodzy, dobry wybór na strumyk slaneszowy.
6072:  Good, good.
6075:  Ktoś potrzebuje biczek.
6076:  Uuu, popatrzcie, wszyscy się nami zainteresowali nagle.
6079:  Wspaniale.
6083:  Dobra, jak łucznicy ustawią się tutaj w tralierze, to wtedy ich zajedziemy od tyłu.
6089:  Jedyny sposób, jaki widzę.
6093:  Dobra.
6094:  Czekamy, czekamy, czekamy, czekamy.
6098:  Na odpowiedni moment.
6103:  I atakujemy.
6107:  Dobrze.
6110:  Chodzi o to, żeby jak najwięcej i jak najszybciej ich uciekło.
6119:  Żniwiarki w tym się bardzo przydadzą.
6124:  Dużo jest tych, bardzo jest dużo niestety łuczników.
6128:  To mnie martwi.
6136:  Dobra.
6137:  Nakari, walnij tutaj, błagam.
6139:  O Boże, tak.
6142:  HACIAPUK!
6143:  Dobrze.
6145:  Dobrze.
6146:  I wracamy.
6149:  Zmiażdżyć ich, zmiażdżyć łuczników.
6151:  Elyrionu.
6158:  Nakari będzie tylko wjeżdżał w ich szeregi, żeby obniżać morale.
6164:  Bardzo niestety celują w niego, to jest problem.
6167:  Znaczy, możemy to wykorzystać oczywiście.
6171:  Walniemy teraz w to.
6173:  Koniec.
6174:  Koniec tego dobrego.
6176:  Czas!
6177:  Knucik flagelacyjny opadł!
6181:  Dobrze.
6182:  Odprowadź Jeźdźców Elyrionu.
6185:  Tymczasem, reszta.
6187:  Okej.
6189:  Myślę, że możemy Ryjki już przyprowadzać powolutku.
6192:  Powolutku.
6196:  Niech ryjki.
6199:  O, żniwiarki tu są jeszcze, świetnie.
6201:  Żniwiareczki.
6203:  A nie, czwary slanesz nawet lepiej.
6204:  Gdzie są żniwiarki?
6206:  Żniwiarki to będzie można podprowadzić za moment tutaj do piechociarzy.
6210:  Wbijajcie się w szeregi piechociarzy, bardzo dobrze.
6214:  Dobra, wracaj na kari, wracaj.
6217:  Good.
6218:  Dlaczego slanesz?
6218:  Bo 609 tysięcy subskrypcji.
6221:  Jakże inaczej świętować to niż panem rządzy.
6227:  O tak!
6229:  Ty szaśnik nucikiem flagellacyjnym w obrzydliwych łuczników!
6234:  Bo czwary Slaanesha mają problem.
6240:  Do wygrania, ale męczliwie, męczliwie moi drodzy.
6250:  Dobrze, Nakari, Nakari musi się cały czas ruszać, cały czas, non stop.
6257:  Nakari jest naszą jedyną szansą na wygranie.
6264:  Ale celują cały czas w niego, to jest dobra wiadomość.
6267:  Tutaj jest też sporo... Kurczę, to moglibyśmy... Moglibyśmy użyć knucika.
6272:  O Boże, knucik flagelacyjny, tak!
6274:  Teraz, teraz, proszę!
6276:  Teraz, tak, tak, tak!
6280:  Dobrze, bardzo... O Boże, ale oberwaliśmy Srodze.
6290:  To dlatego, że niestety nasze zaklęcie w nas rykoszetowało.
6294:  Dobra, teraz ryjki, atakujcie.
6301:  Dobrze, dobrze, dobrze, ryjeczki, wbijcie się w łuczników, świetnie!
6307:  W łuczników, nie we włóczników, w łuczników!
6313:  Dobrze, musimy tutaj chlasnąć biczekiem.
6316:  Chlaśnij Nakari, chlaśnij Fantasmagoria indeed Ależ się nie da, nie da się nimi sterować, widzicie?
6332:  Kompletnie, to nie zostało poprawione Za jakiś czas ktoś wbija, kto grywa w Warhammera i mówi Krzysztof, kawaleria została poprawiona!
6339:  Aha, tak Świetnie została poprawiona Także się nią nie da dalej grać
6348:  Dobrze.
6350:  Nakari radzi sobie coraz lepiej.
6354:  Dobra, dobra, dobra, dobra.
6356:  Wycofana.
6361:  Dramat.
6361:  Dobra.
6370:  Okej.
6371:  Wbicie się w tych łuczników teraz.
6374:  Wyślijmy na Curry'ego do drugiej grupy po prostu, bo to inaczej się źle skończy.
6379:  Jeszcze raz musimy klasnąć knucikiem.
6384:  Good.
6388:  O Boże.
6394:  Mod SFO, a on jest do trójki?
6400:  To jest pytanie, moi drodzy, czy on jest do trójki?
6404:  To przecież zwariuje.
6408:  Cały czas celują w Nakariego.
6414:  To ma plusy, moi drodzy, to ma plusy.
6419:  Ale ma też minusy.
6423:  Bo jeżeli Nakari... Jeżeli Nakari padnie, to wtedy możemy się pożegnać ze zwycięstwem.
6434:  A cholera jasna, co jakiś czas, co jakiś czas trafiają w niego.
6439:  Jest dość duży.
6440:  Ahaha, niestety.
6445:  I uchronienie go przed tymi strzałami jest bardzo trudne.
6449:  A jeżeli, jeżeli go wycofam, to natychmiast, ale to natychmiast, przegramy.
6456:  Dobra, dobra, dobra, rozbiliśmy formację łuczników przynajmniej.
6460:  Jeszcze jacyś do nas strzelają.
6463:  Wycofajmy go stąd w ogóle.
6472:  Dramat!
6475:  Zaatakujcie mi tych cholernych łuczników!
6481:  Damy radę!
6482:  Sanity!
6483:  Dzięki za wsparcie od 14 miesięcy!
6485:  Seks!
6485:  Śmiesznie, pisze Sanity!
6488:  Witamy Tulio, Enrique, Fernando, Alessandro, Bartolomo, Glacio na czacie!
6493:  Dobra, odczepili się częściowo.
6495:  A, Serra w nas tak strzela.
6499:  Okej.
6501:  Mam nadzieję, że to się szybko skończy.
6503:  Dobra, łucznicy teraz rzucili się na nas.
6508:  Powinno się udać.
6512:  Ciężka bitwa, ciężka.
6514:  Ale tak jest, się zapamiętuję.
6515:  Fortius Dominat Gloriam Slanesh.
6519:  I mamy już magii, to jest najgorsze, ale mamy inną magię.
6523:  Rzućmy to na najsilniejszy oddział łuczników.
6529:  Dobrze.
6532:  Demonetki chyba najwięcej zabiły.
6533:  O, 69, nice.
6534:  Natomiast oddani Slaanesza i kultyści Slaanesza, no powiedzmy, trochę tego jest, ale nie za dużo.
6545:  Nakari przeżył na razie.
6546:  596, dalej jest tyle samo.
6557:  A gdzie są nasze... Boże, po czwary Slaanesha zginęły, bardzo źle.
6562:  Nawet jeżeli to wygramy, to bardzo nas to osłabi, moi drodzy.
6566:  O cholera.
6571:  To niedobrze.
6573:  To niedobrze.
6576:  Ona strzela, to jest bardzo niedobre.
6582:  Dobra, spróbujemy teraz wrócić w takim razie tutaj.
6588:  Okej, wycofują się, wycofują się.
6589:  Dobrze, dobrze, dobrze, dobrze.
6591:  Spróbujemy zniszczyć ją.
6606:  Spróbujemy odprowadzić ich po prostu na skraj pola bitwy.
6610:  Wtedy nie będą też strzelać.
6614:  Do tego się Nakari dobrze będzie nadawał.
6621:  Nasz bohater też nie może zginąć.
6623:  Dużo, dużo w ogóle nie może zginąć, to jest smutne.
6632:  Dobrze, Nakari cały czas ich zabija, świetnie.
6638:  Łucznicy rozbita.
6639:  O Boże, ci łucznicy nas strzelają.
6641:  Niedobrze, niedobrze, bardzo niedobrze.
6654:  Zabić!
6656:  Wszystkich zabić i zgładzić!
6659:  Czemu się wycofują nasi wojownicy?
6664:  Tak, w takim tempie, moi drodzy, to nie dojdziemy do zwycięstwa w tej kampanii.
6669:  Niedobrze.
6677:  Zabić, zabić!
6683:  Jak tam nasz bohater?
6684:  Nasz bohater ma problem.
6686:  Spróbujmy go wycofać bardzo daleko.
6690:  Jak tam Nakari?
6691:  Dobrze.
6696:  Znaczy ja dobrze widzę, że został już tylko ten... Praktycznie tylko bohater został.
6701:  Oj, oj, oj.
6703:  Dla mnie żaden problem, bo nigdy nie robiłem grać koniuszyń przy jednoręki bandy.
6705:  Ta kaweria ma jedno zastosowanie, dobijanie uciekających wrogów.
6708:  Ale tutaj nawet tego nie potrafi zrobić dobrze.
6710:  To jest smutne.
6714:  Tak, mówiłem, demonetki MVP tej walki.
6720:  Powinniśmy już ich złamać.
6727:  Nakari ma kiepską dyscyplinę, to niedobrze.
6731:  Okej, wycofali się.
6734:  Najgorsze jest to, że nawet jak wygramy, to i tak przegramy.
6742:  Jest strasznie dużo wrogów jeszcze.
6748:  A my nie mamy już knucika flagellacyjnego i to jest dramat.
6758:  Hmm...
6760:  Oooo!
6762:  Największy oddział łuczników.
6766:  Oj, oj, oj, oj, oj, oj, oj.
6768:  Dobrze, dobrze!
6769:  Wycofujcie się!
6770:  Świetnie!
6775:  Nie macie żadnej dyscypliny!
6777:  Zero dyscypliny!
6781:  Tylko Nakari wygra!
6792:  Ależ nigdy jeszcze nie graliśmy tak na oparach, moi drodzy, jak teraz.
6796:  Nigdy jeszcze!
6798:  Pierwszy raz grałem w Warhammer Fantasy.
6800:  Grałem Kultysto Slensha kanibalem, pisze Igniwus.
6803:  Pożerałem żywcem plugalowego sigmarytę.
6805:  Tak należy.
6807:  Ewentualnie, ewentualnie można doprowadzić do tego, że będzie nas czcić.
6812:  Ewentualnie.
6817:  Dobrze, wszystko wskazuje na to, że udało nam się
6822:  Udało nam się część wojowników ocalić.
6826:  Spróbuj we mnie strzelić.
6830:  Na Kari.
6832:  Udało się!
6834:  I powiedzcie mi, czy to nie była legendarna bitwa?
6838:  Czy to nie była legendarna bitwa, jak była legendarna?
6841:  Ja się pytam.
6844:  Dobrze, demonetki, ścigajcie i macie wszystkich wybić.
6846:  Subtle servants of Slaanesh.
6853:  Absolutnie wszystkich wybić.
6859:  Nakali, dasz radę.
6864:  Tak!
6865:  Zabić ją, zabić, zabić, zabić, zabić!
6869:  Dobrze!
6872:  To samo tutaj.
6875:  Sierra Madre ma zginąć.
6877:  Matka Sierra.
6880:  Samo Sierra jest sama.
6885:  Demonetki czy zdążą?
6886:  Czy zdążą?
6887:  Czy dojdą?
6888:  To jest pytanie.
6890:  Ale w razie czego jeszcze mamy to zaklęcie.
6892:  Do uszczuplenia tego oddziału włóczników.
6897:  Czy mógłbym nie zrobić z Nakali one-man Doomstacka?
6899:  Nie wiem, bo potrzeba na to jakichś 170 tur, by nie rzec 169.
6905:  Na Doomstacki, moi drodzy, to jest jeszcze czas.
6907:  My jesteśmy w jakiejś turze drugiej, trzeciej, piątej, coś w tym stylu, przed dziesiątą w każdym razie.
6913:  Dobra, kto zginął?
6915:  Cholera jasna, zginęły po czwary stanach, jest bardzo niedobrze, że zginęły.
6919:  Będzie ciężko je odzyskać, ale nic to, nic to, trudno.
6926:  Gdzie był Gondor?
6927:  Gdzie był Ruhan?
6940:  Już wiemy.
6942:  Już wiemy, jak się nazywa nasza frakcja.
6949:  Mistrzu!
6951:  Swoje poszukiwania ostrza.
6953:  Won.
6955:  Otóż.
6963:  Absolutnie tak.
6964:  Jeźdźcy ruchanu, moi drodzy.
6967:  Teraz musimy tylko poczekać, aż odpowie na nasze wezwanie.
6970:  Yondor, tak?
6972:  Właśnie tak.
6978:  Kogo?
6978:  Kogo potrzebujemy?
6980:  Kto będzie tańszy w utrzymaniu?
6981:  90, demonetki 200.
6984:  Odpowiedź narzuca się sama.
6989:  Posłuszna ofi...
6992:  Aaa, grzydziwiasz duszę!
6995:  Teraz dopiero to dostaliśmy, jak potrzebowaliśmy tego tak bardzo wcześniej!
7002:  Gdzie był... Gdzie był jądor, gdy upadała zachodnia bruzda?
7005:  Ja się pytam.
7008:  Dobrze, i potem, jak zdobędziemy Thor Korulaj, to ich zdominujemy, moi drodzy.
7015:  Ale na razie trzeba się wylizać.
7018:  Czy wylizać rany?
7026:  Dobrze, moi drodzy.
7027:  Skoro już o tym.
7029:  Czas chyba.
7031:  Czas chyba.
7033:  Żebyśmy zasięgli mądrości zawartych w aferodyzjaku zewnętrznym.
7041:  Muszę tylko znaleźć rozdział, którego szukam.
7047:  To jest ten rozdział.
7054:  Do tego muszę usiąść.
7058:  Wierzcie mi, do tego trzeba usiąść.
7067:  Czytamy, moi drodzy, afrodyzjak zewnętrzny.
7074:  Traktacik o knuciku flagelacyjnym.
7077:  Konkretnie François-Amélie Dupé.
7085:  Afrodyzjak zewnętrzny albo traktat o Biczyku, dziełko medyczno-filozoficzne z dodatkiem rozprawy o wszystkich środkach podniecenia miłosnych rozkoszy oraz z katalogiem Afrodyzjaków.
7097:  Chociaż ten argument winien starczyć dla dowiedzenia skuteczności wpływu biczyka na fizykę miłości, tu jednak kilku autorów szukało innych tłumaczeń.
7108:  Meibominus, który twierdził, że nasienie dojrzewa w nerkach, przypisywał skutki biczowania gorącości w nerkach wywołanej.
7116:  Uczeni, którzy sądzili za Platonem, że nasienie wypływa ze szpiku kostnego,
7122:  Pisali, że flagelacja lędźwiowa powinna wywoływać parcie nasienia i przez to fallusa rozciągać i utwardzać.
7133:  Jeżeli będziecie kiedykolwiek pytać, kim był Platon, o czym pisał, już wiecie.
7140:  Już wiecie, że Platon pisał o szpiku kostnym.
7145:  W starożytnych pismach świętych albo świeckich czytamy, że sposobność weneryczna jest więc zasługą lędźwi.
7152:  Napisano w Księdze Rodzaju.
7154:  Jest przypis.
7170:  Bigoci, których udawana skromność skłania do podnoszenia wrzasku z powodu byle słówka wybaczą mi może.
7177:  Jeśli niekiedy używam wyrażeń nieco swawolnych, dowodząc cytatami, iż Kościół też się nimi posługuje.
7183:  Jeśli zaś idzie o ludzi wykształconych, to pewien jestem, że nie płoszę ich swym stylem.
7188:  Czyż nie czytali pieśni nad pieśniami?
7191:  W tymże poemacie pióra wielkiego sułtana Salomona znajdujemy zwroty wielce delikatne.
7197:  Żeby przyciągnąć swawolnicę i elegantki do kościoła, wystarczy ten poemat śpiewać na nieszporach, ale po francusku.
7208:  Będziecie więc szukać jakieś nazwy dla grupy na Facebooku, już wiecie, że ruchawka to jest właśnie to.
7217:  Ciąg dalszy B nastąpi!
7221:  Czemu oni tego w szkole nie uczą?
7222:  Co zabawne, jak miałem praktyki pedagogiczne w liceum, to wziąłem tę książeczkę i wziąłem również sztukę pierdzenia.
7229:  Polonistka wyglądała tak, jakby miała zejść na zawał.
7235:  Uuu... Raz, dwa, trzy, cztery, pięć, sześć, siedem, osiem, dziewięć demonetek!
7241:  Ajajaj!
7243:  Potrzebujemy jeszcze jedny, no... Jeden oddział, wiecie, może potrzebujemy dwa oddziały demonetek, co?
7256:  Dwa oddziały demonetek.
7258:  Zniewalające piżmo.
7262:  Koszt uwodzenia jednostek.
7264:  Utrzymanie minus 2%.
7264:  Potrzebujemy tego.
7268:  Nie mamy w ogóle pieniędzy.
7272:  Po dwóch latach skończyłem dziś mapę galaktyki ze Star Wars, pisze Marcin Płuszka w wymiarach 2x2 metry.
7279:  Powinszować!
7280:  Jest w Holistycznej Agencji, proszę.
7283:  Holistyczna Agencja Skepisteczna, link w opisie jak zawsze.
7285:  Wpadajcie tam, jest tam cudowna społeczność.
7288:  Warhammer ma tą samą tragiczną mechanikę z Roam, a tyli głównej prowincji z murami, a reszta to zabite wioski bez murów.
7293:  Wiesz co, Vedex właśnie to zmienili na powrót, bo zrobili tak, że wszędzie były mury.
7297:  Teraz jest tak, że możesz w każdej wiosce zbudować mury, no ale to musi być widoczne, tak?
7301:  Tu nie ma murów.
7303:  Jak je zbudujesz, no to wtedy się pojawią.
7307:  Więc na szczęście tak nie jest.
7309:  Masz nad tym większą kontrolę.
7311:  Produkcja futer, wierni jeden naturę.
7313:  Uuuu.
7316:  Uuuu.
7319:  My to chcemy.
7321:  Gdzie są żniwiarki?
7324:  Nigdy nie wiem, gdzie są żniwiarki.
7326:  Tu jest kultysta.
7327:  O, kultysta też jest ważny.
7328:  Kurczę, wszystko jest ważne.
7330:  Tu są żniwiareczki.
7333:  Nie mam pieniędzy.
7334:  Dobra, to w takim razie wierni i wzrost.
7340:  Obleżenia Warhama, że to i tak żart?
7342:  Wiesz co, Kerstel, na tym poziomie tak.
7345:  Natomiast jeżeli grasz na normalnym, to jest w porządku.
7350:  Właśnie, moi drodzy, dbajcie o nawilżenie gardeł.
7354:  Pijcie radośnie.
7356:  Krzysztof, gdzie wysyłać prośby o kolabo?
7359:  Witamy serdecznie Grafa na czatach.
7361:  Można na Insta bez żadnego problemu wbijać.
7366:  And drop the pan, please.
7369:  My tu jesteśmy wszyscy na permagos.
7371:  Nie żartuję.
7372:  Czasem nawet tak mówię do czatów.
7373:  Skłamałem, nie mówię tak do czatów.
