Największa z uraz do pomszczenia — WARHAMMER 3 IMMORTAL EMPIRES
🔗 https://www.youtube.com/watch?v=1-_JZpCZ0kk

251:  Wyjątkowy stream środowy.
3670:  Jest tylko żyrobombowiec, niestety.
3672:  Bardzo nad tym ubolewam.
3674:  Strasznie jest ciemna ta mapa, tak swoją drogą.
3678:  No i ciekawi mnie, czy tutaj przej... O Boże, drogi!
3682:  Górnicy z ładunkami wybuchowymi, oni się akurat mogą przydać.
3688:  Hmm...
3695:  Okej, jest jakaś szansa, że ta wieża coś nam da.
3700:  Mała, bo mała, ale jest.
3705:  Nie no, jednak potrzebujemy mieć część... Część przynajmniej łuczników na tę stronę.
3714:  Wieżę zbudowałem, mogłem tylko jedną niestety.
3718:  Też jest kretynizm, że te wieże są bronione przez punkty, które są osłonięte.
3723:  Znaczy, mógłbym bardzo dużo mówić złego na temat tego, jak zostały zaprojektowane te oblężenia w małych miastach i małych osadach.
3731:  Oho, świetnie.
3732:  Skow!
3732:  Skow!
3732:  Skow!
3733:  Skow!
3740:  Skow!
3745:  Jezus, to są jeszcze silne jednostki.
3747:  Poczekajmy aż będzie ich tutaj wystarczająco dużo.
3751:  I teraz obrzucamy ładunkami.
3759:  No!
3760:  Strzelać!
3761:  Strzelać!
3764:  No to tak to nie wygramy.
3771:  Znaczy i tak nie wygramy.
3773:  Przegramy sromotnie.
3777:  Ale jak nie będziemy walczyć w ogóle w żaden sposób... Dobrze, jest wreszcie.
3786:  No, ciężko jest.
3792:  Bardzo ciężko.
3796:  Sam pomysł jest ciekawy, to prawda, podoba mi się, ale wykonanie jest tragiczne.
3803:  Mogłoby być zrobione rewelacyjnie.
3805:  Wyobraźcie sobie właśnie takie małe przesmyki, które można byłoby wykorzystywać na najróżniejsze sposoby.
3810:  To byłoby super, autentycznie.
3812:  Ale niestety, oczywiście ktoś w którymś momencie powiedział, musi być zbalansowane.
3818:  Bo to, tak, fortece były bardzo zbalansowane.
3823:  Wiecie, jak armia atakowała, to armia piszczała, yyy, zróbcie te mury bardziej zbalansowane, yyy.
3832:  To nie może być tak, że my musimy tylko głodem brać twierdzę i fortecę.
3843:  Ale gracze tak piszczą.
3846:  Jeszcze mówią, że to jest realizm.
3850:  Aaa.
3853:  Realizm my ass.
3856:  Są dwa rodzaje realizmu.
3858:  Jest realizm rozgrywki i jest realizm świata.
3861:  Są regularnie mylone ze sobą.
3862:  No świetnie.
3866:  Świetnie.
3867:  Jak zawsze, nasi piechociarze doprowadzili do tego, że przedostał się bohater.
3874:  Przez to nie strzelamy.
3879:  O Boże, co tu się dzieje?
3882:  No już nie możemy, bo zbudować żadnej wieży.
3885:  Bo ten ryneczek kontroluje... tylko barykady.
3890:  Nie kontroluje wieży, po co?
3897:  Muszą być mury.
3899:  Każda forteca krasnoludzia musi mieć mury.
3902:  Inaczej kończy się to właśnie w ten sposób.
3919:  Dosłownie w momencie, w którym wyekspediowaliśmy armię, mam nadzieję, że przynajmniej udało nam się parę oddziałów zniszczyć.
3926:  Bo prawda jest taka, że nawet tą armią, którą mamy, rezerwowo będzie ciężko wygrać.
3932:  Realizm, że w której mamy smoki, dobry żart.
3933:  Właśnie dlatego są dwa rodzaje realizmów, bo w świecie fantasy smoki są realistyczne.
3939:  A zatem realizm w budowie fortec w świecie fantasy przejawiałby się tym, czym się przejawiał w grze Divinity Ego Draconis.
3947:  To znaczy forteca jest latająca, pluje ogniem i balistami, ponieważ broni się przed zagrożeniem z góry, a nie wygląda jak Harrenhal na przykład.
3955:  No i jeszcze w dodatku nam obniżył poziom.
3957:  No najgorsze, co się mogło stać.
3961:  Najgorsze, co się mogło stać w tym momencie.
3964:  Bo Ostatek Rasnoludzie bardzo szybko, niestety,
3970:  bardzo wolno rozbudowują swoje fortece.
3974:  To jest właśnie to, co robi AI.
3976:  Uwielbia to robić.
3977:  Wie, że jesteśmy niedaleko.
3979:  Wie.
3980:  Jak teraz bym na przykład zaczął budować salę straży, to zaatakowaliby górę Squigorn, więc nie będę tego robił.
3988:  Tymczasem, co się tutaj dzieje?
3989:  Ech...
4000:  Witamy Darię na chatach.
4001:  Czy czytałem Strażników Płomienia Joela Rosenberga?
4004:  Nie.
4006:  Nie.
4010:  Strygły w Assassin's Creed Odyssey?
4013:  Nie pamiętam.
4014:  Eksplorowałem głównie i rozbudowywałem statek, to są rzeczy, które pamiętam, natomiast mechanika walki mnie kompletnie nie interesowała.
4021:  Zjechałem poziomem na sam dół, ponieważ Ubisoft umie projektować mechanikę walki tylko w jeden sposób, to znaczy...
4027:  Trudny poziom?
4030:  Dużo HP przeciwnika.
4034:  Łatwy poziom?
4037:  Mało HP przeciwnika.
4039:  I to jest cała filozofia.
4041:  Zresztą niestety wykorzystał to także CD Projekt Red w Cyberpunku, tworząc przeciwników gąbkami na kulę.
4048:  Ach, jak ja tego nie lubię.
4050:  Ja to nic, ale to nic wspólnego z taktyką i myśleniem taktycznym.
4055:  Mmm...
4062:  Mam pewien pomysł.
4065:  Chociaż tutaj by się lepiej walczyło z Kavenami, taka prawda, niż Dawimi.
4073:  Chyba lepiej będzie jednak, jak weźmiemy... O!
4080:  Płaski teren.
4082:  I okopiemy się tutaj.
4084:  Które stronnictwo w Warhammerze jest lore'owo najsilniejsze?
4088:  Mam wrażenie, że wysokie elfy jednak mimo wszystko, tak, albo dark elfy.
4098:  Tak, w Wiedźminie też byli przeciwnicy gąbkami na kulę, ale zaleta była taka, że nie było kul.
4105:  Tutaj ja się obawiam, że mogą nas oflankować, ale tutaj też nie jest dobrze.
4111:  Nie ma dobrego miejsca w tym tutaj, nie ma dobrego miejsca.
4116:  Mogę bardzo pożałować tego, co mnie tutaj bardzo kusi.
4120:  A jak jest tu?
4123:  Też jest beznadziejnie.
4125:  Chociaż z drugiej strony, gdybyśmy się ustawili tutaj, to powinniśmy mieć dobre pole ostrzału, no.
4133:  Tu będziemy mieli pod linią drzew, chyba, lepsze miejsce.
4139:  Tak myślę.
4141:  Może się okazać, że się spektakularnie pomylę.
4146:  Czy krasnoludy w życiu prywatnym przywiązują wagę do uraz?
4150:  O ile mi wiadomo, przywiązują zawsze wagę do uraz.
4155:  Czy był ogrywany Ghost of Tsushima?
4157:  Jeszcze nie.
4159:  Nie jest na pececie, o ile wiem, wciąż.
4162:  To komplikuje sprawy u mnie.
4170:  Krzysztof Siwczyński, dzięki za wsparcie od 8 miesięcy!
4173:  Nie będzie podpalone na wikwiku z paczeń.
4174:  Czy widziałem Velmę?
4175:  O nie, nie, nie, nie.
4177:  Unikam Velmy.
4178:  O Boże, zapomniałem oddać pod kontrolę SI.
4181:  O nie.
4183:  Tak, no to to był błąd taktyczny duży.
4188:  Zobaczcie jak będzie różnica między walką.
4195:  No nic.
4198:  Nic nie zrobimy.
4203:  Okej, strzelcy myślę, przed katapultami by sprawiał się dobrze.
4210:  Skaveni są lorowo przekokrzeni.
4214:  Jeżeli chodzi o poziom rozwoju technologii, tak, ale pytanie chyba było o wpływy i bogactwo, nie?
4223:  Poziom legendarny działa cuda, oj tak.
4227:  Okej.
4229:  Moi drodzy, idea jest następująca, musimy zniszczyć goblińskie głazocizki.
4236:  To jest priorytet w tej chwili.
4240:  Czy coś da, jak się jeszcze bardziej wycofamy?
4245:  Nie.
4245:  Take back every grudge!
4248:  Nie, nic nie da.
4250:  A zatem nawet nie będziemy próbować.
4253:  Dobrze, żyrobombowiec myślę,
4258:  Może spróbować zrzucić jakąś bombunię.
4261:  Poznałem ostatnio skrót klawiszowy Shift plus jeden na bombunię.
4266:  Okej.
4269:  Oj, oj, oj, oj, oj, tu się ładne rzeczy dzieją.
4274:  Bardzo ładne.
4275:  Ale tutaj podejrzewam, że będą się działy rzeczy ładniejsze, więc tam strzelamy bez zastanowienia.
4280:  I zresztą... Tak, myślę, że pojedziemy żyrobombowcem w tamtą stronę.
4284:  Pofruniemy.
4287:  Frakcja Niziołku ma sens jako frakcja do grania?
4289:  W Total Warze?
4290:  Nie sądzę.
4292:  Nia... Doris prosi o nasze błogosławieństwo w dropieniu artefaktów dla Raiden Shogun w Genshinie.
4298:  Bardzo, bardzo popieram tę prośbę.
4301:  Crosnody mają piękny akcent, oczywiście.
4304:  Najszlachetniejszy szkocki.
4306:  Dobra.
4308:  Później zajmiemy się gazocisk... Chociaż nie gazociski, dalej... Dalej nam zagrażają.
4318:  Okej.
4319:  Ciężka sprawa.
4325:  Wysokie Elfy mają Tyriona, który sam kosi całe armie.
4328:  Jest dużo takich bohaterów, którzy są niesamowicie silni.
4331:  Równie silny jest Baltasar Geld.
4340:  Troszeczkę szybciej się strzela, jak się wykona rozkaz ruchu i potem rozkaz ostrzału.
4347:  Nie wiem, dlaczego głazociści jeszcze żyją.
4350:  Dzięki za trybut, Lufen robił materiał odnośnie lore vs gry siły broni, że nie powinny się nawet równać, bo balans i gry to byłyby takie same.
4358:  Agree.
4359:  Który Lufen?
4360:  Nie kojarzę.
4365:  Dzięki jeszcze raz za trybut, ale nie kojarzę Lufena jako twórcy.
4370:  Okej, jest szansa, że głazociwski się skupią na pierwszej linii frontu i dadzą nam święty spokój.
4376:  Mam taką przynajmniej ogromną nadzieję.
4383:  Dobra, lecimy.
4391:  Okej, tu są sami strzelcy, więc nie będę ryzykował.
4397:  Lufen Zandora, aha.
4399:  Baltazar Geld, welcome to Estalia, gentlemen!
4401:  Ooooj, mieliśmy ten dialog kiedyś na streamie, to był legendarny moment.
4408:  Dobra, yyy... To tak.
4411:  Koncentrujmy się na piechociarzach.
4417:  Powinien być dobry atak żyrobombowca przeciwko... Mózgowi Człekomiotaczowi!
4423:  Nie oceniam, nie oceniam.
4425:  Oho, oho!
4427:  Pięknie, pięknie.
4428:  Dzikie rydwany, świetnie.
4432:  Zniszczyć mi te rydwany.
4436:  Okej.
4438:  Myślę, że możemy użyć ostrzału górników z ładunkami wybuchowymi.
4444:  Jak tam jest nasz bombowiec?
4447:  Jakoś się ma jeszcze.
4449:  Żyje!
4451:  Gdzie są goblińskie głazociski?
4453:  Tutaj są goblińskie głazociski.
4455:  Ciekawe.
4462:  Ale wiecie co?
4462:  To jest do wygrania.
4463:  To jest do wygrania.
4464:  Tutaj się tylko niedobre rzeczy dzieją.
4466:  Bardzo niedobre.
4468:  Widziałem, że na którejś flance jest niedobrze.
4478:  Okej.
4480:  Oj tak, tu wyjdzie wypalanko.
4489:  Wracamy żyrobombowcem.
4491:  Wypalić mi tutaj wszystkich.
4502:  Wszystkich wypalić!
4503:  Rzeczne trolle wypalić, kamienne trolle, niedorzeczne trolle też wypalić!
4512:  Oho, tu jest niedobra sytuacja.
4515:  Bombowiec.
4516:  Bombuj.
4522:  Ostrzelać.
4522:  Mózga człekomiotacza.
4526:  Świetnie, świetnie, świetnie, świetnie.
4528:  Dobra, stop.
4532:  Tryb strażniczy jest ważny.
4534:  Oj tak!
4535:  Piękne wypalanie!
4537:  Torbjom, strażnik, uraz też sobie dobrze radzi.
4540:  W zasadzie żyrobombowiec dobrze będzie się sprawiał, rozbijając formację łuczniczą, nawet jeżeli by to po prostu uciekać.
4547:  Oj tak!
4549:  Ładnie było.
4552:  Powiem wam, że decyzja o podnajęciu żyrobombowca była decyzją słuszną.
4557:  Łooo, kto się wycofuje?
4560:  Tak mi przykro!
4568:  Pilnuj swoich pleców, rycerzu, pilnuj pleców!
4572:  Jak ogarniać tyle rzeczy na mapie?
4575:  Przyzwyczajenie, moi drodzy, mam 2500 godzin w Warhammerze Total War.
4579:  Wprawdzie dwójce, ale naprawdę nie różnią się one specjalnie.
4583:  Okej, trzeba się skoncentrować teraz nad tym, żeby maksymalnie dużo jednostek zniszczyć, żeby nam później nie napytały biedy.
4595:  Na przykład trolle.
4596:  Małe trolle i duża powódź.
4599:  To była dziwna książka.
4602:  Czy w małych trollach i dużej powodzi pojawiły się hatifnaty?
4606:  Chyba tak.
4608:  Kalif na mikrofonie jeszcze tylko wieprz i humor gituwa?
4613:  Uderzcie w bębny, zadmijcie wrogi.
4623:  Oto wieprz nadchodzi, w blasku pożogi.
4635:  Jestem przygotowany do streamu wośpowego, którego zaczynamy od twierdzy.
4639:  Jestem bardzo dobrze przygotowany.
4641:  Przygotowałem również, spoiler alert, pierwszy challenge, który będzie wośpowy.
4647:  Pomyślałem sobie, że fajnie byłoby jakieś wymyślić, bo drugiego dnia, jak pewnie wiecie, gramy w Genshin'a.
4652:  Genshin Impact.
4653:  Jest tam jedna z bohaterek, która się nazywa Sandomiyako Komi.
4658:  Zamierzam powiedzieć Sandomiyako Komi 100 razy.
4661:  Zobaczymy, co z tego wyjdzie.
4662:  Będą też lepsze challenge.
4667:  Sangonomiya Kokomi powiedziane 100 razy nie jest proste, zwłaszcza szybko, bo na to będzie challenge polegał.
4674:  1091 czy rozwój?
4674:  Rozwój.
4675:  Bierzemy rozwój.
4677:  Bierzemy rozwój, moi drodzy.
4679:  A, i w Gęszcinie nie będzie tak, że jakieś wishowanie czy coś, tylko po prostu będziemy rozgrywać sobie nową fabułę, to znaczy zwiedzać region pustynny, który został dodany świeżo do gry.
4690:  Pancerz.
4692:  Tak, potrzebujemy pancerza, potrzebujemy też dla siebie pancerza.
4702:  Widzicie, jak to się trzyma.
4704:  Ale za to będziemy mieli dużo doświadczenia.
4708:  Dziś dodane, tak.
4709:  Tupacz pisze, że dzisiaj zaczęła grać w Genshin'a, ale od początku?
4714:  Absydion, dziękuję za kurs światotworzenia.
4716:  Dzięki wielkie, przyda się na pewno.
4717:  To ja dziękuję, że się obczaił.
4718:  Cieszę się, że się przydaje.
4720:  Czekałem, że może Tankola, jednego z najbardziej znanych szarych proroków, który potrafił podczas Mistcastu Czarów zamiast przykładowo zranić się, przyzywać demony.
4726:  Słyszałem o nim.
4728:  Czeka na DLC.
4729:  O Jezu, to byłoby super, gdyby dodali nową frakcję Skavenów.
4732:  Oj tak, wtedy natychmiast ten rozgrywamy.
4740:  Żeby było śmiesznie, Sangonomia Kokomi, wspomniana wcześniej, nie jest jakaś dobra postać.
4746:  Została wprowadzona tylko po to, żeby wyciągnąć jak zawsze od ludzi pieniądze.
4752:  Tylko trzeba wiedzieć, które postacie wybierać, a które nie.
4756:  Żeby się nie naciąć.
4756:  Teraz wszyscy się podniecają postacią Dendro Alhajam... Alhajam?
4760:  Al... Alhajam?
4761:  Altajam?
4762:  Nie mam pojęcia, jak to się czyta.
4764:  Nie należy się nim podniecać.
4766:  Taka bidniejsza wersja Yanfei.
4770:  Dobrze.
4771:  Nasze dzielne regimenty są znowu gotowe do walki, moi mili.
4777:  Najbardziej mnie w tym wszystkim denerwuje to, że jak ludzie dowiedzą się o tym, że Genshin istnieje, wiecie, ludzie w mainstreamie, to znowu będą musiały znosić uwagi na temat tego, że gry wideo uzależniają i w którymś momencie mnie szlag trafi.
4790:  Ja już nie mam siły tłumaczyć, że uzależniają mechaniki, a nie gry.
4793:  Muszę swoją drogą zrobić o tym film.
4797:  O co chodzi z Velma?
4799:  Proszę o rant.
4801:  omijam z daleka, ponieważ dla mnie ta kreska, która jest w serialu, kompletnie mi nie odpowiada, a jak jeszcze zobaczyłem paręnaście recenzji, że jest to, no delikatnie rzecz ujmując, kiepskie jakościowo, od ludzi, którym jeszcze ufam, to stwierdziłem, że sobie podaruję.
4820:  Yanfei to jest w ogóle mój main DPS od początku praktycznie Genshin'a.
4826:  Teraz mam nadzieję zastąpić Ohutao.
4828:  Hohohohohohohoho.
4831:  uda się ją wylosować.
4836:  Al-Haim to jest kopia Kequing, też, ale dokładnie ma taką samą mechanikę jak Yanfei, jeżeli chodzi o kolejne kryształy, które boostują, a tak z tą różnicą, że w jego przypadku one nie zostają i to jest bardzo duży problem.
4848:  Tylko gasną po 4 sekundach.
4851:  Trzeba klikać szybko, szybko, rotacja!
4853:  Oooooh!
4859:  Właśnie, nie mam w ogóle żadnych wishy przygotowanych na Hutao, więc będę zbierał teraz.
4864:  Niestety obawiam się, że będzie trzeba przygotować wishy ostateczne, to znaczy złotówkowe.
4870:  Bardzo bym chciał jednak tego uniknąć.
4874:  Ostrzeliwują nas ze wszystkich stron, to jest okropne.
4879:  Jak przesuwam całą armię bez zmiany ustawienia, zaznaczasz całość z altem lewym i lewym przyciskiem myszy.
4888:  W ten sposób.
4891:  W sumie mógłbym odpalić ten uplet, żebyście widzieli moje klawisze i to zrobię od następnego razu, bo ja go gdzieś zgubiłem.
4899:  Muszę to dodać jako źródło do sceny.
4903:  Miałem taki ładny widżet, który pokazywał klawisze, które się wciska.
4908:  Jeżeli mi się nie uda wylosować Hu Tao, tak, odinstaluję ponownie Genshin'a.
4913:  Hu Tao to jest moja Nemezis.
4914:  Ostatnio tak mnie zdenerwowało to, że jej nie wylosowałem, że przestałem grać na 8 miesięcy.
4921:  Poważne pytanie od Izaka Kolberga.
4922:  Jutro mam obronę, czuję się sparaliżowany strachem.
4925:  What to do?
4925:  Dobra, pierwsza rada obrony.
4928:  Ty jesteś ekspertem, nie ludzie, którzy z tobą rozmawiają.
4931:  Ludzie, którzy z tobą rozmawiają, przeczytali twoją pracę i tak średnio się orientują, co tam jest.
4936:  Ty natomiast orientujesz się bardzo dobrze.
4938:  Rada najlepsza, przejąć kontrolę.
4940:  Jeżeli masz taką możliwość, przygotuj sobie jakąś prezentację graficzną, parę obrazków czy coś.
4947:  Niektórzy niestety na to nie pozwalają, więc z tym jest różnie.
4950:  Wtedy zawsze jest milej opowiadać o tym, co się napisało.
4954:  To jest jedna rzecz.
4955:  Druga rzecz.
4956:  Najprawdopodobniej, wedle wszelkiego prawdopodobieństwa jest tak, że temat możesz ustalić z promotorem jego pytania, więc już jednym pytaniem się można nie stresować, prawda?
4965:  A jeżeli chodzi o pytanie recenzenta, moja rada, jeżeli chodzi o przewidzenie, jakie może być pytanie recenzenta, zobacz, czym się interesuje i czym się zajmuje ten człowiek.
4976:  potem czym jest twoja praca i spróbuj zadać sobie sam pytanie, korzystając z jego dorobku i z jego zainteresowań.
4981:  Bardzo często można w ten sposób to zrobić.
4983:  Trochę mi jest głupio tak mówić i doradzać, bo wiem, że to jest taka czysta teoria, a ja dokładnie to robię ze studentami podczas ostatniego seminarium, to znaczy robimy sobie sami taką mini obronę i zadajemy sobie różne pytania w naszym środowisku, gdzie się nikogo nie boimy i niczym się nie przejmujemy, no ale właśnie dzięki temu możemy przygotować się lepiej na pytanie.
5008:  I to, uważam, powinni robić promotorzy podczas seminarium.
5011:  To znaczy zrobić taką małą obronę i spróbować nauczyć siebie nawzajem zadawać sobie pytań, bo to jest cenna umiejętność, żeby umieć zadawać pytania naukowe, a dwa, przygotowywać się na nie.
5024:  A!
5024:  I spacer, moi kochani, spacer!
5027:  Przed samoobroną, dnia danego obrony, dobra?
5031:  Danego dnia nie ma się co uczyć.
5032:  Najgorsze, co można zrobić, to czytać notatki przed wejściem tuż do sali, bo to, co będziecie pamiętać, to ostatnie dwa akapity, które przeczytaliście.
5041:  Nie, to jest po prostu to, że to jest jedyna możliwość na zdobywanie niektórych postaci.
5049:  I w ten sposób gra się przyjemniej, niewątpliwie.
5052:  Bo na początku, o czym możecie się przekonać oglądając materiały teraz na kanale mTaszt, jest ciężko jak się gra.
5059:  Zwłaszcza teraz, jak się zaczyna.
5060:  Bo dostaje się naprawdę kiepskie postaci.
5063:  Ale z drugiej strony można odblokować sobie bardzo dużo postaci, które są darmowe w toku rozgrywki, więc autentycznie nie jest tak, że trzeba wydawać pieniądze.
5071:  Ja przez bardzo długi czas nie wydawałem.
5072:  Właśnie pękłem raz przy tej nieszczęsnej Hu Tao i bardzo żałuję.
5077:  Gorzej jak obrona jest o 8 rano?
5078:  Nie powinno być obrona o 8 rano.
5080:  Nawet mi nie mów Tomex, że są obrona o 8 rano.
5082:  To już jest patologia.
5084:  Naprawdę nie musi być obrona o 8 rano.
5086:  Chcę zniszczyć te trolle.
5090:  Chcę je zniszczyć.
5094:  Ja też w ogóle uważam, że jeżeli chodzi o inwestowanie w grach, nie ma problemu, tak długo jak długo nad tym panujemy i dokontrolujemy.
5101:  Natomiast problem polega na tym, że te gry są bardzo często projektowane w taki sposób, żebyśmy nad tym stracili kontrolę.
5107:  I to się nazywa hazard.
5109:  Więc hazard jest zły.
5111:  Mechanika hazardowa jest zła.
5113:  Mikrotransakcje projektowane przez swoją drogą psychologów behawioralnych za ciężkie i tłuste pieniądze z grantów i wykorzystywane następnie w kasynach tudzież w grach wideo w formie mikrotransakcji.
5124:  To jest niebezpieczna rzecz i z nią należy walczyć.
5127:  Zwłaszcza, że można to zrobić naprawdę w sposób mniej inwazyjny.
5132:  Też się zgadzam, że to jest zbrodnia robić o ósmej obrony.
5134:  To nie ma żadnego sensu.
5136:  Ja, jak próbowano mnie kiedyś namówić na obronę o godzinie ósmej, powiedziałem, nie ma problemu, rozumiem, że mówimy o ósmej wieczorem.
5144:  Ja to, jak to, skąd?
5145:  Ja powiedziałem, no, no, no, w takim razie, jak to, skąd o ósmej rano?
5150:  Podziałało.
5154:  O!
5155:  Soywitch słusznie też pisze, że można zaglądać na zakładkę Genshin w Discordzie naszym, czyli Holistycznej Agencji Eskapistycznej i tam chętnie wszyscy pomogą.
5162:  To jest prawda.
5163:  Sam dowiadywałem się o darmowych primogemmach, to jest waluta wewnętrzna w grze, właśnie z tejże zakładki.
5171:  Czy dodadzą język polski Seronox?
5172:  To jest pytanie.
5176:  Ja też boleję nad tym.
5177:  Ja bardzo lubię, jak jest polonizacja zrobiona w formie chociaż napisów, ale cóż, nie poradzimy.
5185:  I tak nie ma nic gorszego niż farmienie artefaktów?
5187:  Tak, ja wciąż nie mam dobrych.
5189:  Nawet na swoich najlepszych postaciach nie mam dobrych.
5194:  Kasia Greczana pisze, że po 5 latach na bezgłośnych Macach przesiadł się na peceta i mój Boże, jakie są one głośne.
5198:  Chłodzenie wodne!
5200:  I przestanie być głośny.
5205:  W jakim sensie mechaniki uzależniają?
5207:  Przepraszam za tak ogólnikowe pytanie, temat wydaje mi się arcyciekawy.
5211:  Każda gra, o której mówicie, że jest uzależniająca, czy każda aplikacja, która jest uzależniająca, ma mechaniki uzależniające.
5221:  TikTok sam w sobie nie jest uzależniający.
5224:  Czekajcie, czy ja mam możliwość pokazania interfejsu TikToka?
5231:  Ano mam.
5234:  Dobra, to będzie krótka przebieżka po User Interface Designie.
5245:  Na czym polega uzależniająca mechanika TikToka?
5247:  Jedna, jedyna.
5249:  To znaczy infinite scrolling w połączeniu z dwiema rzeczami.
5252:  Zauważcie, że wszystkie elementy interfejsu użytkownika nie zachęcają do tego, żeby przechodzić gdzieś indziej.
5259:  To znaczy, żeby wzrok nasz kierować w inne miejsce.
5263:  W interfejsie Warhammera na przykład macie interfejs,
5266:  z których trzeba ogarniać milion rzeczy naraz, tak tu, tu, tu, tam, tam, tam i się myjowam, prawda?
5271:  I jeszcze wchodzić w różne menu, w podmenu, podsekcje podsekcji.
5274:  W TikToku wręcz przeciwnie, macie jeden ekran i wszystkie przyciski interakcji, to znaczy zaszerowania, polubienia i dodania komentarza, są gdzieś tam upchane z brzegu, że przypadkiem tego nikt nie zauważył, natomiast pod kciukiem jest jeden, to znaczy polubienie.
5288:  Żeby... Trzeba wykonać jednak ruch!
5290:  i intencjonalny, żeby wejść w komentarze albo w zashare'owanie.
5294:  I co więcej, to będzie wymagało wtedy kilku kliknięć.
5297:  W ten oto sposób projektuje się bardzo prostą mechanikę, która ma największe szanse na zastrzyki dopaminowe, to znaczy dostajecie więcej contentu, więcej contentu, więcej contentu, więcej contentu, więcej contentu.
5309:  Prawda?
5309:  I nie mamy możliwości przerwania tej spirali, przerwania tego ciągu, więc TikTok nie uzależnia, ale mechanika infinite scrolling w połączeniu z minimalistycznym interfejsem uzależnia.
5322:  I to jest kluczowa kwestia w mówieniu o uzależnieniu od mechanik.
5326:  To znaczy, ludzie mówią, o, telefony uzależniają i odbierają swoją drogę, teraz jest w tym akcja i będę chyba zajmował stanowisko w tej sprawie w większości szkół w Europie odbierania telefonów ludziom, bo uzależniają, to jest gówno prawda, uzależniają mechaniki i powinniśmy o tym mówić głośno, żeby projektowane były aplikacje w inny sposób, albo żeby na przykład co jakiś czas można było włączyć sobie interfejs monochromatyczny, czyli czarno-biały.
5350:  To wszystko to jest science zatem, tak?
5353:  To nie jest tak, że ktoś to wymyślił i że o, stworzymy sobie aplikację, która uzależnia.
5357:  Trzeba było się zastanowić, co jest takiego uzależniającego w aplikacjach, żeby w ogóle się na coś takiego decydujemy.
5362:  I były na ten temat badania.
5364:  Oczywiście, że były.
5368:  Tak więc w przypadku gier podobnież będzie, tak?
5370:  To znaczy, jeżeli chcemy, żeby loot box był kupowany, to wystarczy, że zrobimy jedną rzecz.
5375:  Czego najbardziej ludzie nie znoszą w grach wideo?
5378:  Jak mają zablokowaną progresję, jak marnuje się ich czas, na przykład żmudnym grindem.
5383:  Jeżeli będą mogli rzucić, odpalić nawet, nie wiem, dolar pięćdziesiąt,
5387:  Żeby skrócić czas potrzebny na to, będzie lepiej.
5390:  A dlaczego ludzie mają czasu mało na gry?
5392:  Och, czyżby dlatego, że rodzice nakładają limity, na przykład masz tylko dwie godziny na grę, w związku z powyższym człowiek sobie mówi, o Boże, tak, to ja muszę zrobić to, to, to, to i to, i gra nie zamienia się w pracę, w związku z powyższym lepiej jest dopalić dolar pięćdziesiąt, żeby mieć mniej tej pracy i więcej czasu na zabawę.
5407:  I programiści wiedząc o tym mogą to wykorzystać i podkręcić trochę czasy grindowania, albo wprowadzić blokady contentu tak, żeby trzeba było się codziennie logować, nie?
5418:  Genshin to wprowadził dlatego, że w Chinach są blokady założone przez rząd na długość grania.
5423:  I punkt trzeci.
5424:  Ludzie reagują zawsze na kolory i barwy, w związku z powyższym lootboxy są lśniące, waluta to są zawsze kryształki lub diamenciki, nie?
5432:  I tak dalej, i tak dalej.
5434:  W nowych Androidach jest tryb czarno-biały, tak, ja go używam regularnie, swoją drogą, bardzo polecam.
5444:  System rankingowy w grach kompetentywnych to uzależniająca mechanika.
5447:  Tak, nie gra.
5448:  Matyax, też uzależniająca mechanika.
5450:  Nie musisz mieć w grze rankingowej rankingu.
5452:  Absolutnie nie musisz mieć.
5454:  Wiecie co, te góry karańca świata to jest coś, czego naprawdę bym nie chciał stracić.
5461:  Musimy tutaj mieć jakiegoś krasnoluda, chytrego.
5464:  O!
5464:  Magiczna ochrona 5%, dobrze.
5466:  Denerwuje mnie to cały czas, że tracimy nasze osady.
5478:  Jest bardzo źle z finansami, ale damy radę, poradzimy sobie.
5483:  Za moment odbijemy rzeczy.
5487:  Ojej, tutaj się zbliża atak duży.
5491:  Oczywiście zaatakują wtedy, kiedy wiecie, jest jedna tura do murów.
5498:  Co do języka polskiego w grach, jest historyczna zapowiedź Final Fantasy XVI, będzie spolszczenie, niestety kinowe, ale i tak niesamowite.
5504:  Dobrze, że kinowe, dobrze, to wystarczy.
5506:  Koronan pisze, że u niego w szkole telefony są zakazane, nieraz dostał słynną uwagę za korzystanie z telefonu napisem, mimo że sobie powtarzałem do lekcji z telefonu, bo w zasadzie pisze nieczytelnie.
5512:  Tak, no to jest sprzęt, to jest narzędzie.
5516:  Mylenie narzędzia z mechaniką albo, znaczy nawet to jest gorzej, zauważcie, myli się
5522:  mechanikę z aplikacją i aplikację z narzędziem, którym jest telefon, z urządzeniem.
5528:  To jest chore dopiero.
5530:  Ludzie nie ogarniają już na tym poziomie, że aplikacja może być uzależniająca, cała na przykład, może mieć cała aplikacja mechaniki uzależniające, bez żadnego problemu.
5541:  Dobrze, o to chodziło.
5543:  Teraz gorzej, że mamy przerąbane.
5547:  Eee... Góra Gunbad ma dobrą armię, jak to jest sytuacja.
5554:  Jezus, liczyłem na to, że nam się uda to wygrać.
5559:  No ale musimy tutaj, musimy skorzystać z murów, nie ma innej opcji.
