🔴 Precz z Dragon's Dogma — HORIZON: FORBIDDEN WEST #2
🔗 https://www.youtube.com/watch?v=ey8tVacIRp8

202:  Wszystkie prawa zastrzeżone.
5357:  Więcej słów zamiast mniej.
5361:  Wie więcej, tak?
5363:  Po cholerę!
5369:  No tak, wychodzi ze mnie ukąszenie polonistyczne, to prawda, do ciężkiej cholery, a ściślej mówiąc, redakcyjne.
5376:  Bo wiecie, jak ja dostawałem zawsze szału na to, jak redagowałem teksty.
5383:  Ty się naucz mówić wpierw, a potem mnie ucz.
5385:  Rzućmy okiem na siłę bojową twojej maszyny.
5388:  Siła bojowa mojej maszyny jest zajebista!
5394:  To jest podobnie jak z angielskim encumbered.
5400:  Już oznacza przyciążony, więc nie można być overencumbered, a i tak wszyscy to mówią.
5403:  No pfff... Super matematyka!
5410:  Brakowało mi jej.
5412:  A tak naprawdę to nie.
5413:  Oooo!
5432:  Jezus Maria.
5433:  Zaczyna się.
5434:  Zaczyna się.
5436:  Zaczyna się.
5437:  Już się zaczyna, tak?
5438:  Było spoko, tak?
5440:  Wartości punktowe ataku, wartości punktowej obrony.
5443:  Okej, nie.
5443:  Teraz musi być, że teraz robimy, pierwiastkujemy te silnie i wyciągamy logarytm.
5449:  Oczywiście.
5451:  Proszę bardzo.
5453:  Wiesz, wybranie odpowiedniego terenu pomaga nie tylko... Ja już nie pamiętam zasad.
5459:  Sprzed chwili ja też zuni.
5465:  Dobrze, to ja się przeciążę.
5467:  Chcę się przeciążyć!
5470:  Ponieważ to ty atakujesz, zużywasz dwa punkty swojej siły ataku.
5475:  Stoisz na terenie trawiastym.
5477:  Ten teren ma wartość... Stoisz na linii ognia.
5480:  To znaczy, że siła bojowa twojej maszyny wynosi łącznie... Ujemny logarny naturalny spora, policz deltę.
5485:  Nie może korzystać z siły bojowej.
5486:  Podwójnie dla mnie zabawne, bo nie wiem o czym mówisz.
5489:  Ale ma nad twoją przewagę.
5490:  Ojej, i witamy w roli wspierającej miniaturkę!
5493:  Który ma wartość równą 1.
5495:  Nie, nie niuchacz.
5497:  Potrzebujemy jamników.
5498:  Mały jamnik.
5500:  Dobrze, twoja maszyna jest zajebista, okej?
5504:  Moja jest beznadziejna.
5506:  Ustaliliśmy to.
5508:  Czy możemy iść dalej?
5523:  Aby wykonać ruch, porównaj swoją szansę ataku z bonusem dystansu, pójdź przez strefę ataku, dodaj modyfikator wysokości, przejdzie przez różnicę odległości, dodaj liczbę pi, tak.
5531:  Ja w dalszym ciągu i tak będę atakował po prostu.
5535:  Super.
5535:  Mus Krzysztofa się już przeciążył, tak.
5551:  Widzicie, to jest super, to można przewijać tę denerwującą osobę tłumaczącą zasady, natomiast niestety nie da się tego zrobić w realu, to jest strasznie smutne.
5566:  Brud forcia za każdym razem.
5568:  Widzisz, Krzysztof, nie widzę.
5580:  O Jezus, nie mogę.
5583:  Pijowi zajęcia w przedszkolu.
5585:  Tak.
5585:  Denerwuje mnie jej głos.
5586:  Mnie też.
5587:  To nie pomaga.
5590:  Teren badnisty.
5591:  Hidetaka Miyazaki.
5594:  Sprawi też, że twoja maszyna nie ruszy się do końca tury.
5598:  Pokażę ci.
5598:  Weź tamtą maszynę po lewej.
5600:  Boże, ona dalej tłumaczy.
5601:  Tak.
5602:  Co więcej, to jest dopiero drugi samouczek z trzech.
5604:  Chcę ci tylko pokazać, co się dzieje, jak staniesz na terenie bagnistym.
5610:  Okej.
5611:  Spokojnie, nie martw się, nie utonie.
5613:  Przesuń ją na teren bagnisty.
5619:  Przesuń swoją maszynę na teren bagnisty.
5621:  Zrobiłem to, idiotko!
5624:  Spokojnie, nie martw się, nie utonie.
5636:  Przesuń swoją maszynę na teren bagnisty.
5639:  Jesus fucking Christ, przecież robię to bez przerwy!
5643:  Chcę ci tylko pokazać, co się dzieje, jak... Może to jest teren bagnisty?
5649:  Nie!
5652:  Jesus Christ!
5653:  Przecież... Dobrze, gdzie jest teren bagnisty?
5663:  Może to jest teren bagnisty?
5664:  To nie może być teren bagnisty.
5666:  Może to jest teren bagnisty?
5667:  Chciałabym tylko pokazać, co się dzieje, jak staniesz na terenie bagnistym.
5669:  No właśnie, nie wiadomo, które to jest bagno, tak?
5672:  To jest piękne!
5674:  Ora lewi!
5677:  Świeci się to cholerstwo, nie?
5680:  I teraz działa?
5682:  Przecież to trzy razy zrobiłem!
5683:  Głupia prukwo!
5684:  Dobrze, jeszcze jeden.
5685:  Jeszcze jeden.
5685:  Jeszcze jeden.
5685:  Jeszcze jeden.
5705:  Tak, tak, głupia prukwo.
5708:  10 punkcików, dobrze, zapamiętam, skłamał Krzysztof.
5717:  Dość się już nagadałam.
5721:  Przy składaniu armii trzeba pamiętać o kilku rzeczach.
5724:  Tak, o armii i o składaniu.
5726:  Nie można mieć jednocześnie na planszy więcej niż cztery figury tej samej maszyny.
5731:  Dobrze, nie zapamiętam.
5732:  Większość wybiera maszyny na podstawie zdolności poruszania się lub siły ataku.
5742:  Dobrze, to w takim razie ustalmy, że jestem złym graczem.
5745:  Czy możemy przejść do następnego punktu?
5747:  Stuknij, aby wybrać maszynę.
5751:  Pogadajmy.
5753:  Typy maszyn.
5754:  Świetnie.
5755:  Maszyny dzielą się na maszyny, przedmaszyny, śródmaszyny i zamaszyny.
5758:  Przedmaszyny dzielą się na przedmaszyny, przedmaszyny, śródmaszyny, przedmaszyny i zamaszyny, przedmaszyny.
5763:  Śródmaszyny dzielą się na przedmaszyny, śródmaszyny, śródmaszyny, śródmaszyny oraz zamaszyny, śródmaszyny.
5768:  Zamaszyny dzielą się na przedmaszyny, zamaszyny, śródmaszyny, zamaszyny i zamaszyny, zamaszyny.
5777:  Przesuń maszynę do pierwszego szeregu.
5779:  Pokażę ci coś.
5779:  Zrobiłem to.
5782:  Świetnie.
5782:  Teraz weź drugą maszynę.
5786:  Biorę drugą maszynę.
5786:  I dobra na to, że mamy tu maszynę strzelającą.
5788:  Wow.
5789:  Cudownie.
5789:  Atakuje tylko najdalszego wroga znajdującego się w zasięgu.
5793:  Jeszcze jeden.
5794:  Jeszcze raz, Krzysztof, pokaż nam, jak będzie wyglądać pięść w jakimś przedmiocie lub osobie.
5799:  Tak.
5800:  Dziękuję ci za tryb.
5801:  Murzynkiu.
5806:  Dobrze.
5806:  Stuknąłem.
5816:  Super, niech zgadnę, taranuje.
5821:  Bo jest klepawa i żałosna.
5822:  A mogliśmy wybrać napisy.
5838:  Świetnie, czyli masz lepsze maszyny ode mnie, ponieważ znasz tę grę lepiej ode mnie i teraz się będziesz wyżywać na mnie.
5844:  Że masz lepsze piąki.
5847:  Czy można ją zabić?
5848:  Ja już chcę.
5853:  Rozglądam się o planszy.
5855:  Tu jest bagno, to już wiem.
5857:  Tu jest jakiś gówno, tu jest trawa.
5865:  Patrz, nawet obróciła twoją figurę.
5869:  Fajna, nieduża figura.
5870:  Zdecydowanie warta posiadania.
5872:  Jak zajrzysz do notatek, zobaczysz, że tam... Jak zajrzysz do notatek.
5876:  How about no?
5878:  Przyjechała panią kiedyś maszyna.
5880:  Ale jestem pewna, że masz ważniejsze...
5888:  Bardzo dobre pytanie.
5899:  Krzysztof, a dlaczego filmy z twojego kanału od jakiegoś czasu pojawiają się na innym kanale?
5904:  Bardzo dobre pytanie, nie mam pojęcia.
5909:  Dobrze.
5910:  Czy to już jest koniec samouczka?
5911:  To jest koniec samouczka.
5912:  Boże, całe szczęście.
5915:  Czolenie będzie już mówić?
5917:  O nie!
5918:  Ona dalej mówi.
5920:  Nie, ona nie mówi.
5921:  Nie mówi, nie ma narracji.
5923:  Dobrze.
5924:  Nornik.
5928:  Świetnie.
5929:  Mogę sobie go ustawić od razu tutaj?
5931:  Mogę.
5934:  Świetnie.
5935:  Sprint.
5938:  I ruch.
5941:  Koniec tury.
5948:  Doskonale.
5952:  Twoja kolej.
5954:  Atak.
5964:  I przeciążenie!
5968:  Nie ma twojego pionka, głupi pionek!
5970:  I co?
5972:  Co ci ta cała wiedza twoja dała?
5974:  Przerżnęłaś, prukwo!
5978:  Bardzo dobrze, F. Pożałujesz tego.
6002:  Pożałujesz tego.
6015:  Teraz ja.
6015:  Dobrze.
6016:  Szczęście nie jest po twojej stronie, Ruda.
6022:  A, świetnie, czyli dostałem gorsze pionki.
6025:  Doskonale, dostałem gorsze pionki.
6028:  Świetnie.
6032:  No, no, no, no, no, wprost znakomicie!
6038:  Dobrze.
6044:  To teraz pójdziemy tutaj.
6047:  Proszę bardzo!
6049:  Proszę bardzo!
6050:  I przeciążenie!
6057:  Widzicie?
6058:  Plus 2 do siły, teren pagórkowy.
6061:  Wiedziałem to od samego początku.
6071:  I kto jest żenujący teraz?
6075:  Masz dosłownie te same piąki?
6076:  Cisza.
6079:  Zagadki nielogiczne.
6084:  A ja nie!
6085:  Eee!
6086:  Eee!
6087:  Eee!
6095:  Dobrze.
6097:  Dobrze, moi drodzy.
6103:  Okej, gra jest sympatyczna, powiedział Krzysztof, gdy wygrał.
6106:  A myśmy byli tutaj u Petry.
6108:  Żenująca przeciwniczka.
6108:  Dostaliśmy dwa kufle, moi drodzy.
6124:  Gwint i tak lepszy, ja jestem zwolennikiem kościanego pokera, ale gwint był super też.
6131:  20 minut tłumaczenia, żeby zagrać jedną turę przez 2 minuty, prawda?
6135:  Niech żyją samouczki.
6136:  To najważniejsze.
6137:  Kim jest Ulwund?
6157:  Ulwund obnaża swój tors.
6159:  Przeczytałem kuźwa.
6160:  Co za opaska Aloj ma na głowie?
6162:  Ona jest po to, żeby jej nie wypadł mózg.
6172:  O bardzo duży mózg, nie mieści się jej w głowie.
6174:  Czemu polscy aktorzy nie umieją dubbingować?
6176:  Umieją dubbingować w animacjach.
6178:  Ale ogólnie to spokojni ludzie.
6180:  Co prawda Tolant ma to gdzieś.
6181:  Zrobi wszystko, żeby dostać się do szczątków.
6201:  To jest taka klasyczna inżynierka, jak z League of Legends.
6207:  I mechaniczka, jak z każdej anime.
6209:  To jest taka babeczka, do której idziecie, żeby naprawić swój sterowiec zawsze.
6213:  Idziemy do tematu od razu.
6216:  Czemu Aloj ma router na głowie?
6218:  Czemu nie?
6220:  Aloj nie jest rozmowna dzisiaj.
6228:  Za 23 minuty zmieniamy napisy.
6234:  Dobrze.
6235:  Świetnie.
6237:  Porobione.
6237:  Czy mam jeszcze jakąś misję tutaj do ogarnięcia?
6239:  Na szczęście nie.
6241:  Możemy teraz iść, moi drodzy, tutaj i po drodze będziemy mieli rzecz do odblokowania ognisko i kłopoty po szyję.
6248:  Ale ma teraz największy mózg.
6249:  Absolutnie.
6249:  Wygrała w grę nielogiczną.
6251:  Czemu ona robi fikołki?
6257:  Zawsze jak tutaj jest jakaś muzyka, do której zaczynam vibe'ować, to cichnie.
6264:  Dobrze.
6265:  Już obejrzałem wystarczająco długo, żeby stwierdzić, że Aloj jest nudnym i pustym charakterem, a świat jest skonstruowany pod nią.
6270:  Ej, Aloj da się lubić.
6272:  To jest taki typowy, typowa postać jak z każdej fantasy.
6275:  Dragon dzięki za odnowienie wspierania.
6279:  Jakoś w Wiedźminach dubbing działał, chyba kwestia reżyserii dubbingu, no ale Wiedźmin był, o ile pamiętam, modelowany i pod dubbing polski, i pod dubbing angielski, jeżeli chodzi o modele postaci i mimikę, przynajmniej tak mi się wydaje.
6295:  Na pewno jeżeli chodzi o wątek główny, niemniej jak w wątkach pobocznych.
6300:  Potem lipsync był bardzo dobrze robiony.
6301:  Podgłośnić grę?
6302:  Nie ma problemu.
6307:  Oho, mała szujka co kpi z wujka.
6309:  Uciekamy, nie będziemy z nią walczyć.
6311:  Dzisiaj misje, same misje.
6320:  Czy warto zagrać tego Horizon'a w jedynkę?
6321:  Ja myślę, że tak.
6322:  To jest naprawdę jeden z oryginalniejszych światów, który został zaprojektowany i bardzo interesujące podejście do tematyki post-apo.
6329:  Świetna muzyka.
6336:  Okej.
6339:  Moi drodzy, sytuacja emergentna, lubię takie.
6345:  Włączamy się w tę walkę.
6352:  Żłobkowana blacha.
6354:  Czym jest?
6355:  Czy wężyciel to jest jakaś nowa rzecz?
6358:  Czy to jest mała szujka, co kwi z wujka, czy nie?
6364:  Good.
6365:  Ow, not good, not good.
6375:  He, he, he, słaby punkt trafiony.
6377:  Kot!
6381:  Trafienie krytyczne jest krytyczne!
6384:  Blacha falista, fundament każdej cywilizacji.
6386:  Nie ma, nie ma żartów, moi drogi.
6388:  Blacha falista jest falista, a ja przegrywam.
6394:  A, masz.
6395:  Masz, ujka, cokpis, wujka, giń!
6401:  Nic nie widzę, nic nie widzę, nic nie widzę.
6403:  Pojemnik na surowce, o!
6408:  To jest samo naprowadzające?
6409:  Na szczęście nie.
6410:  Jak nam z moimi strzałami?
6412:  Właśnie tak.
6420:  Ależ to pruje tymi strzałami w nas.
6428:  Jesus Christ.
6442:  Jak ja tak?
6449:  Ja obejrzałem to ostatni film od Asmongolda, o Dragon's Dogma, ten w którym nie ma gameplayu.
6456:  Książka z ciekawym światem z wampirami, nie do mnie pytanie Dragon, bo ja generalnie tematów wampirycznych nie ogarniam, nie lubię, nie czytam, nie interesuję się nimi.
6469:  No i co, i tyle w temacie sytuacji emergentnej?
6479:  Chyba nie.
6480:  Ależ to jest silne wszystko.
6491:  Mam wrażenie, że to trafianie w głowę nic nie działa, naprawdę.
6494:  Nic nie daje nam, naprawdę.
6498:  Ja się staram, żeby wymierzyć strzał, po czym... Wampirze Cesarstwa?
6512:  No bez czerwia to widzę w empiku.
6515:  To jest nowsza rzecz, niewątpliwie.
6521:  Brak amunicji.
6525:  On teraz podskoczy, prawda?
6526:  Nie.
6536:  Dobra.
6536:  Jest.
6540:  Okej, żółty pojemnik mówicie.
6546:  Strasznie drażni to, jak one atakują.
6554:  Ja pamiętam te... tego konkretnego stworka z pierwszej części.
6559:  Oj, pamiętam.
6563:  Strasznie tego diabelstwa dużo wszelako.
6568:  No bardzo dużo, jeszcze cztery są.
6576:  Może Focus coś podpowie.
6591:  Mogłoby to zatrzymywać grę, gdyby... Ale nie.
6595:  Okej, teraz jakoś trafiłem w coś, co było ewidentnie całym punktem.
6601:  Rude pozdrowienia od Dominiki, amnikotwórczyni Klimczak, która jest wielką sojuszniczką rudych ludzi.
6610:  Daj mi swój Cooper.
6611:  Dobrze!
6612:  Jest!
6614:  Strzelanie w żółty Cooper.
6616:  To brzmi jak zdecydowanie coś.
6621:  Czego nie zrobimy w... Problemie Trzech Ciał, z tego względu, że jest tam whitewashing.
6631:  Haha.
6631:  Czy inny kadr u mnie?
6632:  Ten sam telepinius.
6634:  Kolosczane odbicie.
6636:  No i porobionet.
6639:  Nie, jeszcze są!
6641:  Boże, ile tego.
6643:  Aaa, za dużo... Aaaa!
6647:  Mam amunicji!
6649:  Czy ja wreszcie będę umieć więcej strzał?
6654:  Jest ich naprawdę za mało.
6667:  Dobrze.
6672:  Tak, stanowczo.
6680:  Dobrze.
6683:  Ulepszenie kołczanów w warsztacie, o chryst.
6688:  Jak ja takich rzeczy nie lubię robić.
6692:  Pojemnik na surowce, dobrze.
6696:  Uwielbiam Rudzielców, wyznaje Kazia Kazanowska, ten kolor włosów jest taki śliczny.
6701:  Dominika Jemnik, otwórczynik Limjack, ucieszę się słysząc te słowa.
6707:  No i?
6708:  Stos złomów.
6709:  Ktoś jest zaskoczony?
6713:  Ok.
6722:  Myślałem, że te beczki wybuchną i będzie zabawnie, ale nie.
6727:  Ok!
6730:  To jest fioletowe, tu będzie blacha.
6733:  To mam już wszystko dla Mildufa.
6736:  W samą porę.
6737:  Jestem już głodna.
6739:  Czy te robo-bestie czują ból?
6740:  Dobre pytanie.
6740:  Ten kolor wyglądałby ciekawie na moim pancerzu.
6744:  Dobre pytanie.
6746:  Ta blacha jest w innym stosie.
6748:  I tak się nie sprawdziło to, co zawsze jest w grach.
6750:  To znaczy, że zawsze i za każdym razem jest w ostatnim, który sprawdzamy.
6754:  Żeby skutecznie eliminować te złomojady, trzeba zmieniać z miśkami.
6756:  Strzał, elektryczna, bateria.
6757:  Ale ja to wiem, wiem, tylko problem polega na tym, że nie możemy za bardzo tworzyć strzał elektrycznych, ponieważ po prostu ich nie mamy.
6764:  A jeżeli chodzi o pułapki, to mamy bardzo mało iskrzaków.
6769:  Generalnie wszystkiego mamy bardzo mało.
6772:  Jaka piękna, ruda trawa.
6774:  Mało ci, Dominiko, już tego, że jest rudy kolor włosów, musisz jeszcze mieć rudą trawę.
6778:  Czy mamy tutaj jeszcze jakąś misję?
6780:  Mamy, owszem.
6782:  Zbierz rogi śmigacza.
6784:  Świetnie, nie musimy tego robić w innym miejscu.
6786:  Po drodze do kopalni, doskonale.
6790:  TV Gry zrobił materiał poradnikowy, co zrobić na Star Dragons Dogma i ja mam ten materiał poradnikowy.
6794:  Punkt pierwszy, odinstaluj.
6797:  Punkt drugi ewentualnie, który mnie się udał i jestem z tego powodu bardzo zadowolony,
6803:  Zarządzaj zwrotu pieniędzy na Steamie.
6805:  Muszę rozejrzeć się za kotłem, by nauczyć się to dominować.
6813:  Proszę, niech to nas nie zauważy.
6817:  To nas zauważyło.
6821:  Dobra, ale nie chce mi się z tym teraz walczyć.
6824:  Zwłaszcza, że mamy zebrać tego rogi, zdaje się, nie?
6826:  Chyba.
6827:  Dobrze mówię?
6828:  To jest to?
6830:  Nie, to jest siedlisko norników.
6832:  Dobrze.
6840:  On nas ściga cały czas?
6841:  Tak.
6843:  Irytujący.
6855:  Okej, to jest ten śmigacz.
6857:  Mamy jego rogi odbić.
6859:  Nie chciałem użyć strzałek kwasowej.
6864:  Dobra, jest jeden róg trafiony.
6867:  Odleciał.
6868:  Good.
6878:  Proszę bardzo.
6880:  Porobionet, porobionet.
6888:  I co?
6892:  Udało się?
6893:  Udało się!
6894:  Tak!
6895:  Dobrze.
6897:  Krok trzeci.
6898:  Za 1 trzecią odzyskanych pieniędzy kłódkowo dowól i baw się dobrze.
6901:  Albo Hollow Knighta.
6904:  Czy gram z włączonym HDR?
6906:  Tak, ale to nie ma znaczenia niestety, Retio, ponieważ nie przetransmituje wam HDR przez OBSa.
6914:  Czy mógłbym to zrobić?
6915:  To jest strasznie skomplikowany proces, jeszcze się tego nie nauczyłem.
6919:  Trzeba zmienić kodek wtedy na inny, który jest eksperymentalny.
6925:  A ja już widzę, jak coś jest eksperymentalne i działa.
6929:  Teraz jest tak, że rzeczy nieeksperymentalne nie działają.
6932:  Pomów ze Sztygarem.
6933:  Sztygar Malinowski.
6935:  Gdzie był Sztygar Malinowski?
6936:  Dobra, męczy mnie to za bardzo, już drugi raz na to wpadam.
6939:  Gdzieś był Sztygar Malinowski.
6944:  No przecież na pewno był!
6954:  Stowarzyszenie Bibliotekarzy Polskich Poradnik.
6958:  Jesteśmy na tropie, moi drodzy.
6960:  Jesteśmy na tropie.
6961:  Poradnik, poradnik biblioteka.
6963:  To się na pewno uda.
6964:  Sztygar.
6966:  Teraz się nie wyszuka, jak zawsze.
6968:  Stop.
6970:  Sztygar Malinowski coś tłumaczył.
6973:  Klub Włóczy Kijów.
6976:  Edmund Niziurski.
6979:  Nie, nie Edmund Niziurski.
6980:  Czy był Klub Włóczy Kijów?
6983:  Albo, cholera wie, Kornel Makuszyński.
6986:  Pamiętałem!
6988:  Kombatanckie rzeczy pamiętane przez Krzysztofa.
6991:  Ha!
6992:  Mówiłem, że mnie męczy.
6995:  Gram w szachy, tak Mario, jak najbardziej.
6997:  Edmunda Niziurskiego ja kiedyś czytałem i Cornela Makuszyńskiego namiętnie.
7014:  Wtedy jeszcze nie znam fantastyki.
7015:  Był wybuch w kopalni.
7017:  Woda od razu wszystko zalała.
7020:  Część moich ludzi jest... Jest wciąż na dole.
7024:  Nie mogę przestać.
7025:  Wiesz, że coś jest niszowe, gdy piszesz w Google jest jeden wynik, tak.
7032:  Dobrze.
7033:  Taral pisze, że łuk ze strzałami elektrycznymi dostajemy na terenach Łowieckich, kawałek za złomiankami.
7038:  Dodatkowe łuki, w tym snajperski łok do kupienia w złomiankach i w forcie.
7042:  Trzeba kupić łuk snajperski.
7043:  Ja mam ustawione słowaki z HDR, aż sprawdzę, bo nie pamiętam grafika.
7073:  You tell me, bo ja nigdy tego nie widzę.
7075:  Chyba, że to będzie obraz.
7081:  Ja takich rzeczy nigdy nie widzę, dlatego to robię zawsze przed streamem.
7088:  Ja nie umiem kompletnie szukać informacji, zwłaszcza tekstów naukowych, pisze Maria Skoczylas, a to w tym akurat mogę pomóc.
7092:  Co ci sprawia trudność?
7094:  Muszę znaleźć tych dwóch górników.
7095:  Szybki protip, jeżeli chodzi o szukanie tekstów naukowych w Scholarze.
7100:  Google Scholar.
7103:  Idea jest taka, że musicie zawsze używać cudzysłowów, ponieważ to są tępe algorytmy bizyszukiwania.
7108:  No macie przykład tego, co ja szukałem ostatnio do jednego z artykułów.
7113:  I szukałem też symetrii, która jest ze styku głupców, bo ktoś mi uświadomił, że cytowałem źle i miał rację.
7119:  Więc ważne jest to, żeby wpisywać tego rodzaju frazy.
7122:  Jeżeli na przykład chcecie polskie teksty, weźmy prosty przykład, w których się pojawia słowo groznawstwo i ludologia na przykład.
7129:  Groznawstwo.
7130:  ale równocześnie może być groznawcze, tak?
7134:  W tym tekście prawdopodobnie i ludologia.
7136:  Zobaczymy, czy ktoś o tym napisał cokolwiek.
7138:  No i jest, tak?
7139:  Więc macie tekst, który będzie rozróżniał ludologię i groznawstwo, chociażby.
7143:  Albo ćwierć wieku polskich badań nad grami wideo i to jest bardzo dobry tekst, nawiasem mówiąc, ale jak widzicie, sprawa jest raczej niszowa, nie?
7150:  A jeżeli usuniemy stąd ludologię, to się okaże, że będzie troszeczkę więcej, a jeżeli byśmy na przykład zrobili tak, żebyśmy wzięli ludologia plus
7160:  ludologiczne, nie?
7162:  To wtedy, oczywiście zrobiłem literówkę, to będziecie mieli troszeczkę tego więcej, no z bardzo prostego powodu, tak?
7169:  A jeżeli usuniecie tutaj cudzysłów, to będziecie mieć jeszcze więcej, ponieważ ten cudzysłów oznacza, że musi się to słowo w tej formie pojawić.
7176:  I w ten sposób szukacie tekstów naukowych, to znaczy robicie wyszukiwanie frazowe.
7181:  A jeżeli szukacie czegoś jeszcze bardziej skomplikowanego, no to na przykład, nie wiem, Game Mechanics i chcecie różnice między mechanikami, dynamikami a systemami, to możecie zrobić coś takiego.
7193:  Tutaj będziemy mieć 24 tysiące.
7195:  Okej, dobrze, to w jaki sposób mogę to zawęzić?
7197:  Proszę bardzo, wpiszecie Dark Souls, tak żeby był konkretny tytuł.
7200:  Nagle jest 491.
7201:  Więc to jest takie...
7204:  Zawężanie coraz bardziej zakresu.
7206:  Robota detektywistyczna w gruncie rzeczy.
7208:  Zupełnie się inaczej szuka, krótko mówiąc, niż w Google'ach tradycyjnych.
7211:  Bo w Google się domyśla tego, czego wy chcecie znaleźć, a tutaj musicie wy mieć pełną kontrolę.
7220:  I szczerze powiedziawszy, ja to akurat wolę.
7222:  Wolę mieć pełną kontrolę, niż jeśli algorytm mi pokazuje coś, co ja powinienem wiedzieć.
7226:  Trochę jak szukanie hashtagami, dokładnie tak.
7230:  Na przykład nie mogę znaleźć nic o formach krystalicznych wirusów i nie wierzę, że coś jest o tym.
7234:  Spróbuj właśnie przede wszystkim znaleźć termin naukowy po angielsku o tych formach krystalicznych i następnie wbij jakieś nazwisko człowieka, który się tym zajmuje.
7246:  To jest też coś, co ja bardzo często robiłem, a naprawdę zajmowałem się giganiszowymi rzeczami, o których wydawało się, że nikt nie napisał, a potem się nagle okazywało, że napisał i to było w ogóle super, jak się tego dowiedziałem.
7257:  Czy ja mogę?
7259:  Ja mogę tu wskoczyć, bo to się już udało raz.
7262:  Okej, tu.
7265:  Głupia Aloj.
7268:  Aloj, Aloj, Aloj, Aloj.
7270:  Cześć.
7287:  Czy to musi być to samo, co mnie tak wkurzało w pierwszej części?
7297:  Przecież ona już tutaj była.
7302:  Pamiętacie, była taka jedna lokacja w pierwszej części, w której się działo dokładnie to samo, znaczy nie można było wyjść z wody.
7311:  Doprowadza mnie to absolutnie do szału.
7313:  Panu Renvili można włączyć RTX HDR.
7315:  Ja to mam!
7318:  Eee... No!
7324:  Teraz tam nie wejdziesz.
7328:  Eee... Co to za problem, żeby to umożliwić?
7333:  Myślcie Jezu.
7333:  Och!
7340:  Dobrze.
7341:  Chcę zanurkować.
7346:  Muszę chyba zanurkować.
7348:  Okruchy metalu.
7350:  Dobra.
7351:  Płyniemy.
7353:  Płynij szybciej.
7356:  Aloj.
7357:  Płynij szybciej.
7358:  Przestań być ruda.
7359:  Aloj.
7360:  Aloj.
7361:  Aloj.
7361:  Odbij się.
7362:  Aloj.
7363:  Aloj.
7364:  Aloj.
7365:  Aloj.
7365:  Tlen.
7365:  Jeden słabo wygląda.
7371:  Czy da się używać parametrów and, on i wykluczać content zawierający określone słowo?
7374:  Tak.
7375:  Jeżeli nie chcecie jakiegoś słowa, no to wtedy możecie dać na przykład minus ludology, tak?
7384:  Czyli nie chcecie.
7384:  Wtedy będziecie mieć wszystko bez tego słowa użyte.
7387:  I absolutnie wszystkie inne operatory działają.
7389:  Generalnie jako operator and, no to jest plusik.
7394:  Jest też lista szczegółowych operatorów, które są do wykorzystania w Google Scholar.
7400:  Halo, Aloj, zostań ruda.
7402:  Trzymacie się?
7403:  Kim jesteś?
7405:  Korwent mnie przysłał.
7406:  Jesteście ranni?
7409:  Moja noga.
7412:  Byłem trochę za blisko wybuchu.
7414:  Co się stało?
7415:  Już nie jest pomijany, nie jest.
7417:  Szalunek nie wytrzymał.
7419:  Runęło i...
7421:  Zatkało szyb odwadniający.
7423:  Woda zaczęła lecieć tak szybko, jak żłopie piwo.
7426:  Możecie też używać operatora in offer, ale on czasem działa, czasem nie.
7431:  O czym myślisz?
7432:  Mam pomysł.
7434:  Macie ładunki wybuchowe?
7435:  Oszalałaś?
7436:  Ta, pewnie są jeszcze na górze, ale lądy się przydadzą.
7442:  Oszalałeś?
7443:  Nie możesz chodzić, a ja cię nie zostawię.
7446:  W sumie znacznie gorzej już nie będzie.
7449:  Zostańcie tu.
7451:  Good.
7453:  Muszę ustalić, co blokuje szyb odpływowy, a potem wysadzić to w powietrze.
7457:  No to ustalmy.
7458:  Oczywiście Focus teraz nie będzie działał.
7461:  Naturalna sprawa.
7464:  Focus działa tylko wtedy, kiedy gra na tego chce.
7467:  Dobrze, tutaj coś się dzieje.
7468:  To mi się bardzo podoba, że gra wreszcie podświetla rzeczy, które są interaktywne.
7473:  Ja mówiłem o tym, że to powinno być podświetlane i ludzie wtedy mówili, że to będzie naprosto.
7477:  Prawie.
7481:  Czyści i gładcy ci górnicy.
7485:  Bo oni tylko biorą emeryturę, natomiast już nie pracują.
7492:  Mmmmm, okej.
7502:  Uuuu, su-su-su.
7505:  Okej, okej, okej, okej.
7508:  Czy ja stąd mogę gdziekolwiek przeskoczyć?
7510:  Chyba nie bardzo.
7511:  Możemy spróbować?
7512:  Nie.
7516:  Włosy zatkały odpływ i to wszystko.
7517:  Tak.
7518:  To z tego powodu.
7522:  Czujemy jakieś japońskie RPGi.
7523:  Grałem w Nier Automata.
7526:  Mnie zmęczyła trochę niestety, ale skończyłem.
7529:  Jestem z siebie dumny, ale skończyłem po swojemu, ale nie według fanów gry.
7535:  Pani gry uważają, że w grę trzeba zagrać kilka razy, żeby ją skończyć.
7538:  Ufam im w 100%, ale to jest poświęcenie, na które nie jestem gotów.
7546:  Jak zwykle nie wiem, co zrobić.
7549:  Dobrze, zakładam, że tędy.
7552:  Dobrze założyłem.
7555:  Chyba.
7557:  No tak, oczywiście, że tutaj nie mogę wskoczyć.
7559:  No oczywiście, że nie mogę wskoczyć, naturalnie.
7563:  Chociaż tu się coś pojawia, wózek.
7565:  Środek transportu.
7566:  Wiem, czym jest wózek!
7571:  Na początku używaliśmy jakiejś linki.
