🔴 Ser w Koloseum | HOLLOW KNIGHT Livestream #13
🔗 https://www.youtube.com/watch?v=ZsDHsb9ogrg

38:  Bapa nada.
3951:  Absolutnie nie jest proste.
3953:  Wystarczy, wiecie, że macie chwilę przerwy.
3956:  Ja to pamiętam po moim graniu na fortepianie.
3964:  Oj, bardzo się czuję przerwę.
3967:  Wygląda na każdym instrumencie zresztą.
3968:  Jak się coś ćwiczy, jakiś utwór, to trzeba ćwiczyć często, ale mnie to drażni.
3972:  Jaki on ma hitbox debilny.
3978:  To jest esencja tej gry, zawsze jest jakaś trening, co tutaj nie znamy.
3981:  To jest super.
3991:  Nie no, nieprawdopodobne to jest po prostu.
3993:  Trafiło mnie to po tym jak wylądowałem.
4011:  Nie, nie, nie mogę tego etapu.
4012:  No nie mogę tego etapu po prostu.
4013:  Ja tutaj tak strasznie dużo zużywam masek, że to się w głowie nie mieści.
4028:  Ten moment, kiedy tak się boisz przeciwnika, który ma nieuczciwą przewagę nad tobą i zaczynasz robić głupie rzeczy.
4036:  To jest niesamowite.
4038:  On nie trafił pośmiertnie.
4040:  On mnie trafił po prostu pośmiertnie.
4043:  Kolosaum jest jeszcze do tego pamięć, do kolejnych faz, gdzie się pojawiają przednicy.
4046:  Tak, tak!
4047:  Prawda jest taka, że w tej fazie, gdzie najwięcej zużywam masek, nie mogę zużyć ani jednej, bo musi być full na modliszki.
4056:  I na razie ćwiczę Foxy Gwen, ćwiczę.
4061:  Nie mogę zacząć grać w 100% w Hollow Endach, jak się nie wyćwiczę, dlatego Kolosaum było planowane na sam początek.
4068:  Nie no, znać znam, ale nie grałem, bo ja w Finala nigdy nie wsiąkłem jakoś.
4073:  To jest naprawdę dramat.
4085:  Uczelnie są przede wszystkim niezorganizowane także i w tym wymiarze, że powinna być jedna strona rekrutacyjna na wszystkie uczelnie.
4092:  Jeżeli już mamy to przekleństwo w postaci matury, która wszędzie kwalifikuje, to niech chociaż będzie to zcentralizowane do końca, ale nie.
4098:  W Polsce musi być zawsze zcentralizowane połowicznie.
4102:  Tak zcentralizujemy, ale tak nie do końca zcentralizujemy.
4105:  Tak trochę zcentralizujemy.
4107:  Czemu nie działa parowanie na ten jego atak z szarżą?
4120:  No a teraz będzie faza, gdzie tracę za dużo.
4130:  Naprawdę, naprawdę to jest nieprawdopodobne.
4139:  Tak, bo on, on taki domek cholerny tutaj wyskoczył spod ziemi, domek wyskoczył, pieprzony domek spod ziemi, którego nie widać.
4159:  A mogłoby to być na przykład w ramach krawędzi ekranu, a nie poza krawędzią ekranu, gdzie nie mogę zareagować do ciężkiej cholery? !
4169:  Jak ja tego nie znoszę, no!
4174:  No przecież to było poza krawędzią ekranu w ogóle, ci się nie dało doskoczyć.
4177:  W jaki sposób mam z nim walczyć?
4181:  Dramat!
4191:  Prawie się nie dostałem na żadne uczenie, bo instrukcje były głupio napisane, trzeba było wszystko w innej kolejności robić.
4195:  To zawsze tak jest.
4196:  Ja przestrzegałem studentów bardzo, jak kończyli licencjat, że muszą mieć formularz 12a.
4204:  Bo bez formularza 12a nie było się zwolnionym z egzaminu wstępnego na studia drugiego stopnia.
4211:  Ławka odnawiamane.
4212:  Tylko trzeba na niej siedzieć przez pół godziny, to wtedy się dzieje.
4221:  Dobrze.
4223:  Czy ma postać Clorind w gęśni zwarta uwagi?
4225:  To jest bait przed następnym regionem, jak zawsze.
4228:  Zawsze jest bait przed następnym regionem.
4230:  Ja się tak zbaitowałem kiedyś na Wanderera przed tym, jak wyszło Sumeru, ale żałowałem.
4235:  Ale, nie powiem, Clorind bardzo ładnie się gra.
4238:  Sympatyczny gameplay jest.
4239:  Wreszcie.
4239:  W odróżnieniu od Arlequino, który się nie da wytrzymać.
4242:  To tutaj gameplay jest bardzo sympatyczny.
4250:  Dobrze, koniec.
4256:  To jest nieprawdopodobne.
4258:  Zawsze znajdzie okazję, żeby mnie zaatakować.
4261:  Czemu bilety na sobotni brykon są tak drogie przy Lagunie?
4263:  Ja nie mam zielonego pojęcia w ogóle, dlaczego brykon jest tak drogi.
4268:  Ale gdyby nie organizatorzy, którzy mi załatwili bilet na... Znaczy nie bilet, tylko muszę się skupić.
4281:  Gdyby nie organizatorzy, którzy załatwili mi nocleg, to bym po prostu go nie miał.
4298:  Bo noclegi w Poznaniu wskoczyły w widełki za dwie noce 2 do 4 tysięcy.
4306:  To jest nieprawdopodobne już.
4308:  I nawet pytałem organizatorów, co się dzieje.
4310:  Powiedzieli, że usiłują negocjować z hotelarzami za każdym razem, ale się nie udaje.
4318:  Woodstock lepszy od Pyrkonu.
4319:  Na Woodstocku trzeba słuchać muzyki.
4320:  Co to za interes?
4327:  Nie, nie, nie, nie.
4327:  Ja nie umiem w koncerty.
4330:  Jeśli już jakiś koncert jest, na który ja idę, to on musi mieć wymiar bardziej...
4337:  niszowy, lokalny czy coś takiego.
4340:  Bo duże koncerty, duże sceny to jest u mnie panic mode.
4359:  Niko pisze, że kupił linki, bilety z Linko i było przystępnie.
4364:  To dobrze, to się cieszę w takim razie.
4365:  Myślę, że ludzie mówią raczej, wiesz, o tym pakiecie specjalnym, to oczywiście jest fest drogi.
4373:  Ale nie martwcie się, mamy przygotowaną rzecz dla każdej osoby, która się spotka w ogóle ze mną na Pyrkonie, jest niezależnie przygotowana rzecz od tego pakietu, który jest w Linku, przeze mnie i przez Dominikę Janikotwórczynię Klimczak.
4384:  Ale ślicznie mówiąc, będzie, jeżeli nie zapomnę pójść po odbiór tej rzeczy.
4388:  Aha.
4394:  Dobrze, ginie.
4396:  Mam wrażenie, że jest nieźle.
4400:  No i przestało być.
4404:  Znowu spoza ekranu będzie.
4408:  Dobra.
4409:  Ale jest dobrze z maną.
4411:  Aaa, nie!
4413:  Nie, no tak!
4414:  Teraz to jest.
4435:  Jezus Maria!
4438:  Dwa razy strzelił w miejsce, w którym nie miał prawa wiedzieć, że ja się znajdę!
4444:  Dwa razy!
4455:  Niewiarygodne absolutnie to jest.
4465:  Chodź!
4521:  Co to jest?
4522:  A. Dobra.
4530:  Jest obce z leczeniem.
4534:  Gdzie znaleźć link do kupna biletu?
4535:  Jest przypięty.
4537:  Na kuzy czatu.
4543:  Jak dobrze przygotować się do wywiadu pogłębionego.
4545:  Porozmawiaj z człowiekiem, z którym chcesz rozmawiać.
4553:  Powiedz na czym polegały twoje badania, będzie łatwiej.
4563:  Jezus no!
4564:  Kiedy to zginie?
4573:  Nie, ja nie umiem z nim walczyć.
4575:  Tutaj.
4577:  Czy jest jakiś, czy jest jakiś protip na walkę z nim?
4579:  No autentycznie.
4580:  Nie jestem w stanie, nie jestem w stanie go w żaden sposób tutaj trafiać.
4585:  Nie mam kiedy.
4586:  Nie mam kiedy atakować.
4588:  On stale tym spami.
4597:  To mnie, to mnie za... Okej.
4628:  Boże, co mam zrobić, jeżeli jest w tej grze pieprzony contact damage?!
4639:  Nie mogę się nawet wyleczyć ani uniknąć, no!
4642:  Szlag mnie trafi, jasny!
4644:  Daj mi jedną sekundę!
4649:  Dziękuję.
4650:  Mhm.
4657:  Świetnie, że się mógłem wyla... Ja pierdziele!
4678:  Dobra.
4680:  Regeneruj mi manę.
4682:  Po to są właśnie... pajączki tutaj.
4685:  Po to.
4690:  One mają mi zregenerować manę.
4693:  I z nimi walczyć.
4702:  Dobrze.
4704:  Dobrze, regenerujcie manę.
4706:  Dobrze, dobrze, bardzo dobrze.
4709:  Bardzo dobrze.
4717:  Kończę właśnie od 2 dni młody, skoro z nim mam kontakt, to ja myślę, że polecajkę na Discordzie.
4721:  Czy to jest gra pixel art?
4728:  To potrwa.
4732:  Jak będę mieć full money, to wtedy...
4750:  Co mnie zabiło?
4752:  Przecież miałem... I Kwokus by pomógł.
4760:  Pomogłoby to, żeby jakiś debil nie umiejscowił leczenia pod tym samym przyciskiem zaataku głównego.
4770:  Aha, podłoga jest kwasowa.
4775:  To nie, nie podłoga jest kwasowa, a ten atak jest kwasowy i zostawił reziduum.
4779:  Ja oczywiście tego nie zauważyłem.
4781:  Okej.
4786:  No dobrze.
4789:  W sensie, ogólnie jest pikselowa.
4791:  Okej, to nie zagram, Demini.
4793:  To jest moje no-no.
4796:  Big no-no, jeżeli coś jest pikselowe.
4798:  Jeżeli coś jest pikselowe, to mam ochotę napisać do projektantów gry, ej, jeżeli chcecie, to znajdę wam inwestora.
4804:  Będziecie mogli poprawić sobie grafikę z 2024 roku, a ja się teraz wszystkim narażę.
4809:  Tarktyka na Aspida, jeżeli skurcz... Gdy skurcz zobaczę, to czekaj tak chwilę, a potem muśnij skok lewo-prawo i wtedy ci Aspid nie trafi.
4817:  Ja nie zrozumiałem tego, co napisałeś, Jogol.
4819:  To jest dla mnie za trudne na poziomie tekstu, co dopiero przy przeszczepieniu tego do gry.
4826:  Jakie gry Total Warowe grałem?
4827:  Wróg Total War, Shogun, dwa Total War, Three Kingdoms, ale i tak Warhammera nic nie przebije.
4833:  Nawet nie wiem, co mnie trafiło.
4834:  Nawet nie wiem, co mnie trafiło.
4850:  Znacznie gorszy start teraz.
4856:  Krystal darze jak wisić na ścianie, żeby trochę odpocząć.
4859:  Nie ma znaczenia.
4860:  Mój problem polega na tym, że ja nie mogę mi się wyleczyć na ścianie.
4863:  Z nie wiadomego względu.
4875:  No, to jest to, co kocham.
4876:  Dobra.
4892:  Przestań mnie, cholera jasna, trafiać!
4895:  Bez przerwy, randomowo!
4899:  No, ciekaw jestem, co miałem zrobić tutaj.
4909:  Więc na start z Total War'em chyba bym najbardziej polecał jednak mimo wszystko coś klasycznego, jeżeli lubisz gry historyczne, co by znaczyło, że pewnie byłby to jakiś Medieval 2 albo Rome 2, albo właśnie Three Kingdoms.
4921:  Three Kingdoms ma bardzo fajną dyplomację, natomiast no z Światów Fantasy no to nie ma, nie ma w zasadzie, nie ma w zasadzie alternatywy dla Warhammera Total War.
4933:  Star Drogo będzie niebawem też Total War'owy.
4937:  40 tysięcy Warhammer, a potem Star Warsowy.
4941:  Ludzie się bardziej podniecili Star Warsowym.
4944:  No ale cóż, mnie zdecydowanie Warhammer bardziej cieszy.
4948:  Dobra.
4958:  Istnieje potencjał nad badaniem.
4960:  fenomenu hipnozy w gamingu.
4963:  Wiesz co, nie mamy jeszcze przykładanej imersji.
4966:  To jest ciężka sprawa, ale powiem Ci, że to może być właśnie interesujące, bo może znajdziemy dzięki temu jakieś odpowiedzi na temat tego, jak działa imersja konkretnie.
4979:  To jest interesujące.
4980:  To jest Twój pomysł na badania, czy po prostu znalazłeś to?
4985:  Bo jeśli Twój, to kibicuję bardzo mocno.
4989:  Wojciech pisze, że jest wyobrażony na drugim roku psychologii właśnie, okej.
4993:  Ale myśli nad magisterką, chciałbym zrobić badania na temat sugestii hipnotycznych na rezyliencję psychiczną w grach typu Soulslide.
5000:  Jezu, ale ciekawe.
5006:  Rób to.
5008:  Nic mi nie wiadomo o tym, żeby ktokolwiek robił coś podobnego.
5012:  Tylko musisz mieć dobrego promotora.
5014:  A jeśli nawet nie... Znaczy nie, musi być to ktoś, kto ogarnia gry wideo.
5018:  No nie ma innej opcji.
5019:  Bo inaczej będzie ci mówił różnego rodzaju bzdury.
5029:  A promotor, który bruździ i którego trzeba uczyć, to jest najgorszy promotor.
5033:  Oczywiście chciałbym mieć promotora, który jest nie... który jest przynajmniej jakimś przewodnikiem, prawda?
5039:  Dobra, teraz etap, którego najbardziej nie znoszę.
5050:  Jezus, ja panikuję jak go widzę.
5064:  Szlag jasny trafił, to że nie mam, nie mogę naraz go, jednym strzałem go zniszczyć.
5070:  Nisko levelowy mobek z początku gry i mimo maksymalnego upgrade'u Naila on schodzi cały czas na dwa ciosy.
5077:  Jakie to jest irytujące.
5082:  Mam Mag of Pride, nic to nie daje.
5087:  Irytujące.
5098:  Dobra, ale nie jest źle z maną, tylko teraz jest bardzo trudny etap.
5109:  Fuck.
5109:  Nie widziałem tego.
5120:  Uuu, sparowałem.
5122:  Uuu, nie uniknąłem.
5124:  Uuu, nie uniknąłem po raz drugi.
5136:  Fuck, że to nie doleciało, cholerstwo no!
5139:  Jak mnie to strasznie denerwuje!
5148:  Dramat.
5152:  Nie, nie mogę bić przez platformy.
5153:  Czasem działa, czasem nie działa.
5158:  Słyszeć o czymś takim, że mają wyrzucić pisanie magistraka, zastąpić egzaminami z powodu rozwoju czata GPT.
5162:  Nie słyszałem o tym, ale nie byłoby to głupie.
5167:  Uważam natomiast, że to nie powinny być egzaminy, tylko to powinny być projekty.
5179:  Nie, do nail artów się nie przekonam absolutnie, ponieważ to jest kolejna sekwencja klawiczna, którą nie ma czasu.
5183:  Ta gra jest za szybka, żeby raz, dwa, trzy sekundy zużyć.
5190:  Ja muszę robić milion rzeczy, ja muszę robić, a nie raz, dwa, trzy, czekać na jakiś beznadziejny i durny atak, który jest bezużyteczny całkowicie.
5204:  Bo jest za długo się ładuje.
5211:  Tak, oczywiście, że można wziąć czarma, który to przyspieszy naturalnie, ja to wiem.
5214:  Wiecie, co można również zrobić?
5216:  Zarobić na kredyt.
5218:  Mieszkaniowy.
5219:  Też no, ja w ogóle nie wiem, skąd ludzie mają problemy.
5221:  Wystarczy zarobić na kredyt.
5223:  A tak serio, to nie, nie zmieniam arta z bardzo prostego powodu, znaczy czarmu, ponieważ jest za mało slotów na nie.
5235:  I tak wiedziałem, że... że mnie trafi, to było oczywiste.
5243:  Nie mogę, ja muszę zapamiętywać, gdzie się to cholerstwo pojawi za każdym razem.
5256:  Więc... To muszę mieć, ponieważ mana.
5261:  To muszę mieć, ponieważ mana.
5262:  To muszę mieć, ponieważ dzięki temu w ogóle jestem w stanie zadawać jakiekolwiek obrażenia.
5268:  To muszę mieć, ponieważ pajączki.
5270:  To muszę mieć, ponieważ mana.
5279:  Czemu się w nich wpierdasz zamiast uciekać?
5281:  Z tego względu, że w tej grze nie masz możliwości uciekania przed przeciwnikami, musisz cały czas atakować, non-stop.
5287:  A, jest cholerny kontakt damage.
5293:  Serato la War Rome pojawia się w artykule, na którym teraz pisze Martin Mazurek.
5297:  Choć ogarnianie groznawczych tematów jest ciężkie, szczególnie, gdy człowiek jest historykiem.
5300:  Co ci przysparza problem?
5302:  Postaram się pomóc wtedy.
5305:  Czyli masz przypadkiem się poruszać, kiedy ten atak jest naładowany.
5309:  Tak, mogę, ale muszę cały czas przytrzymywać przycisk ataku, w związku z powyższym... Ja może to zaprezentuję, tak?
5318:  Więc przyciskasz to i potem tak, możesz się poruszać, oczywiście, ale cały czas musisz przytrzymywać przycisk ataku, co jest nonsensowne i idiotyczne.
5338:  Mogę próbować na przykład mieć to na samym początku, nie?
5343:  Zanim się pojawi tutaj któryś z nich.
5348:  Czy jest to warte?
5356:  Nie wiem.
5358:  Mam wątpliwości.
5366:  Żeby to jeszcze miało jakiś zasięg, nie, to fajnie, ale nie, nie ma.
5374:  Ja tylko się będę dekoncentrował potem i popełniam głupie błędy, tak się to skończy, dlatego też nie, nie będę wprowadzał nowych mechanik dla siebie.
5383:  Tutaj kluczowa kwestia jest taka, żeby właśnie zapamiętać sekwencję wrogu, absolutnie, absolutnie.
5390:  Ile razy mam to cholerstwo trafić, no? 50!
5396:  Po co to?
5396:  Czemu ja nie czuję, że mam late game'owe umiejętności?
5400:  Czemu?
5403:  Właśnie nie pamiętałem nawet, że on tam wypada.
5409:  Jezus, jeszcze mnie zrzucił z platformy, cholernie.
5414:  Dobrze, już mnie zabił.
5421:  Nie, nie, nie będę ćwiczył.
5424:  To jest late game'owe wyzwanie.
5425:  Tak, late game'owe wyzwanie, w którym early game'owe mobki stanowią w dalszym ciągu zagrożenie z tego względu, że upgrade'y nic nie dają.
5436:  Dramat.
5439:  Jak głośno krzyczałem, kiedy zapowiedziałem Ragnarok na PC, ale ja wiedziałem, że będzie Ragnarok.
5442:  Co więcej, mówiłem wam, że będzie w grudniu, a ludzie mi mówili, ooo, grudniu, grudniu, będzie w 2025 roku.
5448:  I co?
5450:  Oczywiście, oczywiście, że będzie teraz.
5453:  Bardzo dobrze.
5457:  Dodatek z Pantalonami do Hollow Iron to nazywało się Gods & Glory, bo mieli wprowadzić mechanikę Glorify, dotyczącą ulepszenia, jak ostatecznie nie zdążyli.
5463:  Szkoda wielka.
5464:  Może wtedy byłyby one troszeczkę bardziej użyteczne.
5468:  Dotaliśmy do długiego momentu bez podłogi, jak najbardziej.
5471:  Będzie Sims God of War Ragnarok w... Na wrzesi mamy już zablokowane, jeżeli chodzi o gry.
5478:  Ale najzabawniejsze jest w tym wszystkim to, że...
5482:  Do tego września jest wcale niewiele czasu, więc prawdopodobnie w wakacje wtedy sobie nagrobimy Genshin'a i Warhammera, bo nie będzie co robić, growego, bo jak zawsze jest wtedy sezon ogórkowy.
5513:  Nie będę się pierniczył z nimi Po prostu w ten sposób trzeba to ogarnąć tyle Dobra, jest Nie jest źle Dobra
5546:  Kiedy Horizon?
5547:  Kiedy właśnie?
5548:  Nie wiem, czy dokończymy Horizona, powiem wam.
5552:  Ciężka sprawa.
5554:  Może sobie zrobimy na poziomie fabularnym dla samej fabuły?
5557:  Może.
5558:  Ale trochę to nie ma sensu.
5561:  O Jezu, co ja zrobiłem właśnie?
5565:  No, wykład z gęszy nie jest dobry.
5566:  Good.
5567:  Znaczy, not good, bo ja w tym momencie zalegam już z questem Chlorine.
5572:  Oprócz tego zalegam z questem wcześniejszym tego typa z pustyni, z Sumeru, jak on się nazywa, ten bezużyteczny dzidziarz.
5584:  No nie przypomnę sobie.
5585:  Więc z jego questem zalegam.
5590:  I oprócz tego z Akon questem.
5594:  Co tu się dzieje?
5596:  Saino.
5597:  To jest bezużyteczny dzidziarz, tak jest.
5602:  Ta sekwencja chyba najbardziej irytująca, bo się dłuży bardzo.
5609:  Może pamiętam, był jeden quest dla Saino, to był najnudniejszy quest całej gry.
5616:  Nie lubię też tych pająków, absolutnie mnie rozpraszają, bardzo ich nie lubię, no ale co mam zrobić.
5623:  Co się stało, że taka przerywa od Horizona?
5624:  No czasem jest tak, że gra zaczyna nudzić.
5627:  I to w ukazu z Horizona.
5632:  To znaczy, no nic nie było mi w stanie rekompensować tego, że na przykład dialog w którymś momencie, nie żartuję, mieliśmy 40 minut na ekranie dialog.
5641:  40 minut klikania w opcje dialogowe na ekranie.
5646:  I to jeszcze co więcej, był ważny dialog, raczej lore'owy, więc nie można go było opuścić.
5651:  No nie.
5655:  Po prostu nie.
5657:  Jest parę fajnych mechanik prowadzonych.
5658:  Myślę, że jeżeli ktoś gra tylko w Horizona na przykład, bo nie ma czasu na inne gry, to spoko, ale jeżeli gra w wiele tytułów, to trochę szkoda.
5670:  Już autentycznie wolę sobie pograć w Hollow Knighta.
5677:  Mimo, że jak zawsze postać ma prekognicję i przewiduje, gdzie ja będę.
5692:  To był ten klasyczny szpadek, prekognicji byczków-bzyczków.
5701:  Ja muszę przewidzieć, że on przewidzi, gdzie ja będę i wtedy może ewentualnie coś się uda.
5707:  O!
5708:  Widzicie, co się stało?
5710:  On dokonał natychmiastowej korekty ataku w momencie, w którym ja zacząłem tego ataku unikać.
5716:  To jest nieprawdopodobne absolutnie.
5722:  No przecież to jest nieprawdopodobne po prostu!
5727:  Jedyny sposób na pokonanie go jest magią.
5729:  Jedyny.
5740:  Nie, to już jest spalone po prostu.
5741:  To jest spalone.
5747:  Już jest spalony.
5757:  No tutaj autentycznie... Gdybym ja tylko miał manę i mógł tutaj używać cały czas magii, to byłoby cudownie, ale nie, nie mogę.
5786:  Co się zdaje z Gęśliniem, jak przejdziemy przez Kenryę?
5789:  Ja myślę, że ciężko powiedzieć.
5792:  Albo zrobią nową część, mogą zrobić nową część.
5796:  Albo kolejny region.
5801:  Albo nową grę.
5805:  Polowanie i walki z maszynami były super, pisze Dominika.
5808:  No, tylko że to mnie najbardziej nuży w Horizonie właśnie, na tym rzecz polega.
5812:  Jest, zauważcie, strasznie dużo gier, w których jest to samo.
5814:  W Red Dead Redemption 2 jest polowanie i jest super.
5818:  W Ghost of Tsushima jest polowanie, jest super.
5821:  W Horizon jest polowanie, jest super.
5824:  To ja proponuję, żebyśmy do kolejnej gry z Open Worldem wprowadzili polowanie, ale takie, ale nie takie jak
5835:  Nie tak jak wcześniej, tylko takie, żeby były takie punkty, takie ważne punkty na ciele przeciwnika, które trzeba stargetować, żeby było wyzwanie, a nigdy tego wcześniej nie było.
5846:  Więc to... no... Więc tak.
5853:  To jest mniej więcej tak łowienie ryb w Genshinie.
5858:  Da się to zrobić raz.
5860:  Falka Elchiza co kolejne na profilingach.
5862:  Oczywiście jak wszystko wspaniałe mechaniki openworldowe jak zawsze zawdzięczamy Ubisoftowi.
5869:  Wszystkie najlepsze rzeczy zawdzięczamy Ubisoftowi.
5877:  Czy Contact Damage też zawdzięczamy Ubisoftowi?
5880:  Ja bym się nie zdziwił.
5906:  Ja po prostu będę się... Przestanę się przejmować tym, że tutaj tacy tak strasznie dużo zdrowia.
5916:  Może będzie lepiej.
5920:  Będę częściej używał magii.
5923:  żeby nie marnować jej na leczenie potem.
5926:  To znaczy, wychodzę z założenia, że za mało używam magii, przez to przegrywam.
5933:  A to, że przeciwnicy są zbyt wysoko, drażni.
5942:  Dobra.
5944:  Mam wrażenie, że teraz idzie lepiej.
5945:  To wszystko dzięki temu, że zacząłem używać magii.
5957:  Zapomniałem, zapomniałem o tym.
5964:  A kiedy w ogóle jest Assassin's Creed Shadows w takim marginesie?
5966:  Kiedy premieruje?
5971:  Bo często dopytujecie o niego.
5973:  W Mirage nie graliśmy, a wszystko wskazuje na to, że Assassin's Creed Shadows może być bardzo podobny do Mirage.
5998:  No.
6007:  Żeby tylko ta jedna postać miała prekognicję.
6013:  No, no, no, no, no.
6015:  Jest.
6019:  Co jest teraz?
6047:  Nie no, to jest po prostu... To jest niesamowite.
6072:  Dobra.
6072:  Czemu zacząłem tutaj się ranić?
6078:  Dobra.
6089:  Fak.
6089:  Piotrze, dziękuję ci serdecznie za trybut.
6091:  To nie kontakt na przykład emotional, ale to on jest od samego początku.
6096:  Robaki się dotykają jak w życiu, a jestem germofobem jeszcze tego wszystkiego, więc w świecie Hollow Knighta cały czas bym myślał o tym, że mnie czekają jakieś zarazki.
6105:  Czy wy widzicie, co tutaj się dzieje?
6107:  Czy wy widzicie, co tutaj się dzieje?
6120:  Ja nie widzę, ja po prostu nie widzę, co tu się dzieje.
6136:  Dobra, leczenie.
6142:  O Boże, teraz on.
6144:  Fuck!
6155:  Dobra, nie powinno być więcej tych truposzy po nim.
6159:  Jest, będzie, dobrze.
6166:  Norbercie, dziękuję Ci za trybut przed DLC, polecam lore kanał TarnishedArcologist.
6171:  A czy nie wystarczy Vatividia, który zrobił cały gigantyczny dzisiaj film na temat trzech godzin weldenku w dodatku, Shadow of the Airtree?
6191:  Dobra.
6195:  Teraz jest to, czego bardzo nie lubię.
6202:  Bo nie mam jak skakać.
6207:  Daj mi skakać!
6225:  Ktoś, kto dał teleportację temu dziadostwu, powinien wisieć.
6234:  Mhm, co ja miałem teraz zrobić?
6237:  Nie, ja po prostu się roz... Boże, nie znikaj mi, jak cię atakuję!
6250:  Najgorsza postać tej gry.
6254:  Boże, następny!
6262:  Aaaa!
6267:  Jezus Maria!
6267:  I znowu, znowu, znowu trzeba znowu na pamięć.
6271:  Znowu trzeba wszystko na pamięć.
6272:  Po prostu nieprawdopodobnie.
6274:  Tak będzie można, po to jadę Szymonie.
6280:  No horrendalne to jest po prostu.
6284:  Bardzo nieprzyjemna, bardzo nieprzyjemna walka.
6291:  Nawet nie chcę mówić, że są za duże i za częste te ataki, bo wiem, że generalne założenie tej gry jest takie, że trzeba po prostu zostać bogiem refleksu i wszystko będzie w porządku.
6303:  Ale męczliwe.
6308:  Nigdy w życiu bym nie włączył cheat engine'u, Krzysztofia.
6310:  To też z tego względu, że nie mogę sobie pozwolić na to, żeby moje konto na SNES zostało kiedykolwiek za cokolwiek zbanowane, bo jest tam ponad 600 gier.
6317:  Dobra.
6338:  gdzie on, gdzie on jest, gdzie on jest po prostu wyekspediował się na koniec wszechświata ten przeciwnik, ja go nie znoszę kto by stracił majątek, majątek to nie jest problem po Solana, czas to jest problem ja miałem ostatnio taką sytuację bardzo dziwną, że musiałem odinstalować Steama przeraziło mnie swoją drogą, nie wiedziałem tego, że jak się odinstaluje Steama
6368:  Znowu nie pamiętałem.
6371:  Więc przeraziło mnie, że jak się odinstaluje Steam'a, to odinstalowane są wszystkie gry, co jest w ogóle jakimś kompletnym horrendum.
6377:  Nie wiem, kto do tego wpadł, ale to był idiota.
6380:  I... Uświadomiłem sobie rany boskie.
6383:  Co by teraz było, gdybym nie miał save'ów?
6385:  To jest nie do zrekonstruowania.
6392:  Właśnie czasowo czysto.
6396:  I wtedy sobie uświadomiłem, tak.
6400:  To jest coś, czego bym nie kupił.
6402:  Czas poświęcony na te wszystkie gry.
6413:  Dobrze.
6414:  Wilmik naładuje manę.
6415:  Tak, tak.
6415:  Mhm, wiem, wiem.
6417:  Tylko, tylko, tylko 5 sekund to trwa.
6419:  Tylko 5 sekund.
6425:  Mam ataki, które trwają pół sekundy i one są często niewystarczające.
6431:  Więc nie wybiorę ataku, który trwa 1 sekundę, albo 5 sekund, albo 3 sekundy, wszystko jedno.
6436:  I nie, nic dla mnie nie zmieni to, że jeżeli atak trwa 5 sekund, ja sobie wyekwipuję talizman, który go zmniejsza do 4 sekund i 50-90 nanosekund, to nie, w dalszym ciągu... O, znakomity atak.
6451:  To w dalszym ciągu jest to dla mnie bezużyteczny atak.
6465:  Ja mam charm na zwiększony atak natomiast Dream Naila.
6468:  Mam.
6468:  Najlepszy jaki jest.
6470:  Mark of Strength.
6475:  Nie uważam, żeby to była lokacja dla masochistów.
6477:  Nie.
6477:  To jest lokacja dla ludzi,
6484:  To jest wyłącznie kwestia pamiętania tego, w którym miejscu na samym początku on wyląduje.
6491:  I szczęścia, żeby nie lądował ci na głowie przeciwnik, ponieważ mnie w zasadzie nie trafiają żadne ciosy, to jest najzabawniejsze, wyjąwszy byczka, bzyczka.
6498:  Mnie trafiają wyłącznie przeciwnicy, którzy ładują mi się całym swoim ciałem na mnie.
6502:  To jest notoryczne.
6519:  Mhm.
6520:  Tak.
6520:  I kiedy on dokonał tej korekty?
6522:  Kiedy on dokonał tej korekty ataku?
6523:  Pytam się.
6524:  Kiedy?
6529:  Ja nie wiem kiedy.
6531:  O, następne.
6538:  No przecież to jest nieprawdopodobne, on nie ma prawa wiedzieć, że ja tam będę.
6548:  Bez byczek bzyczek.
6549:  Ten skurwiel, który cały czas mnie atakuje, mimo że nie wie, gdzie ja jestem, to cały czas mnie trafia!
6560:  To jest nieprawdopodobne!
6575:  Dobrze.
6576:  Jezu, dajcie mi jedną sekundę, żeby się uleczyć!
6579:  Jedną sekundę, proszę!
6586:  Dobrze.
6589:  Niedobrze.
6607:  Dobra.
6607:  Nie wiem co teraz jest.
6609:  Właśnie nie pamiętam.
6612:  Okej, teraz jest to.
6622:  Dobra!
6625:  Oficjalnie najlepszy run.
6631:  Aha, czyli on się nie teleportuje za każdym razem na środek, on się teleportuje za każdym razem na mnie!
6646:  Dobrze wiedzieć.
6665:  No i co?
6674:  Byle by nie musieć z nim już walczyć.
6682:  Dobra.
6695:  Jest.
6697:  Jezus.
6703:  Dobra.
6705:  Co tu się dzieje na dole?
6706:  Dobrze, na dole mamy podręczny generator many.
6716:  Okej, tu jest to dziadostwo, które pluło kwasem, prawda?
6718:  Tak.
6721:  Dzięki, Simon Seth!
6728:  To wszystko przez to, że mnie ludzie obskoczyli, a poza tym gadaliśmy z Grzegorzem i z Filipem dużo.
6736:  Dobra.
6737:  I to są te kwasowe te, które... Okej, okej, już czekaj.
6743:  Szkoda, że musiałem zginąć po to, żeby zobaczyć to.
6755:  Jezus, jaki on ma atak!
6758:  Wysoki.
