🔴 Ścieżka bólu bez nadziei | HOLLOW KNIGHT Livestream #12
🔗 https://www.youtube.com/watch?v=Ti3O49kJYAY

28:  O nie...
4478:  Dobra, dobra, dobra, dobra, dobra, dobra, dobra...
4482:  Nie pamiętam, jak to zrobiłem.
4498:  Tak, więc... Zrobiłem pogo i szybko cancelowałem dashem, takie mam wrażenie.
4506:  Tak.
4511:  Ale gdzie było to koło Pogo?
4512:  Ja nie zrobiłem tego Pogo na pewno na początku.
4516:  To jest taki w tym suficie.
4522:  O, tak właśnie, tak trzeba zrobić.
4524:  Czyli nieintuicyjnie.
4526:  Wpierw dasz i Pogo na końcu.
4529:  Dokładnie tak, dokładnie tak.
4531:  Nie na początku.
4544:  Ha, ha, ha, ha, ha!
4548:  I co?
4549:  Good!
4552:  Dobrze, ja już zrobiłem więcej, niż myślałem, że zrobię.
4556:  Wyznawca Rogatego Szula pisze, że nie tylko w Pradze są chore ilości jamników, również w Brnie Czesi uwielbiają jamniki.
4561:  Dobrzy Czesi!
4565:  Jezus Maria!
4569:  Co to jest?
4574:  Okej, Crystal Dash nie zadziała.
4576:  Mmm, niedobrze.
4579:  No tutaj będzie festiwal pogowania, obawiam się.
4587:  Okej, nie w ten sposób.
4593:  Dobra, już wszystko wiem.
4598:  Już wszystko wiem.
4600:  Krzysztof spanikuje, umrze na końcu Path of Pain i to będzie piękne zakończenie.
4605:  To będzie zakończenie bardzo w moim stylu.
4610:  Tak, tutaj będzie to bardzo trudne dla mnie, bo trzeba wyczuć wysokość, więc muszę poumierać tej dostateczną liczbę razy.
4620:  Ale to jest wredne, że mnie tam wysyła w tę piłę wprost.
4624:  Borowiczek, dziękuję ci serdecznie za bycie Janem Nikołajem.
4626:  Fajo otrzymuje wsparcie.
4628:  Ciuch!
4631:  Dziękuję za wsparcie kanału i społeczności zarazem w takich pięknych okolicznościach przyrody.
4638:  Naprawdę?
4642:  No tak.
4642:  Wyczucie odległości to jest dla mnie trudność duża.
4651:  Znaczy, teoretycznie można by było zdobyć kryształ Dash i... Agnieszka Oli, dziękujcie za wsparcie od 9 miesięcy, pisze, dzięki za live o perfekcjonizmie.
4661:  Cieszę się, że wam się podoba, bo bardzo, bardzo się z tego cieszę.
4667:  Nie, wiecie co?
4668:  Nie wiem, czy tutaj ja w ogóle to dobrze robię, może... O!
4672:  No nie!
4673:  Nie mogę się poruszać naprzód tam.
4678:  W ogóle.
4680:  Bo wtedy skacze diagonalnie.
4683:  W chwili popisze, że tutaj krystal daszował.
4685:  No kusi to, wiesz?
4687:  Ale trzeba to umiejętnie cancelować wtedy.
4690:  No mogę spróbować.
4694:  No właśnie.
4696:  Umiejętnie cancelować, czyli... No... Za wcześnie teraz.
4712:  Tak, chyba tak jest troszeczkę łatwiej.
4714:  Tylko, właśnie, trzeba wyczuć odległość.
4719:  Trzeba chyba między piłami skancelować Crystal Dash'a i później już od razu robić pogo.
4727:  Okej, tak, właśnie tak.
4731:  Au!
4735:  Ech... Mój stosunek do gier survivalowych?
4738:  Nigdy nie grałem w Mad Day Z. Chyba tylko w jedną grę, którą potrzebowałem na zajęcia, to znaczy... The Forest?
4745:  Tak, The Forest to chyba był.
4750:  No co jest?!
4753:  To jest to, że po Crystal Dashu, dlatego nie lubiłem cancelować zawsze, średnio działa cokolwiek.
4765:  Dźwięki z gry są wyłączone, Karol Lidka, ponieważ to są piły i ludziom przeszkadzały bardzo.
4773:  No tak.
4781:  Dobra, już coraz dalej.
4785:  Nie bałem się tego The Forest.
4786:  Jak ja coś potrzebuję do zajęć, to nie gram w całości, król Joom.
4788:  Jest to kawalątek, robię sobie nagrania.
4791:  Potrzebowałem stamtąd tylko mapy w zasadzie.
4794:  Mapa tam jest bardzo ciekawa.
4795:  Mhm.
4798:  Udaje się przelecieć nad tą drugą piłą, no ale nie Crystal Dashem.
4806:  Jezus Maria!
4809:  A gdyby tak... Nie no, nie znoszę tego placementu kolców.
4820:  Można zrobić po krystal daszu zwykłego dasza?
4823:  Naprawdę?
4825:  Jezus.
4832:  To jest moment, w którym bardzo nie przeszkadza.
4836:  Aaa!
4838:  No to to zmienia postać rzeczy!
4843:  Już wiem, czemu robiliście tego krystal dasza.
4846:  Naprawdę.
4853:  Bo ja chyba przez całą grę nie cancelowałem ani razu tego Crystal Dash'a, bo opadałem za bardzo i było to problematyczne.
4859:  That's what he said.
4865:  Ja wcisnąłem drugi raz kontrolę.
4872:  Ale za późno.
4880:  Ile odcinków w następnym tygodniu?
4881:  Czego odcinków dużo?
4885:  Zaniepokoiłem się.
4892:  Planuję tak zupełnie szczerze zrobić dla każdego coś przykrego o maturze z polskiego, ale tylko z polskiego.
4897:  Bo nie powiedziałem ci jeszcze na ten temat, tak bym chciał.
4905:  Naprawdę, wciskam drugi raz i gra tego nie sczytuje, co?
4921:  Nie przeczytałem całą wiadomość, pytałaś ile odcinków, teraz mnie następnym tygodniem spytam jakie odcinki.
4927:  Anulowałem dwa razy jak byłem między piłami i nie dawało rady.
4935:  Okej.
4936:  Jest.
4938:  Muszę w zasadzie zanim się między nimi znajdę to zrobić.
4942:  Tak.
4943:  Zanim.
4947:  Czytałem się chłopcem, który przeżył.
4949:  Czyli taki low cost cosplay, Broken Vessel z Hollow Knight'a.
4952:  Dlaczego?
4952:  Dlaczego?
4953:  A, rozumiem.
4954:  Tak.
4955:  Taki był plan.
4955:  To tak naprawdę, to szawka Kaldiland, po prostu.
4961:  Wcisnąłem drugi raz.
4962:  Nie sczytało.
4965:  Czemu ta gra ma taki problem ze sczytywaniem dwukrotnych uderzeń klawiszy?
4968:  No.
4979:  Nie wiem, czy ja sobie nie utrudniam tym daszem.
4992:  W ogóle z filmami jest tak, moi drodzy, że YouTube w tym momencie tak nie wszystkim zasięgi, że ja w ogóle nie wiem, czy jest sens.
5000:  Tak zupełnie szczerze wam powiem.
5005:  Patrzę na to, co się dzieje na bezschematu, na napisach końcowych, na kanałach zagranicznych i wszyscy mówią to samo, że od stycznia jest jakaś zmiana algorytmu potworna i dużo ludzi nie dostaje powiadomień o filmach, dużo ludzi nie widzi tych filmów w subskrypcjach, jest problem.
5020:  W związku z powyższym ja jestem zawsze zwolennikiem tego, że jeżeli są problemy, to ja je przeczekuję.
5026:  Dobra?
5027:  Dobra?
5028:  Dobra!
5032:  Zdaję film o przecinkach na przykład i będzie, i będzie, wiecie, i nagle nikomu nie dotrze i co wtedy?
5038:  Bez sensu.
5043:  Zakładka subskrypcja w ogóle jest martwa już.
5048:  Wcisnąłem drugi raz.
5049:  No już.
5058:  Kiedy druga część czy gry wideo były w agresji, bo minęły dwa lata.
5062:  A wiesz, ile minęło czerwoni się od napisania mojego artykułu na temat allotopii po angielsku i opublikowaniem go?
5068:  Ja ci powiem ile.
5070:  Dziesięć lat.
5074:  Wcisnąłem drugi raz.
5088:  Dziękuję, Siągo, za gratulacje ukończenia nie tylko pierwszego podkreśla, ale i drugiego etapu, bo jesteśmy już przy drugim pilarze Manny.
5101:  Nie jestem w stanie zrozumieć, czemu nie działają te pogo czasem.
5105:  Trochę mnie to niepokojnie ukrywa.
5113:  Za dużo ludzi...
5116:  za to, co duża część ludzi widzi.
5118:  Zmiany wizualne, UI, hell yeah, to właśnie użytkownicy YouTube'u lubią.
5122:  I druga rzecz, to znaczy zauważcie, że YouTube w tym momencie pushuje strasznie segment commentary.
5127:  Moim zdaniem to będzie gwóźdź do trumny algorytmu.
5132:  Bo ileż można oglądać... Wiecie, co mnie zaskoczyło ostatnio?
5135:  To jest autentyk zupełny.
5137:  Zobaczyłem, ja już zaczynam odsubskrybować swoich ulubionych twórców różnych i streamerów zagranicznych.
5142:  Wiecie, co ja ostatnio zobaczyłem na kanale TechTown'a?
5144:  Nie uwierzycie.
5148:  Nie uwierzę również, że ktoś w tym momencie do mnie dzwoni.
5151:  Mianowicie, ja zobaczyłem na kanale TechTowna coś, co mnie kompletnie zniszczyło.
5161:  Co to było tylko?
5162:  Muszę sobie przypomnieć, co to było.
5165:  To było to?
5168:  Czy ja mogę?
5169:  Dziękuję.
5171:  Czy to było to, co ja myślę?
5174:  Nie, to nie było to, co ja myślę.
5176:  Co to było?
5177:  Bo to było kuriozum absolutne.
5182:  To by było tu.
5184:  Tak!
5186:  Komentary do komentary do komentary!
5190:  Ja proponuję jeszcze, żeby to było komentary do komentary do komentary do komentary do komentary do komentary do komentary do komentary do komentary do komentary do komentary do komentary do komentary do komentary do komentary do komentary do komentary do komentary.
5204:  To znaczy, żeby Tekton oglądał, jak Asmongold ogląda Tektona, jak Tekton ogląda Asmongolda, jak Asmongold ogląda Tektona, jak Asmongold ogląda Tektona i jak Emeriu ogląda Tektona, jak Asmongold ogląda Ludwiga i jak Ludwig ogląda XQC.
5216:  I potem niech jeszcze to wszystko zobaczy Kiszak.
5219:  I się z tego zaśmieje, mam nadzieję.
5221:  Czy to jest jakaś abstrakcja kompletnie?
5226:  Jeszcze pomijam wszystko... Zobaczcie, przepraszam, dlaczego to wygląda jak kupa?
5232:  Ten stream wygląda jak kupa.
5234:  Ten człowiek ma miliony subskrypcji, miliony monet, ma chujową kamerkę, all due respect.
5243:  Jak to?
5243:  To jest brzydkie!
5246:  To jest brzydkie!
5250:  No po prostu jest brzydkie, co mam powiedzieć?
5260:  Aha, i teraz, teraz, teraz w ogóle nie działa kontrol.
5265:  No brzydkie!
5270:  To był tekton oglądający Asmongolda oglądającego tektona Siwy Dym.
5274:  Ale mam nadzieję, że Asmongold na to odpowie.
5279:  Już, już prawie, już prawie, już prawie.
5287:  Znaczy, cancelowanie tego... Już widzicie, dlaczego tego nigdy nie robiłem przez całą grę?
5292:  To jest tak potwornie niemiarodajne.
5294:  Kapryśny Bóg decyduje o tym, czy gra canceluje mi tego Crystal Dasha, czy nie.
5305:  Tak to jest, jak ludzie nie myślą, tylko oglądają pierwsze, lepsze gówno, bo ma dużo subów, pisze Turkusowy Sen.
5310:  Dlatego cały czas powtarzam, żeby wybierać sobie rzeczy do oglądania, a nie czekać, aż algorytm podsufluje.
5316:  No przecież wcisnąłem dwa razy!
5320:  Dlaczego teraz wci... Przecież macie na input readingu cały czas, tego nie rozumiem kompletnie.
5331:  Co jest?
5339:  On autentycznie wyhamowywał i i tak się wpakował na piłę.
5343:  Denerwuje mnie też Laimos to, że Asmongold te reaction videos wszystkie opisuje tak, jakby to był jego autorski film.
5350:  Powinno być ostrzeżenie, uwaga, komentary.
5354:  Wtedy bym wiedział, że nie klikać.
5359:  Dobrze!
5360:  MAAA!
5369:  Już prawie.
5370:  Dobrze, czyli już wiemy, co muszę zrobić.
5379:  Tak, masz rację Zucza, to jest w sumie reaction, a nie komentarz.
5382:  To jest racja.
5383:  Trzeba to odróżniać.
5384:  Dziękuję za korektę.
5386:  To jest reaction.
5390:  Bo w komentarzu jeszcze chodzi o to, że ktoś rzeczywiście ma coś do powiedzenia.
5412:  Rany Boskie.
5426:  Ja dokładnie tak samo klikam za każdym razem klawisz.
5429:  Dokładnie tak samo.
5434:  Dokładnie tak samo.
5447:  Nie robię recenzji gama kagier, nigdy nie robiłem w sumie.
5450:  Raz zrobiłem może cyberpunk, ale to głównie dlatego, że byłem zdenerwowany.
5456:  Ale zrezygnowałem z tego, wolę napisać artykuł naukowy.
5461:  Bo recenzję za mnie zrobi ktoś, a artykułu naukowego za mnie nikt nie zrobi.
5466:  Co więcej, recenzje zrobi pod względem właśnie, nie wiem, jakimkolwiek gameplayowym i tak dalej, bardziej interesującym graczy, dużo twórców.
5477:  A jeżeli chodzi o pisanie artykułów naukowych na moje tematy, to autentycznie nie ma nikogo, ponieważ ludzie, i to na świecie, ponieważ ludzie nie analizują gier AAA, nie analizują gier znanych.
5485:  Jeżeli to jest indie, to no, no, no, no, no, no, Hollow Knight jest za mało, za mało naukowy.
5491:  I to jest okropne w groznawstwie, nie znoszę tego, więc staram się robić materiały na temat gier AAA, żeby pokazać wam absurd sytuacji.
5499:  Mój artykuł na temat cyberpunka był jednym z pierwszych na świecie.
5503:  Czy to nie jest absurdalne?
5504:  A ukazał się dwa lata po grze.
5510:  Wiesz, jak mi się już uda anulować, to jestem tak przygotowany na to, żeby znowu robić krystal dasha, że zapominam, żeby zrobić dash normalny.
5519:  Można gdzieś przeczytać artykuł o cyberpunkach.
5520:  Wszędzie Cherries, gdzie wszystkie moje teksty, one wszystkie są dostępne w Google Scholar.
5528:  Akurat ja dbam o to, żeby każdy mój artykuł był dostępny online zawsze.
5533:  No i tak.
5544:  To jest też strasznie głupie, bo w momencie, w którym człowiek się przyzwyczai do wykonywania jak małpa tego samego ruchu, to potem zapomina o wszystkich innych.
5568:  Już?
5580:  Nie, ja tego nie zapamiętam po prostu.
5584:  Czemu mi sprawiają zawsze trudności rzeczy, które innym ludziom nie sprawiają trudności?
5593:  Co teraz?
5593:  Co dalej?
5594:  Co dalej?
5596:  Chyba dasz i trzeba się wspiąć po tamtym wspinającym się cholernym kółeczku.
5602:  Po tej pile.
5610:  A, pierdziele.
5613:  No nie jest to proste.
5618:  Ach, przerwa?
5619:  Nieee, Ronbercie, w tej grze przerwa nie służy niczemu.
5622:  Ta gra jest WYŁĄCZNIE na pamięć mechaniczną.
5627:  Wystarczy zobaczyć, jak strasznie failowałem w momencie, w którym zaczęliśmy grę.
5633:  Potwornie failowałem.
5634:  To nie jest Dark Souls.
5638:  To nie jest Soulslike.
5640:  Jak zawsze powtarzam, w Soulslike'a przerwy pomagają.
5648:  Nie no, nie mam zielonego pojęcia, jak tam to zrobić.
5662:  Znaczy, to jest niewiarygodne, że dokładnie taka sama
5666:  Taki sam interwał między przycisnięciem dwa razy tego samego przycisku generuje różne rezultaty w grze.
5678:  To jest nieprawdopodobne.
5684:  Boże, czemu, czemu on musi cały czas opadać z tej ściany?
5696:  Mówiłem joglol, że się nie poddajemy.
5703:  Nie, jak próbowałem normalnym dashem Microfire, to się nadziewałem na te cholerne piły, to by... Nie umiem, nie umiem tej wysokości, gdybym ja mógł się przyczepić do ściany, to nie byłoby tego problemu, ale jakiś debil stwierdził, że nie można.
5720:  W związku z powyższym musimy sobie radzić.
5733:  Z początku mówię, że to jest idiotyczne rozwiązanie.
5739:  Czemu?
5740:  Może tam też zrobię dash?
5742:  A wtedy wpadnę na kolce z przodu z kolei.
5756:  Tak, wiedziaaaałem!
5759:  Wiedziaaaałem!
5764:  Faureen, witam tutaj wspierających, dzięki serdeczne!
5768:  Czemu on się nie odbija od tamtego?
5770:  Ja muszę przeskoczyć nad tą piłą ostatnią, bo wtedy jak próbuję robić z niej pogo, to mnie wywala w sufit.
5780:  Czyli dłuższy skok.
5786:  Ja nie mówię, że Hollow Knight jest AAA.
5788:  Nie powiedziałem, że Hollow Knight jest AAA.
5791:  Powiedziałem, że jest za bardzo popularny na to, żeby groznawcy się z nim zajmowali.
5796:  Zresztą, aż jestem ciekaw.
5802:  Aż jestem ciekaw.
5804:  Dajmy Hollow Knight plus Lore plus Worldbuilding, czyli to, czym ja się zajmuję, nie?
5815:  Zobaczymy.
5816:  Bardzo jestem ciekaw.
5823:  No, co ja mogę powiedzieć?
5825:  Na świecie, na świecie, na świecie.
5830:  23 teksty.
5832:  Kiedy wyszedł Hollow Knight?
5840:  2017.
5841:  Czyli prawie dekada.
5843:  No mówiłem, mówiłem, mówiłem, a teraz porównajcie to sobie z tym, ile jest materiałów, recenzji, komentarzy, analiz, guide'ów do Hollow Knighta.
5859:  Czy myślałem o simie z jakiejś chodzonej gry na jeden wieczór, jak Filip zrobił SWAT Remains of Edith Finch?
5864:  Ja strasznie nie znoszę walking simulators, więc cieszę się, że Filip takie rzeczy robi, ale ja mogę wam zagwarantować, że przy moich dygresjach i przy naszych rozmowach to nie byłby jeden stream.
5879:  No, od 2017 tyle czasu minął, no to jest to, co ja wam mówię.
5883:  Naprawdę jest źle, jeżeli chodzi o teksty naukowe na temat popkultury, fantastyki, gier wideo.
5888:  To nie jest to, że ja sobie coś zmyślam.
5890:  Mnie przeraża to, że od 2014 roku, kiedy ja napisałem Allotopię, jest...
5897:  Znaczy nawet nie muszę mówić.
5898:  Elana Gomel, profesorka uniwersytetu w Tel Awiwie, powiedziała mi, Krzysztof, potrzebuję kogoś, kto napisze teoretyczny tekst o fantasy do mojej książki.
5905:  Chodziło o... Nie.
5908:  Macfarlane Handbook of Global Fantasy.
5911:  Znaczy nie było osoby wśród ludzi badających fantastykę na świecie, który by się zajmował teorią fantasy, fantasy samego.
5920:  Mnie to przeraża.
5924:  Bo te zaległości są nie tylko w Polsce.
5926:  A w Polsce to już w ogóle, w Polsce nie ma nic.
5930:  Jak ludzie mnie czasem pytają o jakieś podręczniki, o Boże, już było daleko, to ja tylko wzruszam ramionami ze smutkiem.
5941:  Nie ma ani jednego podręcznika do analizy gry wideo na przykład.
5944:  O, fajnie, nie?
5947:  Gry wideo mają w tym momencie ponad 50 lat jako medium.
5951:  Grubo ponad 50 lat.
5954:  Ja muszę ludziom mówić, że no, teoretycznie możecie sięgnąć do Piotra Kubińskiego, a ludzie mi później mówią, no tak, ale on pisze głównie o immersji, o interfejsach i nie o całej reszcie.
5962:  Ja wiem, wiem.
5966:  Tak więc tak, absolutnie Dawidzie, dlatego zachęcam, żeby pisać prace dyplomowe o tym, bo ja autentycznie nie mam co cytować.
5976:  Napiszę taki podręcznik, tak, no standard Filipo, nie?
5979:  Tylko, że ja już mam dość trochę robienia wszystkiego naraz.
5983:  Nie, nie, nie, nie, nie.
5984:  Czekam cały czas, żeby ktoś to zrobił.
5986:  Ja mogę napisać z paroma osobami coś takiego ewentualnie.
5989:  Ja nie znoszę pisać naukowo.
5992:  Dobra.
5994:  Czemu to raz wychodzi, raz nie wychodzi?
5998:  Na seminarium powiedziałem, że chcę analizować światotwórstwo w Maszynimach i jako literator prowadzący polecił twoją książkę.
6004:  No bo nie ma światotwórstw, no nie ma.
6006:  Poza tym jest Mark J.P.
6007:  Wolf i tyle.
6008:  Zresztą ja z Markiem teraz piszę... Znaczy piszemy książkę właśnie razem z paroma innymi osobami.
6017:  Taka antologia będzie, wiecie?
6019:  I ja tam będę mieć w części teoretycznej też znowu.
6022:  O nawigacji w wyobrażonych światach.
6024:  Będzie sporo Elden Ringu, hehe.
6027:  No, więc to była moja przydługa odpowiedź na to, dlaczego nie robię recenzji gier wideo, bo ja uważam, że Kiszak ma rację, jeżeli chodzi o robienie recenzji gier wideo, to znaczy to trzeba robić porządnie, nie?
6039:  Fabuła, gameplay, świat, mechaniki, dynamiki, systemy, UI, UX, dostosowanie do osób niepełnosprawnych, przystosowanie e-sportowe, long-term rozwój z samego tytułu, to czy, nie wiem, gra jest opatrzona mikrotransakcjami czy nie, tego typu strasznie dużo elementów już.
6067:  Czemu ja cały czas to robię źle?
6068:  Myślę, że zwariuję.
6072:  Replayability jeszcze, druga ważna rzecz w grach.
6076:  Zrobimy jakieś dłuższe skoki, to wtedy zadziałało.
6080:  O, kanał hipostazy jest fajny, to już widziałem.
6089:  No, jeszcze lokalizacja gry, no właśnie, a to wiecie, jeżeli mamy szczęście w ogóle, że ktoś uważa, że jest, dobrze, dobrze, czyli długi skok, długi skok.
6100:  Cieszy się algo, że się filmy podobają.
6103:  To nie jest tak, że ja z lenistwa nie robię ich, ja po prostu rzeczywiście czekam zawsze, aż będzie jakiś dobry materiał, nie?
6109:  Żeby, tak jak ty mówisz, faktycznie to mogło pomóc, a nie tylko było takim upuszczaniem mojego jadu.
6116:  Cieszę się, że pomaga.
6122:  I teraz znowu będę robił ten błąd.
6129:  I teraz będę robił ten błąd.
6131:  Jak ja nie robię jednego błędu, to robię drugi, a cały czas nie mogę dotrzeć do tamtego fragmentu.
6138:  Zaprzednie jedno pisanie podręcznika, a ja nie będę w stanie tego zrobić, mówiłem wam, to jest problem i paradoks.
6145:  Dlatego gdyby nauczyciele chcieli, żeby uczniowie nie używali AI, mają bardzo prostą rzecz do zrobienia, mianowicie zająć się tym, co jest kuźwa współczesne.
6154:  Nie będzie się dało wtedy ściągać.
6156:  To są tak proste, tak prostackie rozwiązania są, że aż po prostu wstyd, że mądrzy ludzie udają, że nie są w stanie tego rozwiązania dostrzec, bo to udają tylko po to, żeby mieć mniej roboty.
6174:  No i teraz mnie odbiło w górę
6177:  Odbij się od ostatniej piły przed tą górną piłą i daszuj.
6181:  Od ostatniej piły... Wiesz co, mam trudność w nawigowaniu tutaj, bo ja nie widzę tego ekranu, wiesz, tak?
6186:  Więc nie mogę zastopować klatki.
6201:  Wszystko spoko, ten zamienny długi szereg, tylko ta ocena na koniec jest bezsensowa, ale to jest to... Mnie nie musicie przekonywać.
6209:  Rusev dla instalacji Zimmermana, ponieważ on był zawsze projektowy.
6212:  Znam, dobre.
6214:  Ale to jest wszystko o gameplayu.
6217:  O projektowaniu narracji świata w grach wideo jest strasznie niewiele.
6221:  A to jest bardzo ważne.
6222:  Gameplayem nie sprzedacie gry.
6225:  Zauważcie.
6226:  Co jest w marketingu?
6227:  Gameplay trailer?
6231:  Świat, narracja, to co będziecie mogli w grze zrobić.
6234:  Co przesądza o tym, że ludzie grają po 40 lat w grę jakąś?
6238:  Tak, czasem gameplay jeżeli jest dobrze zaprojektowany, ale częściej jest tak, że o gra daje nam po prostu sandbox albo świat, w którym możemy tworzyć swoje własne scenariusze i roleplayować na najróżniejsze sposoby.
6249:  Patrz Skyrim.
6251:  Gra fatalna on launch, a później kultowa.
6256:  Dzięki master za trybut.
6258:  Wiesz co, nie fajna była rola pioniera, to od razu mogę wam powiedzieć.
6263:  To się wydaje, że to jest fajne, ale wyobraźcie sobie, że piszecie pracę licencjacką i fizycznie nie ma żadnego źródła.
6269:  Nie, że żadnego, to znaczy nie da się dopasować, zero.
6273:  Ja miałem tak mało źródeł na temat tego, o czym pisałem, że musiałem zacytować artykuł pod tytułem Wszoły Malofaga, nie żartuję, bo tam się pojawiło słowo allotopia.
6283:  To była moja magisterka, ja nie miałem żadnego wsparcia od promotorki, to było okropne.
6287:  Byłem na seminarium z kategorii cielesności w literaturze polskiej i zero pomysłu, zero wsparcia, wszystko musiałem zrobić sam.
6296:  Okropne.
6297:  A ludzie na sąsiednich seminariach robili sobie, lajtowo, zrobimy sobie licencja do Miłoszu, ojej.
6304:  I teraz mogli sobie przebierać w tysiącach różnych tekstów na ten temat.
6312:  Nie, to jest trudny fragment dla mnie, powiem wam.
6316:  Każda gra Faurin Bethesdy jest słaba na premierę.
6319:  Skyrim na premierę miał tak dużo bugów, że był niegrywalny praktycznie.
6324:  Na przykład, jak porówna się też fabularnie Dawn God i główną fabułę Skyrima, to to jest jak dwie różne gry.
6331:  Dawn God ma rewelacyjną fabułę, a fabuła Skyrima główna jest pomijalna.
6339:  Nie, nie mogę po prostu.
6341:  To jest straszne.
6343:  Czyli ty zacytowałeś z tej pracy praktycznie wszystkie źródła?
6345:  Gorzej, Logol.
6346:  Ja musiałem je wymyślić.
6349:  Ja wam pokażę, bo i tak mi to nie idzie.
6352:  Zdaję sobie przerwę tym samym.
6354:  Ja wam pokażę mojej magisterce, gdzie jest ten, gdzie jest bibliografia.
6361:  To wszystko, nie żartuję, to wszystko, wszystko zostało wciśnięte na siłę.
6368:  Nic tutaj nie było takiego, co w 100% by mi pomogło, z wyjątkiem jednego tekstu.
6374:  Nie żartuję.
6376:  Gdzie on jest?
6378:  To był Umberto Eco.
6380:  Po drugiej stronie lustra i inne eseje.
6383:  Cała reszta, cała reszta musiała być dobrana na siłę.
6386:  Cała reszta.
6389:  To było tak straszne.
6390:  Cierpiałem pisząc tę książkę.
6392:  Praca magisterska po tę książkę.
6394:  Okropne po prostu.
6395:  Musiałem się przeryć przez teorię literatury całą, w której nie było słowa na temat fantastyki.
6400:  Ale wiecie, przynajmniej mogę powiedzieć, że w całej teorii literatury od 1940 roku do 2005 nie było słowa, nie było ani jednego przypadku zacytowania czegokolwiek z fantastyki.
6418:  Na kanale Zero rozwiązywali maturę podstawową z polskiego i zaprosili typowo polonistkę.
6425:  Powstrzymam się od komentarza.
6431:  Ale jednak to powiem.
6432:  Myślę, że kanał Zero jest ostatnim źródłem jakiejkolwiek wiedzy na temat edukacji i nauki.
6441:  Natomiast obecność takich ludzi jak dr Tomasz Rożek określiłem na Twitterze jako wisewashing.
6448:  Bardzo jestem dumny z tego określenia i chcę je popularyzować.
6451:  Czyli wiecie, zatrudnienie palu jajo głowy, żeby się wydawało, że jest merytorycznie.
6458:  Dobra, dobra, dobra, dobra, dobra.
6461:  Teraz co?
6461:  Teraz co?
6462:  Teraz co?
6462:  Teraz co?
6463:  Teraz co?
6464:  Teraz co?
6464:  Teraz co?
6465:  Teraz co?
6466:  Dasz?
6471:  No i, no i co?
6475:  Horror!
6480:  Znaczy ja uważam, że po tym, co nagrał Dawid Myślec na temat kanału Zero, po prostu jeżeli tam się klika, to klikać należy tam po Janoszek, etc.
6490:  Znaczy to jest pudelek, to jest YouTubowy pudelek po prostu i trzeba go traktować tak jak pudelek, a jeżeli chcecie źródła na temat edukacji, no to są inne kanały, tak samo jeżeli chodzi o źródła na temat nauki.
6500:  Na przykład jest Nauka to Lubię Tomasza Rożka, gdzie przynajmniej będziecie mieli opinię, która nie jest w żaden sposób zmącona podległością zawodową i zależnościami innymi.
6513:  Twoje prace są ważne, bo nasze przyszłe będą zniszczepać przez łózek.
6516:  Wiecie co, zupełnie szczerze wam powiem, macie dzisiaj gderliwego Krzysztofa, ale zupełnie szczerze wam powiem, że takie wasze komentarze bardzo mi dużo dają, ponieważ ja jestem coraz bardziej zafrasowany tym, jak wygląda nauka.
6533:  Mam coraz mniej sił i chęci.
6536:  Bo niestety jest to system, w którym się wspiera wyłącznie gwałtowny rozwój i w którym się wspiera wyłącznie koniunkturalność, pisanie o tym, o czym wszyscy piszą, kombinowanie.
6547:  Natomiast wartościowe rzeczy, które człowiek stara się zrobić, które są na przykład doceniane za granicą, nie będą doceniane w kraiku nadwiślańskim, paskudnie powiem jak raz o mojej ojczyźnie, z tego względu, że ktoś stwierdzi, że to nie ma punktów.
6564:  Dla mnie to jest po prostu, dla mnie to jest oburzające, ja nie jestem w stanie tego wytrzymać.
6568:  Ja się mogę z tego śmiać, ale mnie to utrudnia bardzo egzystencję i pracę.
6576:  Więc wiecie, gdyby nie YouTube, ja byłbym znacznie bardziej skwaszony.
6578:  Dobrze, dobrze, dobrze, dobrze, dobrze, dobrze, dobrze, dobrze, dobrze, dobrze, dobrze, dobrze.
6586:  Nooo, prawie!
6596:  Czy mówią humanistycy też w naukach ścisłych?
6598:  Ej, unikam, Tymoteuszu, nauk ścisłych, ja się nie znam na tym.
6602:  Polecam, jeżeli chodzi o zagadnienia z zakresu fizyki, Tomasza Rożka, jeżeli chodzi o zagadnienia z zakresu chemii i biologii, uwaga, naukowy bełkot.
6612:  I takim kluczem bym, albo jeżeli chodzi o astrofizykę, astrofaza, alf z zagranicznych, absolutnie Veritasium, wybitny kanał, Kurzgesagt, następny wybitny kanał.
6630:  Czemu nie zrobiłem długiego skoku tutaj?
6641:  Czemu mnie tutaj odbiło w tym momencie?
6643:  To jest dziwne.
6643:  Dobra, chyba wystarczy rzeczywiście muzyki, bo ja już jej nie słyszę, ale pokazuje się, moi drodzy, ciekawa różnica osobnicza między nami.
6651:  Mianowicie ja mam tak, że jeżeli słyszę muzykę mantryczną, to ja się uspokajam.
6657:  Natomiast dużo ludzi nie.
6660:  I trzeba o tym pamiętać.
6666:  Więc jeżeli macie tak jak ja, nie przeszkadzał wam ten fragment, to wyciągnijcie wnioski do nauki, polecam zapętlić sobie jakąś muzykę, haha, albo do pracy, bo to znaczy, że łatwiej odpływacie.
6687:  Jesus Christ.
6697:  No przecież wcisnąłem.
6706:  Dobra, ale ja sobie dam... O, tak chytrze zrobię, żebym ja słyszał dźwięki z gry.
6713:  Bo mnie one pomagały.
6720:  No i... No i nie.
