Za Aiur! | STARCRAFT 2 Livestream #6
🔗 https://www.youtube.com/watch?v=37NWlyITPD8

51:  Wielkie dziękuję.
3740:  Monty Python i Święty Graal?
3742:  O, jak lubię.
3744:  Odczewanowanie umy wymagało odpowiednich ram czasowych.
3747:  No właśnie.
3748:  I czy Krzysztof był nim zadowolony?
3749:  Nie.
3752:  Nie.
3752:  Eee... Tak.
3761:  Przyzwać zakład robotyki.
3763:  Dzisiaj gra agiechem.
3768:  Aaaa!
3769:  Więcej wespanu!
3771:  Takie buty!
3772:  Dobrze.
3774:  Dobrze, dobrze, dobrze.
3777:  Świetnie, że wracasz do służby.
3781:  Into the Breach jest dotana na Netflixa.
3783:  Ja czekam na Edgerunnera i na kontynuację Winxów, która będzie w przyszłym tygodniu.
3792:  Mikołaj pisze, że pamięta jak jego dziewczyna zawsze do wypracowań dawała Naruto i mu było mówione, że tak nie wolno i co na maturze też się odwołała do Naruto i zdobyła świetny wynik.
3800:  Przy czym teraz będzie problem, o czym postaram się wam powiedzieć w jakimś materiale, mam nadzieję, że znajdę na to czas, bo jest teraz z nim bardzo ciężko.
3810:  a mianowicie, że została wymieniona lista kontekstów.
3813:  To już nie jest tak, że możecie jako kontekst mieć dowolny tekst kultury, tylko teraz kontekst został zdeterminowany.
3820:  I co jest kontekstem, moi kochani?
3822:  Myślicie, że jest tam gra wideo jakoś?
3826:  Haha, dobry dowcip, skąd?
3829:  Jako kontekst jest wymieniona na przykład biografia autora, o, to jest wymienione jako kontekst, fajne, prawda?
3839:  A tak naprawdę to nie.
3843:  Tak naprawdę to nie jest fajne, tylko jest żenujące i żałosne.
3852:  Więc tak, konteksty teraz są zdeterminowane i nie można sobie interpretować tak, by się chciało.
3862:  Są wiecie, layers upon layers of lame, jeżeli chodzi o edukację.
3867:  Moje życie za ajur!
3871:  Czyli cała ta, wiecie, gadka o tym, że o, że, że interpretacja, kultura, nie, ta furda, jaka interpretacja, jaka kultura?
3882:  Liczy się tylko recytowanie tego, co jest częścią XIX-wiecznej humanistyki, od której się dawno odchodzi.
3889:  Metody biograficzne w humanistyce zostały, ojojojoj, idziemy stąd, zostały już tyle razy odrzucone, że nawet nie zliczę.
3897:  Przecież nie będziemy walczyć z Voidreyami, nie mamy w ogóle przeciwlotniczych, niestety, żadnych sił.
3905:  To się teraz zmieni.
3906:  Dobra, teraz... Wysta jezu.
3915:  Dobra, damy radę.
3925:  to planeta Skavenów.
3927:  Chciałbym.
3928:  Naprawdę bym chciał, ale tak niestety nie jest.
3930:  Dobrze, nadróbmy Tylony w takim razie.
3935:  Bardzo lubię tworzyć tego rodzaju formacji z Pylonów.
3939:  Nie wiem dlaczego.
3946:  Nie!
3948:  Musi być ślicznie.
3949:  Dobrze, jest ślicznie.
3952:  i powiedzmy jeden nieśmiertelny i troszeczkę robicieli.
3959:  Jak to możliwe, że egzaminuję bez ograniczenia czasowego?
3961:  Co na to kuratorium?
3965:  Tak, bardzo dużo ludzi mówi, że Krzysztof, ale co, ale jak?
3969:  Po czym przychodzi komisja akredytacyjna i ocenia moje zajęcia jako najlepsze, więc ten straszak, moi drodzy, jest tylko tym właśnie straszakiem i nie działa.
3978:  A prawda jest taka, że ludzie się wykręcają tym, że kuratorium, że to, że tamto, że komisja akredytacyjna, ponieważ po prostu nie chcą robić innowacji.
3987:  Tylko dlatego, nie dlatego, że to jest prawda, a skąd?
3990:  To jest nieprawda.
3991:  Można robić wszystko to, co się chce robić, można dokonywać takich innowacji, jakie się chce dokonywać, tak długo, jak długo są efekty.
3999:  Jeżeli są efekty, to nikt Wam nie będzie mówił, że jest coś nie tak.
4004:  Ale tak, za każdym razem, jak mówiłem kolegom moim o tym, to mi mówili, Krzysztof, ale się nie da!
4009:  Nie można!
4010:  Jak to?!
4011:  Nie da się!
4015:  Otóż da się.
4019:  Dobra, w sumie możemy tutaj wybudować nowy Nexus.
4024:  W lotnictwo bym chętnie zainwestował, tylko mamy bardzo niewiele wespanu.
4027:  Do lotnictwa trzeba setki wespanu.
4030:  Czy pylony potrafią zapylać?
4032:  Meditate on this, we will.
4044:  I najlepsze w tym wszystkim jest też to, że jeżeli ktoś by się na przykład obawiał, że o, że egzamin bez limitu czasowego będzie niemiarodajny.
4053:  Miałem dokładnie takie same procentowo, jeżeli bym na to patrzył, wyniki zdawalności i niezdawalności, co przy egzaminach, które miały limit czasowy.
4062:  Ma żadnej różnicy.
4064:  Dragomira chciałaby się poskarżyć, że YouTube nie poinformował o trwającym streamie.
4068:  To się zdarza.
4070:  YouTube teraz nie ma w dupie wasze subskrypcje.
4073:  YouTube się interesuje tylko tym, co klikacie aktualnie.
4076:  Więc jeżeli ktoś na przykład ostatnio dużo oglądał filmów z kanału i binge'ował je, to wtedy będziecie mieć powiadomienia.
4083:  W innych okolicznościach nie.
4088:  Niedasizm to straszna plaga.
4089:  Ładne określenie, Tomek.
4090:  Niedasizm.
4092:  Tak, to jest... 90% przypadków to są wykręty.
4098:  Na przykład prowadzący fanpage KońMówi, czyli Marcin Kończewski, serdeczne pozdro dla Marcina, z którym czasem rozmawiamy bez schematu, jest polonistą.
4106:  Jak ja zobaczyłem, jaka jest jego sala w publicznej szkole i że czyta fanpastykę z ludźmi, nie ma z tym żadnego problemu, wydawało mi się, że to jest w ogóle niemożliwe.
4115:  Da się, da się.
4117:  To trzeba chcieć.
4124:  Jestem dumny, mroczny.
4125:  Niezrozumiałe udactwa należą do wybranych!
4153:  Jakie rozerwanie rdzenia?
4161:  Jakie rozerwanie rdzenia?
4167:  Rozerwanie rdzenia brzmi jak coś złego. ...
4181:  Już się przeraziłem, że jednak jest jakiś time gate.
4187:  Czy to chodzi o to, że gaz z dziurek... To nie mogę omówić wybuch sejsmiczny!
4193:  Wybuch sejsmiczny jest normalnym określeniem.
4197:  Dobra, chcę więcej.
4199:  Dobra, teraz możemy iść w lotnictwo.
4204:  Albo wiecie co?
4205:  Bazę lotniczą sobie zrobimy tutaj.
4208:  O tak.
4214:  No.
4220:  Dobra.
4222:  Idziemy.
4226:  Jak znaliście podstawy programowej, którą nauczyciele muszą realizować?
4232:  W sensie, jako przyszły nauczyciel mogę sobie olać to, że uczniowie będą się chcieli uczyć czegoś innego?
4237:  Czy nie mają zdać egzaminy?
4240:  W jaki sposób doprowadzisz do tego, że uczeń zda egzaminie, to jest Twoja sprawa.
4244:  Moim zdaniem zachęcenie ludzi do czytania jest o wiele ważniejsze niż to, żeby mieli śliczne osiągnięcia na egzaminie, a coś mi mówi, że w momencie, w którym będą zachęceni do pisania i do czytania, może im pójść egzamin nawet tak głupi, jak jest w tej chwili łatwiej.
4265:  Skąd tu jest lotniskowiec?
4266:  Come on!
4267:  Z jakimi my się tutaj siłami musimy mierzyć?
4273:  Kolosy i wejściówki.
4274:  Nie przerażajcie mnie z wejściówkami.
4275:  Wiecie, że ja nie wiedziałem, czym są wejściówki?
4277:  Dla tych z Was, którzy też nie wiedzą i są szczęśliwymi ludźmi, wejściówki to są kolokwia na wejście albo kartkówki na wejście.
4287:  Fajnie brzmi, nie?
4288:  Wchodzicie do sali i macie wejściówkę.
4291:  Jedyna wejściówka, którą ja kojarzyłem, to jest wejściówka do teatru albo do kina.
4296:  To są wejściówki, które ja kojarzyłem.
4301:  Po prostu... Druga złośliwa rzecz, którą mówię, to to, że jeżeli to się dzieje na uczelniach, to ewidentnie naukowcy nie mają nic do roboty i usiłują sobie coś rekompensować.
4316:  Mnie autentycznie by się nawet nie chciało.
4321:  Znaczy, nie chciałoby mi się.
4324:  Nie chciałoby mi się robić takich rzeczy.
4326:  Szkoda mi na to czasu.
4328:  Ja w półtorej godziny jestem ledwo w stanie nadrobić wszystkie te zaległości, które są po pieprzonej szkole, która eliminuje z nauczania całą popkulturę popularną i fantastykę i ledwo mi starcza tej półtorej godziny.
4341:  Zresztą widzieliście, jak dyskutowaliśmy o Amazonie, ile potrzebowałem czasu na to, żeby wytłumaczyć pewne rzeczy.
4348:  bo ludzie będą mówić, że nie ocenia się przed obejrzeniem.
4351:  Tak, debilu, nie ocenia się przed obejrzeniem, ale jeżeli coś jest fantastyką, to oceniasz wtedy inne rzeczy.
4358:  Oceniasz wtedy projekt świata, oceniasz projekt lokacji, oceniasz casting, oceniasz projekt postaci, oceniasz lore, oceniasz miliard różnych innych rzeczy, których nie oceniasz przy House of Cards.
4373:  Więc wiecie, jeżeli idziemy na wyższy poziom uniwersytecki, to wyobraźcie sobie, ile wtedy jest rzeczy do nadrobienia.
4384:  Na pierwszym roku medycyny, pisze DW, z najważniejszych przedmiotów miały wejściówki, łącznie trzy w tygodniu.
4388:  Jezus Maria, dajcie spokój.
4392:  Dajcie spokój.
4394:  Wypluło pierdy!
4397:  Idziemy po nie natychmiast.
4401:  Dobra, możemy wykorzystywać teraz wreszcie już boost cybernetyczny, to mi się podoba.
4410:  Dobrze.
4414:  Będziemy w ten sposób szybciej przyzywać jednostki, ponieważ protosi także jednostki przyzywają, to jest ciekawe.
4424:  Na Polibudzie wejściówki były standardem już 10 lat temu, pisze Dragomira.
4428:  Koszmar!
4430:  antynaukowy, głupi, bezecny koszmar.
4439:  A potem sami naukowcy chwilą, że uuu, deadline, nie zdążę napisać tekstu, o nie, bo się tak źle czuję, nie potrafię pracować pod presją czasu, uuu, uuu, nie zdążę, o nie, bo ja mam dzieci, ja mam grant, ja mam to, a co, a student nie ma?
4462:  Oczywiście, że ma.
4468:  Mam wrażenie, że prosta rozgrywka strategiczna nie nastraja mnie pozytywnie, nastraja mnie nerwowo.
4484:  Dobra.
4484:  Wiecie co, zróbmy sobie tutaj rzeczywiście radosny
4490:  radosną tarczę, serdeczną i radosną tarczę, bo niepokojące rzeczy widzę.
4495:  Good.
4500:  Fantastycznie, fantastycznie.
4504:  Tak sobie myślę, że możemy jeszcze stworzyć jeden Nexus na północ tutaj.
4511:  Good.
4518:  Moje życie zatrzymałeś!
4535:  Czy protosi potrafią pracować pod presją czasu?
4537:  Protosi mogą przyspieszać czasoprzestrzeń, zakrzywiać czasoprzestrzeń.
4542:  Protosi sobie radzą z takimi rzeczami.
4544:  Czy słyszałem o egzaminach na rozpoczęcie roku po wakacjach?
4546:  Pyta Koopson.
4547:  Nie, nie słyszałem o tym.
4549:  Nie przerażajcie mnie.
4550:  Ja mam... Ja mam nerwy w postronkach, tak?
4559:  Nie, nie można przerażać.
4561:  Dobrze, tutaj już nie musimy iść.
4563:  To wszystko mamy.
4565:  Nexus jest w razie czego kolejny, rezerwowy.
4568:  I mamy natomiast dużej armii, to mnie tylko bardzo martwi.
4570:  Ok.
4573:  To jest dobra wiadomość.
4578:  Tak zwane diagnozy.
4580:  To egzaminy na rozpoczęcie roku?
4586:  Za jakie grzechy?
4591:  Na kierunkach medycznych to normalne, że przy stronie stentowej ograniem zaliczeń materiału to dobra szkoła życia.
4596:  Mam wrażenie, że praca z pacjentem byłaby lepszą szkołą życia na kierunku medycznym, ale wasze opowieści sprawiają, że coraz bardziej rozumiem, dlaczego jak poszedłem kiedyś do urologa, i to jest autentyk, nie miałem źlonego pojęcia, co mi się dzieje, myślałem, że mam kolki nerkowe.
4613:  Okazywało się, że nie, że to nie są kolki nerkowe, ponieważ wszystkie badania, które robiłem wynikały, że nie mam kamicy moczanowej.
4620:  Nie mam głównych rzeczy, która powoduje w głównym stopniu kolki nerkowe.
4624:  No więc wyłaziłem od lekarza do lekarza.
4626:  I shit you not, jeden z lekarzy zrobił mi następującą diagnozę, to był lekarz prywatny, żeby nie było, i powiedział, he, he, he, he, pojebie pan, to się przetka, he, he, he, he.
4638:  Ja powiedziałem, wie pan, jeżeli bym chciał taką diagnozę, to sobie potrafię ją sam doświadczalnie wystawić i sprawdzić, co się irregularnie czyni, ale do pana przychodzę po to, żeby dowiedzieć się coś bardziej fachowego na temat przetykania mojego układu.
4653:  Wziął za to 600 zł.
4659:  Mam wrażenie, że wiem już, gdzie się kształcił.
4662:  Prawdopodobnie miał dużo wejściówek, a mało pracy z pacjentem.
4669:  Potem się okazało, że to nie była kamica moczanowa, tylko przewężenie nerki, które było, jest genetyczne i nic z tym się nie poradzi.
4678:  Ale trzeba było do tego kompetentnego człowieka, który leczy człowieka, a nie leczy objawy, o których przeczytał w podręczniku.
4688:  Dobrzy lekarze właśnie to wam powiedzą, że leczy się człowieka, a nie chorobę.
4693:  To jest dokładnie ten sam problem, który mamy w systemie.
4696:  System nie patrzy na ludzi, jak na ludzi, których ma uczyć.
4701:  Oczywiście, że zapłaciłem, ponieważ spryciarze zawsze biorą z góry.
4718:  Nie dość, że lekarz to jeszcze stand-upers, bywają tacy, bywają tacy.
4724:  Mnie wtedy totalnie nie było do śmiechu, bo to bóle, które są przy kolkach nerkowych są konkretnymi bólami.
4731:  Potem dowiedziałem się, że ból przy kolce nerkowej to jest nic w porównaniu do bólu porodowego i wtedy bardzo spokorniałem.
4741:  Dobrze, potrzebujemy na wszelki wypadek trochę zelotów i jeszcze trochę wartowników i myślę, że możemy powolutku atakować.
4747:  I widzicie, to są miłe misje.
4749:  Człowiek spokojnie się to zbraja, nie ma wyścigu zbrojeń.
4755:  Czy Zeratul już spotkał Artanisa?
4756:  Na razie jesteśmy w misjach Zeratulowych czysto.
4762:  Ooo, gnuśne próbniki!
4765:  Wysłać natychmiast gnuśne próbniki do pracy.
4771:  Lecimy.
4778:  Ojej, Tarael pisze coś po francusku.
4779:  Witamy Taraela, swoją drogą.
4781:  Ale żem ja wiedział, jak to przeczytać.
4785:  Żem ja wiedział, jak to przeczytać.
4788:  Ale bo wiecie co?
4789:  Dokształćmy się.
4790:  Dokształćmy się.
4791:  Będziemy wiedzieć, jak to przeczytać.
4794:  Będziemy wiedzieć, jak to przeczytać.
4795:  Eee...
4799:  Google Translate.
4802:  Tak jest.
4802:  Wykorzystamy najwybitniejsze narzędzie, które jest znane ludzkiej cywilizacji, moi drodzy.
4808:  Najwybitniejsze narzędzie wykorzystamy.
4810:  I teraz wpiszemy tutaj oczywiście domyślnie język rosyjski.
4813:  Nie mam pojęcia dlaczego.
4815:  Znajdźmy język francuski.
4817:  Tarell nam nie ułatwia życia.
4819:  Wpiszemy to, co Tarell powiedział.
4822:  Że co kurwa?
4828:  Je suis le vieux père Lapourge, pharmacien de l'humanité.
4835:  Jestem stary ojciec Lapourge, farmaceuta ludzkości.
4840:  Idę o każdy zakład, że to znaczy coś innego.
4852:  Zaprawdę powiadam wam, oto fosa.
4859:  Ja nic nie mówię.
4866:  Właśnie wróciłem, pisze, Giovanni z Narodowego Czytania, festiwal śmiechu i cringe'u pod patronatem prezydenta, ale przynajmniej pośmiać się z Mickiewiczem można było.
4873:  Oczywiście, że nie będziemy mieli festiwalu czytania Andrzeja Sapkowskiego.
4878:  Wiecie, co się prędzej stanie?
4880:  Jamnik przestanie jeść, piekło zamarznie, a ja zacznę czytać Olgę ***.
4884:  To się prędzej stanie, niż będziemy mieli Narodowe Czytanie z Andrzeja Sapkowskiego.
4889:  Tłumaczenie jest dobre?
4891:  To jest taka śmieszna piosenka anarchistów po komunie.
4894:  O rany!
4895:  Czyli Google Translate przestał być żenujący.
4903:  Peratak gulal.
4909:  Atak!
4913:  Ale mamy bardzo dużo stalkerów.
4917:  Dlaczego prędzej jamnik przestanie jeść i jamniki mają obsesję na punkcie pożywienia, nie wiecie?
4923:  Jeżeli mi nie wierzycie, zobaczcie kanał Lulu and Friends.
4935:  Zobaczymy, czy ten bój będzie chwalebny faktycznie.
4941:  Okej, lotnictwo tutaj się bardzo przydaje.
4946:  Natomiast jeżeli chodzi o tłumaczenia, to niezmiennie polecam Context Reverso.
4950:  Znakomity program.
4955:  Dobra.
4966:  Zwycięstwo.
4968:  Tak.
4968:  Ale wiemy, że Taldarimowi źle z naszą przegraną.
4972:  Przybędą swojemu wielkiemu wodzowi na ratunek.
4976:  I to licznie.
4978:  Ruszaj, Zeratul.
4980:  Znajdź odpowiedzi, których szukasz wewnątrz świątyni.
4983:  Nasze ostrza dadzą ci czas, którego potrzebujesz.
4987:  Dziękuję ci, Talis.
4989:  Entaro tasadar.
4991:  Entaro, Zeratul!
4992:  Adintulgas, bracie.
4998:  Ależ tu jest muzyka.
5002:  Przepiękna.
5017:  Proszę, Oxford Dictionary zastąpi... Jak to Oxford Dictionary jest za paywallem?
5023:  Czy oni ocipieli już do reszty?
5025:  Co jeszcze będzie za paywallem?
5032:  Tomasz Maleńczyk poleca doktora Chrisa Raynor'a, który na YouTubie zrobił dwa filmy analizujące przemianę Space Marine z Morohamera 40.
5039:  Bardzo dobra analiza pod kątem medycznym.
5040:  O, to byłoby mi bardzo ciekawe.
5041:  Podróż na Discordzie, jeżeli masz moment.
5044:  Czy widziałem dyskusję na kanale Szymon Mówi na temat fandomów fantasy?
5048:  Nie widziałem.
5048:  Nie widziałem.
5052:  Generalnie moja uwaga na temat fandomów.
5054:  Pamiętajcie, że fandomy zachodnie i fandomy polskie to jest zupełnie co innego.
5059:  I od tego trzeba zacząć dyskusję na temat fandomów.
5068:  Ten oficjalny akademicki jest... ale to jest skandal, Rafa, absolutny.
5073:  Nie powinni tak robić.
5075:  Nemor pisze coś po francusku.
5078:  Nie wymagajcie ode mnie, żebym to czytał, absolutnie nie.
5079:  Wielki Wozu!
5080:  Intrusi przemieni się do świątyni!
5089:  Wkrótce tutaj dotrą!
5090:  Zamknąć przejście!
5090:  Skontaktuję się z Panem.
5091:  Jak każesz ostrze Amona,
5100:  Wielki scyzorek.
5100:  Musimy pokonać wielki scyzorek.
5104:  Zeratulu, Taldarimowie kontratakują.
5108:  Hybrydy zaatakowały nasze siły.
5110:  Czy dotarłeś już bezpiecznie do świątyni?
5114:  Tak, ale przejście zostało zamknięte.
5117:  Taldarimowie zapewne podejrzewają obecność intruzów.
5122:  Moi templariusze walczą z wrogiem.
5124:  Musisz kontynuować sam.
5126:  Postaram się monitorować twoje postępy.
5129:  Wojownicy, musimy ruszać dalej.
5133:  Od tego zależą losy galaktyki.
5139:  No więc tak.
5141:  Mała przerwa, bo to jest ważny wątek.
5144:  Na Zachodzie nie ma takiego zjawiska jak u nas.
5147:  To znaczy w krajach anglosaskich, w Ameryce, w Stanach Zjednoczonych, przede wszystkim w Europie Zachodniej, z wyjątkiem Francji, co ciekawe, nie ma dyskryminacji fantastyki ani w szkolnictwie, ani w innych miejscach.
5159:  Do rzadkości należą sytuacje takie, żeby ktoś nie uznawał np.
5163:  wybitności Tolkiena jako twórcy i prozaika, do rzadkości należy wyłączanie fantastyki z definicji, z list lektur i tak dalej.
5172:  Skutkiem tego fandomy nie odczuwają tego, co fandom polski, a w fandomie polskim, jeżeli porozmawiacie I dare you z kimkolwiek,
5180:  będzie mówił to z grubsza co ja w 80, 90, czasem 100%.
5184:  To znaczy, że był baszowany za czytanie fantastyki, wyśmiewano się z niego jako nerda, szykanowano na najróżniejsze sposoby i potem niestety bardzo często jest tak, że
5196:  fandom się radykalizuje jeszcze bardziej, ale w tym konkretnym przypadku, i tu jest różnica między fandomem polskim a zachodnim, ma powód.
5203:  Ja uważam, że w momencie, w którym ktoś jest szykanowany przez całe życie i potem przez resztę swojego życia będzie się wyzłośliwiał na temat Olgi D***czuk, jest bardziej usprawiedliwiony niż ten, kto nie był w żaden sposób szykanowany nigdy za swoje zainteresowania,
5217:  a zachowuje się nieodpowiednio na jakimkolwiek innym froncie, nawet bardzo nieodpowiednio, to jest to wtedy moim zdaniem bardziej do usprawiedliwienia.
5224:  Więc to jest taka naczelna i podstawowa różnica między fandomami, to znaczy edukacja i kultura, jaka jest w danej społeczeństwie i w danym świecie.
5232:  To jest najważniejsza rzecz.
5234:  Fakt, że u nas imprezy typu 40-50 tysięcy osób, spotkania konwentowe nie są w żaden sposób obecne w mediach, nie są dofinansowane przez Ministerstwo Kultury, jest nie do pojęcia.
5246:  Na świecie ludzie, jeżeli widzą, że jest duże zainteresowanie koncertem, ładują w to pieniądze, ponieważ widzą w tym, myśląc kapitalistycznie i sensownie, możliwość zysku.
5257:  W Polsce nienawiść wobec fantastyki i kultury popularnej jest tak wysoka, że nawet ministerstwo machnie ręką na zysk, machnie ręką na wysokie słupki poparcia, ponieważ będą woleli trzymać z ludźmi, którzy tworzą kuletuchę w Polsce.
5273:  Tylko, że ta kuletucha jest nie...
5276:  nie absorbuje tak wielu osób, jak chociażby rzeczony Pyrko.
5280:  Więc to jest ta kluczowa i podstawowa różnica.
5284:  Dlaczego nie klikasz na jednostki?
5289:  A to jest słuszna uwaga, bo chyba są dalej ukryte teksty.
5293:  Jestem jądrem ciemności.
5299:  Wyraź swą wolę.
5299:  Dzięki za trybun, Cyfer.
5300:  Jesteśmy jednością.
5306:  Jestem głosem zaćmienia.
5310:  Moje serce jest zimniejsze od tych zdalowych kończyn.
5313:  Zmrok przychodzi, kiedy musi.
5321:  Jesteśmy tylko cieniami w odchłani.
5323:  Słyszę, zwracasz się do mnie.
5330:  O Boże, Jądro Ciemności przypomina Pitcha Sagano.
5332:  Nie przypominają takiej rzeczy.
5344:  Odpowiedzialność mnie przygniata.
5347:  Zostanę odkupiony.
5348:  Odpowiedzialność mnie przygniata.
5349:  Nie spocznę, póki nie uzyskam odkupienia.
5353:  Śpieszę ze wzmożoną determinacją.
5360:  Nie zawaham się, nie zatrzymam.
5363:  Nasi wrogowie polegną.
5365:  Podczas najciemniejszej nocy czekamy na nadejście świtu.
5375:  Gdy piasek przemieszcza się swobodnie po marmurowym krześle, tego dnia dłużą się godziny.
5381:  To było podobnie randomowe jak teksty Sultana z twierdzy.
5385:  Zeratul jest od dzisiaj królem randomu.
5393:  Odesłać tych innowierców to odchłani!
5403:  Jestem głosem.
5403:  Jestem ją.
5404:  Pola siłowe.
5404:  Musimy użyć mignięcia, aby je ominąć.
5405:  Zeratulu.
5406:  Dziękuję.
5410:  Dziękuję.
5420:  Good.
5425:  Wyrażam swą wolę.
5427:  Poruszajcie się nieustraszeni.
5437:  Czy polecam Artefakty od Magna na rozpoczęcie czytania science fiction?
5442:  W Artefaktach jest postmodernistyczna sci-fi, okej, więc...
5447:  Ja bym zaczął raczej od czegoś klasycznego na samym początku.
5450:  Albo zacząłbym od jakiejś military science fiction, czegoś w stylu Marcina Przybyłka, np.
5454:  Game Deck, albo Linda Nagata, Czerwień, albo pobór Marta Koklosa i następne tomy.
5460:  Coś, co będzie bardziej sensacyjne.
5461:  I potem jak zobaczysz, jak wygląda klasyka, to możesz zobaczyć, jak wygląda coś ekstra względem tej klasyki.
5477:  Jak dużo mam trust issues?
5479:  Hahaha.
5481:  Moi drodzy, nie należy ufać niczemu i nikomu, chyba że się sprawdzi przynajmniej 10 razy w 10 różnych źródłach.
5490:  To jest zasada, którą stosuję w życiu i w pracy.
5499:  Łuhuu!
5505:  Szkoda, że oberwaliśmy.
5511:  Nie lubię obrywać.
5514:  Witamy proroka Kaczk!
5515:  Zobaczyłem dużo Kaczk na czatach, już wiedziałem, już wiedziałem.
5519:  A, nie!
5520:  Krzysztof Off przekazuje błogosławieństwo proroka Kaczk po dzisiejszym konklave stolicy kaczkostolskiej w Lublinie.
5526:  Kaczk będzie z nami.
5527:  Boże, prorok Kaczk ma już swoich emisariuszy.
5531:  This is getting out of hand!
5533:  Now there is two of them!
5534:  Czemu ja nie mam tego na soundboardzie?
5538:  Czemu ja nie mam tego na soundboardzie?
5540:  Czy ktoś na czatach wie, jak zdobyć MP3-ki z filmów tego typu?
5545:  Drażni mnie to, że muszę to wycinać sam.
5554:  E!
5555:  E!
5556:  Dziękuję.
5569:  Zniszczyć działo Taldarimów.
5577:  Cześć Robert, witamy serdecznie.
5581:  Dobrze!
5582:  Chcemy wsparcie, ale czy nas wyleczą też?
5585:  To byłoby cudowne.
5587:  Tak!
5587:  Nie.
5589:  Niestety.
5593:  O, jak mówił Arthur Wesley, nie ufaj niczemu, czego mózgu nie możesz zobaczyć.
5596:  To jest mądre.
5598:  To jest mądre.
5599:  Wszystkich, którzy przybyli, informuję, że mamy rzygającego jamnika.
5603:  Co tu jest?
5604:  Działo cząsteczka.
5605:  Czy myśmy tego działa nie... Nie no, nie mogliśmy go zdobyć i zniszczyć, prawda?
5611:  Prawda?
5613:  PRAWDA?
5623:  ZERATUL!
5624:  E!
5624:  E!
5625:  E!
5626:  ZERATUL!
5628:  Co on zrobi?
5629:  Aaa!
5633:  Pancerz.
5636:  Okej, jakoś kompletnie to pominąłem.
5646:  Ale Zeratul autentycznie nie używa tego... Aaa, bo trzeba kliknąć.
5649:  Okej, czuję.
5656:  O, mamy problem.
5667:  Nie podoba mi się to, co widzę.
5675:  Absolutnie mi się to nie podoba.
5678:  Absolutnie mi się to nie podoba.
5679:  Okej, będziemy musieli zrobić loada.
5683:  Tak, musimy zrobić loada.
5684:  Nie, no to jest trudna misja.
5686:  Nie pamiętałem tego.
5688:  Przebudzenie zła.
5689:  Chyba to.
5692:  Witamy szećmana cichowskiego w rolnie trybutariuszy.
5701:  Jest okazja na to, żeby się zajamniczyć myjmi.
5703:  No, come on.
5709:  Trzeba niestety będzie zastosować taktykę... posuwisto-zwrotną.
5724:  Czy istnieje możliwość, żeby zorganizować bitwę na rzeganie między jamnikiem a Chihuahuą?
5728:  Proszę nie.
5729:  Proszę nie.
5737:  Ok.
5741:  Dobra.
5746:  Jak to totalnie było to dla mnie zaskoczeniem, że trzeba kliknąć bez sensu kompletnie.
5750:  Dobra.
5751:  Mamy większą armię.
5760:  Poczona kampanii Protossu Stone'u.
5761:  Aaaa!
5763:  Wiecie, zawsze trzeba myśleć o tym, że to jest rodzaj samouczka dla nowych graczy, którzy się dopiero oswajają z graniem Protossami, więc ja myślę, że spoko.
5774:  Bardzo niewiele!
5775:  Co to za wsparcie?!
5777:  Trzech tropicieli!
5780:  Że nadanie wsparcie!
5784:  Jak to jest z jednostkami protostosu egzoszkielety, czy ciała zamienne?
5787:  To jest tropiciel, który jest w egzoszkielecie, o ile mnie pamięć nie myli.
5792:  Tak, on jest w egzoszkielecie, ale część, duża część jednostek bojowych, to będą moi mini maszyny i konstrukty.
5806:  Podsumuję jakoś swoją recenzję.
5809:  Nie robiłem recenzji, to była tylko opinia na razie.
5813:  Recenzja będzie całego sezonu, natomiast ja na razie nie jestem zadowolony.
5820:  Wczorajszy stream był głównie po to, żeby udowodnić, że można było się wypowiadać na temat tego serialu, nie obejrzawszy fabuły, ponieważ fabuły nie ma, jest źle napisana, są fatalne dialogi, koszmarny projekt postaci i idiotyczne rozwiązania narracyjne.
5834:  Więc w zasadzie jest gorzej niż było wcześniej.
5839:  Wcześniej chociaż można było mieć nadzieję, że będzie lepiej.
5842:  Era jasna, no.
5845:  Jak to zrobić?
5847:  Wcześniej chociaż można było mieć nadzieję, że o, może będzie dobra ta fabuła.
5850:  Teraz już nie można mieć tej nadziei.
5857:  Bałem się, że żeby Seratul nie stracił zdrowia, to nie wiem, co tam będzie trzeba zrobić.
5863:  Czy bardziej się męczyłem przy Rings of Power czy przy Hobbicie?
5865:  Przy Rings of Power bez dwóch zdań.
5867:  Hobbit jest cudowny przy Rings of Power.
5872:  No.
5874:  Ależ ja nie znoszę tego.
5877:  No przecież szlak mnie jasny trafi.
5883:  Ładny, ale nudny?
5884:  Tak w dużym skrócie można powiedzieć.
5893:  Dobra.
5894:  Jeżeli uderzeniem cienia walniemy w działo, to istnieje szansa, że też trafimy hybrydę.
5899:  Szansa.
5904:  Ale tak nie było.
5910:  Możecie mi powiedzieć, co się właśnie stało?
5916:  Yyy, co?
5922:  Aaa, czaje.
5924:  Brak wykrycia.
5926:  Zadziałało.
5929:  Okej.
5930:  Czyli to będzie trzeba robić bardzo precyzyjnie.
5934:  Teraz sobie uświadomiłem, że Zeratul ma, yyy, tak.
5941:  Dobra.
5950:  Okej, okej.
5961:  Teraz tak, dwie opcje.
5964:  Albo eliminacja po kolei.
