DOŚĆ TOLERANCJI DLA OBLECHÓW | Dla każdego coś przykrego #13
🔗 https://www.youtube.com/watch?v=tyv_FL9tWac

29:  Naprawdę?
1797:  Ktoś szedł za mną, śledził mnie, znowu tym razem stalking, tak?
1802:  4%.
1802:  Dał mi jasno do zrozumienia, że jeśli nie zgodzę się na stosunek seksualny, to może mieć w przyszłości negatywne konsekwencje dla mnie, dla mojego rozwoju zawodowego.
1810:  To już jest przestępstwo i mamy tego 1%, ale w to też jest to przerażające.
1814:  Ktoś pokazywał mi materiały treści pornograficzne.
1816:  1%.
1816:  Nie doświadczałem innych form molestowania seksualnego.
1818:  Strach myśleć.
1819:  Jakich? 2%.
1823:  I znowu najczęściej dotyczy to kobiet i znowu 61,5% kobiet zdecydowało się opowiedzieć komuś o tym zajściu, natomiast wskaźnik ten spadał do 55,8% w przypadku kobiet, które doświadczyły opisywanego zdarzenia na terenie uczelni.
1846:  No i znowu możecie zapytać pytanie, dlaczego na terenie uczelni?
1850:  Bardzo prosto, jeżeli ktoś doznał tego rodzaju
1855:  zachowań ze strony ludzi, których cenił, których szanował.
1859:  Wiecie dobrze, że w Polsce też traktuje się ludzi z tytułami naukowymi z przesadną rewerencją i szacunkiem, jakby oni nie wiadomo kim byli.
1867:  I to jest spuścizna naszej tradycji, w której intelektualiści zawsze byli traktowani jako tam wyższa klasa.
1873:  To się różni swoją drogą od tego, jak jest w innych krajach.
1875:  Niemniej jednak obrzydliwie wykorzystują te sytuacje ludzie, którzy właśnie się w ten sposób zachowują, bo oni dobrze wiedzą.
1883:  Że jest właśnie taka rewerencja i szacunaj i dobrze wiedzą co wykorzystać, który guziczek nacisnąć, jak każdy oprawca, jak każdy człowiek, który znalazł się w niewłaściwym miejscu i w niewłaściwej pozycji.
1895:  I materiał, który zrobił dziki trener jest debilny, ale jest szkodliwie debilny.
1904:  Dlaczego?
1904:  Dlatego, że tu nawet nie chodzi o to, że on nie zna sprawy i się na jej temat wypowiada.
1908:  Tu chodzi o to, że nie zdaje sobie sprawy, nie wczuwa się w sytuację kogoś, kto jest zastraszony, permanentnie zastraszony, kto nie zgłosi się na wykładzie do odpowiedzi, bo się boi tego, jak jego odpowiedź zostanie odebrana przez innych studentów i prowadzącego, co jest problemem w tej chwili generacyjnym, a nie indywidualnym.
1929:  Więc jeżeli doświadcza jakiegokolwiek zachowania, które jest nieodpowiednie, to jest tym mniejsze prawdopodobieństwo, że coś z tym zrobi.
1938:  I zasranym obowiązkiem każdego pracownika naukowego jest to, że jeżeli student przyjdzie i zgłosi taką sytuację, ma się mu lub jej, prowadzącemu, prowadzącej, przedstawicielowi, przedstawicielce administracji, zapalić czerwona lampka
1960:  Nie chodzi o to, żeby wydawać werdykt przed wyrokiem sądu, tylko chodzi o to, żeby przeciwdziałać sytuacji.
1970:  żeby przyjrzeć się zachowaniu danego człowieka, na którego spływają tego rodzaju uwagi i żeby zapewnić studentom możliwość wykorzystania bezpiecznego kanału, przez który mogą takie uwagi przesyłać, a w ostatecznej kolejności zapewnić również im informacje dotyczące tego, gdzie się do kogo mogą zgłosić.
1991:  Niestety na uczelniach dominuje trzeci model.
1994:  To znaczy, o, w odpowiedzi na te zaterważające informacje powiadamiamy, że jest komisja do spraw takich, ciało do spraw śmakich, coś rada do spraw owakich i o, ile mamy różnych instytucji, cudownie.
2010:  Tylko, że te instytucje muszą mieć jeszcze kanały komunikacji.
2014:  A problem polega na tym, że jeżeli na, i dobrze to tym wie każdy, kto studiował na uczelni, problemem jest dowiedzenie się tego, jaki papier należy uzupełnić, żeby dostać stypendium, to naprawdę jest problem również z pozyskaniem informacji dotyczących tego, jak zgłaszać tego rodzaju sytuacje.
2028:  Powinny natychmiast powstać infografiki, powinny powstać stanowiska specjalne, które będą zajmowane przez mężów lub żony zaufania, które cieszą się
2040:  że dobrymi relacjami ze studentami mogą interweniować w takich sytuacjach i dostają narzędzia do interwencji, takie, żeby same się czuły bezpiecznie, zajmując określone stanowisko na uczelni, bo nawet najbardziej sprzyjający studentom człowiek, niestety, w momencie, w którym dostanie informację, że albo się zamknie, albo nie będzie mógł spłacać tego kredytu mieszkaniowego i utrzymywać żony i trójki dzieci, to ciekawe, co wybierze.
2066:  No wybierze mniejsze zło, bo nie każdy jest wiedźminem i nie każdy powie, że jeżeli mam wybrać między mniejszym złem a większym, to wolę nie wybierać wcale.
2073:  Niestety nie każdy.
2075:  Więc musi powstać atmosfera sprzyjająca mówieniu o tego rodzaju kwestiach.
2082:  Panele dyskusyjne z udziałem studentów, seminaria, debaty oksfordzkie, jest tyle różnych narzędzi, które można wykorzystać.
2089:  Ale jest wykorzystywane cały czas i niezmiennie jedno narzędzie.
2093:  Zamiatania pod cholerny dywan.
2096:  i omerty zmowy milczenia, która wykorzystuje fakt, że studenci boją się o niektórych rzeczach mówić, bo są w pozycji władzy.
2105:  Więc póki sytuacja się nie zmieni, mogę tylko i wyłącznie doradzić.
2110:  Wyjmijcie smartfony z kieszeni, zacznijcie nagrywać i wrzucajcie na YouTube.
2116:  Zobaczymy, czyje głowy i kiedy w odpowiedzi na tego rodzaju doniesienia polecą pierwsze.
2123:  I coś mi mówi, że możemy się zdziwić, jak wiele spośród tych głów jest wielce utytułowane.
2131:  Do następnego.
