Nauka, śmiech i czatboty  🎓 🤡 🤖 | Dla każdego coś przykrego #39
1697:  Przepraszam za każde rozczarowanie lub niedogodności, jakie to mogło spowodować.
1702:  Jest mi bardzo przykro, że nie mogłem pomóc w pełni.
1709:  I co?
1711:  AI Zaora humanistów?
1712:  Tak, moi drodzy.
1714:  Zaora.
1715:  Głupich humanistów.
1717:  Prymitywnych humanistów.
1720:  Humanistów, którzy zaprzedali swą sztukę, oddając się we władzę cyfry procentów i algorytmów, jak również wzorców postępowania, modeli i schematów.
1734:  Tak, taka humanistyka jest do zarżnięcia i nie będę ronić jednej łzy za nią.
1742:  Nie będę ronić jednej łzy za każdym etatem nauczycielskim straconym w wyniku przyjęcia takiej strategii pedagogicznej i popierania tego systemu.
1754:  Jeżeli 40% ludzi odejdzie, ponieważ nie będą w stanie zaoferować uczniom więcej niż sztuczna inteligencja,
1762:  Dobrze, niech odejdą i niech zrobią miejsce nowym, którzy np.
1768:  chytsze i sprytnie wykorzystają chat GPT w lepszej sprawie, np.
1773:  na lekcji zaczną się zastanawiać razem z uczniami.
1777:  Jak poprawiać?
1778:  Różnego rodzaju, nie oszukujmy się, także bzdurne rzeczy, które ta aplikacja wymyśla, ponieważ ma ona taką skłonność, jak widzieliście na przykładzie Myrtona Grunwalda, że jeżeli nie zna czegoś, no to tak jak każdy uczeń czy student kombinuje, no już się uda.
1793:  I w takim razie można na podstawie tego świetnie się nauczyć inżynierią wsteczną, jak błędów nie popełniać.
1800:  Możecie przepytywać chat GPT, chociażby używając go do uczenia się nowego języka i poprosić, żeby rozpisał Wam konwersację.
1808:  Taką typową, nie?
1809:  Z native'em.
1810:  Albo rozpisał plan indywidualnego uczenia się.
1813:  To jest wszystko to, co ta aplikacja potrafi, ponieważ korzysta naprawdę z dużej bazy i z dużego korpusu tekstów, w związku z powyższym może w ten sposób działać.
1822:  Mądry humanista i mądry nauczyciel to zrozumie.
1826:  Tylko, że musicie sobie już we własnym zakresie zadać pytanie.
1829:  Ilu w swoim życiu poznaliście mądrych humanistów?
1833:  Ja mam trochę większą próbę i może lepiej nie będę Wam podawał tej liczby, ale no nie jest ona trzycyfrowa, tak powiedzmy bardzo łagodnie, a i tak bym musiał rozszerzyć zakres poszukiwania poza granicę Polski minimum jakieś 200 km.
1847:  No problem polega właśnie na tym, że jeżeli całe generacje uczymy w określony sposób,
1853:  i całe generacje testujemy, to ważymy sobie właśnie takie piwo i teraz musimy je nie wypić, moi drodzy, tylko wyżłopać.
1862:  Więc oczywiście twórcy czatu GPT mogą sobie mówić, że nauczycieli dostosujcie się albo gincie, ale my dobrze wiemy, że nauczyciele tego nie zrobią, zwłaszcza nauczyciele w Polsce.
1873:  Świetnie wiemy, że jeżeli pojawi się coś takiego, to zakazy telefonów, o których sobie wspomnieliśmy, będą tak samo rygorystyczne jak w innych krajach, także i w Polsce i będą wzmagane.
1884:  Zresztą nie trzeba sięgać do Polski.
1886:  Australijskie uniwersytety już w tym momencie banują chat GPT i powracają do egzaminów z wykorzystaniem ołówka i papieru, i kartki papieru.
1895:  I z kolei inni polscy naukowcy chociażby mówią o tym.
1899:  że zmiany, które pojawiają się w wyniku obecności czatu GPT będzie wymagało zrewolucjonizowanie sposobów, jakie oceniamy uczniów i na przykład zwiększeniu liczby ocen ustnych.
1910:  Widzicie, tych samych ocen ustnych, które podobno są takie złe, ponieważ są nieobiektywne.
1918:  Jak ja nie mogę nie mieć satysfakcji, jak ja nie mam satysfakcji, jak tłukę ludziom do głów, żeby przywrócić zamiast tych durnych matur egzaminy wstępne na studia i słyszę nepotyzm,
1930:  O nie, będą subiektywne oceny, tak jakby teraz nie było subiektywnych ocen, jak ktoś dostaje 0,13 punkta mniej na stypendium i jakiś debil w komisji decyduje, że nie otrzyma, to wcale nie jest subiektywna ocena, nie, nie, nie, nie, nie, nie, absolutnie.
1941:  Wyeliminowaliśmy problem epotyzmu, wyeliminowaliśmy problem nieuczciwych ocen, absolutnie.
1946:  Ale teraz, moi drodzy, niezależnie od tego, czy wam się to podoba, czy nie, to wróci.
1951:  Wróci jedna rzecz, której nie jesteśmy w stanie zalogorytmizować, mianowicie kontakt bezpośredni człowieka z człowiekiem.
1957:  I tak, jeżeli nie oczyścimy środowiska nauczycielskiego i uniwersyteckiego i akademickiego, macie rację, przypadki mobbingu, molestowania, nieuczciwego traktowania właśnie będą tylko rosły, ale tak sami sobie przygotowaliśmy to.
1972:  Na własne życzenie to mamy, ponieważ doprowadziliśmy do tego, że maszyna jest lepsza od człowieka i może być oceniona obiektywnie i sparametryzowana, ponieważ dokładnie takim samym językiem przemawia.
1985:  I dlatego nie będę za tym płakał i nie będę absolutnie przejmował się faktem, że studenci chociażby, jak głosi inny artykuł, ale dzisiaj Wam cytuję, kreatywnie wykorzystują chat GPT do tego, żeby
1997:  pisać prace dyplomowe i teraz swoją drogą jest i takie już narzędzie ChatGPT Detector, które umożliwia sprawdzanie tego, żeby było śmiesznie, okazało się, że powszechnie stosowane przez uczelnie programy antyplagiatowe, ojej, muszę opowiedzieć Wam szybko o programach antyplagiatowych, otwarty system antyplagiatowy, to jest najgenialniejsza rzecz, jaka została wymyślona przez tych ludzi, to jest niewiarygodne, mówimy niby o środowisku, które ma tytuły naukowe,
2020:  a okazuje się, że popełniają błędy, o które byśmy nie podejrzewali średnio rozwiniętego im małpiatki.
2027:  Mianowicie, rzęszeż otwarty z tematy plegiatowej bazuje na zamkniętej bazie prac dyplomowych studentów,
2035:  I porównuję treść prac dyplomowych studentów z wynikami z zamkniętej bazy, ale pewnie usłyszeliście w tym przymiotniku zamknięty pewną prawdę ukrytą, prawda?
2044:  To znaczy, przez to, że ta baza jest zamknięta, studenci nie mogą sięgać do innych prac.
2049:  W związku z powyższym, technicznie bardzo jest ciężko skopiować czyjąkolwiek pracę, no chyba, że ktoś będzie na tyle głupi, że nam ją prześle.
2057:  Ale to jest ten jeden, jedyny przypadek, więc otwarty system antyplagiatowy, który ma sprawdzać wszystkie wody, nie działa.
2062:  Co więcej, wiecie, kiedy by działał otwarty system antyplagiatowy?
2065:  Kiedy nauka byłaby otwarta i kiedy wszystkie artykuły naukowe, z których można każdy skopiować Ctrl-C, Ctrl-V, całą treść, były ogólnodostępne, ponieważ nie zgadniecie, jak będą ogólnodostępne dla ludzi, będą też ogólnodostępne dla botów przeszukujących.
2078:  W związku z powyższym takie systemy będą skuteczniejsze, a przy obecnej kapitalizacji wszystkich baz naukowych
2084:  Fizycznie nie ma takiej możliwości, żeby sprawdzić, czy robicie plagiat z jakiegokolwiek tekstu wydanego w Kenii w języku jakimś, który jest kompletnie nierozpoznawalny i przeutłumaczony maszynowo na język angielski.
2095:  Nikt tego nie rozpozna.
2097:  Skąd wiem?
2097:  Ponieważ były wielokrotnie już postępowania o odbieranie doktoratów w wyniku plagiatów.
2101:  Oczywiście nigdy ich nie odebrano, ponieważ wiadoma sprawa, zamiatanie pod dywan.
2105:  I to było dokładnie w ten sposób zrealizowane.
2108:  Więc tak, musimy mieć już nowe narzędzia do rozpoznawania, tak, ChartGPT Detector, tego czy został wykorzystany ChartGPT, więc tutaj z kolei protip dla wszystkich sprawdzających pracę, że trzeba zacząć to uwzględniać.
2122:  No i moi drodzy, ostatnia rzecz chyba najzabawniejsza w tym wszystkim to to,
2127:  że jeżeli rozważymy te wszystkie elementy, to nagle się okazuje, że system na wszystkich frontach zaczyna kruszeć, bo okazuje się, że jesteśmy w stanie go, haha, penetrować z takich stron, których nikt nie przewidział, bo nikt nie przewidział, że będziemy mieli do czynienia w 2023 roku z AI, która posługuje się na tyle sprawnie z semantyczną komunikacją, że jest w stanie rozróżniać związki znaczeniowe, jak to w przypadku semantyki bywa.
2154:  Nie spodziewaliśmy się tego, Google teraz nie bez powodu bardzo jest łakomy na tę technologię, ponieważ zapytania, które są wysłane do Google'a, wciąż wymagają zaawansowanych operatorów, żeby dojść do określonych treści.
2166:  Natomiast chciałbym, żebyśmy zakończyli ten odcinek nie na minorowej nucie, tylko raczej na pokazaniu tego, że ChatGPT może być wykorzystywany właśnie do tego, żebyśmy uczyli się lepiej, uczyli innych lepiej.
2178:  Bardzo Wam polecam na koniec ten artykuł, który ukazał się, konkretnie jest to wywiad z profesorą Aleksandrą Przegalińską na HOKO.press, specjalistką od sztucznej inteligencji, która mało że wykorzystuje czat GPT i go bada, to jeszcze do tego wszystkiego napisała książkę wydaną nie byle gdzie, to znaczy ona będzie wydana, ale prawdopodobnie już przewiduje, że w toku funkcjonowania tego filmu może już być wydana.
2201:  w Cambridge University Press, więc to nie jest tak, że nie jesteśmy w stanie wykorzystywać sztucznej inteligencji, jak zresztą tutaj pada słuszna informacja.
2210:  My to już od dawna robimy, czy to w aplikacjach do prognozy pogody, czy gdziekolwiek indziej.
2215:  Natomiast nie zmienia to faktu, że musimy być świadomi tych wszystkich procesów, musimy być świadomi tego, jak działa OpenAI.
2222:  Przeczytałem sobie cały ten wywiad, żeby wiedzieć, na czym to polega, że
2225:  No nie przeszukuję live internetu, w związku z powyższym, tak, jeżeli chcemy aktualizować tę bazę, chcemy uczyć sztuczną inteligencję tego, żeby była lepsza, to spoczywa na nas dokładnie taka sama demokratyczna odpowiedzialność, jak na poprawianiu błędów w Wikipedii.
2237:  Więc tak, zawsze będę powtarzał, że jeżeli ktoś mówi, że w Wikipedii są błędne, to mam odpowiedź jedną, to popraw, knypie te błędy, a nie narzekaj, bo na tym polega różnica między Wikipedią, jaką encyklopedią otwartą, a każdą encyklopedią zamkniętą.
2252:  A zatem, i oczywiście nie oznacza to w takim razie, że ChatGPT będzie otwartą, szybko i bieżąco aktualizowaną encyklopedią w rodzaju Google'a, która Wam odpowie na wszystkie fakty.
2263:  No nie, ponieważ jeżeli spytacie o konkretne fakty, na przykład kto jest rektorem Akademii Lona Kuźmińskiego, tu jest przykład z wywiadu, to ChatGPT będzie fantazjował, ponieważ bazuje na zamkniętym korpusie i równocześnie jest przygotowane do symulowania myślenia kreatywnego.
2278:  On się nie powtarza, nie podstawa ludziom tego samego.
2280:  Każdorazowo jest to oryginalny content, czytamy w wywiadzie, co może być zwłaszcza cenne dla prawników i faktycznie w tym momencie rozważa się już, czy to jest twórczość zależna, derywatywna, czy też nie.
2290:  A zatem, moi drodzy, możemy iść jeszcze dalej.
2294:  To znaczy, jak przeczytałem sobie z kolei na łamach Nature, Chad GPT jest już w tym momencie współautorem jednego z artykułów naukowych, który został opublikowany.
2303:  Oczywiście wiązało się to z pewnymi kontrowersjami, ale z drugiej strony
2307:  Publikacje naukowe wymagają tego, żeby ujawniać autorstwo, w związku z powyższym, jeżeli pojawia się wykorzystanie AI, to tak musimy to zaznaczyć.
2315:  Nie zakazujemy i penalizujemy, tylko mówimy, tak, ten tekst powstał z wykorzystaniem pewnych narzędzi podsuniętych przez sztuczną inteligencję.
2325:  I teraz jest to czytelna informacja dla czytelnika, że autor nie oszukuje, nie usiłuje wprowadzić w błąd, nie podszywa się,
2331:  tylko po prostu wykorzystuje kolejne narzędzie.
2334:  Wiecie, jedno z tych strasznych narzędzi, które znajdują się w szkole i należy je koniecznie zostawić w pudełku lub w woreczku, ponieważ jeszcze nie jest to implant siatkówkowy.
2345:  Głupota, z jaką mamy do czynienia, niezmiennie mnie równocześnie przeraża i bawi.
2351:  Ale ten konkretny przypadek, nie chcę być złym prorokiem, ale uważam, że jest momentem przełomowym.
2357:  Czad zdający egzamin medyczny, czad zdający słynne egzaminy osmoklasisty i egzaminy maturalne, to jest dzwonek alarmowy, który nie mówi nam tego, że czad GPT jest lepszy od maturzystów.
2372:  Mówi nam coś innego, że system edukacji jest głupszy od maturzystów, że egzaminatorzy są głupsi od swoich uczniów, że testy, którymi się fetyszyzują, są prymitywne, niczego nie sprawdzają.
2389:  Jedyne, co są w stanie zrobić, to człowiekowi, który ma później doktorat z literaturoznawstwa dać 20% z matury próbnej.
2396:  To są w stanie zrobić.
2398:  ponieważ przygotowane są do odsiewania wyłącznie najbardziej zdolnych i najmniej zdolnych, a zostawiają środek.
2408:  I w ten środek idealnie wpasowuje się każdy algorytm, bo każdy student czy każdy uczeń dobrze wie, że jeżeli będzie losowo zaznaczać odpowiedź C, to jest szansa większa, że zda, niż jeżeli będzie kombinował, jak się nie uczył.
2420:  I to jest przerażające.
2421:  I dlatego też mówię Wam cały czas, oceny numeryczne do likwidacji, procenty do likwidacji, egzaminy w tym kształcie, w którym są, do likwidacji, a w zamian wprowadzenie warsztatów kreatywnych, narzędzi pobudzających ciekawość i zainteresowanie, indywidualnego kontaktu i nauczania i rezygnacja z masowości kształcenia,
2441:  przynajmniej od poziomu licealnego w górę, bo naprawdę nikomu nie jest to potrzebne w takim zakresie, żeby wiedział jakieś kompletnie nieistotne fakty z zakresu historii literatury, bo oczywiście nie uczymy języka polskiego, tylko uczymy historii literatury, jak powtarzam, w innych kontekstach.
2457:  I jasne, możemy w nieskończoność mówić, że są krytyczne, bardziej istotne dyscypliny, ale właśnie teraz do wszystkich polemistów kieruję tę uwagę.
2467:  Nie ma bardziej krytycznej dyscypliny dla ludzkości i dla rozwoju cywilizacji niż medycyna.
2473:  W tym momencie sztuczna inteligencja wasze testy zdaje.
2477:  Jesteście z siebie dumni?
2479:  Bo ja nie.
2480:  Do następnego.
