Szkoła NIE MA PRAWA ingerować w wygląd uczniów | Dla każdego coś przykrego #56
🔗 https://www.youtube.com/watch?v=UIg01-l8Wzg

0:  Coraz częściej podnoszona w debacie publicznej kwestia praw ucznia ma dwa oblicza.
1535:  Natomiast w momencie, w którym macie tego rodzaju nieprecyzyjne wskazania, nie wiadomo, co zrobić.
1541:  Na szczęście tego rodzaju sytuacje są tropione i jeżeli widzicie, że są łamane prawa właśnie, które teraz Wam wyartykułowałem, jeżeli ktokolwiek wpływa na Wasz wygląd, podkreślę, nie tylko w szkole, ale na uczelni i w miejscu pracy, to są to rzeczy, które się zgłasza.
1560:  W obszarze edukacji działają aktywnie, jak już się wspomniałem wiele razy Wam, Stowarzyszenie Umarłych Statutów, które robiło teraz ingerencję w temacie właśnie
1569:  podpinania ubierania się pod wygląd ucznia i odwrotnie, więc to jest jedna rzecz, ale równocześnie działa na tym polu także Fundacja na Rzecz Praw Ucznia, która przypomina na swojej stronie po szeregu konkretnie ośmiu interwencjach, że szkoła nie może zakazywać noszenia makijażu, zakazywać malowania paznokci, zakazywać noszenia tatuaży, zakazywać noszenia emblematów i napisów sugerujących przynależność do subkultur,
1592:  zakazywać noszenia ekstrawaganckiej biżuterii, czymkolwiek to jest i ograniczać noszenie kolczyków włącznie do uszu i tylko u dziewcząt, ponieważ to jest dyskryminacja ze względu na płeć.
1601:  Chyba trzeba taki pełen katalog zrobić.
1603:  No moi drodzy, musicie też zrozumieć i empatyzować z nauczycielami.
1606:  To są ludzie, którzy od przynajmniej 99 roku w górę
1610:  mają klapki na oczach i cały czas uczą schematów, według schematów, nawet interpretacje sprowadzili do schematu, o czym mieliśmy ostatni odcinek, dla każdego coś przykrego, o opracowaniach do lekturek, że nauczyciele czytają opracowania, uczniowie czytają opracowania, ale nikt lektur nie czyta prawdziwych książek, a centralna komisja egzaminacyjna oczywiście sprawdza znajomość opracowań, więc wszyscy utrzymują tę cudowną fikcję i wszyscy uczą się myślenia schematycznego, więc trzeba tym biednym ludziom zrobić taką listę,
1638:  bo on nie zrozumie, jak nie będzie miał szczegółowo tego wymienionego.
1642:  To jest też zabawne, że z jednej strony nauczycielom trzeba szczegółowo mówić, czego nie wolno im robić, ale oni mogą sobie w statucie powiedzieć ogólnikowo, że no ubieraj się, tak wypada.
1653:  No to jest komiczne, tak?
1655:  I z jednej strony te schematy działają, a z drugiej strony one nie działają, tylko to pokazuje, jak ten system się rozchodzi w szwach.
1661:  A dlaczego to jest ważne?
1664:  Mam nadzieję, że nie zadajecie sobie już tego pytania tak często, jeżeli wpadacie na ten kanał już od jakiegoś czasu, głównie z tego względu, że naprawdę tego rodzaju zachowania utrwala się na bardzo wczesnym poziomie.
1678:  To jest jedno z miejsc, szkoła, w których uczymy się, jak oceniać innych ludzi, jak reagować na to, jak ludzie wyglądają.
1684:  I to jest też ostatnia bardzo często okazja, zwłaszcza jeżeli rodzice nie dopełniają obowiązków wychowawczych, żeby uświadomić przyszłego obywatela, że pewnych rzeczy nie może robić.
1696:  To znaczy nie może oceniać człowieka w taki sposób, po wyglądzie i od razu go segregować do jakiejś subkultury albo czegoś, że to jest jakaś kompletna paranoja.
1704:  I wiecie, gdzie to widać najostrzej?
1706:  W sytuacji, która była głośna w moim bagienku akademickim, a mianowicie pewnego razu było tak, że Uniwersytet Adama Mickiewicza w Poznaniu pochwalił się osiągnięciami jednej ze swoich pracowniczek.
1719:  Konkretnie chodziło o dr. Janę Karolinę Malinowską z tegoż Uniwersytetu.
1724:  Ona dołączyła zresztą do komitetu sterującego międzynarodowej sieci zrzeszającej badaczy zajmujących się filozofią nauki, czyli East European Network for Philosophy of Science, więc to było duże osiągnięcie, chcieli się tym pochwalić, no ale jest problem, ponieważ rzeczona naukowczyni zdaniem polskich internautów, jak to się pięknie mawia, znaczy po prostu była imba na Twitterze, nie wygląda jak...
1745:  Prawdziwy naukowiec.
1747:  Bo wiecie, prawdziwy naukowiec musi mieć tweedową marynarkę, okulary i nie może użyć na przykład słowa spierdalać.
1753:  To jest bardzo brzydkie słowo, pod żadnym pozorem nie wolno go używać, aż zwłaszcza na zajęciach.
1758:  Ile razy usłyszałem pytanie takie strworzone, ale Krzysztof, ale Krzysztof, ty chyba tak nie mówisz na zajęciach.
1766:  Ja zawsze wtedy odpowiadam, że jako filolog i kształcony literaturoznawca jestem zwolennikiem używania wszystkich słów, więc tak długo, jak długo znam ich więcej od rozmówcy, to oczekuję, że rozmówca mnie pouczać nie będzie.
1776:  Natomiast no, niektórzy nie mają takiego komfortu jak ja i nie mogą w ten sposób ripostować, a zwłaszcza nie mogą w ten sposób ripostować, jeżeli coś nie zależy od nich, bo moja decyzja o użyciu mocniejszego słowa dla podkreślenia czy dla enfazy jakiegoś zdania jest moją decyzją, z której mogę zrezygnować.
1792:  Natomiast jeżeli mam tatuaże albo mam piercing, ja nie mogę z niego zrezygnować.
1797:  Przecież zauważcie, jaki to stawia niebezpieczny precedens.
1800:  Jeżeli będziemy mieć implant wokół, za pośrednictwem którego będziemy przeglądać rzeczywistość wirtualną, ja żartowałem kiedyś, że on będzie wydłubywany przez woźną, ale wiecie co?
1811:  Ja szczerze powiedziawszy przestaję już tak żartować.
1814:  Bo to już przestaje być żart.
1815:  To już nie jest przykład ad absurdum, redukujący do absurdalnej, komicznej, groteskowej sytuacji, inną, z którą się spotykamy w naszej rzeczywistości, cokolwiek mniejszego kalibru.
1827:  No nie, jeżeli ktoś jest w stanie dopuścić się do fizycznego ataku na ucznia, ponieważ nie zgadza się to z jakiegoś jego wydumanym systemem wartości, to zaczyna być problem.
1836:  Albo jeżeli komuś nie zależy na tym, żeby celebrować osiągnięcia polskich naukowców, tylko nagle się okazuje, że trzeba pisać komentarze typu, jaki komitet taka członkini, komitet sterujący, co to za diabeł,
1848:  pewnie wygankań na trawie jedzie albo na larwach, gówniany doktorat z filozofii, bo wiecie, jeszcze trzeba przy okazji włączyć stereotypy, które też szkółka w nas wyrobiła, dotyczące podziału nauk humanistycznych i nauk ścisłych, które nie funkcjonuje w całej nauce wprawdzie, ale co tam.
1863:  No fajnie, fajnie się bawimy, tak?
1866:  I można sobie oczywiście zadać pytanie, kto to robi, może to są niewychowani ludzie,
1870:  Ja widzę w tym jednak pewnego rodzaju konsekwencje, tak?
1873:  Znaczy cały czas mam wpajane określone wzorce, w tych statutach są zapisy, które cementują jakiś dziwny purytański obraz świata, który kompletnie nie ma się ani do naszej rzeczywistości społecznej, ani do naszej rzeczywistości prawnej.
1888:  Nie ma prawnych podstaw na tego rodzaju decyzje.
1891:  Nie ma, tu nie ma dyskusji, to nie jest mój film zapraszający was do otwarcia debaty i dyskusji.
1898:  Tu nie ma o czym debatować.
1899:  To jest nielegalne.
1901:  To trzeba zgłaszać.
1903:  Tak daleko, jak tylko możecie i tak szeroko o tym mówić, jak tylko jesteście w stanie.
1908:  I znać swoje, nie tylko swoje własne prawa, bo jak widać, one mogą być łamane wbrew waszej woli, ale znać polskie prawo.
1916:  Wiedzieć, że kodeks karny przewiduje kary dla ludzi, którzy w ten sposób się zachowują, którzy naruszają nietykalność cielesną, którzy dyskryminują ze względu na płeć, czy dyskryminują ze względu na seksualność, na jakąkolwiek przynależność społeczną i tak dalej.
1930:  Wszyscy jesteśmy obywatelami, nie możemy być traktowani w ten sposób przez urzędników państwowych, a przypominam, że nauczyciele Zagiertycha wywalczyli sobie status funkcjonariuszy publicznych, więc sprawa jest całkowicie poważna.
1943:  Tym bardziej, że potem wychodzicie ze szkół, z tego rodzaju stereotypami idziecie na uczelnię.
1949:  Nie daj Boże robicie kabelery akademicką i następnie wymądrzacie się na temat, na którym się kompletnie nie znacie.
1955:  Nie dajcie Bogowie jeszcze, idziecie później do rządu i robicie kolejnego rodzaju buble prawne, z którymi później ludzie się muszą przejmować, albo w ogóle idziecie sobie w świat
1964:  i piszecie tego rodzaju durne komentarze, ponieważ nawet nie przyjdzie wam do głowy, że w tym momencie sprzyjacie przestępcom.
1971:  A myślę, że warto mieć tego świadomość, biorąc pod uwagę, że w prawie jest taki zapis, że nieznajomość prawa nie zwalnia od odpowiedzialności za jego łamanie, więc warto i z tego powodu się tym zainteresować.
1982:  A ja mogę ze swojej strony na sam koniec powiedzieć jedno.
1985:  Jeżeli ktoś mi tręży i marnuje czas na przyglądanie się temu, jak kto wygląda,
1991:  i podejmowaniu za niego decyzji dotyczących jego własnej cielesności, to po pierwsze, to już jest materiał fenomenalny na jakiegoś straszliwego autokratę, więc na pewno takiemu człowiekowi nie należy dać żadnej władzy.
2004:  Po drugie, nie nadaje się ten człowiek do pracy z ludźmi i należy go pozbawić możliwości kontaktu z ludźmi w jakiejkolwiek pracy, wiele innych odpowiedzialnych zawodów, w których mamy braki i nie wszystkie wymagają kontaktu z ludźmi, zwłaszcza młodymi.
2017:  I trzecia kwestia, ewidentnie,
2019:  Ma za dużo czasu.
2021:  Więc jeżeli nauczyciele chcą pokazać społeczeństwu, że zasługują na coraz wyższe płace i coraz mniejsze pęsa godzinowe, to zacząłbym tutaj.
2029:  Od udowodnienia, że nie marnują czasu na tego rodzaju...
2034:  Pierdoły.
2035:  Które jednak dla ludzi pierdołami nie są, ponieważ dotyczą ich własnego ciała.
2040:  Natomiast z perspektywy priorytetów jednostki edukacyjnej, jaką jest szkoła, pierdołą to jest.
2046:  I nie powinno zajmować tych jakże zajętych, a światłych umysłów kreujących Polską ośmiatę i oczywiście wspaniałe, przyświęcające jej podstawy programowe.
2064:  Nawet jeśli nielegalne Do następnego
