Egzamin ósmoklasisty vs technologia (2022, kretynizowane) | Dla każdego coś przykrego #29
🔗 https://www.youtube.com/watch?v=5aSPk1CZ4rY

4:  Macie tak, że...
1803:  To są tematy, które powinniśmy poruszać.
1805:  Bezpieczeństwo cyfrowe.
1806:  To w jaki sposób uświadamiać sobie zagrożenia różnego rodzaju w siedzinie wirusy.
1811:  komputerowe, tylko zagrożenia, realne zagrożenie, w jaki sposób się chronić przed phishingiem, w jaki sposób dbać właśnie o to, żeby kontakty cyfrowe przecieżgały się nam w kontakty fizyczne lub im towarzyszyły, ale nie muszą one tak funkcjonować, przypominam, ponieważ kontakt sam w sobie cyfrowy nie jest niczym złym.
1831:  Są badania na ten temat, których oczywiście nie czyta się w tego rodzaju
1836:  miejscach, jak centralna komisja egzaminacyjna, które mówią na przykład o tym, że ludzie, którzy w świecie gry MMORPG tworzą relacje, tworzą tak zwany social world, czyli świat społeczny, który jest nadpisywany niejako nad światem gry.
1851:  I nie jest rzeczą przypadku, że ludzie poznają się w grach MMORPG, a potem na przykład, nie wiem, wezmą ślub, tak?
1856:  Albo
1858:  będą przyjaciółmi na całe życie.
1860:  Nie jestem w stanie zrozumieć, jak można tego rodzaju złożone relacje międzyludzkie wyrzucać do kosza.
1866:  Filozof Michał Ostrowicki pisze, człowiek jest jeden, a światy są dwa.
1871:  Edward Kastronowa, filozof, pisze, że niezależnie od tego, czy jesteśmy w świecie smoków, czy pieprzonych krakersów, ludzkie bycie jest takie samo.
1881:  Popiszą filozofowie w XXI wieku.
1884:  Dlaczego nie czyta się filozofów XXI wiecznych, tylko czyta się jakieś bałamutne brednie, które są następnie podpierane durnymi propagandowymi ilustracjami?
1896:  Mój sprzeciw wobec egzaminów jest właśnie dlatego taki gwałtowny i emocjonalny, że za pośrednictwem centralnie sterowanej i przekazywanej wiedzy zawsze przekazuje się wiedzę przestarzałą.
1909:  Byłem jedną z nielicznych osób na moich studiach, która cytowała pracę po roku 2000.
1915:  Ba!
1915:  Po roku 2020.
1921:  Większość źródeł, z jakimi w ogóle miałem styczność na studiach, to były lata 70., 80., 60.
1928:  I to są właśnie najczęściej ludzie, którzy układają egzaminy właśnie z języka polskiego.
1932:  Ludzie, którzy są zamknięci w bańce lat 90. albo 80., którzy nie mają zielonego pojęcia na temat nowej technologii, którzy sami nie umieją jej używać i następnie swoją technofobię przekazują dalej.
1946:  I zamiast, żeby uczyć mądrego korzystania z internetu, z mediów społecznościowych, z aplikacji randkowych, to odrzucają to wszystko w czambu i potępiają.
1956:  I jest problem, bo jeżeli coś odrzucimy w 100% i potępimy, to wówczas każdy młody człowiek, a i każdy również rebeliant, ma tendencję do tego, żeby oczywiście ten zakaz omijać.
1971:  I następnie napotyka na sytuację, z którą sobie nie może poradzić.
1974:  Trudną sytuację.
1976:  Do kogo ma się zwrócić?
1978:  A i wtedy dorośli mówią, nie, nie, nie, no tak, no to trzeba było nam powiedzieć.
1982:  Tak, wam, ludziom, którzy nie rozumiecie, jak włączyć internet w telefonie, z wami mamy rozmawiać na temat aplikacji randkowych?
1992:  z ludźmi, którzy mają hasło TOSIA123 do wszystkich serwisów, w których mają swoje konta, bo bezpieczeństwo i higiena cyfrowa.
2004:  Ja mam zawsze wrażenie, jak podchodzę z pendrive'em do komputera w jakimkolwiek publicznym miejscu, zwłaszcza takim, w którym jest zbyt dużo ludzi po pięćdziesiątce, którzy rzeczonych komputerów używają, że powinien być bezwzględnie wynaleziony kondom na pendrive'a.
2019:  Bo ja, szczerze powiedziawszy, boję się w
2021:  wkładać mojego pendrive'a do slotu w komputerze, w którym nie mam zielonego pojęcia, co będzie, ponieważ mogą być tam wszelkiego rodzaju dziwaczne, pościągane, trojany, etc., które będą następnie przeszczepiać się na mojego nieszczęsnego kompa, albowiem ludzie, którzy korzystają z tego sprzętu, nie mają żadnego przygotowania do życia we współczesności.
2042:  I żeby nie było, to nie jest ich wina również, ponieważ oni także nie byli niczego uczeni w szkołach.
2048:  Bo komputery są z nami troszeczkę dawniej niż od 20 lat, niż od dwóch pokoleń, trzech pokoleń.
2054:  Troszeczkę długo już są.
2057:  I zachowania sieciowe, które sobie kształtowaliśmy, możemy kształtować od lat 90. w górę właśnie.
2064:  Więc było no mniej więcej 30 latek
2068:  na zmianę różnego rodzaju przyzwyczajeń, na zmianę programów nauczania, na zmianę tego rodzaju zadanek egzaminacyjnych, bardzo takich ładnych, jeszcze raz pokażę, popatrzcie, taki ewangeliczny obrazek.
2080:  Ja myślę sobie, że gdybyśmy
2082:  na przykład zinterpretowali to jak na lekcji katechezy, o której kiedyś sobie opowiemy dla każdego coś przykrego, to właśnie to byłoby idealne.
2090:  To jest właśnie taki ewangeliczny obrazek, taka przypowieść, która ma nam powiedzieć coś o naszej egzystencji w świecie, tylko że ta przypowieść się nie sprawdza w momencie, w którym jesteśmy w świecie o wiele bardziej skomplikowanym.
2103:  i w którym realne relacje międzyludzkie zadzierzga się w przestrzeni cyfrowej, niezależnie od tego, czy Paweł Kuczyński lubi to, czy Paweł Kuczyński tego nie lubi, mówiąc boomerskim językiem fejsowym.
2117:  Niezależnie od tego wszystkiego, tak już będzie.
2121:  Będzie metawersum, będziemy w rzeczywistości wirtualnej, będziemy w ten sposób kształtować relacje.
2127:  Mądra humanistyka przygotowuje ludzi na to, tak samo jak mądra literatura fantastyczno-naukowa przygotowuje nas intelektualnie na pierwszy kontakt i mówi, jakie są możliwe scenariusze.
2139:  I jeżeli będziemy mieli kiedyś pierwszy kontakt z cywilizacją pozaziemską, to będziemy już mieli gotową całą leksykę i różne scenariusze postępowania dzięki temu, że ludzie z wyobraźnią kiedyś o to zadbali.
2150:  Niestety, humaniści współcześni nie mają żadnej wyobraźni.
2155:  i nie wiedzą w jaki sposób będzie się rozwijała humanistyka cyfrowa i przez to niestety upośledzają kolejne pokolenia.
2163:  I na sam koniec, ponieważ jak wiecie dbam, żeby w serii dla każdego coś przykrego było źródło naukowe, moja diagnoza tego problemu,
2170:  która swoją drogą będzie za pracami bardzo starymi już, ukazującymi się od późnych lat 90. w górę, ale wzrost tych badań przypada na lata obecne.
2182:  Teraz zwłaszcza w Niemczech bada się coś takiego, co się nazywa multimodalnością w narracji.
2188:  Co to znaczy?
2189:  Szybko wyjaśnię.
2191:  Multimodalność to jest przeświadczenie, że jesteśmy w stanie komunikować się za pośrednictwem różnych trybów komunikacji, tekstu, obrazu, dźwięku i interakcji oczywiście w grach wideo, czyli czegoś, co się nazywa performatywem, od perform, czyli wykonywać akcje.
2208:  Taki sam performatyw jest swoją drogą na deskach teatru, kiedy aktor wykonuje jakiegoś rodzaju działania.
2214:  To są wszystko sytuacje multimodalne, w których mamy znaczenia komunikowane za pośrednictwem różnych kanałów.
2221:  Co jest medium najbardziej multimodalnym?
2223:  Chyba nie muszę mówić, internet, gra wideo, to są właśnie takie media, w których będziemy mieli bardzo dużo kanałów komunikacji, aplikacje, dlatego są dla nas takie pociągające, że oddziałują na nas multimodalnie, mają różne formy komunikacji, wielobodźcowo na nas także oddziałują.
2243:  Natomiast problem polega na tym, że literatura i nasza kultura nie jest multimodalna.
2249:  Literatura jest monomodalna, ma jeden tryb komunikacji i dlatego jak macie ilustrację w książce, to ona nie funkcjonuje tak samo jak ilustracja w komiksie, gdzie w komiksie ona jest wnośnikiem treści narracyjnych, natomiast w przypadku książki ilustracja już niekoniecznie.
2266:  Ilustracja po prostu ilustruje nam jakiś tekst, jakąś część, jakiś opis, wszystko jedno, ale...
2274:  Książka się bez niej obędzie.
2275:  Komiks bez tego obrazu się nie obędzie.
2277:  Gra wideo bez tego obrazu się nie obędzie.
2279:  Aplikacja bez interfejsu się nie obędzie.
2282:  I w książce pod tytułem Before Writing, Rethinking the Literacy, jeśli dobrze pamiętam tytuł, oczywiście będziecie mieli jak zwykle wszystko w opisie, to jest książka Gunthera Kressa, jednego z pionierów badań multimodalnych.
2297:  Czytamy coś, co brzmi jak piękna diagnoza.
2300:  współczesnego systemu edukacji, tekstocentrycznego i archaicznego, monomodalnego.
2307:  Praktyki, które nazywamy zabawą, nie są uznawane w kulturze jako część komunikacji i przez to uważa się, że nie są warte prawdziwego namysłu naukowego.
2324:  Czyli jak widzicie, to nie jest problem tylko rdzennie Polski.
2328:  gorzej nawet, te folkowo-ludowo-teoretyczne rozważania.
2334:  O, Krzysztof, przecież to jest klasizm.
2337:  No właśnie, to jest ten przypadek, kiedy elityzm jest konieczny, żeby wybatorzyć kolegów akademików, kolegów nauczycieli, kolegów egzaminatorów, którzy mają bardzo rozdęte ego, wydaje mi się, że mogą dyktować warunki i egzaminować młodych ludzi, a tak naprawdę z ich wiedzą jest ujujujujuj, kiepściunio.
2357:  Bo kiedyś ktoś nieopatrznie dopuścił ich do społeczności akademickiej, nadał im tytuły i wygenerował problem, z którym mamy do czynienia.
2365:  Więc rzeczone folkowo-akademickie rozważania, w których praktykuje bardzo duża liczba dorosłych, włączając w to nauczycieli, akademików i specjalistów w zakresie zdrowia i dobrego samopoczucia, tego well-being, welfare, prawda,
2387:  doprowadzają do tego, że stoją w sprzeczności z naturalnymi dyspozycjami dzieci.
2396:  rozumienie języka jako relatywnie stabilnego systemu pojęciowego znaków, które są arbitralne, czyli z góry narzucone i równocześnie tworzą stabilne układy znaczeniowe i formalne, może doprowadzić do tego, a ja dopowiem, doprowadziło w Polsce już dawno, że będą powstawały takie pedagogiki, takie programy nauczania, czyli curricula,
2421:  które będą fundamentalnie niezgodne z potencjalnymi zdolnościami i dyspozycjami dziecięcych uczniów i odbiorców.
2434:  I to się właśnie stało.
2437:  Fundamentalnie niezgodna z dyspozycjami uczniów naturalnymi i odbiorców, którzy kształtują się w erze cyfrowej, są urodzeni do cyfry, jak mawia Jacek Dukaj, Digital Natives,
2454:  i nie dostają od edukacji tego, co powinni.
2458:  Bo edukacja jest fundamentalnie niezgodna z ich naturalnymi dyspozycjami.
2463:  I to jest przerażające.
2465:  I dlatego egzaminy są złe.
2467:  I dlatego ten obrazek, który pojawił się na egzaminie ósmoklasisty i ten wywiad z panią profesor z Uniwersytetu Śląskiego są tak niepokojące, ponieważ pokazują, że mimo badań naukowych prowadzonych od dziesiątek lat,
2484:  Nie zmienia się przeświadczenie, że to tylko literatura jest najwartościowszym nośnikiem znaczeń i komunikatów.
2490:  Gdyby była, ludzie nie mieliby problemu z mówieniem.
2493:  Gdyby była, ludzie nie mieliby dziś problemu z pisaniem.
2496:  Gdyby była, ludzie nie wychodziliby ze szkół kompletnie nieprzygotowani do tego, żeby dzielić się jakimikolwiek swoimi przemyśleniami.
2505:  Tylko umieliby to robić.
2507:  to czego powinien ich przygotowywać przedmiot, który nazywa się jakim jest cudem język polski, a nie historia literatury?
2517:  Do następnego.
