Czego nie znoszę w Oldze Tokarczuk? | Dla każdego coś przykrego #20
🔗 https://www.youtube.com/watch?v=GzB2LG3aghE

2:  I kultura.
1909:  Ktoś może mieć inny styl odbioru i dla niego funkcją sztuki będzie na przykład refleksja intelektualna nad rzeczywistością.
1916:  I z Bogiem czytajcie sobie wtedy Olgę Tokarczuk.
1921:  Krzyżyk na drogę.
1923:  Nomen omen.
1924:  Nie ma problemu.
1925:  I nie jestem ostatnią osobą, która będzie was z tego tytułu wyśmiewać.
1930:  Bo wiecie, kto jest jedyną osobą, która tutaj kogokolwiek wyśmiewa?
1935:  Bo nie jest to Noel Carroll, filozof, który zajmuje się sztuką masową.
1939:  Nie jest to M. Forster, którego nie lubię zacytować, Olga Tokarczuk, poprawnie.
1944:  I nie jest to John Fiske.
1945:  I nie jest to Krzysztof, który się wyzłośliwia.
1948:  Nie, moi drodzy, jest to Olga Tokarczuk.
1950:  To Olga Tokarczuk nazywa ludzi idiotami.
1952:  To Olga Tokarczuk wyśmiewa się z gier komputerowych.
1955:  To Olga Tokarczuk mówi pogardliwie o Wikipedii i kulturze internetu.
1958:  To Olga Tokarczuk nie rozumie jak funkcjonują media społecznościowe.
1961:  To Olga Tokarczuk wyśmiewa się z instagramowców.
1964:  To Olga Tokarczuk, krótko mówiąc, jest nieczułym narratorem tej naszej opowieści.
1969:  I jest pewnym ponurym paradoksem, że interpretować się będzie ad mortem usrandum.
1975:  Jej...
1976:  Cóż, obrzydliwą, klasistowską, arystokratyczną diatrybę, czyli takie pustosłowie bardzo rozwlekłe, jako coś, co oręduje właśnie za taką ideą wolnościową, piękną, jaką jest kategoria czułego narratora.
1995:  I zobaczcie, jak w kontekście tego, o czym sobie powiedzieliśmy, punuroironicznie brzmi to, co mówi Tokarczuk na sam koniec.
2004:  Czułość jest tą najskromniejszą odmianą miłości.
2007:  To ten jej rodzaj, który nie pojawia się w pismach ani w Ewangeliach, nikt za nią nie przysięga, nikt się nie powołuje.
2013:  Nie ma swoich emblematów ani symboli, nie prowadzi do zbrodni ani zazdrości.
2018:  Pojawia się tam, gdzie z uwagą i skupieniem zaglądamy w duchu gibyt, w to, co nie jest ja.
2025:  Olga Tokarczuk nie chce zajrzeć w to, co nie jest jaj.
2029:  Olga Tokarczuk może podniosłym stylem, imitującym psalmo miłości, nawiasem mówiąc, mówić o czułym narratorze, ale sama pozostaje nieczuła.
2038:  Nieczuła ma te krzywdy, które są medialnie nieatrakcyjne, których nie można...
2046:  No cóż, napiętnować publicznie wobec Komitetu Noblowskiego i wobec całego świata kultury wysokiej, których słucha.
2055:  Nie można napiętnować pogardy dla fantastyki, to czym przekonał się Kazuo Ishiguro, który wprost w wywiadach mówił, że przestał używać słowa fantastyka w odniesieniu do swojej twórczości, bo wiedział, że to jest wtedy krzyżyk w oczach wielu krytyków.
2070:  Olga Tokarczuk jest wyrachowana i reprezentuje wszystko to, czego nienawidzę w kulturze.
2078:  I mam nadzieję, że ten odcinek dla każdego coś przykrego odpowie na pytanie, które chyba najczęściej pojawiało się na live'ach, Q&A,
2087:  I na streamach z gier widzę, a mianowicie, Krzysztof, ale dlaczego w zasadzie ty masz problem z Ogą Tokarczyk?
2092:  Ja lubię biegunów, ja lubię jej opowiadania, przecież napisała opowieści bizarne, które reprezentują fantastykę.
2098:  O, udzieliła wywiadu Zwierzchowskiemu z Nowej Fantastyki i rozmawiali o fantastyce i wspomniała nawet o Margaret Atwood, ewidentnie ją zna.
2106:  Krzysztof, co ty mówisz?
2109:  Ja w tym momencie mówię o Oldze Tokarczuk, nie o twórczości Olgi Tokarczuk, która mnie po prostu nie interesuje.
2116:  Przeczytałem ją z musu na studiach.
2118:  Ale przez to, że Olga Tokarczuk za każdym razem powtarza, że ona wszywa w swoją twórczość, jej poglądy, jej osobiste doświadczenia, jej światopogląd i ideologię, to dlatego ta twórczość ze zdwojoną siłą wzbudza we mnie obrzydzenie.
2136:  Ponieważ nie chcę mieć jej.
2138:  Nic do czynienia z klasistowskim, arystokratycznym, pseudoarystokratycznym, powiedzmy sobie szczerze, podejściem do kultury, który prowadzi tylko do tego, że coraz mniej ludzi czyta, że coraz mniej ludzi będzie chciało chodzić do teatrów czy do oper, ponieważ będzie im to wionęło tą stęchlizną i tym odorem klasizmu zamkniętego w głębokim XIX wieku.
2165:  I tą narracją, którą Artur Sandauer, swoją drogą autor książki Dla Każdego Coś Przykrego, od której nazwę wziął cały ten cykl, nazwał praktyką młócenia i wynajdywania nowych sposobów na młócenie tej samej młodopolskiej słomy.
2186:  Otóż ja młócić nie chcę.
2188:  A jeśli Olga Tokarczuk chce, to przynajmniej
2193:  Nie bądźmy tego świadkami i nie dawajmy sobie wmówić, że to jest coś, co jest wybitne, intelektualne albo w jakimkolwiek sposób bardziej elitarne od tego, co robimy na co dzień.
2211:  I tego Wam życzę.
2212:  Do następnego.
