SZKOŁA W CHMURZE po maturze | Dla każdego coś przykrego #47
🔗 https://www.youtube.com/watch?v=kj-9yJdTVHM

0:  Poniedziałek, piąta rano, autobusu nie zastano.
1688:  W związku z powyższym ciężko te dyskusje się prowadzi.
1691:  Jak zawsze dyskusje z wszystkiego rodzaju zelotami religijnymi, czy ludźmi, którzy w pierwszej kolejności wierzą, a w drugiej kolejności myślą.
1699:  I niestety skalują ten swój światopogląd na resztę obszarów życia.
1705:  A zatem w edukacji zdalnej rodzic pełni dokładnie taką samą funkcję jak w edukacji stacjonarnej.
1711:  I problem polega na tym, że system obecny jest broniony przez tak dużą liczbę ludzi tylko dlatego, że w Polsce, tej religijnej i wspaniałej Polsce, tak naprawdę jedynym świętym, który jest czczony szczerze, autentycznie i przez wszystkich, jest święty spokój.
1729:  Także święty spokój od edukacji, od dziecka, od problemów, w związku z powyższym przerzucenie ich na szkołę i nauczycieli jest fenomenalnym rozwiązaniem.
1737:  A w momencie, w którym się okazuje, że 30 czy 40% tego, co się w szkołach dzieje, jest całkowicie zbyteczne, ostatecznie maturę musicie mieć z polskiego, angielskiego i...
1749:  przedmiotu ekstra, tak?
1751:  Matematyka, historia, różnie bywało w różnych etapach, ja się załapałem na to, że była obowiązkowa historia i nie było obowiązkowej matematyki, fała Bogom, ponieważ jedyne działanie matematyczne, jakiego się nauczyłem i jakie mi się przydaje do dzisiaj w rozwiązywaniu wszystkich problemów związanych z prowadzeniem firmy, którą prowadzę od prawie dekady, to jest
1770:  A zatem...
1786:  Cieszę się, że nie musiałem zdawać matury z matematyki, ponieważ ewidentnie wszystkie rzeczy, które bym tam zrobił, nie przydałyby mi się w życiu.
1793:  Ale zmierzam do tego, że te trzy przedmioty to jest przecież czubek góry lodowej, dobrze wiecie, że jest tego jeszcze pipstylion plus jeden więcej.
1802:  I niestety nikt nie nagłaśnia już tego problemu, że ta obfitość przedmiotów może się ewentualnie przydać komuś, kto planuje późniejszą karierę akademicką w postaci na przykład studiowania, jeśli ktoś tego nie planuje, a nie powinien, ponieważ studia nie powinny być oczkiem w głowie 80% ludzi.
1822:  to na cholerę mu to wszystko.
1824:  I Szkoła w Chmurze jest odpowiedzią na to zapotrzebowanie.
1828:  Zresztą w tym wpisie, który na początku wam szerowałem, bardzo wyraźnie uczniowie raportowali, że ich sukcesami w Szkole w Chmurze nie jest ten śmieszny procencik, który się pojawia na końcu, ale znalezienie czasu na, nie wiem, jakieś regularne uprawianie sportu, napisanie książki, rozwinięcie biznesu, progres jaki się wykonało,
1848:  w skupienie się, aby nauka i rozwijanie było przyjemnością, a nie obowiązkiem.
1852:  I wiecie, no takie miękkie rzeczy, których się za bardzo nie da tak skwantyfikować, zalgorytmizować, przedstawić w takich ładnych słupkach, statystykach, z numerkami, z uspokajającym procentem.
1866:  Takie rzeczy, które powinny być sednem całego procesu edukacji.
1870:  I takie rzeczy, dla których przejście bardzo często do chmury wiązało się dla wielu osób z ulgą.
1877:  I o tym swoją drogą możemy przeczytać na łamach innego tekstu pod tytułem Eksperyment Szkoła w Murze i jego wrogowie.
1883:  Bardzo polecam wszystkim sceptykom, którzy dalej zachowują z jakiegoś względu
1890:  rezerwę wobec nauczania zdalnego, mimo że ich własne, obiektywne, ulubione znaczniki mówią coś zgoła innego.
1896:  Możemy w tym mianowicie tekście przeczytać opinię mojego absolutnie ulubionego, jak wiecie, Mikołaja Marcelli, który bardzo słusznie wspomina o tym, że chmura dla wielu osób wiązała się, szukam tego fragmentu, bo jest istotny,
1913:  z tym, że był to swego rodzaju wentyl bezpieczeństwa, tak?
1916:  Liczba osób, które przyjmują jest porażająca, bo rzeczywiście rośnie wykładniczość, dlatego minister się tylko tym zainteresował, co też pokazuje, jak dysfunkcyjny jest system, jak duża potrzeba ucieczki z niego.
1926:  Chmura daje taką możliwość, bo jest darmowa, jest elementem systemu edukacji.
1929:  Idealnie byłoby, żeby wprowadzić rozwiązania, by takie szkoły były dostępne dla wszystkich młodych ludzi.
1933:  I strasznie smutne jest to, że
1937:  Wiele osób po prostu traktowało rzeczywiście to rozwiązanie jako wentyl bezpieczeństwa i jako ucieczkę swego rodzaju.
1945:  Znam sytuację, pisze Marcela, w innym miejscu, w których chmura jest jedyną drogą dla rodziców i dzieci, ratującą zdrowie psychiczne.
1952:  Ucznia pamiętają, że był niedawno...
1953:  Raport bardzo alarmujący na temat tego, jak wygląda zdrowie psychiczne u młodych pokoleń.
1958:  Oczywiście jak każdy alarmujący raport doczekał się w Polsce ze strony komentariatu uczonych opinii na temat błędów metodologicznych, ponieważ jak wiadomo błędy metodologiczne wskazuje się tylko w tych raportach, z których treścią się nie zgadzamy.
1972:  Znam nastolatka ucznia elitarnej szkoły, która jednak nie akceptowała jego pozaszkolnej działalności.
1976:  Wylądował on u psychiatry, wycofał się z życia społecznego i zamknął w domu na kilka miesięcy.
1980:  Szkoła w Murze dała mu możliwość kształcenia, rozwijania zainteresowań i tak dalej.
1985:  Oczywiście możecie powiedzieć, że to są przykłady anegdotyczne, że nie mają żadnego znaczenia,
1990:  Ja uważam, że jeżeli żyjemy rzeczywiście w systemie, który się nam narzuca i wymusza jego akceptacji, to znaczy w XIX-wiecznym kapitalizmie, który dokładnie tak samo jak XIX-wieczna szkoła powinien być w XXI wieku troszeczkę zreformowany, to przynajmniej zaakceptujmy prawa rządzące tym systemem.
2007:  Jednym z praw rządzących kapitalizmem jest to, że jest popyt i jest podaż.
2012:  I nie powinno się tym sterować w związku z powyższym.
2014:  Jeżeli wyrastają tego rodzaju rozwiązania, jak grzyby po deszczu, to należy się zastanowić dlaczego.
2021:  Tak samo jak należało się zastanowić, dlaczego jest tak, że i w szkole w murze i w szkole publicznej są zbliżone wyniki egzaminów.
2030:  To jest zastanawiające.
2032:  Albo to znaczy, że egzaminy są za łatwe, albo to znaczy, że są po prostu źle przygotowane i to jest moje zdanie, albo to znaczy, że po prostu są kompletnie niepotrzebne, ponieważ jak widać nie trzeba całego tego, swoją drogą, kosztownego systemu utrzymania tych wszystkich instytucji publicznych, żeby...
2047:  system działał, ponieważ istnieje Internet.
2050:  I to, czego bardzo potrzebujemy dzisiaj, to tutorów, którzy będą przeprowadzać zgodnie z funkcją tutorów przez właśnie gąszcze informacyjne Internetu i uczyć wynajdywania narzędzi, wynajdywania informacji i przygotowywania się wspólnie do konkretnego egzaminu.
2066:  Czyli będą pełnić dokładnie tę funkcję, którą pełnili nauczyciele pierwotnie, zanim powstały szkoły jako budynki.
2072:  Nauczyciel chodził z od wioski do wioski i uczył tu egzaminów.
2077:  Potem wprowadzono celem podniesienia efektywności systemu szkołę jako budynek, do którego się chodziło i tam następnie się spotykało nauczycieli, którzy już w systemie masowym, nie wiem, 20 osób, 30, 40, wszystko jedno, masowym, tak, masowe to już jest więcej niż 3 osoby, to już jest system masowy.
2095:  I wtedy nauczali, prawda?
2097:  Oczywiście nauczyciele uwielbiają w tej chwili mówić, że wszystkie ich problemy zostałyby rozwiązane, gdyby podnieść pensję do 7 tysięcy i zredukować grupy do 8 osób.
2105:  Mam złe informacje, to znaczy właśnie tego rodzaju pensje i grupy zredukowane do 8 osób są na wielu uczelniach.
2112:  A problemy są te same.
2113:  Mimo, że mamy do czynienia z dorosłymi ludźmi, w związku z powyższym z nimi powinno się pracować łatwiej.
2118:  Czyż nie?
2119:  Ale jednak problemy są dokładnie te same.
2122:  Toczka w toczkę, jeden do jeden.
2125:  A zatem skoro w XIX wieku wprowadzono tego rodzaju innowacje, żeby guwernerzy i nauczyciele nie musieli chodzić od domu do domu, to być może w XXI wieku zasłużyliśmy na następny taki cipyci kroczek, w ramach którego będziemy mieli kolejną innowację i będzie to powiedzmy właśnie szkoła w chmurze lub jakikolwiek jej odpowiednik i nie jedna firma, w której...
2146:  Za moment będą jakieś patologie, zresztą dobrze widzieliście, że już była krytyka niektórych rozwiązań i nagle ludzie powiedzą, oczywiście klasyczne fallatio accidentis, niemniej svellatio accidentis, czyli w tym pierwszym przypadku błądu wydatnienia przypadkowego szczegółu, że no tak, tak, no skoro jednej firmie się powinęła nogę, no to należy automatycznie zlikwidować edukację zdalną.
2168:  Dokładnie tak samo byście zrobili na przykład, gdyby się okazało, że w Black Red White na przykład sprzedali wam wadliwy stół.
2176:  I ten stół, załóżmy, dla prostoty przykładu, ma zamiast czterech nóg trzy.
2181:  W związku z powyższym, wniosek mądry, a uczony, który wyciągacie, ja teraz nie kupię żadnego stołu.
2189:  Stoły mnie oszukały.
2192:  Stoły się przewracają.
2194:  Dut, idź do Ikei albo idź do... Nie, nie będę tego odmieniać.
2199:  Nie będę tego odmieniać, tak jak Ikea sobie życzy.
2201:  Nie będę mówił, idź do Ikea.
2204:  Więc idź do Ikei albo idź do jakiegokolwiek innego strefu meblowego i tam sobie kup.
2208:  Tam są inne stoły.
2209:  Nie, ja się obraziłem, bo ten stoł... Dokładnie tak samo, niestety, myślą ludzie w odniesieniu do zjawisk abstrakcyjnych.
2215:  Więc jeżeli szkoła w murze będzie niewypałem i nagle w przyszłym roku będzie 20%, to przypominam, że należy to rozpatrywać jako osobny przypadek, bo tam też są zatrudniani nauczyciele.
2225:  I co więcej, ci nauczyciele są uczeni w dokładnie tych samych uniwersytetach, gdzie się nie umie uczyć ludzi, o czym wiem, bo sam przechodziłem kurs nauczycielski i jedyna metoda, jaką poznałem dydaktyczna, to był wykład.
2237:  Więc powodzenia w stosowaniu alternatywnych metod pedagogicznych i uznawaniu ich za skuteczne, skoro nawet o nich informowano was drogą wykładową, w związku z powyższym podświadomie zakarbowaliście sobie w głowie, że aha, no to w takim razie wykład jest najskuteczniejszy, skoro nawet o innowacjach pedagogicznych mówi się metodą wykładową.
2256:  Więc nauczyciele są uczeni źle i są uczeni źle od dziesiątków lat, dlatego mamy takie problemy, jakie mamy, bo nawet w najgorszym systemie nauczyciel, jeżeli jest dobry, jeżeli pracuje z pasją, będzie w stanie zrobić absolutne cuda, a jeżeli jeszcze do tego wszystkiego nie będzie się bawił w ocenki, to jeszcze znajdzie czas na to, żeby firmę na boku założyć i uprowadzić i nie mieć w ten sposób problemów finansowych.
2277:  Ale oczywiście wiemy dobrze, jak to się kończy.
2279:  To znaczy, że zdecydowanie lepiej jest zrobić pipsztynion kartkóweczek i sprawdzianików, następnie wypełniać rubryczki sobie jak rachmistrz, dzielić, ważyć, mierzyć, tak, tak, bo ma być obiektywnie.
2291:  To, moi drodzy, są problemy, które da się rozwiązać oddolnie.
2297:  I Szkoła w Chmurze i podobne inicjatywy pokazują, że taka zmiana oddolna jest...
2302:  Możliwa, bez ustawy, bez reformy, bez wprowadzenia nowych ministrów, którzy zmienią tylko nazwy przedmiotów, bez robienia tej całej fasadowej zmiany, tylko z realną, faktyczną zmianą, która naprawdę jest w zasięgu naszych możliwości.
2319:  I wydaje mi się, że to jest taki ostatni dzwonek alarmowy, który mamy, bo nieprędko prawdopodobnie znowu wróci ten temat i nieprędko będziemy dyskutować o maturach, a zaręczam Wam, że ten temat będzie się jeszcze utrzymywał, ponieważ przed nami rekrutacja na studia i się nagle okaże tak, zresztą poinformowała mnie jedna z widzek, że osoby, które zdawały maturę w trybie z 2023 roku mają o wiele lepszy traktament niż osoby, które zdawały maturę w trybie z 2015 roku.
2348:  bo na przykład się okazało, że te osoby, które pisały w 2015, miały 180 minutek i tyle na napisanie.
2355:  No bo jak wiadomo, na maturze trenujemy nie, wiecie, umiejętności czy nie, sprawdzamy wiedzę, tylko wyłącznie sprawdzamy umiejętność szybkiego pisania pod wpływem czasu i presji czasu zwłaszcza, prawda, oraz osób, które się przechadzają wokół i sprawdzają, czy jest wszystko w porządku.
2370:  Zresztą uważam, że chyba najlepszym
2372:  Obrazkiem tego, jakie są priorytety polskiej edukacji był ten, który ilustrował cytowany wyżej artykuł w Polityce, gdzie macie nieszczęsną maturzystkę, która jest zgięta w pałąk i najprawdopodobniej jej kręgosłup będzie pękał w ciągu najbliższych 10 lat.
2387:  Bardzo współczuję, bo oczywiście szkoła nie uczy nas również poprawnej postawy.
2392:  To są kłopoty, o których powinniśmy mówić.
2395:  I to są kłopoty, o których będziemy mówić jeszcze przez długi czas, ale wiecie, kto będzie pamiętał o tym, że rocznik, który zdawał maturę wedle starego trybu, miał gorzej lub lepiej od rocznika, który zdaje wedle trybu 2023?
2408:  Nikt nie będzie o tym pamiętał za parę lat.
2410:  Tak samo jak nikt już nie pamięta o tym, że jak wprowadzano gimnazja, to nauczyciele podnosili larum, nie niszczcie szkoły podstawowej!
2418:  To jest
2419:  Piękny wynalazek!
2421:  Myśmy się napracowali na to, jest piękny system!
2427:  Nie niszczą, wspaniały eksperyment!
2430:  I to samo teraz słyszę na różnego rodzaju debatach.
2433:  Zniszczyli gimnazja!
2435:  Wspaniały eksperyment oświatowy, cudowny!
2440:  Zniszczyli, dlatego jest taki problem, Krzysztof nic, bo to przez te gimnazje zlikwidowali, tam było dobrze!
2450:  I wiecie, jeżeli się pamięta takie dwie sytuacje, a moja pamięć jakkolwiek dysfunkcyjna w takich przypadkach jakimś cudem budzi swoje pokłady kreatywności, no to jesteście o krok od psychiatryka.
2462:  Można oszaleć, jak się widzi osoby, które biorą te dwie sytuacje i nie widzą zbieżności między nimi.
2471:  że za każdym razem mówi się o jakiejś magicznej instytucji, która coś zmienia.
2476:  Ludzi zmieniają, nie żadne instytucje.
2478:  To ludzie są zatrudnieni w szkole w murze, mogą być dobrymi nauczycielami lub gorszymi.
2481:  To ludzie sprawdzają egzaminy maturalne.
2483:  To ludzie decydują się na to, że będą sprawdzać te egzaminy maturalne tak, jak sprawdzają, że nie uznają części poprawek albo uznają inne.
2490:  Co to w ogóle za gadanie na temat tego, że były jakieś naciski ze strony Centralnej Komisji, żeby nie zaliczać tych parametrów, a zaliczać inne parametry?
2498:  W ostatecznym rozrachunku ten egzaminator, który coś takiego zrobił, miał miękki kręgosłup moralny.
2505:  To jest problem.
2507:  Ugią się.
2508:  Czy nie żyjemy w Korei Północnej, na miły Bóg?
2511:  Można zaprotestować.
2512:  Ile razy mi się zdarzało protestować?
2514:  Czy jestem w ten sposób popularny i zyskałem populację?
2517:  Absolutnie nie.
2519:  ale przynajmniej powiedziałem swoje i mogę sobie spojrzeć do lustra.
2523:  Natomiast dzień za dniem w polskiej edukacji pracują ludzie, którzy nie mogą sobie spojrzeć do lustra i nie mogą również spojrzeć prawdzie w oczy.
2533:  I problem polega na tym, że ci ludzie później będą uczyć etyki, słusznego postępowania i równocześnie różnego rodzaju kursów, przedmiotów i tak dalej, co do których sami nie mają przekonania.
2545:  To jest problem.
2546:  Tego problemu nie rozwiąże żadna ustawa i nie rozwiąże żaden edykt, ale jest jedna rzecz, którą może oczywiście rozwiązać ustawa, to znaczy może, nomen omen, rozwiązać szkoły w chmurze, może rozwiązać edukację domową.
2558:  I pytanie wtedy, co nam zostanie?
2562:  Co będziemy mogli wtedy polecać ludziom, którzy chcą poza systemem przygotować się do egzaminów państwowych?
2568:  Więc tutaj jest obszar, w którym należy maksymalnie dużo i wiele zrobić, ile tylko możemy, żeby te rozwiązania nie zostały pogrzebane, bo jak widać działają i teraz potrzebujemy tylko, ponieważ to był pierwszy rocznik maturalny szkoły w chmurze, żeby było lepiej, żeby zatrudnić więcej ludzi, którzy będą tam działali, żeby...
2587:  Więcej uczniów wiedziało o tej alternatywie, między innymi dlatego też to nagrywam.
2591:  Może alternatywą nie jest droga szkoła prywatna, w której nauczymy się prędzej jak być jeszcze większym snobem niż w szkole publicznej, tylko może alternatywą jest, nie wiem, zacieśnienie kontaktów z rodziną przy okazji częstszego bycia w domu, jeśli ktoś oczywiście ma taką możliwość.
2609:  Jeżeli ktoś ma takie chęci, a nie może,
2613:  Może okazją to będzie do tego, żeby rozwinąć umiejętności, których nie rozwiniecie, będąc na szykcie 8 godzin, jeszcze 2 godziny w tej i w tamtą powrotu i zadań domowych i nie zostaje Wam absolutnie nic czasu dla siebie?
2625:  Może to jest alternatywa, którą warto wypróbować?
2628:  Tylko właśnie to trzeba wypróbować.
2630:  Tak samo jak...
2632:  Decyzja pójścia na studia powinna być decyzją przemyślaną.
2635:  Tak samo decyzja o tym, jaką będziemy ścieżką edukacyjną podążać, również powinna być przemyślana.
2640:  Ale oczywiście o wiele lepiej jest, gdy jest się tym workiem ziemniaków, który jest odstawiany przez autobus lub rodziców do szkoły i następnie przywożony do domu, gdzie sobie może radośnie dojrzewać.
2650:  Tylko problem polega na tym, że z takiej bulwy może niewiele wykiełkować.
2654:  Poza traumami, lękami...
2657:  nieprzyjemnymi wspomnieniami, poczuciem zmarnowanego czasu jak w wielu przypadkach i niestety również może się okazać tyleż samymi
2668:  punkcikami i procencikami, co moglibyście zyskać kompletnie rezygnując z tego systemu.
2675:  I również dostać się na studia albo gdziekolwiek indziej pracować, gdzie jest wymagana matura.
2680:  I gdzie wymagana jest po prostu tejże matury zdanie, a nie zyskanie 100%, co jak widać po człowieku z doktoratem nie jest i nie było możliwe także i wtedy, kiedy mieliśmy zupełnie innego ministra i tak się obrywało wtedy 20%.
2695:  Morał z tej historii jest więc następujący.
2698:  Jeżeli chcecie rzeczywiście walczyć z edukacją zdalną i pokazywać jej różnego rodzaju straszliwe oblicza, obawiam się, że musicie podążyć ścieżką Krzysztofa i wielu innych osób, które krytykują ten system razem z jego parametrami, procencikami, egzaminkami, maturkami i pokazują, że najważniejszy jest w ostatecznym rachunku kontakt człowieka z człowiekiem.
2724:  bo jeżeli będziemy w dalszym ciągu algorytmizować naszą edukację i sprowadzać do rzędów cyferek, mam bardzo złe informacje, o których już wcześniej mówiłem dla każdego coś przykrego w odcinku o chatbotach, mianowicie AI zawsze będzie od nas pod tym względem lepsze.
2738:  Jeżeli więc będziesz myślał jak robot, nie zdziw się, że robot cię zastąpi i będzie od ciebie znacznie lepszy w tym, co robisz.
2747:  Do następnego.
