Krótki film o zamęczaniu | Dla każdego coś przykrego #21
🔗 https://www.youtube.com/watch?v=PJEbgSjA-os

1:  Metal jest twardy.
1680:  Na szczęście to wśród młodych pokoleń zaczyna zanikać, ale w dalszym ciągu jest to problem dla boomerów intelektualnych, niemetrykalnych.
1687:  No, więc dla tych ludzi z pewnością ta forma zdalna była po prostu wygodniejsza.
1693:  Ale coś zaczyna od drugiego miejsca.
1695:  I nie mówimy tutaj o 2%, 12%, tylko co drugiej osobie.
1700:  Bo 45% mówi o zmęczeniu.
1702:  Najwięcej.
1703:  Obowiązek uczenia jest na drugim poziomie.
1704:  Dla wszystkich złośliwców, którzy mówią, że no tak, tak, Krzysztof, oczywiście, przecież uczniowie zawsze by narzekali na to, że mają dużo do roboty.
1712:  No dziwne, bo w Skandynawii na przykład na to nie narzekają.
1714:  Być może dlatego, że po 4 godzinach czy 5 wracają do domu, rzucają tornister w kąt i mogą iść pracować.
1720:  robić to, co robią młodzi ludzie, czyli rozwijać się.
1722:  Także poprzez zabawę, ponieważ hello, zabawa rozwija.
1727:  Możliwość zdobywania nowej wiedzy, to jest też skojarzenie ze szkołą, to ja rozumiem bardzo straszna rzecz.
1733:  Przyjaźń koleżeńska, super.
1735:  Możliwość zdobywania nowej umiejętności, sukcesy, ocenianie wiedzy.
1738:  Tu już troszeczkę zaczyna się problem, to znaczy wiecie dobrze i znacie mnie już na tyle, że ja ani sukcesów, ani oceniania wiedzy i umiejętności nie traktuję jako coś pozytywnego.
1747:  Mimo, że prawdopodobnie co drugi widz tego odcinka będzie to tak to jako coś pozytywne, ja tylko przypomnę, że oceny są sposobem właśnie takiego prokrustowego dzielenia ludzi na lepszych i na gorszych, a sukcesy wzmagają w nas tylko poczucie kompetytywności, przygotowują nas do wyścigu szczurów, dzięki czemu potem jesteśmy takim łatwym nabytkiem, takim naiwnym człowiekiem, który przychodzi do pracodawcy i pracodawca się...
1770:  Będzie z nim łatwo, jest już przyzwyczajony i wytresowany do tego wszystkiego.
1774:  Mogę go na nim zrzucić 14 godzin, to jeszcze będzie naiwny kretyn zapierdzielał, żeby mieć lepsze wyniki od tego, a ja będę tylko liczył złotóweczki i sobie kupię nowy dom.
1786:  Przyjazne środowisko, no, panie, panowie, 9% przyjazna szkoła.
1795:  Strach, przemoc, wsparcie,
1800:  Docenianie od wkładu pracy osiągnięć, no masakryczna liczba, znaczy wartość procentowa 6,2.
1806:  O, jak dużo!
1808:  Natomiast to, co mnie najbardziej przeraziło w tym raporcie i oczywiście też jest zgodne z moimi różnymi obserwacjami, to emocje.
1817:  Coś mega niemierzalnego, a jednak bardzo ważnego, jeżeli mamy mówić o dobrostanie i o właśnie zmęczeniu materiału.
1824:  Obojętność.
1825:  co druga osoba.
1827:  Radość też co druga osoba, ale równocześnie smutek, złość, strach, wsparcie.
1833:  To jest po 20%, prawda?
1836:  Możemy domniemywać, że ta radość czy spokój jest związana raczej z sytuacjami koleżeńskimi, a to dzięki temu, że możemy skorelować to z informacjami o tym, że spotkania z kolegami są wskazywane jako coś najistotniejszego, a nie bynajmniej przyjazne środowisko.
1851:  To na wypadek, gdyby ktoś chciał w kontrargumencie do mnie troszeczkę sobie pomanipulować danymi, to przykro mi, nie pomanipulujecie sobie, ponieważ ta radość i zadowolenie jest skorelowana z innymi cechami.
1863:  No i wreszcie...
1865:  Co powoduje stres?
1867:  Co powoduje zmęczenie?
1869:  No i lecimy sobie.
1870:  Odpowiedzi ustne.
1872:  To jest dla mnie rzecz najbardziej tragiczna i od razu powiem dlaczego.
1877:  W całej swojej pracy akademickiej jedna z najbardziej lubianych przeze mnie rzeczy to możliwość porozmawiania ze studentem.
1884:  Bardzo szybko musiałem z tego zrezygnować na rzecz tego, czego nie lubię, czyli obmyślania jakichś projektów czy tematów do rozwiązania samodzielnego i opracowania nie w kontakcie ze mną.
1895:  Ponieważ zorientowałem się bardzo szybko, że ludzie są absolutnie przerażeni.
1899:  Oni są tak przerażeni, że ja nawet nie byłem w stanie w żaden sposób wpłynąć na obniżenie tego przerażenia, a dodam, że u mnie zawsze na egzaminach można korzystać z notatek, smartfonów i laptopów i czegokolwiek się tam chce i wysyłam slajdy do prezentacji, więc wszystko, co jestem w stanie zrobić, żeby obniżyć ten stres, robię.
1917:  A zatem musi on mieć jakąś inną etiologię, źródło.
1921:  Gdzieś ono indziej musi tkwić.
1923:  I z moich rozmów ze studentami wynika jasno.
1927:  Jak ktoś jest wywoływany do tablicy w szkole, czuje się stygmatyzowany i piętnowany.
1932:  Oceniany, ale w tym złym stopniu.
1936:  Czuje się przede wszystkim wystawiony na pręgierz całej grupy.
1939:  To dlatego, że cały czas mamy ten kościelny układ, że jest ambona, tutaj są ławki z uczniami, którzy...
1945:  Wpatrują się w nauczyciela mówiącego o podstawie programowej.
1953:  No i to sprawia, że w momencie, w którym wyciągniemy jakąś osobę na miejsce kapelana, to stresuje się podwójnie, ponieważ wszystkie oczy na niej spoczywają.
1963:  I nie jest prawdą, że tylko nauczyciel będzie krytykował czy się wyśmiewał.
1967:  Uczeń też może to zrobić, prawda?
1970:  I na tym polega cały problem.
1973:  Nie możemy zapominać o tym, że te kontakty rówieśnicze także wiążą się z bullyingiem i sytuacjami oceniania przez rówieśników.
1981:  Więc odpowiedzi ustne zostały zaprzepaszczone przez szkołę.
1985:  Dziękuję uprzejmie wszystkim nauczycielom.
1987:  Dobrze pamiętam ten strach, który we mnie narastał, jak czekałem zawsze ze spuszczoną głową, licząc na to, że nie zostanę wyczytany i błogosławiłem uczniów,
1997:  Koniunkcję gwiazd, w momencie, w którym dostawałem szczęśliwy numerek, nie musiałem być wywołany do odpowiedzi.
2002:  Zauważcie, że ta gra o szczęśliwy numerek jest bardzo znamienna.
2007:  Masz szczęście, bo nie będziesz rozmawiać.
2011:  A zatem, jeśli rozmawiasz z nauczycielem, wydajesz się w dialog, to masz pecha.
2017:  To jest aż tak proste.
2019:  I indukujemy w uczniach w ten sposób postawę przerażenia.
2023:  Odpowiedzią ustną.
2025:  A wiecie, na czym polega dowcip?
2027:  Testy na uczelniach nazywa się kolokwiami.
2030:  Co znaczy koloksium po łacinie?
2033:  Rozmowa.
2035:  Nadmiar nauki 49%.
2036:  I od razu dopowiem, to nie chodzi o nadmiar nauki, bo uczniowie mają problem z tym, tylko przepraszam najmocniej, jeżeli nauka to jest jakieś 14-15 godzin dziennie, to ja autorytatywnie oświadczam, tak, to jest nadmiar nauki, bo ja pracuję mniej na swoim etacie.
2052:  A etat naukowo-dodaktyczny to nie jest to samo co etat nauczyciela, bo jeszcze do tego jest publicanie publikacji, grantów i tak dalej.
2059:  Dużo tego.
2061:  Tylko, że wykładowcy nie protestują w tej prawie naukulicy, nie epatują swoimi płacami.
2067:  Sprawdziany 45%, czyli zobaczcie, 45% i 52% na temat samych metod weryfikacji wiedzy, dlatego mówiłem, likwidować oceny, likwidować egzaminy.
2077:  Niezapowiedziane kartkówki, trzeci system sprawdzania postępów wiedzy.
2082:  Nawiasem mówiąc, chyba najbardziej kretyński, ponieważ dlaczego jest niezapowiedziana kartkówka?
2090:  To jest bardzo proste, to znaczy jest takie założenie, że jeżeli chcesz uczniu mieć dobre oceny, to pracuj systematycznie każdego dnia, nauczysz się każdego dnia troszeczkę, to potem się to tak kumuluje, kumuluje, taki efekt śnieżnej kuli i potem przed maturą to już...
2110:  Nawet kropla potu nie wstąpi na czoło, bo gdzieś tak systematycznie się uczą.
2114:  Tak, tak, oczywiście, tylko że są tacy ludzie, którzy po prostu w ten sposób nie pochłaniają wiedzy i tyle, i systematyczność im nic nie daje.
2120:  Na przykład ludzie, którzy mają problemy z pamięcią, wolą pouczyć się, coś o tym wiem, wcześniej na, nie wiem, tydzień czy dwa tygodnie wcześniej przed egzaminem, ponieważ wiedzą na tysiąc procent, że jeżeli czegoś się nauczyli dziewięć miesięcy wcześniej i nawet umieli przez tydzień, ponieważ uczyli systematycznie, to na czas egzaminu to im wszystko wyparuje z głowy i tyle widzieli całą wiedzę.
2138:  Więc niezapowiedziane kartkówki są idiotyczne, metodologicznie, ale jeszcze są idiotyczne pod względem indukowania stresu psychofizycznego.
2146:  I szybka anegdota z mojego życia.
2148:  Mianowicie miałem kiedyś taką sytuację, opowiadałem Wam o tym, że 20% dostałem z matury próbnej z języka polskiego.
2154:  Pozdrowienia!
2156:  Tak, bardzo radosna sprawa.
2158:  I...
2160:  Dosłownie tydzień czy dwa tygodnie później, po prostu interwencji nauczyciela, moi rodzice szli do szkoły, byli wzywani, że nie będę zdawał matury, że to jest w ogóle skandal.
2168:  Byłem na olimpiadzie, na szczeblu wojewódzkim.
2170:  I dowcip polega na tym, że dostałem ten sam temat.
2173:  Ten sam.
2174:  Nie wiem, jak to się złożyło.
2176:  Tylko, że była jedna różnica.
2177:  Na maturze próbnej miałem na to godzinę, na olimpiadzie miałem na to cztery.
2183:  Napisałem tekst.
2184:  Wiecie, w ile go oddałem?
2185:  W 45 minut.
2187:  W 45 minut napisałem to, dlatego że nie miałem godziny limitu czasowego, tylko 4 godziny.
2193:  Dlatego też ja na wszystkich swoich egzaminach, które od samego początku projektowałem, zniosłem limity czasowe.
2199:  Zdarzało mi się siedzieć ze studentami 10-12 godzin na egzaminie pisemnym, bo tego potrzebowali.
2203:  Zamówiliśmy pizzę i burgery kiedyś.
2205:  Innymi razem wzięliśmy pączki, bo był tłusty czwartek.
2209:  I potem sobie uświadomiliśmy, że trzeba jeszcze kupić picie, więc poszliśmy kupić picie.
2213:  I wróciliśmy do pisania normalnego, tak?
2215:  Bo ludzie tego potrzebowali.
2216:  Ja nikogo do tego nie zmuszałem.
2220:  Teraz, jak realizuję egzamin w trybie zdalnym, tydzień czasu daję.
2225:  Każdy sobie może wejść w slot, w okno wtedy, kiedy mu jest wygodnie.
2228:  Jaki jest tego efekt?
2230:  90% ludzi robi to natychmiast.
2233:  a inni ci, którzy nie byli w stanie, robią to w swoim czasie i nikomu się nic nie dzieje.
2238:  I co więcej, okazuje się, że wtedy podchodzimy do tego jak do pewnego wyzwania, a nie do sytuacji, która stawia nas pod ścianą i osoby, które nie radzą sobie ze stresem, nie nauczy, nie nauczy ich radzić sobie ze stresem, wręcz przeciwnie, będzie w nich potęgować ten stres za każdym razem, jak będą w podobnej sytuacji, aż w końcu coś w nich, wytrzymałość materiałów, pęknie.
2263:  Następnie ocena niedostateczna.
2267:  33% się tym stresuje.
2268:  Jest Mikołaj Marcela, o którym za każdym razem będę wam mówił, aż przeczytacie wszystkie jego książki.
2274:  Donosił na swoim Facebooku, że jest jedna szkoła w Polsce, liceum, które pilotażowo wprowadziło zamiast oceny niedostatecznej jeszcze nie notę.
2284:  Co natychmiast obniżyło poziom stresu u uczniów, ponieważ zrozumieli, że nikt ich nie ocenia, że są beznadziejni, tylko że jeszcze muszą popracować.
2292:  To jest normalny feedback, informacja zwrotna.
2296:  Jeszcze nie, popracuj.
2299:  Za dwa tygodnie się spotkamy, porozmawiamy znowu.
2303:  Myśli o czekających uczniach egzaminach, który to już jest?
2306:  Odpowiedzi ustne, sprawdziane, niezapowiedziane kartkówki, myśli o czekających egzaminach.
2310:  Zobaczcie, ile jest elementów egzaminacyjnych wśród czynników stresogennych.
2315:  Następnie oczywiście zadania domowe, krytyka ze strony nauczycieli, sama sprawa i samo przyjście do szkoły to jest dopiero któraś pozycja, 16%.
2324:  Czy krytyka ze strony kolegów, niewłaściwe relacje, brak wsparcia ze strony nauczycieli, to zawsze było wskazywane przez uczniów, bo mamy różne podejścia psychologiczne i są różnice psychologiczne między nami, więc trudno się dziwić, że ludzie w ten sposób tego nie robią.
2337:  A jeżeli chodzi o same prace domowe, to jeszcze o nich może sobie powiemy.
2340:  Przymęczenie, przymus, przykry obowiązek, trudność, złość.
2345:  Smutek, dominacja negatywnych odczuć związanych z zadaniami domowymi powinna bardzo jaskrawo pokazać, że jest gdzieś problem i że ten problem leży właśnie w systemach sprawdzania ocen i systemach weryfikowania umiejętności i wiedzy, głównie wiedzy, umówmy się, bo umiejętności nikt nie weryfikuje, a nikt ich też nie uczy u uczniów, natomiast...
2371:  Nie leży ten stres w tym, że ktoś nie lubi szkoły.
2375:  Jest krzywdzące, a właściwie, powiedzmy sobie szczerze, wredne i nieludzkie wymawianie en bloc wszystkim uczniom, że są niezadowoleni ze szkoły tylko z tego powodu, że są niezadowoleni ze szkoły, bo uczniowie już tak mają, a tak naprawdę to porozmawiajmy wreszcie o tym, co jest faktycznym problemem ze szkołą, to znaczy niskie płace dla nauczycieli, bo w momencie, w którym, no wiecie, będzie 300 zł więcej na koncie,
2399:  no to ja już widzę tego nauczyciela, który przestaje zadawać zadania domowe.
2406:  Bo wiecie, paradoks polega na tym, że zadania domowe zwiększają nakład pracy ze strony nauczyciela.
2413:  Co byście o tym nie myśleli.
2415:  Nauczyciel musi to wszystko sprawdzić.
2418:  Ale powiedzcie mi, jak to się logicznie dodaje?
2420:  Jeżeli nauczyciel mało zarabia i zadaje 15 bombilionów zadań domowych,
2426:  i przez to ma nadgodziny, które nie są płatne, to myślicie, że jak dostanie te trzy stówki więcej, to on powie, nie no to teraz nie zadajemy zadań domowych, nie no super, fajnie, teraz nie będę wyrabiał tych nadgodzin, które wyrabiałem wcześniej, bo tak.
2440:  No oczywiście, że nie, ponieważ w dalszym ciągu będzie konieczność realizacji wszystkiego tego, co jest zadawane uczniom, całego tego materiału, który trzeba przerobić na tę papkę i następnie wtłoczyć do mózgów.
2454:  Jeżeli przeróbka tego materiału się nie uda na lekcjach, to przecież zawsze można to zrzucić na rodziców i korepetytorów, prawda?
2462:  Więc nie mówcie mi,
2464:  Drodzy nauczyciele, jeśli to oglądacie, że wszystko jest związane z niskimi płacami.
2470:  Bo niskie płace są we wszystkich sektorach, umówmy się.
2474:  Także w sektorze uniwersyteckim, gdzie mój kolega z biblioteki uniwersyteckiej w Szwecji, jak usłyszał od mojego przyjaciela, że zarabia 600 euro miesięcznie, to się opluł i powiedział, chyba mówisz tygodniowo.
2486:  Więc wszędzie jest problem z płacami i nie chodzi tylko o sektor edukacji, tylko chodzi o bardzo dużo różnych zawodów i może przestańmy wreszcie rozmawiać o tym, partykularnie tylko uniwersalnie, że potrzebujemy generalnie podwyżki płac w wielu zawodach i potrzebujemy dorównać do poziomu europejskiego, co może być pewnym problemem, biorąc pod uwagę to, że aktualny nasz rząd robi absolutnie wszystko, żeby nas z tej Unii wyrzucili.
2509:  Niemniej to nie jest związane z płacami i bardzo bym nie chciał, żeby ta dyskusja się w tym kierunku zwróciła z bardzo prostego powodu.
2517:  Kompletnie nie z tym jest związany stres uczniów, kompletnie nie z tym jest związany ich dobrostan psychofizyczny.
2523:  I dlaczego?
2523:  Skąd to wiem?
2524:  No z bardzo prostego powodu, bo wszystko, chociaż zaczyna się w edukacji, jak staram się zawsze na tym kanale pokazywać, to bynajmniej się na niej nie kończy.
2533:  Otóż cały ten zbitek i zlepek problemów, o którym rozmawiamy,
2537:  On jest owszem,
2541:  ma swoje źródło w szkole, tak?
2543:  Tam jest jego zaczyn.
2544:  Natomiast konsekwencje tego sięgają o wiele dalej.
2548:  Ja do dzisiaj się zmagam z pewnymi problemami.
2550:  Do dzisiaj ja, mimo że mówię wam, żebyście się nie przejmowali, odpoczywali.
2555:  Do dzisiaj mam czasem takie myśli.
2557:  Krzysztof, mógłbyś robić więcej.
2559:  Może złóż następny grant, skoro ten nie wyszedł.
2562:  I nie dostałeś prawie żadnej pomocy od nikogo i wsparcia, jak nie udało się z tym grantem.
2567:  Ale co tam?
2567:  Przezwycięż stres, napisz następny.
2571:  Jest ten głosik, ten wewnętrzny strażnik, o którym wam kiedyś mówiłem w filmach.
2574:  W nas siedzi zinterioryzowany i mówi nam, czym mamy się przejmować.
2579:  I ten wewnętrzny strażnik będzie oddziaływał na was przez całe życie.
2586:  Jeżeli czegoś z tym nie zrobicie, jeżeli nie zaczniecie sami ze sobą rozmawiać i próbować walczyć z tym systemem na wszystkich możliwych szczeblach.
2594:  Bo cechą oto, narodową Polaków jest to, że jesteśmy przepracowani.
2601:  To jest też z tego miesiąca artykuł na łamachbankiera.pl.
2608:  Alan Bartman pisze, że Polacy są przepracowani bogonią za kołchód i wytchnienia szukają w kokoningu.
2614:  Kokonik to jest to zabawne określenie na szukanie wytchnienia w Netflixie albo w scrollowaniu TikToka, bo mamy ochotę po ciężkim dniu pracy praktycznie wyłącznie zwinąć się w rzeczony kokon.
2627:  i iść spać albo zobaczyć jakiś niezobowiązujący film.
2631:  Wiecie na czym paradoks polega?
2633:  Zajmuję się grami wideo, więc jest mi to bliski problem.
2636:  Bardzo często jest tak, że człowiek jest tak wykończony, że nie ma siły siąść przed kompem albo siąść przed telewizorem i wziąć kontrolę, bo gra wideo jest medium multisensorycznym, wielobodźcowym, wymaga od nas o wiele większego zaangażowania niż legnięcie na sofie i oglądanie sobie Netflixa albo odpalenie telefonu.
2655:  I dlatego wybieramy właśnie kokoning i owinięcie się kocykiem i pledzikiem i schowanie się w naszym bezpiecznym miejscu, żeby jakoś się zregenerować.
2665:  Cała rzecz polega na tym, że ta szkolna maniera zadawania zadań domowych, przenoszenia pracy z obszaru, który jest jej przeznaczony, jej dedykowany, do obszaru domowego, bezpiecznego, w którym powinniśmy integrować się z rodziną, spotykać znajomymi i odpoczywać, prowadzi do tego, że Polacy biorą nadgodziny i na dłużej pracują.
2685:  Problem jest w tym, czytamy w wywiadzie z
2688:  Małgorzatą Marczulewską, że pracodawcy nie rozumieją, że nie ma czegoś takiego jak przymusowa nadgodzina, nawet jeżeli wiąże się z dodatkową pensją.
2696:  Nie można zmusić człowieka, żeby pracował 16-17 godzin na dobę.
2700:  Nie można, nie można, przepraszam, ale przecież zmusza się ludzi, żeby pracowali 16-17 godzin na dobę, bo literalnie o tym czytamy w doniesieniach uczniowskich.
2710:  Więc jeżeli na etapie, w którym nie płacimy ludziom za to takie zaangażowanie, przyzwyczaja się ich do tego, że mają w ten sposób pracować, no to domyślacie się chyba, że w momencie, w którym będziemy na etacie i będą nam za to płacić, to pomyślimy, że my dalej jesteśmy winni coś pracodawcy.
2728:  I na razie słyszałem od różnych znajomych stwierdzenia, że ja muszę skończyć ten projekt, bo jak ja tego nie zrobię, to ja mówię, i co?
2737:  To co się stanie, jak tego nie zrobisz?
2739:  Meteoryt spadnie?
2741:  No nie no, cały zespół będzie miał problemy.
2743:  I co?
2745:  to zostanie zrealizowane zadanie później.
2747:  Myśl ad absurdum, czyli odnieś sytuację do absurdu.
2751:  Wyobraź sobie, że złamałaś nogę.
2753:  Wyobraź sobie, że stało się to z winy pracodawcy, który nic ani myśli do ciebie zadzwonić do szpitala i mówić, żebyś wrócił do pracy, bo wtedy beknie od Państwowej Inspekcji Pracy.
2763:  Więc siedzi cicho.
2764:  I co jest z projektem?
2765:  Jest zrealizowany czy nie jest zrealizowany?
2767:  Nie, przecież oczywiste jest to, że w momencie, w którym ty się przestałeś angażować w to, bo masz złamaną nogę, to cały zakład pracy zrobił tak.
2777:  I oni czekają, aż Ty wrócisz.
2778:  No bo zamarła robota cała, prawda?
2780:  Zamarł projekt.
2781:  Nie, oczywiście, że się tak nie stało.
2782:  Wszystko idzie dalej, idzie naprzód.
2784:  Takie jest życie.
2785:  Przemijamy.
2786:  Nasza egzystencja jest ulotna.
2788:  Więc nie ma co marnować naszego życia na realizowanie zadań, tasków, milestone'ów.
2795:  To wszystko się bierze z tego, że w którymś momencie ktoś nas do tego przyzwyczaił.
2800:  Ja kiedyś pracowałem po 18-20 godzin dziennie.
2804:  Tak, spałem 4 godziny.
2806:  Jadłem sobie coś pomiędzyż na szybko, ponieważ zdawałem sobie sprawę, nawiasem mówiąc, niestety słusznie z tego, że jeżeli nie będę tak zapierdalać, nie mam szans na zajmowanie się fantastyką i grami wideo przy tym poziomie stereotypów i złośliwych uwag, które się dzieją.
2820:  Dopiero musiałem mieć żelazną blachę na dupie i dorobek taki, żeby nikt nie mógł mi podskoczyć, żebym mógł się tym zajmować.
2826:  Tak, zdawałem sobie z tego sprawę.
2828:  Ale to, co odcierpiałem swojego zdrowotnie, to moje.
2831:  I to, z jakimi do dzisiaj się zmagam konsekwencjami psychofizycznymi, z tego to moje.
2836:  I nie robię tego materiału po to, żeby mieć kliki i wyświetlenia, bo Krzysztof znowu robi rant, tylko po to, żeby przestrzec może parę osób, które w podobnej sytuacji było w szkole jak ja, albo w pracy w podobnej sytuacji jak ja.
2848:  I zdawało im się, że w momencie, w którym będą pracować więcej, no to cały świat powie, no to pięknie, ślicznie, jak wspaniale, to w takim razie podwyżka.
2857:  Nie.
2858:  Nie powie podwyżka ten człowiek, tylko powie, a ten naiwniak pracuje 18 godzin, a to spoko, to on tyle może, tak?
2865:  Pewnie rodziny nie ma, albo nie ma co ze sobą zrobić, albo jest pracoholikiem, to wykorzystamy to.
2871:  No i oczywiście, że tak będą myśleć.
2873:  I mamy ich winić?
2877:  w tej kwestii?
2878:  Jeżeli myślicie, że znowu przesadzam, proszę uprzejmie.
2880:  Państwowa Inspekcja Pracy stwierdziła od początku bieżącego roku, czyli 2021, popandemicznego nawiasem mówiąc, 2700 naruszeń praw pracowników pod względem liczby nadgodzin w Polsce.
2893:  Natomiast dane Eurostatu pokazują, że jesteśmy trzecim najdłużej pracującym narodem w Europie.
2897:  Zarówno o powodach jak i zagrożenia płynących sprzepracowano.
2900:  Rozmawialiśmy z socjologiem doktorem Michałem Lutostańskim, który grzmi na temat kultu pracy, pracoholizmu, problemów związanych z tym, że cały czas usiłujemy nadgonić te...
2910:  Przepaść, która nas dzieli pod względem płac w Europie Zachodniej.
2914:  I mówi o tym, że w sytuacji, w której mamy elastyczną pracę zadaniową, także dochodzi do tego, że ludzie pracują znacznie więcej.
2922:  Nie zgłaszane są nadgodziny.
2924:  No i dzieje się właśnie ten kokonik zamknięcie własnym kokoniem bezpieczeństwa we własnym domu.
2930:  a nadgodziny powinny być płatne, niezależnie od tego, gdzie one są.
2935:  Więc jak widzicie, po raz kolejny okazuje się w serii dla każdego coś przykrego, że tu nie jest tak, że na edukacji się kończą wszystkie problemy, tu nie jest tak, że na studiach się kończą wszystkie problemy.
2947:  Ta niezgłaszalność, do której nas przyzwyczaja szkoła, że przecież nie powiemy nic o nauczycielu, który źle zrobił, bo nam wpiszą złą ocenę z zachowania albo się będzie mścił.
2960:  Nie zgłosimy przecież nauczyciela do dyrektora, bo on powie temu nauczycielowi.
2965:  Nie zgłosimy przecież dyrektora do kuratorium.
2967:  bo wtedy oni się też znają, tak?
2969:  Będziemy mieli problem w związku z tym.
2971:  No i nie zgłosimy naszego pracodawcy do Państwowej Inspekcji Pracy, no bo przecież, przecież, przecież Gienek jest taki miły, no a w sumie, w sumie jest fajny, ponieważ kupuje nam pizzę w piątki, no a tak w ogóle to przecież on ma teraz kredyt hipoteczny, to co on zrobi, jeżeli straci fi... NIE!
2988:  Jeżeli dzieje się coś złego, to to zgłaszacie.
2990:  Jeżeli nie możecie tego zgłosić, to nagrywacie i czynicie użytek z social mediów, ze stron internetowych i jednego z drugim, które jakkolwiek narusza przepisy prawa, czy to w świetle...
3003:  naruszania praw pracowniczych, czy to w świetle naruszania praw ucznia, czy praw człowieka, czy też w świetle molestowania i mobbingu, zadbać o to, żeby w wynikach wyszukiwania pole jako pierwszy się pojawiała taka strona internetowa z naszym cudownym nagraniem i hitem YouTube'a,
3019:  A dopiero w drugiej kolejności jego profilówka na LinkedInie albo strona domowa.
3024:  Albo w przypadku naukowców ich strona Orcid, gdzie sobie mają swyszkę swojej publikacji naukowej.
3029:  Niech każda następna osoba, która będzie wyszukiwać ją i sprawdzała, czy chce z nią współpracować, zobaczyła tego rodzaju hicior.
3037:  Bo wiecie co?
3038:  To się sprawdza.
3039:  Wszystkie przypadki w ciągu ostatniego roku, w zasadzie półtora nauczania zdalnego, udanych interwencji w odniesieniu do różnych ludzi, którzy dotychczas pozostawali bezkarni, to były sytuacje nagłośnione.
3053:  Uczniowie mogą iść do mediów, studenci mogą iść do gazety.
3058:  Pracownicy mogą iść do Państwowej Inspekcji Pracy, ale także do gazety albo do kogokolwiek, kto jest w stanie sprawę nagłośnić i nadajcie jej bieg, ponieważ ludzie boją się stygmatyzacji i to zabrzmi mrocznie, dlaczego boją się stygmatyzacji?
3074:  Bo ten strach wyindukowała w nich szkoła.
3078:  I spisała w naszą psychikę, więc tak, boimy się bycia napiętnowanym i w sytuacji, w której mamy do czynienia ze złym człowiekiem, który źle postępuje, nie powinniśmy się wahać.
3090:  Bo w momencie, w którym doprowadzimy do tego, że nawet mając nerwy jak stale i umiejąc radzić sobie w każdej sytuacji,
3099:  jednak te nasze stalowe nerwy zaczną pękać, to złą informację mam dla Was.
3105:  Nie będziemy w stanie już wrócić do poprzedniej kondycji, do wcześniejszej naszej odporności.
3111:  Miecz da się wykuć tylko raz w ogniu i w zimnie następnie.
3118:  Zachartować.
3119:  Mówimy, szkoła hartuje.
3121:  Tak.
3123:  Tylko problem polega na tym, że jeżeli zahartuje nas z pewnymi skazami, które będziemy mieli w sobie, to my tego miecza już nie przetopimy.
3130:  Przetopiony miecz traci swoje właściwości.
3134:  I nigdy nie będzie taki wytrzymały, nigdy nie będzie ostry, będzie bezużyteczny i do wyrzucenia.
3139:  I tego się boję.
3141:  Właśnie tego się boję, że w momencie, w którym osiągniemy próg wytrzymałości, to nie będzie już ratunku i zawsze zostanie w nas taka zadra, więc ratujmy siebie jak najszybciej i uczmy się tego, co faktycznie nas może uratować.
3156:  Włóżmy wszystkie swoje siły, które dotąd pakowaliśmy w to, żeby uczyć się produktywności, w naukę sposobów odpoczynku.
3164:  Nie miejmy do siebie pretensji, jak odpoczywamy.
3166:  Przetestujmy swoją wytrzymałość na odpoczynek.
3170:  Przetestujmy swoje pragnienie odpoczynku i sprawdźmy, jak długo rzeczywiście potrzebujemy.
3177:  Mówi się nam, o, będzie 12 godzin dla gry komputerową.
3180:  Znajdźcie taki dzień, spróbujcie zagrać 12 godzin gry komputerową, albo zbingujcie cały seriar w 8 godzin.
3186:  Zobaczcie, czy to coś pomoże.
3188:  A jak nie, to udajcie się do książek, które mówią, postaram się jedną podlinkować w opisie, tak samo TED Talk na ten temat, które mówią o sposobach wykorzystywania waszego wolnego czasu i efektywnego odpoczywania, różnicując na odpoczynek fizyczny, odpoczynek psychiczny, odpoczynek duchowy.
3205:  i spróbujmy każdej z tych opcji, bo być może nie jest dla nas za późno jeszcze.
3210:  Dla mnie w którymś momencie było i okazało się, że rok odpoczywania
3216:  nic mi nie dał i musiałem wziąć się za siebie i pracować nad sobą i powoli, powoli dojść do momentu, w którym ja potrafię odmówić spotkania z kimś albo odmówić projektu, bo ja wiem, że to jest dzień, w którym ja wypoczywam i to jest dzień, w którym chcę sobie przeczytać książkę i po to harowałem dnia poprzedniego i 10 dni wcześniej, żeby zasłużyć sobie na ten dzień, w którym sobie siadam z moją ulubioną herbatą i z whisky i z gorzką czekoladą, otwieram sobie książkę
3245:  i ją czytam.
3247:  Albo siadam sobie przed Netflixem, odpalam sobie świeczkę zapachową, piję herbatę i oglądam film.
3252:  I to jest mój rytuał dla mnie, dla mnie samego.
3256:  Pomijając wypoczynek z rodziną, z bliskimi, potrzebujemy też przestrzeni dla siebie, tego kokoningu.
3264:  Tylko dobrze byłoby, żebyśmy tego szukali, zanim stanie się nam jakaś nieodwracalna, psychowizyczna krzywda.
3272:  Do następnego.
