10 powodów, by zlikwidować kanon lektur | Dla każdego coś przykrego #55
🔗 https://www.youtube.com/watch?v=xrAHyBIXeEw

0:  W Polsce jest wiele rzeczy niepewnych, ale są też takie absolutnie i bezsprzecznie pewne.
1620:  Niektórzy uczniowie sami wybierają książki zgodnie ze swoim zainteresowaniem i jako nauczycielka muszę nie tylko wziąć pod uwagę atrakcyjność utworu , tylko także to, czy zainteresuje on danego ucznia lub uczennicę i ocenić również, czy jest to książka na odpowiednim poziomie trudności.
1636:  Dlatego wysoko sobie cenię metodę czytania w mniejszych grupach i zachęcam do nich wszystkich nauczycieli, którzy uważają, że czytanie na lekcji to strata czasu.
1642:  A tak, tak.
1644:  Czytanie na lekcji, nie w domu jako zadanie domowe, które jak wiadomo według wybitnych autorytetów zajmujących się edukacją w Polsce są absolutnie i bezwzględnie konieczne.
1654:  Szkoda, że te autorytety zajmujące się edukacją tak naprawdę zajmują się głównie edukacją prywatną i zakładają różnego rodzaju fundacje, na których zarabiają na tym, że uczą inaczej niż w polskich szkołach, co nie przeszkadza im bronić zadań domowych i nikt nie widzi w tym sprzeczności.
1668:  No, ale wracając, to nie chodzi o lekturę zadaną, z której odpytujemy następnie po feriach, z tego względu, że trzeba sprawdzić, no wiadomo, czy ktoś przeczytał opracowanie Grega, tylko tutaj chodzi o sytuację realną, w której czytamy razem wszyscy teraz, tu i teraz i na przykład równocześnie uczymy się mówienia, czytania i komunikowania, żeby potem nie być Piotrem Pokraśko.
1690:  który akcentuje wszystkie wyrazy na pierwszą sylabę.
1696:  Za każdym razem, kiedy cokolwiek mówi w mediach lub prasie audiowizualnej.
1702:  Albo polskim aktorem, który będzie mówił z przydechem walendrodycznym Damianie, Damianie, podaj mi cukier.
1714:  Damianie, gdzie mój cukier?
1717:  Ja potem muszę tego słuchać w kinie.
1719:  Więc fajnie byłoby, gdybyśmy ćwiczyli czytanie, mówienie w taki sposób, żeby nie wychodzić potem na kretyna w mediach lub w teatrze i równocześnie sprawiać, że ludzie będą nas chętniej słuchali, bo chyba o to chodzi w komunikacji, tak mi się przynajmniej wydaje.
1732:  Później uczniowie pracują razem nad tekstem, razem przygotowują prezentację, okładkę, plakat, opowiadają klasie o książce.
1738:  We Francji na listach obszernych rekomendacji na każdym etapie edukacji można znaleźć kilkadziesiąt komiksów.
1743:  Ho, ho!
1744:  Torfoga Comics.
1747:  Nie, nic to, że to jest najstarsze medium, bo jeżeli weźmiemy pod uwagę jaskinię w Lascaux, którym ludzie się komunikowali, wyjąwszy oczywiście tradycję oralną i nie chodzi tutaj w tym momencie o polecenie, które miałem autentycznie w podręczniku do języka angielskiego, oral practice work in pairs, tylko chodzi o tradycję ustnego opowiadania historii.
1769:  Nie, to komiks, moi drodzy, to nie jest najstarszy, to jest jakiś wynalazek amerykański, oczywiście z popkultury, tej plecie, tej pop dla populusu, dla tych kmiotów, dla tych kmieci, nie dla ludzi.
1786:  którzy piszą nie dla idiotów, którzy czytają w pustyni, w puszczy i wybitne klasyki polskiej literatury, które znakomicie znają zapracowań Grega, bo przecież nigdy tego nie przeczytali, bo inaczej by nie zdali śpiewająco maturki.
1803:  Kontynuując, we Francji, krótko mówiąc, są tam listy lektur takie ustalane przez nauczycieli oddolnie, to znaczy są jakieś rekomendacje, ludzie sobie mogą proponować pewne rzeczy, zresztą to będzie w Wielkiej Brytanii i we Włoszech na znacznie większą skalę i równie ciekawie.
1822:  W Wielkiej Brytanii chodzi o to, by nauczyć ludzi czytać, zachęcić do czytania i umożliwić czerpanie z niego przyjemności.
1829:  To już jest tak skandaliczny postulat, że nawet nie znajduję słów krytyki.
1832:  Wszystkie chwyty i lektury są dozwolone, choć oczywiście pojawiają się listy rekomendacji tworzone przez nauczycieli, bibliotekarzy, organizacje pozarządowe albo wydawnictwa.
1840:  Podkreślę, wszystkie te grupy, które są całkowicie predestynowane do tego, w ramach swoich kompetencji, żeby tego rodzaju sugestie stwarzać.
1848:  Natomiast absolutnie nie jest, jak zresztą widzieliśmy po przykładach cudownych z naszego Ministerstwa Edukacji Narodowej, do tego predestynowany zespół ekspercki przy ministerstwie, bo mogą być to najwybitniejsi eksperci, ale w dalszym ciągu nie wykluczą na przykład tego, że będziemy mieli rozmowę z Katem albo Naukowską albo Lorda Dżima, to jest najnudniejsza opowieść od Józefa Konrada, jaka istnieje w ogóle.
1867:  I oczywiście ktoś mi może wrzasnąć, Krzysztof, to jest na przykład, i wtedy polecam takiej osobie zapoznanie się z psychologią, a konkretnie z czymś, co się nazywa siłą sugestii.
1878:  Egzaminatorzy również temu są poddawani, nauczyciele także, zwłaszcza w obliczu tego, że wszystkie te listy są przecież projektowane w jednym celu, żeby następnie odpytać z ludzi na egzaminach państwowych, czy pamiętają wszystkie te tropy i motywy, które oczywiście pamiętają z literatury, a wcale ich nie pamiętają, ale to wcale ich nie pamiętają,
1896:  z wydawnictwa Gregg, które, jak tak myślę, zastanawiam się, czy przypadkiem nie jest jakoś, nie wiem, umotywowane w inny sposób tym, żeby współpracować z ministerstwem.
1907:  Może, nie wiem, pracują tam pociotki, kuzyni, wszystko jedno.
1910:  Jest to dla mnie fascynujące, jaki jest poziom synergii między tymi opracowaniami, które są produkowane na wolnym rynku,
1917:  a tym, czego żąda Polskie Ministerstwo Edukacji Narodowej.
1920:  W każdym razie wszyscy się zdają tutaj znakomicie dogadywać, wyłączając oczywiście uczniów, ale jak wiadomo, nie chodzi tutaj o uczniów, uczniowie są przedmiotem, a nie podmiotem kształcenia, wszyscy to wiemy.
1930:  Czytaliśmy lekcję fragmenty serii Niefortunnych Zdarzeń, Boże, czegoś, co ja bym polecał wszystkim absolutnie, ale nawiasem mówiąc, jest też zajebisty serial na Netflixie, jeżeli nie znacie.
1939:  Różnych książek Roald Dalla, ostatnio Władcy Mógł Goldinga i to zachęciło mnie do przeczytania tych pozycji w całości.
1943:  Mówi dwunastoletnia Malwina, pamiętacie?
1945:  Dwunastoletnia ta, która jest zarażona TikTokiem, uzależniona od Instagrama, nie odrywa się od telefonu komórkowego.
1952:  Ta sama, ta sama Malwina.
1954:  Ale nie, czekajcie, zapomniałem, że telefony komórkowe mają tylko polscy uczniowie.
1958:  Ci, którzy przy okazji, o czym mówiłem w jednym z shortów i także materiałów, śpią najkrócej w Europie.
1963:  I z pewnością właśnie dlatego, że to oni jako jedyni z całej Europy używają smartfonów i używają nowych technologii.
1971:  Rówieśnicy z innych krajów, w tym dwunastoletnia Malwina z Wielkiej Brytanii, nie.
1975:  Obok folwarku zwierzęcego roku 1984, obsługującego Wilów, można znaleźć także mozdoterapii, chociażby czy autostęp przez galaktykę.
1981:  Nawiasem mówiąc, autostęp przez galaktykę to już moim zdaniem level za dużo dla dwunastolatków, ponieważ jest to humor hermetyczny.
1987:  W Holandii z długiej listy propozycji lektur na danym etapie edukacyjnym można wybrać kilka tytułów i to uczenie wybiera do czytania, a później na zaliczenie opowiada o nich w klasie lub tylko nauczycielowi.
1997:  Holendrzy dziwią się, biedni Holendrzy, że w Polsce na języku polskim nie omawiamy jedynie rodzimej literatury.
2005:  W Królestwie Niderlandów czyta się książki w oryginale, anglojęzyczną literaturę na języku angielskim, francuską na języku francuskim i w tym samym się kształtuje dobre nawyki sięgania po oryginał, a nie tylko bazowania na przekładzie, żeby nie wylądować z taką argumentacją jak jeden polski księżulok, które w moich czasach niestety nie udało mi się znaleźć tego tekstu, ale wybaczcie, jest pyszny przykład, nie mogę go nie przywołać, stwierdził, że Rytuał Wskrzeszenia Voldemorta jest na stronie 666.
2036:  POLSKIEGO WYDANIA!
2041:  Ponieważ oczywiście nie sięgnął do oryginału i to nie kończy się na tym moim anegdotycznym księżulu, ponieważ mogę przywołać przykład bardzo nieanegdotyczny, mianowicie tłumaczenia Henry'ego Jenkinsa Kultury Konwergencji na język polski, gdzie pomylono opowiadanie z opowieścią, a że to jest książka na temat teorii narracji transmedialnej, to było to cokolwiek istotne.
2059:  I byłem jedyną osobą, która zauważyła ten problem w tłumaczeniu, ponieważ wszyscy oczywiście, jak te wołki i osiołki kształcone w polskiej szkółce, no bierzemy przekład Filiciaka i Bernatowicz i będziemy cytować jeden do jeden.
2072:  Nie sprawdzimy z oryginałem, bo po co?
2074:  Mimo, że w świennicy naukowym to jest pierwsza rzecz, którą robicie, sięgacie do oryginału.
2079:  Ciekawy jestem, gdzie się tego uczymy.
2081:  Nie mam bladego pojęcia, gdzie się tego uczymy.
2083:  W Finlandii obce jest pojęcie, które obowiązkowe i tu możecie się domyślać, bo szkoła fińska raczej słynie z tego, że jeżeli jest czymś, co, jeżeli w ogóle jest coś, co się różni krańcowo i dwubiegunowo od tego, co jest w Polsce, to jest to Finlandia i fińska szkoła.
2097:  Korzystanie z podręczników szkolnych nie jest także wymagane.
2100:  No więc będę to pomijał, bo jakby wszyscy mówią, że Finlandia jest najlepsza i wspaniała i że wszyscy o tym mówią, więc dodam tylko na sam koniec, że faktem jest, że w Polsce w ogóle nie ma żadnej współpracy między szkołami, bibliotekami a uniwersytetami, natomiast w Finlandii, w Wielkiej Brytanii, we Francjach, słyszeliście, mamy do czynienia z synergią tego środowiska literatów, krytyków, literackich bibliotekarzy.
2121:  Wszyscy ze sobą współpracują po to, żeby te listy jak najlepiej tworzyć.
2124:  Rekomendacji powtórzę, a nie obowiązkowych lektur.
2127:  W Niemczech...
2129:  Moi drodzy, którzy, co jak co, a Niemcy są kojarzeni raczej z ordnungiem, porządkiem, no nie, zachęca się znowu dzieciaki do tego, żeby czytały, ale wyboru dokonują uczniowie, sami mogą czytać na przerwach, świetlicy, nawet na lekcjach, co jakiś czas każdy opowiada na forum klasy, co aktualnie czyta, może też przygotować plakatową prezentację.
2148:  Pod koniec ludzie nocują w szkole i urządzają sobie not czytania, podczas której czytają na głos ulubione fragmenty swoich książek, wszystko w formie zabawy.
2155:  W Niemczech pojawiają się te lektury dopiero na etapie przedegzaminacyjnym, ale i tak.
2161:  Nie ma jednego obowiązującego kanonu, bo ministrowie edukacji poszczególnych landów przedstawiają jedynie sugestie lekturowe, z których mogą, ale nie muszą korzystać nauczyciele i oczywiście te sugestie lekturowe są różne.
2173:  No i tutaj przychodzi mi sformułować siódmy kontrargument przeciwko listom lektur, to znaczy to, że lista lektur musi być uniwersalna.
2183:  Peszczemek z Nowej Soli ma mieć te same szanse edukacyjne, co Karolina z Białegostoku oraz Angelika z Warszawy.
2194:  Wszyscy oni muszą mieć jednakowe listy lektur, bo jest jeden obowiązujący wszystkich.
2199:  Jak widać, nie muszą.
2201:  W Niemczech jest też taki egzamin.
2204:  I nie muszą.
2206:  I działa.
2207:  Metoda naukowa w takiej sytuacji polega na następującej procedurze.
2212:  Aha, działa tu, działa tu, działa tu, działa tu.
2215:  Dobrze, sprawdzimy, czy u nas też.
2218:  Zróbmy eksperyment, sprawdźmy, jak sobie będą radzić tego rodzaju szkoły, które coś takiego wdrożą.
2224:  Niestety takie eksperymenty w Polsce mogą wdrażać głównie szkoły prywatne, a to i tak do pewnego momentu, ponieważ jest ten jeden egzamin, który weryfikuje, jak wiemy już wszyscy, informacje, które możemy znaleźć nie w książkach, lecz w wydawnictwie Grek, które
2236:  będzie sprawdzać, czy każdy pamięta, jakie były przygotowania do obrzędu dziadów.
2240:  I co to jest ludowa moralność.
2242:  I umie używać tych wszystkich pojęć, które były w opracowaniach, ponieważ te opracowania czytają nie tylko uczniowie, ale także nauczyciele, egzaminatorzy i niestety część wykładowców akademickich.
2251:  Uśmiecham się w tym momencie do wszystkich uczniów,
2253:  na roku z mojego roku polonistyki, którzy czytali opracowania Grega w ramach przygotowywania się do zawodu polonisty.
2260:  Ciekawy jestem, ile osób teraz wykonuje ten zawód i dalej korzysta z tych opracowań, czego się nauczyli swoją drogą na tych wspaniałych studiach.
2267:  Więc w Niemczech nie ma jednego obowiązującego kanonu, krótko mówiąc, ale jeżeli sobie zobaczymy na inne teksty, to w nich na przykład dowiemy się, że dokładnie to, co u nas jest w Rosji,
2278:  To znaczy mamy listę lektur, którą program narzuca uczniom starszych klas 11-letniej rosyjskiej szkoły średniej i oczywiście dbając o to, żeby te lektury były poprawne politycznie.
2289:  No i wiecie, jeżeli sobie porównamy to z realiami zachodnimi, no to znowu tutaj macie z kolei opinię nie nauczycieli, tylko...
2297:  Uczniów samych, to znaczy w tym przypadku uczniowie we Włoszech, wybierały sobie uczennice lektury z określonego zestawu.
2304:  Cały rok na przykład był poświęcony jednej książce, w tym przypadku boskiej komedii Dantego, co nie dziwi, ale zauważcie, że równocześnie buduje takie przeświadczenie, że okej, to jest rzeczywiście wybitny utwór, który ważny jest dla każdego posługującego się językiem włoskim.
2319:  Czyli powinniśmy byli, per analogiam, selekcjonować jakiś jeden utwór.
2325:  polskojęzyczny, który byłby przełomowy dla rozwoju języka i ważny dla każdego Polaka, żeby go po prostu znał, kojarzył, żeby miał jakiś kontakt z tym tekstem.
2334:  Ale wiecie, nie na dwóch lekcjach, na których będziecie czytać opracowania wydawnictwa z Gret, tylko na lekcjach, które będą właśnie operować takim pogłębionym, rocznym, jak tutaj czytamy, aparatem analitycznym i budować...
2349:  przeświadczenie, że to nie jest coś, czego jesteście w stanie się nauczyć w ciągu dwóch lekcji albo z jednego opracowania, tylko to jest potężna praca, taka jak jest praca literaturoznawcza.
2358:  Jeżeli robicie analizę jakiegoś utworu, to zajmuje to po prostu miesiące bardzo często albo długie tygodnie, bo nie jest to proste.
2365:  Trzeba przeczytać interpretacje wszystkich, którzy napisali je do tej pory, następnie przeczytać tekst samemu, jeżeli się czegoś nie rozumie, czytać tak długo, aż się zrozumie, następnie rozpracować język, znaleźć różnego rodzaju środki wyrazu, które tam były zastosowane, jeżeli to ma znaczenie dla interpretacji.
2379:  Wreszcie wymyślić jakiś własny swój pogląd interpretacyjny, zestawić z innymi utworami.
2384:  To nie jest proste.
2385:  I to można robić bardzo długo.
2387:  Oczywiście w odniesieniu do tekstu historycznego.
2389:  Jeżeli tekst jest nowy, to macie jeszcze trudniejszą sytuację, ponieważ musicie go przedstawić czytelnikowi, który go nie zna tak, żeby go nie zaspoilować, nie zdradzić fabuły, ale jednocześnie, żeby zanalizować jakiś problem, który się w tym tekście pojawia.
2402:  Nauka literatury we włoskiej szkole to lekcja więc świadomego wyboru.
2406:  Nie zapomnę, co powiedziała nauczycielka najmłodszej córki w szkole podstawowej.
2409:  Przynieście wszyscy jakąś książkę, postawcie na tym regale, potem wybierzcie inną, przeczytajcie i omówcie jak chcecie.
2414:  W Polsce prawdopodobnie taka propozycja byłaby okrzyknięta mianem anarchia, skandal, wymysły jakieś nowomodne.
2424:  Na jakiej podstawie?
2425:  Tylko tyle będę pytał.
2427:  Na jakiej podstawie to jest takie twierdzenie?
2429:  Jakie dane?
2430:  Jakie badania dotyczące polskiej sytuacji, bo jedyne, które są wszędzie cytowane, pokazują, że umiejętności polskich uczniów, jakkolwiek źle mierzone, o czym mówiłem w tym filmie w rankingu PISA, który nie umie zadawać pytań i myli fakty z opiniami, pyszna sprawa, absolutnie, i uśmiecham się do wszystkich, którzy cytują ten ranking bezrefleksyjnie, no w każdym razie z tych danych, podobno nie mamy innych, wynika, że jest coraz gorzej.
2453:  Pytam dlaczego?
2454:  I to już jest pytanie retoryczne.
2456:  Więc, jako się rzekło, na Węgrzech lista lektur obowiązkowych jest zachowawcza.
2460:  Od 40 lat figuruje na niej te same pozycje.
2462:  Wracam do wcześniejszego argumentu, że lista lektur konserwuje książki, nie pozwala na ich aktualizację, chyba że oddamy władzę
2470:  uczniom częściowo decydowania o tym, co chcą czytać.
2472:  W ten sposób dowiemy się najszybciej o tym, co jest najbardziej interesujące.
2477:  W Ameryce, ciekawa sprawa, rzadko przywołuję Stany Zjednoczone jako przykład do naśladowania, ponieważ króluje tam przeświadczenie, że albo macie do czynienia ze szkołą, która jest kiepska, albo prywatna.
2487:  co nie jest fajne biorąc pod uwagę przywileje ekonomiczne i klasowe.
2491:  Okazuje się, że w wakacje zbierają się bibliotekarze i nauczyciele i decydują o kanonie na następny i kolejny rok, czyli kanon jest aktualizowany co roku.
2502:  Rezultaty obrad się różnią między stanami, hrabstwami, miejscowościami itd.
2506:  Pamiętajcie, że to ze Stany Zjednoczone to nie jest jedno państwo, tylko to jest federacja, konglomerat różnych stanów.
2513:  Wiecie, Stany Zjednoczone, w związku z powyższym nie mamy do czynienia tam z jakąś jedną polityką edukacyjną i one się różnią między Stanami, ale nie są to obowiązkowe pozycje do czytania, znowu tylko sugestie dla nauczycieli.
2525:  Nauczyciele mogą, ale nie muszą tego uwzględniać, co jest o tyle istotne, że w Stanach Zjednoczonych, podobnie zresztą jak w II Rzeczpospolitej,
2532:  Mieliśmy do czynienia z gigantycznym zróżnicowaniem narodowościowym, etnicznym i tak dalej.
2537:  No i w Stanach Zjednoczonych ono jest do dziś.
2539:  W związku z powyższym nauczycielom musi się dawać możliwie dużą swobodę, żeby decydowali o tym, czy na przykład nie będą czytali lektury sławiącej białą supremację w klasie, która jest w stu procentach czarnoskóra chociażby.
2553:  Mogłoby bowiem to...
2554:  no odnieść skutek przeciwny do zamierzonego.
2557:  Więc warto jest spojrzeć na to doświadczenie i zastanowić się nad tym, czy my rzeczywiście jesteśmy w Polsce tak homogeniczni.
2563:  Biorąc pod uwagę to, jak bardzo Polska jest podzielona politycznie, uważam, że nie.
2568:  Uważam, że właśnie te lektury powinny być dobierane w sposób zróżnicowany, w zależności od tego, kto uczęszcza do danej klasy.
2574:  I zapewniejsze jest to, że za tym by się podpisała zarówno lewica w Polsce, jak i prawica, ponieważ jedni i drudzy chcą forsować swoje własne lektury,
2582:  i jednym i drugim zależy na innych wartościach, w związku z powyższym, i jednych i drugich polska szkoła dyskryminuje, co jest bardzo zabawne, ponieważ teoretycznie kanon powinien być obiektywny.
2591:  No i w Niemczech, jako się rzekło, lista lektur pojawia się dopiero w gimnazjum przygotowującym do matury, czy jest to raczej lista rekomendacji znowu, bo po doświadczeniach z nazizmem postanowiono, że rząd federalny nie ma prawa mieszać się do oświaty.
2602:  Więc programy szkolne i listy lektur układają poszczególne landy.
2608:  Więc ministerialna lista lektur nawet we Francji jest sugestią, tylko maturzyści mają listę lektur obowiązkowych, Guy de Maupassant, Stendhal, Molière i tak dalej są w ramach wytycznych czytani, natomiast jeżeli chodzi o lektury, które są podsyłane młodszym uczniom, no to jest troszeczkę bardziej lajtowo, władca mu się znowu pojawia, Goldinga czy Daniel Defoe i tak dalej.
2630:  Natomiast...
2631:  Zmierzam do tego, że jeżeli naprawdę potrzebujecie tych dowodów, to jak widać one leżą na ulicy.
2637:  Nawet nie musicie sięgać do prasy, w tym przypadku takiej półfachowej, no bo tam jednak wypowiadali się nauczyciele, wypowiadali się uczniowie, więc ten artykuł to nie jest tylko bajanie dziennikarza wyborczej lub dziennikarki wyborczej, tylko to są konkretne świadectwa konkretnych osób.
2651:  Możecie sobie zajrzeć, moi drodzy, nawet na Reddita.
2653:  I jest tutaj taki piękny wątek, podlinkuję oczywiście wam wszystko, jak pozostałe źródła,
2658:  Czy wasz kraj ma coś takiego jak obowiązkową listę lektur szkolnych?
2662:  Tutaj generalnie macie, zaznaczyłem wam na wszelki wypadek, potwierdzenia wszystkiego tego, o czym sobie powiedzieliśmy i ludzie cały czas mówią, że nie, no w zasadzie nie, a tutaj pojawia się odpowiedź twierdząca, no i co mamy?
2674:  Węgry.
2674:  Niespodzianka.
2675:  Więc...
2676:  Przejrzyjcie to sobie, po prostu zobaczcie, co wasi równolatkowie bardzo możliwe, albo co równolatkowie waszych dzieci, jeżeli ktokolwiek dorosły tego słucha, myślą na temat takiego idei, jak obowiązkowa i narzucana od górnie lista lektur, bo najwyraźniej jest to koncepcja dla nich kompletnie egzotyczna.
2696:  A dla nas nie, moi drodzy, ponieważ my się zmagamy z tym, jak można przeczytać w innym artykule, jak widzicie, zasypuje was dzisiaj źródłami,
2704:  od co najmniej stu lat.
2708:  I w wypowiedzi, to jest w ramach mojego ósmego argumentu przeciwko liście lektur szkolnych, tych samych ludzi, którzy się na tej liście lektur szkolnych znajdują, o paradoksie są przeciwko lekturom.
2720:  Gombrowicz, znana sprawa, Gombrowicz się wprost wyśmiewa z kanonu, ale niektórzy nauczyciele są tak głupi, że nie są w stanie zauważyć, że w Ferdynurce ciśnie się z kanonu literackiego i z kanonu lektur szkolnych, co niesamowicie większość uczniów bawi.
2734:  pisał w dzienniku.
2735:  Któż czytał Mickiewicza z własnej nieprzymuszonej woli?
2737:  No jak to kto?
2738:  Przecież my dobrze wiemy.
2740:  Wszyscy, którzy przeczytali opracowanie wydawnictwa z Gret.
2743:  Za czasów Gombrowicza nie było takiej dobroci.
2745:  A popatrzcie, Gombrowicz by od razu wiedział, że na stronie 54, 5 i 67 jest aluzja do stanu Gustawa, który jest duchem.
2754:  No niestety, no Gombrowicz nie miał wiedzy i umiejętności.
2762:  które definiują krajowe ramy kwalifikacji Unii Europejskiej wdrożone w latach dwutysięcznych w Polsce i przez to Gombrowicz nie wiedział.
2773:  On nie wiedział, dlaczego Mickiewicz jest wybitny, a polski uczeń już wie.
2778:  Przybyszewski, Wyspiański, Krasiński, byłaż to coś więcej niż literatura narzucona i literatura wmuszona?
2784:  W kongresówce lekcje polskiego były nieobowiązkowe, służyły bardziej pogłębieniu znajomości języka rosyjskiego i dlatego też macie chociażby tutaj zdanie Żeromskiego, który przyznawał się do tego, że czytał pod ławką rzeczy, które były niedozwolone.
2797:  Czytano rzeczy zabronione, ze zdwojoną starannością, czono się ich namiętniej z uniesieniem, czego nie byłoby może, gdyby te dzieła były legalnymi, jak pisma Puszkina i Gogola.
2805:  Jakąś ironią jest to, że obecnie Żeromski swoją drogą jeden z najwybitniejszych polskich grafomanów znajduje się na tej samej liście lektur, którą zwalczał, prawda?
2814:  Haha.
2815:  Nie, ci ludzie nie dostrzegają aluzji i ironii, ponieważ gdyby dostrzegali, to uczyliby ludzi czytania między wierszami.
2821:  A patrząc po jakości polskiej debaty publicznej i po tym, jak wyglądają wypowiedzi pokolenia 40 plus w mediach społecznościowych, jednego możemy być całkowicie pewni.
2831:  Jeżeli polska szkoła czegokolwiek uczy, to na pewno nie komunikacji i rozumienia komunikatów.
2835:  A już zwłaszcza nie czytania między wierszami, rozumienia ironii i odróżniania formy od treści, co jest bardzo zabawne, ponieważ chyba najczęściej pojawiającym się komentarzem pod serią
2845:  Dla każdego coś przykrego jest to... Nie no Krzysztof, ja bym się zgadzał, ale ta forma jest nie tak.
2853:  To powtórzę może.
2855:  Dla każdego coś przykrego
2861:  Może taka podpowiedź.
2862:  A jeżeli potrzebujesz lekturki, to polecam książkę Sandauera pod tym samym tytułem.
2867:  Też jest złośliwa.
2869:  A to krytyk literacki, więc chyba lepiej.
2871:  Nie wiem.
2871:  W każdym razie ja się już troszeczkę poddaję, jak słyszę tego rodzaju argumentacje, ponieważ widzę problemy nie do nadrobienia już i nie do korekty.
2879:  I szczerze powiedziawszy, abyście spytali mnie jako literaturoznawcę siedzącego dokładnie w tej dyscyplinie, Krzysztof, co byś zrobił?
2886:  Też szczerze powiedziawszy, nie mam dla was rozwiązania.
2888:  bo jedyne rozwiązanie byłoby takie, żeby skruszyć beton, który narasta od 100 lat, a nie do końca wiem, jak to można zrobić.
2895:  Inna sytuacja, co ciekawe,
2897:  była w zaborze pruskim, gdzie już czytano Schillerla i Goethego, ale nie było tam mowy w ogóle o lekturze w języku polskim, no znana sprawa dzieci we wrześniu i tak dalej.
2906:  Inna sytuacja jak u nas w Galicji, czyli wiecie, no to samo miejsce, z którego mieliśmy rzeczone świadectwo, które sobie wcześniej przytoliczyliśmy, więc to nie jest przypadek, że tutaj jest to nauczanie w języku polskim, gdzie poznawano zarys dzieł w literatury polskiej od Kochanowskiego do Sienkiewicza, ale które przyświecać miało, jak pisał w 885 Franciszek Próchnicki, prześledzenie postępu i rozwoju ducha narodowego
2926:  o ile on objawia się w najważniejszych utworach, celniejszych każdego okresu pisarzów.
2932:  Swoją drogą czekam, aż ktoś poprawi Próchnickiego i powie, mówi się pisarzy, ponieważ najczęściej ludzie nie znający kompletnie historii swojego języka i nie mający żadnych kompetencji językoznawczych, literaturoznawczych, poprawiają ludzi, którzy te kompetencje mają.
2945:  Ciekawe dlaczego i skąd w nich bierze się taka predylekcja, czyli skłonność.
2949:  Zapewne bierze się w nich stąd, że wiele razy widzieli nauczycieli, którzy erudytami nie byli, polihistorami też, ale jednak
2956:  Starali się wywierać takie wrażenie, cokolwiek błędne, ale dzisiaj się bardzo dobrze bawię.
2960:  Przepraszam, ale to jest akurat moja dziedzina i moja działka.
2963:  Ścierały się później różne koncepcje w latach 30-tych wychowania literackiego, np.
2967:  w myśli psychologicznej porządek chronologiczny miał zostać zastąpiony układem zagadnień.
2971:  Kulturoznawcy z kolei mówili, że trzeba się uczyć literatury w odorywaniu od innych dziedzin, ale uczniowie na lekcjach polskiego mieli się zaznajamiać z utworami Chopina w zamian pracami Matejki Grottgera.
2980:  Swoją drogą to powróciło jakkolwiek w latach 2000-tych, kiedy próbowano te treści wprowadzać w ramach
2987:  ścieżek.
2989:  międzyprzedmiotowych.
2991:  Bo rozumiecie nauczyciele, czy uczniowie nie umieją dokonywać inferencji i odniesień między różnymi pakietami bazy danych, które są w naszych neuronach?
3003:  Nie, nie.
3004:  To trzeba w podręczniku rozrysować.
3006:  Dzięki czemu, jak były pytania, wiecie, formułowane w tradycyjny sposób, dotyczące kanonu właśnie, no wymień twórców epoki baroku.
3016:  To ponieważ w podręczniku, który się nazywał swego drogo, to lubię!
3020:  Nikt go nie lubił.
3021:  Był obok Jana Chryzostoma Pasca, współczesny poeta, który do niego nawiązywał.
3027:  No to oczywiście ten poeta również został policzony w grono barokowych, no wiadomo, bo był w podręczniku, w zakładce barok.
3035:  Ale wiecie, kontekst, ścieżki międzyprzedmiotowe, ważna rzecz.
3041:  Następna wykładnia to z kolei patriotyczno-obywatelska, to chyba nie muszę niczego tłumaczyć.
3046:  Kij w mrowisko wyłożył wtedy pisarz Juliusz Kaden-Będrowski, musiałem go czytać swe drogo na studiach, który sugerował, i nic nie pamiętam, że dotychczasowe nauczanie literatury zabija wrażliwość estetyczną uczniów, a ówczesny program i metody nauczania nazwał kolosalną antypropagandą literatury.
3058:  więc miał rację.
3059:  Na podobnym stanowisku stał Tadeusz Bojżeleński, pisząc, szkoła zbiera z grzędy literatury bukiet najwonniejszych kwiatów i skrapia je asafetydą nudy i przymusu.
3068:  Poetów winno się czytać ukradkiem, szkoła powinna karać za ich czytanie.
3072:  Ja powiedziałbym, że w dzisiejszych czasach jest znacznie gorzej, to znaczy szkoła zbiera z grzędy literatury ten bukiet najwonniejszych kwiatów, a następnie wypróżnia się na niego i każe nam wdychać to, co jest przedmiotem owegoż wypróżnienia.
3085:  Nie jest to przyjemne doświadczenie.
3087:  I nic dziwnego, że Stanisław Lem również się z tego nabijał, mówiąc, że zobowiązkowy lektor czytał to, co mu się po prostu podobało, natomiast wszystkie Szymonowicze i Kasprowicze nie mogły liczyć na jego łaski.
3097:  Następnie w przedwojennych szkołach czytano, praktycznie dopiero w klasie siódmej, czyli ostatnim roku szkoły powszechnej, ponieważ wcześniej czytano wyłącznie wyimki.
3105:  O nie, straszne, jak to fragmenty tekstów czytać, a nie całość, przecież tak się nie da realizować.
3117:  Dziękuje za oglądanie!
3130:  Najnowszymi powieściami omawianymi w całości była Lalka, Ogniem i Mieczem i Nad Niemnem, młodej Polski jeszcze nie traktowanej jako klasyki.
3136:  Gombrowicz pisał znowu, że znudzony wiecznym kadzeniem wieszczowi postanowił dla odmiany dać mu bobu.
3141:  Początek, o ile pamiętał, brzmiał jak następuje.
3144:  Juliusz Słowacki, ten złodziej, który okradał Bajrona i Szekspira, nic własnego nie potrafił wymyślić.
3148:  Profesor Ciepliński postawił pałkę...
