Stare nowe lektury | Dla każdego coś przykrego #16
🔗 https://www.youtube.com/watch?v=ax7Vj8jS0AU

1:  A ja mam zwykłą skrzypkę, co nuci o tym, co było, co już nie wróci.
1729:  Może to być Zofia Kossak-Szczucka na jakimś etapie, ja tego wcale nie wykluczam, ale dobrze byłoby, żebyśmy także myśleli o procesie historycznym w sposób racjonalny, to znaczy coś, co się podobało naszym dziadom czy rodzicom, być może nie będzie dobre dla naszych wnucząt.
1744:  Coś, co się podobało w XIX wieku czy w drugiej połowie XX i było ważne.
1749:  Nie musi być ważne w XXI wieku.
1752:  No naprawdę, dzielenie włosa na czworo, że o, zniknął Winnetou, Karola Maja i o, zamiast Winnetou została wprowadzona dokładnie taka sama powieść postkolonialna, w której się opowiada o tym, jak biali Europejczycy kolonizowali ludności indygeniczne, to naprawdę nie ma żadnego sensu, bo my w tym momencie...
1772:  No właśnie, uczestniczymy w takim bojówkarskim, dziwnym dyskursie, gdzie będziemy zabierać to, bo to jest ich.
1782:  Teraz wprowadzimy takiego naszego autora, naszego pisarza, który mówi wszelako dokładnie to samo.
1787:  Zamiast żebyśmy na przykład obejrzeli Pocahontas, która to animacja krytykuje kolonializm jako ideologię i pewien czas w rozwoju naszej cywilizacji, wobec którego powinniśmy się jakoś ustosunkować i nie ma sensu wprowadzać uczniom
1806:  No, mętliku w głowie i że z jednej strony każdy, bo każdy obejrzał w którymś momencie Pocahontas, a z drugiej strony czyta rzecz, która pochwala kolonializm i to nie ma żadnego sensu.
1816:  I nieważne, czy to jest w pustyni, w Puszczy Sienkiewicza, która pochwala kolonializm, czy Winnetouka, która pochwala kolonializm.
1823:  czy raczej ustosunkowuje się do niego neutralnie, o tak to nazwijmy.
1826:  To jest nieistotne.
1827:  Istotne jest to, że ten temat cały czas jest, bo był tematem ważnym dla ludzi, którzy albo teraz już są w życia wędrówce na połowie czasu, albo już się chwieją nad grobem.
1837:  I naprawdę ich...
1839:  idee polityczne, ich światopogląd nie powinien kształtować tego, co będą myśleć młode pokolenia z lat 20, bo młode pokolenia z lat 20 mają być przygotowane intelektualnie do tego, żeby dyskutować na temat tego, dlaczego obecne formy państwowości są wypierane np.
1855:  przez duże korporacje, dlaczego to już nie NASA, tylko Elon Musk mówi o podboju Marsa.
1862:  Dlaczego jest tak, że przeciętnego młodego człowieka nie stać na zakup mieszkania, mimo że kapitalizm podobno miał nas wyzwolić z komunizmu?
1870:  I szeregu innych tego rodzaju tematów.
1873:  Tego bardzo brakuje, dyskusji o tym bardzo brakuje, bo nie ma na to czasu.
1877:  I ja nie winię w tym momencie polonistów i nauczycieli, pomyślcie teraz o nich, że mają dwa tygodnie na to, żeby przeczytać te wszystkie ramotki i przygotować jakieś scenariusze lekcji na ten temat.
1887:  I oczywiście, że będą musieli w ramach tych scenariuszy wikłać się w ten dyskurs.
1891:  Ja mam skrzypkę, skrzypkę, co nuć i o tym, co było, co już nie wróci.
1895:  I oczywiście, że będą przez to znienawidzeni przez uczniów i wcale się nie dziwię, ale pamiętajmy, że zarówno ci nauczyciele poloniści, jak i uczniowie obecnie, jak i obecny rząd, wszyscy wpisują się w ten sam dyskurs, który był kształtowany przez uniwersyteckie polonistyki od półwiecza co najmniej.
1912:  Bo listy lektur tam nie uległy zmianom.
1915:  Parę z was w komentarzach pod odcinkiem moim o fantastyce i jej problemach z polonistykami wskazało mi, że na Wydziale Polonistyki Uniwersytetu Jagiellońskiego mimo tych już paru dobrych lat, które minęły od czasu jak ukończyłem tę wybitną jednostkę edukacyjną,
1934:  nie zmieniły się, a mówimy o liście lektur z literatury współczesnej, najnowszej, dla przyszłych polonistów, to jeżeli przez prawie 10 lat nie zmienia się lista lektur na wiodącej polonistyce w kraju, to myślisz, że zmieniło się coś przez lat 50?
1947:  Poza tym może, że dodano nazwiska pisarzy reprezentujących te nurty, które dawno już, jak myślę, udało mi się wam pokazać w tym odcinku, na listach lektur były.
1961:  Były i będą.
1963:  Trwają i trwają mać.
1966:  Do następnego.
