Z pamiętnika klasistowskiej noblistki | Dla każdego coś przykrego #31
🔗 https://www.youtube.com/watch?v=WpZb8dSzyVY

1:  Niektórym ludziom tak spieszno na salony, że z trudem wyhamowują przed ustępem.
1748:  Nie uważam, żeby należało akurat dodawać to, co dodał, to znaczy kiedy mówimy o idiotach lub głupcach, możemy mieć pewność, nikt się nie obrazi, bo każdy z nas uważa, że owszem, idioci i głupcy istnieją, ale to nie jest on i głupcy to inni.
1760:  Natomiast jeśli wskazujemy, że żyją postrzegami, to utrwalamy krzywdzący stereotyp, a przecież wielu idiotów mamy też w polityce, mediach i biznesie, bo tutaj...
1767:  Szczygieł udaje, że nie rozumie problemu.
1769:  To nie chodzi o to, że Olga Tokarczuk krytykuje ludzi ze wsi.
1773:  No ludzie, przecież jak może być tak, że reportażyści, ludzie literatury, ludzie słowa, dziennikarze nie rozumieją tekstu pisanego.
1781:  Przecież w frazie trafić pod strzechy tkwi bardzo prosty komunikat, że nie chodzi nam o to, żeby książki były sprzedawane masowo jako pewien produkt i...
1791:  i trafiały masowo do domów, tylko chodzi o to, żeby one były celebrowane na piedestale.
1795:  Nie chodzi o to, że domy są kryte strzechą i że chodzi o ludzi wsi, a nie o polityków i ludzi mediów.
1802:  Olga Arystokarczuk obraziła wszystkich.
1804:  Potencjalnie mogła nawet obrazić Mariusza Szczygła.
1807:  A to wszystko jest podwójnie zabawne, ponieważ Mariusz Szczygieł kiedyś bardzo zaangażował się w taką sympatyczną akcję, z którą też się bym z wami chciał podzielić, ponieważ to jest jedyna jak dotąd tak głośna medialnie akcja, którą zrobiła Fundacja imienia Olgi Arystokarczuk.
1825:  Mianowicie była to aukcja sprzedaży okalczonych.
1830:  książek jej autorstwa i podczas tej aukcji, którą sobie możecie w całości obejrzeć na YouTubie, jeżeli chcecie, półtorej godziny nadwyrężania swoich żenadometrów, uczestniczył właśnie nasz bohater.
1844:  Ta szrama domaga się analizy.
1846:  Pokażmy tutaj może tę szramę.
1848:  Ta szrama, ona jest, o drodzy Państwo, aż tutaj przechodzi na drugą stronę.
1853:  Naprawdę musiała być zrobiona mieczem, siekierą, albo jakimś takim nożem do, nie wiem, takim rzeźnickim.
1863:  Przepraszam, mam takie skojarzenie może nieprzystojne, ale mnie to przypomina szramę na wizerunku Matki Boskiej często.
1872:  A to przepraszam.
1872:  Umawialiśmy się na junkierskiego, fruskiego arystokratę.
1878:  Ja bardzo dziękuję za ten prezent.
1882:  Obiecuję, że już wiem, co zrobię.
1884:  Ja oddam do takiego zakładu, gdzie włożą mi to w żywicę i z tego się zrobi taki artefakt i ja wierzę, że za lat 20, 30, a 50 to na pewno będzie Muzeum Olgi Tokarczuk.
1898:  i po prostu zrobię wszystko, żeby moi spadkobiercy to tam przekazali.
1904:  Tak, więc w takiej szopce uczestniczył Barjusz Szczygieł, było to podczas festiwalu Bruno na Szulca, czyli rozumiecie takiego festiwalu, podczas którego najwyraźniej nie rozmawia się na temat Bruno na Szulca, tylko rozmawia się na temat akcji, która została ewidentnie rozpoczęta jako performance przez Fundację Olgi Tokarczuk, żeby zrobić taki grzejący się medialnie temat, że oho,
1926:  oho, ludzie zwracają książki, no i potem się okazało, oczywiście jak zawsze, że prowokacja zadziałała, że niektórym żyłka pękła i stwierdzili, że nie wypowiedzą się w ten sposób jak ja na przykład, bo nie mają na to możliwości, ale zrobią performans swój własny.
1940:  Bardzo mi się tam spodobało, jak ktoś uciął połowie książkę i powiedział, że tak, pisze pani półprawdy o Polsce, tak tu jest półpani książki.
1948:  To było inteligentne.
1949:  Zresztą, swoją drogą, Mariusz Szczygieł sam to zauważył, natomiast pokazuję to wam z bardzo prostego powodu.
1954:  Ten taki, wiecie...
1955:  Uśmieszek takie.
1957:  No, no, wicie, rozumicie, ci nasi, my rozumiemy, my rozumiemy, co tu się dzieje, że tutaj jakieś kuce, jakieś prymitywy tutaj przyszły, jakaś konserwa, jakieś faszyści, no i oni tutaj smarują to, co potrafią, nie?
1974:  I tworzymy wtedy to, co już wiele razy wam nazywałem transpolityką, tak?
1977:  To znaczy tworzymy znaki, które nie mają odniesienia do rzeczywistości i zaczynamy nimi szermować.
1984:  I takim słowem jest zarówno faszysta, jak i ideologia LGBT i nieistniejąca równie ideologia gender.
1990:  To są transpolityczne określenia, które się używa po to, żeby pałować nimi innych po głowach.
1995:  I problem polega na tym, że tutaj macie przykład tego, w jaki sposób wykorzystuje to skrzydło, nazwijmy to, lewicowo-postępowe czy progresywne albo, powiedzmy sobie szczerze, takie kodersko-lipkowe.
2006:  I to jest główny problem tego, to znaczy ludzie bardzo rozpoznają tego rodzaju rezonanse polityczne i są wrażliwi na to.
2014:  I jestem w stanie postawić dużo pieniędzy na to, że osoba, którą bawi tego rodzaju performance z mówieniem oho, to sobie zatopimy to w bursztynie, bo widzicie, rozumiecie, my jesteśmy ludzie kultury, to będzie właśnie po pierwsze czytelnik bardzo zażyły prozy Olgi Arystokarczuk, a po drugie człowiek, który jest absolutnie immunizowany i uodporniony na jakiekolwiek słowa krytyki wobec którejkolwiek z idei politycznych, która się kojarzy z Olgą Tokarczuk.
2040:  Byłem zdumiony przeczytawszy pod moim materiałem na temat Arystokarczuk komentarze ludzi, którzy wyzywali mnie od faszystów i prawaków, ale równocześnie zastanowiłem się nad tym i zapytałem sam siebie dlaczego?
2053:  Odpowiedź jest bardzo prosta.
2054:  Ktoś ludzi tak nauczył, ktoś im zakodował ten algorytm, że krytykuje Tokarczuk ergo faszysta, bo Tokarczuk pisze o kobietach,
2066:  I o gejach Ewy Jentz, jeśli ktoś uważa, że ona na przykład w swoich wypowiedziach medialnych przesadza, to znaczy, że on krytykuje gejów oraz jest antyfeministą.
2079:  Otóż nie.
2081:  Otóż może się okazać, że wnikliwy i krytyczny czytelnik tego rodzaju prozy i wystąpień publicznych dostrzeże w nich to, co jest tam ukryte, a mianowicie ukryta pogarda klasowa.
2094:  I klasistowskie, elitystyczne przekonanie o swojej wyższości, o tym, że możemy sobie, nawet jeżeli ludzie przyniosą nam pomazane książki, to my i tak to zmonetyzujemy, tak?
2106:  Mogą nas nienawidzić, ale my mamy kolegów.
2109:  Zadzwonimy do tej redakcji, zadzwonimy do tego studia, wynajmiemy za 50 tysięcy godzina zdjęciowa, zapłacimy temu, zapłacimy tamtemu, bo jak wiadomo, kultura bieduje.
2120:  i zrobimy sobie spektakl z tego i będziemy szydzić ludzi przez półtorej godziny w ramach najbardziej żenującego patokomentary, jakie widziała kiedykolwiek telewizja, a przepraszam, to było na festiwalu Bruno na Schulza, tak?
2134:  Jeżeli ktoś uważa, że jego misją jest wyłącznie przekaz, the message, i równocześnie zaprzepaszcza i zaprzedaje te idee, o których...
2149:  Bronienie jest posądzane zazwyczaj.
2151:  Mamy prawo powiedzieć, to jest hipokryta.
2153:  I powiem wam więcej.
2155:  Mamy prawo takiego człowieka skancelować.
2158:  Nie dlatego, że jego literatura jest zła.
2161:  tylko dlatego, że oszukuje w ramach przekazu politycznego czy przekazu ideologicznego, który czyni kośćcem tej literatury, kośćcem tej twórczości.
2170:  Andrzej Sapkowski może sobie na spotkaniach z czytelnikami być złośliwy, ale sednem Wiedźmina nie jest przekazywanie takich, a nie innych wartości, o których cały czas Andrzej Sapkowski napieprza we wszystkich swoich wystąpieniach publicznych.
2183:  Nie jest, nie było i nie będzie, ponieważ w prodzie Sapkowskiego, jak i każdej innej prodzie fantastycznej, chodzi o coś więcej.
2190:  Ja mogę na przykład zgadzać się z każdym zdaniem wypowiedzianym i każdym słowem wypowiedzianym przez Kasię Babis w jej materiale o Jacku Piekarze z Dziadów Polskiej Fantastyki, ale równocześnie powiedzieć...
2202:  No ale piekara jest dobrym światotwórcą, więc pod względem tego, czego chciałem od tej prozy, jestem usatysfakcjonowany.
2211:  Natomiast jeżeli nie odpowiadają komuś idee, które głosi Tokarczuk, nie ma tam do znalezienia w tej prozie piekara.
2218:  Nic poza rozczarowaniem, że jest za głupi, żeby coś zrozumieć.
2224:  I to jest niebezpieczne, ponieważ to przekonanie, że jesteśmy za głupi, że nie dostajemy, że nie jesteśmy wystarczająco mądrzy, że nie jesteśmy wystarczająco erudycyjni wpaja nam polskie szkolnictwo.
2238:  I tutaj macie mariaż tych dwóch demonów, z którymi ja się cały czas usiłuję na tym kanale potykać.
2244:  Z jednej strony szkolnictwem, które wpaja nam, że jesteśmy bezwartościowymi debilami, równocześnie ucząc nas całkowicie bezwartościowych rzeczy i
2253:  baszując za każde przewinienie i źle wynagradzając progres, a z drugiej strony mamy literatów, którzy bronią w taki sam sposób literatury.
2264:  I najgorsze w tym wszystkim jest to, że łapią się na to nawet ludzie, którzy, jak powiedział kiedyś mądrze Drzewiec w cyklu, którego Olga Tokarczuk, jak znam życie, nie przeczytała, powinni wiedzieć lepiej.
2277:  A wizard should know better, powiedział Drzewiec pod bramami Isengardu.
2283:  No i tym drzewcem w tej naszej paraboli jest profesor Agnieszka Graff z Ośrodka Studiów Amerykańskich Uniwersytetu Warszawskiego, gdzie też mam przyjemność wykładać, więc podwójnie mi przykro, która pisze.
2295:  Olga Arystokarczuk napisała wspaniałą opowieść i zorganizowała fantastyczny festiwal.
2300:  To jest opinia.
2301:  Na tym festiwalu odbyło się rewelacyjne spotkanie, to również opinia o tej powieści, na którym padło mnóstwo bardzo ciekawych kolejna opinia zdań dotyczących przede wszystkim mizoginii wykluczenia kobiet ze świata wielkiej literatury.
2312:  Dodam, że profesor Agnieszce Graf of All People powinienem być znane zjawisko pinkwashingu, jak również maskowania tematami politycznymi, które są nośne,
2321:  rzeczy, które nie do końca są nośne politycznie i na pewno nie byłyby takimi, pod którymi podpisaliby się klasycy myśli feministycznej, postmodernistycznej, bo wszyscy od Jacques'a Derrida w górę przeciwstawiali się temu, żeby ludzi segregować pod łuk tych, którzy są lepsi i gorsi.
2337:  To robiła szkoła frankfurcka i estetyka tradycyjna, która mówiła, że właśnie są lepsi, elitarni, klasowo doposażeni, którzy mają przystęp do dobrej edukacji, oczywiście prywatnej i dobrej literatury,
2349:  No i jest cała reszta, którą oczywiście trzeba dokształcić, tak żeby ona zrozumiała, że jedyny styl życia, który jest akceptowalny, to jest właśnie styl życia klas wysokich.
2358:  Zdanie, za które jest teraz krytykowana, padło w bardzo konkretnym kontekście, który przytoczyliśmy sobie, przypominam, w tym materiale i to wprost.
2364:  Chodziło o to, czy Olga Tokarczuk, przepraszam, Arys Tokarczuk uważa, że czytelnik lub czytelniczka Empuzjonu powinien, powinna znać czarodziejską górę.
2377:  No nie, to nie był ten kontekst i to jest kłamstwo i manipulacja.
2380:  I to tak wprost, ponieważ kontekst pytania dotyczył tego, w jaki sposób Olga Tokarczuk znajduje się na tym rozdrożu, które nie istnieje między kulturą umasowioną a kulturą elitarną.
2392:  Na co ona odpowiedziała?
2393:  Nie lubię literatury gatunkowej.
2396:  To jest kontekst.
2397:  I po nie lubię literatury gatunkowej, brzydkie horrory, brzydkie kryminały,
2402:  powiedziała, że no tak, bo literatura nie jest dla idiotów, taka wiecie, prawdziwa literatura, wiecie, rozumiecie, moja bańko informacyjna.
2410:  No więc niestety okazuje się, że także literaturoznawcy, o czym mówiłem Wam wiele razy, są w tej samej bańce informacyjnej, co i inni bywalcy tego samego krytyczno-literackiego i literackiego salonu i niestety przez to sprawiają, że humanistyka jest w taki, a nie inny sposób postrzegana.
2429:  I mnie, jako humaniście, jako wykładowcy kierunku humanistycznego,
2433:  Zależy na tym, żeby było inaczej.
2435:  Zależy mi na tym, żeby ludzie czytali, zależy mi na tym, żeby ludzie grali w gry wideo, żeby oglądali anime, żeby oglądali filmy i oglądali seriale i żeby robili to krytycznie i z namysłem.
2444:  Tylko problem polega na tym, że nie dostają narzędzi do tego krytycznego namysłu ani w szkole, ani gdziekolwiek indziej, ponieważ napotykają na swojej drodze wyłącznie ludzi, którzy wyzywają ich od idiotów, którzy poniżają ich, którzy mówią im, że się nie nadają i którzy nieustannie piętrzą trudności poznawcze.
2461:  Mówią...
2462:  Sensu largo, że to, że teraz wszyscy tylko siedzą w TikToka w internecie i się nie nadają, to jest lenistwo intelektualne, które nie przystoi ani profesorom, ani ludziom kultury, ani literatom, ani prozaikom, ani nikomu, kto jest zaangażowany w promocję jakiegokolwiek medium.
2477:  I wyciągnąłbym wnioski na miejscu i organizatorów Festiwalu Góry Literatury,
2482:  i profesorów, którzy organizują sobie swoje własne spotkania, na które przychodzi 10 osób, i na miejscu wszystkich innych prowadzących, no nie wiem, śmieszkowe kanały uniwersyteckie na YouTubie subskrybowane przez 20 osób, i na miejscu wszystkich innych mitrężących tony pieniędzy podatników na wydarzenia kulturalne, które nikogo nie obchodzą, żeby pojechali sobie na pieprzony pierkon i zobaczyli sobie jak wygląda, albo na Dni Fantastyki zbliżające się niebawem, albo na jakikolwiek inny konwent.
2508:  Może wtedy ta...
2510:  niechęć, to przekonanie o tym, że cywilizacja upada i te stereotypy polityczne upadną w momencie, jak zobaczycie setki i tysiące ludzi, którzy przyszli ucieszeni, uhahani po to, żeby spotkać się z ulubionymi pisarzami i artystami, którzy celebrują kulturę i którzy w jakiś sposób, w jakiś tajemniczy sposób są w stanie to zrobić bez klasistowskiej pogardy, bez ironicznych uśmieszków, bez segregowania ludzi na lepszych i na gorszych, nawet mimo to, że w fandomie są takie zjawiska jak gatekeepingu i pochodne.
2540:  to mimo to tworzy się wokół tego społeczność ludzi, którzy po prostu są zainteresowani kulturą i którzy ucieszeni są, że nagle się okazuje, że wyszedłszy ze szkoły, opuściwszy mury uniwersytetów albo kierunków humanistycznych, mogą rozmawiać o literaturze bez pretensji.
2557:  Niestety osoby uczestniczające na takie spotkania jak Gór Literatury z Olgą Arystokarczuk mogą utwierdzić się tylko w jednym przekonaniu, że są idiotami.
2566:  za których ich się uważa, niestety.
2568:  A dobrze byłoby, żeby raczej ludziom, jeżeli się jest człowiekiem lewicy, zwłaszcza, nieść pomoc i powiedzieć im, że są wartościowi, że zasługują na więcej, że można ich wesprzeć, zorganizować warsztaty, w których będzie się porównywało Empuzjon do Czarodziejskiej Góry,
2585:  postarać się trochę, a nie zrobić monolog dwóch gadających głów, które się tylko klepią po główkach i które potwierdzają sobie tak, tak, tak, tak, brawa, brawa, brawa, otaczają nas kretyni, a my jesteśmy tylko przodownikami umierającej cywilizacji, jak dekadenci, którzy wspinają się na pająkowatych odnóżach na zakurzone poddasze, żeby napisać tam kolejną część sonetu, którego nikt później nie przeczyta i narzekać potem w następnym utworze i w kamienniku, że nie mamy pieniędzy na to, żeby opłacić czynsz.
2614:  To jest literatura, która przebrzmiała, o której czytamy w XIX-wiecznych powieściach i na którą nie ma czasu w tej chwili, więc jeżeli taka literatura umrze, nie będę po niej płakał.
2624:  I nie będę się dziwił nikomu, kto nie będzie również absolutnie zaangażowany emocjonalnie w to, co wyprawia Olga Arystokarczuk.
2632:  I od dzisiaj każdą osobę, która mieni się humanistą, która ma tytuły, zwłaszcza z literaturoznawstwa i równocześnie głosi ideały lewicowe, będę z rozkoszą rozliczać z tego, w jaki sposób godzi swoje ideały z tym, że jej i jego idolka jest obrzydliwym klasistą
2652:  i osobą, która powinna być wykluczana za to z przestrzeni publicznej.
2658:  Do następnego.
