Witaj w szkole, CZYLI W PIEKLE | Dla każdego coś przykrego #17
🔗 https://www.youtube.com/watch?v=mfPxn85Tu7c

2:  Daj szkoło!
1801:  Dlatego też zarówno szkoła, jak i kapitalizm mają swoje korzenie w etyce protestanckiej, która nas nauczyła tego, że praca to jest świętość, a odpoczynek to jest gnuśność i acedia, próżniactwo.
1814:  Dlatego teraz jak siedzimy przed Netflixem, czy gramy w grę wideo, ten wewnętrzny nasz strażnik, nadzorca, którego zinterioryzowała, uwewnętrzniła w nas szkoła, mówi nam –
1824:  Mógłbyś teraz tyle zrobić.
1826:  A co ty robisz tutaj?
1828:  Oglądasz.
1830:  Gnuśny jesteś.
1831:  Leniwy.
1832:  Marnujesz czas.
1834:  Zrobiłbyś coś pożytecznego.
1837:  To nie jest tak, że magicznie się ten strażnik w nas pojawił.
1841:  Częściowo są winni rodzice, którzy nie umieją wychowywać dzieci.
1845:  Częściowo są winni nauczyciele.
1847:  Częściowo jest winna też taka, a nie inna historia naszej cywilizacji, w której to w zakonach ostatecznie kultywowano w wiekach średnich nauczanie.
1860:  No i złośliwie dodaję na samym koniec Marcela, że w przypadku szkoły tym celem może być co najwyżej zbawienie do czesna.
1867:  I ostatnie, obiecuję, że już dla was cytat inspirujący, mam nadzieję, do refleksji nad tym, co jest nie tak ze szkołą.
1875:  Szkoła wytwarza nastawienie, w ramach którego wierzymy, że ktoś inny dostarczy nam informacji, wyjaśnień oraz rozwiązań naszych problemów.
1883:  Tym kimś jest osoba obdarzona autorytetem i władzą.
1886:  Oczywiście sama się nią obdarza, bo to nigdy nie jest autorytet zdobyty w procesie pozyskiwania szacunku grupy.
1894:  To powinno być w rzeczywistości.
1896:  Sytuacja taka po pierwsze,
1898:  blokuje chęć podejmowania ryzyka i szukania alternatywnych rozwiązań.
1902:  W szkole w zdecydowanej większości przypadków kończy się to jakąś formą kary.
1908:  Po drugie, zniechęca ludzi do działania w grupie.
1910:  Tymczasem pracując w grupie, poprzez udzielanie sobie zbiorowej informacji zwrotnej, można osiągnąć znacznie więcej w znacznie krótkim czasie, niż pracując zupełnie samodzielnie.
1921:  I dodam, znacznie więcej można osiągnąć w swoim życiu, jak przestaniemy się samoumartwiać i samobiczować.
1931:  Dlaczego się samobiczujemy?
1933:  Dlaczego się samoumartwiamy?
1934:  Dlaczego się samokontrolujemy?
1936:  Dlaczego przeklinamy się za prokrastynację, za uzależnienie od gier wideo, tak jakby nie było uzależnienia od seriali, od filmów, anime, od mangi, od picia wody i herbaty oraz od jamników, prawda?
1951:  Można się uzależnić od absolutnie wszystkiego, ale dla WHO istnieje wyłącznie uzależnienie od gier wideo.
1958:  Dlaczego to wszystko robimy?
1960:  Dlatego, że ktoś kiedyś nam zaczął mówić, że nauka, siedzenie w książkach, nie w internecie, tylko właśnie w książkach, wkuwanie i marnotrawienie naszych najlepszych lat życia na siedzenie w dusznym budynku, w którym nie możemy zjeść kiedy indziej niż podczas przerwy, że to jest ten moment, w którym uczymy się dorosłości.
1984:  Przepraszam, że burzę komuś te iluzje i łudę, ale tak nie jest.
1990:  Skuteczny w korporacji, w firmie, w dowolnej grupie nie jest ten, kto umie wkuwać.
1997:  Nie jest ten, kto umie tylko i wyłącznie bezrefleksyjnie słuchać poleceń.
2001:  Skutecznie awansuje i wyprzedza swoich nadzorców, zwierzchników ten,
2009:  Kto stara się myśleć nieszablonowo.
2012:  Kto nie chce rywalizować, tylko rozwijać się.
2016:  Kto nie chce wreszcie
2019:  czynić ludziom wokół siebie nieprzyjemności z tego tytułu, że on jest lepszy, że on jest mądrzejszy, tylko stara się uczyć innych.
2029:  Dobry menadżer, i o tym powie wam każdy mądry biznesmen, to nie jest ten, który znachają, smaga po grzbietach swoich pracowników i mówi im, żeby coś zrobić, skazując palcem, tylko ten, który razem z nimi pod rękę
2047:  będzie wspólnie starał się ten ciężar nieść całym zespołem.
2053:  W jaki sposób mamy się nauczyć zespołowej pracy w szkole?
2058:  W pracy w grupach?
2059:  Która polega na tym, że jedna osoba robi wszystko za wszystkich?
2065:  Przecież praca w grupach i te wszystkie nowoczesne techniki pedagogiczne, które są wprowadzane, one są wprowadzane do instytucji, która nowoczesności nie znosi, bo jest na wskrośnię nowoczesna.
2078:  Szkoły demokratyczne, nauczanie domowe, Montessori i tak dalej próbują rozrywać te skostniało instytucje, ale w Polsce, nie oszukujmy się, to wciąż jest awangarda, wciąż jest fanaberia.
2092:  Bardzo często też jest to rzecz, na którą mogą sobie pozwolić nieliczni, bo są to szkoły prywatne.
2098:  Nauczanie domowe z kolei to w ogóle już jest utopia, biorąc pod uwagę fakt, że w Polsce, żeby się sensownie utrzymać, trzeba pracować na półtorej etatu, tak?
2110:  Krótko mówiąc, problem, z którym się mierzymy, jest daleko bardziej złożony i dotyczy nie tego, że musimy zmienić kształcenie nauczycieli, że musimy zmienić swoje nastawienie do życia, do rzeczywistości, do nauczania.
2130:  Nie dotyczy również tego, że mamy zmienić ministra edukacji.
2134:  Nie, bo te rzeczy, o których mówimy w szkole były, są i będą, bo instytucja szkoły nie zmienia się przez ostatnie kilkaset lat.
2146:  Więc to nie jest tak, że te problemy się pojawiają dlatego, że kretyn jest ministrem edukacji.
2152:  Nie.
2153:  Te rzeczy pojawiają się dlatego, że nie rozebraliśmy szkoły do fundamentów i nie zbudowaliśmy na jej miejscu czegoś, co przypominałoby ten ideał starogrecki, skole, czasu wolnego, który spędzamy na tym, żeby się rozwijać wspólnie i poszukiwać wiedzy.
2176:  Nie wiem, nie podam nikomu tego.
2178:  Nie od tego jest seria dla każdego coś przykrego.
2181:  Rozwiązania gotowego na tacy.
2183:  Wiecie dlaczego oczekujecie rozwiązania gotowego na tacy?
2187:  Bo was tego nauczyła pieprzona szkoła.
2191:  Ta cała rzecz polega na tym, żeby rozwiązania znaleźć samemu, albo we współpracy, albo w grupie.
2200:  A nie czekać, aż mądra lub głupia głowa z YouTube'ów poda Wam to na srebrnej tacy.
2209:  Do następnego.
