WF to patologia | Dla każdego coś przykrego #23
🔗 https://www.youtube.com/watch?v=kq1h5vcGd9g

0:  Wychowanie fizyczne jest fantastyczne, a tak naprawdę to nie.
1844:  Wiele razy się tak ludziom dzieje.
1846:  Bo w którymś momencie zostajemy uwarunkowani na chorą rywalizację.
1849:  I każdy mądry trener personalny to uświadamia, że mamy patrzeć na siebie, pokonywać siebie samego.
1856:  Będę dzisiaj lepszy niż ja wczorajszy i przedwczorajszy.
1860:  I będę lepszy pojutrze niż jutro.
1864:  Ale nie ja będę lepszy od tego, który był obok mnie.
1867:  Albo tej, wszystko jedno.
1869:  Bo to jest toksyczne!
1872:  I tylko niektórzy ludzie są przygotowani do tego, żeby znosić taki stres.
1876:  Sportowcy po stronie gier sportowych i e-sportowcy po stronie gier wideo, które są przeznaczone do rozgrywek e-sportowych.
1886:  Koniec!
1887:  Inni ludzie, mogą to być pasjonaci sportu, mogą to być pasjonaci e-sportu, ale tak czy siak oni będą mieli inklinację ku tej rywalizacji.
1895:  I to nie jest naprawdę większość społeczeństwa.
1898:  Dużo ludzi po prostu lubi oglądać sport czy e-sport, ale nie każdy musi chcieć pakować się w środek tej toksycznej rywalizacji.
1907:  I największym absurdem tego wszystkiego jest to, że WF w tym wydaniu
1916:  przeniósł się na uniwersytet.
1919:  I to nie przeniósł się wcale tak dawno, jak wam się może wydawać.
1922:  bowiem w XIX wieku.
1924:  Wtedy się to wszystko zaczęło.
1926:  Zresztą wtedy też się zaczęła instytucjonalizacja WF-u jako przedmiotu szkolnego.
1931:  Ale oczywiście na uczelniach, i szczególne patologie z tym wiążą się w Stanach, wiąże się to z rozgrywkami sportowymi, które są już w skali ogólnokrajowej.
1941:  I ludzie, którzy nie mają żadnej wiedzy na przykład, dostają stypendium sportowe i dostają się na Yale czy Harvarda bez najmniejszych problemów, bo mają stypendium sportowe.
1951:  No ja uważam, że nie widzę żadnego powodu, dla którego mieliby iść na uniwersytet, bo uniwersytet jakby nie jest od tego i nigdy nie był.
1959:  I wmawianie nam, że jest inaczej, jest właśnie tym, wmawianiem.
1963:  I prawdziwą patologią było to, że w trakcie, he, znowu będziemy do tego wracać, pandemii edukacji zdalnej, WF też się odbywał zdalnie.
1974:  Ludzie musieli włączać kamerki, jak ćwiczą.
1978:  i wysyłać nagrania WF-istom, pokazywać, że ćwiczą.
1984:  Wiecie, co ja zrobiłem w trakcie pandemii, jak nie mogłem chodzić do moje treningi?
1990:  Odpaliłem YouTube'a i zacząłem trenować z trenerem personalnym na YouTube.
1996:  I to jest jedyna ścieżka, którą powinni przyjąć wszyscy WF-iści.
2000:  Część z nich przyjęła i chwała im za to.
2003:  Ale każdy, kto tak nie zrobił, jest idiotą i debilem i powinien się natychmiast zwolnić ze szkoły.
2008:  Albo z uczelni.
2009:  Bo tak, zdarzało się tak i miałem takie przypadki osobiście w kręgu swoich znajomych, że ludzie mieli warunki z WF-u podczas pandemii.
2020:  Bo nie wysłali filmiku.
2022:  albo nie byli na kamerce i nie słuchali o rozgrywkach sportowych, bo tak, przeczytaliście, co było w podstawie programowej na temat WF-u, prawda?
2034:  Że uczeń ma nie tylko umieć piłeczką tak, tak robić, żeby to tam wpadło do tego koszyczka.
2041:  Nie, nie, nie.
2042:  On ma też znać zasady rozgrywek europejskich, polskich,
2048:  i tych, które są w Tasmanii i tych, które są na Antarktydzie wśród tego grona 20 naukowców, którzy tam rezydują i badają, ile jeszcze nas czeka do globalnej zagłady, bo tak, globalne ocieplenie istnieje.
2060:  Przy okazji, jak już wszystkich kurwiłem, to jeszcze to dorzucę.
2065:  Nie.
2066:  Musieli ludzie siedzieć przed komputerami i zamiast ćwiczyć w tym czasie, to mieli oglądać, jak jakiś pryk im opowiada o tym, że kilkudziesięciu chłopa sobie gania spoconych za piłką szmacianą.
2081:  Wow!
2083:  Świetne spędzanie czasu.
2087:  I patologia właśnie WF-u jaskrawo została pokazana, jak wszystkie inne patologie szkoły w trakcie edukacji zdalnej.
2096:  Bardzo potrzebujemy, żebym nie został źle zrozumiany, prawdziwego wychowania fizycznego.
2104:  I może nazwijmy je właściwie gimnastyki.
2107:  Potrzebujemy gimnastyki i treningów.
2111:  Potrzebujemy treningów personalnych.
2114:  Włeb jak żaden inny przedmiot wymaga indywidualnego podejścia do ucznia, bo każdy ma inne ciało.
2121:  Włeb jak żaden inny przedmiot ujawnia problemy
2126:  Oczywiście, że również i ze spektrum genderowego, tak?
2130:  Mieliśmy w trzecim sezonie Sex Education problem związany z WF-em, który jest dyzedukacyjny i koedukacyjny i co zrobić z osobą, która jest niebinarna, tak?
2141:  Dobrze wiemy, do jakich to sytuacji może doprowadzić.
2144:  WF wreszcie jest przedmiotem, który w najwyższym możliwym stopniu jest po prostu niebezpieczny, jeżeli jest realizowany źle.
2153:  I naprawdę nie wystarczy tylko to, żebyśmy mieli dobrze wykształconych WF-istów po AWF-ach, czyli Akademiach Wychowania Fizycznego, tylko potrzebujemy wybitnie, świetnie wyposażonych sal gimnastycznych.
2165:  Nie pieprzonych orlików, bo...
2167:  premier sobie lubił pograć w nogę.
2171:  I nagle się okazało, że jak premier mógł sobie pograć w nogę i lubił, no to były orliki przy każdej szkole.
2178:  Ale nie, nie mogło się okazać tak, że ktoś w którymś momencie stwierdził, że wypadałoby zrobić sale gimnastyczne.
2185:  No nie, no najwyraźniej musimy poczekać na takiego premiera, który będzie lubił treningi personalne.
2190:  No musimy poczekać na to, to wtedy się okaże, że się znajdą pieniądze nagle.
2194:  Tak się znalazło na pieprzone orliki.
2196:  które jedyne co robią, to wmawiają ludziom, że jedyna kariera, jaka istnieje poza, nie wiem, karierą jakąkolwiek w IT czy w designie i tak dalej, to jest kariera sportowa.
2208:  I później ludzie łamani są przez brak stypendiów, przez brak miejsc w drużynach, przez kolejne przegrane, które łamią im ducha, przez niedofinansowanie klubów sportowych, przez to, w jaki sposób polski sport odstaje na arenie międzynarodowej od reszty.
2227:  To nie jest łatwa droga do objęcia i nie ma żadnego powodu, żeby ludziom wmawiać, że to jest łatwa droga.
2232:  To jest droga dla ludzi zdeterminowanych i takich, którzy rzeczywiście chcą pokonywać siebie, a w drugiej kolejności innych.
2242:  I chcą dawać ludziom dobre emocje płynące z oglądania sportu, a nie igrzyska w koloseum, gdzie będzie się lała posoka ku uciesze tłumów.
2254:  To nie o to chodzi.
2256:  I o wiele lepsze byłoby przeznaczenie tych pieniędzy, które są przeznaczane na sport, na bardzo takim lokalnym poziomie, na doposażenie sal gimnastycznych w szkołach.
2265:  Bo jeśli już mamy taką patoinstytucję, jaką jest patoszkoła, to chociaż zadajmy o to, żeby jedna jedyna rzecz, która naprawdę nie wymaga, naprawdę nie wymaga wielu tweaków, żeby funkcjonować poprawnie, zaczęła działać właściwie i przynajmniej nie doprowadzała do wypadków, nie doprowadzała do absurdów i nie łamała ludziom psychiki, nie zostawiała ich z traumą na całe życie.
2286:  i ze wstrętem do aktywności fizycznej.
2288:  U mnie trzeba było kilkunastu lat, żeby przezwyciężyć tę traumę.
2295:  Lat!
2297:  I nie żałuję.
2299:  Więc jeżeli mówię do kogokolwiek, kto nienawidzi WF-u tak jak ja nienawidziłem, a nie znosiłem, nie znosiłem rówieśników, którzy ćwiczyli, nie znosiłem WF-istów, nie znosiłem atmosfery, która tam była, nie znosiłem śmierdzących klepek parkietowych, nie znosiłem zakładania przepoconej szarfy na ramię, nie znosiłem brzydkich, brudnych piłek, nie znosiłem odrapanych sal gimnastycznych jak z horroru klasy B. Nie znosiłem tego wszystkiego.
2325:  Jeśli macie tak samo,
2327:  to pamiętajcie, że wysiłek fizyczny to jest ratunek dla Was przyszłościowo.
2333:  To jest mniejszy rachunek u lekarza w wieku 30 lat.
2337:  To jest przede wszystkim gigantyczny stress relief.
2342:  Jedynie aktywność fizyczna w tak krótkim czasie jest w stanie odjąć Wam dużo stresu.
2348:  Miałem w którymś momencie napięte mięśnie kręgosłupa tak, że były zbite na...
2353:  Kamień.
2354:  Nic się z tym nie dało zrobić.
2355:  Żeby ćwiczyć mięśnie głębokie, musicie być naprawdę w dobrej kondycji.
2360:  A to najczęściej jest tak, że mięśnie przy kręgosłupie odpowiadają niestety za nasz dyskomfort, bóle głowy, ogólną ospałość i rosnący stres itd., itd.
2371:  I wyjście, zwłaszcza w mieście, które nie jest tak zaczadzone jak Kraków z mogiem,
2376:  Na zewnątrz po biegnięcie, pójście na rower, może wam tak oczyścić umysł, że następnego dnia, mimo żeście się nie zakuwali do egzaminu, nagle się okaże, że coś się wam w mózgu odblokowało i nagle możecie mówić, bo nasz mózg potrzebuje tego.
2391:  Tak!
2392:  Niezależnie od tego, czy to była fantazja XVIII-wieczna i XIX-wieczna, czy nie, w Kalokagati jest pewien sens.
2398:  Ćwiczenie piękna fizycznego i duchowego ma znaczenie, nawet jeżeli starożytni Grecy sobie nie do końca to tak wyobrażali.
2405:  Ale to nie jest po to, żeby się komuś podobać, tylko jest po to, żeby być zdrowym i żeby nie mieć problemów na całe życie z tym związanych.
2413:  Więc dzisiaj w serii dla każdego coś przykrego.
2416:  Tak, jechaliśmy po WF-ie, ale przede wszystkim jechaliśmy po tym, w jaki sposób ten system
2421:  doprowadził do tego, że na zajęciach z wychowania fizycznego, czyli gimnastyki, jak to powinno było wyglądać od samego początku, premiuje się toksyczne zachowania, toksyczną rywalizację i przede wszystkim wszystkie tego rodzaju praktyki, które bardzo dobrze sprzęgają się, nie z radami dotyczącymi tego, w jaki sposób zachować kształt,
2443:  krzepkość ciała i tężyznę fizyczną, tylko z tym, w jaki sposób udupić człowieka i postawić go w szeregu, tak żeby słuchał poleceń i rywalizował z innymi i wyśmiewał się ze słabszych od siebie i aspirował nie do tego, żeby przezwyciężyć własne ograniczenia, tylko żeby być lepszym od kogokolwiek innego.
2468:  Do następnego.
