Czy OCENY W SZKOLE mają sens? | Dla każdego coś przykrego #24
🔗 https://www.youtube.com/watch?v=UceFWxyYi6E

0:  Oceny.
1765:  I te systemy nagród utwierdzają nas w przekonaniu, które jest maksymalnie błędne, że proces pracowania nad nasoszą wiedzą, erudycją, obyciem jest czymś, co wymaga nagrody.
1781:  Nie, to jedyną nagrodą dla nas będzie to, że na przykład będziemy w stanie lepiej odpoczywać, ponieważ znajdziemy sobie pracę naszych marzeń, która będzie zgodna z naszymi zainteresowaniami, bo te się wykrystalizują nam dostatecznie wcześnie, gdyż wykorzystamy czas szkoły albo czas uczelni, jeżeli ktoś na nią pójdzie, do tego, żeby właśnie poszukiwać swojego miejsca w świecie.
1804:  Tylko, że tak nigdy się nie dzieje.
1806:  Ponieważ nie mamy na to czasu, bo zabiera się nam ten czas i wtłacza się w nas sztuczny system numeryczny.
1813:  Pani Bas z Akademii Antypatii każe nam mierzyć gruszki i piórniczki.
1818:  Tylko, że tymi gruszkami i piórniczkami jest ludzkie ciało, jest człowiek, jest człowiek z kruchą psychiką, który ma przypisany numerek, dokładnie tak samo jak jego przodkowie w ponurych okolicznościach historycznych, których mam nadzieję nie muszę nikomu przypominać.
1836:  Nie jest rzeczą przypadku, że w tak wielu dystopiach
1839:  pojawiają się projekty przypisywania obywatelom numerów.
1844:  No, po raz pierwszy w powieści my, Eugenia Zamiatina, jego bohater nosi dumne miano D-503.
1852:  D jak dupa zapewne.
1854:  I
1856:  Co to zmienia?
1857:  Po co to jest?
1859:  To, co zawsze wam mówiłem, to jest ta próba bardzo miękka, ale jednak pozbawienia nas tożsamości pod pozorem równego traktowania i obiektywizmu.
1867:  Bo oczywiście, że o to chodzi w szkole i na uczelni.
1872:  że wszyscy mają być traktowani równo, że ten, kto wyjedzie sobie na Erasmusa i będzie miał jakieś dziwne, niestworzone przedmioty, to one będą miały przypisane wartości ECTS, które później przepiszemy sobie, tak, do świadectwa, pięknie.
1885:  Jeżeli ktoś w Sieradzu będzie miał piąteczkę i ktoś w Warszawie będzie miał piąteczkę, to jest ta sama piąteczka odnosząca się do tego samego materiału dydaktycznego, przyswojonego w pomieszczeniu dydaktycznym, zestandaryzowanym i opisanym w prawie o oświecie.
1902:  I zabawne jest to, że ta oświata, która jest tak zauroczona tymi numerami, kwantyfikowalnymi wartościami, systemami metrycznymi, celebruje równocześnie osobistości, filozofów, twórców, naukowców, wynalazców, którzy byli wykształceni w zupełnie innym systemie.
1920:  Celebrowany Mickiewicz.
1922:  Jak?
1923:  Na przykład miał guwernera i prywatną nauczycielkę i nie było wtedy innych możliwości, tak?
1930:  Kopernik również uczył się w systemie, w którym nie przyznawano mu numerków i nie przyznawano ocen tego rodzaju, tylko dostawał normalny i sensowny feedback na uczelni, która wtedy jeszcze była dobra i tak dalej, i tak dalej.
1947:  Wymienilibyśmy wszystkich praktycznie.
1950:  twórców, myślicieli, którzy dzisiaj nas inspirują i odnajdywalibyśmy bardzo podobną historię, albo ludzi, którzy byli wykształceni poza systemem w dzisiejszym znaczeniu tego słowa, albo ludzi, którzy, jak współcześni wynalazcy, myśliciele, wybitni pisarze itd., uciekali w te pędy ze szkół i z koledzy i z uniwersytetów, bo orientowali się, że one kompletnie nic im nie dają.
1972:  Ja akurat byłem takim człowiekiem, który miał bardzo proste i hedonistyczne wyobrażenie.
1979:  Wtłoczyli mnie do szkoły, muszę to przetrwać, byleby skończyć i będę się starał mieć najlepsze oceny, żeby mieć święty spokój.
1987:  To było moje stanowisko i moja wyłączna motywacja.
1992:  Ale dziś prawdopodobnie z tą wiedzą, którą mam, podejmowałbym o wiele bardziej radykalne decyzje, bo zdawałbym sobie sprawę z tego, że nie definiuje nas ten numerek, który nam ktoś wystawia w dzienniczku.
2004:  No i oczywiście możecie spytać, jaka jest alternatywa, bo przecież oczywiste jest to, że Krzysztof jest utopistą, który duma sobie w jakichś przestworzach i mówi niestworzone rzeczy, nit to, że mówi o rzeczach, które były do XVIII wieku włącznie i dopiero od 100 lat mamy taki chory system edukacji, jaki mamy.
2022:  Ale naturalnie to jest utopia dla tych z Was niezorientowanych, o co mi chodzi.
2026:  Utopia to jest rzecz, której nie ma i nie zaistniała, więc jeżeli jakieś rozwiązanie sprawdzało się
2031:  W rzeczywistości, kiedykolwiek historycznej, to nigdy nie będzie utopijne.
2035:  Sorry, nawet jeżeli byśmy chcieli to skrytykować.
2038:  Jeszcze domykając ten wątek, dodam, że znamienne jest to, że to właśnie w krajach byłego Związku Radzieckiego słowo utopia jest używane pejoratywnie i negatywnie.
2047:  Na całym świecie Utopia jest programem optymistycznym i szczęśliwym, a nie czymś negatywnym, co wymaga zwalczania albo ostrzeżenia przed tym.
2057:  No ale to jest inna historia i opowiemy ją innym razem, chociaż może nie w serii dla każdego coś przykrego.
2063:  Co powiedziawszy, mam dla Was życzoną alternatywę i możecie być zdumieni jak ją zobaczycie.
2069:  Mianowicie wygląda ona tak.
2072:  To jest tak zwana alternatywa w postaci zielonego długopisu.
2075:  Dalej macie te śmieszne numerki, ponieważ tego od nas wymagają.
2078:  Od nas mówię, a myślę nauczyciele, prawda?
2082:  Skoro system tego wymaga, to postarajmy się ten system hakować.
2086:  Ten sposób zielonego długopisu to jest wskazywanie mocnych stron.
2091:  Tu jest akurat prosty przykład, bo bardzo podstawowych operacji matematycznych, czy arytmetycznych ściślej mówiąc,
2098:  Ale i tak na tym prostym przykładzie możemy zobaczyć, jaka jest strategia.
2103:  Oczywiście ja osobiście bym nie unikał wyjaśnienia również tego, gdzie został popełniony błąd i dlaczego.
2112:  Nie trzeba tego zaznaczać oczywiście, bo wiecie, to jest coś psychotyczne, jak tak zaznaczasz, aaa, czerwony długopis, minus.
2119:  No to jest, jeżeli ktoś, kto robi takie rzeczy, to jest po prostu psychopatą i nie należy kompletnie się jednej sekundy wahać przed natychmiastowym zwolnieniem takiej osoby z dowolnej instytucji edukacyjnej, w której pracuje.
2134:  Natomiast zamiast tego można napisać rzeczonym zielonym długopisem, oczywiście to jest metafora i mam nadzieję, że ją rozumiecie właściwie,
2144:  gdzie został popełniony błąd i jak należy nad nim pracować.
2148:  Szczerze powiedziawszy, ja osobiście wolę wyjaśnić błąd o wiele dłużej, niż pochwalić za to, co zostało zrobione dobrze.
2157:  Bo to możemy zrobić oszczędnie, ale szczerze.
2160:  Więc to jest ta jedna, jedyna modyfikacja, w którą bym to wprowadził, ale mam nadzieję, że widzicie już po tym prostym przykładzie, jak bardzo to dużo zmienia.
2167:  Jeżeli mamy te cztery i trzy minusy, to widzimy te trzy minusy bardzo wyraźnie, a zielony kolor z tymi plusami oddziałuje na nas kognitywnie poznawczo o wiele lepiej i mamy wrażenie, nie no, dobrze mi poszło, jest fajnie, tylko parę rzeczy muszę poprawić.
2185:  No Krzysztof, to jest utopia, tego się nie da zrealizować, no co ty sobie wyobrażasz w ogóle, jak, no to jest niemożliwe, edukacji się nie da reformować, nie da się zmienić, tylko sobie żartujesz, przecież to jest niestworzone brednie, jakieś progresywistyczne marksizmy tutaj uprawiasz, tego się nie da.
2201:  Ale tylko tak się da, bo to jest przykład autentyczny i w swojej pracy również robię podobnie i też się da feedbackować.
2209:  Tak, moje prace dyplomowe są upstrzone różnymi poprawkami, ale równocześnie zamieszczam komentarze, gdzie wyjaśniam, dlaczego coś poprawiam.
2217:  Ba, studenci mają możliwość odrzucenia każdej mojej poprawki, tylko że wtedy muszą wyjaśnić dlaczego.
2223:  Da się?
2225:  Da się.
2226:  Tylko wiecie, co jest to cholernie trudne, ciężkie, czasochłonne, wymaga empatii.
2233:  I nie da się tego zawrzeć w żadnej pieprzonej podstawie programowej.
2239:  Nie zasłużyła tym razem nawet na zaśpiew.
2242:  Bo to jest element pewnego etosu nauczycielskiego, który trzeba w sobie mieć, dydaktycznego, ale również takiej zwykłej ludzkiej empatii i logiki komunikacyjnej.
2252:  Przecież celem wskazania błędu nie jest to, żeby upokorzyć człowieka,
2258:  Celem wskazania błędu jest to, żeby nigdy nie został on już popełniany i żeby nauczyć się uczenia na błędach.
2265:  Błąd jest dobry.
2268:  Każdy się myli.
2270:  Wiecznie się mylę osobiście.
2272:  Nie ma nic piękniejszego niż jeżeli ktoś wskazuje mi gdzieś miejsce, w którym mogę się poprawić, bo nie ma nic gorszego niż stagnacja.
2281:  Utopii jednej z piękniejszych pod tytułem Nowa Atlantyda Francisa Bacona jest piękny fragment, w którym nagle się okazuje, że utopianie mieszkańcy idealistycznego domu Salomona cały czas wysyłają emisariuszy na zewnątrz.
2297:  Dlaczego?
2298:  Dlatego, żeby się przekonać, czy świat na zewnątrz nie postąpił naprzód, bo wtedy to nasze miejsce już nie będzie szczęśliwe.
2304:  Wiedza o tym, jakie popełniają błędy naokoło, jakie my popełniamy błędy, jak można je naprawić, jest kluczowa do tego, żeby osiągnąć szczęśliwość i również jest kluczowa na drodze do perfekcjonizmu.
2318:  A o tym jest edukacja.
2320:  Edukacja jest zawsze dążeniem do doskonałości, do perfekcji.
2323:  Edukacja jest utopijna.
2326:  W tym sensie, że służy zapewnieniu nam wszystkim lepszego bytu na świecie.
2331:  Naprawdę nie ma żadnego innego powodu, dla którego się czegokolwiek uczymy.
2336:  Chodzi o to, żebyśmy skonstruowali świat lepszy niż ten, który zastaliśmy.
2340:  To jest jedyna i wyłączna moja motywacja w tym obszarze, w którym ja działam.
2345:  Chcę zostawić świat lepszym niż go zastałem.
2348:  Miałem wiele razy propozycje wyjazdu za granicę na uczelnię.
2351:  Nie przyjąłem ich, ponieważ są rzeczy do naprawienia w Polsce.
2354:  Na przykład w Polsce nie istnieją badania nad grami wideo praktycznie, więc trzeba komuś je prowadzić.
2361:  I to dotyczy wszystkich innych dziedzin życia.
2364:  Ale oceny stwarzają jeszcze jedną blokadę poznawczą.
2368:  Mianowicie wszyscy ludzie, którzy lubią trudnić się pracą fizyczną, rzemiosłem, sztuką,
2376:  no są przez oceny jednak dyskryminowani.
2380:  To znaczy, no nie da się za bardzo ocenić aktywności fizycznej, chociaż niektórzy psychopatyczni WF-iści usiłują to robić.
2386:  Nie da się również ocenić obiektywnie rysunku.
2390:  Jak?
2391:  Nie da się obiektywnie ocenić, czy ktoś dobrze zabrał utwór, czy nie.
2396:  Tym z Was, którzy chcą zobaczyć, jak to wygląda w praktyce, polecam kazus Iwo Pogorelicza i konkursu Chopinowskiego.
2402:  gdzie połowa jurorów uważa, że powinien wygrać, a włącznie zmartła Argerich, a druga, że nie.
2408:  No i finalnie nie wygrał niestety, bo zwyciężyła obiektywna miara, którą usiłowano dostosować do wykonania, które absolutnie poza nią wychodziło.
2422:  Sztuka jest niebezpieczna bardzo pod tym względem, że za każdym razem detonuje tego rodzaju systemy, które usiłują ją wtłoczyć w jakieś ramy.
2431:  I niestety bardzo często się dzieje tak, że ludzie szczególnie uwrażliwieni artystycznie są w niezwykły sposób piętnowani przez ten system.
2442:  podczas aplikacji chociażby do szkół plastycznych czy wyższych szkół plastycznych.
2447:  I to samo dotyczy ludzi, którzy nie chcą podążać drogą nauki, nie chcą kształcić się w sferze abstrakcji, ale chcą zrobić coś dobrego pracą własnych rąk.
2459:  I dostają rzeczoną jedną gwiazdkę na przykład jako restaurator i nawet nie wiedzą, co mają poprawić.
2464:  Albo dostają, no właśnie, informację, że jeżeli chcą się zająć stolarką,
2472:  no to są chyba nie dość dobrzy, żeby pójść na uniwersytet, bo co, nie było tej maturki dobrej, co?
2477:  Niska ocena była.
2480:  Zastanawialiście się kiedyś, ilu ludzi tracimy z dobrych zawodów, do których są przeznaczeni, z tego powodu, że zostali w ten sposób skrzywdzeni i tak potraktowani, z tego powodu, że się za bardzo przyjęli ocenami, które absolutnie nic nie znaczą?
2495:  Jak ja się nad tym zastanawiam, to za każdym razem wpadam w absolutną panikę i przerażenie, bo sobie uświadamiam, że to, co trawi nasze społeczeństwo jak rak, dosłownie, to przeświadczenie o tym, że nie jest tak, że każdy może być w czymś najlepszy,
2514:  Tylko, że każdy musi nauczyć się wychodzić z błędów, które zawsze będzie popełniał.
2520:  I jedyne, co można zrobić z takim człowiekiem, to go złamać i przekuć na nowo i sprawić, że będzie odporny na to wszystko.
2526:  I wiecie, jak to się nazywa?
2527:  Bo ma to swoją nazwę oczywiście.
2529:  Nazywa się to kulturą błędu.
2531:  Pisała o tym
2533:  Anna Szulc, autorka książki Nowa Szkoła pod tytuł Zmianę Edukacji, warto zacząć od tablicy, nauczycielka matematyki swoją drogą, praktyczka, która stara się pokazywać, że w obrębie tego chorego systemu, który istnieje, jesteśmy w stanie właśnie stosując na przykład metodę zielonego długopisu, budowania szacunku do własnej pracy, czy...
2554:  rozwijając współpracę między uczniem a nauczycielem, dokonać jakiejś zmiany, może małej, może lokalnej, może nie systemowej od razu, ale pokazującej, że nie ma takiego systemu, w obrębie którego nie bylibyśmy w stanie jednak myśleć o człowieku.
2569:  Ale problem polega na tym, że nie wszyscy nauczyciele, i tutaj wejdę trochę w polemikę z Anną Schulz, są
2577:  Nie wszyscy nauczyciele są dobrzy, nie wszyscy nauczyciele są empatyczni, nie wszyscy nauczyciele są w ogóle powołani do wykonywania tej pracy.
2586:  Jeżeli do czegoś w ogóle ma służyć system, to do tego, żeby eliminować przypadki patologii.
2593:  bo zakładając, że do systemu zawsze trafi więcej osób, które są do tego nieprzygotowane, to jeżeli system ma przeciwdziałać patologiom, no to oświadczam niniejszym, że system edukacji w Polsce jest właśnie dlatego do likwidacji, bo on patologię generuje, a nie sprzyja im, a o mas.
2614:  Nie ma naprawdę znaczenia, że ktoś z Was znał nauczyciela, który.
2619:  Każdy z nas zna takiego człowieka.
2622:  I zawsze, w każdym systemie i w każdym zawodzie będą ludzie, którzy się będą wybijać.
2627:  Natomiast w momencie, w którym krytykujemy rozwiązania systemowe, musimy niestety z zimną logiką zacząć patrzeć na to liczbowo i wartościowo, niestety w tym konkretnym przypadku, jak duża grupa ludzi jest przez system skrzywdzona.
2640:  I jeżeli to jest więcej niż jedna osoba,
2643:  to niestety trzeba zacząć wprowadzać takie rozwiązania, żeby główny klient tego systemu edukacji, jakim jest uczeń albo student, nie cierpiał z tego powodu.
2655:  Ponieważ on nie otrzymuje za to wynagrodzenia żadnego.
2661:  I skoro uczeń czy student nie otrzymuje wynagrodzenia za to, żeby musieć cierpieć to, w jakim systemie funkcjonuje, nikt nie ma prawa od niego tego wymagać.
2670:  Nauczyciel pisał się na to, tak?
2673:  Niezależnie od tego, do jakiej szkoły poszedł, pisał się na to.
2677:  Dostaje za to wynagrodzenie różnego, różnej wartości, różnego poziomu.
2682:  Nie o tym jest dyskusja.
2683:  Dyskusja jest o tym, że w ramach tego wynagrodzenia ma zakres obowiązków i w ramach tego zakresu obowiązków jest znoszenie niestety wszystkich wad tego systemu i ewentualnie działanie na rzecz jego poprawy.
2696:  Ale jeżeli system generuje więcej patologii niż ta jednostkowa, a tak zaczyna być, jest bardzo dużo różnych historii, które spływają nie tylko do mnie, które pojawiają się w waszych komentarzach, które są skrajnie niepokojące.
2713:  Ja nie mam tendencji do przesady w takich chwilach.
2716:  Wystarczająco dużo też i długo przysłuchiwałem się i przyglądałem temu, jak wygląda edukacja w Polsce.
2722:  Wystarczająco
2724:  Byłem przerażony tym, jak wygląda edukacja, żeby w ogóle nie iść do zawodu nauczycielskiego, a miałem praktyki roczne, żeby wiedzieć, że jest naprawdę coś mocno nie tak.
2737:  I te zjawiska w kulturze, które nas otaczają, review bombing, dręczenie pracowników ocenami numerycznymi, wyliczaniem wskaźników produktywności,
2748:  procentowe wartości, które są przyznawane dziełom artystycznym i wiele innych tego rodzaju zjawisk sprawiają, że nie można już dłużej przymykać na to oka.
2759:  Bo nie jest to zjawisko nowe, ten system nie jest stary.
2764:  Zjawisko nie jest nowe, ale system jest świeży, ma 100 lat ledwie.
2769:  I naprawdę to nie jest coś, co było z nami przez całą historię ludzkości i z czym nie można byłoby walczyć.
2775:  Wręcz przeciwnie, to jest właśnie coś, co pojawiło się nagle jak czyrak i trzeba ten czyrak wyciąć i ten proces jest bolesny.
2784:  Rany nie można zalepiać plastrem.
2786:  Wspaniali nauczyciele, którym się chce, to jest taki plaster zalepiony naropiającą ranę.
2792:  Nie sprawi on, że nie będzie ta rana ropieć.
2795:  On sprawi tylko, że nie będziemy jej widzieć, ponieważ będziemy zauroczeni przez jeden moment tym, że znalazł się w naszym życiu ktoś, komu zależy i ktoś, komu się chce.
2803:  Ale to nie zmienia faktu, że...
2806:  Wtłaczani są ludzie i po stronie uczniowskiej, i nauczycielskiej, po dwóch stronach barykady edukacyjnej, której nie powinna być, nawiasem mówiąc, w sytuację, w której ktoś ocenia kogoś.
2816:  I prowadzi to do daleko idących konsekwencji, w których np.
2820:  ktoś nie będzie chciał
2822:  Pochwalić tym, co zrobił, bo się boi reakcji, bo się boi oceny, bo się boi wartościowania.
2828:  Są ludzie, którzy potrzebują walidacji z zewnątrz, chcą, żeby ktoś im powiedział, krótko mówiąc, jesteś dobry, to co robisz jest dobre, wyglądasz dobrze, cokolwiek.
2838:  Są ludzie, którzy takiej walidacji z zewnątrz nie potrzebują.
2842:  Ja na przykład takiej nigdy nie potrzebowałem.
2844:  Znaczy, nigdy.
2845:  Od momentu, w którym jestem świadomy pewnych zjawisk w kulturze i trochę bardziej świadomy tego, co dla mnie jest dobre.
2851:  O, od tego momentu, mówiąc uczciwie.
2854:  Ale wcześniej, oczywiście, że byłem na to podatny i każdy jest na to podatny, jednym z obowiązków edukacji jest wykształcić w nas poczucie własnej wartości.
2863:  Nikt mi nie wmówi, że oceny kształtują poczucie własnej wartości, tak samo jak nikt mi nie wmówi, że oceny są dobrym wskaźnikiem mierzenia jakiegokolwiek przyrostu wiedzy, bo to już się przekonaliśmy, że nie.
2874:  Tylko ocena opisowa jest w stanie nam powiedzieć, czego realnie się nauczyliśmy i nad czym mamy jeszcze pracować.
2880:  Natomiast ten aspekt wartościowania jest bardzo problematyczny, ponieważ człowiek, który ma z góry na dół same szóstki, będzie miał o sobie tak samo mylne wyobrażenie, jak człowiek, który ma z góry na dół same oceny niedostateczne i jak człowiek, który ma z góry na dół same oceny dostateczne i jak człowiek, który ma oceny w każdym krańcu tego spektrum.
2898:  I w jednym, drugim, trzecim, czwartym przypadku nie będziemy mieli żadnego wyobrażenia swojego ponad to, że jesteśmy dobrzy albo lepsi od kogoś, albo gorsi od kogoś, albo przeciętni.
2910:  Moim zdaniem każdy przypadek jest zły.
2914:  I jedyne rozwiązanie, jakie ja widzę w tym momencie, biorąc pod uwagę to, że w dalszym ciągu jesteśmy w systemie, który wymaga egzaminów na szczeblu państwowym i te egzaminy są niestety oceniane nieopisowo, ale są oceniane przez maszynę, bo tak jest łatwiej, to stosowanie różnych metod i strategii, które będą sprzyjać destrukcji tego układu od środka.
2937:  Jedną z takich metod jest tutoring, powrócenie do relacji mistrza i nauczyciela, kontaktu bezpośredniego.
2944:  Oczywiście na skalę masową jest on utrudniony, ale nie jest rzecz o przypadku, że wiele uniwersytetów do tego teraz zaczyna wracać, ponieważ przekonało się, że kształcenie masowe
2954:  Niczemu nie sprzyja, przynajmniej na szczeblu uniwersyteckim.
2957:  Na szczeblu szkolnym tutoring da się oczywiście wdrażać, tylko w opcji zmodyfikowanej, to znaczy np.
2964:  w formie ocen opisowych, które przynajmniej pokazują chęć podejścia indywidualnego do ucznia.
2971:  dla ucznia, a nauczyciela z kolei zmuszają do tego, żeby zaczął w ten sposób podchodzić, bo nie da się, moi mili, wystawić oceny opisowej, jak się porządnie sprawy nie przemyśli.
2983:  To już nie jest mechaniczne wstawianie minusików, które mamy i wpisywanie sobie BBB plus DB i lecimy do następnej kartkóweczki.
2991:  To też spowodowałoby, że nie byłoby masowych kartkóweczek, teścików i podobnych tego rodzaju rzeczy, ponieważ wracamy cały czas do czasochłonności.
3000:  Nie byłoby to fizycznie możliwe, czyli doszłoby do redukcji tego, co również indukuje bardzo mocno stres w nas wszystkich, to znaczy ciągłych metod sprawdzania,
3010:  I przypominam, że użyję metafory RPGowej.
3014:  Jeżeli mamy kartkóweczkę na czas, 15 minut, 15 i szybko, szybko, szybko, to mówiąc językiem klas RPGowych, sprawdzamy nie rzut na inteligencję, tylko rzut na zręczność.
3025:  Kto szybciej?
3026:  To nie jest w żadnym wypadku realna sytuacja życiowa.
3030:  Nigdy w całej swojej karierze naukowej nie musiałem na szybko sobie czegoś przypomnieć.
3035:  Wręcz przeciwnie, zwykle to był proces czasochłonny, sięganie do źródeł i przepatrywanie ich.
3042:  Krótko mówiąc, nie widzę wad likwidacji ocen.
3046:  Jedyna wada, którą wszyscy wymieniają, to jest, no właśnie, mierzalność tego całego procesu.
3053:  Nie uważam, żeby ludzi należało mierzyć.
3055:  Nie ma z tego żadnych wymiernych nomen omen efektów.
3058:  Poza oczywiście tym, że wszyscy chcą być wtedy w szeregu i nie zauważają sytuacji życiowych, które są kopią sytuacji szkolnej i które sprowadzają ich do malutkiego trybika w maszynie i do maleńkiej cyfry w statystyce i do gwiazdeczki na Lubimy Czytać albo na IMDB.
3076:  To są sytuacje, które powinny wzbudzać nasz niepokój.
3080:  Tak, znowu kolejny odcinek dla każdego coś przykrego mówi nam, że wszystko się zaczyna w edukacji.
3086:  I sztuka, i kultura, i nasze problemy społeczne, ale jeżeli...
3091:  rzeczywiście zaczynają się w edukacji, to musimy sobie troszeczkę przeformułować tę tezę.
3095:  Zaczynają się nie tyle w nauczaniu, mają swoje źródło nie w edukacji, nie w samokształcaniu, ale w instytucji szkolnej i systemie edukacji, i systemie oceniania, i systemie metrycznym, które są
3110:  świeżo do naszej cywilizacji wprowadzone.
3113:  Więc niezależnie od tego, czy jesteśmy konserwatystą, czy jesteśmy postępowcem, powinniśmy optować za zniesieniem tego systemu, no bo cóż innego może być bardziej konserwatywne niż optowanie za rozwiązaniem, które sprawdzało się przez wszystkie wieki, aż do wieku XVIII?
3129:  I dopiero nowinkarstwo w XIX wieku modernistyczne doprowadziło do rezygnacji z tego sprawdzonego, konserwatywnego układu.
3138:  A z drugiej strony, jeżeli jesteśmy postępowcem, tym lepiej.
3141:  Otwieramy się na przyszłość i skoro są już w tym momencie rozwiązania, które wracają kołem do tego, co mieliśmy wcześniej, to być może możemy z tego zrobić coś lepszego.
3152:  Wniosek jest jeden, krótko mówiąc.
3154:  Ocenianie tym razem nie jest tylko ocenianiem.
3158:  Ocenianie jest aż ocenianiem i ma bardzo daleko idące konsekwencje psychiczne, psychofizyczne dla naszego poczucia własnej wartości, czyli najważniejszej rzeczy, jaka istnieje w ogóle.
3171:  w naszym zdrowiu i kondycji psychofizycznej, z której wynika mnóstwo różnych i naszych słabych i silnych stron.
3179:  W naszym niskim poczuciu wartości mogą mieć źródło stany depresyjne, lękowe.
3186:  Niskie poczucie wartości może doprowadzić do tego, że nie będziemy sobie radzić na rynku pracy.
3191:  Niskie poczucie własnej wartości może doprowadzić do tego, że nie pochwalimy się
3195:  komukolwiek czymś, co jest niesamowicie cenne i co być może zaskarbiłoby nam uznanie i właśnie otworzyło różne ścieżki rozwoju i zawodowego i osobistego.
3204:  Oceny, krótko mówiąc, są tym, co należy zlikwidować w pierwszej kolejności.
3210:  I będzie to lepsze dla uczniów, dla nauczycieli, dla rodziców i dla nas jako całego społeczeństwa.
3218:  Do następnego.
