RADEK RAK z nagrodą Nike! | Dla każdego coś przykrego #1
🔗 https://www.youtube.com/watch?v=7I-nYXRsLBA

1:  Co roku o tej porze przeżywam ten sam koszmar.
1769:  Mianowicie jest tak, że jak przeczytaliście na przykład kiedyś J.K.
1774:  Rowling, to nie jest to literatura przez duże L.
1780:  To jest powieść, to jest komercja, bo to jest sprzedawane i ludzie to kupują.
1786:  To nie jest literatura.
1788:  Literatura to jest coś, czego nikt nie czyta, ale każe się nam to czytać na liście lektur.
1794:  Dlatego ta powieść wiele zawdzięcza literaturze, bo ona odwołuje się do tradycji, która jest rozpoznawana przez srebrnowłosych krytyków literackich.
1802:  i nie wykracza poza te schematy, do których się przyzwyczaili.
1806:  A musicie pamiętać o tym, że ci ludzie naprawdę nie czytali fantastyki, a większość z nich naprawdę nie zna nawet Harry'ego Pottera i Władcy Pierścieni, po prostu nie wie, co to jest, nie czytało tego.
1814:  Znam profesorów zajmujących się literaturą, którzy nie znają nawet wydawnictw, w których wydaje się polską fantastykę.
1821:  Czytamy dalej, po wyjaśnieniu.
1823:  Jej konstrukcja tej powieści, czyli klechdy, a nie baśni, precyzyjna, dyskretnie podopinana,
1831:  Pracuje miękko jak dobrze naoliwiony mechanizm.
1834:  Ma w sobie coś jak solennie tykający szwajcarski zegarek.
1838:  Winno być napisane.
1839:  Nie wiem skąd taki niedostatek weny.
1841:  Ma w sobie coś z bezwzględności ze...
1845:  Przysięgam, nie czytałem tego wcześniej.
1847:  Zegara odmierzającego minuty, wbijającego godzinę, ale jest też w niej niebało wydzięku, bo nie dźwięku, pozytywki, która powtarza znane struktury fabularne.
1858:  Powiela dobrze już rozpoznalne, niemal już wytarte układy wątków.
1863:  Rozumiem, że jeżeli jest fantastyka, to musi mieć wytarte układy wątków i zmienia je w płynny ruch snucia opowieści.
1869:  W falowanie realności jak ze snu, przeczytał Próchniak.
1874:  jeszcze potem dodał, bo mało tego, słychać w baśni o wężowym sercu różne echa i tony literatury, przez to duże L. Podskórnie pracują w niej głosy wielu pisarzy, wzięte pod włos, rozwibrowane, twórczo przejęte, przetopione na metal lżejszy od powietrza.
1895:  Aaa, obligatory lalka reference!
1900:  Podkreślono wagę sprzymierzonej z wyobraźnią literackości,
1905:  Literackość to jest taki termin, który jest bardzo ciekawy.
1909:  On oznacza zespół cech, które sprawiają, że literatura jest literaturą.
1920:  wiedza bezużyteczna ze studiów.
1922:  Przypomina rzeczona literackość literatury, że literatura jest wolnością słów, że biegnie w nieznane, a zarazem w tym samym ruchu wnika w świat, sięga w głąb rzeczywistości i wtedy staje wobec czegoś, co odnajduje się w języku drzew i kamieni.
1938:  W opowieściach góri mowie mitu, pisze Próchniak tęskniąc ewidentnie za stylem Olgi Tokarczuk, ale nieumiejętnie go imitując.
1947:  Tak pomyślana literatura przypomina też o potrzebie mitu.
1954:  Musiał się pojawić mit.
1957:  No przecież nie można powiedzieć o fantastyce, o czym jak ktoś był zainteresowany, można się dowiedzieć mniej więcej z tej książki, gdzie Andrzej Sapkowski mówi, że jak ktoś nie lubi fantastyki, to wtedy to mówi, że coś jest realizmem magicznym albo mitem, albo tego rodzaju różnymi wytrychami.
1977:  Fajny wstęp pod tym względem do przeczytania.
1979:  Polecam.
1982:  No więc owasz mowa mitu i pulsacja dawnych mitologii, to właśnie to, co czujemy w historii Jakuba Szeli, która jak wiadomo, Jakub Szela jest Odyseuszem, szedł, a potem płynął na podbój Troji.
2000:  Potem wrócił i spotkał Napoleona.
2002:  No to jest starożytność, nie oszukujmy, to jest mitologia.
2007:  Jeszcze czasy Kronosa i Rej, to już wtedy był Jakub Szela i jest częścią tej mitologii światowej, do której się odwołujemy.
2021:  To są mity kopolskie, znaczy lechickie mitologie.
2027:  Wcale nie chodzi o to, że Bruno Schulz napisał kiedyś esej Mityzacja rzeczywistości, by nie umiał zakwalifikować gratunkowa własnej twórczości.
2034:  Literaturoznawcy zamiast, żeby zrobić to, co powinni robić literaturoznawcy, to znaczy nie słuchać pisarza, tylko wypowiedzieć się na temat literatury fachowo i na przykład powiedzieć, że Bruno Schulz to...
2046:  Tworzył taką samą literaturę jak Mervyn Peake na przykład, Gorman-Gast cykl, albo jak Franz Kafka.
2053:  No nie, to mówili, że to jest mityzacja rzeczywistości, nie umieli zakwalifikować gatunkowo człowieka, który napisał dwa zbiory opowiadań i tyle.
2064:  No i jest Szulc, oczywiście, no ale Szulc tutaj powinien być, bo Radek Rak sam zresztą w tym wywiadzie, który tutaj pokazywałem, inspirował się i przyznał się do inspiracji Szulcem, napisał wprost, mam nadzieję, że baśnią o wężowym sercu udało mu się już z tego Szulca trochę wypisać i od niego odejść, złapać jednak własny język, dodał własny sposób pisania o rzeczywistości, własny sposób myślenia rzeczywistości, mimo że tutaj przed, że jest właściwie przecinek w odróżnieniu od wpisu orbitowskiego, Szulc pozostaje dla mnie niedoścignionym wzorem i prawdopodobnie najważniejszym
2094:  pisarzem w życiu.
2096:  Swoją drogą też to jest takie bardzo miłe, że człowiek, który pisze w taki sposób magiczny właśnie, tworzący taką aurę tajemniczości, o czymś, co jest częścią naszej historii, potrafi to opowiedzieć w taki sposób, który nie trąci tą polską paździerzą, która wyłazi aż na przykład u Kuczoka czy u Tokarczu, tam czuć tę paździerz.
2116:  To jest piękne, że ten człowiek potrafi pisać prosto o tej literaturze i potrafi wprost powiedzieć, słuchajcie, to jest przygodowa literatura, to jest fantastyka, to jest dla was, macie się tym cieszyć.
2127:  A nie robi takich bójt jak w Laudacji Próchniak.
2134:  gdzie Radek Rak ma dotrzeć do miejsca, czerpać z ciemnych źródeł i nurtów, wcale nie dlatego, że pisano o Gombrowiczu, że to jest ciemny nurt i o tym się tego naczytał Próchniak.
2147:  Dał nam kubek tamtej wody, pożywnej.
2152:  Ja nie wiem, czy woda jest pożywna.
2157:  Jest tu jakiś indeks kaloryczny na tym?
2162:  No nie ma, są aniony, kationy, uboga w sód.
2170:  Spożyć w ciągu 48 godzin od otwarcia i chronić przed działaniem promieni słonecznych.
2177:  Nie wiem, ile jest pożywna, ale dobra, skoro profesor tak mówi, najwyraźniej tak jest.
2183:  orzeźwiającej wody mitu i tajemnicy.
2188:  Nie wiem, nie wiem, powiedział Paweł Próchniak, czy od literatury, przepraszam, literatury można oczekiwać czegoś więcej.
2198:  Można oczekiwać czegoś więcej.
2200:  Można oczekiwać na przykład, że to będzie ciekawe, że to będzie sympatyczne, że pobawimy się przy tym, że będziemy zadowoleni, że odpoczniemy sobie, odetchniemy od rzeczywistości.
2213:  Właśnie, że się przeniesiemy w ten historyczny świat, który wydobywa w swoich powieściach Radek Rak.
2219:  Zrymowałem.
2221:  Bo prawda jest taka, że to nie jest rzecz przypadku, że fantastyka zawsze romansowała jakoś z historią.
2226:  Popatrzmy, bardzo często mówiono o tym kostiumie średniowiecznym, fantazy, tej czerpiącej z wzorców arturiańskich, do tego stopnia, że nawet nie Jacek Dukaj, tylko Andrzej Sapkowski musiał się raz tłumaczyć z tego, że są...
2241:  Nie wiem, chociażby, że jest ręsztunek średniowieczny w Wiedźminie.
2245:  Albo Jackowi Tasbirowi, też profesorowi, musiał się tłumaczyć, dlaczego w teologii husyckiej wykorzystuje informacje historyczne.
2254:  No właśnie dlatego, że fantastyka to robi od lat, bo fantastyka ma nas przenieść w wyobrażony świat przeszłości.
2260:  to robi Radek Rak.
2262:  I Radek Rak rozpoznaje trafnie, że to jest fantastyka.
2265:  Oczywiście moglibyśmy powiedzieć już literaturoznawczo, że to jest postfantastyka, albo że fantastyka historyczna, ale w dalszym ciągu jest to fantastyka.
2273:  Jeżeli trylogię Husysku Andrzeja Sapkowskiego traktujemy jako fantastykę historyczną, Baśnią w Wężowym Sercu powinniśmy traktować też jako fantastykę historyczną, albo coś w tym rodzaju.
2283:  Możemy powiedzieć o tym, że to jest new weird, że to jest weird fiction.
2287:  Możemy powiedzieć, że to jest
2289:  Tak?
2289:  Autor chce baśń.
2292:  No naprawdę nie musimy mówić, że to jest klechda po to, żeby od razu te wszystkie nuty, które nęcą literaturoznawców wybrzmiały ludowości, kłopskości i tak dalej.
2303:  To jest nieinteresujące dla przeciętnego człowieka dzisiaj.
2306:  Gdyby było interesujące, to Wesele Wyspiańskiego byłoby większym bestsellerem niż Władca Pierścienia.
2311:  Nigdy nie było i nigdy nie będzie i absolutnie w tej chwili nie jest.
2320:  Summa summarum.
2322:  Czytajcie Radka Raka.
2324:  Przeczytajcie jego opowieść.
2325:  Ale nie dlatego, że wygrała nagrodę Nike.
2329:  Naprawdę...
2331:  Ani to specjalnie uczeni ludzie tam zasiadają w jury, ani się oni naczytali literatury, bo czytają w bardzo wąskim takim horyzoncie, w bardzo cieśniusieńkiej bańce.
2344:  Nie wykraczają poza nią, więc nie są w stanie stwierdzić, czy Olga Tokarczuk pisze lepiej od takiego Jacka Dukaja, bo Jacka Dukaja nie czytają.
2352:  A nawet jeśli czytają Jacka Dukaja, to nie przeczytają Rafała Kosika, czyli tego samego autora, którego wydaje wydawnictwo Powergraph.
2358:  Polecam chociażby Vertical albo Mars, tegoż autora, nie tylko Feliksa Netajnikę, albo te wszystkie książki Roberta Wegnera, które tutaj mniej więcej się piętrzą, albo Cezarego Zbierzchowskiego, ostatnio wydane Distortion.
2373:  Albo Anne Kaintoch i innych autorów tego wydawnictwa, bo najwyraźniej jest jeśli, jeśli.
2379:  Krytycy docenili wreszcie wysiłki wydawnictwa Powergraph w promowaniu wartościowych pisarzy, a przypominam, że Orbitowski też swego czasu z nimi współpracował i szos tak, tak, że były wydawane w serii kontrapunkty.
2393:  to być może i inne książki są warte waszego czasu.
2397:  Bo zostały wyselekcjonowane przez tych samych redaktorów inicjujących, przez tych samych właścicieli wydawnictwa, wydane przez nich.
2405:  Więc może ta fantastyka nie jest taka zła i może naprawdę nie musimy czekać, aż redaktorzy
2412:  wyborczej i jurorzy nagrody Nike, do której w plebiscycie dla czytelników nie można było zagłosować, jeżeli się nie miało konta w rzeczonym serwisie wyborczej i nie prenumerowało wyborczej.
2427:  Więc wiadomo już, że to jest nagroda Nike od czytelników wyborczej, a nie od czytelników w ogóle
2434:  Po co to robić wszystko, po co czekać na to, skoro po prostu można kierować się głosem własnego serca i czytać to, na co mamy ochotę, a tego rodzaju werdykty traktować z przymrużeniem oka, ale cieszyć się z tego, że dziś stała się niewątpliwie de facto wczoraj historyczna chwila, to znaczy fantastyka została doceniona przez mainstream, główny nurt wykorzystujący
2460:  dotychczas swoją władzę, wpływy i pieniądze do tego, żeby promować ludzi, którzy w innych okolicznościach i warunkach prawdopodobnie przez nikogo nie byliby czytani.
2474:  Dla każdego coś przykrego.
