OCENY SZKODZĄ. Wszystkim | Dla każdego coś przykrego #36
🔗 https://www.youtube.com/watch?v=yi4I_ARnys8

0:  Nie, w ogóle nie mamy problemu jako społeczeństwo z ocenianiem.
1636:  Biurokratyzacja i nadmierna teoretyzacja całego systemu oceniania zawsze będzie się odbijała kosztem na uczniach i na nauczycielach, ale właśnie w tej kolejności, bo w pierwszej kolejności niestety odbija się na uczniach, którzy przypominam, że trafiają później do innych miejsc i naprawdę nie wszyscy trafiają na uniwersytety.
1659:  I to powoduje szereg problemów.
1661:  Po pierwsze niechęć chodzenia do szkoły, w ogóle strach przed pójściem do szkoły, ponieważ są oceny.
1668:  Następnie powoduje to innego rodzaju kłopoty, to znaczy porównywanie, o którym już wcześniej mówiłem, które prowadzi wyłącznie do patologii, prowadzi do tworzenia hierarchii wewnętrznych w szkole, tych najlepszych i tych najgorszych.
1681:  Następnie prowadzi to także do tego, że mamy całkowity rozkład relacji rodzinnych w aspekcie komunikowania się o tym, czego się ktoś dowiedział.
1690:  Przecież dlaczego jest tak, że za dziecka interesujemy się dinozaurami, kosmosem, piratami i wszystkim innym, a potem nagle te wszystkie rozmowy zaczynają wygasać w rodzinie, bo nie ma o czym rozmawiać, kiedy rozmowa się sprowadza do tego, a to popraw te czwórkę na piątkę.
1705:  Albo o, o, to masz trzy, to w takim razie nie będzie komputera.
1710:  To jest kolejny przelicznik, kolejny kantor, tak?
1713:  To znaczy jest pięć, to jest dodatkowa gra w tygodniu.
1716:  Nie jest trzy, to jest minus dwie godziny w tygodniu.
1719:  Rodzic jest takim samym debilem wtedy, jak nauczyciel, który coś takiego robi.
1724:  I nie, nie mówcie mi nawet, że to się kończy na szkole, ponieważ jest dokładnie to samo na uniwersytecie.
1728:  Jak aplikowałem o stypendium,
1731:  ministra nauki szkolnictwa wyższego, nie pamiętam, jak to się w tej chwili nazywa, i równocześnie stypendia rektorskie, to miałem szczegółowe przeliczniki.
1741:  Konferencja międzynarodowa o zasięgu krajowym 5 punktów.
1744:  Konferencja międzynarodowa o zasięgu międzynarodowym 10 punktów.
1748:  Artykuł w czasopiśmie naukowym punktowanym
1750:  Tyle punktów, ile wedle ministerstwa artykułów w czasopiśmie naukowym niepunktowanym, poza listą ministerstwa, 20 punktów.
1757:  Artykułów bez czasopisma, ale w internecie jeden punkt.
1761:  I tak to leciało.
1762:  Była dwustronicowa lista rzeczy, które trzeba było zrobić, były przeliczniki.
1768:  I w zależności od tego przelicznika ja miałem albo więcej pieniędzy na jedzenie, albo mniej pieniędzy na jedzenie w ciągu miesiąca.
1773:  Haha, zabawne, prawda?
1775:  Tylko że nie.
1776:  Ponieważ przez to, przez ten wyścig szczurów, który zostałem wpakowany na etapie uniwersyteckim, złapałem siebie ostatnio na tym, że pisałem dwa artykuły miesięcznie naukowe.
1785:  Dla kontekstu dzisiaj napisanie artykułu naukowego zajmuje mi cztery miesiące.
1789:  I przygotowanie się do tego porządnie.
1791:  I ode mnie jako diungta na uczelni wyższej wymaga się czterech artykułów w ciągu czterech lat lub publikacji, wszystko jedno.
1797:  Książki.
1799:  A wtedy, na studiach doktoranckich, miałem ich od 8 do 10.
1803:  Rocznie.
1806:  I później się ludzie dziwią, dlaczego są problemy, dlaczego studenci wpadają w depresję, dlaczego jest wyścig szczurów wśród doktorantów, dlaczego potem się pamięta do późnych lat życia tego rodzaju orkę na ugorze.
1817:  Właśnie dlatego, że jakiś debil na jakimś etapie stwierdził, że on nie będzie sobie teraz marnował czasu na to, żeby przejrzeć na przykład jakiś artykuł studenta albo aplikację o stypendium naukowe.
1829:  On tego nie będzie robił.
1830:  On chce mieć tabelkę
1832:  I ta belka jest obiektywna i to jest bardzo obiektywne, że jeżeli ktoś dostanie na przykład o cztery setne punkcika za mało, to już on nie dostanie stypendium naukowego, bo ono jest cztery setne punkcika wyżej.
1846:  Obiektywne.
1849:  Mhm.
1850:  A, i masowość kształcenia.
1852:  Wiecie, jakie jest rozwiązanie masowości kształcenia?
1855:  Nie kształcić masowo, na przykład, nie zmuszać ludzi do tego, żeby poszli na studia, nie wywierać presji na dzieciakach, które na przykład mają uzdolnienia w zakresie grafiki albo manualne, albo inżynieryjne, techniczne, żeby szły na studia, bo naprawdę nie potrzeba...
1868:  doktorów i profesorów i magistrów w Polsce tylko, ale społeczeństwo polega na tym, że jest rozwarstwione i zróżnicowane.
1874:  I naprawdę nie musimy mieć 100% ludzi, którzy mają wykształcenie wyższe, ponieważ sam przymiotnik wyższy wtedy traci swoje jakiekolwiek znaczenie.
1882:  Wtedy jest to wykształcenie powszechne, a nie wyższe.
1886:  oto rozwiązany problem masowości kształcenia, tylko że to jest problem, nie?
1890:  Bo mamy ten post-Perelowski wzorzec myślenia i tę stygmę, tak?
1895:  Że jak ktoś jest, ktoś jest robotnikiem, to źle, nie?
1899:  To źle, jeżeli ktoś pracuje fizycznie, to jest gorszy wtedy od takiego, kto ma wykształcenie, co jest obrzydliwe.
1907:  I prowadzi do tego, że później nie rozwijają się w Polsce tak dynamicznie, jak mogłyby spółki, działalności indywidualne, zawodowe, to oczywiście temu też polskie prawo podatkowe i generalne nie sprzyja, ale to już inna historia i nie znam się na tym, więc się nie będę wypowiadał, ale nie sprzyja temu przede wszystkim ten klimat, prawda?
1929:  On jest bardzo problematyczny, że każdy uważa, że wpierw musi te pięć lat studiów odbębnić, żeby cokolwiek mógł zrobić.
1935:  To nie jest prawda.
1937:  To jest decyzja, którą trzeba podjąć świadomie, a nie da się podjąć takiej decyzji świadomie, jak człowiek nie potrafi sam siebie oceniać.
1943:  Jak ma podjąć człowiek świadomie decyzję, na jakie studia pójść, jeżeli szuka tylko o, o, gdzie jest jakiś nauczyciel, który mi powie, jak mam żyć i co mam robić, bo ja nie mam oceny, co ja mam teraz to świadectwo, gdzie są same piątki, ja nie wiem, bo ja z wszystkiego jestem dobry, na co mam pójść.
1960:  Albo odwrotna sytuacja, jestem wszystkiego zły, jestem beznadziejny, do niczego się nie nadaję, więc nie pójdę na studia.
1966:  Skąd wiecie, że nie tracimy w ten sposób systemu człowieka, który jest geniuszem?
1972:  Jest bardzo znaną sytuacją to, że większość miliarderów, milionerów, ludzi, którym naprawdę poszło w życiu, przyznaje się do tego, że albo uciekło z koledżu, albo nie dokonywał edukacji, albo w którymś momencie podjęło ryzyko rzucenia wszystkiego na jedną szalę i zaryzykowania, i założenia swojej działalności.
1991:  Jakie mamy gwarancje, że taki człowiek nie byłby genialnym naukowcem i czegoś nie wymyślił?
1997:  Otóż nie mamy żadnej gwarancji, wiecie dlaczego jej nie mamy?
1999:  Ponieważ nie rozmawiamy z ludźmi.
2000:  A dlaczego nie rozmawiamy z ludźmi?
2001:  Ponieważ uczymy się wcześniej tego, żeby nie rozmawiać.
2004:  I teraz uważam, to jest moja opinia, nie ma tego jak zbadać, ale uważam, to jest odważna hipoteza, że zamiast 14 klasówek z jednego przedmiotu dla jednej grupy, pięciu testów i jeszcze próbnej matury,
2019:  Porozmawianie dwa razy w ciągu semestru z uczniem i równoczesne rozmawianie na bieżąco i wystawianie ocen opisowych z różnego rodzaju projektów grupowych zajmie mniej czasu.
2033:  To jest moja odważna hipoteza.
2036:  I teraz, żeby podeprzeć tę odważną hipotezę, mam dla Was, jak zawsze zresztą, polecajkę, to znaczy Stowarzyszenie Umarłych Statutów, które niedawno już czekało się komentarza z mojej strony przy okazji materiału poprzedniego o statutach.
2051:  Rozmawialiśmy też na ten temat z zespołem Dopamina Lab, która była na streamie i dyskutowaliśmy nad nadlegalności statutów.
2059:  Tutaj możecie przeczytać o tym, jak zastąpić tradycyjne oceny.
2062:  Jest cała
2064:  Interpretacja prawna, przygotowana przez profesjonalnych pedagogów, nauczycieli, którzy się angażują w to, mówią dokładnie to samo, co ja, tylko innymi słowy.
2072:  A jeżeli potrzebujecie jeszcze więcej argumentów, to został przygotowany wzorzec pod tytułem Statut Nieumarły i w tym wzorcu możemy przeczytać bardzo szczegółowe rady dotyczące tego, jak należy oceniać bieżąco.
2086:  Otóż, zgodnie z artykułem 44b
2089:  Ustęp 6 punkt 3 ustawy o szkolnictwie wyższym.
2093:  Ocenianie obejmuje ustalanie ocen bieżących.
2095:  Statut szkoły określa sposób wprowadzania tych ocen itd.
2099:  Przyjęty przez nas w tym wzorcowym statucie, który wystarczy po prostu zaadaptować na potrzeby dowolnej szkoły, więc to jest przestrzeń do interpelacji ze strony Rady Pedagogicznej, rodziców, nauczycieli i samych uczniów.
2112:  I tutaj w tym wzorcu jest najpełniej realizowany styl oceniania bieżącego, który został ustalony w paragrafie 12 rozporządzenia w sprawie oceniania.
2121:  Celem bowiem oceniania jest monitorowanie pracy ucznia i przekazywanie informacji o osiągnięciach edukacyjnych pomagających w uczeniu się poprzez wskazywanie, co się robi dobrze,
2131:  co wymaga poprawy oraz jak się powinno dalej uczyć.
2134:  Nie muszę mówić, że DST dostateczny albo 3.0 nie mówi nam, co wymaga poprawy i jak należy się dalej uczyć i z czego przede wszystkim, prawda?
2143:  Myślę, że tutaj jesteśmy zgodni.
2145:  Celem oceniania bieżącego nie jest przy tym karanie uczniów czy wskazywanie ich niewiedzy.
2151:  W statucie proponujemy ocenianie bieżące oparte na ocenie opisowej dopuszczonej w tym konkretnym paragrafie przytoczonym artykuł 44 ustawy o systemie oświaty.
2160:  I wprowadzono tutaj trzy systemy oceniania bieżącego.
2163:  Ocena słowna,
2164:  czyli po prostu komunikujemy, czy coś jest dobrze, czy coś jest niedobrze.
2168:  Ocena wspierająca i kształtująca.
2170:  Ocena słowna to odniesienie się przez nauczyciela do tego, co uczeń zrobił i co osiągnął.
2173:  Ma funkcję deskryptywną.
2175:  Nie jest powiedziane, że to musi być pisemne, zwracam uwagę.
2177:  Można deskrypcję, opis także mieć ustny.
2180:  Ocena wspierająca ma przede wszystkim docenić ucznia, czyli nie oceniamy, a doceniamy w tym przypadku za to, co zrobił, być pozytywnym komunikatem wzmacniającym.
2190:  Ocena wspierająca odnosi się do niepowodzeń, ale czyni to pośrednio poprzez udzielenie wsparcia i pomocy w aspektach, w których uczeń radzi sobie najgorzej.
2197:  Ocena kształtująca z kolei pełni funkcję prospektywną, jest ukierunkowana na zaplanowanie i wsparcie przyszłych działań ucznia.
2204:  I tu macie komentarz praktyków, w tym przypadku Anny Szulc, matematyczki, która realizuje tego rodzaju rozwiązania, o ile pamiętam, w szkole w Zduńskiej Woli, ale w razie czego poprawcie mnie.
2215:  I jeżeli chodzi o dokumentację z kolei oceniania bieżącego, to najlepszym sposobem jest ustalenie tego z samymi uczniami.
2223:  Może to być projekt, może być to cokolwiek innego.
2225:  Ja na przykład bardzo lubię oceniać projektowo i tak, też mam rubryczki w USOS-ie.
2229:  USOS to jest Uniwersytecki System Obsługi Studiów, oczywiście elektroniczny, gdzie mogę wpisać tylko numerek.
2234:  Ale u mnie najważniejsza ocena to jest ocena całego projektu, który przedstawiam całej grupie.
2240:  I tak, ponieważ to jest wspólny projekt, to wszyscy mają taką samą ocenę.
2243:  I tak, żeby sprawdzić później, kto co robił, robi się bardzo prostą rzecz.
2247:  To znaczy, nie wiem, jest wsteczne wersjonowanie w wielu dokumentach do pracy w chmurze.
2251:  Sprawdza się po prostu, kto co zrobił.
2253:  Ludzie sami się regulują, jeżeli ktoś czegoś nie zrobił.
2255:  I w ten sposób rozwiązujemy dwa problemy.
2257:  Dysfunkcję pracy w grupie, która polegała na tym, że jedna osoba wszystko robiła, a reszta się przyglądała.
2262:  I druga rzecz, ocenę, która premiuje pracę zespołową,
2266:  do której prędzej czy później każdy się musi przyzwyczaić, ponieważ trafi do zespołu w robocie, gdzie będzie musiał też pełnić jakąś swoją funkcję.
2273:  I tak będzie ten zespół oceniany i doceniany za to, czy dowiózł projekt.
2279:  Nie za to, czy Basia zrobiła więcej, a Piotruś mniej, tylko za to, czy zespół dowiózł projekt, więc w interesie Piotrusia jest to, żeby nie pracował więcej niż Basia, tylko żeby wszyscy pracowali tyle samo i nie była zrzucana cała robota na jedną osobę, prawda?
2294:  Wiele zależeć będzie zatem od specyfiki przedmiotu.
2296:  Inaczej dokumentacja będzie wyglądała na zajęciach z polskiego, inaczej na zajęciach wychowania fizycznego czy plastiki oraz samych uczniów i ich preferencji.
2302:  Należy pamiętać, że dokumentacja procesu uczenia się nie ma być niechcianym obowiązkiem, czyli musi być z tym związany jakiś fan.
2308:  I wiem, jak to brzmi.
2309:  Tak, wiem.
2310:  Wiem, jak to brzmi.
2311:  I następnie uzasadnienie ocen, równie ważne.
2314:  Przyjętym w tym statucie, nieumarłym statucie, proponowanym do wdrożenia od zaraz legalnym, zgodnym z polskim systemem oświatowym, w odróżnieniu od innych statutów, które nie są zgodne z polskim systemem oświatowym, a które powszechnie występują w szkołach, ten może być wdrożony od zaraz.
2329:  I ustalono tutaj, że...
2331:  Oceny nie są kwestią pierwszoplanową, bowiem ustalanie przez nauczyciela ocen opisowych i odnoszenie się przy tym do planu procesu uczenia się, to jest coś, co przygotowuje uczeń sam w swoim zakresie współpracy z nauczycielami, powoduje, że oceny bieżące z istoty rzeczy zawsze będą uzasadnione.
2346:  Statut zatem w komentowanym przepisie ustanawia regulacje, by czynić zadość wymogą ustawy.
2351:  Omawiany przepis stanowi natomiast użyteczną regułę dla ustalenia ocen klasyfikacyjnych.
2355:  Tu macie też komentarz praktyczki.
2357:  Jeżeli jest gotowy do wdrożenia od zaraz,
2361:  statut nieumarły w szkołach, który jeszcze wcześniej ma komentarze wstępne napisane przez praktyków, doktorów, akademików, profesorów, ludzi, którzy się znają na procesie dydaktycznym, którzy zjedli na tym zęby, praktyków, nauczycieli także, bo ten statut absolutnie nie wyklucza nauczycieli z dyskusji o procesie edukacji, co jest niestety winą wielu profesorów pedagogiki, to nie ma żadnego usprawiedliwienia po stronie szkół dla niewdrażania tych zapisów.
2390:  Bo po pierwsze, wiemy już, że nie jest to obiektywne, jeżeli chodzi o wystawianie takiej, a nie innej oceny.
2396:  Nie jest legalne, ponieważ Polski prawo oświatowe reguluje oceny, które będą informowały nas o postępach w nauce, a nie oceniały wyłącznie.
2406:  Jest tylko jedna taka ocena, która ma być klasyfikacyjna i tylko ona z perspektywy państwa jest istotna, bo się pojawia na dokumencie urzędowym, jakim jest świadectwo i to jest całkowicie zrozumiałe.
2415:  Zresztą tak samo na studiach powinno być moim zdaniem albo zaliczenie, albo brak zaliczenia, cała reszta to jest śmieszne certolenie się.
2420:  Następnie, trzeci powód, tego typu oceny są niezgodne z wiedzą medyczną współczesną, która dowodzi, że mają one zły wpływ na...
2431:  Ogólne samopoczucie psychofizyczne ludzi mogą mieć bardzo duże implikacje psychosomatyczne i również jest to niezgodne z perspektywy samych struktur państwowych, bo w interesie państwa jest to, żeby obywatele nie byli straumatyzowani i żeby się nie trzęśli ze strachu, jak ktoś ma ich ocenić i żeby
2449:  byli odważni, podejmowali ryzyko i przede wszystkim znali swoją własną wartość i umieli siebie ocenić, ponieważ jeżeli wszyscy wylądujemy w którymś momencie na oddziale intensywnej terapii z różnego rodzaju problemami, które będą albo problemami psychiatrycznymi, albo problemami psychosomatycznymi, to jaki jest pożytek z perspektywy państwa?
2466:  Otóż żaden to jest pożytek z perspektywy państwa.
2468:  I wreszcie piąty powód.
2470:  Jest to...
2471:  logistycznie nieuzasadnione, żeby trzymać się w dalszym ciągu tych tabelek, które będą mutować w kolejne tabelki wyjaśniające poprzednie tabelki, reguły oceniania, skomplikowane systemy przeliczania, że od 45,7% jest dopiero ocena plus dobry, a wcześniej jest ocena dobry, ponieważ ktoś tak powiedział.
2491:  To jest dodawanie sobie pracy, bo nawet w momencie, w którym będę oceniał na tę ocenę numeryczną, która jest podobno taka prosta w masowym kształceniu, to muszę sięgnąć do tej cholernej tabelki i sobie sprawdzić, ojej, o to jest od 171 do 200 punktów, to dobrze, to teraz to mogę, mogę wpisać taką ocenę, bo ja jestem biedny nauczyciel, co ja tam wiem o nauczaniu, muszę się poradzić urzędnika, w jaki sposób mam to zrobić.
2515:  No i wreszcie, jeżeli mówimy o logistyce, to w ramach tego oczywiście jest cały ten system maturalny z unikaniem ściągania przez przewożenie matur samochodami opancerzonymi, z czego już szydziłem niejeden raz.
2528:  To jest kosztowny i drogi bubel, który funkcjonuje.
2533:  I raz na zawsze pozbądźmy się złudzeń, że jest to obiektywne, zgodne z prawem i w jakikolwiek sposób pozytywnie wpływające na nasz psychorozwój.
2543:  Bo to we wszystkich trzech przypadkach są kłamstwa.
2547:  I na ten temat mamy już konkretne dowody.
2549:  Co teraz możemy zrobić?
2551:  Mówić o tym.
2552:  Ponieważ strasznie mało ludzi zdaje sobie z tego sprawę, że w ogóle taki problem istnieje.
2557:  Większość osób myśli, że to są różnego rodzaju...
2560:  utopijne poglądy, a nie, że jest to faktycznie zapisana w ustawie rekomendacja.
2568:  Rzadko się zdarza, żeby w ustawie było zapisane coś sensownego w odniesieniu do edukacji, więc spieszmy się doceniać, zanim to usuną.
2576:  Do następnego.
