ZADANIA DOMOWE muszą zniknąć | Dla każdego coś przykrego #51
🔗 https://www.youtube.com/watch?v=eYZLg-IYxuM

0:  Polski system oćmiaty ma szczególny stosunek do tego, co domowe.
1594:  Wielu uczniów przeładowanych polskich szkołach, gdzie wciąż panuje zasada odpowiedzialności zbiorowej, groźby i wrzaski, nie jest w stanie nauczyć się niczego.
1601:  I nabawiają się nerwicy szkolnej, cierpią z powodu przebodźcowania.
1605:  Dodatkowo, biorąc pod uwagę wspomniany brak warunków do sensownego nauczenia się czegokolwiek w szkole, w praktyce praca domowa staje się nieraz sposobem na wprowadzenie nowego materiału.
1614:  Wiecie, te zadania z gwiazdeczką.
1617:  I w efekcie to, czy dziecko go zrozumie, zależy w dużej mierze od zasobów jego rodziców, intelektualnych, finansowych i czasowych.
1626:  Więc cała ta wrzawa dotycząca tego, że w Polsce jest rynek korepetycji, najlepiej w ogóle zlikwidujmy korepetycję, mówią niektórzy nauczyciele.
1634:  jest piramidalną bzdurą, to znaczy nie byłoby rynku korepetycji, gdyby nie przeciążenie szkolne i gdyby nie nadmiar zadań domowych, które opiewają później na dwie godziny dziennie, żeby je można było w spokoju rozwiązać, które następnie wpływają na deficyt snu,
1650:  który następnie obniża zdolności kognitywne ludzi, który następnie wpływa na jakość uczenia się, który następnie wpływa na indukowanie stresu, który następnie wpływa na choroby psychosomatyczne i koniecznie już leczenia wrzodów żołądka, chodzenia nad psychoterapii i tak dalej, co następnie zabiera nam czas na naukę.
1666:  I tak dalej, i tak dalej.
1667:  W którymś momencie człowiek jest w takiej czarnej matni i nie wie, jak się z niej wyrwać i potrzebuje fizycznej pomocy z zewnątrz.
1674:  To dla tych wszystkich wyjaśnienie, którzy się zastanawiają, no jakim cudem się dzieje tak, że mnie się udawało kiedyś, tam kiedyś robić wszystko.
1683:  Nic ci się nie udawało, ściągałeś tak, wszyscy...
1686:  Pomagali ci rodzice, którzy mieli wtedy więcej czasu, mieli więcej pieniędzy także, bo przypominam, że to, co się w tym momencie dzieje na rynkach, to jest jakaś absolutna katastrofa i podaż pieniądza jest gigantycznie niska.
1699:  W związku z powyższym rodzice jedyne, co mogą robić, to zapieprzać i harować ciężko.
1703:  Nie mają czasu zatem na to, żeby usiąść z dzieciakiem i się pouczyć wspólnie.
1708:  W związku z powyższym zatrudniają korepetytorów.
1711:  To jest zatem winny temu, że pojawia się korepetytor.
1716:  Nauczyciel na początku jest tego winien, tak?
1719:  Nie ma innej osoby, którą można obwinić za to z tego prostego powodu, że korepetytor przychodzi wtedy, kiedy nauczyciel nie dostaje do poziomu, którego wymaga od uczniów.
1730:  To jest aż tak proste.
1731:  Tak samo w przypadku matur.
1733:  Wieść gminna niesie, że przygotowanie się do matury z dobrym korepetytorem może zająć tydzień, natomiast liceum potrzebuje na to trzech lat.
1741:  Więc to nie jest przypadek, moi drodzy, że 60 tysięcy ludzi ponad 2023, jeszcze czekamy na ostateczne dane, uczyło się w różnego rodzaju odmianach edukacji domowej, ponieważ ludzie nie są głupi.
1752:  I widzą, że jeżeli i tak wydają na korepetytora, to w gruncie rzeczy mogą w ogóle zrezygnować z tego całego ambarasu w postaci szkoły, gdzie jeszcze trzeba łazić na te wywiadówki, użerać się z ludźmi, mówić tego rodzaju rzeczy, jakie ja mówię, które są absolutną oczywistością dla pedagogów od lat 80. w górę,
1767:  No ale dla twardogłowów niektórych nie są, no i wiecie, i później jest taka dyskusja długa, ja sobie te dyskusje mogę w komentarzach podczytywać i czasem się uśmiechnąć, a czasem się nie uśmiechnąć, natomiast rodzic nie ma do śmiechu, ponieważ zwalnia się dwie godziny wcześniej z pracy, żeby iść na wywiadówkę i później się dowiaduje takich farmazonów i go szlag jasny trafia.
1787:  I zresztą paradoksalnie, jak czytamy w tym tekście, jedna trzecia doby spędzana na lekcjach to i tak jest bardzo łagodny szacunek, bo przypominam, że mieliśmy do czynienia z relacjami dotyczącymi i 10 i 11 godzin spędzonych w szkole, to już nie jest jedna trzecia, tylko to już jest jedna druga doby.
1805:  Nie uczy dziecka ciężkiej pracy, skoro dopiero zadania domowe ma to robić.
1808:  O co w tym chodzi?
1809:  Czy kilka godzin pracy w klasie pod okiem nauczyciela to nie jest wystarczający wysiłek?
1813:  Czy to znaczy, że dzieci w szkole, wstyd mi nawet to sugerować, tak naprawdę nic nie robią?
1817:  No być może właśnie to oznacza, że nic nie robią na wielu przedmiotach, skoro i tak jest potrzebny korepetytor, skoro i tak jest potrzebne zadanie domowe, które będzie nas następnie wyręczało z tego wszystkiego.
1827:  i fakt, że ani uczniowie, ani rodzice w zasadzie nie mają nic do gadania, mogą się po prostu zgodzić na to, ponieważ żadnych kontraktów tutorskich nie ma, żadnego umawiania się na styl zaliczenia nie ma się, no to co mogą zrobić innego, jak tylko podporządkować się?
1841:  Zadania domowe, krótko mówiąc,
1843:  Nie są patologią dlatego, że mamy teraz pokolenie płatuszków śniegu wrażliwych i tak dalej.
1849:  Przypominam, że najwrażliwszym płatuszkiem śniegu jest 60-letni konserwatysta, bynajmniej nie jest to młody człowiek.
1855:  Tylko chodzi o to, że po prostu dzisiaj mamy dostęp do badań bardzo szeroko, jak widzicie, również zakrojonych.
1862:  Wprawdzie w Polsce niestety nie tak jak na Zachodzie, ale może się i tego doczekamy.
1867:  Jest coraz więcej raportów i dzięki temu na tych wszystkich danych jesteśmy w stanie pracować.
1871:  I jeszcze nie przeceniajmy faktu, że w 2021-2022 roku mieliśmy możliwość zobaczenia.
1878:  Live, na żywo, jak wygląda nauka szkolna, jak wygląda lekcja versus jak wygląda zadanie, które jest przesłane następnie przez Librusa czy innego cholernego wulkana.
1890:  Swoją drogą, te systemy do wpisywania ocenek to jest osobna kwestia, przerażająco to wygląda.
1897:  I mogliśmy wtedy zobaczyć, jaka była dysproporcja między jednym a drugim.
1901:  I dlatego między innymi teraz znowu jest dyskusja na temat zadań domowych, bo ona ciągle powraca.
1907:  Ona nie jest tylko dlatego, że Koalicja Obywatelska to zaproponowała.
1910:  Jasne, że można byłoby z tym postulatem w jakikolwiek sposób polemizować.
1915:  Natomiast nie zmienia to faktu, że po raz pierwszy pojawia się w przestrzeni publicznej tak wyraźnie.
1920:  Ja ze swojej strony mogę jeszcze dorzucić jeden argument.
1923:  To znaczy zadania domowe są kompletną piramidalną bzdurą i racjonalnym kretynizmem w sytuacji, gdy mamy sztuczną inteligencję.
1932:  To znaczy ja byłem przekonany, jak wszedł czat GPT, że będziemy mieli do czynienia z odwrotem od zadań domowych i od standardowych praktyk egzaminacyjnych przez samych nauczycieli.
1943:  Wspaniałomyślnie założyłem, że nauczyciele myślą,
1950:  No, więc nie wszyscy, ponieważ trzeba było znowu artykułów naukowych, żeby uświadomić wydawałoby się oczywistą kwestię, to znaczy, że mamy do czynienia z pewnego rodzaju nieuczeciwością w rozwiązywaniu zadań domowych, ponieważ mamy do czynienia z tak bardzo zaawansowanymi cyfrowymi technologiami, produktami, że no wiecie, fakt, że w szkołach zadaje się te same zadania od 30 czy 40 lat, no tylko tym narzędziom AI-owym pracę ułatwia.
1980:  Jak ja na swoich egzaminach pytam o rzecz, która wyszła tydzień temu, to żaden AI nie pomoże żadnemu studentowi w niczym.
1986:  No tylko, że przepraszam, trzeba być na bieżąco, tak bardzo mi przykro.
1992:  I może wreszcie powinniśmy mieć nauczycieli, którzy są na bieżąco i w ten sposób będą na przykład, ponieważ trudniej jest takie zadanie wymyślić, zadawać ich mniej.
2004:  I dostajemy na przykład projekt semestralny, żeby przejść do propozycji konstruktywnych.
2010:  Proszę uprzejmie, projekt semestralny łączący język polski i geografię.
2014:  Esej do napisania na przykład.
2016:  Tak się to praktykuje w niektórych szkołach przygotowujących do matur międzynarodowych, albo w bardzo wielu szkołach koledżowych w Wielkiej Brytanii.
2024:  W ogóle na zachodzie jest to częsta praktyka w szkolnictwie anglosaskim.
2026:  Piszecie eseje.
2027:  Tak z matematyki też.
2029:  W Polsce natomiast jest tak, że...
2031:  Ja jestem matematykiem, ja nie muszę umieć pisać, ja muszę tylko umieć rachować.
2038:  No i potem będę robił słupki i procenty i punkciki.
2042:  Tak, i to będzie miało duży sens.
2044:  A, albo będziemy mieli humanistę, tak zwanego humanistę, bo humanista, przypominam, to ten, który ma być polihistorem, poliglotą, erudytą, wiedzieć wszystko i przekrojowo mieć wiedzę, który nie będzie umiał dodać dwa do trzech, tak?
2056:  Mhm.
2057:  Świetny pomysł.
2058:  Nie, to może róbmy interdyscyplinarny projekt, to znaczy jest jakieś zadanie do wykonania na 4-5 miesięcy.
2066:  No, no, jest odpowiednio skomplikowane i teraz, żeby nie było tak, że jest zadanie na 4-5 miesięcy i potem oczywiście rodzice dziani zapłacą korepetytorowi, no, no, no, hybrydowo, tak?
2079:  Co trzecią lekcję się spotykamy i to omawiamy na przykład i robimy sobie, zamiast robić durnej lekcji z poprawą zadań domowych, robimy sobie jedną lekcję, na której będziemy rozwiązywać część właśnie tego projektu.
2091:  Ile zrobimy do przodu, tyle będzie dobrze.
2094:  Ja mogę to robić na seminariach dyplomowych, a nie oszukujmy się, napisanie pracy dyplomowej i naukowej jest ciupineczkę trudniejsze niż zrobienie eseju szkolnego.
2102:  I ludzie na seminariach dyplomowych przychodzą i piszą na tym seminarium.
2105:  W związku z powyższym mają pracę cały czas do przodu swoją, którą muszą kiedyś napisać, licencjacką czy magisterską.
2111:  To tak, da się to też zrobić w szkole.
2113:  Zwłaszcza, że ja mam czas po 30 minut na jedną osobę.
2117:  W związku z powyższym siłą rzeczy nie jest to ani 45 minut, ani półtorej godziny.
2121:  Więc tak, oczywiście można sobie zrobić grupki, dzielisz sobie 30 osób na nawet i 3 grupy, tak?
2127:  Po 10 osób.
2128:  I niech ludzie sobie wzajemnie pomagają, a Ty chodzisz jako moderator, ten nauczyciel i sprawdzasz to.
2132:  Dlaczego wiem, że to działa?
2134:  Ponieważ tak pracuje chociażby Anna Szulsk.
2136:  Mam nadzieję pojawi się na tym kanale, będę Was informował, jeżeli będzie rozmowa z nią.
2140:  To się da zrobić.
2142:  Nie musimy nawet akceptować takiej argumentacji, że to jest niemożliwe, że to jest utopia, że to jest demagogia, że to jest populizm, ponieważ ludzie to robią.
2153:  Tylko, że wiecie, to są ludzie, którzy są zdolni, a ludzie zdolni mają dużo pracy.
2161:  A ludzie zdolni, którzy mają dużo pracy, nie mają czasu na to, żeby chodzić po radiach, telewizjach i internetach i tłumaczyć Wam, że to jest oczywiste i że to się da zrobić.
2170:  Jedyne, co możemy mieć, to na przykład taką mapę budzących się szkół i pokazać, tu się dzieją zmiany, da się.
2177:  Druga rzecz, którą możemy zrobić, to zacząć oporować bardzo silnie wobec zadań domowych i udowadniać i nauczycielom, i rodzicom, bo czasem jest to też konieczne, że w dzisiejszych czasach jest to krytynizm.
2188:  że zabieranie czasu codziennie, dwie godziny, trzy godziny i tak dalej, jest irracjonalne z bardzo prostego powodu.
2197:  Ten czas jest nie do odzyskania.
2199:  To jest czas stracony, który moglibyśmy poświęcić na odpoczynek i odpoczynek aktywny, odpoczynek pożyteczny i rozwijanie własnych horyzontów.
2206:  A jak człowiek jest wypruty, wraca ze szkoły, ledwo zje obiad, ma dwie godziny zadań domowych do zrobienia, robi się nagle dwudziesta z tej szesnastej,
2215:  I co ma wtedy zrobić?
2216:  A no wiem, co zrobi.
2217:  Weźmie sobie smartfona i zacznie sobie przeglądać, ponieważ tylko na to ma siłę.
2222:  A z powodu, że następnie szkoła mówi, że zlikwidować smartfony.
2225:  Bo nie widzi, gdzie jest problem.
2227:  Źródłowy problem.
2230:  Więc jedyne, co mogę powiedzieć na sam koniec, to zachęcić Was znowu do tego, że jeżeli macie przekonanie w sobie, że zadania domowe mają sens, to zastanówcie się, jak można byłoby te zadania, które pamiętacie z własnego życia, zmienić w taki sposób, żeby one faktycznie stymulowały kreatywność.
2247:  No chyba, że oszukujecie się do tego stopnia, że wmówicie mi, że te zadania domowe rozbudziły Waszą kreatywność.
2252:  No to wtedy ja już na zasadzie nie mam nic do roboty, bo Was nie przekonam.
2256:  Jedyne co mi pozostaje wtedy na sam koniec to polecenie wam cudownej książki, akurat się zbliża grudzień, dzieja Tolkiena, to znaczy listy do świętego Mikołaja, gdzie czytamy następujące zdanie Terry'ego Pratchetta.
2272:  Przypadnie do gustu to każdemu dziecku, którego ciekawość i chęć poznania nowych magicznych światów nie zostały jeszcze osłabione przez współczesną, oświeconą edukację.
2280:  I smutne to jest dlatego, że pisze to Terry Pratchett o szkolnictwie anglosaskim, czyli tym, które niestety teraz przywołem jako wzorzec pozytywny do naśladowania.
2290:  Zaczynam rozumieć, dlaczego Terry Pratchett akurat po przyjeździe z Polski do Wielkiej Brytanii stwierdził, że w Uberwaldzie chce zrobić kopalnię tłuszczu, bo najwyraźniej to faktycznie jest nasz jedyny towar eksportowy, to znaczy wysokooktanowa, energetyczna papka,
2307:  którą ładujemy dzieciakom do szkół i udajemy, że tak naprawdę jest to przyswajanie wiedzy i umiejętności, gdy tymczasem jest to stary, XIX-wieczny, pruski i ruski jednocześnie system, który jedyne co wywołuje to stres, depresję i chroniczne przemęczenie.
2328:  Do następnego.
