Bale maturalne to PRUSKI wymysł | Dla każdego coś przykrego #52
🔗 https://www.youtube.com/watch?v=fa749pX4m6c

0:  Studniówki.
1593:  Jeżeli nie ma takiego rejestru, ergo nie jest tak traktowana.
1597:  Cel i program wyjścia, miejsce i godzinę powrotu, imienia i nazwiska opiekunów.
1600:  Nawet możecie zagrać bardzo sprytną kartą, to znaczy do pytania się o...
1604:  nadgodziny dla nauczycieli, bo skoro nauczyciele są, jak powszechnie wiemy, bardzo niedofinansowani, w związku z powyższym wszystkie problemy, z jakimi mamy do czynienia w szkole są związane z, no właśnie, brakiem pieniędzy dla nauczycieli.
1615:  I jeżeli sprowadzimy podwyżki, no to no to wiecie, automatycznie wszystko się poprawi.
1621:  Więc ja czekam tylko, aż będzie te 30% podwyżki, bo wiemy, że dokładnie w momencie, w którym wpłyną one na konto nauczycieli, to wszystkie problemy, o których kiedykolwiek powiedziałem na łamach serii dla każdego coś przykrego, znikną.
1631:  Prawda?
1632:  Prawda?
1634:  Prawda?
1636:  Prawda?
1637:  No, więc możecie zagrać kartą wynagrodzeń, bo jak wiadomo, to jest bardzo nośny temat u nauczycieli i możecie dopytać, a to w takim razie, skoro to jest wyjście grupowe i skoro to jest impreza szkolna, to co, są pieniądze na nadgodziny dla nauczycieli?
1650:  Tak?
1650:  Tak?
1650:  Czy ich nie ma?
1652:  W ten sposób możecie się bronić w tej absurdalnej sytuacji, w której się znaleźliśmy.
1657:  Kiedy wykorzystuje się naszą niewiedzę co do tego, czym jest studniówka, kto ją organizuje, po to, żeby wywierać na nas miękko lub twardą presję.
1665:  Twarda presja oczywiście wtedy, kiedy są jakieś restrykcje na Was...
1670:  czy do was kierowane w momencie, w którym nie będziecie uczestniczyć w studniowce.
1674:  Natomiast miękka presja to są te wszystkie obszary, o których sobie powiedzieliśmy.
1677:  Czyli miękka presja społeczna, wyśmiewanie się z ludzi, którzy nie mają partnerów, presja ekonomiczna, piętnowanie tych, których nie stać na to, żeby postawić się, a zastawić się.
1687:  No i wreszcie presja światopoglądowa, to znaczy przyjęcie jakiegoś wzorca, który może być wzorcem konserwatywnym, niezgodnym z waszymi oczekiwaniami czy z waszymi przekonaniami,
1697:  Czy nawet wiecie, konieczność bawienia się przy muzyce, która wam nie odpowiada, lub wreszcie presja już godząca w wasze własne wybory życiowe, które możecie mieć, to znaczy dotyczące tego, jaki będziecie używek stosować lub nie.
1710:  To wszystko.
1711:  Krótko mówiąc, co sobie opisaliśmy, to są moi drodzy nadużycia, do których nie powinno dochodzić i dlatego właśnie nienawidzę studniówek.
1719:  No do tego zmierzałem w tej swojej przydługiej wypowiedzi.
1721:  Nienawidzę studniówek właśnie za to, że czuje się tę presję tam, kiedy wszyscy i tak czują zgoła inną presję związaną z nadchodzącą maturą.
1730:  Wcale nie mają wentylu bezpieczeństwa na balu przedmaturalnym 100 dni przed egzaminem, tylko wręcz przeciwnie, kolejny kamyczek do ogródka utrapień, kolejny schodek, kolejną przeszkodę do przeskoczenia i kolejny problem na głowie.
1747:  Więc póki studniówki nie będą organizowane przez uczniów, dla uczniów, w oderwaniu całkowitym od realiów szkoły, tutaj nie możemy mówić o jakiejkolwiek braku miękkiej presji wywieranej na tej części społeczności, która być może nie zgadza się z tym sposobem spędzania czasu.
1763:  Bo tak, tak samo jak mamy ludzi, którzy w Sylwestra chcą grać w grę, mamy także ludzi, którzy w trakcie studniówki chcą mieć po prostu świetny spokój.
1770:  a równocześnie przed studniówką i po studniówce chcą mieć także święty spokój od ludzi, którzy mogliby ich piętnować za to, że dokonali innego wyboru życiowego.
1780:  Obyśmy w nadchodzących latach mieli wreszcie przyczynek do odejścia od tego przestarzałego, pruskiego, dziwnego zwyczaju, który absolutnie nie licuje ani ze współczesnym stylem imprezowania, ani tym bardziej z tym, z czym kojarzymy edukację, nawet tak
1799:  Dziwiaczną edukację jak w Polsce.
1802:  Do następnego.
