Historia i teraźniejszość i zombie | Dla każdego coś przykrego #30
🔗 https://www.youtube.com/watch?v=O4IQ2mwN85Q

0:  Nudna, strupieszała lektura i ramotka?
1798:  Nie mamy do czynienia z Unią Europejską, mamy do czynienia z Imperium, gdzie są tylko pozory demokracji.
1803:  No chyba, że oczywiście przyjdzie taki prezydent, który będzie mówił, żeby uczynić Amerykę znowu wielką.
1809:  To wtedy nie ma takiego problemu.
1812:  Wtedy Ameryka jest wolna i staje się jednym państwem, jednym suwerennym, dzielnym, nierozbitym, nierozbitym na Kalifornię i Teksas.
1822:  Nie, nie, nie, wtedy jest dobrze.
1826:  To jest polityka, to są poglądy polityczne i można sobie je głosić przy piwie z kumplami, ale nie można je głosić w podręczniku.
1832:  To jest powód, dla którego ja na tym kanale odmawiam mówienia o swoich poglądach politycznych i czerpię bezduszną satysfakcję i nieprawdopodobną złośliwą przyjemność z prób różnych ludzi etykietkowania mnie politycznego.
1845:  Bardzo dobrze, niech będą to czynić ad mortem ustrandum.
1848:  Natomiast ja, jako naukowiec i wykładowca, nigdy nie będę mówił o swoich poglądach politycznych wprost z tego względu, że każdy mój student, każdy mój uczeń, każdy, kto przyjdzie na moje szkolenie, nie ma myśleć sobie, a jakie poglądy mam, a co on będzie myślał?
1862:  To ja może nie będę mógł czegoś zrealizować albo czegoś z nim zrobić, bo ja mam inne poglądy.
1867:  Dlatego właśnie naukowcy mają być bezstronni, dlatego podręczniki powinny być bezstronne i dlatego w szkole nie powinno być polityki.
1874:  Tak długo jak długo oczywiście jesteśmy w stanie tego uniknąć, ponieważ na przykład, nie wiem, uczenie struktur demokratycznych, czy tego w jaki sposób być dobrym obywatelem może być częścią nauczania.
1886:  Jasne, ale nie treści o charakterze światopoglądowym.
1890:  Więc tak samo.
1892:  Jak w szkołach nie powinno być religii, tylko powinno być religioznawstwo.
1896:  Tak samo nie powinno być nigdy nachalnej indoktrynacji politycznej, ale może być politologia.
1903:  Trudne?
1904:  Nie.
1904:  Proste, ale dla niektórych trudne.
1907:  Niestety również dla profesorów, jak widać.
1911:  No i naturalnie będziemy mieli narodziny żołnierzy wyklętych, to wiecie już dlaczego, ponieważ wiemy już, wszystko wiemy nadal od podglądów politycznych profesora Roszkowskiego, więc nic co przeczytamy w tym podręczniku nie będzie dla nas zaskoczeniem, co jest kolejną słabizną indoktrynowania i ideologizowania właśnie, bo jesteśmy w stanie bardzo łatwo przewidzieć co ktoś powie.
1932:  No i naturalnie pytanie tendencyjne, po to wam to podkreślam, jako rolę odegra i żołnierze nie złomni, co już jest wartościowaniem w Polsce po zakończeniu II wojny światowej.
1941:  Oczywiście rozumiecie, że na to pytanie należy odpowiedzieć dokładnie tak samo, jak na pytanie w egzaminie ósmoklasisty odnośnie do tego,
1950:  jaki wpływ ma na nas technologia i smartfon.
1952:  Oczywiście wpływ negatywny.
1954:  Tak samo tutaj oczywiście odegrali rolę negatywną, znaczy przepraszam, oczywiście odegrali rolę pozytywną.
1960:  Pozytywną.
1961:  Pozytywną.
1963:  Pozytywną.
1966:  No i wreszcie.
1967:  Coś, co mnie, szczerze powiedziawszy, bardzo zdziwiło, bo po pierwsze nie jest problemem rdzennie polskim, nie jest problemem nawet europejskim, ale pojawia się w tym podręczniku, z jakichś względów najwyraźniej zostało uznane za istotne.
1979:  Poważny temat, problemy rasowe w Stanach Zjednoczonych, może moglibyśmy pokazać to, skoro to historia i teraźniejszość, na podstawie czegoś bardzo aktualnego, na przykład tego, w jaki sposób dochodzi do race swapu w ramach różnorodnych seriali, czy filmów superbohaterskich, kiedy to jest uzasadnione, kiedy to nie jest uzasadnione, czym jest na przykład whitewashing, ale nie...
2000:  Mamy skonfrontowanego Martina Luthera Kinga z następującym akapitem.
2005:  Nikt nie przypuszczał wówczas, że słuszna walka z dyskryminacją rasową, dziękuję panie profesorze, że chociaż wiemy, że jest słuszna, ponieważ nie wszyscy przedstawiciele powiedzmy tej formacji politycznej czy ideologicznej co do tego są zgodni, więc dobrze, że chociaż tu jesteśmy na tej samej stronie.
2025:  zamieni się dwa pokolenia później w karykaturę dawnych protestów wymuszoną tak zwaną polityczną poprawnością.
2031:  Kolejne pojęcie transpolityczne, nawiasem mówiąc.
2034:  Dziś w XXI wieku uznaje się słowo murzyn za obelży...
2040:  To jest tak śmieszne, bo to jest takie non sequitur.
2043:  Non sequitur to jest w retoryce nie wynika, tak?
2047:  To jest taki moment, kiedy mamy akapit na temat chociażby, nie wiem, uprawy brzoskwiń, po czym jest akapit dotyczący wyścigu jamników albo marszu jamników w Krakowie w 2019.
2058:  Tak, Kraków ma marsze jamników.
2061:  Non sequitur, tak?
2062:  Nie ma żadnego związku między uprawą brzoskwiń, a wyścigami jamników, poza tym może, że jamnik może zjeść brzoskwinie.
2070:  Tak samo nie ma najmniejszego związku między polityczną poprawnością, a tym, że, nie wiem, ktoś uznaje słowo Murzyn za Olbelżywę z bardzo prostego powodu.
2078:  Nie ma żadnego spisku ideologów i marksistów, czyli wspominamy ludzi, którzy, tak jak pan profesor Roszkowski powiedział,
2088:  cytują bardzo namiętnie Karola Marksa i Friedricha Engelsa i przejmują się tym, co oni pisali te wieki temu do tego stopnia, żeby mówić ich słowami.
2098:  No, no, więc, więc nie ma jakiegoś spisku takich ideologów, który to spisek powoduje, że ludzie używają takich słów.
2107:  których oni by nie chcieli używać.
2110:  I wiecie, co to jest?
2111:  I wiecie, ja wam powiem, co to... To jest nowomowa!
2115:  Nic to, że George Orwell był socjalistą utopijnym, nic to, że nowomowa u Orwella polegała nie na wymyślaniu nowych słów, tylko na wycinaniu słów, które istnieją z języka, żeby go zredukować maksymalnie i żeby zmienić znaczenia słów już istniejących.
2129:  i doprowadzić do tego, że ludzie nie będą mogli tworzyć sztuki.
2132:  Nie, nie, nie, nie, nie!
2133:  Nowomowa to jest to pojęcie transpolityczne utworzone przez patoprawice, które służy do tego, żeby mówić o, o, to jest właśnie mówienie nam, że mamy używać neutratywów i zaimków, ponieważ osoba, osoba trans tego chce.
2147:  Ona nie może tego chcieć!
2148:  Ona nie może o sobie stanowić!
2150:  Nie, nie, nie ma prawa!
2151:  Na przykład ja też nie mam prawa powiedzieć ludziom, słuchajcie, wolałbym, żebyście mówili do mnie Krzysztof, a nie Krzysiek, bo Krzysiek brzmi jak poobijane kolana na boisku.
2159:  Nie będę mówić do ciebie Krzysztof, będę mówić do ciebie tak jak ja chcę, będę mówić do ciebie Krzysiek, nie próbuj mnie tłamsić, to jest spisek ideologów, to jest totalitaryzm, narzucasz mi, że mam do ciebie mówić tak jak ja nie chcę do ciebie mówić.
2177:  No to jeżeli nie chcesz do mnie mówić, to spierdalaj, tam są drzwi.
2180:  Tyle, tak?
2181:  Tyle w temacie.
2182:  Nie ma tutaj przesadnej filozofii.
2184:  Jeżeli ktoś nie chce, żeby używać względem niego jakiegoś słowa, to tego jest język, żeby nie używać tego słowa, tylko używać innego, bo język jest żywy, nie ma żadnej rady, nie ma iluminatów, którzy nakazują nam używać takich słów lub innych.
2199:  Jeżeli ktoś tak uważa, to znaczy, że nie ma...
2201:  zielonego pojęcia na temat tego, jak się rozwija język i powinien podszkolić się z zakresu chociażby językoznawstwa normatywnego, językoznawstwa kognitywnego i jak przeczyta wszystko na ten temat, to może wrócić i kontynuować ewentualnie dyskusję, ponieważ wtedy nie będzie podpadał pod szufladkę nie znam się, to się nie wypowiem, którą to szufladkę zatrzaskujemy z hukiem i wrzucamy następnie do wody, obarczywszy ją w przód jakimś stosownie dużym ciężarem, żeby gość miał problem z tym, żeby się stamtąd wydostać.
2229:  Tak,
2229:  W ten sposób należy zareagować na taką sytuację.
2232:  Więc jeżeli ktoś uznaje słowo murzyn za dobrze żywe, nie należy go używać end of story.
2237:  Są językoznawcy, którzy pokazywali, że jest to niesłuszny proces i należy zastosować się do tego, co chcą sami ludzie.
2248:  Tyle.
2249:  Rolą językoznawców jest to, żeby opisywać stan bieżący, że językoznawcy mówią, że jest jakaś grupa ludzi ankietowanych, którzy mówią, że ich zdaniem to słowo już nie jest dzisiejsze, że zbyt przypomina angielski n-word.
2262:  Są społeczności, które też to potwierdzają.
2266:  Nie ma dyskusji.
2267:  Koniec dyskusji.
2268:  Nie ma jej.
2270:  Wiesz, zbliża się odcinek, w którym opowiem wam, dlaczego czasem nie należy dyskutować.
2275:  Ale to jest jeden z tych przypadków, że nie należy dyskutować.
2277:  Jedyne, co można zrobić, to powiedzieć do źródeł, ad fontes.
2283:  Chce się je wykreślać z dzieł literackich, zabrania się go używać.
2286:  Nikt nie zabrania go używać!
2290:  Nikt!
2292:  Chyba, że to jest ten moment, kiedy wiecie, jesteśmy tym jodą na dagoba, już zapomnieliśmy troszeczkę z tych naszych nauk dżedajowych, jesteśmy takim zwariowanym staruszkiem i słyszymy głosy.
2304:  Może to są takie głosy, absolutnie nie neguję, ale to są tylko głosy i one nie istnieją dokładnie tak samo, jak ideologia gender nie istnieje.
2314:  W konsekwencji używanie wielu słów takich jak czarny, biały,
2319:  O ile wiem, nawet klasyk myśli politycznej polskiej używał i słowa czarne, i słowa białe w jednym zdaniu.
2325:  W głupi sposób wprawdzie i bezsensowny, ale stało się to klasykiem, więc nie zauważyłem, żeby to było zakazane.
2332:  Nawet matka czy ojciec staje się ryzykowne.
2336:  Tymczasem istnieją słowa, myślałem, że posiadamy te słowa, naprawdę obraźliwe lub uwłaczające godności, nieraz bardzo ordynarne, które są tolerowane przez wszystkie tak zwane postępowe kręgi, instytucje i organizacje, wiele zależy od tego, kto wymawia lub wypisuje dane słowa.
2352:  Macie podręcznikowy przykład tego, czym jest esej, nacechowany, ideologiczny esej, który mógłby zostać opublikowany na blogu.
2362:  Nie wiem, dowolnego czasopisma, nie ma najmniejszego problemu, nie ma miejsca na tego rodzaju teksty w piśmiennictwie popularnonaukowym czy naukowym.
2371:  Gdybym był nauczycielem takim stereotypowym, to bym to przekreślił i napisał RZECZ!
2379:  No bo to niedorzeczne jest generalnie i roi się od błędów rzeczowych.
2382:  Jeszcze styl pod spodem, ponieważ jest niezgodność stylistyczna, to znaczy mamy do czynienia ze stylem eseistycznym, a nie ze stylem naukowym, więc rejestr stylistyczny jest obniżony jak na rangę tak wybitnego wydawnictwa, jakim jest Biały Króg.
2398:  Mam nadzieję, że nikt się nie zaśmiał.
2401:  Ja bardzo się staram się zaśmiać.
2404:  Podczas skrajnie lewicujących, neomarksistowskich, czyli pamiętajmy tych, które odwołują się do erudycji pana profesora, bardzo przejął się pismami Marksa i Engelsa do tego stopnia, żeby używać ich słów, manifestacji rzucane są pod adresem ludzi o tradycyjnej moralności chrześcijańskiej w poglądach takie hasła jak np.
2420:  wypierdalać.
2421:  Nie mam żadnego pomysłu na to, dlaczego ludzie uważają, że pewne słowa należy kropkować.
2429:  Wypierdalać jest normalnym czasownikiem.
2431:  Ja jestem zawsze i byłem zwolennikiem używania wszystkich słów i strasznie bawi mnie taka pruderia niektórych ludzi, którzy boją się powiedzieć jakiegoś słówka, ale równocześnie nie będą się bali, żeby na przykład zarzucić jakiejś grupie ludobójstwo.
2445:  To nie jest problemem, ale problemem jest powiedzenie wypierdalaj.
2448:  O tak, to...
2450:  Tu płonimy się jak... ojej, ojej, ojej, nie można, nie można w ten sposób, jak ktoś rodem z XVI czy XVII wieku, oczywiście na dworze królewskim, bo pamiętajmy, że wstyd przed przekleństwami bierze się z tego, że są one wulgarne.
2466:  wulgus odnoszący się do ludu, prawda?
2469:  Więc już wiemy być może dlaczego z przekleństwami niektóre kręgi mają ten problem.
2473:  Jest to dokładnie ten sam klasizm, co wszystkie inne, które staram się piętnować na tym kanale.
2478:  Ale to chyba też jest inny temat.
2480:  Bardzo dużo wątków się nam tutaj pojawia.
2483:  Ciekawe dlaczego.
2484:  Może dlatego, że to wszystko się łączy ze sobą.
2486:  Hmm?
2489:  To wszystko uchodzi.
2490:  To wszystko wolno.
2491:  Ale wyobraźmy sobie, że ksiądz skierowałby do kogoś z ambony takie słowo.
2496:  Oburzenie nie miałoby granic.
2498:  Znaczy ja myślę, że ludzie oburzeni są głównie wtedy, kiedy na przykład ksiądz molestuje seksualnie dzieci.
2504:  Wydaje mi się, że wtedy ludzie się oburzają.
2507:  Myślę, że gdyby ktoś usłyszał, jakby ksiądz powiedział wypierdalać z ambony, to raczej by się zaśmiał.
2512:  Natomiast mało jest do śmiechu w sytuacji, gdy okazuje się, że osoba z zaufania społecznego
2518:  dopuszcza się przestępstw, które następnie są ukrywane przed wymiarem sprawiedliwości.
2523:  Myślę, że to jest główny problem, którym powinno się zajmować.
2526:  Także nauki historyczne, które wciąż nie udokumentowały tego wszystkiego, co w tym zakresie się wydarzyło, także w Polsce.
2536:  Żąda się, by traktować księży bez szczególnych przywilejów, jak każdego innego obywatela, to właśnie z tego powodu nie powinno.
2543:  No i wracamy do naszej mantry, prawda?
2545:  Utopijny cel szczęśliwości bez wyjątku ludzi, nierealny, mieliśmy rewolucję październikową, terror, czerwonych chmerów w Kambodży, arabską wiosnę.
2558:  Non-sekwitur teraz osiąga drugą prędkość kosmiczną i powoli zaczyna opuszczać Układ Słoneczny w tym przypadku.
2566:  Przeszliśmy od...
2569:  Martina Luthera Kinga do nieudolnej próby językoznawczej, historyka, który się na tym nie zna, następnie do jakichś dziwnych rozważań na temat obraźliwości słów i pruderii językowej, potem przeszliśmy przez księży, a skończyliśmy na reżimie czerwonych kmerów i krytyce utopii, która jest osobliwie charakterystyczna dla zarówno polskiej prawicy, jak i polskiej lewicy.
2604:  Zaczytuję skazę.
2606:  W takich chwilach mam ochotę tylko powiedzieć, otaczają mnie krytyni.
2611:  Ale na szczęście, mówię to na YouTubie w związku z powyższym, rozmawiam z ludźmi inteligentnymi, którzy zdają sobie sprawę z tego, że źródło wiedzy dzisiaj po pierwsze nie bierze się z żadnego autorytetu, po drugie jest rozproszone, a po trzecie na pewno nie jest w tego rodzaju książkach.
2629:  Natomiast niestety w momencie, w którym zaczynam komentować dzieła niektórych moich kolegów, przypominam sobie to, co mówił Skaza.
2638:  Momentalnie sobie to przypominam.
2640:  Albo przypominam sobie drugie zdanie, też incydentalnie, które wypowiedział bodajże Pan Łapa w mapie Huncfotów, jak Severus Snape chciał się do niej dostać, to znaczy Pan Łapa wyraża zdumienie, jak taki kretyn mógł zostać profesorem.
2654:  Ja takoż, ja takoż wyrażam takie zdumienie.
2659:  Ale cóż z tego mojego zdumienia przychodzi?
2663:  No i wreszcie.
2667:  Zostało stwierdzone na bazie badań statystycznych, to jasne mówiąc dotyczy rewolucji społecznej w zachodniej Europie, gdybyście byli zainteresowani, że osoby niewykwalifikowane w jakiejś dziedzinie mają skłonność do przeceniania swoich umiejętności, podczas gdy osoby wykwalifikowane mają skłonność do ich niedoceniania.
2684:  Zrozumienie efektu Krugera-Dooninga może pomóc przezwyciężyć tak częste sytuacje, w których ulegamy bezczelnym krytaczom udającym wtajemniczenie.
2693:  Mam nadzieję, że wiecie już dzięki dzisiejszemu filmowi w jakim sposób unikać bezczelnych krętaczy udających wtajemniczenie, ale muszę powiedzieć, że niezmiennie urzeka mnie zdolność autodiagnozy ze strony naszego ideologa, który w pierwszej kolejności zdiagnozował się sam jako ideolog i marksista, a w drugiej kolejności podrzucił nam nawet termin psychologiczny, to znaczy efekt Kruegera Dunninga na zdefiniowanie sytuacji, kiedy osoba niewykwalifikowana w jakiejś dziedzinie
2721:  Na przykład w dziedzinie językoznawca, w dziedzinie gender studies, w dziedzinie socjologii, w dziedzinie politologii i w dziedzinie jeszcze raz literaturoznawca, bo jeszcze będziemy mieli kwestie literaturoznawcze za moment, wypowiada się na temat wszystkich tych dziedzin.
2734:  i ma skłonność do przeceniania swych umiejętności.
2737:  Zdecydowanie mamy tutaj z tym do czynienia i zauważcie jeszcze raz.
2740:  Nie, nie mówię tutaj o umiejętnościach z zakresu historii.
2743:  Kompletnie z perspektywy tego, że ja się historią nie zajmuję, nie interesuje mnie coś w tym podręczniku historycznego.
2749:  Kompletnie mnie to nie interesuje.
2750:  Niech historycy to skrytykują, niech historycy to zrecenzują.
2753:  Co mnie interesuje, to wycieczki w tematy, na których ja się znam, a autor nie.
2759:  Ale autor uzurpuje sobie prawo do wypowiadania się tonem ex cathedra, z katedry, tonem autorytetu, bezkrytycznie i oczekuje również tego, że będzie jako ktoś bezkrytyczny przyjęty, jako bezkrytyczny autorytet przyjęty przez uczniów, do których pisze ten podręcznik.
2778:  Podręcznik, że odwołam się do rdzenia tego słowa, to jest coś, co ma być pod ręką, co ma nam pomóc w dotarciu do informacji.
2787:  W jaki sposób ma nas zachęcić do docierania na własną rękę do informacji coś, co daje nam już odpowiedź na wszystkie problemy w świecie.
2796:  To jest ostateczna, bezdyskusyjna, wygłoszona z ambony, kaznodziejskim tonem wypowiedź, która nie poddaje się weryfikacji, jeżeli nie mamy dobrego warsztatu.
2806:  To jest oszustwo intelektualne.
2809:  I to jest nadużycie, którego nie powinno być w żadnym podręczniku, a już na pewno nie w takim.
2814:  I skoro już mówiliśmy tyle razy o czerwonych kmerach, oczywiście pojawią się tutaj z stosowną adnotacją.
2821:  To znaczy, efektem zbrodniczego eksperymentu pod hasłem demokracji, to w cudzysłowie, była śmierć około 1,5 miliona osób i całkowita ruina gospodarki kambodżańskiej.
2829:  Pomijam już fakt, że cudzysłowo się używa, jak sama nazwa wskazuje, dla przytaczania cudzych wypowiedzi.
2835:  W związku z powyższym ta tendencja, żeby robić doktora iwila.
2838:  Za każdym razem, kiedy mamy jakieś słowo, które jest inne stylistycznie, jest maniera językowa, której właśnie uczą w podręcznikach.
2846:  Koszmar absolutny.
2848:  Ale jest większy koszmar tutaj.
2850:  Wstrząsające jest to, że zbrodniczą ideologię reżimu Czerwonych Kmerów rozwinęli ich przywódcy, jak na przykład Pol Pot w czasie studiów
2863:  We Francji.
2868:  A zatem już wszystko jasne.
2872:  Zbrodnicze ideologie przychodzą do nas ze zgniłego zachodu.
2879:  Gdyby tylko wciąż była pamiętana przez profesorów historii żelazna kurtyna, za którą byliśmy bezpiecznie schronieni.
2890:  Przez one lata.
2892:  I nie było zgniłego zachodu, który by do nas przywlekał swoje burżuazyjne ideologie i zmuszał nas do życia.
2901:  Tak jak my, Słowianie, żyć nie chcemy.
2903:  Narzucał nam obce ideologie, obce systemy wartości.
2908:  Mówił, jak mamy żyć.
2911:  Czas najwyższy, żeby te czasy wróciły, tak?
2917:  Fascynuje mnie ta niespójność
2921:  Z jednej strony uleganie propagandzie leninowskiej, propagandzie bolszewickiej i sowieckiej, a z drugiej strony jej krytyka.
2932:  Nie jestem w stanie zrozumieć umysłu, w którym te dwie sprzeczne idee koegzystują, współistnieją.
2941:  Nie jestem w stanie zrozumieć.
2943:  Może kiedyś, może kiedyś.
2944:  Może muszę przeczytać ten podręcznik w całości, żeby wyprał mi kompletnie mózg i wtedy to zrozumiem.
2949:  Być może taki jest cel.
2952:  No i tu mam akurat przypadek, który wydał mi się bardzo interesujący, to znaczy w odniesieniu do tego obrazka, tutaj mamy Karola Wojtyłę, późniejszego papieża, prymasa tysiąclecia, kardynała Stefana Wyszyńskiego, no i macie tutaj, o, o, o, proszę, proszę, tu jest logo partyjne, prawda?
2974:  No w związku z powyższym, gdybym ja był profesorem
2978:  z zapędami ideologicznymi, powiedziałbym, że tutaj widać wpływ bolszewia na ideologię katolicką.
2987:  Być może dlatego pojawiają się doniesienia na temat różnego rodzaju zbrodni ze strony środowisk duchownych, skoro tego samego rodzaju zbrodni dopuszczali się krasnoarmiejcy.
3006:  To jest dokładnie to, co zostało zrobione w odniesieniu do bogu ducha winnych, środowisk naukowych, społeczniczych i innych, którzy zostali skonfrontowani ze zbrodniczymi reżimami totalitarnymi.
3021:  I nie, to nie są poglądy polityczne.
3023:  To jest wulgarna ideologizacja.
3026:  To, co ja teraz zrobiłem w ramach tej inscenizacji, jest wulgarną ideologizacją?
3031:  I to, co zrobił profesor Rożkowski wcześniej, jest wulgarną ideologizacją.
3036:  Pokazuję to teraz, żeby jaskrawo widać było, jak można na podstawie danych, które się pojawiają, historycznego zdjęcia...
3047:  z którymi mamy do czynienia?
3049:  Faktem jest, że kościół katolicki ma problem i potwierdzane jest to przez zwierzchnika rzeczonego kościoła z różnego rodzaju przestępstwami, które są odkrywane, a nie były ścigane?
3059:  Faktem to jest?
3061:  Faktem jest to, że tutaj się pojawiło logo partyjne i pojawia się obok kardynał Wyszyński i papież?
3067:  Natomiast skandalem jest mówienie o tym, że akurat oni nie walczyli z tym systemem komunistycznym, bo to akurat robili.
3076:  Więc tu jest właśnie ta manipulacja.
3080:  I trzeba umieć wyczytać tę manipulację, bo nie każde zdjęcie, nie każdy fakt historyczny jest od razu opatrzony komentarzem, który umożliwia jego zrozumienie.
3091:  I jest skandalem i nieuczciwością intelektualną taka praktyka retoryczna ze strony historyka, która łączy fakty na zasadzie non sequitur nie wynika.
3102:  Na zasadzie błędu wydatnienia przypadkowego szczegółu, mylenia następstwa z przyczynowością i związków skojarzeniowych, które nie mają pokrycia w źródłach naukowych.
3111:  No i na sam koniec.
3113:  kwestie związane z kulturą.
3114:  Oczywiście, jak zawsze w polskich podręcznikach, mówienie o kulturze polega na tym, że będziemy sobie, no, wypisywać listę nazwisk, tak?
3122:  Żeby ludzie teraz wpruli sobie tę listę nazwisk, tak?
3125:  Żeby wpruli na pamięć, kto jest wybitny, a kto nie jest wybitnym.
3128:  Że Tadeusz Głomnicki jest wybitny.
3130:  Wpruwaj na pamięć teraz.
3132:  Człowieku, który nie ma aż zielonego pojęcia nad nad Głomnickiego, nie musisz mieć pojęcia nad nad Głomnickiego, ale masz wpruć na pamięć, żeby był wybitny.
3140:  Bo tak.
3141:  A dlaczego?
3143:  Z bardzo prostego powodu, bo Lenin powiedział, że kino jest najważniejszą rzeczą, więc w związku z powyższym literatura i teatr i sztuka, a nie kino, nie seriale i nie gry wideo.
3155:  Jak widzicie, bardzo często się zdarza, że ludzie, którzy są oszustami intelektualnymi,
3164:  którzy ideologizują, którzy są klasistami, są równocześnie tymi samymi, którzy będą podpisywać się pod tym systemem edukacji w obecnym kształcie.
3175:  Przypadkowo są tymi samymi ludźmi, którzy celebrują też wszystko to, co minione w imię, a ja mam skrzypkę, skrzypkę, co nuci o tym, co było, co już nie wróci.
3184:  Stare, więc dobre, więc wartościowe.
3186:  I przypadkowo są tymi samymi ludźmi, którzy z klasistowskich, wyższościowych pobudek będą was pouczać, eks katedra, co macie myśleć na temat rzeczywistości, w co macie wierzyć.
3199:  kogo macie czytać, kogo macie słuchać i co macie myśleć.
3203:  I idealną pożywką dla tej kultury bakterii jest tkanka szkolna.
3210:  Tam pięknie się ona rozwija w tym ciepełku transmisyjnego przekazywania wiedzy, egzaminów, którzy odpytają następnie nas z tego, czy przypadkiem nie jest tak, żeśmy zinterpretowali coś nieprawomyślnie.
3226:  To jest idealny ekosystem dla podprogowych przekazów, bo tutaj niestety jest przekaz podprogowy w tym podręczniku.
3236:  Każdy może powiedzieć w odpowiedzi na mój film, każdy absolutnie, że wyciągnąłem złośliwie różne fragmenty i oceniłem całość filmu.
3246:  Opełniając błąd uwydatnienia przypadkowego szczegółu.
3249:  Po pierwsze, nie zrobiłem tego dlatego, że samo wydawnictwo Biały Kruk zdecydowało, że to są najlepsze i najbardziej reprezentatywne fragmenty tego podręcznika, bo byłem na tyle złośliwy, żeby wziąć tylko te fragmenty opublikowane przez wydawnictwo Biały Kruk, więc najwyraźniej, jeśli ktoś uwydatnia przypadkowe szczegóły, to nie ja, to wydawca, którego oczywiście celem jest to, żeby zareklamować autora z jak najlepszej strony.
3275:  Jeżeli to jest najlepsza strona tego podręcznika, boj, boj, drżę nad tym, co jest w całej reszcie.
3283:  Kolejnym problemem jest to, że podprogowy przekaz tego rodzaju, który będzie się rozwijał między wierszami, może zostać nierozpoznany przez niektóre osoby.
3294:  Nie uważam, żebym cokolwiek, co tutaj powiedział, był w stanie powiedzieć 20 lat temu.
3298:  Nie.
3300:  Myślę, że miałbym duży problem z zauważeniem tego, choć mógłbym odnotowywać to, że ktoś usiłuje wciskać mi bullshit, ale miałbym trudność z dekonstruowaniem tego wszystkiego i z pokazaniem, gdzie tak naprawdę kryją się manipulacje.
3316:  I oczywiście to można byłoby zrobić jeszcze lepiej, jeszcze wnikliwiej, ale myślę, że to wystarczy.
3324:  Przede wszystkim do tego, żeby wysnuć zasadniczy wniosek.
3328:  Nie potrzebujemy przedmiotu historia i teraźniejszość.
3331:  Potrzebujemy historii, jeśli już.
3333:  Nie potrzebujemy podręcznika do historii i teraźniejszości, tak samo jak nie potrzebujemy podręcznika szkolnego.
3339:  Potrzebujemy źródła.
3341:  Umiejętnie analizowane, czytane, potrzebujemy uczyć się tego, żeby konfrontować ze sobą różne źródła, żeby wiedzieć, że jeden fakt historyczny może mieć pokrycie w trzech dokumentach, które się będą wykluczały.
3352:  Żeby nie traktować historii jak Biblii, gdzie musimy nauczyć się wszystkiego idealnie i wyśpiewać później jak z katechizmu, żeby dostać piąteczkę na katechezie.
3363:  Nie, nie tym jest historia.
3364:  Historia jest opowieścią.
3366:  Jest piękną opowieścią.
3368:  Jest niegodne, nieuczciwe i nieetyczne to, że ludzie w ramach tej pięknej opowieści usiłują przemycać swój światopogląd, przemycać swoje idee polityczne.
3378:  Z łatwością mógłbym wyśmiać ten podręcznik, używając języka, którego używają dziennikarze TVN-u, gazety wyborczej itd.,
3386:  Ale to jest nieskuteczne, ponieważ używanie takiego języka automatycznie sprawi, że każda osoba o poglądach konserwatywnych odrzuci to od razu i potępi w czambu, ponieważ zauważy, że ktoś zajmuje pozycję przeciwstawną zbyt wyraźnie i również przyjmuje pozycję ekskatedra.
3406:  Nie oszukujmy się.
3407:  Nazywa to ciemnogrodem, głupotą i tak dalej.
3411:  Nie jest to głupi człowiek.
3413:  Nie, ma osiągnięcia naukowe, ale postępuje nieetycznie.
3417:  I to możemy śmiało powiedzieć na podstawie tych fragmentów, które powinny były zostać wycięte przez redaktora naukowego, gdyby faktycznie dbano o dobre imię autora.
3428:  to ktoś by się tym zajął, zanim podręcznik został wysłany do recenzji i mam nadzieję, że ktoś się tym zajmie, zanim zostanie dopuszczony do użytku, ale to jest oczywiście marzenie ściętej głowy, bo wszyscy wiemy, jaka była idea tego przedmiotu i każdego innego przedmiotu szkolnego, który jest w taki sposób projektowany.
3446:  transmisyjnie przekazywana wiedza, która ma zostać wpruta przez uczniów w ramach kolejnych godzin, które są dorzucane do ich i tak napiętego grafiku i następnie ma być zweryfikowana w ramach państwowego egzaminu.
3459:  Po czym człowiek wychodzi ze szkoły i na przykład traci przyjemność czytania tekstów historycznych, traci przyjemność czytania książek, traci przyjemność uczestnictwa w kulturze, odrzuca to w całości, idzie do zupełnie innego zawodu i...
3475:  Kultywuje stereotyp, zgodnie z którym mamy dwie grupy ludzi w społeczeństwie.
3479:  Ścisłowcy, którzy nie będą znać kultury i humaniści, którzy nie będą umieli liczyć.
3485:  Świetnie się kształcimy.
3487:  Do następnego.
