W ogniu krytyki hartują się poglądy | Dla każdego coś przykrego #22
🔗 https://www.youtube.com/watch?v=oYiKtajKNl4

0:  W ogniu krytyki hartują się poglądy.
1773:  No, podobne do penitencjarnych warunków, w których trzeba się bratać z tym najsilniejszym, żeby mieć spokój, albo w którym trzeba przekupywać strażnika więziennego, przepraszam, nauczyciela, żeby mieć spokój.
1785:  I trzeba się przymilać.
1786:  To jest sytuacja patologiczna i nie pozwólmy, żeby ona infekowała nasz dyskurs.
1790:  Zwłaszcza w czasach, w których mamy internet.
1793:  Cieszymy się osłoną anonimowości bardzo często.
1796:  I to jest sytuacja, w której naprawdę trzeba stąpać ostrożnie po czyichś snach.
1801:  Zatem tak,
1803:  Rozpalajmy ogień, rozniecajmy żar dyskusji, bądźmy złośliwi i krytyczni, mówmy przykre rzeczy, ale ze świadomością zawsze, że zmierza to do tego, żeby poprawić jakąś sytuację, która jest zła w świecie i z którą sami nie możemy się psychicznie uporać i może jest szansa, że ktoś usłyszy tę naszą krytykę, ktoś od nas zdolniejszy, ktoś lepiej do tego przygotowany i coś z tym stanem rzeczy zrobi.
1833:  Może naprawi serial, może zrobi lepszą grę, może wsłucha się w krytyczne głosy na temat filmu, a może naprawi system edukacji, a może zrobi coś o wiele mniej doniosłego.
1849:  a może namyśli się nad swoim życiem.
1852:  To są wszystko sytuacje, do których powinniśmy dążyć jako krytycy.
1856:  Nieważne, czy jesteśmy krytykiem gamingowym, filmowym, książkowym, czy po prostu krytykiem społeczeństwa, rzeczywistości.
1865:  Za każdym razem pamiętajmy o to, żeby cel w tym przypadku nie uświęcał środków, tylko cel był czymś, co ma służyć nie tylko nam,
1877:  w dotarciu doń, ale przede wszystkim tej osobie, której radzimy, czyli temu, który popełnia błędy.
1884:  Wtedy będziemy krytykiem, który jest właśnie tym najlepszym przyjacielem, a nie, jak szkoła każe nam błędnie mniemać, wrogiem.
