Szkoły łamią prawo?! TO NIEMOŻLIWE! 😱 | Dla każdego coś przykrego #43
🔗 https://www.youtube.com/watch?v=CEqkCMUCqnc

0:  Oczywiście, że w edukacji są różnego rodzaju problemy, ale to są wyjątki.
1669:  zyskiwać PDF-y książek naukowych, albo że istnieje Sci-hub, są na ten temat filmy na kanale, czyli wyszukiwarka prac naukowych, albo że nie, nie piszcie bibliografii, sami są od tego programy, czyli menadżery do cytowania.
1681:  Wszystko to między innymi po to dałem na kanale, bo zdaję sobie sprawę z tego, że 90% ludzi, którzy trafiają na studia tego nie wie.
1689:  To jest przerażające, bo to jest mniej więcej tak, aby człowiek nie wiedział, że należy myć ręce po wyjściu z kibla.
1695:  No, to jest brak higieny cyfrowej, brak menadżera haseł w przeglądarce, tylko wymyślanie sobie hasła SONIA 123, ojej, nikt tego nie złamie i umieszczanie tego w 15 bombilionach różnych serwisów też nie jest zbyt dobrym pomysłem.
1711:  Tak samo nie jest zbyt dobrym pomysłem share'owanie wszystkich informacji publicznych swoich własnych na pipsztylionie różnego rodzaju serwisów informacyjnych, bo przecież nikt tego nigdy nie znajdzie, a potem pracodawca będzie sprawdzał nasze social media i znajdzie różne rzeczy, których nie powinien znaleźć.
1726:  Aha, więc ślad cyfrowy i jego pielęgnacja powinny być częścią nauczania szkolnego, ale jeżeli odbieracie ludziom telefon, to nie macie narzędzia za pośrednictwem, którego to można robić, ale oczywiście, oczywiście, oczywiście w szkole powiemy
1739:  Nie mamy pieniędzy.
1742:  Związane ręce.
1744:  Minister nie dał pieniędzy na komputery.
1749:  Dyrektor i samorząd nie dali pieniędzy na tablety.
1754:  Co my mamy zrobić?
1756:  Użyjcie!
1757:  Mać telefonów, które już macie!
1761:  To jest aż tak proste.
1764:  Statut szkoły zawiera przepisy, które regulują wreszcie wygląd uczniów, kolor włosów, makijaż i tatuaże.
1772:  W 50% nieomalże tak, co jest niezgodne z polskim prawem, ponieważ w polskiej ustawie o szkolnictwie mowa jedynie o tym, że szkoła może regulować ubiór.
1784:  To jest po to, żeby wiecie, nie było sytuacji, w której ktoś przyjdzie no totalnie rozchełstany na przykład i co będzie stwarzało różnego rodzaju no także niebezpieczne dla niego czy dla niej sytuacje, nie?
1796:  Więc to chodzi o to, żeby ludzi chronić w takich okolicznościach, zwłaszcza biorąc pod uwagę to, że niektórzy codziennikarze polscy, których filmiki później spadają z rowerka na YouTubie uważają, że nie można molestować wzrokiem, ponieważ nigdy nie byli w sytuacji takiej, żeby jakiś oblech
1811:  wpatrywał się, nie wiem, poniżej ich pasa przez 30 minut.
1816:  I człowiek nie zdaje sobie sprawy z tego w takich okolicznościach, że molestowanie i macanie to są jednak dwie różne rzeczy.
1821:  No, więc w takich okolicznościach jasne, ubiór trzeba regulować po to, żeby właśnie minimalizować różnego rodzaju potencjalne, podkreślam, zagrożenia.
1830:  okazję do tego, żeby ktoś mógł być molestowany, czy w jakikolwiek inny sposób czuć się skrępowany, nieprzyjemnie i tak dalej, i tak dalej.
1838:  Więc ta regulacja stroju jest jakoś uzasadniona racjonalnie.
1841:  Natomiast to, czy ktoś ma kolczyki, tatuaże, różowe włosy, fioletowe, czy jest ogolony na łyso i ma tatuaż kodem kreskowym, ponieważ uwielbia Hitmana, nie powinno interesować nikogo.
1853:  Znaczy, może interesować rodziców, do pewnego momentu oczywiście, ale szkoła nie ma absolutnie nic do powiedzenia w tym zakresie.
1860:  I przynajmniej oczywiście w świetle prawa.
1862:  Jeżeli ktoś uważa, że powinniśmy wprowadzić prawo szariatu na przykład, albo prawo kanoniczne, to co innego, ale na szczęście jeszcze tego nie ma, więc póki co obowiązuje nas prawo polskie, tak?
1874:  I polska wykładnia prawa, która swoją drogą cały czas, podkreślam, jest obecna w tym statucie, napisanym nie bez powodu przez prawników i nie bez powodu właśnie dlatego wam ten cytat tutaj przedstawiam.
1884:  Następnie, status szkoły może zawierać przepisy, które określają, że wygląd ucznia ma wpływ na ocenę zachowania.
1891:  Czyli wiecie, standardowa sprawa, że jeżeli ktoś na przykład jest gotem albo ma tatuaż, no to wiadomo, że to jest w ogóle zbrodniarz przyszły, on będzie w więzieniu.
1899:  O, i będzie mafiozem.
1900:  To jest oczywista sprawa, znaczy jeżeli ja bym sobie na przykład wytatuował na ramieniu jamnika, no to momentalnie po prostu ja już jestem w tym momencie szefem krakowskiej mafii, będę ganiał z maczetami po Starym Mieście.
1912:  To jest oczywista sprawa i bezpośrednia korelacja przyczynowo-skutkowa.
1916:  Masz tatuaż jamnika, lecisz z maczetą chlastać ludzi.
1920:  Oczywista sprawa, nie śmiem tego negować, ponieważ wpadłem na ten pomysł mając objawienie na łączce polnej, gdzie widziałem krowę.
1928:  Następnie, statut szkoły zawiera przepisy, skłamałem, nie widziałem w życiu krowy, które przewidują, że istnieją inne akty prawne regulujące prawa lub obowiązki uczniów, na przykład regulaminu sprawiedliwiania nieobecności, kodeks ucznia, zasady stroju i wyglądu.
1941:  Tutaj chodzi o to, że nie mogą istnieć inne akty prawne, ma w świetle ustawy funkcjonować wyłącznie statut.
1946:  W związku z powyższym, jeżeli ktoś się wam zasłania informacją, że tego nie ma w statucie, ale to jest w regulaminie wyglądu ucznia, który ma na sobie taką śliczną rrr,
1956:  różową pieczątkę.
1958:  I wiecie, nawet nie, przepraszam, ma dwie pieczątki, jedna różowa, a druga czerwona.
1964:  I ma podpisy.
1967:  I częścią tych podpisów jest nawet MGR, skrót, żeby nikt nie miał wątpliwości, że ten nauczyciel jest wykształcony.
1974:  i dlatego każe do siebie mówić per profesor.
1976:  No, więc taki regulamin, on jest ważniejszy od statutu.
1979:  Oczywiście, że nie i fakt, że im dalej na wschód od Europy Zachodniej, tym więcej pieczątek i podpisów, no nie powinien nas zwieść, to znaczy legalność dokumentu stwierdzają akty prawne, a nie pipsztylion pieczątek, który się na nim pojawia.
1994:  Następnie, statut szkoły wedle znowu ankietowanych zawiera przepisy, które dają możliwość nałożenia na ucznia kary w postaci pozbawienia pełnienia funkcji w samorządzie uczniowskim lub innej podobnej.
2003:  Czyli wiecie, stara dobra, demokracja ateńska i aby teraz do czynienia z usunięciem człowieka z jakiejś pozycji, którą zajmuje.
2011:  Wiecie to dobrze też, że te pozycje są czysto honorowe, to znaczy przewodniczący ma, nie wiem, prawo donoszenia kredy w sposób bardziej dostojny niż dyżurny.
2018:  Na tym się kończy jego rola oczywiście, ponieważ w szkole mamy pseudodemokrację,
2022:  co nas przygotowuje na to, że w Polsce też mamy pseudodemokrację, więc wiecie, żeby nie było takiego szoku termicznego, że nagle z wrzątku przechodzicie do zimnej wody.
2029:  Nie, nie, jesteśmy przygotowani już do takiej letniej demokracji w szkole, widzimy i obserwujemy, że ludzie, których wybieramy, nie mają żadnej władzy, w związku z powyższym potem... A, i może dlatego potem nie idziemy do wyborów, ponieważ boimy się, że będzie tak samo.
2044:  Czyżby te przyzwyczajenia ze szkoły miały jakieś wpływ?
2047:  Nie, nie, na pewno tak nie jest, to są jakieś kompletnie bzdurne wynurzenia.
2050:  Wróćmy lepiej do tych pomysłów, które przychodziły mi do głowy pod prysznicem oraz na łączce z krową.
2055:  One były zdecydowanie bardziej racjonalne i zdroworozsądkowe.
2059:  Statut szkoły również zawiera przepisy, które uzależniają oceny z zachowania od średniej ocen, czyli wiecie, to, że zbieramy sobie czerwone kółeczka, euro gąbki, plusiki, minusiki, nie, tak?
2069:  Nie ma żadnej średniej oceny z zachowania, jest ocena z zachowania, kropka, jest jedną i jest wystawiana na koniec.
2075:  Statut szkoły wreszcie zawiera przepisy, które dają możliwość nałożenia na ucznia kary w postaci praw porządkowych lub innej podobnej.
2081:  Były takie swoją drogą próby, żeby coś takiego zrobić i przeforsować, na szczęście to nie przeszło.
2085:  ale niestety w niektórych szkołach się tymi pomysłami ministerstwa zainspirowano i 13% szkół, no prawie 14, tego rodzaju kary nakłada.
2095:  Fajna sprawa.
2096:  No i wreszcie, religia w szkole.
2098:  Obiecałem, że będzie nadmat osobny odcinek, w związku z powyższym jedynie zaznaczam, że to już zostało tutaj zaadresowane, że są trudności z rezygnacją z zajęć religii w trakcie roku szkolnego, których nigdy nie miało nie być, to znaczy w przypadku przynajmniej 1,5 respondentów.
2112:  Następnie, wstawianie zajęć z religii jako zastępstwo, o, to już jest częstsze, no i oczywiście każdy dyrektor czy nauczyciel powie, że tak, że braki kadrowe, że problemy, no sorry, no braki kadrowe brakami kadrowymi, ale jeżeli wybieramy do tego kapłana, to przepraszam najmocniej, ale po pierwsze, miejsce kapłanów jest w kościołach, tak zawsze było, tak jest w powieściach fantazy, ja jak wiecie bardzo lubię fantazy,
2137:  Więc bardzo sobie cenię fakt, że w światach fantasy miejsce kapłanów to są healerzy, którzy siedzą w świątyniach.
2143:  I bardzo dobrze, tam jest ich miejsce, mają nam zapewnić oczyszczenie duchowe, mogą też oczyścić rany, kiedyś tak było, że zakonnice na przykład sprawowały posługę w szpitalach i tak dalej, i tak dalej.
2155:  Bardzo dobre miejsce.
2157:  I nawiasem mówiąc, tak było też do czasu bardzo późnego w Polsce, że chodziło się do kościoła na katechezę i dopiero potem wprowadzono katechezę w szkole.
2168:  Ciekawa sprawa, ale do tego wrócimy, jak obiecałem.
2171:  Następnie jest tutaj oczywiście też historia przytoczona, że lekcje religii miały być na początku, na końcu zajęć, żeby wiecie, można było się łatwo zwolnić, ale ciężko jest się z czegoś łatwo zwolnić w momencie, w którym szkoła na przykład w 53% domyślnie zapisuje was na lekcje religii, no bo wiecie przecież, Polska jest krajem katolickim i zawsze była.
2195:  Nie było rodzimowierstwa nigdy.
2197:  Słowianie od samego początku, to już dobrze wiemy, dobrze wiemy, że 5 tysięcy lat przed naszą erą był imperium lechitów, które wyznawało katolicyzm, zanim on się nawet narodził.
2208:  Więc absolutnie tak, takie domyślne założenie, że ktoś jest jakiegoś wyznania, jest bardzo, bardzo, bardzo słuszne i rzeczowe.
2215:  I co więcej, jakże zgodne z realiami świata, w którym żyjemy, gdzie ludzie migrują z jednego miejsca na drugi,
2220:  Teraz niedawno mieliśmy falę emigracji ludzi, którzy na przykład niekoniecznie muszą być katolikami, ale mogą być prawosławnymi osobami, tak?
2229:  I co wtedy?
2230:  Haha, no nie no, trzeba ich zdyskryminować, no głupie pytania zadajecie, no wiadoma sprawa, że jeżeli w demokracji coś takiego dzieje, to się dyskryminuje ludzi, nie jest tak, że każda grupa społeczna ma jakąś swoją reprezentację, nawet mniejszość niemiecka ma reprezentację w polskim, nie, nie, nie, to są wymysły wszystko, wróćmy może, wróćmy może do objawień spod prysznica.
2251:  Nieobecność w trakcie rekolekcji były nieobecności wpisywane, obecność była nieobowiązkowa nawet dla uczniów nieuczeszczających.
2260:  Zmuszanie do uczestnictwa w praktykach religijnych też bywało niekiedy.
2266:  To znaczy czasem 14-15% czy 8% daje nam w sumie jedną piątą, więc dla mnie to jest dużo.
2273:  Przypominam sobie też czas, w którym zastanawiałem się jeszcze jako student, dlaczego w zasadzie na początek roku akademickiego jest msza.
2280:  W zasadzie z jakiego powodu, skoro w uczelniach jednak nie wyznajemy bóstw, tylko wydaje mi się, że uprawiamy naukę.
2289:  Ale to jest dłuższa historia na dłuższe okoliczności, bardziej temu sprzyjające.
2294:  Przez dwa lata mimo próśb i tego, że bardzo duża część klasy nie chodzi na religię, była ona w środku lekcji i słyszeliśmy, że nie da się zrobić inaczej, bo jest plan i wiecie, to jest wszystko wina ministerstwa, kuratorium, dyrektora, na pewno nie nasza.
2307:  Wielokrotne prośby do wychowawcy, aby religia była ostatnia, nie poskutkowały, więc ostatnie dwie osoby z grupy w klasie mają dwa okienka, bo żony nie mogą w tym czasie opuszczać terenu szkoły.
2315:  Naturalnie, bo wcześniej wiemy, że w tym zakresie też łamie się polskie prawo, aby mieć potem jedną lekcję.
2320:  Zajęcia religii były umieszczone w środku plenu dziennego zajęć.
2324:  Zawsze odpowiedziało 38%, zazwyczaj odpowiedziało 20%, czasem odpowiedziało 11%.
2331:  Generalnie rzecz biorąc,
2333:  przytłaczająca mniejszość ludzi potwierdza, że zgodnie ze stanem prawnym i z kompromisem konkordatowym, religia jest albo tam na końcu, albo na początku zajęć, żeby można było łatwo albo ludzi zwolnić, albo zapewnić lekcje etyki, czy jakiekolwiek inne w tym wymiarze.
2348:  Brak pytania było również o to, czy katecheta był równocześnie wychowawcą klasy, jak u nas ktoś się poskarżył na nieobecność takiego pytania w statucie, ponieważ ludziom nie przychodzą do głowy tego rodzaju absurdy.
2359:  No i przez ostatnie 4 lata technikum miałem okienko na poczet ostatniej lekcji z powodu religii, zgłaszałem sprawę, zawsze mnie zbywali mówiąc, że powiedzą komu trzeba, a na religię chodziła mniejszość klasy.
2369:  I wreszcie ostatnia część tego raportu, dla mnie najbardziej przerażająca, pewnie dla was będzie to mniej atrakcyjne z tego względu, że no tu już nie mówimy o bezpośrednich patologiach i o tym, co jest niezgodne z faktycznym prawem, natomiast mówimy o rzeczach, które są międzyludzkie i dotyczą stosunków między nauczycielami a uczniami, stosowanie przemocy psychicznej wobec uczniów, przypominam, jest to mobbing pionowy,
2393:  albo przemoc fizyczna wobec uczniów, to też jest mobbing pionowy i nie powinno do czegoś takiego dochodzić.
2398:  Mobbing poziomy to będzie wtedy, kiedy to jest w grupie rówieśnej, czyli dobrze wiecie, że takie rzeczy też mają miejsce i że nauczyciele oczywiście udają, że tego nie widzą, ponieważ jeżeli mógłbym cokolwiek powiedzieć, że polska pedagogika wypracowała w sposób wybitny, to umiejętność odwracania wzroku od problemu.
2418:  Czyli wiecie tak, trzy małpki z NIPO.
2422:  żeby mieć jak najmniej odpowiedzialności.
2424:  Nie mówimy, nie słyszymy, nie widzimy.
2427:  Czego Korneliusz Knot nie zobaczy, to go nie zaboli.
2432:  Na szczęście, jeżeli chodzi o przemoc fizyczną, nie jest to powszechne, to znaczy 80% uczniów mówi, że do takiej sytuacji nie dochodziło, ale 12% powiedziało, że dochodziło i dla mnie to jest o 12% za dużo.
2443:  W ogóle nie powinno do czegoś takiego dojść, nigdy, w żadnych okolicznościach.
2446:  Każdy nauczyciel, który stosuje przemoc fizyczną wobec ucznia, będzie mieć zwolniony od razu z zakazem uprawiania tego zawodu do końca życia, bez możliwości powrotu i najlepiej jeszcze z adnotacją, żeby nie miał kiedykolwiek jakichkolwiek relacji z ludźmi, nie pracował na żadnym stanowisku
2462:  które wymaga kontaktów międzyludzkich.
2465:  Więc jeżeli chodzi natomiast o przemoc psychiczną, która jest o wiele bardziej powszechna, jak dobrze wiemy, bo któż nie miał nigdy takiej sytuacji, że nauczyciel stracił cierpliwość i zaczął wrzeszczeć, no to tutaj jest troszeczkę problematyczne, to znaczy nagle się okazuje, że w spektrum od rzadko do zawsze mamy większość głosów.
2484:  I to jest problem, ponieważ osoba, która podnosi głos, czy krzyczy, czy wrzeszczy, a mówię to jako osoba wrzeszcząca i krzycząca w emocjach bardzo często, automatycznie się kompromituje jako pedagog.
2496:  Wiele razy, wiele razy kusi mnie na przykład, jak wiele, wiele, wiele godzin poprawiam dokładnie te same chociażby błędy czy pomyłki, żeby się zdenerwować, napisać złośliwy komentarz.
2507:  Nauczyłem się w którymś momencie usuwać go.
2510:  Bo zrozumiałem, że jak ja mam na przykład 20 esejów do poprawy i później napisania ocen opisowych, co zajmuje sporo czasu, ale wciąż mniej czasu niż pipsztylion kartkóweczek.
2522:  to w którymś momencie dla mnie to jest dwudziesta osoba robiąca podobną pomyłkę.
2528:  Ja się niecierpliwie, to jest naturalne, każdy się niecierpliwi, to jak wychodzicie z domu i za każdym razem się potykacie o tę samą płytę chodnikową, to w którymś momencie obrzucicie ją najbardziej plugowymi słowy i zaczniecie ją kopać, jak znowu sprawi, że przewróciliście się.
2543:  Ale jak ktoś dostaje ten esej, to on jest jeden.
2548:  Dostaje jeden komentarz, który jest zły i on mu psuje dzień.
2554:  Nie ma tych 19 innych esejów, nie ma tej skali, nie widzi tego zestawienia i porównania.
2559:  To jest podstawowa rzecz, jaką sobie musi uświadamiać każdy pedagog.
2562:  Zawsze, prędzej czy później.
2564:  Jeśli sobie tego nie uświadamia, będzie tracił cierpliwość, będzie denerwował się, krzyczał czy stosował jakokolwiek przemoc psychiczną.
2570:  Przypominam, że przemoc psychiczna to jest tak, że manipulacja, nastawianie ludzi przeciwko sobie,
2578:  wszelkiego rodzaju toksyczne zachowania, zastraszanie, mówienie na przykład, że jeśli czegoś nie zrobisz, to będą takie, a takie, a takie konsekwencje i robienie tego w formie groźby, a nie w formie suchej i spokojnej informacji.
2591:  Więc przemoc fizyczna, to mnie cieszy, że tutaj jest te 79,5%, który mówi, że nie, natomiast niepokoi mnie to zawsze, bardzo mnie to niepokoi, niepokoi mnie zazwyczaj i niepokoi mnie czasem.
2602:  I niepokoi mnie też, trudno powiedzieć.
2603:  Chyba to mnie niepokoi najbardziej, to znaczy, jak może być trudne powiedzieć, czy nauczyciel stosował przemoc fizyczną, czy nie.
2612:  Może to dotyczy sytuacji, że wobec kogoś, ale ja o tym nie wiem, ale jeżeli ktoś nie umie rozpoznać sytuacji, że każde naruszenie nietykalności cielesnej, niezależnie od tego, czy jest to szarpnięcie za ramię, czy jest to kopnięcie, czy jest to szturchnięcie, jest przemocą fizyczną, to jest problem.
2627:  Znaczy, trzeba sobie zdawać z tego sprawę.
2629:  Nietykalność cielesna jest...
2631:  Świętością w społeczeństwach wysoko cywilizowanych i demokratycznych.
2634:  Szybka anegdota, bo ten film będzie nieprawdopodobnie długi.
2637:  Jak byłem w Nowym Jorku, to byłem zdumiony, bo to było tak, jak szedłem przez Manhattan, miałem wrażenie, że wokół mnie jest taka bańka na wszystkie strony, bo ludzie po prostu omijali mnie.
2647:  Ja mu wiedziałem, że to jest Manhattan, Nowy Jork, bo to jest dość kluczowe, gdyż jest to dość tłoczne miasto.
2652:  I ludzie tam zachowywali mimo to właśnie tę naszą przestrzeń prywatną, osobistą.
2658:  Automatycznie.
2659:  Jeżeli ktoś kogokolwiek potrącił, to natychmiast rzucał się z przeprosinami.
2664:  Oczywiście nie jest to reguła, zawsze się zdarzają wyjątki, natomiast u nas wyjątkiem jest to, że coś takiego nie będzie miało miejsca, że raczej ktoś właśnie będzie nas omijał, czy da nam przestrzeń.
2675:  W większości przypadków ktoś się na nas wryje i jeszcze będzie mieć pretensje, jak my zareagujemy na to w jakikolwiek sposób.
2682:  No więc jeżeli chodzi o to niewłaściwe odnoszenie się do uczniów, 28% badanych mówi, że generalnie do takiej sytuacji dochodzi zawsze, 31% że czasem, 34,8% że nigdy.
2693:  Mniejszą skalę nadużyć widać w przypadku wyśmiewania uczniów, którzy osiągają słabsze wyniki w nauce.
2697:  To jest fantastyczna sprawa, śmiać się ze słabszego, nie?
2700:  Tutaj 15,6% ankietowanych wskazywało, że działo się to zawsze lub zazwyczaj, jednakże aż 21% uczniów wskazywało, że do takich sytuacji dochodzi czasem.
2711:  To samo oczywiście dotyczy wychowania fizycznego.
2713:  Tutaj też to nieodpowiednie odnoszenie się i wyśmiewanie jest odnotowane.
2719:  Co więcej, w większym zakresie niż w innych przypadkach, co oczywiście wiąże się ze specyfiką tych patologicznych zajęć, o czym mówiłem w odcinku o WF-ie już.
2727:  Na zajęciach wychowania fizycznego zdarzały się też te niemiłe komentarze, na szczęście w połowie przypadków nigdy, więc sytuacja się troszeczkę zmienia, mam wrażenie, że to jest też generacyjne.
2737:  No i końcówka moi drodzy, to znaczy dyskryminacja ze względu na seksualność, płeć, ze względu na poglądy polityczne, czy nasz światopogląd itd.,
2747:  Jeżeli chodzi o kolor skóry, to w Polsce oczywiście to przeciętnie problem nie jest.
2753:  I statystycznie.
2754:  Natomiast jeżeli chodzi o światopogląd, to już mieliśmy przypadki dyskryminacji.
2757:  To znaczy, jeżeli ktoś, nie wiem, jest ateista, albo jest z rodziny ateistycznej, albo prawosławny, albo jest muzułmaninem, to ma generalnie przerąbane w polskiej szkole.
2764:  I powiecie mi, nie no, ale przecież nie musi chodzić na religię, tak?
2767:  Nauczanie początkowej, oto teraz dzieci zrobimy laureczkę z tego, jak się przygotowujecie do Świąt Bożego.
2775:  Tak.
2778:  Oczywiście.
2780:  Bardzo komfortowa sytuacja dla każdego, to nie obchodzi.
2783:  I wiem, już widzę komentarze, więc zaraz zaznaczę, dlaczego to jest tak napisane.
2790:  Złe samopoczucie w szkole.
2791:  I oczywiście jest mnóstwo ludzi, którzy powiedzą, że ha, ha, ha, tak, tak, doszło złą ocenkę, teraz się wyżywa.
2797:  Nie.
2798:  To złe samopoczucie jest precyzyjnie zdefiniowane, to znaczy w tym przypadku chodzi o niemożność bycia w pełni sobą i wyrażanie swoich poglądów.
2808:  Więc to jest bardzo precyzyjna sytuacja i to oczywiście rzutuje na naszą poczucie dyskomfortu i nieczucie się częścią społeczności szkolnej, prawda?
2819:  Jeżeli nie możemy mówić otwarcie o naszych poglądach, nie możemy dyskutować, bo się boimy, że zostaniemy obśmiani publicznie na pręgierzu,
2826:  To oczywiście, że będziemy to chować do siebie, oczywiście, że będziemy szukać znajomości gdzie indziej.
2831:  Jeżeli jest bullying, na który nauczyciele nie reagują, jasne, że będziemy się czuli źle, więc ten przymiotnik nie jest czymś, co by należało ignorować i podporządkowywać wyłącznie temu, że komuś źle idzie w nauce, w związku z powyższym się wyżywa.
2843:  No ale procent ludzi, którzy w ten sposób robią, jest bardzo nikły.
2847:  A jak tutaj widzicie, poruszamy się cały czas w skali 60% w górę, jeżeli chodzi o odnotowanie tych patologii, więc to nie chodzi o jakieś niszowe rzeczy, które się czasem zdarzają, tylko chodzi o sytuację, w której niemożność zdarzania własnych poglądów dotyczy praktycznie 50% społeczności.
2864:  To nie jest normalne.
2865:  I w tym momencie zauważcie, że nie interesuje nas, czy to są poglądy lewicowe, czy prawicowe, czy jakiekolwiek bądź inne.
2870:  Po prostu nikt o nich nie mówi, ponieważ wszyscy się boją publicznego poniżenia i pręgierza.
2876:  Jeżeli chodzi o szanowanie prywatności, też byłem przerażony, jak zobaczyłem tę daną, bo 32%, jedna trzecia ludzi mówi, że w ogóle nigdy nie jest szanowana ich prywatność.
2885:  Co to w ogóle jest?
2887:  Albo rzadko i czasem.
2888:  To chodzi oczywiście o sytuacje, w których będą wyciągane jakieś brudy na forum klasy albo w sytuacji, w której, nie wiem, nauczyciel idzie za kimś do toalety, bo oczywiście uczeń sam nie może pójść, co jest łamaniem praw człowieka, a nie praw ucznia tym razem.
2901:  No i wreszcie sytuacja, w której narusza się przepisy związane z naszą prywatnością, które już są przepisami unijnymi, dotyczące wiadomości na temat naszych ocen, czy innych wiadomości, czy danych wrażliwych, na przykład tego, kto pochodzi z jakiej rodziny, tak?
2915:  Dlaczego w którymś momencie zaczynają cyrkulować po szkole informacje dotyczące tego, czy ktoś jest z rodziny biednej, czy nie, co potem staje się asumptem do tego, żeby taką osobę dręczyć i wyzywać, bo oczywiście z jakiegoś durnego względu w naszym cudownym społeczeństwie,
2929:  Wyznacznik statusu majątkowego od razu się przekłada na to, czy ktoś jest fajny czy nie, z czym powinno się naprawdę od samego początku walczyć i to bardzo głośno.
2937:  Nie, to lepiej jest zdecydowanie nie przeciwdziałać takim sytuacjom i jeszcze podżegać je.
2943:  Absolutnie skandaliczna sprawa, nigdy nie powinno dochodzić do czegoś takiego.
2947:  No i na pewno również nie powinno dochodzić do tego, żeby oceny, które przypominam jeszcze raz wedle ustawy, mają być informacją suchą na temat tego, czy zrobiliśmy postęp w nauce na koniec, żeby były częścią jakichś przepychanek śródrocznych i piętnowania kogoś, komu nie idzie, albo komu idzie gorzej, albo oczywiście nastawiania ludzi przeciwko sobie i powiedzenie, że to buziowi idzie, a nie Asia, jaka głupia.
2976:  to Joasiu, to spróbuj, będziesz pracować nasz, nie tak?
2979:  Bo rywalizacja, nie?
2980:  Więc jemu poszło, mnie nie poszło, więc muszę być lepsza, żeby dorównać do niego.
2985:  Rywalizacja.
2987:  Jak wiemy, rywalizacja podobnie jak żółw występuje w przyrodzie.
2990:  Wiemy to dlatego, że z kolei inni ludzie mieli objawienie wtedy, kiedy wychodzili na wysoką sekwoję w Stanach Zjednoczonych.
2997:  Absolutnie tak było.
2998:  Zignorowali wszystkie badania naukowe, ale na sekwoi doznali objawienia i wiedzą wszystko na temat tego, jak to jest z tą rywalizacją w przyrodzie.
3006:  Na przykład nie czytali badań dotyczących tego, że... Postaram się wam je podlinkować, bo są akurat bardzo fajne, że wilki trzymały się w stadach w taki sposób, żeby respektować swoje terytorium.
3016:  To były badania prowadzone właśnie w Stanach Zjednoczonych na bazie trakerów wszczepionych poszczególnym wilkom z różnych stadów.
3024:  I okazało się nagle, że
3026:  że terytorialność ich wcale nie prowadzi do tego, że konkurują o swoje terytoria, tylko respektują granice.
3034:  Fascynujące!
3034:  Ktoś by mógł powiedzieć, że to jest w przyrodzie, w związku z powyższym powinniśmy się tym zainspirować, ale dobrze wiemy, że póki nie wyjdziemy na sekwoje i nie doznamy objawienia, to nie mamy się prawa wypowiadać na temat edukacji.
3046:  I ostatnia kwestia, poczucie sprawczości.
3048:  Poczucie sprawczości głównie związane z tym, czy jesteśmy ignorowani, czy czujemy się lekceważeni, no to nie muszę wam mówić, że wysokie wskaźniki znowu na to wskazywały, to znaczy przynajmniej 1 trzecia osób.
3058:  No i wreszcie rzecz, o której już wspomniałem poniekąd, to znaczy samorząd uczniowski, to, że to jest atrapa, że to jest instytucja fasadowa, która nic nie zmienia i na nic nie wpływa.
3066:  No tenże samorząd sam później na poziomie uniwersyteckim funkcjonuje i ludzie się dziwią, dlaczego studenci nie chcą działać w samorządzie, no bo się przyzwyczaili w szkole, że bytność w samorządzie często przekładała się na to, że mogli nosić kolorową kredę zamiast białej, względnie, że mogli na przykład w uprawniony sposób donosić na innych i jeszcze zyskiwać za to punkciki.
3086:  Cudowna sprawa.
3087:  No i liczenie się z głosem uczniów, domyślacie się, że również będzie...
3092:  w pełnym spektrum, to znaczy ludzie, którzy pewnie są jakoś bardziej zaangażowani będą mówili, że jest troszeczkę lepiej.
3097:  No i na sam koniec to, co jest dla mnie najistotniejsze, to znaczy ocenianie i te rzeczy, których nie może być w odniesieniu do ocen.
3105:  To znaczy, nie można nie udostępnić pracy pisemnej.
3107:  Następnie, w ramach oceny z przedmiotu nie można ocenić braku podręcznika, zeszytu, linijki, cyrkla, przyrządów szkolnych, nie można, jest to niezgodne z prawem.
3116:  Jeżeli chodzi o ustalanie w oparciu o średnią, powiedzieliśmy, już nie jest regulowane w żaden sposób.
3120:  Karne kartkówki, nie, nie ma czegoś takiego w ustawie.
3123:  Estetyka uczniów, czy ktoś starannie pisze szlaczkiem?
3126:  Nie, nie ma.
3128:  Wreszcie oceny za próbne matury czy egzaminy, testy diagnostyczne wpisywane do dziennika jako ceny cząstkowe.
3134:  Absolutnie niezgodne z polskim prawem i wobec tego interweniowała nawet małopolska kurator oćmiaty.
3141:  Ta właśnie.
3142:  To jest do tego stopnia niezgodne z prawem, okej?
3146:  I analiza wyników pozwala stwierdzić, że dochodzi do tego z dużą częstotliwością.
3150:  67% respondentów wskazuje, że zawsze lub zazwyczaj spotkali się ze średnią ocenę, równie dużo babanych.
3156:  62% mówi, że zawsze lub zazwyczaj miało do czynienia z tym, że nauczyciel oceniał w ramach oceny z przedmiotu takie kwestie jak brak podręcznika czy przyborów szkolnych.
3163:  Tutaj macie to zwizualizowane, jak widzicie, jest tendencja rosnąca w tym przypadku.
3167:  Rzadko, czasem, zazwyczaj i zawsze w odniesieniu do średniej, co wiedzieliśmy bardzo dobrze z komentarzy i wiedzieliśmy dobrze z historii, ale teraz mamy dane, którymi możemy to poprzeć.
3176:  Wreszcie tak samo, jeżeli chodzi o oceny, podpinanie pod ocenę przez przedmiotu, coś, co z przedmiotem nie ma absolutnie nic wspólnego.
3184:  No i na sam koniec udostępnianie prac pisemnych.
