🔴 Kiedy posłuszeństwo jest złe? (ft. Mikołaj Marcela) | ROZMOWA #3
🔗 https://www.youtube.com/watch?v=jnF68qvleqw
MM (Mikołaj Marcela)
KMM (Krzysztof M. Maj)

5:  S01 - muzyka
3029:  MM - W ogóle punktem wyjścia do takiego myślenia może być historia przywołana właśnie przez Graebera i przez Wengroa w The Dawn of Everything.
3037:  MM - To jest w ogóle ciekawa historia i pokrótce ją opowiem, ponieważ my bardzo często mówimy o oświeceniu i uczymy się o oświeceniu, natomiast rzadko kiedy postrzegamy oświecenie jako efekt
3051:  MM - tak zwanej rdzennej krytyki, której uległa Europa z perspektywy mieszkańców Ameryki Północnej i która została spopularyzowana przez jednego z autorów na początku XVIII wieku.
3069:  MM - To jest w ogóle fascynująca historia jezuitów, którzy trafili do plemienia Wijandotów, zwanych Huronami, plemienia, które
3078:  MM - ku przerażeniu jezuitów w XVII wieku, absolutnie nie uznawała posłuszeństwa.
3086:  MM - Oczywiście istniało coś takiego jak posłuszeństwo, ale to było dobrowolne posłuszeństwo.
3091:  MM - Czyli mieliśmy ludzi, którzy rządzili w tym plemieniu, ale żaden z członków plemienia nie musiał wykonać tego, co mówił rządzący, znaczy mógł to wykonać.
3103:  MM - Dzieci nie mogły być bite przez swoich rodziców.
3106:  MM - W ogóle rodzice nie mogli niczego kazać swoim dzieciom.
3109:  MM - One od początku mogły też wypowiedzieć posłuszeństwo.
3115:  MM - Kobiety absolutnie były wolne, jeśli chodzi o dysponowanie swoim ciałem, jeśli chodzi o też rozwody.
3125:  MM - One mogły też wystąpić o rozwód czy rozejście z mężczyzną, tak samo jak mężczyźni.
3132:  MM - I generalnie mieliśmy do czynienia z takim plemieniem.
3137:  MM - Też to, jak ono funkcjonowało, w pewnym sensie przypominało takie funkcjonowanie komunistyczne, wspólne dzielenie właśnie według potrzeb.
3151:  MM - I myślę, że to w ogóle fascynująca historia, dlatego że jeden ze strategów tego plemienia
3161:  MM - przedstawił taką krytykę kultury zachodniej, europejskiej, bardzo dojrzałą krytykę, co też pokazuje, jak nasze wyobrażenia na temat mieszkańców Ameryki Północnej, chociażby wywiedzione z jakiegoś Pocahontas i z popkultury, są jednak dość błędne, ponieważ to byli ludzie, którzy bardzo gruntownie przemyśleli rozmaite kwestie,
3189:  MM - I właśnie ten, że Kondjarong, o którym też pisze za Greybrowem i Wendrowem, poddał bardzo ostrej krytyce kulturę europejską opartą na posłuszeństwie wobec króla, o równości, która niczym nie przypominała równości Wiandotów, w której wszyscy byli równi, jeśli chodzi o wypowiedzenie posłuszeństwa.
3211:  MM - Natomiast w Europie wszyscy byli równi, jeśli chodzi o posłuszeństwo wobec króla.
3215:  MM - Wszyscy mieli te same prawa, czyli musieli wykonywać to,
3219:  MM - mówi władza zwierzchnia.
3221:  MM - Też Wijandoci radykalnie skrytykowali ówczesną ekonomię, zakres nierówności społecznych, gospodarczych.
3234:  MM - Też przemoc dla nich czymś absolutnie nieoczywistym, a właściwie niedopuszczalnym była przemoc wobec członków własnego społeczeństwa.
3246:  MM - To znaczy dla nich dziwne były publiczne jakieś turytury czy publiczne egzekucje.
3253:  MM - ponieważ absolutnie rozdzielali, i to myślę jest kluczowe do zrozumienia, rozdzielali całkowicie przemoc od troski.
3262:  MM - W przypadku tamtego społeczeństwa ciężko było pomyśleć, że dla czyjegoś dobra mogę użyć przemocy, czy że mogę
3275:  MM - zmusić kogoś do zrobienia czegoś, tylko dlatego, że z mojej perspektywy to jest dobre.
3281:  MM - Generalnie nie było takiej możliwości, akurat to plemię było znane z dość dużej przemocy wobec innych plemion, ale to z kolei wiązało się z takim bardzo mocną ochroną swojej społeczności i z tym, że jeśli im została zadana krzywda jakaś,
3301:  MM - to były tak zwane żałobne wojny, czyli aby odpłacić rzeczywiście stosowano przemoc, ale też co ciekawe na przykład to plemię nigdy nie było niewolników.
3314:  MM - Bardzo często oferowało mężczyznom na przykład zajęcie pozycji osoby, która została zabita, czyli jeśli zmarł jakiś mężczyzna,
3324:  MM - Członek innego plemienia, który został pokonany mógł wejść na jego miejsce i po prostu żyć w tym plemieniu jako ta osoba, która zginęła niejako w zastępstwie, ale ciesząc się pełnion praw i mogąc normalnie żyć w tej społeczności.
3341:  MM - I to pokazuje, że oczywiście my możemy całkowicie inaczej pomyśleć relacje międzyludzkie, relacje społeczne, relacje polityczne, gospodarcze, to jak myślimy o prawach, tak na przykład w ogóle w UVM dotów nie było czegoś takiego jak sądy, to wszystko było rozwiązywane na innych poziomach, jeśli kogoś interesuje, to zapraszam do lektury.
3366:  MM - Natomiast motem drugiego rozdziału jest bądźmy realistami, żądajmy niemożliwego.
3378:  MM - Slogan z 1968 roku.
3381:  MM - I myślę, że to jest coś, od czego powinniśmy wyjść.
3385:  MM - W ogóle zdekonstruowania takich pojęć jak
3390:  MM - realizm i racjonalność, które bardzo często są używane w perspektywie ideologicznej jako coś, co ma nas odwieźć od poddania krytyce rozmaitych rozwiązań, które nam szkodzą.
3404:  KMM - Absolutnie.
3405:  KMM - Zresztą też nawiążę do tego racjonalizmu, bo to jest kluczowe w tej chwili.
3408:  KMM - Zauważmy, że
3410:  KMM - i wychowanie, i stosunek do dzieci, i szkolnictwo, to wszystko się opiera w zasadzie na dorobku XVIII wieku i w książce Mikołaja możecie przeczytać coś, co pięknie też ilustruje trybut od Rebeki Klaut, która przypomniała
3425:  KMM - motto Gelerta Grindelwalda, dla większego dobra, prawda, nieważne jakim kosztem, przeciwko któremu sprzeciwiał się Dumbledore, który wprawdzie kieruje bardzo patologiczną szkołą, bo pamiętajmy, że Hogwart to jest miejsce, do którego chcemy się udać tylko dlatego, że nasze szkoły są jeszcze gorsze, ale tak naprawdę to, co się tam dzieje, woła o pomstę do nieba, ale był rewolucjonistą, prawda, i był człowiekiem, który się nie zgadzał na ten
3447:  KMM - Jest taki piękny fragment w książce Mikołaja, zauważcie, niepokój musiał wzbudzać stosunek ojców jezuitów do dzieci wśród wiandotów, skoro w XVI wieku francuski prawnik i teoretek państwa Jean Baudin żądał przywrócenia dla ojców rodziny prawa życia i śmierci.
3464:  KMM - W rzeczywistości jednak władca ojcowska i tak rozciągała się wówczas na osobę i dobra dzieci, wnuków i dzieci wstępnych.
3471:  KMM - Brak kontroli nad dziećmi.
3473:  KMM - W porównaniu z wzrastającym we Francji od XVI wieku przyzwoleniem na stosowanie przymusu wobec potomków i wezwaniami do przywrócenia ojcom prawa życia i śmierci, jawił się jako coś najmniej irracjonalnego, już na pewno niebezpiecznego i podważającego ideę posłuszeństwa władzy ojcowskiej.
3488:  KMM - I przypominajmy, że ta cywilizacja osiemnastowieczna, do której bardzo często niestety nawiązują patokonserwatyści, w odróżnieniu od konserwatystów, jest tą cywilizacją, która mówiła o tych ludach, że są prymitywne.
3503:  KMM - I pamiętajmy o tym.
3506:  MM - Tak, i też pamiętajmy, że niestety w odpowiedzi, w dużej mierze w odpowiedzi na właśnie to doświadczenie, czy w ogóle pojawienie się takich haseł jak właśnie nieposłuszeństwo, jak równość społeczna, bo to, co jest też ciekawe i co dla mnie było jakimś odkryciem w książce Graebera i Wengroa, to są takie badania, które pokazują, że właściwie
3533:  MM - do XVI-XVII wieku właściwie w Europie nie funkcjonowało pojęcie równości społecznej.
3541:  MM - W ogóle pojęcie równości nie było czymś, co moglibyśmy w ogóle rozważać.
3545:  MM - Ta przemoc symboliczna, oparta na hierarchiach, podziale społecznym i na tych przywilejach, które są z tym związane i też prawach i właśnie możliwości stosowania przemocy
3562:  MM - i w domu, i potem na poziomie społecznym, to pamiętajmy, że jednak my dzisiaj cały czas jesteśmy spadkowiercami tego całego układu i dlatego dla nas bardzo często takie dopominanie się o jakąś równość społeczną, czy o zupełnie inne pomyślenie relacji międzyludzkich,
3588:  MM - jest traktowane jako coś znów irracjonalnego, czy nawet groźnego.
3594:  MM - I bardzo często się tak mówi, no bo jakże to by było, że to by był właściwie koniec świata, jaki znamy.
3599:  MM - No w pewnym sensie tak, no ale trzeba się zastanowić nad tym,
3603:  MM - Czy ten nasz świat rzeczywiście jest taki dobry?
3607:  MM - A jeśli jest taki dobry, to dlaczego tak często dzisiaj fantazujemy o tym, żeby uległ zniszczeniu i żeby nadciągnął jakaś katastrofa, która w końcu to skończy?
3619:  KMM - Kat dopytuje jeszcze, czym jest to prawo życia i śmierci, które było przypisane rodzicom, ojcom konkretnie we Francji?
3628:  MM - Była to możliwość decydowania o tym, czy w ogóle dzieciobójstwo... Niech to wybrzmi.
3636:  MM - Tak, dzieciobójstwo zdarzało się.
3639:  MM - To było coś, co oczywiście bardzo często było gdzieś piętnowane od pewnego momentu przez Kościół, ale to było jednak coś, co się zdarzało.
3650:  MM - Rodzice, ojcowie mieli możliwość zabicia swojego dziecka, jeśli to rzeczywiście w jakiś sposób.
3658:  MM - wykazało się nieposłuszeństwem, czy złamało jakieś prawo, które zostało ustalewane przez rodziców.
3664:  MM - Więc ojciec był panem życia i śmierci, to znaczy on mógł pozostawić przy życiu, ale mógł też odebrać to życie.
3671:  MM - Wiadomo, że to nie było na porządku dziennym, ale się zdarzało.
3675:  MM - Zresztą to samo dotyczyło kobiet.
3680:  MM - To też przywołuje za Flondrenem i jego historią rodziny takie prawa, które jeszcze chyba w XIV wieku w okolicach Bordeaux
3693:  MM - właściwie pozwalały mężczyźnie odejść bez żadnej kary po zabiciu żony, jeśli wyraził skruchy.
3703:  MM - Jeśli stwierdził, że jednak jest mu przykro, że zabił swoją żonę w porywie złości, to wtedy właśnie mógł uniknąć kary i nie było problemu.
3712:  MM - Z drugiej strony były na przykład, żeby też pokazać wiek patologicznej,
3717:  MM - żyjemy kulturze.
3720:  MM - Z kolei jeśli mężczyzna na przykład pozwalał kobiecie stosować wobec siebie przemoc fizyczną albo został uderzony przez kobietę i nie odpowiedział na to, no to mógł stać się obiektem samosądu i mógł zostać zdzięczowany przez pozostałych mężczyzn.
3742:  MM - I to się jeszcze działo podobno w
3746:  MM - w jakiejś mniej, że tak powiem, takich miejscowościach we Francji jeszcze na początku XX wieku.
3757:  KMM - Więc Moimiliak, jakiś internetowy mędrek bez wykształcenia filozoficznego robi sobie krzykliwą miniaturę
3766:  KMM - i mówi o kulturze patriarchatu, to ten internetowy mędrek bez wykształcenia filozoficznego mówi o kulturze patriarchatu, nie mówiąc o tym wszystkim, co dopowiada wam teraz Mikołaj, to znaczy nie mówiąc, że realnie funkcjonowało prawo, że mężczyzna powinien bić swoją żonę nie na śmierć i nie do krwi, kiedy sprzeciwia się mężowi.
3786:  KMM - Prawo w cywilizowanym społeczeństwie w XIII, w XIV wieku to nie jest ekstremalnie dawno i
3795:  KMM - Jasne, że współcześnie takiego prawa w niektórych krajach nie ma, ale przypominam, że w niektórych także są i jest przyzwolenie na tego rodzaju traktament.
3805:  KMM - I to, że to się dzieje jest właśnie elementem kultury patriarchatu i trzeba na to patrzeć szeroko.
3811:  KMM - Oczywiście są słabe przejawy kultury patriarchatu i mocne przejawy kultury patriarchatu.
3817:  KMM - Ale ta idea, to znaczy pater familias, to odnosiło się nie tylko do rodziny właśnie, ale do takiej figury patriarchy.
3825:  KMM - To mógł być patriarcha religijn, to mógł być patriarcha rodowy, to mógł być patriarcha w jakiejś instytucji, to mógł być monarcha wreszcie.
3832:  KMM - Ktokolwiek, kto właśnie jest nad nami, uzurpuje sobie tę władzę i wymaga posłuszeństwa.
3837:  KMM - Więc pamiętajcie proszę o tym, że to nie chodzi o feminizm w patriarchacie, że krytyka patriarchatu, który uprawia feminizm dotyczy jednego z aspektów patriarchatu.
3849:  KMM - I cieszę się, że właśnie to w tej książce wybrzmiało.
3852:  KMM - Rebeka jeszcze pisze i trybutuje, za co dziękuję bardzo, że w jednym z regionów Francji
3857:  KMM - czy wiadomo, gdzie to było dokładnie.
3859:  KMM - To było w Bordeaux z tego, co patrzę.
3862:  MM - Jedno z tych, natomiast jeśli chodzi o ten lincz, musiałbym sobie przypomnieć, przepraszam, dużo... Spokojnie, to jest przypis 32, zaraz sprawdzimy sobie.
3871:  MM - To jest Flondraun, historia rodziny, o tym pisze.
3877:  KMM - Proszę bardzo, tutaj macie.
3879:  MM - Niestety nie mam, nie mam przy sobie, nie mam przy sobie tej książki.
3883:  MM - Nie ma, nie ma sprawy, Mikołaj, ja sprawdzam.
3886:  MM - Ale jakby co jest, jest i myślę, że ta książka też jest dostępna jakby co w bibliotekach, jeśli to kogoś bardzo interesuje, to też mogę potem to sprawdzić.
3893:  KMM - Tutaj macie pełen rekord bibliograficzny.
3895:  KMM - Historia rodziny, pokrewieństwo, dom, seksualność w danym społeczeństwie w przekładzie Kurysia, Warszawa 2015.
3901:  KMM - Więc tam to są szczegóły na ten temat.
3903:  MM - Zresztą polecam, bo to jest też niezwykle ciekawe studium, z którego można bardzo wiele wynieść, które też pokazuje, po pierwsze, jak patriarchat szkodził dzieciom, a też pamiętajmy, jeszcze dopowiem do tego, co mówił Krzysztof, że patriarchat też szkodzi mężczyznom.
3919:  MM - To nie jest też tak, że patriarchat służy mężczyznom.
3924:  MM - Bardzo wiele jego przejawów sprawia, że mężczyźni są jego ofiarami.
3930:  MM - Ale też pamiętajmy, że jakby cały problem czy z Patriarchatem, czy z Matriarchatem, chociaż z Matriarchatem to w ogóle jest problem taki, czy my kiedykolwiek mieliśmy do czynienia z Matriarchatem.
3940:  MM - Jeśli kogoś w ogóle ciekawi, z kolei Matriarchat, to też polecam The Dawn of Everything, bo tam jest bardzo dużo ciekawych wątków poruszonych przez Grabera i Wengrowa, dotyczących takich
3953:  MM - kultur, które zmierzałyby w coś związanego z materiachatem.
3958:  MM - Natomiast pamiętajmy, że głównym problemem jest to, że jeśli zakładamy, że jakaś płeć, czy jakiś członek społeczeństwa, czy jakaś grupa społeczna może dominować nadresztą społeczeństwa właśnie ze względu na tą konkretną cechę.
3975:  MM - Czyli, że jeśli ktoś jest głową rodziny,
3978:  MM - to tylko to, że jest mężczyzną w rodzinie najstarszym daje mu prawo do tego, żeby decydować np.
3984:  MM - o życiu czy to swojej żony, czy o życiu swojego syna, w jakim kierunku to dziecko podąży, co może robić żona.
3995:  MM - Jeśli zakładamy, że rzeczywiście z jakiegoś powodu ktoś może o tym decydować, ktoś może wymagać posłuszeństwa,
4002:  MM - i realizowania rozkazów, czy jakichś poleceń, no to mamy do czynienia generalnie z patologią.
4010:  MM - Niezależnie od tego, czy to będzie mężczyzna, czy to będzie kobieta, czy to będzie ktokolwiek inny.
4017:  MM - Z wielu powodów
4018:  MM - My żyjemy w kulturze patriarchalnej dlatego, że ta kultura właściwie od bardzo, bardzo dawna w naszej historii służy przede wszystkim mężczyznom i jest w dużej mierze zdominowana przez mężczyzn i instytucje, sposób funkcjonowania ekonomii właśnie naszych społeczeństw, polityki jest skrojony pod mężczyzn i o tym też sporo piszę.
4045:  MM - Myślę, że jeśli
4048:  MM - Jak kobiety by to szczególnie zainteresowało, to polecam trzeci rozdział, w którym też piszę na temat niewidocznej pracy, na temat tego, jak my w ogóle definiujemy pracę i jak ta praca też jest właściwie zdefiniowana pod, że tak powiem, potrzeby i możliwości mężczyzn.
4065:  MM - To, że na przykład karmienie piersią nie jest w ogóle postrzegane jako forma pracy,
4073:  MM - Gdybyśmy to postrzegali jako pracę, która byłaby pracą odpłatną dla kobiet, to wyliczenia jednego z think tanków, teraz nie chcę skłamać, ale to jest chyba sto kilkadziesiąt miliardów dolarów rocznie w Stanach Zjednoczonych, wartość tej pracy.
4093:  MM - Więc tutaj kwestia patriarchatu i tego, jak on wpływa na nasze życie na bardzo wielu poziomach jest niezwykle interesująca i znów warto sobie z tego wszystkiego zdać sprawę.
4105:  KMM - To też odpowiem w sumie samym pytaniu od Mateusza Pochecia, gdzie przebiega granica między męskością a toksyczną męskością.
4111:  KMM - Toksyczna męskość szkodzi nie tylko kobietom, ale także mężczyznom.
4113:  KMM - To znaczy toksyczna męskość także doprowadzi do tego, że człowiek nie będzie okazywał emocji, płaczu i słabości, dlatego że właśnie kultura i dyktat patriarchatu mu to powiedział, że ma cały czas zachowywać się tak jak wojskowy na polu bitwy.
4130:  KMM - Ale zapominamy o tym, że potem wojskowy
4132:  KMM - Później schodzi z pola bitwy i ma traumę, za którą to traumę nie płaci mu już państwo, nie ma opieki psychologicznej, jest tam renta i niech spierdala.
4141:  KMM - Niestety, bardzo często się tak dzieje i o tym są filmy, nie wiem, Drabina Jakubowa chociażby, bardzo przejmujące.
4146:  KMM - To jest toksyczna męskość, moi drodzy.
4148:  KMM - I o tym też mówi bardzo dużo czwarta fala feminizmu, która zajmuje się nie tylko tym, co jest kobiece, ale także tym, co jest męskie, studia nad męskością stąd, czy tym, co dotyczy społeczności trans i LGBTQ+.
4162:  KMM - Jeszcze jest jedno pytanie od paszteśnika, to jest troszeczkę poza naszą dyskusją, ale myślę, że warto, wykorzystując te rzeczy, mamy tutaj Michała z nami, w jaki sposób byś się odniósł do tych wątków, które są w historii teraźniejszości, jeżeli miałeś okazję zapoznawać się z tym czymś, bo nie jest to podręcznik.
4179:  MM - A, znaczy przyznam, że znam tylko na razie z doniesień medialnych, wiem, że to jakby też w przestrzeni medialnej funkcjonują fragmenty z różnych książek Ryszkowskiego z ostatnich lat.
4194:  MM - Nie czytałem podręcznika, szczerze mówiąc.
4198:  MM - Nic nie tracisz.
4199:  MM - Ja bym wolał tego uniknąć.
4201:  MM - Jeśli ktoś bardzo będzie chciał i będzie mnie namawiał do tego, to ja bym wolał w ogóle o tym nie dyskutować, bo wydaje mi się,
4212:  MM - Boję się, że po prostu stracę strasznie dużo czasu na czytanie czegoś, co nic mi, że tak powiem, nie da, co tylko mnie sfrustruje.
4226:  MM - I oczywiście mogę to przeczytać pod takim kątem, żeby zobaczyć, jak bardzo to jest złe, ale ja generalnie jestem przeciwnikiem, wiecie, znaczy ja generalnie jestem przeciwnikiem podręczników w szkole, znaczy mogę oczywiście... Ja Mikołajowi chaszczakunduję absolutnie, tak.
4251:  MM - Mogę zajrzeć do jakiegoś podręcznika, który z jakiegoś powodu bym uznał za ciekawe, czy za taki, który może mi pomóc w wyjaśnieniu czegoś osobom, z którymi pracuję, ale generalnie ja nie jestem zwolennikiem podręczników jako takich, ponieważ podręczniki pod wieloma względami
4272:  MM - otłuczają nas paradoksalnie krytycznego myślenia, raczej są bardzo mocno tak sprofilowane pod pytania zamknięte, pod właśnie podawanie bardzo konkretnych, właściwych odpowiedzi, a nie są zaprojektowane w taki sposób, żeby jednak nas pobudzać do myślenia.
4290:  MM - No więc właśnie.
4292:  MM - I zastanawiać się nad tym, co czytamy.
4296:  MM - Znam fragmenty, bo jako człowiek, który funkcjonuje w środowisku edukacyjnym, oczywiście poczytałem niektóre fragmenty, nie miałem w ręku całego podręcznika.
4308:  MM - Natomiast po tych fragmentach widzę, że jest to oczywiście podręcznik, który jest napisany w sposób ideologiczny i który ma wykazać określoną tezę, ale też pamiętajmy, że ja zawsze jestem trochę adwokatem diabła pod tym kątem, że
4329:  MM - że według mnie problem nie tkwi w podręczniku do hitu.
4333:  MM - Problem tkwi w tym, że my w ogóle weszliśmy w takie myślenie o edukacji, w którym właśnie podręczniki i reprodukcja wiedzy, czy reprodukcja informacji jest celem samym w sobie.
4348:  MM - I myślę, że dlatego też żyjemy w takim świecie, w którym coraz trudniej nam jest podważać status quo i coraz trudniej jest nam szukać nowych rozwiązań,
4358:  MM - dlatego że przez 12 lat naszego życia my cały czas jesteśmy utwierdzani w tym, że powinniśmy się wykazywać znajomością już utartych dróg, już utartych schematów, stosować już gotowe algorytmy i konkretne ścieżki rozwiązania danego problemu.
4375:  MM - Jeśli tego nie stosujemy, to bardzo często się to kończy jak na jakichś takich anegdotycznych historiach
4382:  MM - Wielokrotnie słyszałem w historii, że np.
4383:  MM - jakaś nauczycielka przygotowywała grupę do olimpiady z jakiegoś przedmiotu czy do jakiegoś konkursu i ta grupa rozwiązywała dane zadanie po swojemu i ta nauczycielka po prostu rwała sobie włosy z głowy, dlatego że na tej olimpiadzie, jeśli oni tak rozwiążą to zadanie, to niestety nie będzie punktów, ponieważ to zadanie trzeba rozwiązać właśnie w taki sposób.
4408:  MM - I bardzo często dochodziło do np.
4409:  MM - rozpadu tej grupy, która się przygotowywała do tej olimpiady.
4412:  KMM - To smutne, że to też olimpiady dotyka.
4414:  MM - No właśnie, ale pamiętajmy, że to w ogóle dotyczy systemu edukacji i podręcznik do hitu jest jakąś taką, bym powiedział,
4430:  MM - bym powiedział, już skrajnością, z którą się mierzymy, chociaż pewnie, wiecie, złych podręczników jest całe mnóstwo i my o tym rzadko mówimy, ale też w bardzo wielu podręcznikach pojawia się jednak przemoc symboliczna, jeśli w jednym z przypisów książki znajdziecie też, myślę, bardzo istotne kwestie dotyczące właśnie prezentacji płci w podręcznikach, w jaki sposób jest prezentowany
4457:  MM - mężczyzna, w jaki sposób jest prezentowana kobieta, w jakich sytuacjach, przy okazji omawiania jakich zawodów pojawiają się mężczyźni, a przy jakich kobiety.
4467:  KMM - Wystarczy zobaczyć na wysyp komentarzy pod spotem ostatnim dotyczącym feminatywów BNP Paribas, takiej ferii bumeryzmu i kretyńskich argumentów nie widziałem w całym swoim życiu, ponieważ
4481:  KMM - jeżeli nie mamy słowa na określenie żeńskiego zawodu, to jest to dowód tezy, tak?
4486:  KMM - To jest to dowód niewypowiedzianej tezy o tym, że była dyskryminacja.
4490:  KMM - Więc jeżeli ktoś toczy z tego bekę, to kompromituje się w przestrzeni publicznej.
4494:  KMM - Przeraża mnie, że 80% ludzi, którzy tam się wypowiadało, kompromitowało się w przestrzeni publicznej, nawet nie zdając bez tego sprawy.
4500:  KMM - I może na koniec, bo jeszcze przejdziemy do komentarzy
4503:  KMM - waszych i waszych historii.
4505:  KMM - I chciałem jeszcze jedną rzecz zaznaczyć a propos tego hitu, mianowicie zauważcie, że jak były wątpliwości dotyczące pewnych rzeczy, sięgaliśmy z Mikołajem do tego, co macie na końcu każdego rozdziału, na końcu książki macie
4518:  KMM - Macie bibliografię, nawiasem mówiąc pytaliście też o e-booki, będą dostępne.
4524:  KMM - I na samym początku, jeżeli jeszcze chcecie dowiedzieć się tego, jaki status ma książka, macie recenzenta naukowego z Uniwersytetu Mińskiewicza.
4533:  KMM - To jest właśnie coś, czego nie mają podręczniki szkolne, wypisanego wprost.
4538:  KMM - I zwracajcie na to uwagę.
4540:  KMM - Jeżeli nie ma bibliografii, jeżeli nie ma przepisów, to znaczy, że ktoś coś usiłuje przed wami ukryć najczęściej.
4545:  KMM - I zwykle to są albo rzeczy, które są nieprawdziwe, tak jak podręczniku Roszkowskiego, albo autoplagiaty, które też popełnił nawiasem mówiąc, przepisując po prostu treść swoich wcześniejszych książek.
4554:  KMM - Więc...
4557:  KMM - Książka Mikołaja jest tym, tutaj ja zrobię coś, czego Mikołaj jako skromny człowiek nie zrobi, co robi się w środowisku zachodnim.
4565:  KMM - W środowisku zachodnim nauka dojrzała, humanistyka i książki są pisane językiem normalnym.
4571:  KMM - Ja byłem zmuszany do tego, żeby pisać językiem nienormalnym i off-stream rozmawialiśmy z Mikołajem, że będę chciał ten stan rzeczy zmienić, ale zostałem tego zmuszony.
4579:  KMM - I teraz powoli właśnie dzięki temu, że
4581:  KMM - Są tacy ludzie jak Mikołaj, którzy piszą przystępnym językiem, ale książki naukowe mamy szansę doszlusować tym poziomem do poziomu książek zachodnich.
4590:  KMM - Jak pamiętam, jak mój przyjaciel Greg Cleese z Royal Holloway w Londynie mówił, że on po prostu zarabia na swojej książce naukowej, którą kupują czytelnicy i tak to powinno właśnie wyglądać.
4600:  KMM - Więc jeszcze raz bardzo Wam polecam książkę Mikołaja, możecie ją kupić w księgarni znaku, jest link w opisie.
4607:  KMM - Z tego, co widzę, kod tam, którzy pisali, że może nie działać, zwracajcie uwagę na to, żeby nie było polskich znaków, bo myślę, że to jest ten główny problem.
4614:  KMM - Kod będzie działał do 31 sierpnia, a w tak zwanym międzyczasie, moi mili, to, co Wam obiecałem, to znaczy zwykle jest tak, że pojawia się Mikołaj, to proszę Was o to, żebyście
4628:  KMM - poświęcili swój czas i podzielili się jakąś historią, która będzie związana z patoposłuszeństwem.
4634:  KMM - I tych historii jest jak zwykle bardzo dużo.
4636:  KMM - Ja pozwoliłem sobie wcześniej wyselekcjonować te, które przeczytamy.
4640:  KMM - I zrobimy sobie w ten sposób, że ja będę czytał i potem będziemy jakoś się do tego ustosunkowywać.
4644:  KMM - I też mam do Was prośby, że jeżeli będą jakieś pytania, to komentujmy to na bieżąco.
4651:  KMM - No i w pierwszej kolejności mamy komentarz i historia od Bdiscord.
4655:  KMM - Serdeczne pozdrowienia dla ciebie.
4656:  KMM - To będzie długa historia.
4658:  KMM - Mój przyjaciel zdecydował, że po kilku latach w naszej szkole różnych zarzutach ze strony większości osób w klasie do naszej nauczycielki polskiego, to by kogo by innego, skoncentruje ją z tym i powie, że z uwagi na jej miejscami karygodne zachowanie wobec nas, część osób zwyczajnie się boi przychodzić na jej lekcje, że musi się to skończyć i...
4673:  KMM - Robił to, o czym pisze Mikołaj, prawda?
4674:  KMM - To jest to świadectwo sprzeciwu jednostkowego.
4677:  KMM - Mimo że to są w zasadzie słowa, których użył, nie powiedział do niej nic złego, po tej wypowiedzi nauczycielka wyszła na zaplecze z płaczem, a klasa zlinczowała go za to, że przesadził i że nie powinien był jej tego mówić na forum.
4686:  KMM - Mimo że sami mieli jej wiele do zarzucenia, ona cofała się chociażby przez krytykowanie swoich umiejętności stanu wiedzy uczniów.
4692:  KMM - Jedna z koleżanek wyszła z pomysłem, i tu się zaczyna przerażający wątek, żeby napisać list do dyrekcji w tej sprawie z prośbą o wydalenie tego chłopaka ze szkoły.
4700:  KMM - Chciała, żeby pod tym listem podpisały się wszystkie osoby z klasy, jako że ja i kilka innych osób patrzyło na tę sytuację kompletnie inaczej i plan się na szczęście nie powiódł, jednak nie ustawali w swoich działaniach, bo uznali, że jeśli ta nauczycielka zrezygnuje z dalszego uczenia nas, co po całym zajściu było bardzo prawdopodobne, dostaniemy kogoś, kto będzie traktował nas jeszcze gorzej.
4718:  KMM - Sama polonistka, podłapując to, czego się obawiają na późniejszych lekcjach, mówiła im, że cała kadra dowiedziała się o tym zajściu i kompletnie nikt nie chce teraz nas wziąć.
4725:  KMM - W dodatku zgodziła się z jednym z chłopakiem z klasy, który z mojego przyjaciela zwał socjopatu, a wszystkie osoby, które nie opowiadały się po jego stronie, sportretowały jako dzieci we mgle, które nie mają własnego zdania i obsesyjnie słuchają swojego kolegi jak dyktatora.
4741:  KMM - Ja westchnąłem, jak to przeczytałem, bo to jest właśnie to, o czym dużo ludzi mówi, że się boi zareagować, bo konsekwencje, bo odpowiedź na to obywatelskie nieposłuszeństwo, nazwijmy to, które w moim przekonaniu, jeżeli jest w takiej formule, jest wzorcowe, to znaczy ten człowiek nie zrobił nic złego.
4762:  MM - Wiesz, znów wracamy do przemocy systemowej.
4767:  MM - Pamiętajmy, że to też nie jest naturalne, że jesteśmy zmuszeni do realizowania obowiązku edukacyjnego.
4777:  MM - To jest pewna konwencja, na którą się zdecydowaliśmy
4782:  MM - społecznie, uznajemy to za coś, co ma przynosić pożądany dobry efekt.
4790:  MM - W imię tej konwencji godzimy się na to, że zmuszamy ludzi do funkcjonowania przez 12 lat z jednej strony w grupie, która bardzo często nawet nie jest zawiązana, w której nikt nie pracuje nad tym, żeby ona się zgrała, bo zakłada się, że
4809:  MM - klasa, jaka jest, każdy widzi.
4811:  MM - Nie ma żadnej pracy ze strony nauczycieli, co oni mogą zrobić.
4814:  MM - Oni mają uczyć, a nie bawić się w to, żeby klasa była fajna i żeby dobrze się ze sobą czuła.
4821:  KMM - To też jest dobrana losowo, jak często powtarzasz.
4824:  KMM - Bez żadnego klucza.
