🔴 Co zrobić, gdy szkolny statut łamie prawo (ft. Dopamina Lab) | ROZMOWA #5
🔗 https://www.youtube.com/watch?v=PClVgzFe-b0
KMM (Krzysztof M. Maj)
AD (Anna Dęboń, Do!Pamina Lab)
RS (Robert Strzała, Do!Pamina Lab)

11:  S07 - Muzyka Muzyka
1793:  RS - to przełożył, że to się dzieje poza szkołą, że ktoś nie wiem, ktoś kogoś atakuje, ktoś kogoś bije, no to wiadomo, że nie będę też nagrywał cały czas tego, co się dzieje, ale to też są jakieś dowody, że ktoś coś ukradł, na przykład nagrałem gościa, jak ktoś ukradł w sklepie.
1810:  RS - W tym kierunku bym poszedł.
1814:  KMM - Jeszcze jedno pytanie, które wybijam na żywo i potem wracamy do naszych wcześniejszych, to znaczy Kinga pyta o zakaz, teraz mi oczywiście zniknął ten komentarz jak zacząłem go czytać,
1833:  KMM - telefonów i braku bezpiecznego dojścia braci na punkt zbiórki.
1835:  KMM - Tego nie rozumiem drugiego, natomiast zakaz telefonów powtarza się w co drugim komentarzu, tutaj też, więc nie się nad tym zastanawiam zawsze.
1847:  KMM - Przepraszam, że gadam, ale wyjaśnię zaraz dlaczego.
1850:  KMM - To znaczy, to powiedziałem kiedyś moim uczonym kolegom i równie uczonym koleżankom wiele razy, jak narzekali na to, że ktoś coś gmera w telefonie, jak jest wykład, bo to jest dokładnie ta sama narracja i ta sama sytuacja.
1862:  KMM - Powiedziałbym nawet, że studenci bardzo często mają więcej powodów, żeby sobie odpalić po prostu heroesy i słuchać wykładu, który jest nudny.
1869:  KMM - Natomiast ja zazwyczaj w takiej sytuacji odpowiadam, że na moich zajęciach jest czasem 150 osób, jest powszechne pozwolenie na używanie laptopów, tabletów i telefonów i jakoś nikt tego nie robi.
1882:  KMM - I drugie, to co za przecinkiem dodaję, to sugeruję uczonym koleżankom i kolegom doprowadzić do podobnej sytuacji na swoich zajęciach.
1891:  KMM - Cóż mogę powiedzieć więcej?
1892:  KMM - Cisną mi się złośliwości na usta w takich sytuacjach.
1895:  KMM - Oczywiście rozumiem, że sprawa jest trochę inna w nauczaniu wczesnoszkolnym, bardzo wczesnoszkolnym, zwłaszcza jeżeli rodzice doprowadzili do sytuacji, kiedy telefon jest uznawany za zabawkę, a nie narzędzie.
1906:  KMM - Natomiast w dalszym ciągu uważam, że jeżeli człowieka się czymś zainteresuje, to można go przykuć na długi czas czymś po prostu atrakcyjniejszym.
1915:  KMM - Jakie jest wasze zdanie w tym temacie?
1918:  RS - Ja może najpierw odbiję trochę, bo u mnie też można na lekcji używać telefonów, jak najbardziej, ale nie mam takiej sytuacji idealnej, perfekcyjnej, że nikt z nich nie używa, wręcz zdarzają się osoby, które po prostu w tych telefonach siedzą, ale wychodzę z takiego założenia znowu z drugiej strony, że skoro ich to nie interesuje, no to cóż, nie mam jakby na to, inaczej, mam na to wpływ jakiś tam,
1944:  RS - ale to nie jest mój wybór.
1945:  RS - Jeżeli nie chcą, nie wiem, słuchać o tym Mickiewiczu albo nie chcą generalnie uczestniczyć w tej lekcji, no to, że to są głównie, to jest szkoła średnia, więc to jakby, to nie jest, to nie jest mój problem.
1958:  RS - Przerzucam na nich troszeczkę odpowiedzialność i zdarza mi się tak, że te lekcje, które prowadzę, one są zwyczajne, no mogą być nudne, no mam po prostu, mam dlatego, nie wiem, no
1969:  RS - Zdarza mi się to po prostu.
1970:  RS - Może częściej, może rzadziej i tak dalej.
1972:  RS - Nie mam z tym problemu, żeby ktoś sobie w tym telefonie siedział, skoro go dana lekcja czy dany przedmiot po prostu zwyczajnie nie interesuje.
1981:  RS - To nie jest jego krąg zainteresowań.
1983:  RS - Ale czy można, czy nie można, to Ania może powie więcej.
1988:  AD - Szkoła nie może zakazać wnoszenia telefonów do szkoły i powinna określić sposób korzystania z nich.
1999:  AD - To jest też kwestia tego, się pojawia, czy można zabrać komuś telefon za karę.
2005:  AD - No nie można zabrać za karę, ale jeżeli szkoła ustali takie zasady i zapisze je w statucie, że jest depozyt, do którego telefony oddajemy, a potem sobie z tego depozytu odbieramy, to może tak ustalić, że to są takie zasady, że takie my mamy.
2024:  AD - Jeżeli ustali
2027:  AD - że jest depozyt przed lekcją, że tam składamy te telefony.
2030:  AD - To też tak może być.
2031:  AD - Pytanie, czy o to nam chodzi, czy też o to, co jest m.in.
2037:  AD - też w podstawie programowej, bo uwaga, jest tam m.in.
2040:  AD - o tym, że uczniowie i uczennice...
2044:  AD - według podstawy programowej mają, nie powtórzę, oczywiście nie zacytuję, ale chodzi o to, że chodzi o kompetencje korzystania z urządzeń i wysokich technologii oraz z internetu w bezpieczny sposób.
2061:  AD - Więc jak tego się nauczyć, kiedy ustalamy,
2068:  AD - że ze względów bezpieczeństwa oraz najczęściej te uzasadnienia, dlaczego tych telefonów nie można używać w szkole też nie dotyczą do tego, że dzieci tam siedzą, grają i spędzają tak czas, tylko te argumenty są takie, że żeby nie nagrywali czegoś właśnie, żeby kogoś nie zrobili komuś zdjęć, żeby te zdjęcia gdzieś nie poszły potem w te internety i żeby przez to drugiej strony nie krzywdzić.
2096:  RS - Żeby ktoś tutaj przez przypadek nie zrobił zdjęcia tablicy, tylko przepisał z tej tablicy.
2106:  AD - No właśnie, jak to też z drugiej strony zakaz używania telefonu, czy też złożenia go do depozytu, uczy i wpływa na tą kompetencję tego, że jednak...
2120:  AD - w postawie programowej jest, że w jaki sposób mamy się nauczyć bezpiecznego i właściwego korzystania z sieci i z urządzeń wysokich technologii.
2130:  AD - Telefon też jest takim urządzeniem.
2133:  AD - Więc zawsze też wychodzę z założenia, żeby znaleźć ten środek, tak?
2140:  AD - Telefon może być znakomitym narzędziem edukacyjnym.
2143:  KMM - Ale absolutnie, Miłosz pisze, że u niego jest kategoryczny zakaz za używanie skonfiskata do odebrania przez rodzica i nagana od dyrekcji, która obniża ocenę za zachowanie źle, że pełen zestaw, bo jeszcze brakuje tylko zesłania do kamieniołomów.
2155:  KMM - Natomiast ja od siebie dodam, że dla mnie jest to tragiczne od tej strony, że dostaję pierwszy rok studentów co roku, którzy po prostu, oczywiście z uśmiechami do moich studentów, bo to nie moich wina, ale wiedzą coraz mniej na temat obsługi absolutnie rudymentarnych rzeczy.
2172:  KMM - Włącznie z wyszukiwarką Google.
2174:  KMM - Znaczy, problemem jest to, że nie potrafią zadać pytania wyszukiwarce, które będzie zwracało to, czego szukają.
2182:  KMM - I mamy już taki mem, że jeżeli czegoś nikt nie umie znaleźć, to ja to znajdę, ale ja bym nie chciał, żeby to był mem.
2187:  KMM - Ja chciałbym, żeby ludzie znajdowali więcej rzeczy, tak jak ja kiedyś jako student znajdowałem więcej rzeczy niż moi prowadzący, a teraz sytuacja się odwróciła i troszeczkę mnie to niepokoi, bo to ja powinienem być głupim boomerem, który nie potrafi używać internetów, prawda?
2200:  KMM - i troszeczkę mnie to przeraża właśnie i w kontekście tego, o czym mówicie, widzę, że jest problem z tym, to znaczy taki kategoryczny zakaz jest po prostu nieinteligentny, to jest raz, ale dwa, jest niezgodny z podstawą programową, z której zwykle szydzę, ale tym razem nawet powiem to słowo bez zaśpiewu, ponieważ jest słuszny mniej zapis i faktycznie powinno być to egzekwowane, więc zresztą Agnieszka tutaj, o którą już wcześniej wywoływałem, powiedziała, że używała aplikacji razem z studentami quizy bodajże do quizów
2228:  RS - Ale jeszcze zobaczcie, teksty możemy sobie przejść, używamy tego na bieżąco, na lekcje nie wszystko wiem, a czasami udaję, że czegoś nie wiem i proszę uczniów, żeby to po prostu znaleźli, odpowiedź na jakieś tam pytanie albo definicję czegokolwiek w tym kierunku, albo zwyczajnie nie wiem.
2246:  RS - Przecież ja nie muszę mieć podręcznika na lekcji.
2248:  RS - Ja mówię teraz o polskim.
2249:  RS - Ja nie muszę mieć podręcznika, bo wszystkie teksty tak naprawdę są w necie.
2253:  RS - I mówię, proszę sobie, weźcie, otwórzcie sobie telefon, proszę znaleźć ten i ten tekst i będziemy teraz go sobie czytać.
2259:  RS - Więc to jest dla mnie... Zresztą, wiecie, to wszystko jest kurczę pod palcem tak naprawdę, a nie w podręczniku.
2265:  KMM - Ja sam tak pracuję, no więc co będę mówić.
2267:  KMM - Właśnie, właśnie.
2271:  AD - Tak, nie można zakazać wnoszenia telefonów do szkoły.
2276:  AD - Tak można określić pewne zasady jego użytkowania.
2280:  AD - Nawet trzeba, powinno się określić sposoby, w jakich te telefony mogą być użytkowane w szkole.
2288:  AD - Może też taką zasadą być depozyt
2293:  KMM - Ale po uśmiechu wnoszę, że nie popierasz tego.
2296:  AD - No niespecjalnie.
2297:  RS - Wiecie, no to jest znowu to samo, to jest znowu oderwanie od rzeczywistości.
2301:  RS - Jakie jest takie drugie miejsce, gdzie są takie zakazy?
2305:  RS - Mówimy na przykład, że nie wypada, że nie powinno się używać telefonu w kinie, że nie powinno się tego robić, nie wiem, w kościele i tak dalej, i tak dalej.
2312:  RS - Ale takich zasad, żeby ktoś mi w kinie kasjerka odbierała telefon, żeby... To koszyczka.
2318:  RS - No bez sensu, no.
2319:  RS - A w szkole takie rzeczy się dzieją.
2320:  RS - Gdzie jeszcze?
2321:  RS - W więzieniu.
2322:  KMM - Dad Gramer, dziękuję Ci serdecznie za trybut, pisze, że prowadzi kurs programowania i kursanci to 80% studentów.
2330:  KMM - Ci się pytają, czy mogą Google'a używać podczas robienia projektu.
2334:  KMM - Zmiana zachowań troszeczkę zajmuje.
2337:  KMM - Ja mogę tylko tutaj sekundować, bo to się wiele razy zdarza i tak jak mówię, nie możemy mieć pretensji do studentów i do dorosłych ludzi w gruncie rzeczy, bo zostali tak uwarunkowani po prostu.
2351:  KMM - Pytanie od Kaji.
2352:  KMM - Mam pytanie w sprawie siostry mojego narzeczonego.
2355:  KMM - Dziękujemy Ci, Kaju, za bardzo dużą precyzję.
2357:  KMM - E chodzi do piątej klasy szkoły podstawowej, ma zajęcia dodatkowe, które mają jej pomóc w lepszym zrozumieniu materiału z lekcji.
2363:  KMM - Nie tylko ona chodzi, ale też kilkoro innych uczniów.
2366:  KMM - Zdarza się, że nie pójdzie na zajęcia, bo sobie zapomni.
2368:  KMM - Nie mają ich regularnie, ciągle musi sprawdzać plan zajęć.
2371:  KMM - Moje pytanie jest takie.
2373:  KMM - Czy to jest legalne, to było w cudzysłowie, żeby nauczycielka powiedziała, że przy następnym sprawdzianiu uczniowie, którzy nie uczęszczają na te zajęcia, nie będą mogli poprawić z tego oceny.
2382:  KMM - Nadmienię, że nauczycielka, która prowadzi dodatkowe zajęcia, jest też nauczycielką, która uczy całą klasę tego przedmiotu, jest to chyba matematykę.
2389:  KMM - Mówiąc szczerze, gdy to usłyszałem, mózg mi przysłowiowo wybuchł.
2392:  KMM - Czy wam też mózgi wybuchają?
2394:  AD - Tak, właśnie mi też.
2396:  KMM - W ogóle to jest o poprawianiu oceny.
2397:  KMM - No właśnie.
2400:  AD - Ja pytam, co jest celem od razu takiego podejścia nauczycielki?
2412:  AD - To są zajęcia dodatkowe, wyrównawcze, czyli zakładam, że to jest dla osób, które mają pewne trudności i potrzebują dodatkowego wsparcia.
2423:  AD - No więc potrzebują dodatkowego wsparcia.
2427:  AD - To są też zajęcia dodatkowe, więc korzystanie z nich jest na zasadzie dobrowolności.
2433:  AD - Tak to rozumiem, tak to czytam.
2436:  AD - Co do poprawiania, no ja rozumiem, że to jest pewien sposób na motywację, żeby chodzić, przychodzić, żeby być systematycznym, tylko czy to działa?
2449:  AD - No chyba nie działa właśnie.
2451:  AD - A jeżeli chodzi o poprawianie, no to zgodnie z przepisami prawa oświatowego nie można czegoś takiego zakazać, dlatego że uczenie się to proces i każdy przyswaja czy też zdobywa pewne kompetencje w swoim własnym indywidualnym czasie.
2467:  AD - Jednemu tabliczka mnożenia zajmie, nauka tabliczki mnożenia zajmie dwa tygodnie, a drugiej osobie zajmie pół roku.
2476:  AD - Ale ostatecznie
2479:  AD - W pewnym momencie obie te osoby posiadają kompetencje, tą tabliczkę mnożenia, tą umiejętność mnożenia i dzielenia na tym najwyższym levelu.
2493:  AD - I jakby nie ma możliwości zakazania czy też...
2503:  AD - Dobra, nie możesz już w ogóle zdobywać tutaj w tym zakresie kompetencji się rozwijać?
2511:  KMM - To jest w ogóle niezrozumiałe, no bo mój mindset jest taki, że dla mnie ocena jako taka w ogóle jest mało potrzebna, ale ja cały czas w zasadzie oceniam, biorąc pod uwagę to, że ja non-stop rozmawiam z ludźmi o tym, co się dzieje i oczywiście, zaraz za przecinkiem dodam, że to jest możliwe, jak są małe grupy, natomiast w momencie, w którym...
2533:  KMM - jest taka rozmowa, to dla mnie jest jakiś feedback.
2535:  KMM - I nie jestem w stanie uwierzyć, to też mówiłem w odcinku, nie jestem w stanie uwierzyć w to, że gdyby zlikwidować te 15 bombilionów klasówek, sprawdzianów i testów, nie miałby nauczyciel czasu na jedną rozmowę na dwa tygodnie z jednym uczniem.
2548:  KMM - Nawet jeżeli ma ich 40 albo 60.
2551:  KMM - Ponieważ wszyscy wiemy, ile zajmuje czasu sprawdzenie tych wszystkich pieprzonych kartkówek w domu.
2556:  KMM - Sam kiedyś byłem zmuszony niestety na praktykach pedagogicznych do sprawdzenia testów, które mi narzucono.
2562:  KMM - To było okropne.
2564:  AD - Też bardzo istotne i ważne jest podkreślenie tego, że ocena sprawdzian i klasówka.
2572:  AD - Najpierw sprawdzian i klasówka to nie są narzędzia kontroli i straszaki, tylko to są narzędzia diagnozy, które mają albo być diagnozą dla osoby, która ten sprawdzian czy klasówkę pisze, coś mi powiedzieć o tym, gdzie ja jestem, co ja już wiem, a z czym mam trudności,
2590:  AD - No i to samo powiedzieć też tej drugiej stronie, tej osobie, nauczycielowi, nauczycielce.
2595:  AD - Czyli to nie jest straszak.
2597:  AD - To nie jest narzędzie kontroli i narzędzie władzy.
2601:  AD - I tak samo ocena.
2602:  AD - Ocena też nie jest straszakiem.
2604:  AD - Nie jest za karę.
2606:  AD - Nie jest w nagrodę.
2607:  AD - Ocena jest informacją zwrotną.
2610:  AD - I nie jest w nagrodę też.
2612:  AD - I ma nam zgodnie z definicją czy celem
2617:  AD - Powiedzieć właśnie to, gdzie jesteśmy, gdzie możemy być, jak możemy się dalej uczyć, co już wiemy, czy mamy trudności, co nam idzie wspaniale i w czym jesteśmy dobrze.
2629:  AD - Czy po takim sprawdzianie z czegoś tam, kiedy dostajemy tą notę 1, 3, 4, 5, co my wiemy o tym, co wiemy.
2644:  KMM - A nawet jeżeli jest przy każdym zadaniu 7,5 punkta na 10, podam prosty case mojego doświadczenia.
2652:  KMM - Ja zawsze byłem noga z matematyki, ponieważ jak się okazało, mój mózg ma ambiwalentny stosunek do tego, czy coś jest siódemką, czy jest jedynką.
2662:  KMM - Ja widzę jedną i tę samą cyfrę.
2665:  KMM - Dowiedziałem się o tym za późno.
2666:  KMM - Natomiast jak widziałem swoje zadanie...
2670:  KMM - Po mojemu wszystko było w porządku i na końcu tego zadania mam ja napisane 7 na 10.
2677:  KMM - Ja nawet nie wiedziałem, na którym etapie ja zrobiłem błąd.
2680:  KMM - Ktoś może tam ewentualnie dać minus mi gdzieś, że zrobiłem błąd, ale to w dalszym ciągu mi nie tłumaczy, co zrobiłem źle.
2686:  KMM - I teraz najlepsze.
2687:  KMM - Szło się z tym cholernym sprawdzianem do katedry nauczyciela i pytało się, że można wyjaśnić, dlaczego dostałem tutaj minus.
2697:  KMM - Czyli...
2698:  KMM - Znowu, patrząc na to z perspektywy oszczędności czasu, po jaką cholerę robić lekcję, na której się poprawia, poprawia kartkówki i podchodzi do nauczyciela i pyta o wyjaśnienia porażek i błędów, skoro można byłoby mieć to napisane, miał ceny opisane.
2716:  KMM - To jest oszczędność czasu.
2720:  KMM - Więc ja tego nie rozumiem.
2721:  KMM - No cieszę się, że nie jestem sam.
2723:  RS - Nie, no ja nie rozumiem tego.
2725:  RS - Znaczy, nie rozumiem.
2725:  RS - Rozumiem.
2727:  RS - Właśnie z tym niepoprawianiem.
2728:  RS - Tutaj cały czas to tutaj się pojawia.
2730:  RS - Śledzimy sobie też ten czat.
2732:  RS - I zabranianie poprawiania albo na przykład są takie ograniczenia, że można poprawić tylko jedynkę.
2737:  RS - Albo można poprawić tylko dwie.
2738:  RS - Tak, to się często pojawia.
2740:  RS - To jest absurd, bo mogę poprawić każdą jedną ocenę.
2746:  RS - Jeżeli jesteśmy już w tej strefie cyferek, ale każdą jedną i dowolną ilość razy można poprawiać i prawo światowe nam na to po prostu pozwala, że jeżeli są takie zapisy w statucie, co tutaj wykazane jest w tym raporcie, że są takie zapisy w statucie, że nie można poprawiać oceny
2770:  RS - wyższej niż jeden, albo można poprawić ją tylko jeden raz, to to jest niezgodne z zapisami oświatowymi.
2777:  RS - Zawsze podajemy ten przykład z prawem jazdy.
2780:  RS - Ja zdałem prawo jazdy za piątym razem dopiero.
2786:  RS - Gdybym miał po prostu za pierwszym razem już być, nie zdałem za pierwszym razem, już nigdy nie będę w życiu kierowcą, już nigdy tego nie zrobię.
2795:  RS - Ale miałem możliwość poprawy i drugi jazd, i trzeci, i czwarty.
2798:  RS - Może kiedyś będę dobrym kierowcą i mam to prawo jazdy.
2802:  RS - Ale gdybym chodził do szkoły, no to już koniec.
2805:  RS - Nie zdałem do widzenia.
2806:  RS - Adieu.
2809:  KMM - Jeszcze pokazuję ten fragment Waszego raportu, gdzie mówicie o tym poprawianiu ocen.
2814:  KMM - Jedyne, co można w takiej sytuacji proponować, szkole, w której jednak takie zapisy są i one są prokurowane całkowicie sztucznie, powtarzam, nie dotyczy to tylko szkół, widziałem także takie zapisy na uczelniach, wtedy...
2828:  KMM - Trochę brzydko w stosunku do nauczania wczesnoszkolnego mówię, że miejsce tego rodzaju wytycznych jest w szkole i teraz przestaję tak mówić, ponieważ wiem, że zgodnie z polskim prawem miejsce tego rodzaju wytycznych nie jest w szkole, bo ja się o tym dowiedziałem od was, że takich zapisy są.
2847:  KMM - Głównie z uwagi na to, że jestem nogą z prawa, jak przeglądałem prawo oświaty, w ogóle tego nie wyczytałem.
2851:  KMM - Natomiast...
2853:  KMM - Byłem święcie przekonany, że to jest właśnie dyspozycja naukowców, którzy się postanowili zabawić w kogoś, kto właśnie będzie nagradzał i karał w taki sposób, a tu się okazuje, że nie.
2865:  AD - Złączenie się to proces.
2866:  AD - Myślę, że to wychodzi z tego, że właśnie, że po pierwsze traktujemy sprawdziany i kartkówki jako narzędzia post-trapu i kontroli, nie diagnozy.
2879:  AD - I co podkreślają zwolennicy tego procesu?
2882:  AD - że no ale ten się przygotował od razu, on się nauczył wszystkiego na ten pierwszy termin i on wtedy wszystko wiedział, to będzie niesprawiedliwe, kiedy ten, który się nie nauczył od razu i nie wiedział wszystkiego na pierwszym terminie, będzie w którymś momencie miał ten sam jakby poziom, tak?
2899:  AD - No ale przecież tak jest, każdy z nas w różnym tempie osiąga pewne kompetencje i pewne umiejętności.
2908:  AD - To nie są wyścigi.
2910:  AD - Rozwój to nie wyścigi, nauka, uczenie się to nie wyścigi, tylko proces.
2914:  AD - I mamy ocenę bieżącą, nie cząstkową.
2918:  AD - To myślę, że też stąd się bierze, że kiedyś dawniej była ocena cząstkowa.
2924:  AD - Cząstkowa, czyli część czegoś i tutaj znowu wchodzimy już w tą średnią.
2929:  AD - Czyli cząstka czegoś, można było tam to pododawać, podzielić i sobie wyciągnąć średnią.
2936:  AD - Dzisiaj mamy ocenę bieżącą, czyli
2939:  AD - Dziś nie umiem, za dwa tygodnie umiem, więc to jest moja ocena bieżąca.
2945:  AD - To umiem, a to, co było wcześniej, się po prostu nie liczy.
2948:  KMM - Czyli rozumiem, że to, o co pyta kaszelot z Keksowic, szanuję za nik, to znaczy ograniczanie czasu na poprawę, również się by w to wpisywało, tak?
2957:  KMM - Znaczy nie ma chyba powodu, żeby ograniczyć czasowo, tak jak ja to dedukuję.
2962:  KMM - No ja pytam, co jest celem.
2963:  KMM - No właśnie.
2964:  AD - Co jest celem wtedy?
2966:  AD - Jestem nauczycielem, nauczycielką, co jest moim celem
2970:  AD - Kiedy mówię, no nie, masz dwa tygodnie na poprawę i na ogarnięcie tego tematu.
2975:  KMM - Ja podziwiam takich ludzi, bo ja gdybym powiedział, masz dwa tygodnie, to po tych dwóch tygodniach bym zapomniał, że to powiedziałem.
2982:  KMM - To jest narzucanie też sobie pewnego reżimu.
2985:  KMM - Więc znowu, też usiłuję to tak formułować, żeby ludzie, którzy być może w ten sposób myślą, zaczęli myśleć o swoim czasie pragmatycznie i zastanowili się, czy...
2995:  KMM - Może lepsza jest sytuacja win-win, to znaczy taka, w której wygospodarowuje się sobie godzinę na Netflixa dziennie, żeby trochę odpocząć, a uczniom zdejmuje się jeden ciężar z głowy.
3004:  KMM - Myślę, że w tej jakiejś sytuacji wszyscy wygrywają i nie ma takiego ryzyka, jaki mamy w tej chwili.
3010:  KMM - To znaczy, że wprowadzona jest właśnie taka restrykcja, która nic nie zmienia.
3015:  AD - To jest w ogóle bardzo ze sobą wszystko połączone.
3018:  AD - Nie umiem też mówić o tych sprawdzianach w klasówkach i ocenach w oderwaniu od tego, że
3024:  AD - No właśnie, że uczenie się to proces i ja to porównuję do takiego właśnie wskazywania na kolejne levele w grze.
3034:  AD - I zarówno 2, 3, 4, 5 i 6 to są wszystkie pozytywne levele.
3039:  AD - I że na samym początku naszej przygody z danym przedmiotem powinniśmy dostać taką informację od nauczyciela, nauczycielki,
3047:  AD - Co musimy wiedzieć, co musimy zrobić, jakie osiągnąć kompetencje, żeby być na drugim, trzecim, czwartym, piątym, szóstym.
3057:  AD - I my jako uczniowie, uczennice możemy sobie to wybrać.
3060:  AD - Ja chcę być tylko na dwa.
3062:  AD - Ja chcę być na cztery.
3063:  AD - I ja powinnam mieć taką informację na dzień dobry.
3070:  AD - Co muszę zrobić, zdobyć, czego się nauczyć, jakie...
3076:  AD - posiąść kompetencje, umiejętności, żeby zdobyć te kolejne stopnie na tej drabince.
3084:  AD - I każdy z nich jest pozytywny.
3086:  AD - I jeżeli ja decyduję, że zostaję na dwa, to to jest moja odpowiedzialność, ja tak decyduję, to jest pozytywna ocena, zdaję do następnej klasy.
3095:  KMM - Jeszcze dorzucę, bo Miłosz mnie przeraża swoimi historiami na czatach, że tak Miłoszu, jeżeli poprawiasz ocenę, to ta poprawiona ocena jest właściwą.
3103:  KMM - Jeżeli ktoś jeszcze z tego wyciąga średnią, to to już jest kompletny absurd.
3107:  KMM - Dodam znowu, że ten absurd funkcjonuje także w akademickim usosie.
3111:  KMM - Tylko, że można zrobić tak jak dużo ludzi, to znaczy certolić się i wyliczać tę średnią, korzystając z narzędzi USOS-a, czyli Uniwersyteckiego Systemu Obsługi Studiów, albo można być Krzysztofem, olać to i wpisać ocenę właściwą, która jest wcześniej poprzedzona komentarzem, żeby student wiedział w ogóle co to wszystko znaczy.
3131:  KMM - I śmieć dalej, jeżeli chodzi o komentarze, mamy ich sporo.
3134:  KMM - Maciek Kowalczyk jeszcze pyta i przepraszając, że jeśli powiela dygresję, szkolne statuty są niezgodne przede wszystkim z prawem oświatowym, to już wiemy.
3142:  KMM - Dobrze byłoby Macieju, żeby wszyscy to wiedzieli, tak nawiasem mówiąc, bo to nie jest wiedza powszechna o zgrozo.
3146:  KMM - Patrząc jednak na aktualność, na polityczną i jej stosunek do systemu edukacji, ciężko nie zadać sobie pytania,
3151:  KMM - Czy nie czeka nas w takim razie zmiana tego sprawa na bardziej rygorystyczne i konserwatywne?
3155:  KMM - Analizując wymienione w raporcie artykuły prawa oświatowego jestem pozytywnie zaskoczony z to, co mówiliście.
3160:  KMM - Jak dużo jest tam dobrego z punktu widzenia nowoczesnego podejścia do edukacji.
3163:  KMM - Aż dziwne, że ministerstwo nie łuki się jeszcze do tego nie dobrało.
3167:  KMM - To był mój dopisek.
3170:  KMM - Tak, dobiera się teraz do edukacji domowej.
3172:  KMM - No właśnie, zaczyna się dobierać podobno.
3174:  AD - Więc śledźmy to, co się dzieje z procedowaniem ustawy umownie nazwanej Leksztajnek 2.
3182:  AD - Wyrażajmy sprzeciw, interesujmy się tematem.
3187:  AD - Żeby to nie było jakieś przepowiednia zła.
3192:  RS - Powiem Wam, że też nam przeszła taka myśl przez głowę, że może czegoś lepiej nie ruszać, bo jest ok i jak ktoś się zorientuje, to jeszcze właśnie nam pozmienia i za chwilę te statuty będą zgodne z prawem, prawo się zmieni.
3207:  S00 - Niestety.
3208:  RS - Może nie, no może nie, bo to jest, wiecie, to jest, może na tym poziomie, na tym poziomie może nie, no bo tam przecież są rzeczy takie, piękne są napisane tak naprawdę w tym prawie oświatowym, o rozwoju ucznia, o wspieraniu ucznia i tak dalej.
3222:  AD - O indywidualizacji procesu.
3223:  RS - Dokładnie, o tym, do czego jest ocenianie, więc... O czym?
3229:  RS - Tego nikt nie ruszy, to jest bardzo ładne.
3232:  KMM - indywidualizacja procesu, niesamowite.
3234:  KMM - Wiecie, akurat na Twitterze pisałem wczoraj, bo miałem rozmowę z tutorką, która prowadzi na Instagramie profil doktorka-tutorka z mojej uczelni i tę rozmowę się ukaże w bunkrze nauki, możecie śledzić, jeśli jesteście zainteresowani.
3252:  KMM - Anywho,
3253:  KMM - Rozmawialiśmy akurat o tym, że program tutorski, czyli program indywidualnego kształcenia, który jest wdrożony u mnie na uczelni, miał stuprocentowy zwrot satysfakcji u studentów.
3263:  KMM - 100% osób spytanych, a spytaliśmy wszystkich, powiedziało, że pak to powinno być na wszystkich zajęciach wdrożone, od zaraz, teraz, natychmiast.
3273:  KMM - To tak a propos indywidualizacji procesu kształcenia.
3276:  KMM - A tutoring, no nie wiem, czy jest na jakąkolwiek skalę wdrażany poza szkolnictwem prywatnym, to znowu pytanie raczej do Was, bo jak rozmawiałem całkiem niedawno z przedstawicielką Szkoły w Chmurze, to mówiła mi, że są wprowadzane elementy tutoringu, ale nie na jakąś wielką skalę, no ale Szkoła w Chmurze jest też inicjatywą prywatną.
3299:  AD - w szkole.
3300:  AD - Ja nie słyszałam za bardzo.
3302:  AD - Słyszałam w szkołach demokratycznych, w szkołach niepublicznych, prywatnych.
3307:  AD - To ma miejsce i się dzieje.
3313:  AD - Chociaż możemy nie mieć też wiedzy, bo być może to gdzieś się wydarza w niektórych szkołach, bo
3322:  AD - Też oddzielmy to.
3323:  AD - Rozmawiamy o statutach, o pewnych praktykach, ale nie są to praktyki wszystkich osób pracujących w szkole.
3329:  AD - Jest też mnóstwo osób, które pracuje zupełnie inaczej i być może też zajmuje się tutoringiem.
3338:  AD - Nie wiemy tego.
3339:  AD - My skupiliśmy się na tym niestety, co nie działa.
3343:  AD - i mamy większą wiedzę na ten temat, ale ja bym też nie chciała iść w tą stronę, że wszystko nie działa i wszyscy są źli i że właśnie takie tutoringi czy inne fajne inicjatywy nie mają w szkołach miejsca, bo mają, tylko wciąż chyba jednak gdzieś są na marginesie i w mniejszości.
3369:  KMM - Czy szkoła z kolei powinna, to jest pytanie od Ziomal Kaw, jeżeli dobrze czytam, albo Ziomal Kaw, czy szkoła powinna zmusić ucznia do chodzenia na świetlicę?
3380:  KMM - Czy uczeń, jeżeli przyjdzie do szkoły w trakcie trwania lekcji, a przed rozpoczęciem swoich może mieć zakaz przemieszczania się po placówce?
3386:  KMM - Dla kontekstu, mój syn lubi pojechać do szkoły 10 minut szybciej.
3390:  KMM - Miałem podobną sytuację swego drogu.
3391:  KMM - Prowadziło to, bo ja zawsze wychodziłem z założenia a wizard is never late.
3396:  KMM - Prowadziło to niestety do problemu, bo nauczycielki kazały mu iść na świetlicę, żeby nie łaził po szkole.
3400:  KMM - Tamżeż dostawał papier do zapisania się na nią i ciągle ponaglania o jej wypełnienie.
3404:  KMM - Ja dziecka nie chcę tam zapisywać, ale nauczyciele mnie do tego zmuszają, nie tyle kontaktując się ze mną, ale męcząc tematem dziecko.
