🔴 Największy koszmar Niedomaga Iamnixa — ELDEN RING: SHADOW OF THE ERDTREE Livestream #6
🔗 https://www.youtube.com/watch?v=X80bC_wf5vI

34:  Iście.
2092:  Gdyby było inaczej, gdyby nasz system dawał nam trochę tak jak w Ameryce, poczucie, że o Boże, I got the power, jestem najlepszy.
2101:  Wiecie, Amerykanie mają w drugą stronę wajchę, że oni myślą, że
2106:  Nie chcę teraz podać bardzo jaskrawego przykładu, ale myślę, że wszystko jest z nimi w porządku, tak?
2111:  Niezależnie od tego, jak bardzo jest z nimi nie w porządku.
2114:  Chyba wiecie też, o jakich jaskrawych przypadkach mówię.
2116:  Nawet jeżeli ze zdrowiem ich jest nie w porządku, to w dalszym ciągu myślę, że jest wszystko w porządku.
2122:  Wtedy się dobiera troszeczkę inaczej argumentację.
2125:  Natomiast uważam, że u nas tego problemu nie ma na taką skalę.
2128:  Mamy odwrotny kłopot, to znaczy uważamy, że wszystko jest z nami nie tak.
2137:  W chwili pośrodku też zasięgi przez przerwę i przerwanie publikacji.
2139:  No tak, ale zasięgi zawsze można właśnie odżywić w momencie, w którym weźmiecie trendujący materiał i trendujący temat, przepraszam.
2147:  I to jest ważne.
2148:  Nie można myśleć, że ojej, będę cały czas zapieprzał.
2154:  Jeżeli chcecie robić tego rodzaju rzeczy, musicie założyć, że będzie taki tydzień, miesiąc, może pół roku, że nic nie zrobicie.
2161:  I co wtedy?
2162:  Trzeba mieć plan B, to jest raz.
2164:  Dwa, jeżeli nie możecie mieć planu B i to jest wasze full-time zajęcie, to wtedy musicie być sprytni, chytrzy.
2173:  Czyli pracować na jak najmniej.
2174:  To jest podstawowa rzecz.
2177:  Nie chcę używać tych perfum.
2178:  Nie chcę używać tych perfum.
2179:  Nie chcę używać tych perfum.
2182:  Niepokoi mnie ten wróg.
2184:  On trzyma lichtarz.
2185:  Nie ufam ludziom trzymającym lichtarze.
2189:  O Boże, myślcie, że to są browny.
2192:  Nazywajmy ich brownami.
2194:  To pasuje.
2196:  Skąd masz tę menorę?
2198:  Zwracaj ją!
2200:  Natychmiast zwróć menorę!
2205:  Skandal absolutny.
2208:  Trendujący temat to też więcej kontent na YouTube, więcej mocniejszych kanałów z tym kontentem.
2212:  Nie jest to do końca takie proste.
2213:  Przecież to nie jest proste!
2215:  Ale ja mam tutaj troszeczkę idealistyczne wyobrażenie, że jeżeli jest trendujący temat, to wtedy dobry kontent się wybroni.
2222:  Ale wiecie, musi być trendujący temat bardzo często.
2224:  Wtedy, kiedy chcemy właśnie wskrzesić zasięgi.
2227:  Wiecie no, mój sposób też w którymś momencie przestanie działać.
2230:  Wymyślę inny.
2232:  To jest...
2234:  Jak to się ładnie mówi?
2236:  Adapt, overcome, tak?
2237:  Improvise, adapt, overcome.
2240:  Improwizuj, adaptuj się i przemóż jakieś niedociągnięcia albo problemy niezależne od ciebie.
2257:  Nie, no ale tylko Hanuki, ja zawsze to mylę, no.
2259:  Przepraszam, Ennea Gramor.
2261:  Szkoda, lubię cenić Filipa, mimo że jesteśmy po... Eseje Filipa, pisze Joe Wu, mimo że jesteśmy po przeciwnej stronie mocy.
2266:  Dla mnie to jest w ogóle epickie, Joe, że potrafisz coś takiego powiedzieć.
2270:  Bardzo niewiele osób umie oddzielić te dwie rzeczy od siebie.
2274:  Szanuję.
2278:  Ej, to jest moja druga, dobra, to jest moja druga ulubiona lokacja, więc dla tych z was, którzy nie wiedzą, gdzie ona jest, jest tutaj, w tym miejscu, trzeba przejść przez tę straszną puszczę, ona jest naprawdę straszna.
2289:  A nie, my jesteśmy tutaj, więc trzeba przejść przez tę straszną puszczę i warto.
2295:  To jest druga najlepsza lokacja w dodatku po Donżonie Cienia.
2303:  W swoim imieniu było Menorah Hanukiya, dziewięcioramienny śnieżnik.
2305:  I stand corrected, Tomaszu.
2307:  Menorah była jedyna w świątyni.
2309:  Właśnie!
2310:  Wiedziałem, że coś mylę.
2315:  Ten obraz to kłamca?
2317:  To zabawne, bo ja nawet nie wiem, co to jest.
2320:  Przed tobą ukryta ścieżka.
2322:  Przed tobą atak.
2326:  Jakie kłamstwo!
2328:  Jakie kłamstwo!
2330:  Gdzie kłamstwo?
2332:  Sądzisz o mapie w Eldenie?
2334:  Lubię!
2334:  Tylko zauważcie, ta mapa jest... To jest cie... Chcecie... Jest... Znowu będzie pigułka groznawcza.
2340:  Mapy mają affordancję.
2341:  I... Affordancję, czyli co możemy z nimi zrobić?
2344:  Jaka jest podstawowa affordancja mapy w Eldenku?
2347:  Transport.
2349:  Tak naprawdę transport, nie nawigacja, a affordancję nawigacyjną ma ta mapa, ta minimapa, czyli ten kompas.
2355:  Natomiast tutaj transport i druga affordancja jest czysto estetyczna.
2360:  No bo, wiecie, ładnie wygląda.
2363:  Więc możemy powiedzieć, że jest światotwórcza affordancja i affordancja, nie wiem, komunikacyjna, w tym sensie, że jest system szybkiej podróży zaimplementowany.
2373:  Więc to jest ciekawa sprawa.
2379:  Jak chcecie wiedzieć skąd to jest, to to jest z książki, którą Wam mega polecam, ona jest dostępna w Libgenie w razie czego.
2387:  Jedna z moich ulubionych książek o mapach w grach wideo.
2392:  Jak to się nazywało?
2394:  Mapping the Digital Space.
2395:  Playful Mapping in the Digital Age.
2397:  Mam.
2399:  To jest ta książeczka.
2401:  I gość pisze właśnie o affordances.
2407:  O Boże, to będzie ich milion.
2411:  O!
2412:  Ale znalazłem.
2414:  To jest... A, bo to jest gecker.
2415:  Dobra, dobra, dobra, dobra.
2417:  Gecker.
2419:  Gecker!
2421:  Nie ten gecker.
2422:  Dlaczego on musi mieć złośliwie dwa akurat... Dwa artykuły musi mieć.
2426:  Szlag mnie jasny trafi.
2428:  Gecker, gecker, gecker, gecker, gecker, gecker, gecker, gecker.
2431:  Gość jest znany.
2432:  Na tym polega problem.
2433:  No przecież ja dostanę po prostu szału.
2437:  Czekajcie, muszę to znaleźć teraz, bo moja neuroza mi nie pozwoli.
2443:  Playing with Maps, to może być to.
2445:  Tak, Playful Mapping in the Digital Age.
2448:  Czyli to jest to, to jest to.
2449:  I on tutaj wypisuje affordancy, ale chciałem jakieś bardziej znane gry.
2454:  A, bo to jest Chris Perkins, widzicie, nie pamiętałem, gdzie to jest.
2458:  A może jak wpiszę StarCraft będzie prościej?
2461:  StarCraft.
2462:  O!
2463:  Oczywiście, że o StarCraft... Jest!
2465:  Oczywiście, że o StarCraftie jest niewiele, prawda?
2468:  No i tutaj macie te affordancje nieszczęsne mapowe opisane.
2472:  Proszę bardzo, jest.
2474:  StarCraft, nie?
2475:  Zmienna minimapa, macie affordancja mastery, czyli to, co jest w Souls-like'ach, nie ma mastery na minimapie, ponieważ...
2482:  No nie macie czegoś takiego, że jak jest mecz StarCrafta, to musicie przełączać się cały czas między głównym polem bitwy, a minimapą.
2489:  Czyli gdybyście usunęli minimapę, to e-sportowcy by nie byli w stanie grać.
2493:  Dobra rzecz.
2494:  PDF-y fuj.
2495:  Ja ci dam, Raccoon, PDF-y fuj.
2497:  One mnie uratowały.
2498:  Ja bym doktoratu nie napisał, gdyby nie PDF-y.
2501:  No, więc jeszcze raz.
2502:  Polecajka Alex Gekker w Playful Mapping in the Digital Age.
2508:  O minimapach w grach wideo i affordancjach, czyli tym, co robimy za pośrednictwem map.
2514:  Ta książeczka.
2517:  Gdyby nie PDF-y, ja bym nic nie był w stanie zrobić.
2520:  Wiecie, ile te książki kosztują?
2522:  Po 300-400 dolarów.
2522:  Dajcie spokój.
2524:  Dlaczego nie lubicie PDF-ów?
2526:  Proszę mi się tutaj tłumaczyć.
2532:  No tak, bo nie trenduje serial, ale ja mam to w dupie, bo wy wspieracie kanał, więc wiecie.
2541:  No ile, ile, no to tak, a wiesz, ja nawet sprawdzę, żeby nie było, że se wymyślam.
2546:  Ciekawy jestem, ile akurat to będzie kosztowało.
2549:  Playful mapping in the digital age.
2557:  No okej, jest tańsze.
2560:  Pięć dyk kosztuje.
2561:  Dobrze, I stand corrected.
2563:  Ale zdarza się, że jest drożej.
2567:  I tak uważam, że pięć dyk to jest za dużo.
2570:  Wolimy epaby.
2573:  No dobra, a jak zacytujesz epaba, jeżeli nie będzie tam numerów stron?
2577:  Haha.
2578:  Nie wszystkie epaby są przygotowane z numerami stron.
2582:  Jeżeli są numery stron, to wtedy git.
2585:  Ale jak nie ma numerów stron, to jest kupa.
2589:  Dla mnie jako byłego geodety mapa ma być jak cebula, ma mieć warstwy.
2592:  Uuu, szafa się odsunęła.
2595:  No nie no, tutaj ta mapa byłaby lepsza, gdyby miała warstwy, no to się nie oszukujmy.
2599:  To absolutnie, tu się zgodzę.
2603:  Widzicie, tu się pojawia znowu modularna struktura lokacji, taką jak lubimy z DS-ów 1.
2608:  Można, można.
2610:  Minąłem trybut.
2611:  Przepraszam.
2613:  Już nadrabiam.
2615:  Kiedy analiza systemu edukacji Hogwartu?
2617:  Dzięki ci Illidan za wsparcie od 21 miesięcy.
2619:  Wiesz co?
2620:  To można kiedyś zrobić.
2621:  Na prima aprilis.
2622:  Wezmę wszystkie patologie z Hogwartu i przedstawię je jako patologie szkolne i nikt nie zauważy.
2630:  Byłem pewien, że tutaj będzie full damage.
2634:  Drzwi były przy iluzji do łaski?
2637:  Serio?
2641:  Ja mam wrażenie, że ja byłem już przy tych drzwiach.
2647:  Ale może się mylę.
2650:  Czy ja nie... To jest jakieś inne miejsce.
2656:  Gdzie ja jestem?
2658:  Co się dzieje?
2659:  Czemu ankieta o kolorach?
2660:  Azuni, bo testujemy funkcjonalność YouTube'a.
2663:  Różne miniaturki się odpalają, wiesz, w zależności od tego, kto ogląda.
2672:  I widzę, że czerwona dominuje.
2676:  I have no memory of this place.
2677:  Zawsze.
2679:  Nie no, wydaje mi się, że wszystkie znalazłem piękne skróty.
2688:  Mam bardzo złe przeczucia.
2691:  Co jest najsilniejszym zaklęciem, które mam?
2705:  Już wiem, że nie to.
2713:  Ostatnio widziałem tej, że warto płacić za każdą książkę akademicką i z których się w kieszeni otwiera.
2717:  Powiedz mi, kto to powiedział, a naśle na niego Homelendera.
2722:  Iga jest Janem Nikołajką i nani, nani otrzymuje wsparcie od Igi.
2725:  Joch, dziękuję.
2728:  No autentycznie, jako autor książek naukowych mówię wam, piracie książki naukowe, my nie dostajemy żadnych pieniędzy z tego.
2734:  Znaczy, różnica może być, jeżeli nie chodzi o niektóre wydawnictwa anglosaskie, ale te bardziej uczciwe.
2739:  Wiecie, na przykład Oxford University Press płaci, a Elsevier nie.
2743:  Ciekawe dlaczego.
2746:  Może dlatego, że to Francuzi.
2748:  Brzydliwi Francuzi.
2756:  Wiecie co?
2757:  Oberwie perfumami.
2760:  Mnie ogniem?
2760:  Mnie?
2762:  Won.
2764:  Ktoś jeszcze?
2773:  Jest jeszcze drugi.
2774:  Oczywiście, że jest drugi.
2777:  Ale te perfumy są OP.
2778:  One dają im taki stagger.
2782:  A ja cały czas nie mam dobrego skalowania.
2783:  Przed tobą ukryta ścieżka.
2785:  Kłamstwo!
2787:  Przed tobą kłamca.
2790:  Czyli generalnie z tymi... Aha, ludzie zamiast, żeby oszacować coś jako niemarne, jako marne, przepraszam, powinni to robić, szacować przed tobą kłamca.
2805:  Różnica jest wtedy, kiedy jesteś wydawcą i sam kasujesz za swoje książki.
2808:  No tak, tak, no wtedy można bardzo dużo zarobić.
2811:  Przykładem chyba tego był Szafrański z bloga, jak oszczędzać pieniądze, prawda?
2815:  On zarobił jakieś miliony na książce litości.
2821:  Oj, tutaj trzeba zrobić skoku, skoku.
2826:  No, słyszycie, tylko ja nie lubię Francuzów.
2828:  Każdy Francuz, jakiego spotkałem w życiu, prócz jednej właścicielki jamnika...
2833:  Mojej kumpeli, Julie, był antypatycznym gnojem.
2838:  Każdy.
2839:  W historii, nie w historii, w realu, zawsze.
2843:  Nie wiem, na czym to polega.
2846:  Okropne.
2848:  No ale wiecie, jeżeli ktoś ma jamnika, to nie może być automatycznie antypatycznym gnojem.
2853:  Czemu dostałem prohoczcigodnego ducha?
2855:  Ani mnie to interesuje, ani mnie to cieszy.
2859:  Tam byliśmy z pewnością.
2863:  Nie można się chwycić drabiny.
2866:  A, i tutaj był ten skrót łup.
2870:  Aaa... Okej.
2879:  Samony ulepszone.
2882:  Jak to nie odblokował skrótu?
2884:  A trzeba kopnąć drabiny?
2885:  Aaa...
2888:  Jak duża część wiadomości też zmyśla, czy przeszkadza Ci nazywanie Krzysiem?
2892:  Krzysztof.
2895:  Krzysztof.
2897:  Tak to ujmijmy.
2898:  Nie!
2899:  Czemu ja spadłem?
2901:  Szanakujomi otrzymuje wsparcie.
2902:  Święty Jamnik Fumineko od Janomina.
2905:  Dziękuję serdecznie za wsparcie społeczności i kanału.
2910:  Jamniki dla Janomina.
2911:  Jamnikołaje.
2912:  Sigismund jeszcze otrzymuje.
2913:  Historyczka sztuki.
2917:  Czasem doczytuję resztę wiadomości w myślach, a przeczytam tylko na głos początek.
2922:  Ale to wiecie, to jest głównie po to, żeby oszczędzić czas.
2928:  Bo czasem czat miga.
2930:  Czekajcie, czy to nie było tutaj na dole?
2933:  Teraz się pogubiłem tak totalnie.
2935:  Fest się pogubiłem.
2937:  Nikt nie używa słowa fest, prawda?
2939:  Chyba tak jest.
2941:  Dobrze, teraz zacznie się festiwal błądzenia, a nie.
2946:  Łaskę już odkryłem.
2947:  Jezus, oczywiście, że tak, masz rację.
2951:  Przecież po co ja to robię?
2956:  Interlokacyjność to jest coś, co będziemy widzieć częściej w Elden Ringu 2.
2959:  No mam nadzieję, to nie była ta łasunia.
2963:  Mam nadzieję.
2964:  Znaczy ja szczerze czekam teraz bardziej na Sekiro 2, jeżeli będzie.
2967:  Chcę Sekiro 2 albo Bloodborne, remake Bloodborna albo Bloodborne 2, cokolwiek.
2973:  To było tu?
2980:  Czy ktoś jest zdziwiony?
2986:  Ducha ulepszasz, duchy przy łasce?
2988:  Duchy można ulepszać przy łasce?
2992:  Wow!
2993:  Błogosławieństwo Królestwa... A, te!
3001:  Aaa!
3006:  Zapomniałem o nich!
3009:  Dziękuję!
3010:  Właśnie, co one dają?
3011:  Czy one dają coś podobnego do tego głównego błogosławieństwa?
3021:  Lepszym kosztem z niego korzystam.
3023:  No nie, bo nie mam 25 wiary.
3025:  Więc możemy robić w ten sposób, żeby teraz, skoro mamy już 30 zręczności, dobić tej wiary.
3034:  Żeby była.
3034:  No na coś i tak musimy wydawać runy.
3046:  Jezus Maria.
3050:  No mało tych prochów, bardzo dłufeni.
3055:  Seledynowy kostr z podstawki, tak?
3060:  Mam go, tylko że jest jeden problem.
3062:  Mianowicie on zużywa nam... No ale skalowanie ma lepsze, zobaczcie.
3070:  Dobra, niech wam będzie.
3072:  Ale on bardzo mocno podniesie nam zużycie many.
3078:  Okej.
3093:  To nie może być koniec To nie był koniec
3125:  Gdyby to był koniec, to byłoby to bardzo zabawne.
3132:  Jezus.
3133:  Co on robi?
3154:  Jak Ludwig trochę.
3159:  Łoboś.
3163:  Tu jest jakiś bezgłowy theme.
3169:  W tej lokacji.
3172:  Jesus Christ.
3204:  Dzięki za oglądanie i do zobaczenia w kolejnych odcinkach.
3235:  Czekaj, to ja jednak go będę trzymał na dystans.
3238:  Ale fajne są uniki.
3241:  Jest obrzydliwy, jest przepiękny ten design.
3247:  Łoł.
3249:  Łoł.
3251:  Wiecie co, walniemy w niego pociskiem grawitacyjnym na dzień dobry.
3255:  Czy on będzie za każdym razem?
3257:  A tak.
3271:  Przynajmniej mamy czas na runy.
3275:  Nie.
3290:  Okej, pocisk grawitacyjny widzę ma tę wadę, że on nie jest samonaprowadzający.
3296:  Czyli na bossów nie będzie doby, tak, mobilnych.
3303:  Obudziłeś boga, teraz trwoga pisze do mnie Gajewski.
3305:  Tak!
3309:  Mam bardzo opóźniony atak, widzę, okej.
3312:  Bardzo opóźniony.
3313:  Yyy...
3320:  Jak pochodnia.
3323:  Pociciel grawitacyjny w ogóle nie nadaje się na bossów, chyba że na minionów.
3326:  Wiecie co, żeby nie utrudniać sobie życia... Ja to wyeliminuję.
3336:  To jest Bartolinieze.
3338:  Szalony boss.
3342:  Wiecie co, ja może w pierwszej fazie wezmę runy.
3347:  To wydaje mi się logiczniejsze.
3357:  Teraz tak, weźmiemy sobie łyczek na drugą fazę.
3361:  Czy ja w niego mogę pieprząć Azurem na początku?
3365:  To nie jest chyba dobry pomysł.
3373:  No nie zrolowałem tego dobrze.
3382:  Okej, teraz.
3402:  Nie lubię takich staggliczy.
3405:  Bardzo, bardzo nie lubię.
3407:  Nie lubię.
3419:  Dobra.
3419:  Muszę, muszę nauczyć się opóźnionych uników przy nim.
3426:  Czemu masz tak mało slotów na maga, jak grasz magiem?
3429:  Nie ma już znajdziek zwiększających sloty.
3431:  Poza tym są zakręcia, które zużywają dwa razy więcej.
3435:  Na przykład kometa Azura zużywa trzy na raz sloty.
3442:  Ta ma podobny moveset do transferki.
3445:  Też trzeba z dużym opóźnieniem uniknąć.
3456:  Rozpróbujemy gwiazdami ruiny go.
3460:  Kup tarczę.
3461:  Nie!
3472:  Nie.
3473:  Przyszczanie.
3474:  Nie.
3477:  Jest Księżyc Noxter i on daje tych zlotów na magię.
3480:  Tak, mam ten amulet, mam ten amulet.
3483:  Jeszcze jest jeden pomysł, na który wpadłem.
3485:  Żeby go walnąć, Księżycem rani.
3488:  Teraz jeszcze opcja.
3491:  Może wyciągnąć ten drugi kostul?
3492:  O Jezus Maria, dlaczego ja tego nie zrobiłem?
3496:  Czekajcie, to trzeba zrobić inaczej.
3498:  O nie, nie, nie, nie.
3499:  Teraz mi się wszystko popierniczyło.
3502:  Jeszcze raz wyposaż... wyposażenie powiedziałem.
3504:  Dziękuję.
3506:  Dobrze.
3508:  To już rozumiem, dlaczego nie miałem dobrego castu takiego, jakiego bym chciał.
3513:  No dobrze, jest.
3522:  Frenzit Flame.
3524:  Gdzie moje runy?
3525:  Aha, tutaj.
3530:  Okej.
3535:  Jestem, czy ktoś zginął od niego?
3541:  ja powinienem był okej
3566:  Oficjalne wyniki sprzedaży DLC 5 milionów od premiery.
3569:  Czy to będzie już talizman znacznie przyspieszony przez rzucenie zaklęć z quest'a?
3573:  Nie.
3574:  Nie, mam tylko, mam talizman Radagana.
3576:  Radagona, przepraszam.
3577:  To jest jedyne, co mi przyspiesza zaklęcia.
3580:  Nic więcej.
3588:  Jeszcze niektóre razy to jeszcze usłyszę.
3597:  Dobra, przerzucę sobie od razu na eliksir zdrowia.
3600:  I teraz tak.
3602:  To jest talizman od Ymir'a, okej.
3606:  Jest.
3608:  Jest, dobrze.
3658:  Długi ma zasięg, bardzo.
3682:  Masz stagger na tym?
3683:  Nie.
3686:  Nie ma staggera na tym, niedobrze.
3690:  Dobra.
3692:  Może na tym będziesz mieć... Nie, nie ma.
3701:  Trzeci raz jeszcze, już.
3711:  Koniec.
3719:  Bus jest za wolny, jest idealny.
3723:  Przy obecnym przejściu wybrałem zakończenie szalonego płomienia właśnie przy Dorianie.
3726:  Nie, zero spojrni!
3729:  Jak dźga jest zawsze wybuch.
3730:  Tak, zauważyłem.
3732:  Często dźga.
3735:  Stary Mikołaj, a propos filmu, chciałby pochwalić swojej liceum za niewnoszenie uczniów spadki na piedesta.
3739:  Niewiele jest takich, wbrew pozorom.
3742:  Muzyka w tle robi robotę.
3744:  Nie zwróciłem na nią uwagi, jestem zbyt skupiony.
3761:  Dobra.
3762:  Nie, nie, to jest boss, którego naprawdę chcę bez salmonów zrobić.
3809:  Bardzo daleki zasięg.
3815:  Z karyjsko-falangą?
3818:  Może.
3820:  Możemy spróbować.
3823:  Ale ona ma i tak długi czas castu.
3828:  Na pewno mogę wymienić Azura.
3831:  Azura nie będę miał czasu.
3832:  Na to też nie będę mieć czasu.
3836:  Jeszcze myślałem o Księżycu Rani.
3840:  Tym podwójnym, wbrew pozorom.
3843:  Ale pojedynczy też wezmę.
3845:  I Karyjska Falanga.
3846:  Dobra, zobaczymy.
3849:  Może być ciekawe.
3851:  Nie próbowałem jeszcze tych dwóch księżyców w walce z bossami.
3857:  Który level?
3858:  Już nie ma to te znaczenia, Konradzie, wiesz?
3861:  Za bardzo w dodatku.
3863:  Coś blisko dwusetnego jestem, to znaczy będzie cały czas.
3873:  No dobra, i zobaczymy, bo teoretycznie mógłbym walnąć mu te bliźniacze księżyce teraz, od razu.
3881:  Nie, za daleko jestem.
3890:  Nie, on nie wtedy jest w stanie, niestety, zdjąć mnie.
3895:  Bliźniacze księżyce, jak widać, nie.
3897:  Bliźniacze księżyce w wersji bossowej były na całą arenę.
3901:  W wersji naszej są tylko pod nami.
3905:  Miło dla odmiany, zobaczyć bossa, przy tym da się unikać.
3907:  Prawda i da się nauczyć uników.
3911:  To jest dobra wiadomość.
3915:  Dobra, bierzemy tę falangę.
3917:  Rol do niego działa?
3918:  Działa.
3940:  Nie wyszło tak, jak chciałem.
3946:  W ogóle nie wyszło tak, jak chciałem.
3957:  O!
3957:  Jeszcze to nie ma zasięgu na całą mapę.
3968:  Też miła odmiana.
3976:  Widzicie, to dlatego nie lubię tej karyjskiej falangi, bo ją trzeba kastować.
3981:  Często.
3982:  A obrażenia, które ona zadaje, są infinityzymalne.
3990:  To jest boss typu jedno zaklęcie i lecisz.
3994:  Nie ma czasu na zmienianie.
4008:  Żadna tam karyjska falanga.
4017:  Ostatnio wyszedł filmik, widziałem go Jarku, gdzie ktoś pokazywał jak bardzo uniki są gorsze od zwykłych skoków czy biegania po przekątnej do bossa.
4023:  Tak, wiem.
4025:  To prawda.
4028:  Zauważyłem.
4030:  Tak, falanga jako wspomagacz podczas walki to jest absolutnie, absolutnie to.
4038:  Żeby zadać jakieś obrażenia na początek, prawda?
4041:  Potem sobie przerzucimy na księżyc.
4060:  O, on ma stagger po tym!
4071:  Ja nawet nie będę próbował, moi drodzy, uników w postaci uskoków.
4094:  Nie.
4095:  Za dużo roli.
4097:  Pieprzyć runy.
4098:  Dekoncentrują mnie.
4107:  Muszę się skupić na walce, a nie na bieganiu po nie.
4112:  Czy język polski zawiera w miarę popularne odpowiednie frazy comfort food?
4115:  Nie znam.
4120:  Dostaniemy za niego 150 tysięcy i tak, więc i tak nie byłoby na level.
4126:  Zresztą co ja za ten level kupię?
4129:  No, za dużo zakręć mam.
4144:  Okej, nie wiedziałem, że on to może tak zespamić, ale może.
4165:  Za dużo zakręć jest.
4168:  Nie, ale ta flanga w trakcie samej walki zadaje za małe obrażenie.
4193:  No nie.
4198:  Miecz Frostbite nakłada.
4200:  Za wolny.
4206:  Daje 490 tysięcy run, czyli będzie dokładnie na jeden level.
4212:  Falangę się na stagger daje.
4215:  Może.
4215:  Nie wiem.
4216:  Nie zauważyłem, żeby ona dawała jakiś wielki stagger.
4230:  Rosu to comfort food.
4236:  No nie, nie miał stagera.
4244:  Przy tym ma.
4245:  Nie, też nie ma.
4277:  Pamiętaj, że Księżyc Rani jest dobry, bo po dwóch, trzech atakach nakłada wymrożenie, więc wtedy więcej bijesz.
4282:  Wiem.
4283:  Ale podwójny Księżyc Rani to jest oficjalnie najgorsze rozczarowanie tego dodatku.
4290:  Podwójny Księżyc Rani, który nam zadawał obrażenia takie, że ja nawet tego nie skomentuję, po czym Zaklęciek to jest bezużyteczne totalnie.
4297:  To też jest bezużyteczne na tym etapie.
4300:  I tyle.
4306:  Bozu, no zajebiście Vancouver, absolutnie.
4308:  Słowa, słowa nie dam na niego temat powiedzieć.
4312:  To jest, takich bossów chce.
4316:  Jeszcze walka jest ciekawa lore'owo do tego wszystkiego.
4322:  Czeka jestem, czy nałożył falangę, czy nie.
4324:  Nie.
4324:  Nie.
4335:  No, nie wiem jak to z tym podskoczeniem, moi drodzy, ale nie podoba mi się to.
4352:  Dominiku, dziękuję Ci za trybut.
4354:  Nie mogę na razie przeczytać.
4369:  No to podnoszenie, błogosławieństwo, ostodrze, a to ja znam.
4372:  Przecież to robiliśmy ostatnio.
4374:  Jestem 14 poziom, czy coś takiego.
4379:  Muszę więcej mieć leczenia na tę walkę.
4404:  Miałem bardzo dużo już, bardzo już dużo już tych ulepszeń z dodatku.
4412:  Tak.
4413:  Żeby nie było tej prostokątnej areny, na razie mi się nie dała we znaki, ale i tak ich nie lubię.
4417:  Mówiłem 12 i 5, bardzo dużo.
4422:  Swoją drogą, gdy gracz robi zakończenie na połomie szaleństwa w podstawce, to spala i zabija nawet torrenta.
4426:  Połomie szaleństwa zabija nawet duszę.
4427:  Czysta entropia fizyczna i transcendenta, dodaje Mernorow.
4443:  Dobra, mamy księżyc, mamy to.
4458:  Dobra, raz trafiliśmy księżycem.
4466:  Nie umiem wyczuć tego jego... tej pauzy między tymi dwoma atakami, a ma.
4483:  Oho, za późno.
4485:  Wiedziałem.
4487:  Nie lubię jak mi mogą przerywać zaklęcia, bardzo tego nie lubię.
4493:  Bardzo.
4495:  Już mam szaleństwo nabudowane, więc w zasadzie przegrałem.
4529:  Za mało mam leczenia.
4548:  Okej, jest coś w rodzaju drugiej fazy.
4559:  Już zacząłem chwalić, że nie ma ataków.
4580:  O przerw.
4587:  Nie spodziewałem się ataku na całą arenę.
4590:  Bo się skończyłem DLC, dowiedziałem się, że w ostatnim bossie, z którym się bardzo męczyłem, są dwa posty na reddicie, że jest niemożliwy do przejścia.
4597:  Naprawdę?
4599:  Nie no, ale został już pokonany chyba.
4604:  Dobra.
4606:  Ale zaczynają powoli wchodzić uniki, to mnie cieszy.
4612:  Jak się nauczymy uników w pierwszej fazie, to będzie łatwiej w drugiej.
4618:  Aj, znowu.
4620:  Za wolno.
4623:  Dzięki za oglądanie!
4653:  Ta... bardzo daleka jest ta szarża.
4655:  Bardzo daleka.
4660:  Koniec.
4668:  Próbowałem na tego minionka przypocząć zabić kometa Ezura, a po co?
4672:  Żeby stracić manę?
4673:  Bez sensu.
4682:  No, odmiana nie była dobra próba.
4686:  Ale to ma być szansa, znaczy ten boss ma szansę na bycie lepszym dla mnie od Renali.
4718:  Znowu nie wziąłem.
4725:  Ej, czemu nie miałem invincibility frames przy tym?
4731:  To jest nie fair, byłem w powietrzu.
4744:  Kurczę, za...
4747:  Za daleki jest ten atak.
4748:  Niesakowite.
4755:  Do 300 zgonów się nauczy?
4756:  Pewnie tak.
4761:  Wypróbuj kiedyś błyskamienną strugę, niedoceniony spel.
4765:  Nie wiem, jak to się nazywa tutaj.
4768:  Ale wiem jedno.
4770:  Potrzebuję innego przydziału butelek.
4773:  To znaczy... Nawet tak.
4779:  Druga rzecz, której potrzebuję, to wypieprzyć zaklęcia, których nie używam.
4782:  No, będzie ciężka decyzja.
4783:  Na pewno tego nie używam.
4787:  Błyskamienna struga, mówicie.
4789:  Nawałnica kryształów, to jest to?
4793:  Nie... Prawdopodobnie nie mam tego.
4801:  Budzisz zadziwiająco ponad poziom zaprezentowany przez dzika i druida.
4804:  Tak!
4810:  To prawda.
4824:  Dobra.
4830:  Myślałem, że będę mieć szansę na... ale nie.
4834:  Dobrze!
4834:  Poszło!
4838:  On się teraz zemści na mnie strasznie.
4894:  Jak tego uniknąć?
4898:  Jak zawsze przy atakach obszarowych nie wiem.
4906:  Nie wiem, w jaki sposób tego unikać.
4911:  Strasznie wcześnie wchodzi ta druga faza swoją drogą.
4915:  Nie mam pojęcia, jak to unikać.
4918:  Do niego się unika?
4919:  Diabli wiedzą, to jest strasznie nieintuicyjne.
4926:  Palącą podłogę do skakania?
4929:  Nie umiem skakać w tej grze.
4942:  Dwóch rzeczy nie umiem.
4943:  Unikać AOE i skakać.
4945:  A to się łączy.
4958:  Co jest?
4961:  To już...
4969:  Mam za dużo już nadbudowanego tego statusu.
4986:  Fuck.
4993:  To był podskok, ale nie wyszedł jak widać.
4999:  Nie mam zielonego pojęcia, w jaki sposób to robić.
5009:  Nigdy nie miałem jeszcze szansy nauczyć się tych podskoków.
