🔴 Niedomag Iamnix w Królestwie Cienia(sów) — ELDEN RING: SHADOW OF THE ERDTREE Livestream #2
🔗 https://www.youtube.com/watch?v=cyUdPUnJe74

1:  Taki jest sens banana.
4327:  Albo Ruś, albo Prusy.
4330:  Dramat.
4332:  No dobra, nie byliśmy faktycznie w tym miejscu.
4336:  A może by... Nie no, myśmy tutaj byli.
4339:  A nie!
4341:  Jest smok!
4344:  Jest smok!
4351:  On po prostu wygląda jak zwinięte gałęzie.
4360:  Nie!
4361:  Gra muzyka!
4365:  Ale to nie jest walka z Midirem, moi drodzy.
4367:  Walki ze smokami w Eldenie.
4377:  Graj muzyko!
4379:  To nie jest to samo.
4386:  Graj muzyko głośniej!
4405:  O, jak spryciarz!
4410:  Może nam man nie wystarczy na niego?
4416:  To się źle skończy.
4443:  Widzicie, i tego brakowało przy Eldenbeast.
4446:  To renta.
4447:  Jak to dobrze, że teraz już jest.
4471:  Wystarczy nam many?
4471:  To jest pytanie.
4490:  Najlepsza walka z Prajadzem Smoków.
4492:  Oooj, tak, tak, tak.
4494:  Placidusax, genialny.
4495:  Musimy zwiększyć liczbę many na tę walkę.
4500:  Bo jest za mało.
4502:  Oj, za mało, za mało, za mało.
4503:  Mana, mana.
4504:  Błogosławieństwa Królestwa Cieni też sobie odpalimy.
4507:  Dwa prochy Czcigodnego Ducha zużyte już.
4509:  Dobrze, buteleczki.
4511:  Przydzielenie ładunków, budelki.
4514:  Tak zrobimy.
4517:  Moulet Manny?
4518:  Nie mam amuletu Manny jeszcze, bo to jest podobno coś, co zostało wprowadzone tutaj.
4522:  Nie wystarczą nam życia.
4522:  Nie, ale to jest... GRID.
4524:  GRID, moi drodzy.
4525:  GRID isn't good.
4527:  W sumie z doktoratem jest jak z wynalazkiem, gdzie też jest wymóg innowacyjności.
4529:  Absolutnie red right hand.
4531:  Tylko stan nauki zastąpiony jest stanem techniki.
4533:  Czy przydałbyś coś takiego jak rzecznik patentowy?
4535:  Wiesz co, to nie jest głupi pomysł, żebyśmy mieli w ramach doktoratów również patenty.
4541:  To jest dobry pomysł.
4543:  Rzut oka na przedmioty.
4544:  W sumie sobie możemy to zrobić.
4545:  Zobaczymy sobie nowe przedmioty, jakie dostaliśmy.
4547:  Wielka katana ma.
4550:  Oręż ten stworzony w agresywnym działaniu.
4553:  Niesamowite.
4556:  Czy to jest wszystko?
4560:  To jest wszystko, co... Mieli nam do powiedzenia o katanie.
4564:  Ale smutne.
4565:  Tu są jakieś nowe rzeczy.
4566:  Widły demona krwi.
4569:  Przymiot używany podczas ofiar składanych w bezkształtnej matce.
4573:  Kim ona jest?
4574:  Talizmem zewnętrznego boga zwiększa mistycyzm.
4576:  Okej.
4577:  Ruch przepełniony mocą duchów.
4579:  Tygiel ma wyjątkowo silny wpływ na bestie stulectwa cieni i sprawia, że wbrew ich zwyczajowemu fenotypowi wyrastają im rogi.
4586:  Fenotyp w odróżnieniu od genotypu to są cechy zewnętrzne.
4592:  Okej.
4594:  Czyli tutaj to jest ta magia rytualna krwi, o której mówiliście.
4598:  Dobra.
4600:  Dzwonek kulisty rogatego przez sprzedawcę sznurków.
4602:  Daj go cieniom bliźniaczej słuszki.
4603:  Okej, nie wiem o co w tym chodzi.
4608:  Załóż sobie do długiej rąsi taki zielonkawy kryształowy kostrum, przyspiesza kasty.
4613:  To jest jeden problem, to znaczy ja nie wiem jak to się będzie zachowywało z moim zestawem broni, nie z kataną.
4618:  Tego nie wiem.
4621:  O Jezu, teraz smok już jest aktywny od samego początku.
4627:  Not good, not good.
4629:  W ogóle jak to jest, Terna Magica działa po prostu jako... W jednym miejscu ona chyba działa, w jednym miejscu działa ta.
4638:  Piękny design smoka, nie to co w Dragon's... no, w Degare, no.
4642:  Wiesz, obyć to powiedzieć.
4643:  Czy są moje runy?
4649:  Okej, tam.
4653:  I knew it.
4660:  Dobra.
4666:  Zobaczymy.
4674:  Nie dojdę!
4685:  Dobra.
4688:  Co tutaj zrobić z nim?
4694:  Mało zadajemy.
4695:  Ale mamy dużo money.
4700:  Chyba te gwiazdy ruiny były jednak najlepsze.
4709:  To potrwa.
4710:  To smoka, to nie smoka, wiwerna.
4715:  No w sumie racja.
4717:  Praca magisterska nie ma wymogu innowacyjności?
4719:  Nie ma.
4720:  W pracy magisterskiej masz zrobić opracowanie materiału na poziomie naukowym.
4727:  W pracy licencjackiej masz opracować jeden przykład najczęściej.
4731:  Prace inżynierskie miewają wymog innowacyjności za to.
4737:  Dobra, co z tym kosturem, o którym mówiliście?
4741:  Orange trzeci prawa ręka, orange pierwszy lewa ręka.
4746:  Oręż drugi rewelenka.
4748:  Zielony kostur, mówicie.
4750:  Przyspieszające kastowanie.
4755:  Ja nie wiem, czy to na mnie zwiększy roli, wiecie.
4758:  Czy to chodzi o błysk kamienny kostur Azura?
4762:  Skraca czas rzutania wszystkich czarów, ale zużywa dodatkowe punkty.
4765:  Nie, to ja wiem, o czym mówicie.
4767:  Nie możemy sobie pozwolić na to, żebyśmy zużywali jeszcze więcej many.
4772:  jest innowacyjność, wymyślasz coś, co jest nowe.
4774:  Albo opracowujesz coś, co jest stare w nowy sposób.
4778:  Proste.
4780:  Witamy wszystkich przybywających.
4782:  Więc nie mogę, moi drodzy, zaryzykować, że będziemy mieli jeszcze mniej many, bo jak widzicie, zaczyna to być spory problem.
4789:  Musimy pomyśleć troszeczkę o wydłużaniu.
4792:  O, tutaj jest posążek Mariki, którego nie aktywowałem, ale słabe.
4799:  Czemu on się nie aktywował sam?
4801:  Tego nie wiem.
4810:  Po runy!
4822:  Trzeba uważać na te ataki skrzydłami.
4831:  Dobrze!
4832:  Wyniszczaj przeciwników innych.
4835:  W łeb dostał.
4836:  Czemu... Dobra.
4856:  Tym będzie lepiej.
4866:  Dwa, trzy, cztery.
4869:  Tyle?
4871:  Jest.
4873:  Dobra, szarża.
4876:  Good.
4888:  Dobra, liczę na to, że zrobi on właśnie coś takiego.
4899:  Fuck.
4899:  Na to nie liczyłem.
4903:  No niestety.
4905:  Chciało się... Zadać więcej obrażeń.
4912:  A najgorsze jest to, że jak nam zabiją naszego konia, to ja wtedy nie mam szansy go wskrzesić szybko.
4921:  Turcy nie doszacowali balansu pod przechodzenie wyłącznie magią.
4923:  No shit.
4925:  Wiecie...
4928:  To jest coś, co przechodzimy na tym kanale od zawsze, to znaczy, że magowie są strasznie w grach niedowartościowani z tego względu, że wszystkim się wydaje, że potrzebują wyłącznie nerfów.
4940:  Czy może mi ktoś wytłumaczyć, dlaczego posążek Mariiki nie zadziałał?
4945:  Nie wiem.
4947:  Jeżeli praca inżynierska ma bóg innowacyjności, to sposób magisterski od studiów inżynierskich do tego stopnia.
4951:  No wtedy tak, znaczy studia techniczne mają to zrobione lepiej niż humanistyczne.
4958:  To absolutnie.
4959:  Ale wiecie, to też nie jest reguła.
4961:  Na Politechnice?
4962:  Tak, będą tego wymagać.
4964:  A czy na UW będą tego wymagać lub na UJ?
4966:  Nie zawsze muszą.
4977:  Wiecie co?
4985:  Czemu nas nie widzi?
5003:  Dobrze.
5004:  Torrent!
5004:  Dobrze!
5017:  Dobra.
5019:  Odjeżdżamy daleko.
5021:  Jest bardzo dobra sytuacja teraz.
5024:  To nie był pociążek Marigi?
5025:  Co to było?
5030:  Dobra, co on robi?
5031:  Co on robi?
5031:  Fuck!
5048:  To już tak czułem, że będzie ostro.
5066:  Ale walka.
5069:  Ale Midir lepszy!
5075:  Come on!
5085:  Za daleko jest.
5090:  Trzy razy, dobrze.
5094:  Come on!
5095:  Nie spam, nie spam, nie spam!
5100:  Półpocorze do przywołania graczy do wsparcia, ale durne.
5108:  Mam je przetestować jakoś będąc DLC?
5109:  Nope.
5111:  Jeżeli będzie kostur, to tak.
5113:  Jeżeli będzie zaklęcie, to tak.
5114:  Jeżeli będzie broń, to nie.
5119:  Denerwuje mnie to.
5120:  Dlaczego nie ma nowych rzeczy dla magów?
5123:  Ja bym ja je policzę.
5125:  Założyć, że będzie mniej niż 10.
5128:  Może będzie jeden kostur dla maga?
5130:  Może.
5133:  Obstawiam, nie wiem, z błysk kamiennych może dodać 2-3 zaklęcia max.
5139:  Ale wiecie, ten patent z tym, żeby go podejść nie był głupi.
5144:  Żeby się skradać w sensie.
5149:  To nie było głupie.
5156:  To było bardzo mądre.
5158:  Są czary i mieść dla czarodzieja?
5159:  No dobrze.
5161:  Ale, ale kostura nie ma.
5170:  Czy on nas zauważy teraz?
5174:  On nas może zauważyć.
5180:  Są u was dwa konstrujki, kilka zaklęć.
5184:  A, no komedia to jest absolutna.
5187:  Zawsze to samo.
5192:  To optymalne buildy i reszta.
5197:  Dobra, zauważy nas.
5198:  Mieliśmy Fuchsa wcześniej.
5206:  Szczerze to ja nie wiem, jak my mamy go teraz pokonać.
5214:  No, co jest?
5228:  Dobra, nie mam go jak pokonać w tej chwili.
5235:  Nie mam go jak pokonać w tej chwili.
5236:  Mamy za słaby... Cały czas ten sam problem.
5239:  Jest za słaby... Za słabe są obrażenia w tym DLCku.
5250:  Trzeba poeksplorować i więcej mieć tych cholernych fragmentów cieni, bo po prostu... Ciekaw jestem, jaki on ma health pool, biorąc pod uwagę, że tym buildem minus parę poziomów zadawałem o wiele większe obrażenia w podstawce.
5271:  Czy to jest kult boga Szyszki Jakub?
5272:  Nie wiem, o czym mówisz.
5279:  No a tam jest jakiś mauzoleum jeszcze, tam ogarniemy to.
5291:  Te gwiazdy ruiny mają jeden problem, mają mniejszy zasięg niż krzywa tego smoka.
5308:  Wiecie co?
5310:  Może ja będę robił lepsze uniki.
5311:  Nie.
5314:  Nie.
5322:  Zastanawiałem się, czy by nie robić uników w ten sposób, ale jest jeszcze jedna opcja.
5328:  Ona będzie bardzo brzydka.
5331:  Ale musimy zachowywać się brzydko w takiej sytuacji.
5344:  Ta, mieczem.
5355:  Oczywiście, że poszło w drzewo.
5358:  Doleci tu czy nie doleci?
5365:  Got!
5368:  Got!
5373:  Okej, będziesz nawet bliżej, to dla mnie super.
5393:  Zasłużyłem na to.
5395:  I have a high ground!
5409:  Taktyka, moi drodzy, taktyka!
5417:  To jest ciekawe, w ten sposób możemy zobaczyć, jak działają hitboxy w Fromie, losowo.
5437:  Ja i w ten sposób nie będę w stanie go pokonać, to jest zabawne.
5444:  Może tu będę bezpieczniejszy trochę.
5463:  To duchowy ogień, dlatego przenika.
5464:  A co powiecie o duchowym skrzydle?
5470:  Teraz róbmy tak.
5476:  Czekałem na to, czy kometa Azura agra zadziała tak, jak powinna.
5486:  Tyle w temacie komety Azura.
5490:  O, przecież to jest najpotężniejsze zaklęcie.
5496:  O, moje nie przenikało przez ścianę, fajne.
5505:  Wiesz, jaka to jest parodia, to co tu się dzieje.
5508:  Ja i tak zginę, wiecie?
5509:  To jest najzabawniejsze.
5514:  Ja i tak zginę.
5515:  Nie mam many na niego, dostatecznie dużo.
5518:  Czemu tutaj nie mogę zwiększyć liczby flaszek?
5521:  To jest abstrakcja absolutna.
5529:  Widzicie, co się dzieje?
5529:  Zostało mi cztery.
5532:  Nic nie zrobię.
5548:  No masakra.
5559:  Jezus Chryste.
5587:  Zostały mi cztery flaszki.
5588:  Myślicie, że się uda?
5592:  Dodali tu znajdźki na DPS, niestety nie dodali nic dla maga podobnego, pisze Lucifer.
5596:  Podobnie... Czekaj, czekaj, chcesz mi powiedzieć, że te znajdźki nie zwiększają... Nie, nie mów mi, że one nie zwiększają Kastów Zaklęć.
5604:  Nawet mi tego nie mów.
5611:  Dobra, teraz tak.
5613:  Terra Magica.
5617:  I teraz fajnie byłoby, gdybym mógł namierzyć jego głowę, nie?
5620:  Ale nie mogę oczywiście, ponieważ gra.
5632:  Może teraz ryj, dziękuję.
5640:  Ładnie.
5649:  Wow, Stagger!
5650:  Nie wierzę!
5686:  No już nie amamy.
5702:  Okej, dobrze.
5706:  Pójdzie!
5715:  Nie wiem, co się dzieje.
5723:  Musimy zbejtować na niego atak z... Nie ten.
5728:  Ten z łbem do góry.
5736:  Smoku, jesteś głupi.
5737:  Bardzo dobrze!
5741:  Skrzydła, dwa i trzy.
5744:  Nie, nie było trzeciego.
5748:  Do góry atak, do góry!
5750:  Ja nie wiem, co się tutaj stanie.
5759:  Tak blisko, a tak daleko.
5760:  Dobrze.
5767:  Fuck.
5767:  Ostatnia mana.
5771:  Nie, naprawdę mam za mało many.
5775:  Jezu!
5776:  Atak do góry, atak do góry!
5790:  Mierzem godowic za ryzykowne przy tym zdrowiu.
5800:  On mógłby się męczyć czy coś.
5801:  Midir się męczył, jak miał te ataki.
5804:  To było super.
5812:  To se poczekamy.
5815:  Zejść do bloku i użyć magii.
5816:  Boję się, że wtedy mnie zabije.
5817:  Jestem na one hit w tym momencie.
5820:  Jedno uderzenie i ginę.
5827:  Widzicie?
5830:  To jest esencja kitboxów w ROM-u.
5832:  Esencja.
5834:  Totalnie nieprzewidywalne.
5837:  Magnus, dzięki za dołączek na wspierający.
5838:  Mówiłem, mówiłem, że tak będzie.
5843:  Przeniknęło przez... Przeniknęło przez całą górę.
5848:  No.
5849:  Dlatego mówię, że to nie jest cheese.
5853:  To jest jedyna viable strategy na tym etapie, niestety.
5857:  Ciekaw jestem, ile dostanę runów za to.
5859:  Ile obstawiacie?
5861:  Obstawiam 5 tysięcy jakieś.
5864:  Wyjść od biegu, żeby stracić agro i z daleka z dią?
5867:  No, już przepadło, Janku.
5875:  Liczyłem, że zbejtuję ten jego atak, ale no niestety.
5886:  No teraz mnie kusi, żeby dać mu Azura.
5890:  Słuchajcie, to się może udać.
5893:  To jest ryzykowne wprawdzie, bo runy wiecie, ale... Szlag by trafił.
5900:  On się już odwraca.
5905:  Co najmniej 2000 runów będzie.
5907:  Zobaczymy.
5916:  Dobra.
5917:  Niech będzie chwała przedwiecznemu Jamniorowi.
5918:  Dziękuję ci Marto F. za wsparcie od 20 miesięcy.
5928:  Azul.
5934:  Dzięki.
5936:  Thank you, Dark Souls.
5942:  Azul zmarnowany.
5956:  Ale tutaj rzeczywiście zrobimy tak, żeby stracił agro Może się uda Dobra
5978:  Okej, Terra Magica i Loreta.
5984:  Prosto w łeb, idealnie.
5993:  Chciałem móc teraz... O, mogę cancelować, dobrze.
5996:  Teraz wiemy już, że ten atak przenika.
6012:  Ten też.
6020:  No niech straci agro znowu.
6022:  No niestety.
6030:  Kometu używaj razem z Westponem, że nielimitowana mamę.
6032:  Robię to, ale ona... To jest 12 sekund.
6035:  Ta nielimitowana mana to po pierwsze.
6037:  Po drugie zrobiłem to, ale jak zawsze ona ma za słaby zasięg.
6041:  W związku z powyższym ja se mogę.
6052:  Czy na coś mi nie stać?
6055:  Też nie doleci.
6057:  No wiesz, to jest ten zasięg, który ja mam.
6061:  Zajebisty.
6070:  O, czy mogę łeb?
6071:  Mogę łeb?
6072:  Mogę łeb?
6072:  Mogę łeb?
6073:  Mogę łeb?
6073:  Mogę łeb?
6074:  Dobra.
6088:  Co jest?!
6090:  Czemu on se to przełączył?
6119:  Dobre.
6119:  Nie wiem, czy Mistrzostwo Lorety wystarczy.
6127:  Ale to jest dobra strategia.
6130:  Algorytm YouTube to żart na rzekę Jakub.
6132:  Na główny miałem tylko dwa upcoming streamy, a trwającego w ogóle nie było.
6135:  Trwający jest zawsze z brzegu ekranu.
6140:  Z brzegu ekranu.
6141:  Może ja dostanę za zabicie ich fiolki.
6147:  Jezu, oby.
6151:  Tak!
6154:  Good!
6158:  Okej, to rozwiązuje nasze problemy.
6164:  Nie pierdolę, magister to kometa Azura.
6167:  Tak.
6169:  Żeby to było... Żeby to było takie potężne, moi drodzy.
6175:  I to był dobry punkt strzelecki.
6192:  Dobrze.
6200:  Iiii, mana.
6208:  Ale chybił.
6208:  Jezus, jak obrzydliwie chybił.
6211:  Obrzydliwie ochydnie.
6222:  Uda się to tym razem.
6226:  O, dobrze, dobrze, dobrze.
6236:  Nie skomentuję tego, co właśnie zobaczyliście.
6245:  Klasyczka.
6246:  Moje zaklęcia, które nie przenikają.
6249:  Przeciwnik, którego zaklęcia przenikają.
6255:  On się nie resetuje, nope.
6258:  To jest problem z przeciwnikami w otwartym świecie tutaj.
6263:  Ja nie mam wyboru o lewazd na tym etapie.
6264:  Jak zauważyłeś, moje zaklęcia zadają za małe obrażenia i jeżeli ja się dowiem, że te buffy, które są w Kulestwie Cieni nie zwiększają obrażeń magicznych, a jestem coraz bardziej przekonany co do tego, to będę bardzo zmartwionym człowiekiem.
6281:  Walnij kometę, jak dłużej błęd podnosi.
6283:  Nie, ponieważ kometa zawsze jest... Mówiłem wam o tym.
6285:  Kometa nie jest samonaprowadzająca.
6287:  Ona zawsze w prostej linii atakuje.
6294:  Jamnik zawsze będzie mi się kojarzył z serem.
6295:  Oczywiście.
6297:  Seromancja, najpotężniejsza magia.
6301:  Teraz ja poczekam, aż odwróci główkę, bo nie mogę namierzać główki.
6307:  To jest logiczne, że chcecie namierzyć stopę smoka.
6310:  Każdy rycerz, który kiedykolwiek walczył ze smokiem, namierza jego stopę.
6315:  Jest stópkarzem.
6323:  Tak, kometa jest dobra na dużych i powolnych, jasne.
6328:  Pokonany.
6330:  Żebym nie powiedział tego w złym momencie.
6338:  Nie domagiam niks.
6340:  Władca łuku.
6344:  Ile?
6345:  Ile?
6347:  No dobrze, 100 tysięcy.
6349:  Czyli co?
6350:  Główny boss?
6352:  Główny boss tej lokacji dał mi mniej?
6356:  Czy tyle samo?
6357:  Było chyba 120 za tamtego, nie?
6358:  120 tysięcy było.
6368:  Ale żenada.
6372:  Tak, 120 tysięcy, czyli 20 tysięcy więcej za bossa, z którym się... Aha, świetnie.
6381:  Mamy level up, tak, to prawda.
6390:  Tutaj byłem wczoraj, to pamiętam.
6392:  Czy ja go tak minąłem?
6394:  Ale głupie.
6397:  Mierza z Tobą to jest Smok Achilles.
6399:  Tak.
6402:  A, ja tutaj byłem.
6405:  Tu jest przepaść, której nie możemy prze... Uuu, przesadzić, dobrze.
6409:  Oczywiście, Kaja, ja tam samo nie informowałem.
6414:  Wszystkie media... Okej, tam jest jakieś mauzoleum i to nie jest Halikarnas.
6426:  Też tutaj byłem.
6429:  Ja dosłownie pominąłem minibossa ostatnio, ale to jest żenujące.
6434:  Czemu ja robię takie rzeczy?
6438:  Tak, tu jest opuszczona, udręczona wioska, w której byłem.
6444:  Tak, bo tu były te ćmy.
6445:  Czyli dobra, czyli idziemy do mostu.
6449:  Budujemy mosty dla pana starosty.
6452:  Jak kosztuje level twojej postaci?
6454:  220 tysięcy.
6455:  Ponad.
6456:  Zaraz sprawdzimy.
6458:  Możliwe, że nie będzie mnie stać.
6462:  Okej, stać mnie.
6464:  Więc wiecie co, idziemy w umysł, potrzebuję więcej money.
6468:  No niestety.
6470:  Chociaż nie.
6471:  Dobra, do 45, a potem lecimy z inteligencją.
6477:  Można ręcznie dyspawnować Samona, czy trzeba czekać, aż sam zniknie?
6480:  Chyba można go dyspawnować, ale wiesz, w toku walki zgiwa trudne.
6484:  Bo żeby mi przywołał Samona, ja muszę wcisnąć... Czekajcie, czy ja mam... O Jezu, ja mam Neoboard przecież.
6496:  Ja już to trzydzieści razy przypinałem do paska w tym durnym Windowsie 11.
6500:  Dobra, jest.
6508:  Powinniście mieć teraz czytnik.
6510:  Dobra, na runach jest.
6512:  Więc żebym ja przełamał samona, ja potrzebuję zrobić tak.
6515:  Ctrl E i Z. Nie żartuję.
6522:  Znaczy, przepraszam, Shift E i Z. To nie jest normalne.
6527:  Shift E i X daje mi światełko.
6532:  To nie są kombinacje przycisków, które wciskacie w trakcie walki.
6540:  Tak, tak, tak, tak, zdecydowanie nie.
6542:  Wielki Most Ellag.
6545:  No wygląda jak Wielki Most.
6548:  Mam wiarę jak gorczycy ziarnko, 7 punktów, tak jest.
6553:  Czy wszyscy... Czemu mnie to kompletnie nie zdziwiło?
6565:  Niech się zacznie oblężenie!
6569:  Nie wierzcie żadnych jeńców!
6571:  Zabijcie ich wszystkich!
6575:  Wszyscy drżą teraz przed potęgą Kalifa!
6595:  Chciałem z tobą walczyć uczciwie, ale tupiesz na mnie.
6599:  Więc, że tak powiem, won.
6607:  Jakie ty Patriot wróciły.
6612:  No dobrze.
6614:  Jak się gra w dodatek, pyta Astrzej.
6615:  No dobrze, że się gra w dodatek.
6617:  Wiecie, nie odczułem wielkiej różnicy między dodatkiem, ale dendingiem na razie.
6620:  Pomijając walki z bossami.
6621:  Ooo, łaska.
6624:  Z łaski na uciechę.
6625:  Daxos w świecie twierdzy, że to by było coś?
6627:  Jezu, absolutnie.
6629:  O, o, o, o, buff.
6632:  Proszę, niech ktoś potwierdzi, czy te... Odłamał go strot drzewa, to chyba nie jest buff.
6635:  Niech ktoś potwierdzi, czy te buffy są też na obrażenia magiczne.
6638:  Nie no, muszą być.
6639:  Nie wierzę, żeby było inaczej.
6646:  Dobra.
6647:  Nie będziemy na razie odpoczywać tutaj, bo wtedy wrogowie się zrespawnują.
6651:  I po co nam to?
6653:  Zmienimy sobie na miecz.
6658:  Buffuje uchat, buffuje ataki magiczne.
6661:  Czemu powiedziałem buffuje?
6662:  Chciałem powiedzieć buffuje.
6665:  Nie ogarniam, że w tej grze mana się sama nie regeneruje.
6667:  Hoskula to zielone się regeneruje do walki mieczem.
6671:  Właśnie odkryłeś Bloodgate, to co ja nazywam Anti-Mage Bias.
6682:  Czyli mówiąc o tym, że ja muszę jednocześnie używać dwóch flaszek, co taktycznie mnie zubaża.
6693:  Czy w tej grze przeciwnicy będą mnie też one-hitować wtedy, kiedy nie są bossami?
6698:  Chyba tak.
6701:  Banuman to pasuje do tego otoczenia?
6703:  Rzeczywiście.
6708:  Więc wniosek z tego starcia jest taki, niebezpieczni, zabijać natychmiast.
6739:  Lekcja przyswojona.
6741:  Nieustraszony Seremonta, tak jest.
6745:  Czy ser z bananem byłby dobry?
6747:  Chyba nie.
6748:  Ktoś próbował?
6750:  Próbujecie tak najdziwniejsze rzeczy, jak na przykład cebulę, że myślę, że jeżeli smakuje wam cebula,
6756:  To ser z bananem mógłby być pyszny.
6769:  Czy tutaj będzie?
6770:  Wygląda znajomo.
6771:  Szczerze mówiąc, krótki odpoczynek, może spróbuję... Aaa, ładne.
6774:  Ładne.
6775:  Ognisko.
6777:  Poświęcenie.
6778:  Marne.
6781:  Zależy jaki ser.
6783:  Taki słodki twaróg.
6785:  No to mówisz, rzeczywiście dobry.
6787:  Przypominają mi tych rycerzy, którzy byli w podstawce.
6792:  Z wyjątkiem etapu, kiedy zionął ogniem.
6797:  O, no pewnie, pewnie, że masz atak Radana.
6799:  Znaczy, boże, nie Radana, tylko Radagona.
6802:  Boże, to jest to, to jest to, to jest to.
6808:  To jest to.
6809:  O, zrobimy sobie taką grę, że będzie wszystko się nazywało na GRRM, bo George R. R. Martin!
6814:  Łooo!
6816:  Ale nie, w ten sposób wszyscy będą zapominać, kto się jak nazywa.
6820:  To nic, to nic, ważne, że jest easter egg.
6822:  O, jednak, jednak, jednak.
6825:  Z przypisami Rycerza Ognia, proszę bardzo.
6829:  Więc on ma dosłownie... Tak, Radagon.
6832:  On ma dosłownie atak Radagona.
6834:  No niesamowite, absolutnie.
6839:  Co tu się w ogóle podziało?
6841:  Tutaj znowu jest ten, ta ciemięga cholerna.
6845:  Wiecie co?
6846:  Ja może, ja może ich zmieczykuję.
6863:  Dobra.
6865:  Bo jednak Rakula dobrze robiła walkę z koniami, to było Assassin's Creed II.
6870:  Dużo ich tutaj jest.
6876:  Last.
6879:  Widzę naprawdę dużo różnych rzeczy.
6882:  Last.
6885:  I teraz last.
6890:  Last.
6893:  I last.
6896:  I last.
6899:  Dobrze.
6900:  Kanapka z chlewem bananowym i żółtym serem.
6904:  Chlewek bananowy nie jest zły.
6908:  Chociaż to wciąż brzmi zdrowo, nie?
6912:  Niekiedyś zamówiłem ciasto, które było chlebkiem bananowym i okazało się, że nie smakowało jak ciasto, było bardzo smutne.
6922:  Tyle?
6926:  Nie.
6927:  Dobra.
6928:  Challenging jest dobrą grą dla kogoś, kto nigdy nie grał w Souls'y.
6932:  Zależy, co lubisz Astray.
6933:  Tak jak mówiłem, jeżeli lubisz gry eksploracyjne, jeżeli lubisz walkę i lubisz challenge, to tak, to jest dobry pomysł.
6939:  Natomiast nie jest to reprezentatywny Souls-like.
6941:  To jest troszeczkę tak jak Sekiro.
6943:  Sekiro też nie jest reprezentatywnym Souls-like'iem, ale jest dobrą grą szermierczą z kolei, więc jak ktoś lubi szermierkę, parowanie i tak dalej, wow, bardzo polecam.
6952:  Dobrze, co to są za typiarze i co oni robią?
6957:  A ja ich znam.
6959:  Moje ulubione ciasto.
6961:  WZ-ka.
6963:  Boże, WZ-ka jest dojebana absolutnie.
6966:  Uwielbiam.
6967:  Pyszne.
6967:  Mmm.
6971:  Mmm.
6974:  Pewne rzeczy się nie zmieniają i nigdy nie zmienią.
6977:  Szarlotkę też kocham.
6980:  Ciasto budyniowe lubię.
6989:  Ale tak, dla WZ-tki jestem w stanie zabić.
7007:  Good, zregenerowana mana i to lubię.
7009:  Mana, mana.
7011:  Karpatki, kremówki, rzeczy.
7014:  Nigdy nie rozróżniałem Karpatki w kremówki.
7018:  One walczą między sobą.
7020:  Myśmy widzieli tę scenę, słuchajcie, jak one walczą między sobą.
7023:  Ja farmiłem na nich runy.
7025:  W ogóle ile jest z nich run?
7027:  Dużo czy niedużo?
7030:  Jaka szarlotka z Bezo, czy okej?
7033:  Nie, nie, nie.
7034:  Szarlotka... Szarlotka bez dodatku, jakiś specjalny.
7038:  Z Bezo to już jest za kaloryczne, nie?
7040:  Szarlotka jednak nie jest aż tak kaloryczna, bo tam są głównie jabłunia.
7045:  A ja muszę niestety pilnować kalorii bardzo.
7049:  Chciałbym móc nie pilnować kalorii znowu, ale za każdym razem jak to robię, to tyję w oszałamiającym tempie.
7061:  Czy mogę stąd uciec?
7062:  Dziękuję.
7068:  Szarobka z lodami, no właśnie.
7070:  Z lodami, kalorie.
7071:  Ja jem sorbety dlatego.
7073:  No jest to przykre, jest to przykre dla stanemka, ale no co poradzić.
7077:  Są ludzie, którzy mają takie uwarunkowania genetyczne, że tyją momentalnie.
7081:  Są tacy, którzy są w stanie, wiesz, żreć bez opamiętania i jest git.
7086:  A czasem jest tak, że osiągniesz pewien wiek i potem już zaczynasz mieć takie problemy właśnie, że no, że musisz uważać.
7092:  Ja tak miałem.
7093:  Ja mogłem generalnie jeść bezkarnie i było spoko, no ale potem przyszła trzydziestka i przestało być spoko.
7101:  W ogóle chciałem oznajmić, że gry leczą, to znaczy jest mi lepiej z gardłem.
7106:  Tylko spojrzę na słodycze, mam plus dwa kilo, no dokładnie mi okuń.
7111:  Mam dziwne pytanie.
7111:  Jak umiałeś reakcję na brak możliwości używania magii na koniu w Skyrimie?
7114:  O Jezus.
7115:  Jak szybko pobrałeś na to moda.
7117:  Nie używałem konia w Skyrimie, wiesz?
7119:  W ogóle.
7121:  Mój roleplay w Skyrimie jest następujący.
7136:  Cały czas, cały czas... Palpi szedł?
7140:  Radosny, radosny Palpi.
7142:  Miałem taki cudowny build, który dawał mi nieograniczoną manę i możliwość robienia łuku elektrycznego.
7148:  Ooo, to jest ten dungeon, o którym mówiliście.
7152:  Juuuu...
7156:  Dzisiaj mamy dzień cebularza, naprawdę.
7160:  Czasem się zdarza, że jest dzień cebularza.
7162:  Tak a propos, to ja sobie coś będę jadł za moment, zrobimy sobie taką krótką przerwę.
7166:  Ja sobie obszamam obiad.
7170:  Tak będzie, nie zmyślam.
7172:  Siedzę w odżywianiu treningowym siłowym kilkanaście lat i już nie liczę, ile razy tego typu wymówki słyszałem przed chwilą.
7177:  Dobra, to nie są wymówki, bo ja trenuję, wiesz, cały czas, ale...
7182:  Faktem jest, że jedynie bezkarne się skończyło.
