Ordo Iamnicorum | WARHAMMER CHAOS GATE: DAEMONHUNTERS Livestream #4
🔗 https://www.youtube.com/watch?v=SAfx6T20tlU

219:  Fitam!
2023:  Dobrze!
2025:  Teraz tak, jaki aktywny zestaw?
2028:  Po pierwsze, pancerz wspomagany na razie możemy mieć tylko, gniazdo sprzętu wojennego, absolutnie musi być granat.
2038:  Jeżeli chodzi o broń dystansową, jest opcja taka, albo bierzemy spopielacz, ale spopielacz już został, już jest używany, więc spopielacz nie bardzo.
2049:  Wydaje mi się, że...
2052:  Aaa, bo mamy albo działko psjoniczne, albo psjoniczny uciszacz.
2056:  Tak, chyba działka psjoniczne są używane, tak mi się wydaje.
2059:  A może nie?
2062:  Hmm.
2065:  Tak, działko psjoniczne, jedne jest używane.
2067:  A psjoniczny uciszacz?
2068:  Przez nikogo.
2073:  30 minut z tym, ja jeszcze widzę, że nic nie zaczęliśmy, ponieważ wyrekrutowaliśmy siostrzyczkę bitwy.
2078:  Female Space Marine.
2082:  Nie można kobitek werbować, niestety Nadia, no niestety.
2085:  Dobrze, bierzemy tego z popielacza, zobaczymy co to będzie robiło.
2092:  Jeszcze tego nie używaliśmy.
2095:  Świetnie.
2099:  Ale co, mamy ten uciszacz czy nie?
2102:  Psjoniczny uciszacz.
2106:  Ten!
2107:  O, dobrze.
2109:  To miejsce jest zajmowane przez broń dwuręczną.
2113:  Michał Piotrowski, witaj serdecznie w gronie Trybutariuszy.
2117:  To okazja, żeby się zajamniczyć.
2118:  Dobry zwyczaj zajamniczaj, moi kochani.
2120:  Ania Kaźmierczak.
2121:  Cześć, cześć Aniu.
2122:  Od dłuższego czasu próbuję zdobyć pracę jako koncept artystka, ale bezskutecznie.
2125:  Jakieś drobne rady, oprócz spamieniem CV.
2128:  Tak, Artstation.
2130:  Artstation, Artstation.
2131:  Załóż sobie bezwzględnie profil i podłącz go pod LinkedIn'a na pierwszej pozycji.
2138:  To jest najlepsza rada, jaką mogę mieć, jeżeli chodzi o Concept Art i wrzucać tam wszystkie rzeczy.
2142:  Jeżeli poczujesz, że twoje umiejętności są lepsze, wrzucasz nowe, a tamte gdzieś tam sobie usuwasz do swojego archiwum.
2149:  Traktuj ten Art Station jako taką swoją wizytówkę.
2151:  Jeszcze mogę polecić ogłaszanie się we wszelkich grupkach graficznych, zwłaszcza w grupce Praca dla GameDevu, czy GameDev Praca Polska, która jest na fejsie.
2163:  Co zapewne, marynaty są modyfikowane genetycznie, siostrzyczki bitwy nie są.
2167:  Mimo to dorównują marynatom na polku bitwy, dlatego uważa się za błogosławioną przez samego imperatora.
2172:  Dlatego umówimy się na poczet naszego roleplayu, że mamy siostrzyczkę bitwy w naszych szeregach.
2179:  Możemy pogadać z Nektarem.
2182:  Nektar, który jak wiemy jest stary.
2185:  Chcę porozmawiać na temat Eldarów.
2187:  Eldarzy to nie są też typowi przeciwnicy.
2190:  Garcą podmiotami osnowy, tak samo jak my.
2192:  Albo i bardziej.
2193:  Ale nie są naszymi sojusznikami.
2196:  Walczą już z nimi?
2196:  Tak!
2197:  Przecież pamiętasz, że jestem stary!
2199:  Zanim dołączyłem do purystów jeszcze!
2202:  Są niewiarygodnie zwinni, nigdy nie pozostają w bezruchu.
2204:  Czy mam zmodyfikować klantyki taktyczne?
2207:  Trzeba być gotowym na walkę z każdym przeciwnikiem.
2209:  Nie powinniśmy jednak tracić cennego czasu, bo wkrótce mogę umrzeć!
2213:  Nasi kompani są przekonani, że ten światostatek jest martwy.
2216:  Jeżeli żyją tam jacyś Eldarzy, prawdopodobnie będą walczyć z naszym wspólnym wrogiem.
2219:  Femnie.
2221:  Natknęliśmy się na Gwardię Śmierci.
2222:  Powiedz mi więcej o tej formacji.
2226:  To niedobrze, jeżeli natknęliśmy się na Gwardię Śmierci.
2230:  To straciecki Legion Astartes, który oddał się Nergowi w trakcie Wielkiej Heresji.
2234:  Potężni wrogowie, którzy spędzili ostatnie 10 tysięcy lat gnijąc, ale nie zamierzając umrzeć.
2239:  Są równie niebezpieczni i wstrętni, jak poddani Nergla.
2242:  Dlaczego?
2243:  odrzucili światło imperatora.
2246:  Heresja dobiegła końca i tchórzliwy mistrz Mortarion począł błagać pana zarazy o wybawienie, a pozostali członkowie zakonu poszli za swoim mistrzem w odchłań ciemności.
2257:  W ten sposób gwarcista śmierci przyczynił się do powstania marine z zarazy, strajca, a startest, który oddał w całości duszę i fizyczne powłoki Bogu Knizny.
2267:  Jak z nimi walczyć?
2268:  Są powolni, ale wytrzymali.
2270:  Dzięki plukowej zjadliwości chorób rozsiewanym przez Nurgla wytworzyli na skórze grubowarstwę tkanki bliznowatej, a ich ciała doznały już trójinfekcji, że są praktycznie niewrażliwi na urazy fizyczne.
2282:  O Boże.
2283:  Nie pozwólcie im grać na czas.
2284:  Trzeba ich od razu zaatakować i zneutralizować.
2290:  Przynajmniej my jesteśmy hamerem.
2315:  Dobrze, jeszcze Lunetta chce z nami porozmawiać.
2317:  Dużo mamy rozmów.
2319:  Czy zgubny edykt ma szansę w starciu ze światostatkiem?
2323:  Nie.
2323:  Quistorka nie zgodziła się na powrót na Tytana w celu dokonania niezbędnych napraw.
2327:  Ostatnio Usyria nie daje jednak żadnych sygnałów aktywności.
2330:  Najprawdopodobniej nie znajdziemy tam światostatku, tylko zniszczoną skorupę.
2333:  Czy miałaś już okazję spotkać światostatkę?
2336:  Kiedyś byłam poniżej światostatku Aloj Tak.
2339:  Aloj Dok.
2340:  Jego mieszkańcy nie zgodzili się na moją obecność na pokładzie pomimo mojej ciekawości.
2344:  Światostatki są zbudowane z fascynującego, choć bluźnierczego materiału znanego jako upioryt.
2348:  O, upioryt to jest dobre tłumaczenie.
2351:  Bardzo mi się podoba.
2353:  Cokolwiek jest w oryginale, upioryt jest świetny, którym dysponuje kasta Eldarów znana jako piewcy upiorytu.
2360:  Dlaczego to cię aż tak intryguje, Domino?
2363:  Materiał ten ma unikatowe właściwości.
2365:  Niektórzy z tych kapłanów i leksmechaników z Magos Xenobiologis uważają, że może on transmitować energię życiową, czyli duszę.
2375:  Eldari oraz rezonować z nimi.
2377:  Uważam to za wysoce kontrowersyjne i graniczące z herezją, jednak chętnie poddamy głębszej analizie, co w tym miejscu oznacza, sekcji zwłok, tę zdolność do transmitowania danych, zarówno klasyfikowanej jako dusze lub wiązki ksenokodu, jak i algorytmów wysokiego poziomu.
2394:  No i wreszcie!
2396:  Zobaczymy, co ma do powiedzenia Inkwizytorka na ten temat.
2398:  Witamy Julię N. na czatach.
2402:  Wszyscy mamy pracę.
2403:  Co potrzebujesz?
2405:  Czy odpowiedź może kryć się na światostatku?
2408:  Nie wiemy zbyt wiele na ten temat, ale wydaje się, że ten światostatek jest martwy od wieków.
2412:  Wiemy natomiast, że jego mieszkańcy byli niezwykle wrogo nastawieni do Imperium.
2416:  Gdy tylko go odkryto, na wszystkie okoliczne korytarze gwiezdne nałożono interdykt inkwizytorski.
2422:  Być może zbyt długo trzymaliśmy się z dala od tego miejsca.
2425:  Myślisz, że zarazał stoły Eldarzy?
2427:  Wątpię, bo Mroczny Książę Półpożądania pragnie eldarski dusz.
2433:  Zlane?
2436:  A ja póki co mam dowody tylko na to, że te ziarna zakażają ludzi.
2439:  Mimo to się na światostatku musiało być coś, co związało chorobę pana zarazy z materium.
2444:  Twój zapał w oczyszczaniu sektora z plagi to równuje naszemu, właził w dupę inkwizytorce Vakir, nasz bohater.
2452:  Dorastałam w Schola Progenium, byłam sierotą, a moich rodziców pokonała wyniszczająca choroba.
2458:  Obserwowałam pana zaraz od dłuższego czasu, dowódco.
2461:  Spotkałaś wcześniej jego dzieci?
2463:  Tak, wręcz ich szukałam.
2465:  Słudzy Nurgla przyjmują różne formy, od rozumnych boxwalkerów po groteskowe demony, z którymi się tu mierzymy.
2471:  Spośród wszystkich istot chaosu, słudzy Pana Zarazy są najbardziej bluźnierczy i podstępni.
2476:  Aaa, sprawa ma wymiar osobisty!
2480:  Poświęciłam życie na oczyszczenie galaktyki z tej plugowej zarazy.
2483:  Wiem, że wam, Astartes, ta koncepcja może wydawać się obca, bo waszą powinnością jest służba.
2488:  Ale tak!
2489:  Jeśli już musisz wiedzieć, to dzieło mojego życia.
2492:  Osiągnęłam w tej dziedzinie znaczną biegłość i tyle mam na ten temat do powiedzenia.
2496:  Will Kerr precyzuje, że upioryt to Wraithbone i jest zrobiony ze skondensowanej energii spaczni.
2500:  Spaczeń!
2502:  Osnowy to znaczy.
2504:  Witamy, Casey.
2506:  No to muszę powiedzieć, że upioryt mi się bardziej podoba niż Ravebone.
2509:  To jest ten jeden, jedyny przypadek.
2511:  Eee, co się dzieje?
2516:  Okej, nie wiem dlaczego było cały czas.
2522:  Znowu kolejny bug.
2523:  Menu badań.
2524:  Dobrze, co możemy dalej zrobić?
2529:  Wszyscy rycerze doskują do 50% szans na trafienie krytyczne.
2532:  Hmm.
2536:  Nie, nie, nie.
2537:  Ziarna, ziarna, moi drodzy.
2541:  Witamy Józefa Spalina.
2547:  Gra o siostrach bitwy byłaby czymś ciekawym.
2548:  Do tej pory chyba tylko Dawn of War Soulstone podjął ten temat na poważnie.
2551:  To prawda.
2556:  Dobrze.
2557:  Dobrze, moi drodzy.
2558:  Więc tak.
2564:  Zdążymy.
2568:  Podróżujemy pierwej tam.
2575:  Koncyliarze edyktu informują, że Jeremiasz Ignatius odniósł rany, których nie sposób leczyć w dostępnych na pokładzie placówkach medycznych...
2583:  Umrze, jeśli nie interweniujemy!
2585:  Brat Jeremiasz umiera!
2586:  Brat Jeremiasz jest narażony na ryzyko?
2590:  Dlaczego akurat brat Jerem...
2640:  No właśnie, to była ta jazda do szpitala.
2644:  To była ta jazda do szpitala, dokładnie to, to była ta decyzja.
2653:  No nic, w razie czego mamy wcześniejszy zapis, trudno.
2660:  Nie będzie absolutnie w życiu.
2671:  Aha.
2673:  Nie ma problemu, nie ma problemu, nie ma problemu, nie ma problemu.
2682:  Który to był?
2686:  To było bodajże to.
2687:  Tak, 23.20.
2695:  Niestety musimy się przeklikać teraz przez wszystkie opcje, to jest jakaś katastrofa.
2704:  Uważam to za absolutny skandal, to co się dzieje.
2716:  I brak siostry, to będziemy musieli ją zrekonstruować.
2719:  Ale to po jakiejś bitwie.
2723:  Skandal.
2724:  Absolutny skandal te autosejwy, które są w tej grze.
2729:  Absolutny, gigantyczny skandal.
2732:  Dobrze, że wiele nie zrobiliśmy.
2735:  Podróżujemy tutaj od razu.
2738:  A!
2739:  Wstrzymaj czas!
2745:  A nie, jeszcze 3 dni, dobrze, możemy podróżować.
2751:  Przypominajcie chaty o zapisach, musimy robić częstsze zapisy, bo to nas gubi.
2758:  Dobrze.
2762:  Jeremiasz, tak, Jeremiasz żyje jak najbardziej.
2765:  Po prostu nie polecam rozstrzygania tego dylematu, który się pojawił.
2770:  Mamy krytyczne rany, jest 17 dni na wyleczenie i wszystko okej.
2774:  Dziwna sprawa, moi drodzy.
2780:  Wexcon, dwa autosave'ów po każdej turze.
2781:  No właśnie, no właśnie.
2784:  A tutaj autosave'y są w trakcie, jak się okazuje.
2789:  Okej.
2792:  Średni poziom.
2794:  Tutaj poziom wysoki.
2797:  A tutaj?
2798:  Poziom niski.
2799:  Dobrze.
2800:  To lecimy w tę stronę w takim razie.
2805:  Podróżujemy.
2813:  Okej.
2816:  Tu jest ta scenka, którą znamy.
2824:  Dobrze.
2826:  Dobrze.
2827:  Dobrze.
2827:  Dobrze.
2827:  Dobrze.
2827:  Dobrze.
2839:  Dobrze, że moja pamięć sięga na szczęście rzeczy, które się zdarzyły przed chwilą.
2849:  Dobrze.
2851:  W normalnych okolicznościach nie oszukujmy się, wszyscy byśmy tak robili i nie słuchali dialogów.
2858:  Zapisz!
2865:  Wredna gra.
2867:  Zapisane.
2868:  Dobrze.
2871:  Przecież to wspina się na wyżyny pamięci.
2873:  Absolutnie.
2875:  Teraz trzeba w takim razie, skoro jesteśmy już w koszarach, zrekrutować rycerza.
2882:  Purgator, który się teraz jest zrekrutowany.
2885:  Teraz tak.
2886:  Broń dystansowa to był psjoniczny uciszacz.
2889:  Ten konkretnie.
2893:  I teraz typ pancerza nie zmienialiśmy.
2896:  Postać, to byśmy zmieniali.
2903:  Tor!
2905:  Nasza siostra Ekstermina wraca.
2910:  Siostra Ekstermina ma głowę, tak jest, to się zgadza.
2914:  Głos czwarty.
2917:  Na pierśnik ten.
2920:  Coś przerażającego, co człowiek musi przechodzić.
2924:  I my się później dowiadujemy,
2926:  że gry nie ćwiczą pamięci.
2928:  Po!
2931:  Trzeba być mną, żeby zdawać sobie sprawę, jak bardzo gry ćwiczą pamięć.
2937:  Doom!
2939:  Proszę bardzo, jak szybko odtworzona siostrzyczka Ekstermina.
2943:  Zapisz.
2945:  W innym miejscu.
2949:  Ekstermina.
2950:  Zapisane.
2952:  Takiego!
2957:  Dobrze, podróżujemy dalej do naszej misji.
2961:  Kishi pisze, że jest w rezydencji Jindosha w DZ2.
2964:  Koszmar, a to moje ulubione miejsce, absolutnie.
2969:  Popatrzcie, teraz brat Harad odniósł rany, których nie sposób uleczyć.
2973:  Widzicie, umrze jeśli nie interweniujemy.
2975:  Wyznacz kurs do placówki.
2977:  O tym mówiliście.
2988:  Czyli to można safescamować ewentualnie.
2993:  Jak zdrowko, Artur dopytuje.
2994:  Dobrze, bardzo dobrze nawet.
3003:  Tu jest ta placówka.
3004:  No trudno, podróżujemy.
3008:  Ale wiecie, są plusy tego rozwiązania.
3013:  O tym mówiliście, okej, czaję.
3015:  To jest plus!
3017:  Mamy exterminatus!
3020:  Co więcej... Czy my chcemy baterie działu jeszcze?
3027:  Są niezbędne do obrony przed innymi okrętami.
3036:  Przywrócenie maksymalnej integralności kadłuba.
3039:  Weźmy sobie baterie działu, bo coś mi mówi, że będziemy ich potrzebować.
3045:  A potem integralność kadłuba.
3052:  Ja myślałam, że to już było na tym statku.
3054:  Oczywiście, że zostaniemy na jakiś czas.
3074:  Albo spróbujemy przekupstwa.
3075:  Spróbujemy przekupstwa.
3084:  Dobrze.
3086:  Oczekuję na leczenie.
3089:  Co za koszmarne rzeczy, moi drodzy.
3091:  Krytyczne lecenie, krytyczne rany.
3094:  Co tu się dzieje?
3100:  Przyspieszamy czas.
3104:  Komandor, wskazówka nie jest kontrowersyjna.
3108:  Czerwone czerwone drzewa odbyły się zrównoważone.
3114:  Ok, co tu się dzieje?
3118:  Misja niewykonalna w czasie.
3119:  Aha, świetnie.
3123:  No nie mamy wyjścia.
3124:  Musimy tutaj zostać w takim razie.
3130:  Zostajemy.
3132:  Pięć dni jeszcze.
3141:  Nasz bracie zakończył pracę nad tymi sprzętami.
3145:  Nasze opozycja jest w porządku.
3153:  Niech i tak będzie.
3155:  Zapisujemy natychmiast.
3163:  Czemu nagle nie mogę zapisywać?
3168:  Co tu się dzieje?
3175:  Witamy Prologa Kaczka na czatach!
3179:  Ukończ misję Nexus.
3182:  Czy to jest ta misja?
3183:  Nie.
3185:  Czy to jest ta misja?
3189:  Nie wiem.
3190:  Tak!
3206:  Czyli możemy... A, już wiem, na czym to polega, będziemy mogli albo... Okej, już wiem.
3214:  Będziemy mogli albo wysyłać naszych Astartes na planetę, albo użyć Eksterminatusa.
3222:  Dobrze, dobrze, dobrze, to mi się podoba.
3226:  Reaktor plazmowy, przetwarzanie dodatkowej chmury plazmy, to nie wiem, co nam da tak konkretnie.
3238:  Czy to oznacza, że będziemy mogli mieć... A, więcej to tempa budowy.
3244:  To się przyda.
3247:  To się przyda.
3250:  To jest dobre.
3250:  Zobaczymy, czy nam się uda ten statek oczyścić eksterminatusem.
3273:  Królem strachu.
3275:  Słyszycie eminencje?
3275:  Piosenkę korupcji i choroby?
3279:  Miejscąc prędkość, Edict musi być opierany.
3285:  Inquisitorze, ten twój plan został predysponowany na to, że świat sztuczny jest nieprzyjemny.
3293:  I tak pozostaje Eldari.
3295:  Czy naprawdę wierzyliście, że ta pogoda będzie podobnie doskonała?
3304:  Nie możemy tutaj użyć Eksterminatusa.
3306:  Bardzo niedobra rzecz.
3332:  Poziom ekstremalny zagrożenia.
3336:  Co to znaczy poziom ekstremalny?
3339:  To jest pytanie.
3342:  Podoba mi się, pisze Mateusz, oczyścić planetę z wykwitu, taki eufemizm na wymordowanie wszystkiego, co na niej żyje.
3348:  Mam wrażenie, że jest tak, że będziemy mogli używać eksterminatu za każdą noc, bo jak się pojawi wykwit i potem jak się pojawi znowu, to będzie trzeba po raz kolejny.
3359:  Hmm.
3360:  Dobra, tak czy siak, wiecie co?
3362:  Spróbujemy.
3362:  Zapiszemy to.
3371:  To jest Exterminatus minus, bo nie mogliśmy użyć Exterminatusa.
3374:  Spróbujemy.
3380:  Brad Harad, oczywiście.
3382:  Brad Shitstorm też.
3384:  Brad Jeremiasz zawsze.
3386:  I Brad Apapiusz zawsze.
3389:  Gdzie jest Brata Papiusz?
3398:  Eksterminatus to poziom... Eksterminalny to poziom większy niż wysoki.
3401:  No, mam takie wrażenie właśnie, smutne.
3403:  Radosław, witaj serdecznie na Wieki Wieków Spaczeń.
3408:  Radosław, chciałbym podziękować za cały content, jaki był i jest nam dostarczany.
3411:  Nie żałuję żadnego trybutu na ani czasu spędzonego tutaj w tej wspaniałej społeczności.
3414:  Jakże się cieszę to czytając.
3416:  Bardzo mi miło.
3423:  Okej, to się może przydać.
3431:  I co?
3438:  Dobra, mam wrażenie, że to wybraliśmy.
3444:  Dobra!
3445:  Bądźmy odważni!
3446:  Do odważnych świat należy!
3457:  Co za niesprawiedliwość, że nie można było użyć Eksterminatusa.
3468:  Dokoptowali do drużyny Inkwizytorka.
3469:  Ta Inkwizytorka to jest... nawet nie będę się wypowiadał na jej temat.
3474:  Jest beznadziejna.
3491:  Festiwal.
3492:  O matko, jeszcze?
3493:  Jeszcze ich więcej?
3495:  Uważam za otwarty.
3497:  Misja Siąka skończyła oglądać pierwszą część Stranger Things i wow, ja już chcę 1 lipca.
3501:  Ja też, ja też, absolutnie, jest doskonale.
3504:  Dobrze, brat Shitstorm idzie na szpital.
3508:  Witamy Cavcie!
3514:  Czy to jest coś, czego my będziemy mogli użyć?
3519:  Czy ja mogę wcisnąć i?
3520:  Dziękuję.
3522:  I!
3525:  Nie mogę.
3530:  Czwarty sezon wrócił do korzeni Stranger Things, taka jest prawda.
3533:  Bardzo dobrych korzeni dodajemy.
3537:  Bądźmy odważni.
3538:  Słynne ostatnie słowa, to prawda.
3542:  Teoretycznie użycie eksterminatu za na światostatku skończyłoby się zniszczeniem go na kawałki.
3554:  O to chodzi!
3556:  Boże, 40% od razu wykwitu?
3558:  Ktoś oszalał.
3559:  Wiecie co?
3560:  Czy my możemy... Może użyjemy inkwizytorki?
3566:  Niech ona się do czegoś przyda.
3569:  Na przykład do operowania tego.
3571:  Usuń skażenie z wieżyczki.
3581:  Ta wieżyczka jest moja!
3591:  So it begins.
3592:  Dobrze.
3593:  To oznacza, że musimy użyć brata...
3597:  Brata Zajebusa.
3599:  Brat Zajebus ma fantastyczną umiejętność.
3601:  Wiecie jaką?
3602:  Teleportacji.
3604:  Atak siłowy jadziak!
3611:  Hurraaaaat!
3623:  Moglibyśmy użyć granatu, ale...
3628:  Oni się wtedy rozpieszczą we wszystkie strony, a w tym momencie nam to nie do końca się opłaca.
3637:  Brata papież ma jakąś zdolność, która się nazywa Biomancja.
3640:  Uuu, ona też się może teleportować, świetnie.
3647:  Co się dzieje, jak zwiększają się procenty wykwitu?
3650:  Są różnego rodzaju mutacje.
3654:  zarówno przeciwko naszym rycerzom Astartes, jak i mutacje, które wzmacniają przeciwnika.
3664:  Dobrze, i teraz tak.
3665:  Co możemy zrobić?
3667:  Czemu nie możemy opanować tej wieżyczki?
3671:  Szał.
3673:  Dominacja.
3673:  Znamiesz wroga.
3678:  Nie możemy użyć dominacji.
3680:  Mówiłem, że ta inkwizytorka jest fantastyczna?
3690:  Jest po prostu... Nie żyje!
3697:  Tak!
3698:  Dobrze!
3700:  Bardzo dobrze.
3704:  Teraz tak.
3706:  Skoro jest już radośnie i wszyscy dyndają na sośnie, to przemieścimy się tutaj.
3716:  Nie rozumiem, czemu trzeci sezon jest takim zawodem, pisze Nadia Lewi o Stranger Things.
3720:  Owszem, był mniej intensywny niż poprzedni, mi się podobał, chyba, że trzeba odświeżyć.
3723:  No, w porównaniu z tym na pewno.
3730:  Okej.
3734:  Trzeba pamiętać, że brat Apapiusz musi często... Kocham to!
3741:  Musi bardzo często nawet używać...
3745:  Egzekucji, to jest ważne, bo w ten sposób zyskuje punkty, a brata papież jest jedyną, jedynym z astartes naszych, który może leczyć.
3760:  Czy gdyby wykwit był na poziomie umiennym, to byłby uwiądem?
3762:  Aaa, ładne!
3765:  Ładne.
3766:  W planie wypalanie zawsze.
3771:  Karat!
3775:  Co to wie, dobrze.
3776:  Wiedza, czy... Aha, ona nie może tutaj strzelić, to ciekawe.
3783:  Czemu ona nie może objąć tej wieżyczki?
3785:  To jest pytanie.
3785:  Przed sekundą to jeszcze było?
3789:  No właśnie.
3792:  Czyli co, musielibyśmy... Tak, ona tego nie może zrobić z jakiegoś powodu.
3797:  Dziwne.
3799:  Nie może ani dominować nad nimi.
3803:  Katastrofa.
3805:  Ani strzelać.
3809:  Bezużyteczna.
3809:  Niech się schowa w takim razie.
3815:  Brad Shitstorm.
3816:  Brad Shitstorm ma świetne moce.
3820:  Chciałbym ich użyć w całości, ale niestety nie mogę.
3823:  Onward, brothers.
3823:  Onward, brothers.
3839:  Niech wszystko zginie.
3841:  Wspaniale.
3843:  Teraz skoro jesteśmy tutaj, to jedyne co nam pozostaje teraz rzeczywiście, to chyba walnąć granatem.
3852:  Ale nie mamy grana na to już.
3854:  Uuu, dobrze.
3857:  Niedobrze, niedobrze, ale... Nie możemy użyć forteli też.
3861:  To jest smutne.
3862:  Żabcia wraca do Laboven Robots, pisze Żabcia, bo weszła z polecenia i jest zachwycona.
3866:  Aaa, a który sezon?
3867:  Ostatni?
3869:  Kaczk, błogosławię o granatę, aby były skuteczne przeciw plugastwom Nergla.
3873:  Bardzo dziękuję, proroku.
3875:  Bardzo.
3876:  To jest bezwzględnie konieczne.
3878:  Dobrze, spróbujemy zrobić sprytnie.
3879:  To znaczy, przejdziemy tutaj i aktywujemy tarczę, mając wielką nadzieję... Chyba, że... Aaa!
3891:  Nie!
3894:  Nie, nie, bo... Nie, nie, nie, nie, nie, nie, nie.
3899:  Niech impreza się zniszczy.
3900:  Zniszczymy!
3901:  Zniszczymy!
3902:  Zniszczymy!
3929:  Nadrobione pozostałe i lecimy ostatni... Oj, to ostatni sezon Love and Robots jest najlepszy, żabdziu.
3935:  Przepraszam, co?
3940:  Ta wieszeczka jest moja!
3944:  No właśnie, no właśnie.
3945:  To się dzieje, jak są... Dobra, inkwizytorka.
3952:  Przydaj się na coś.
3954:  O, no dalej tego nie może zrobić.
3956:  Świetnie.
3966:  Na razie.
3967:  Moja wierzyczka to ty.
3968:  Tutaj jest komandant.
3986:  Myślę, że jest to pewien stereotyp, mimo wszystko.
3995:  Plus ja się, szczerze powiedziawszy, jeszcze nigdy nie spotkałem.
3999:  Dobra, teraz nieodwołalnie rzucamy granatę, bo nie ma opcji.
4010:  Aaa!
4011:  Kretos spadł!
4012:  Kretyn za krawędzią!
4019:  Jako student chciałbym wysłać pracę do pisma naukowego, pisze stan 47.
4022:  Jakieś rady?
4023:  Tak, wybieraj tylko pisma, które są z listy czasopism punktowanych.
4027:  Niestety, w normalnych okolicznościach bym bardzo nie chciał dawać takich rad, ale tutaj muszę.
4032:  I must, we are.
4035:  Dobra.
4038:  Więc tak, to co nam pozostaje tutaj, to... No nie, nie opłacę się.
4049:  Jeśli się zaskoczysz... Co jest twoją wolą?
4081:  Dla Imperium!
4082:  Zatakowałem wielkie szaleństwa aktywistycznych, wzruszających przez Świątynię Królowej.
4094:  Zostawiamy się na spokój.
4095:  Nie zostaniemy zatrzymani.
4096:  Nie jesteśmy tak blisko.
4097:  To się zrobi.
4097:  To się zrobi, mój Boże.
4109:  Gratulacje.
4110:  Jestem zajęta.
4110:  Stoję w południu.
4111:  Tutaj!
4115:  Czyż nie?
4142:  Wilker pisze, że jest taki stereotyp faszyzacji społeczności Warhammera czterdziestki.
4148:  Większość community jest super, natomiast zdarzały się przypadki takich ludzi, którzy nie rozumieją, że czterdziestka to jest satyra również na nich, prawda?
4154:  Tylko, że community ich baszuje.
4156:  No to mam wrażenie, że jest bardzo podobna sytuacja jak w przypadku gitgutowej części community Dark Souls, nie?
4161:  Że po prostu o nie jest najgłośniej.
4165:  Co to jest?
4167:  Jestem tu, by służyć.
4168:  Zostawcie to.
4168:  Zostawcie to.
4168:  Zostawcie to.
4192:  Czemu?
4194:  Okej, Brad Harad może się przemieścić, ale teleportacją tylko.
4198:  Spróbujemy.
4202:  Nie ma tu nic strasznego, dobrze.
4206:  Ile tur jeszcze potrwa ta zaraza?
4207:  To jest pytanie.
4210:  Trochę słabe, że nie możemy używać nieteleportujących się Astartes.
4220:  Każde community, że Samuil ma toxiców w sobie, to jego nie zmienimy i pomaga tylko ostracyzm.
4225:  Ostracyzm i edukacja oczywiście, nie?
4237:  Dobrze.
4240:  To tak.
4240:  Tak.
4245:  Ewidentnie, nie ma tutaj... Ale złośliwe to jest, no bo jeżeli przejdziemy tutaj, będziemy mieć zarazę.
4250:  Więc to się kompletnie nie opłaca.
4253:  Przeczekamy to.
4263:  Dobra, ale przynajmniej częściowo już jest okej.
4267:  Dobra, dobra, to była dobra decyzja.
4269:  To była dobra decyzja, bo mielibyśmy jeszcze gorszą sytuację niż w tej chwili.
4275:  Przejdźcie.
4281:  Co to jest?
4282:  Twoje słowa?
4283:  Myślę, że to jest twoje.
4284:  Czy to ja, moi bracia?
4304:  Utopii dystopie to o, tak, jedno z ulubionych moich rzeczy.
4309:  Dobrze, dobrze, dobrze.
4311:  Brat Purgator idzie tutaj.
4314:  Oby, oby zoczył kogoś.
4316:  Co my tutaj możemy zrobić?
4317:  To jest pytanie.
4322:  Troszeczkę niepokoi mnie liczba tych punktów, które tracimy.
4330:  Aaa!
4333:  Aaa!
4335:  Są!
4336:  Są!
4337:  Hehehe!
4347:  Good!
4348:  Warhammer 40 000 w piękny sposób, także zupełnie poważnie mówiąc, pokazuje jak... ...właśnie wszelkiego rodzaju faszystowskie systemy polityczne nie są odpowiedzią na problem.
4359:  Nigdy.
4360:  Bo prowadzą do dodatkowych problemów.
4363:  Krótko mówiąc, najlepszym testem tego, czy w tym świecie się apróbuje tego rodzaju zachowania i tego rodzaju strategie polityczne, jest zastanowienie się nad tym, czy my byśmy chcieli w nim żyć.
4374:  Chyba nie ma żadnego fana czterdziestki, który by powiedział, że chciałby żyć w jakimś miejscu w tej czterdziestki.
4379:  Boże, to byłby sterylny grobowiec nekronów.
4383:  No i wspaniały świadczy rok 1984?
4384:  Szczerze powiem, że Niver, najbardziej lubię my z Yevgenijem Zemiakinem, na którym obydwa są bazowane.
4393:  Szczęść Imperatorowi!
4395:  Witamy Trahal SilverEye.
4397:  Nie wiedziałem, że Warhammer ma swojego XCOM-a.
4399:  To jest już drugi XCOM Warhammerowy.
4401:  Pierwszym jest Warhammer 40 000 Mechanicus, czyli pierwsza gra, w którą graliśmy na streamach.
4410:  Dobrze.
4414:  Ale piękne są te...
4416:  struktury na statkach Eldarów.
4419:  To są takie generyczne, organiczne struktury architektoniczne, jakie są zawsze we wszelkiego rodzaju elfich mieścinach i domenach, oraz również pojazdach, no ale cóż... Eldarzy to są takie wysokie elfy z tego świata.
4437:  Czy to na ukrywanie Baldur's Gate 3?
4438:  Tak i bez chwili wahania.
4443:  Moja propozycja jest taka, żeby zrobić to, co robimy rzadko, a mianowicie ustawić wszędzie strefy.
4458:  Strefy śmierdzi.
