🔴 WIEDŹMIN (SEZON 3) — odcinek 3-5 | Recenzja ze spojlerami #2
🔗 https://www.youtube.com/watch?v=Wiw-Gb3mWek

196:  Wiecie co, w sumie odcinek trzeci nie jest taki zły.
1588:  Za miękkie, żeby coś z niego stworzyć, zupełnie jakbym słyszał narrację o materiale scenariuszowym Loren Histrich, którą od tej pory będziemy nazywać Fistech.
1597:  To jest sekwencja, która jest potrzebna, natomiast pamiętajcie z bardzo prostego powodu.
1602:  Wiecie, jakie są najważniejsze elementy serialu wiedźmińskiego wedle Loren?
1606:  To znaczy serce, rodzina,
1610:  No wiecie, no... Wiedźmin, dziewczyna, prawdziwa rodzina, tak?
1616:  To są te elementy.
1618:  I tutaj Yennefer się dowiaduje, w tym kontekście właśnie, od samej Tisai, że ona już jest mamą.
1626:  że ona zasłużyła na to, żeby być nazywana mamą.
1629:  I ta cała sekwencja, moi drodzy, kończy się taką przepiękną... O!
1634:  Takim uśmiechem Yennefer, która ma takie... A!
1637:  Pierwszy objektif zaliczony, wreszcie, wreszcie.
1641:  Miłość, śmierć i potwory, tak.
1644:  Tak powinno się... Tak się powinno mówić o tym serialu, absolutnie.
1647:  Nie nazywajmy tego serialu Wiedźmińskim, prosi Maciej Anonim.
1651:  Absolutnie, absolutnie się z tym zgadzam.
1653:  To będzie swoją drogą o tym tekst, który mam dla was przygotowany, a zrobimy sobie mały teaser.
1657:  Ten tekst, ha, ha, ha, ha, ha, ha.
1660:  Wiem, to na pewno zabrzmiało strasznie nudno, ale wierzcie mi, jest soczysty i wspaniały.
1664:  No i przenosimy się, moi drodzy, na ulicę niewiadomego miasta.
1667:  Prawdopodobnie są to okolice Aretuzy, ale mnie nie pytajcie.
1671:  Wedle wszelkiego prawdopodobieństwa jest to to samo miejsce, w którym jest ten bank, do którego poszła Yen, ale ja nie mam zielonego pojęcia, jak ono zostało nazwane, ponieważ nikt mi o tym nie mówi.
1679:  O czym natomiast mi mówią, to jest przepiękna sekwencja, mianowicie dowiadujemy się, jak Ciri zaczyna sobie żreć precelki, że nasz Gors Velen, mówicie, dziękuję serdecznie, dlaczego nikt mi tego nie powiedział w serialu, mianowicie dowiadujemy się, że jej towarzysz, a syn tego bankstera,
1696:  który siedzi sobie w Gorzwellen, już wiemy jakie to miejsce dzięki czatom, a nie dzięki zespołowi scenariu pisarskiemu Loren.
1702:  Mianowicie się dowiadujemy, że nie toleruje pszenicy, więc wiecie, inkluzywność, dobrze, ja się czuję w tym momencie włączony, to znaczy była reprezentacja wszystkich grup jak do tej pory, a Krzysztof był niedoreprezentowany.
1714:  Ja też nie toleruję pszenicy, więc wiecie co?
1718:  10 na 10, fenomenalna adaptacja, a tak naprawdę to nie.
1723:  Ta sekwencja jest potrzebna po to, żeby nam pokazać strzelbę Czechowa, jedną z wielu, które wypalą.
1728:  Co ciekawe, równocześnie nie wypali ten pomysł scenariopisarski.
1731:  Tu macie burzę, która będzie tuż nad Aretuzą, ponieważ tam jest wieża Mewy, nie?
1737:  Bardzo jestem ciekaw w związku z powyższym, jak zostanie przedstawiona i ja wiem, moi drodzy, jak.
1742:  Mianowicie, moja teza jest taka, że tak naprawdę ta wieża
1746:  To będzie Menhir.
1748:  Aaa, nie spodziewaliście się tego, a mówię wam, że to jest ten tajn.
1752:  Po to nam są potrzebne obeliski z Wiedźmina Rodowodu Krwi, żeby teraz z obelisków uczynić wieżę.
1759:  Wyobraźcie sobie to, że wokół obelisku
1761:  Jest obudowywana wieża, ona się coraz bardziej rozszerza i oto, proszę, bardzo tak powstał Chokak Pik, czyli w tym przypadku Aretuza.
1769:  To będzie obelisk i przez obelisk Ciri się przeniesie na pustynię, bo miała się oczywiście do Tor Zirael przenieść, ale to się jej dopiero uda w Wieży Jaskółki, ponieważ tak się nazywa równocześnie ten tom.
1782:  Chociaż prawdopodobnie może być zupełnie inaczej.
1785:  Niczego nie wiemy, moi drodzy.
1786:  Więc mamy Menhiry.
1787:  I tu przypominają nam swoją drogą, specjalnie jest tutaj dialog poczyniony przez Netflixa, bo o co to za miejsce?
1795:  Nie moglibyśmy zadać sobie to pytanie, co to jest za miejsce, zanim doszliśmy do Gorswelen, żeby Krzysztof wiedział, gdzie jesteśmy.
1800:  ale niestety nie dostało to zrobione.
1802:  Wyspa Tanet się dowiadujemy, to już wiemy, moi drodzy, ale kluczowa sprawa jest taka, że nasz pan, który ma nietolerancję dla pszenicy, mówi, o proszę bardzo, że jest to wieża mewy, jak najbardziej, ale o wiele, wiele, wiele, wiele, wiele, wiele, wiele, wiele, wiele, wiele, wiele, wiele, wiele, wiele, wiele, wiele, wiele, wiele, wiele, wiele, wiele, wiele, ważniejszym
1822:  Aspektem tej jego opowieści jest to, że według legendy czarodziejki tamże zabierają nowicjuszki do jaskini pod wieżą i następnie, co się dzieje, moi drodzy?
1833:  Ho, ho!
1834:  Zamieniają je w węgorze!
1836:  Jeszcze raz pozdrowienia dla Dawida z Naukowego Byłgotu.
1839:  To jest, Dawid, serial dla ciebie, tak?
1841:  Tu są węgorze.
1842:  One są ewidentnie niesamowicie istotne.
1845:  Co się dzieje dalej?
1846:  Aż nie pamiętam.
1848:  A, moi drodzy, pojawia się ten...
1854:  Hmm... Hmm... Eee... Eee... Istred!
1864:  Pamiętałem, pamiętałem, pamiętałem, tak?
1868:  Pamiętałem, pojawia się Istred, dobrze.
1873:  Natomiast co i czemu ma służyć ta wymiana zdań, tego nie udało mi się dociec za dwoma obejrzeniami, moi drodzy, więc jeżeli ktoś będzie w stanie mi powiedzieć, kto to jest, z kim on rozmawia, ja w tym momencie nawet zniknę, żeby widać było, może rozpoznacie, z kim rozmawia, akurat się zasłaniać musi w tej chwili.
1892:  Kto to jest?
1892:  Z kim on rozmawia i co się tutaj dzieje?
1894:  Ja nie wiem, moi drodzy.
1895:  To jest wieża węgowa, a nie węgorza, a nie mewy.
1898:  Bonhart jest tylko wspanialy.
1899:  Czyli to jest, moi drodzy, easter egg, który ma się pojawić, żebyśmy mianowicie, no niestety dwa razy oglądałem, dobrze słyszycie, żebyśmy mianowicie nie czepiali się, że nie jest ta adaptacja, tak?
1910:  No, więc... Nie, to nie jest czarodziejka.
1912:  Nie ma czarodziejek o takiej jasnej karnacji w tym serialu, moi drodzy.
1916:  O...
1918:  O, to jest nawiązanie do Konningena i o pro... A, księg... A, już wiem!
1924:  Wiem, moi drodzy, to jest cały czas ten wątek, którego nie ma w sadze, dlatego go nie pamiętam.
1928:  Mianowicie wątek wypisywanych imion półelfich nowicjuszek, które są porywane w niewiadomych celach przez Stregobora, ale jeszcze nie wiemy, że to Stregobor, a tak naprawdę to Vilgefortz, ale my nie wiemy, że Vilgefortz to nie Stregobor, a tak naprawdę to nie jest ta osoba tajemnicza, która to robi, więc to są...
1946:  To jest potrójna incepcja, moi drodzy.
1948:  Poważne sprawy.
1948:  Nie, to nie jest jeszcze Księga Menhirów.
1950:  Księga Menhirów się pojawi później.
1952:  Zauważyłem również, to jest ciekawy zabieg, mianowicie ostatnie słowo dialogu, moi drodzy, zwykle, to jest na przykład imię cesarza, tak?
1960:  I teraz mamy cięcie po tym, że jak się pojawia imię cesarza i bam, pojawia się prawdopodobnie
1966:  Cintra chyba teraz się pojawia zupełnie z innych kierunków, jest kadrowana, więc ja nie rozpoznaję szczerze powiedziawszy Cintry.
1975:  Jak są węgorze na tapecie, to ciekawostka od Dawida.
1977:  Węgorz elektryczny nie jest węgorzem, poprawna nazwa to strętwa i nie jest spokrewniony z węgorzokształtnymi.
1983:  Niestety nie mam na streambacku głosu u Krystyny Czubównej, ale postarałem się imitować go jak najlepiej.
1987:  Dziękujemy za ciekawostkę.
1989:  Ośmielę się stwierdzić, że ciekawostka od Dawida z Naukowego Bełkotu jest o wiele bardziej farbująca, interesująca, niż aktualnie ile już w tym momencie?
1998:  20 minut trzeciego odcinka, trzeciego sezonu.
2001:  To nie jest trzeci odcinek, to jest czwarty odcinek.
2004:  Nie, to jest trzeci odcinek.
2006:  O Boże, ile mamy jeszcze przed sobą.
2008:  To jest straszne.
2009:  Po co jest ta sekwencja tutaj?
2011:  A, mianowicie, moi drodzy, chodzi tutaj o to, żeby pokazać, że tak naprawdę Francesca Findabel, wiecie, to jest ta, która przywodzi tutaj powstaniu Scoia'tael, którego nie ma w książkach, kłóci się z innym elfem, którego poznajemy po tym i to jest absolutnie cudowne, ja sobie to nawet zanotowałem z tego, co pamiętam, bo to jest absolutnie doskonałe i genialne.
2027:  do którego wprost tutaj się odzywają per man.
2030:  To znaczy mówią wprost o nim, że jest człowiekiem.
2032:  I to nie chodzi o mężczyznę, ponieważ jest tam też oczywiście zaimek, ale chodzi konkretnie o człowieka.
2037:  To jest przezabawne absolutnie.
2038:  Mam nadzieję, że zrobiłem sobie timestampa, żeby to odnaleźć.
2042:  Prawdopodobnie, ale nie wiem, zobaczymy.
2045:  Nie, nie zrobiłem oczywiście timestampa, jestem idiotą.
2047:  W każdym razie...
2049:  W momencie, w którym cesarz Emil van Emreis, biały płomień tańczący na kurhanach wrogów, który tutaj naprawdę jest takim przygasającym płomykiem, w momencie, w którym wyekspediowuje naszego wspaniałego bohatera, którego miana nie pamiętam, w bardzo charakterystyczny sposób mówi o nim właśnie.
2064:  Boję się teraz, że... O, nakarmcie go pojawia się w polskiej wersji, ale zaręczam wam, aż zmienię specjalnie napisy na angielski.
2074:  Make sure this man is fed.
2076:  Ostateczny dowód na to, to jest kahir, znaczy tak, to jest kahir, ale to jest elf, którego należy nakarmić i on do niego się zwraca, znaczy zwraca się do straży cesarz, make sure this man is fed, więc nawet autorzy dialogów Netflixa nie udają, że elfy nie są elfami, to tak naprawdę są ludzie, którzy mają doklejone uszy.
2098:  Więc to jest, moi drodzy, ostateczny dowód, jaki mamy, z powrotem zmienię na język polski, żeby was nie dręczyć.
2103:  Dobrze, więc tak, to jest przepiękna dialoga.
2106:  Czy to nie był dialog Franceski z Filavandrelem, że z Kojatel muszą walczyć?
2111:  Filavandrela nawet nie rozpoznałem jeszcze w serialu, szczerze powiedziawszy, to jest ten, który później osiądzie w tej Republice Elfów w Dol Blathana, jeśli mnie pamięć nie myli.
2120:  To jest naprawdę kłup skorzenny.
2121:  No, Cahir generalnie ma bardzo ciężkie życie, to znaczy Emer w tym odcinku robi z niego assassina, więc Cahir, zauważcie, przygryza wargi.
2129:  Cahir jest niezadowolony z tej perspektywy.
2131:  Cahir nie chce być assassinem.
2133:  Cahir, jako jedna z nicznych osób z tego świata, nie chce crossoveru, nie chce crossoveru z uniwersum Assassin's Creed, w związku z tym chce zostać w świecie Wiedźmina.
2142:  Drugą osobą jest Henry Cavill, a Henry Cavill uciekł do galaktyki uniwersum Warhammera 40 000.
2147:  Czemu Cesarz Emir cały czas w zbroi śmiga?
2149:  To jest po to, żebyśmy widzieli, jaki budżet teraz poszedł na to, żeby upgrade'ować moszną zbroję do takiego pancerzyka.
2156:  Jeśli mnie pamięć nie myli, było coś takiego kiedyś, niech mnie poprawią specjaliści od stroju średniowiecznego, ja to znam jako saczek.
2163:  I to był taki worek na moszne, które się nosiło w spodniach.
2167:  Wyglądało to bardzo dziwnie, ale ja myślę sobie, że to jest dobra metafora tych zbroi, które dostały upgrade w tym sezonie.
2174:  Podejrzewam, że oczywiście wszystko poszło na pirotechnikę w ostatnich odcinkach, dlatego dostajemy tego tak niewiele.
2180:  Kakir Auditore, tak?
2181:  Ono w ogóle wygląda, tak z nawiasem mówiąc, bardzo podobnie do Cesara Borgi, jeżeli już mówimy o Assassin's Creed, a już to jest świetnym asumptem do przypomnienia, że Assassin's Creed Brotherhood i Assassin's Creed 2 to są najlepsze części serii.
2193:  Nie przyjmuję jeńców, jeżeli chodzi o tę dyskusję.
2196:  Tak, i generalnie rzecz biorąc, na początku tutaj chodzi o to, żeby ohoho może się zasadzić na Franceskę Findabil, ale później w toku odcinka, któż nie będę wam nawet tego później rekapitulował, okazuje się, że tak naprawdę Nilfgaard chce paktować ze Franceską i wszystko jest wspaniale.
2210:  Dziadzio Borgio, jak najbardziej wspaniałe rzeczy, moi drodzy.
2213:  Cahir dobrze wygląda?
2214:  Tak, tak uważam.
2215:  Cahir jest dobrze dobrany, nawet nie mam jakiegoś specjalnego problemu w tym momencie z cesarzem Emyrem, chociaż szczerze powiedziawszy, nigdy w życiu bym nie rozpoznał, że to jest cesarz Emyr,
2224:  ale na szczęście on dostatecznie wiele razy krzyczy, że tutaj ma ten miecz, którym podbije Królestwa Północy, więc tak zakładamy.
2229:  Niemniej to nie są momenty, w których ten casting leży i kwiczy zdecydowanie.
2234:  Momenty, w których casting leży i kwiczy, to są te, w których się pojawia jaskier.
2238:  Nie jestem w stanie się do tego jaskra przyzwyczaić.
2239:  A jeszcze jaskier, moi drodzy, czy możemy w tym momencie prosić o F na czatach dla jaskra?
2245:  Jak można tak ubrać jaskra?
2246:  Ubiór jaskra będzie ewoluował coraz bardziej w toku tych odcinków, które sobie dzisiaj omówimy.
2253:  Jaskier jest coraz bardziej zafrasowany, przybity na takie oleiste włosy, jak profesor Severus Schnaps Pottera.
2261:  Jest...
2262:  zrozpaczony, bo dostaje coraz gorsze kubraczki.
2265:  A wiemy dobrze, że Bard nie jest tankiem, przypominamy, nie jest paladynem, nie jest zbrojnym, spawężem, tylko jest Bardem i gra na mandolinie.
2273:  W związku z powyższym, jaka jest jedyna radość życiowa Barda?
2277:  Mianowicie to, że może sobie się przystroić w świecące, a modne łaszki.
2281:  Tudzież fata łaszki.
2283:  Natomiast absolutnie Bard innych...
2285:  Radości życiowych nie ma.
2286:  No może ewentualnie, jak Scanlan właśnie przyzwał im dobrego barda, rzeczywiście przygrywać nie tylko, ale także czarować tą taką swoją bardzią, magią, trochę jak z Neverwinter Nights.
2297:  To w porządku.
2297:  Natomiast Jaskier nie ma żadnej bardziej magii.
2299:  Jedyna radość Jaskra to jest to, że może przygrywać na mandolinie, układać sprośne piosenki,
2305:  obłapiać niewiasty i nie tylko, no i przede wszystkim dobrze wyglądać.
2309:  Tu to ostatnie nie udaje się niestety, ale muszę powiedzieć, że najlepszą częścią tego odcinka są faktycznie dialogi Wiedźmina z Jaskrem, zresztą tutaj Wiedźmin ma akurat chyba najlepsze sceny z całego, z całego, absolutnie całego sezonu, przynajmniej na razie, bardzo się to podobało, Jaskier wyglądał jakby miał zaraz skoczyć.
2327:  Znaczy, naprawdę, nie wiem dlaczego został też ubrany w takie ciuszki, znaczy mam pewne podejrzenia,
2332:  To znaczy, wszystko poszło w pirotechnikę w ostatnich odcinkach, trzeba było po prostu wziąć wszystko to, co wisiało sobie na wieszaczku.
2339:  I tutaj akurat była podomka Lauren Hissrich, którą będziemy nazywać Fistek.
2343:  I Lauren powiedziała, słuchaj, ta moja podomka, ja jej nie noszę zwykle, czy wychodzę do ogrodu zazwyczaj w niej wtedy, kiedy muszę sobie pilić grządki, zastanawiać się nad genialnymi dialogami do serialu.
2353:  Jaskier, włóż to, nie?
2354:  Tam będziesz dobrze w tym wyglądał.
2358:  Potomność i historia oceni, czy tak istotnie się stało.
2361:  Czy ja mogę jeszcze raz wskazać, jak bardzo nie znoszę tego medalionu?
2364:  Dlaczego on został zmieniony?
2365:  To jest absolutnie przerażające.
2367:  Jaskier jest ofiarą fistechu.
2368:  Czy myślicie, że on też ćpał?
2370:  Bardzo możliwe.
2370:  Ale, ale, moi drodzy, wy sobie myślicie, tutaj takie gadanie, takie chodzenie po lasach, tutaj może się pojawi jakiś dziad borowy w lesie, a może się pojawi leszkel, czyli leszyk, który jest eskelem.
2384:  A może, może tam się pojawi w jakimś Zagajniku, nie Gajowy, tylko hohohoho, Zagajowy.
2390:  Nie, nie moi drodzy, tutaj się będą inni ludzie pojawiać, nie pamiętam w tym momencie jacy to będą aktorzy, więc nawet nie będę sprawdzał, bo chyba nie uda mi się tego znaleźć.
2399:  Natomiast pojawiać się tutaj będzie, moi drodzy, nie mniej istotna rzecz, to znaczy poproszę o werble, dlaczego ja nie mam werbli, powinienem mieć werble, to jest bardzo smutne, że ich nie mam.
2407:  Mianowicie będzie sekwencja akcji, moi drodzy.
2409:  Oto się okazuje, że bardzo się tutaj coś nie uda konkretnie, nie uda się przesłuchanie tej półelfki i ona będzie mówiła prawdopodobnie głosem dzikiego gonu albo kogokolwiek z dzikiego gonu, nie mam zielonego pojęcia.
2423:  Powiedziałem, że nie mam werbli, moi drodzy, jak ja strasznie kłamałem, oczywiście, że mam werble.
2429:  Więc tak, moi drodzy, sekwencja akcji się pojawia, rzeczy się dzieją, proszę bardzo, ludzie atakują, wilkołak, który był wilkołakiem, teraz nie jest wilkołakiem, bo ma medalion, a ojej, i tutaj magia, pchnięcie, ojej, Geralt, i już jest w porządku, już cisza, już cisza, już radość, wspaniałość, jest już, proszę bardzo, widok, piękna panorama, nie wiadomo, co to jest, oczywiście,
2455:  Zielonego pojęcia nie mam.
2457:  Wiem, że port, okej?
2458:  Tyle wiem, ale jaki port i gdzie, prawdopodobnie znowu wracamy do Gorswelen.
2462:  Bardzo możliwe.
2463:  A i tu jest cała ta sekwencja z Bazyliszkiem, moi mili.
2467:  Tak, Gorswelen, to czaty mówiły, że to jest Gorswelen, ja nie miałem zielonego pojęcia.
2470:  To jest akurat rzecz wzięta bezpośrednio z sagi, nie pamiętam z którego, to chyba jest właśnie w czasie Pogardy, niech mnie ktoś poprawi, jeśli tak nie jest.
2477:  Oblivion albo Szczecin.
2479:  Nie, moi drodzy, to jest Świnoujście, a Szczecin to jest Świnioujście, tam uchodzą wszystkie świnie, które odpowiadają za zbyszczeszczenie Wiedźmina, moi drodzy.
2488:  I tutaj pojawia się taki paskudny, nalany Geppetto, który to paskudny, nalany Geppetto mówi, o, ja wam tutaj odstawię większy cyrk niż Loren.
2495:  I wszyscy na widowni mówią, nie, nie, nie, nie, to niemożliwe, to Loren jest mistrzynią cyrków, a on mówi, nie, nie, nie, moi drodzy, ja wam odstawię lepszy cyrk i okazuje się, że pokazuje nieszczęsne stworzenie, które jest taką malutką...
2510:  w Iverną, w Iverno podobne, w nawiązku z powyższym Cirilla interweniuje jako wiedźminka chwacka, no i oczywiście ujawnia się, że wiedźminką on już jest.
2521:  Tak, ten serial wygląda jak Król na Królów z większym budżetem, zaiste, natomiast zaznaczę, że jak Ciri się pojawia sama w kadrach, to znaczy nie ma obok niej Yennefer, to wygląda jak Ciri, natomiast jak się pojawia obok niej Yennefer, to ja zawsze mam wtedy taką konfuzję, kto jest starszy, bo ten, to jest misl.
2539:  Aha.
2542:  Racja.
2543:  W przebraniu.
2543:  Tak jest.
2544:  Tak.
2546:  Natomiast oczywiście, jak widzicie zresztą, zostaje nagabnięta przez czarodziejkę z loży czarodziejek, której jeszcze nie ma.
2554:  I później przez resztę czarodziejek, a na czele jest Tisaja.
2556:  I to jest sekwencja, której kompletnie nie rozumiem.
2558:  Prawdopodobnie chodzi o to, że one się mierzą mocą i tyle praktycznie.
2563:  No i Tisaja kończy z krwawą łuzą.
2566:  Ponieważ okazuje się, że jednak Wola Cirilli...
2569:  tutaj, a Wola Tisai tutaj.
2572:  A moja wola, żeby oglądać ten serial dalej, jest gdzieś zupełnie na dole.
2575:  Dobrze, że mam biurko stojące.
2577:  Bo dzięki temu jesteśmy w stanie to pokazać.
2579:  O!
2579:  Pamiętam, że ktoś mówił, ale Krzysztof, to jest znakomita scena, w której Marguerite Loanty razem z Yennefer oraz Tisaju oraz Sabriną Glewisik uczą Cirille, jak to jest nie być wiedźminką, a być nowicjuszką w arytuzie.
2594:  I to jest bardzo dobra scena, Krzysztof, bo ona jest taka w łaźni i w ogóle
2599:  No okej, dobrze.
2602:  Gdybym nie wiedział, że to jest łaźnia, to miałbym pewne trudności ze stwierdzeniem.
2605:  To jest Sabrina Glewisik.
2606:  Rozpoznajmy po niej, że jest czarodziejką.
2608:  Nie wiem, na czym to polega.
2610:  Być może na tym, że Sabrina Glewisik wygląda tak, jakby nałożyła na siebie 17 filtrów na Instagramie i dokładnie tak samo powinna wyglądać każda czarodziejka tutaj.
2617:  To tak nawiasem mówiąc, bo to absolutnie nie chodzi w tym momencie o etniczność i kwestie etniczne, tylko chodzi o to, że każdy powinien wyglądać tak, jakby miał nałożone 17 filtrów na Insta, z tego względu, że czarodziejki miały taką...
2628:  technikę uwodzenia monarchów i panowania nad nimi, bardzo się nimi skłonędinąc, z tego względu bawiąc, co sprawia, że Andrzej Sapkowski powinien być odczytywany, i z nawiasem mówiąc, jest przez wszystkich praktycznie, jako prozaik na wskroś feministyczny, który pokazuje właśnie, jak można wodzić patriarchat sobie za nos.
2644:  I dlatego mnie strasznie bawi, jak ktoś mówi, że Andrzej Sapkowski to jest literatura prawicowa.
2648:  Nie, nie jest w żadnym razie.
2649:  W każdym razie kończy się to, moi drodzy, spektakularną porażką.
2652:  To znaczy Cirilla w którymś momencie mówi...
2654:  A ja nie będę podawać wina, nie, nie będę, bo ja jestem, ja jestem Tridle, jestem lwiątko z Tintry, ja takiej rzeczy robić nie będę, w związku z powyższym jest problem.
2664:  Problem ten oczywiście ma Yennefer, jak pamiętacie, najważniejsze rzeczy to jest rodzina, serce i potwory, miłość, śmierć i potwory, w związku z powyższym prosta sprawa.
2673:  No i Yennefer ma problem, to znaczy Yennefer konfrontuje się z Cyrillą i Yennefer mówi, nie będzie takich rzeczy, nie możesz być taką złą curunią, nie możesz mówić, nie chcę tego robić.
2681:  Szczęśliwie mamy bardzo dobre dialogi, nawiasem mówiąc, po tym jak się przeskakuje, co 10 sekund widać, jakie te dialogi są skąpe i jak są skąpoprowadzone.
2688:  No i w którymś momencie Cirilla mówi, że rzeczywiście Yennefer nie jest Geraltem, tak?
2692:  Mówi, dziękujemy Yen.
2694:  Mogliśmy mieć pewne wątpliwości, czy jesteś Geraltem.
2696:  No i teraz wiecie, po co to jest?
2698:  No po to, żeby był konflikt tragiczny w postaci Yennefer.
2701:  Jej się wydawało, że jest matką, a teraz wie, że nie jest Geraltem.
2706:  Znaczy, tak naprawdę chodzi o to, że dowiaduję się z tej sceny, że no nie sprawdza się jako mateńka, ponieważ Ciri mówi, ja chcę do Geralta, Geralt fajny, Geralt miecze, a nie jakieś obżerające się winogronami czarodziejki w aretuzie, dajcie sobie spokój, spójrzcie się do tych kanałów z węgorzami i nie...
2723:  Dajcie mi zabijać z powrotem modliszki, wy wierny, zojgle i strzygi, bo ja jestem lwiątko z cinty na szlaku wiedźmińskim i tyle, no.
2732:  W związku z powyższym, Yennefer nie jest Geraltem, cieszę się, że przynajmniej to ustaliliśmy.
2737:  Nieco poezji dla wsparcia od Dawida.
2740:  Sezon trzeci deprawacji cudu naszej polskiej nacji, machnią jej ręką przyjacielu, łyknij sobie cosik z chmielu od Netflixa z Lej Wiedźmina, dawać więcej Vox Machina, czy ja mogę prosić o brawa dla Dawida, który skomponował nie tylko już hajku, ale i wiersz.
2757:  Wiedział Krzysztof, wykorzystując chytrze ten moment, żeby zasilić się wodą, a ściśle mówiąc herbatą.
2762:  Pamiętajcie, że w Wiedźminie nic nie ginie.
2765:  Jedyne, co zginęło, to jest proza Andrzeja Sapkowskiego oczywiście.
2769:  To jest coś, co zostało uśmiercone w pierwszej kolejności.
2771:  Potem zginęły wszystkie odniesienia do gier wiedźmińskich, no a potem zginął oczywiście talent reżyserski, ale z drugiej strony jego nie było na początku, więc nie miało co ginąć.
2779:  Więc nie zginęła również ta druidka, która nie jest druidką, bo jest czarodziejką, ale i tak nie pamiętam jej imienia.
2785:  I tak samo będzie zresztą z następnymi osobami, na które się zaczai pewien potwór, który będzie w odcinku czwartym i wierzcie mi, będzie to ciekawe.
2792:  To są takie momenty, momenty, kiedy Wiedźmin wygląda jak fantasy, nie?
2798:  Bardzo rzadkie momenty, wreszcie jest dobre światło, wreszcie jest jakiś klimat, tutaj coś, nie wiem, pada światło księżyca za okna, tu są jakieś cienie,
2809:  No dlaczego tak nie może wyglądać każdy kadr w Aretuzie?
2812:  Dlaczego tak nie może wyglądać w ogóle każdy kadr w tym serialu?
2815:  No odpowiedź mi następująca.
2816:  Dlatego, że tutaj nie wykorzystano CGI, a tam wykorzystano.
2820:  Ida pisze, że obejrzałaby ten serial, ale na ekranie tylko ciemność.
2824:  Ale to swoją drogą, bardzo jest ciemny ten odcinek, to jest rzecz, do której dotrzemy, moi drodzy, następnie.
2829:  To pewnie Węgorzewo.
2830:  Nie, Węgorzewo jest w Aretuzie, na wyspie Tanek, gdzie jest tylko Aretuza, mimo że powinno być tam więcej rzeczy.
2836:  Tu się, z tego co pamiętam, pojawia odniesienie też do matki Geralta, Vienny, jeśli mnie pamięć nie myli, ale tylko tyle.
2844:  No i wracamy do wątku cały czas tych nieszczęsnych półelfów, które są ścigane z uwagi na jakieś mistyczne moce.
2852:  Jeszcze nie wiemy, z czego to zostanie powiązane, prawdopodobnie oczywiście ze starszą krwią Ciri.
2857:  No i właśnie, dyskutuję sobie na ten temat i NFR stisają cały czas, zastanawiając się, gdzie wrzucić ten worek ziemniaków, który jest Cirillo.
2865:  Loren wyszła na papierosy, dlatego tak to dobrze wyglądało, mówicie.
2868:  To jest możliwe.
2868:  Nie, tutaj też światło jest okej.
2870:  Naprawdę, ten odcinek akurat, jeżeli chodzi o kwestie kinematograficzne, jest najlepszy do momentu, w którym się pojawiają takie sceny na przykład, nie?
2876:  To znaczy, no jest strasznie, ale to strasznie ciemno, a potem przechodzimy, moi drodzy, do...
2882:  No takiej klepawej korony królów.
2884:  Wizenna, dziękuję.
2885:  Wiedziałem, że się pomylę, tak?
2887:  Widziałem.
2887:  Dziękuję, że mnie poprawiacie.
2889:  I tak cud, że ja cokolwiek pamiętam.
2892:  Jeżeli będzie bingo z tych live'ów, to i tak cud, że ja cokolwiek pamiętam, będzie jednym z elementów tego bingo.
2897:  To jest, moi drodzy, jeżeli byście nie pamiętali, z powrotem Redania i Sala Tronowa, w której dzieją się rzeczy.
2903:  I oto tutaj, moi drodzy, kroi się spisek.
2905:  Wiesz co, myślicie sobie, że ha, ha, ha, ha, ha.
2908:  co to za spisek może być, a mianowicie spisek jest następujący, to znaczy wam się wydaje, że na przykład można byłoby zostawić Hedwigę Redańską, to jest tak sama Hedwiga swoją drogą, jak imię Potterowskie bardziej znane, że można byłoby zostawić przy życiu, zwłaszcza że wszystkie znaki na niebie i na ziemi w Królestwa Północy świadczają o tym, że ona sobie bardzo dobrze żyje, to są incydentalnie dokładnie takie same
2931:  znaki na niebie i ziemi, które wskazują na to, że Wisimir Redański ma syna Radowida, a nie brata.
2937:  No niemniej Loren z jakiegoś powodu zdecydowała, że należy ubić Hedwigę Redańską.
2941:  Czy ktoś mi może wytłumaczyć dlaczego?
2943:  Nie tylko to wygląda, jak pisze Miku Suwu, jak maska halloweenowa, ale dlaczego w ogóle tego rodzaju zmiana jest wprowadzona?
2949:  Zwłaszcza, że Hedwiga Redańska była wspominana parę razy w sadze jako ta, która odpowiadała między innymi za gromienie Scoia'tael, więc to jest
2957:  Związane z fabułą w tym momencie serialu są Scoia'tael, jest tam ta zmiana oczywiście z Franceską Findabir i tym, wiecie, nocą dzikich noży, gdzie podderżnięto gardła wszystkim niemowlętom, znaczy magią oczywiście, pamiętacie tę scenę być może z poprzednich sezonów, więc to jest ta zmiana, ale Scoia'tael są, tak?
2976:  Cały czas ta rebelia jest, elfy walczą o...
2980:  wyemancypowanie i niepodległość, Dolblafa ma, więc można było spokojnie tę postać zostawić, nie rozumiem dlaczego.
2986:  Geralt wspomina Wiesennę tutaj, pisze FRS, a wątek ten nie wraca w rozmowie z Vilgefortzem.
2992:  Przecież te paralele między nimi były arcyciekałe, bo rozmowa z Vilgefortzem jest w ogóle spaprana kompletnie.
2996:  To jest tak zwane shock value, mówicie, wyłącznie, prawdopodobnie.
3000:  Ech...
