Na ratunek Ciri wszyscy się rzucili — WITCHER 3 Livestream #25
🔗 https://www.youtube.com/watch?v=agVyy0IDZ2I

3:  Ostatni raz.
4243:  Twoje źródło informacji o świat... Przepraszam, zakrztusiłem się.
4251:  Moje źródło informacji o światoprosie jest bardzo proste, moja głowa, to znaczy ja się tym zajmuję po prostu.
4258:  O tym pisałem książki, ale jeśli chodzi o książki naukowe, z których korzystałem, to niewiele tego jest na świecie, jedna konkretnie.
4269:  Mam herbatę w płucach w tej chwili.
4273:  A takich popularnonaukowych to jest sporo, ale one są utrzymane w takim stylu poradnikowym, więc ja z nich nie czerpałem wiedzy.
4285:  Mikołaj ostatnio rzadko wpada.
4286:  Prawda, Mikołaj, ale i tak cię witam.
4288:  Padło mi się przywitać i uczyć na dwa kolekwia w środę.
4290:  Uuu, ponieważ prowadząca jednego z przedmiotów nie umie tłumaczyć samemu, trzeba ogarniać.
4294:  Co stawia pod znakiem zapytania uczestnienia na ten przedmiot.
4298:  Nieprawdaż?
4299:  Elfy wolicie mloczne czy te klasyczne?
4301:  Ja jestem po stronie klasycznych.
4303:  Jaka świeca się igni?
4304:  Uuu, podoba mi się ten czasownik.
4308:  Zapomnienie.
4311:  Nie mów hop, zanim nie powiesz hip.
4314:  Szymon pisze, że według niego mimo sporej krytyki Cyberpunk'a łatwo dobrze rozwijać ten świat i tworzyć dodatki.
4319:  Tak, zgadzam się absolutnie.
4322:  Ale myślę, że trzeba byłoby dać temu poleżeć, wiecie, jakieś kilka lat, zrobić Wiedźmina 4 i potem wrócić do Cyberpunka, ale tak naprawdę z przytupem, bo prawda jest taka, że reputację tej gry może uratować to, co zrobili twórcy No Man's Sky.
4336:  Znaczy zrobienie tak genialnych dodatków, darmowych, absolutnie darmowych i rozszerzeń fabularnych, że wszyscy, którzy krytykowali to doceniam.
4358:  Jedna planeta w siecie Star Wars, jaką bym stworzył?
4366:  Planeta, która jest jedną wielką świątynią Sithów.
4369:  Tak, Kurusant, tylko że sami Sithowie.
4372:  Och, tak, ale bym to chciał!
4376:  Jest piękna gra Outsiders.
4378:  Looter shooter cztery klasy, w tym piromanta, ale nie zagrasz, bo broń palna.
4381:  Nie, gorzej, magiczcze.
4382:  Nie zagram, bo looter shooter.
4383:  Nie znoszę looter shooterów.
4385:  To jest okropny typ gry dla mnie.
4390:  Widzicie, jak ja traktuję looting?
4392:  To znaczy mniej więcej od początku gry gramy dokładnie takim samym zestawem.
4398:  Jedyna rzecz, którą efektywnie zmieniliśmy, to przekuliśmy nasze okulary tak, żeby były sprzężone z uszami.
4405:  O!
4407:  Konkretnie zestaw maskujący.
4408:  To jest jedyna rzecz, którą zrobiłem ponad ten zestaw.
4413:  Więc ja bym miał co chwilę przełączać się między bronieniami i to byłbym tak samo zachwycony jak w Cyberpunku, nie?
4423:  Za parę lat, pisze Jakub, tworzenie dodatków nie będzie miało sensu, bo wszyscy będą myślami gdzie indziej.
4426:  Dodateki fabularne trzeba robić na już.
4428:  Okej.
4428:  O tym nie pomyślałem.
4431:  No trudna decyzja tak czy siak, nie?
4433:  To tylko pokazuje, jaką pułapką jest rozwijanie kilku IP naraz dużych.
4440:  Może to była za duża gra.
4442:  Może trzeba było kapitalizować Wiedźmina III nawet, przed robieniem Wiedźmina IV.
4447:  Bo prawda jest taka, że na tej mapie, jak zobaczycie, tu jest miejsce spokojnie, znaczy nie tutaj akurat, ale tu, tu jest spokojnie miejsce na raz, dwa,
4459:  Trzy i cztery dodatki potencjalnie, czyli tak, Zerikania, Ofir, to jest Ofir, dobrze pamiętam?
4465:  Nie, tu jest... Pamiętam, gdzie jest Ofir, szczerze powiedziawszy, bo ta mapa wiedźmińska jest niekonsekwenna.
4469:  Tu jest Nilfgaard na pewno, więc do Nilfgaardu moglibyśmy się przenieść spokojnie, bo fabuła do tego nawet zachęcała pod koniec Wiedźmina, nie?
4476:  I dodatek polegałby na tym, że moglibyśmy być Ciri na terenach Nilfgaardu.
4480:  Super sprawa, w zależności od wyborów.
4482:  Zerikania wiadomo, ale co tutaj jest?
4485:  Pamiętam, co tutaj jest.
4486:  Kovir, pisze Ravan.
4488:  A, no, no właśnie.
4490:  Czyli Kovir, Zerikania, Nilfgaard.
4493:  Tak przynajmniej.
4494:  Poza tym przypominam, że tutaj jest tak, że tylko maleńkie obszary są wyeksplorowane.
4500:  Jak zobaczcie, mam mapę geopolityczną Wiedźmina.
4502:  Gdzie jest Ofir?
4504:  Ofir jest jeszcze pod Nilfgaardem.
4506:  No to widzicie, jaki jest potencjał gigantyczny.
4509:  Do tej samej mapy.
4520:  Jakub jako Warhammerowie z level początkujący dostał w pierdol malekitę, bo zapomniał wyłączyć inwazji chaosu.
4526:  Uuu, jak boleśnie!
4528:  To już na poziomie setnego poziomu jest inwazja chaosu.
4531:  Znaczy setnej tury.
4533:  Bardzo współczuję.
4538:  Koroban ze starego kanonu Planeta Sithów tak, spełnia swoją rolę, ale mam wrażenie, że Koroban był raczej w takich klimatach stare świątynie i tajemnice, a ja myślałem o klimatach Republika Galaktyczna.
4557:  Tak jest, zapisujemy już na tym etapie.
4563:  Zobaczymy, czy nasz zestaw jest wystarczający.
4570:  Witamy w Wunsza Midgardu.
4572:  Witamy.
4573:  O tak, to jest to miejsce, w którym gra będzie nas promptować.
4582:  Korriban, nie koroban?
4583:  Zawsze czytałem kor... Aaa.
4586:  Aaa.
4587:  Wiele wyjaśnia.
4589:  CDP twierdzi, że w przyszłym roku będzie dużo inwestować w rozwój Cyberpunka.
4597:  umiejętność manipulowania czasem jej czy innej.
4600:  Jeżeli jest dobrze zrobiona, to jej.
4603:  Ale uprzedzając pytania, nie grałem jeszcze w Deathloop.
4609:  Może być ciężko z naszym setnym poziomem.
4618:  Jakoś tak smutno bez Toussaint.
4620:  Wrócimy jeszcze do Toussaint na pewno.
4623:  Co myśl o Janie Nowickim?
4624:  Zgadzam się z tym, co powiedziała Kasia Babis.
4627:  W stu procentach.
4630:  Dobrze, że to ktoś wreszcie zrobił.
4638:  Nie!
4643:  Poziom maksymalny jest setny, Filipie, taki jaki mamy.
4674:  Pierwsza cutscena od lat.
4682:  Niedobrze się dzieje.
4692:  Za oknem wicher wieje.
4693:  Nic nie pamiętam, co tu się dzieje.
4694:  Absolutnie nic nie pamiętam.
4698:  Oho, jak znam życia, będziemy podążać za tym ognikiem, to się źle skończy.
4704:  Zawsze się źle kończy podążanie za ognikami.
4707:  Nigdy nie należy podążać za ognikami, zwłaszcza na bagnach.
4716:  Z okazji bycia na Skellige Żółwik proponuje użycie unikatowych jamników piratów.
4720:  Tak, chyba najrzadziej używana emoji jamnicza po Sherlocku.
4723:  A szkoda, bo jest przepiękna.
4732:  Nasza dzielna mała łódeńka jest zagrożona przez Ohydnę!
4737:  Ohydna jest na... One-shotujemy Ohydny!
4741:  Opłacało się.
4746:  Czemu ja nic nie pamiętam?
4750:  W ogóle nie... Ale absolutnie nic... Bo w Toussaint już było lepiej, bo ja dodatek Wiedźmina ogrywałem możliwie niedawno, ale...
4762:  Główna fabuła?
4763:  Przecież ja to robiłem na premierę gry!
4766:  Przecież to była... To jest jakaś prehistoria kompletna!
4776:  Ja ci dam Arielkę, Alkun!
4778:  To są obrzydliwe ohydny!
4784:  Dlaczego lata mi owad, skoro ja mam wszędzie moskitiery i nie otwieram okien?
4788:  Co się dzieje?
4792:  Won.
4794:  Owady powinny nie istnieć.
4800:  Proszę, jak pięknie zacumowaliśmy.
4804:  Gerwanci z Karaibów.
4816:  Ten lampion jest ładny.
4818:  Wygląda jak...
4820:  Wygląda jak zamek, który jest zawieszony.
4822:  Dobra, bo będzie znowu, że nikt nigdy.
4824:  Krzysztof, ten lampion jest ładny.
4828:  Mówiłem, że będą... Mówiłem!
4831:  Mówiłem!
4832:  Nie podążać za światłem!
4835:  Podąża się za światłem już tylko wtedy, kiedy jesteście tak starzy, że nic nie widzicie innego. ...
4849:  Muszę powiedzieć, że to jest najbrzydszy błędny ognik, jakiego widziałem w całym swoim życiu.
4863:  Wiecie co?
4865:  Uczyńmy ten moment unikatowym.
4869:  Wtedy, kiedy nikt się nie spodziewał.
4872:  Wtedy, kiedy absolutnie nikt się nie spodziewał.
4878:  Błędne ogniki wywołyły skojarzenie.
4883:  Skojarzenie, które zawiodzie nas do rękopisu znalezionego w Smoczej Jaskini.
4889:  W tym trójkompisie znalezionym w Smoczej Jaskini czytamy... Świtezianka!
4896:  Odmiana rusałek, świtezianki, wbrew ogólnie przyjętej teorii, wcale nie mają habitatu!
4903:  ograniczonego do jeziora Świteś żyją w wielu innych wodach.
4909:  To Świteś wzięła nazwę od Świtezianki, nie odwrotnie, nie Świtezianka od Świtezi.
4915:  Korzeń nazwy Świt jest indoirańsko-awestyjski.
4921:  Świtezianki lubią figielki i babią ku sobie młodzieńców, z reguły na ich zgubę, mówi poeta.
4929:  Tem z zasłon błysnął piersi łapędzie.
4934:  Żylec w ziemię patrzy skromnie.
4938:  Dziewica w lekkim zbliża się pędzie.
4943:  I do mnie woła.
4945:  Pójdź do mnie.
4950:  Adam Mickiewicz.
4958:  Świtezianka.
4960:  Z samym jeziorem Świteź wiąże się natomiast inna legenda.
4963:  W wieku XIII Świteź była grodem, zdawię dawna siedzibą kniaźniowskiego rodu Tuchanów, wasali potężnego księdza Mendoga, zjednoczyciela ziem litewskich.
4974:  Kiedyś zagrożony najazdem ruskim, Mendog zażądał od kniazia Tuchana wypełnienia obowiązków wasala, stawienia się konno i zbrojno, z wszystkim ludem do noszenia broni zdolnym.
4985:  Tuchan wiernie dotrzymał przysięgi, a w świtezi ostały się jeno kobiety i dzieci.
4990:  Ledwie zapadła noc, rozległ się wrzask.
4994:  Nadciągnęło to hordo moskiewskie.
4996:  Gród pozbawiony obrońców nie miał szans.
4998:  Padły bramy pod ciosami taranów.
5000:  Kobiety i dzieci zamknęły się w wieży, a widząc, że ruś już się wdziera i tam, by ujść hańby, zaczęły jedna po drugiej popełniać samobójstwa.
5008:  Córka kniazia Tuchana wzniosła zaś ręce i oczy.
5013:  ku niebu i wezwała boskiej pomocy.
5017:  I ona nie przyszła.
5018:  A nie!
5018:  I nagle wszystkie mieszkanki świtezi wraz z dziećmi zamieniły się w wodne kwiaty.
5026:  A sam gród w jezioro.
5028:  Tym sposobem świtezianki nie tylko ocalały przed zhańbieniem i niewolą, ale wywarły zemstę na najeźdźcy.
5035:  Jakimś sposobem... Mówi o tym... POETA!
5043:  Doświadczył tego car i ruska zgraja, Gdy pięknął i zawsze kwiecie, Ten rrrrr wiej i rzeszak stalony umaja, Ten wianki na skronie plecie.
5054:  Kto tylko ściągnął do głębiny ramię, Tak straszna jest kwiatów władza, Że go natychmiast choroba wyłamie I śmierć gwałtowna ugadza.
5060:  Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
5073:  Mickiewicz!
5077:  Wieszcz!
5080:  Nad jeziorem Świteś straszy do dziś.
5083:  Zaprawdę.
5085:  Strach słuchać, kiedy bają o tym starce i strach wspominać przed nocą.
5092:  Co Sapkowski brał, jak to pisał?
5094:  To, co zwykle!
5096:  To, co zwykle!
5102:  czad są przerażone.
5105:  Jak wspominałem, już nie darzę Adama Mickiewicza przesadnym szacunkiem.
5111:  Jest świetna legenda, mroczna, o jakichś rusałkach i nimfach, a gość zatem, a na tym umajonym gaju ratarata, jaki to ma sens, zero imersji.
5123:  Goethe przynajmniej, jak coś pisał, to było mrocznie.
5130:  Chwietlik zatrzymał się przy chatce.
5133:  Muszę tam zajrzeć.
5140:  Chatka.
5142:  A wewnątrz dzierlatka.
5144:  Zamknięte.
5148:  Jest tam kto?
5152:  Zaraza.
5152:  Kto?
5156:  Nie zrobię ci krzywdy.
5158:  Otwórz.
5158:  Załóż maseczkę!
5158:  Coś ty zajedę, niczego tu szukasz!
5167:  Jak to dobrze, że mamy książkę.
5169:  Na sześciogodzinnym streamie mógł przynajmniej raz cokolwiek.
5171:  Odświetla się tutaj o sztukę wyższą, prawda?
5172:  Prawda?
5177:  Kinga pisze, że podjęła przed chwilą próbę zdania testu do pracy po raz szósty i jej się nie udało.
5182:  Kingo, jesteśmy z tobą.
5184:  Niech cię pocieszy fakt, że ja nie zdałem żadnego testu w swoim życiu.
5187:  Mówią na mnie Geralt, a wy coś się zajedli.
5191:  To wiedźmi!
5191:  Słyszałem balady o nim i tej czarodziejce, jakie było!
5197:  Zresztą on się tutaj schronił przed covidem.
5202:  Powoli kończy mi się cierpliwość.
5204:  Świetnie!
5206:  To znaczy, że zaraz sobie pójdziesz!
5207:  Dobra riposta!
5208:  Piękne zdrowia!
5208:  Ogarnij się, chłopaki!
5209:  Muszę powiedzieć, że dobra riposta.
5211:  Do zobaczenia, Paulino, do zobaczenia.
5211:  Dobrze mówiłem.
5212:  Tak, Geralt.
5212:  Słuchaj, Geralt.
5213:  Przejdźmy do konkretu.
5213:  Przeżyliśmy katastrofę morską.
5214:  Kilku moich chłopaków zebrały bestię.
5218:  Aż w końcu znaleźliśmy spronienie tutaj.
5232:  To nie jest czasem... Ta wyspa jest pełna niebezpieczeństw.
5235:  Guślarz!
5235:  Myślimy się, że jesteśmy nie u nich.
5241:  Gdzie jest księżniczka, Guślarzu?
5243:  Guślarzu, co?
5244:  Co?
5244:  Guślarzu, nie rób tego!
5246:  Guślarzu!
5247:  Guślarzu, to jest maltretowanie zwierząt!
5250:  Nie wolno!
5253:  Na tę wyspę nie da się trafić w zwykły sposób.
5255:  Katastrofa morska to nie jest zwykły sposób!
5260:  Dajże spokój.
5261:  Dobrze wiesz, o co mu chodzi.
5266:  Ups.
5267:  Ja wytłumaczę.
5267:  Jakiś czas temu płynęliśmy ze Skellige... Księżniczka mówi!
5270:  ...i Ferenc kupił od kapitana magicznego świetlika, który ponoć znał drogę do ukrytego skarbu.
5283:  Nie, nie musicie się obawić.
5283:  Nie, nie, chodź.
5284:  Ja dowiedział list do stada Kurtzwolf!
5294:  Straciłem już zbyt wielu przyjaciół.
5296:  Nie będę ryzykował.
5296:  Pomożemy... A jeśli znajdę waszych przyjaciół, to uwierzycie, że nie jestem groźny?
5299:  No, to nie będzie łatwe.
5304:  Ilu ich było?
5311:  Trzech.
5312:  Ivo, Gaspard i Ferenc.
5313:  Ten Ivo... Gdzie go szukać?
5323:  Kretel, uparł się, że przeszuka jaskinie na wskocie.
5328:  Nie zdołałem wybić mu z głowy tego pomysłu.
5331:  Gdzie szukać Gasparda?
5357:  Okej.
5359:  Gdzie poszedł Ferenc?
5369:  Ferenc brzmi jak złota rączka.
5373:  Postaram się odnaleźć wszystkich trzech.
5376:  Do zobaczenia.
5377:  Mam nadzieję, że będzie się to wiązało z walkami.
5380:  Czy jutrzejszy stream to spóźniony żart pierwszokwietniowy, czy najprawdziwsza prawda?
5384:  Najprawdziwsza prawda, Marku.
5385:  To jest prezent mikołajkowy.
5391:  Najprawdziwsza prawda, gramy magiem ognia, a ja gram na myszy i klawiaturze.
5397:  To będzie bardzo zabawne.
5412:  Tu będzie nawet... Zobaczycie, że częściej w Soulsach, częściej będzie zabijać grafitacja, niż bossowie.
5427:  Częściej.
5434:  Potężny Geralt, setny poziom umiejętności.
5439:  Quen i tak nie działa, wiem, ale co tam.
5449:  Tchórzliwe harpie!
5451:  Przyjdźcie tutaj, żebym mógł was palić!
5454:  Palić harpie!
5455:  Tak!
5456:  Pięknie.
5467:  Płań!
5469:  Płań!
5485:  No dobrze, skoro mamy już to za sobą... Podróżujemy dalej.
5493:  Znaczy, nie dziwisz mnie, Szymonie, że zaczynanie piromantów w sosach nie jest przyjemne, ponieważ zaczynanie magiem w jakiejkolwiek grze nie jest przyjemne.
5502:  Do dzisiaj pamiętam Two Words 2 i dwójpółgodzinne uciekanie przed jednym szkieletem w ruinach.
5508:  Moja kula ognia zadawała mniej więcej tyle obrażeń, co rzut chusteczką do nosa i zabierała szkieletowi mniej więcej jedną setną paska życia, podczas gdy...
5523:  Podczas gdy... Oczywiście, gdybyśmy używali miecza, to rozprawilibyśmy się z nim 5 sekund.
5529:  Ale za to... No, buildy magiczne mają jedną, piękną zaletę.
5534:  To znaczy, jak już się przemęczy człowiek na początku, to dzieją się takie rzeczy.
5541:  Spotkałem twoich przyjaciół!
5543:  Chodź!
5544:  Dobra!
5545:  Już schodzę!
5547:  Radzę ci dopiero.
5550:  Wiesz, żałuję tylko jednego.
5557:  Od pustego mieba bym zaczął, jeżeli chodzi o Ratkaraka.
5564:  No to tyle w temacie, jeżeli chodzi o pierwszego radosnego przyjaciela.
5569:  Nie zapomnijmy o tym, że warto go... Dlaczego go nie możemy zlutować?
5573:  Możemy!
5576:  Wyprawmy go na tamten świat.
5580:  Jaka piękna latarnia morska.
5593:  Szkoda tylko, że to jest wyspa mgieł i się nie przydaje.
5596:  Przełączmy się tutaj.
5603:  Czy wgrywam w gry o tematyce giezdno-wojennej?
5606:  Tak, jak są dobre.
5608:  Ostatnia dobra gra o automatyce gwiezdnowojennej Kotor.
5613:  No dobra, jeszcze Star Wars Empire at War.
5619:  Bardzo czekałem na poziom 13-13, coś takiego.
5625:  Lucas miał zrobić grę na Kurusan osadzoną.
5636:  O Fallen Order dużo ludzi też mówiło, ale Fallen Order jest w nowym kanonie gwiezdnowojennym i to jest jego podstawowy problem.
5643:  Ja jestem bardzo dużym nerdem Star Warsowym, więc mnie widok Imperatora, który jest jakimś cieniem Shiva Palpatina ze starej trylogii tak denerwuje, że nie jestem w stanie tego znieść.
5657:  Cały tamten wątek
5660:  bitwy na dżedzie i jego projekcji, z której on przemawia.
5664:  Nie, nie, to jest zbyt, zbyt dużo jak na moje nerwy.
5671:  The Old Republic jest MMO TRL-u, więc nie grałem.
5674:  Dużo ludzi mówią, o Krzysztof, Krzysztof, ale możesz zagrać za to jako w single player.
5678:  Tak, no, w szachy też można grać tak jak w warcaby.
5683:  Ale nie.
5685:  Wolę gry single'owe, które są zaprojektowane jako takie gry.
5691:  Więc tak samo jak z Fallen Order oglądałem po prostu.
5704:  Bies jest silny.
5705:  Tak naprawdę to nie.
5713:  Duża zaleta biesa polega na tym, że płonie.
5726:  Czy to absurdalne, a propos rycerza lepszego niż maga, że mieczem najwyżej ranę kłótę można zadać, podczas gdy magiem można spalić delikwenda na popiół w czasie rzeczywistym?
5734:  I mean, right?
5738:  Poza tym mag zawsze może też nasycić mocą broń.
5741:  Swoją drogą, w Soulsach to jest możliwe.
5746:  Skłodron?
5746:  Za dużo, za dużo latania w przestrzeni kosmicznej, w której się można zgubić.
5753:  Wysłanie mnie w przestrzeń kosmiczną z moją orientacją jest naprawdę kiepskim pomysłem.
5761:  Dużo Orenów.
5763:  Chcę więcej Orenów.
5764:  Czemu możemy wejść w biesa?
5769:  Kogo oglądam gry?
5772:  Realnie mam paru swoich ulubionych streamerów.
5775:  Jeśli chodzi o...
5777:  I większość ostatnich to oglądałem je u Lowko.
5780:  Także u Lowko oglądałem stream z Dark Souls, bo Lowko podobnie jak ja przez pół życia, w odróżnieniu ode mnie, tylko Lowko jest w lize Grand Master StarCrafta, no ale on też zawsze grał na myszy i klawiaturze, więc cierpiał podobnie jak ja będę cierpiał.
5796:  Dobrze, jest jeszcze jedna ochydna.
5799:  Kiedyś dużo też oglądałem Roya.
5803:  Jakieś 10 lat temu.
5805:  Zaczynał z kanałem dosłownie.
5813:  i... Dzisiaj pamiętam jak oglądałem na konferencji naukowej stream Roya z gry
5822:  w której się bardzo dużo snajpiło.
5824:  I koledzy z zagranicy dziwnie na mnie patrzyli, nie do końca rozumieli, co się tam dzieje, ale zrozumieli w momencie, jak Rojo wrzeszczał boom headshot i wrzeszczał tak, że słychać było przez słuchawki na drugiej stronie sali wykładowej, czego ja niestety nie wiedziałem, ponieważ oczywiście, że oglądałem Roja w trakcie, jak były nudne referaty.
5844:  Dom z papieru ostatniego sezonu jeszcze nie widziałem.
5846:  Czekam, aż wyjdzie w całości.
5847:  Wyszedł już w całości.
5852:  W kole czasu główny protagonista używa w pewnym momencie ognistego miecza.
5855:  To znaczy, że jest magiem ognia.
5858:  Nie.
5860:  Znaczy, koło czasu to w ogóle jest problem.
5862:  O, w kole czasu też jest efekt Uncanny Valley, nawiasem mówiąc.
5865:  Przecież tam wszystko jest w ostatnim odcinku, w mieście,
5872:  bruk miejski wygląda tak, jakby został zrobiony z papier marché.
5876:  Nie przesadzam.
5878:  No nie przesadzam.
5879:  Tak się nie robi scenografii w XXI wieku.
5882:  Kto w ogóle na coś takiego wpadł?
5884:  No naprawdę, koło czasu wygląda miejscami jak połączenie Kronik-Szanary i Merlina.
5889:  To nie jest dobre.
5892:  I naprawdę pod wieloma względami o wiele, wiele lepiej radzi sobie Wiedźmin.
5898:  Serialowy Wiedźmin.
5900:  Więc jeżeli ktoś z Was narzekał na serialowego Wiedźmina, to... Zdaję sobie sprawę z mechaniki inwazji w Dark Souls, będę mieć ją wyłączoną.
5914:  bo ja absolutnie nie zamierzam grać z elitystami, którzy będą mieli jakieś nieprawdopodobne buildy i będą wyrzynać moją biedną postać, absolutnie nie.
5926:  Chciałbym zrobić F.
5931:  Kroniki się na mele wyglądały dziwnie.
5932:  No tak, no bo to jest ta fantastyka, nazwijmy to fantazy, taka AA, mówiąc językiem growym, albo kino klasy D, albo F nawet.
5942:  I jak wyszła gra o tron, ja sobie pomyślałem, no wreszcie.
5945:  Wreszcie serial fantasy, który mu oddano sprawiedliwość i który nie wygląda plasticzanie.
5951:  George Lucas miał kiedyś takie określenie, że świat fantasy czy świat science fiction powinien wyglądać jak zużyty.
5957:  Tak zwana idea used universe, zużytego wszechświata.
5961:  Zobaczcie jak wygląda ten mur, tak?
5962:  Jest omszały.
5963:  Tutaj...
5965:  Tutaj się coś złamało, tak?
5967:  Drzwi są wyważone.
5968:  To nie jest świat, który został... Tutaj schody wchodzą w piach, prawda?
5973:  To nie jest świat, który został oddany do użytku wczoraj na planie filmowym.
5976:  Więc jeżeli coś takiego jest zrobione, to dla mnie to jest jeden z takich podstawowych immersion breaker.
5985:  Żeby wyłączyć inwazję, trzeba mieć odcięty internet albo umrzeć.
5989:  Myślę, że jeżeli będziemy ginąć to często, to powinno się to udać.
5994:  Nie wiedziałem, że się nie da usunąć inwazji, to niedobrze.
5998:  Jak wyłączysz połączenie z imieniem, nie będziemy mieć możliwości przezywania sojuszników i podpowiedzi zostawione przez innych graczy.
6002:  A, okej, w ten sposób.
6007:  Krzysztofie, ale żeby nie mogli cię inwejdować, musisz rzadko umierać.
6009:  Nie musisz się o to martwić!
6011:  Cieszę się, że we mnie wierzycie, ale tak, bądźmy realistami, absolutnie.
6019:  Jeden przeżył.
6021:  Daj mi wszystkie swoje kamienie.
6028:  Co się dzieje?
6030:  Coś ty zajedłeś?
6032:  Jestem Geralt.
6035:  Dlaczego Sheef jest nowokanonicznym imieniem Wewewe Darius Palpatina?
6039:  Przecież on się pojawia w tych, w preleg prequelach.
6042:  Ja bez przesady nie jestem aż takim elitystą, żeby odrzucać prequele.
6045:  Uważam, że prequele bardzo dużo dały stronie politycznej Gwiezdnych Wojny, będę ich bronić.
6050:  Nie znoszę tego wszystkiego, co się dzieje od Disneya w górę.
6060:  Widziałeś może młodą, szarowłosą dziewczynę?
6063:  Tutaj?
6064:  Nie, nie widziałem.
6066:  Dużo mnie omija, bo często śpię.
6072:  W Mandalorianinie było widać ten used universe.
6074:  Absolutnie, Jakubie, potwierdzam, znakomity był Mandalorianin.
6080:  Star Wars Bad Batch i... tyle.
6085:  Nie, przepraszam, jeszcze Rogue One.
6087:  To są najlepsze rzeczy, które wyszły ze stajni Disneya w obrębie nowego kanonu Star Warsów.
6091:  Całą resztę odrzucam.
6094:  Piękne.
6105:  Ja nazywam się Gaspar Suter, dla przyjaciół śpioch.
6108:  Spałem nawet podczas tamtej burzy.
6112:  Szkoda, że tylu zginęło.
6116:  Jak się ucieszył z tego, że spał?
6117:  Zazdroszczę takim ludziom, którzy potrafią zasnąć w każdych okolicznościach.
6121:  Ja, żeby zasnąć, muszę mieć idealną ciszę.
6123:  Jeżeli jest szmerek chociażby gdziekolwiek, to nie jestem w stanie zasnąć.
6128:  Muszę mieć idealny zmrok.
6129:  Jeżeli jest chociażby promyk światła, nie zasnę.
6133:  Przyjaciele prosili, bym odnalazł ciebie, Ferenca i Iwo.
6137:  Niestety, oni już nie żyją.
6139:  Widziałem, jak Iwo osaczają potwory, a Ferenc... Słyszałem jego przeraźliwy wrzask, a potem ryk potwora.
6149:  Wracajmy do chaty.
6150:  Będę cię chronił po drodze.
6152:  Szkoda, chłopaków.
6154:  Ale cóż zrobić.
6155:  Chodźmy.
6156:  Tylko muszę cię uprzedzić.
6159:  Wycierpię na narkolepsję.
6161:  To znaczy... Wiem, co to narkolepsja.
6164:  Będę cię budził.
6170:  No, to w drodze.
6173:  Co myślę o Clone Warsach i Rebelsach?
6174:  Clone Warsów uwielbiam, Rebelsów nie.
6179:  Clone Wars jest wspaniały, absolutnie.
6181:  Rebels ma złą kreskę dla mnie, nieimersywną.
6185:  Natomiast nie mogę nie kochać wojny klonów.
6188:  Brzydka rzecz się z mieczem dzieje.
6191:  Skoro jest tam jeden z najlepszych pojedynków na miecze świetlne, mam na myśli pojedynek między Palpatinem a Darth Maulem.
6196:  Jest po prostu niesamowity, absolutnie.
6203:  Czy myślałem, żeby streamować na Twitchu?
6205:  Nie.
6206:  Interesują mnie wzrosty.
6207:  Na Twitchu wzrostów nie ma.
6212:  po roku na Twitchu, to co my tutaj mamy, czyli jest z nas jakieś 400-300 osób, czasem 500 się pojawia, 600, to za coś takiego streamer na Twitchu by się pochlastał po 5 latach.
6224:  Nie, dajcie spokój, Twitch jest też nie dla mnie z tego powodu, że
6232:  Mnie bardzo, bardzo, ale to bardzo zależy, żeby na tym kanale z materiałami o edukacji, literaturze i innych tego typu rzeczach sąsiadowały gry wideo.
6241:  Im więcej czytam komentarzy pod tytułem, że ja tu przychodzę tylko dla serii vlogów, interesuje mnie edukacja, a nie gry komputerowe, im więcej widzę takich komentarzy, tym bardziej się utwierdzam w przekonaniu, że to była słuszna decyzja.
6254:  Na Twitchu siłą rzeczy musiałbym, nie wiem, robić cały czas przekierowania tutaj, nie wiem, bez sensu.
6259:  Ale wiem, że Twitch jest bardziej zgrywalizowanym, komuś może to odpowiadać, ale ja nie lubię tej platformy.
6267:  Clone Wars to też rewelacja, mock-upowy pojedynek Maula i Ashoka, to genialna rzecz, absolutnie.
6273:  Ashoka i Mawu jest tam pięknie rozwinięte charakterologicznie, kątki.
6281:  Podpiszcie na jedno pytanie wspomniałeś coś, że pisanie tekstu do gier ma więcej wspólnego z pytaniem książki niż filmu.
6284:  Czy mógłbym to rozwinąć?
6285:  Tak, znaczy pisanie questu do gry to nie jest pisanie scenariusza filmowego.
6289:  Scenariusz filmowy to macie... To są dialogi, tak?
