Tańczący z wilkami — WITCHER 3 Livestream #8
🔗 https://www.youtube.com/watch?v=9gKMBfSbQ4s

4:  Witam Was wszystkich serdecznie.
4093:  Jeśli rozmowa jest skończona, to chciałbym wreszcie zagrać.
4095:  W porządku.
4095:  Siadaj.
4114:  Jest na przykład taka ohydna książka, którą wydało wydawnictwo Mac, tak a propos gwałtów.
4120:  Ja zabrałem stanowisko w tej sprawie w sieci.
4123:  I 90% fanów wydawnictwa Znak, pamiętajmy tego katolickiego wydawnictwa, Kościół Otwarty, pokój, wolność, równość i braterstwo, mówiło, a co ty przesadzasz?
4135:  No tak można, bo to nasz robi, nie?
4138:  By to zrobił piekara, to pół sieci by drżało.
4151:  No dobra kaloria jest, to są bardzo spoko batoniki.
4153:  Myślisz, że dlaczego ja to jem?
4156:  Ja nie jem w ogóle rzeczy, które nie są spoko.
4159:  W ogóle ja nie robię rzeczy nigdy wbrew sobie różnych.
4171:  Witam, kiedy dostanę opinię promotora.
4173:  Będzie w weekend.
4175:  Dobry promotor pierwej czyta, a potem wystawia opinię.
4184:  Bo za tym jest ranek.
4187:  19.08.
4188:  Ludzie.
4191:  No będzie bez szpiega, niedobrze.
4194:  Powiedziałem, że wydał znak tę książkę o brutalne gwałta.
4198:  Nie pamiętam, jak ona się nazywała, bo nie warto w sumie, ale wiem, że to był debiutant i że to był kryminał.
4204:  I właśnie tym tłumaczono, że to jest kryminał, więc można w ten sposób.
4207:  Dziękuję Piotrze za trybut.
4208:  Gdzie i co wykładam?
4210:  Z takim wykładowcą mógłbym rozważyć kontynuację edukacji.
4212:  Dziękuję ci bardzo.
4214:  Mam trochę znaków, więc korzystam, sprzedam Opla.
4217:  Wydział Humanistyczny AGH.
4219:  Projektowanie gier wideo i podobne radosne rzeczy.
4229:  Ale być ciężko.
4244:  Oj, oj, oj, oj.
4249:  Oj, oj, oj.
4251:  Wiecie co, spasujemy.
4269:  No proszę, przeciwnik spasował.
4288:  Przepraszam najmocniej, ja nie ignoruję czatów, proszę nie imputować mi tutaj takich strasznych rzeczy.
4293:  Ja usiłuję tutaj nie skompromitować się.
4298:  przerżnięciem w gwintę z jakimś parweniuszem.
4304:  Czy artes liberales uwu ma jakiś większy sens?
4307:  Ja polecam, tylko trzeba zdawać sobie sprawę, że to są studia, na których się dużo mówi o polityce na przykład, dużo się mówi o kulturze i raczej bez poprawności politycznej, nazwijmy to, w obydwu tego słowa znaczeniach.
4324:  Oj, oj, coś czuję, że tutaj będą jakieś rzeczy się działy niedobre.
4328:  Czy Goblin Slayera widziałem?
4329:  Nie, nie widziałem.
4333:  Na brak kompromitacji to już o 7 streamów za późno.
4336:  To racja, to racja.
4339:  W dodatku z dodatkami gramy, jasne.
4345:  Tak, tak, spożogujemy ich.
4348:  O, o, o, właśnie na to czekałem.
4350:  Właśnie na to czekałem.
4356:  Tylko by się przydała jakaś dziesiątka jeszcze.
4359:  O, dobra.
4360:  Poradzimy sobie.
4369:  Okej.
4371:  Właśnie na to chciałem poczekać.
4383:  No dobrze.
4384:  Let's go.
4392:  Okej.
4397:  Popieram.
4397:  Uważam, że to powinno zostać wprowadzone jako taka podstawowa zasada.
4429:  Wygrałem.
4443:  Myślisz, że nie wiem?
4445:  Chcesz się odegrać?
4446:  Za co?
4447:  Zostawiłeś mnie w samych gaciach.
4448:  Nie postawię ani pół korony więcej.
4460:  Widzę, że karta ci idzie.
4461:  Mam dzisiaj szczęście.
4463:  Skoro szczęście ci sprzyja, to musisz je lepiej wykorzystać.
4466:  Na górze jest pokój dla wybranych.
4467:  Tam gra się o naprawdę duże znaki.
4470:  Moi mili.
4471:  Jak dla wybranych, to dla nas.
4474:  Skoro tak, to przyjmuję zaproszenie.
4477:  Chodź za mną.
4479:  Maciek pyta o ciekawą rzecz.
4481:  Czy nie sądzę, że nie mamy krytyki literackiej w fantazce za mało?
4485:  Nie prac naukowych, przez co brakuje ciekawych interpretacji.
4487:  Tutaj nikt nie będzie nam przeszkadzał.
4491:  Coś w tym jest.
4495:  Wiecie, coś w tym jest, bo prawda jest taka, że mainstream właśnie wygrywa tym, że jest ta sztuka interpretacji, prawda, że jest mnóstwo, nie wiem, audycji radiowych, tekstów różnych.
4505:  Ja na przykład wczoraj byłem, nagrywaliśmy dla Polskiego Radia programu pierwszego audycję o Lemie i pytania, które byłyby zadawane przez panią redaktor, którą pozdrawiam, jeżeli będziecie tego kiedykolwiek słuchać, byłyby trudne.
4517:  Znaczy ktoś, kto by siadł do pols... Ja wiem, że radia nie słuchają młodzi ludzie generalnie, mówmy się, chyba że ktoś jeździ samochodem, ale wtedy nie słucha polskiego radia, tylko słucha czegoś innego.
4528:  No ale jeśli ktoś wpadnie na tę audycję jakimś cudem, to raczej będzie ze starszego pokolenia.
4533:  I to widać nawet po pytaniach, które były zadawane, to znaczy to były pytania, które były...
4538:  erudycyjne, w tym sensie, że ja musiałem znać rzeczy, o których rozmawiamy.
4542:  Więc jeżeli ktokolwiek nas słuchał, kto na przykład, nie wiem, nie czytał Solaris, czy nie czytał wszystkich opowieści o pilocie Pirksie, czy nie czytał Cyberiady, to miał po prostu problem wtedy.
4551:  Teoretycznie.
4553:  Od taksi nie widziałem.
4558:  Czy jest jakaś różnica między fantazja a fantastyka?
4560:  Pyta Jakub.
4562:  Szybko jeszcze odpowiem, zanim pójdziemy dalej.
4564:  Tak jest, fantastyka to jest taki umbrella term, pojęcie parasol, w które się wlicza zarówno fantazja, jak i science fiction.
4575:  Dobra, znudziłam się ta maskarada.
4577:  Gdzie jest skurwiel Junior?
4579:  Więc przyszedłeś go zabić.
4582:  Jesteś strasznie bystry.
4584:  Gdzie Junior?
4585:  Gerard ze Skoły Żurawia, tak.
4588:  O nie.
4589:  O nie, moi drodzy.
4593:  Przepraszam bardzo, nie ma... To nie jest obelga, psi synu.
4597:  Psy.
4600:  Zwierzęta, te psy.
4603:  To nie jest obelga.
4609:  Ej, słyszysz mnie?
4612:  To są te naprawdę duże stawki, o które się gra.
4617:  Więc, jeszcze wracając do tego fantasy.
4620:  Ten min fantastyka się do tego stopnia spodobał Johnowi Clattowi, że przetłumaczył go na fantastika przez K. I po angielsku faktycznie ten semi zaczął tak funkcjonować.
4631:  Podobało mi się pisze Sagano twórczość Beksińskiego.
4633:  Sam krytykował osoby tłumaczące znaczenie jego obrazów, bo nie miały one prawidłowej interpretacji, a miały wspaniać każdego do indywidualnych przemyśleń i interpretacji.
4639:  Cieszę się, że mamy temat Beksińskiego na czatach, bo przypominam sobie, jak poszedłem do muzeum w Sanoku i to był jeden, jedyny przypadek w moim życiu, jak byłem w polskim muzeum.
4649:  Stałem przed obrazami, ja nie wiedziałem, co ze sobą zrobić fizycznie, tzn.
4652:  chłonąłem je, po prostu byłem tak zachwycony, bo to jeden z nicznych przypadków w polskiej sztuce faktycznie takiej pełnoprawnej fantastyki, no i oczywiście jak gdziekolwiek słyszałem jakiekolwiek interpretacje Beksińskiego, nie dajcie bogowie właśnie, to realizm magiczny, mityzacja rzeczywistości!
4672:  O!
4676:  Bardzo się cieszę, że synchronicznie tańczą nasi przeciwnicy w płomieniach.
4679:  Przyszukamy jeszcze jedną skrzynię.
4682:  I rozmawiamy z Rico.
4684:  Żyjesz?
4686:  Właśnie, psicyn to nie obelgał, bo może być jamnikiem.
4688:  Nie mam takiego zmiaru.
4693:  Ale mnie skurwysynem urządziły.
4694:  Kości masz całe.
4695:  Uwalisz mnie?
4701:  Widzę, że nie jest z tobą aż tak źle.
4703:  Pogadajmy najpierw.
4704:  Co ty tam robisz?
4707:  A jak myślisz?
4708:  Siedzę sobie.
4710:  Dobra, już nie cweniakuję.
4712:  Złapali mnie, bo sądzili, że jestem szpiclem Bedlama.
4718:  A, jesteś?
4719:  Tak jakby.
4721:  Więc czego się tak jakby dowiedziałeś?
4724:  Skurwyl skumał się z eredańczykami, nie rozumiem dokładnie o co chodzi, ale trzyma z nimi i tyle.
4730:  Nic więcej nie wiem.
4732:  Hmm.
4737:  Cytrysowe i z hibiskusem herbaty?
4740:  Obstaję przy swoich.
4741:  Czy obejrzałem nowy sezon Lucifera?
4743:  Jeszcze nie.
4743:  Tak samo jak nie obejrzałem jeszcze nowego domu z papieru.
4748:  W tej chwili tkwię w siucach, których kończę, bo już chcę zbingeować do końca.
4752:  Jestem na etapie siódmego sezonu bodajże, więc połówki.
4757:  Dobra, wypuszczamy go.
4760:  Dzięki.
4761:  Muszę zniknąć, dopóki się to wszystko nie skończy.
4764:  Powiem Bedlamowi, że mi pomogłeś.
4766:  Zgłoś się do niego, na pewno cię wynagrodzi.
4771:  Nifmal, powtórzę pytanie, przepraszam, że mi umknęło.
4774:  Polecisz jakieś książki fantasy, w których główny bohater jest mężczyzną, w stylu Uczeń Nekromanty albo serii Zastępów Anielskich Kostakowskiej?
4780:  Znaczy, jeżeli szukasz fantasy, gdzie bohater jest mężczyzną, to masz większy wybór, niż gdybyś szukał fantasy lub szukała fantasy, w których bohaterka jest kobieta, ale... Może, żeby było, jeżeli podobały ci się Zastępy Anielskie, to ci polecę trylogię Bobby'ego Dollara Tata Williamsa.
4799:  Fistech, aaa, mam nadzieję, że to takie opłacalne jak, ehe, w prawdziwym życiu.
4807:  Ale właśnie, przemówiłem się, powiedziałem w prawdziwym życiu, ale przecież wszyscy wiemy, że gry wideo to jest prawdziwe życie.
4814:  Okej, Rico potrzebuje ewidentnie naszego wsparcia.
4821:  Dostałem opieprz od Martyny na czacie, że nie piłem, ma mnie komentować.
4825:  No wielkie nieba.
4828:  A ja myślałem, że przez te wszystkie lata na uczelni się nauczyłem właśnie, że dzieła zasada, nie znam się, to się wypowiem.
4836:  No popatrzcie, całe życie się człowiek uczy.
4841:  Tańcowali w płomieniach, skurwiele, skurwiele.
4848:  Nie, nie jestem ścierwem, wypraszam sobie.
4853:  To nie są uroki, tylko zaklęcia.
4861:  Będziemy skracać ich cierpienia jednym wprawnym ciosem miecza.
4867:  Och, jakie to jest cudowne uczucie.
4871:  Akta Drezdena, o, akta Drezdena też są dobre.
4876:  Zresztą akta Dresdena i Bobby Dollar są bardzo podobne w tym sensie, że jedno i drugie to jest fantastyka pomieszana z kryminałem.
4882:  Tak samo zresztą jak chyba moja ukochana trylogia, nie trylogia, to jest już pentalogia Rzeki Londynu Bena Aranowicza, która notabene jest o magach, to znaczy to jest oddział magiczny MI6 czy Scotland Yardu, nie Scotland Yardu, który tropi magiczne...
4901:  Zdarzenia, tajemnice, zbrodnie, przestępstwa.
4904:  Księga przychodów, rozchodów i odchodów.
4908:  Proszę bardzo, wszyscy, wszyscy są dłużnikami tutaj.
4912:  Wszystkim, którzy prowadzą KPIR serdecznie współczuję.
4925:  Widzę, że teraz jest ten piękny moment, kiedy atakują nas wszyscy ludzie z Kurwiela Juniora.
4930:  Fantastycznie.
4932:  Moja żądza krwi będzie niespożyta.
4935:  Już popijam.
4936:  Jeżeli... Jeżeli nie przepiłem olgi dwa razy... To jest raz.
4944:  To jest dwa.
4946:  Wodzą to za dobrą metaforę, bo zwykle jak się powtórzy coś dwa razy, to się pije...
4951:  gorzałkę, prawda?
4952:  Wodę ognistą.
4953:  Natomiast twórczość Olgi Tokarczuk jest tak rozwodniona, że adekwatne jest picie wody.
4963:  Peter W. Brett też dobry, absolutnie uwielbiam.
4965:  No pewnie, że czytałem Tuba Warrior, Drogę Królów.
4968:  Ba, jak się dobrze przyjrzysz, to tutaj gdzieś za mną, w tę stronę, znajdziesz całe Archiwum Burzowego Światła, które kocham.
4976:  i bardzo polecam.
4977:  Uważam, że to jest jedna z lepszych fantazy, mówiąc fachowo, post-Tolkienowskich.
4985:  Jezus Maria!
4987:  Czy wy to widzicie?
4990:  Szczur!
4992:  Zabij szczura!
4993:  To był skawen!
4997:  Więc nie jest to taka typowa fantazy tolkienowska przez to, że tam nie ma tej walki dobra ze złem w stanie czystym.
5005:  Tylko jest bardziej tak jak u George'a Martina.
5009:  Relatywizm moralny.
5011:  To był Pinky i mózg, tak?
5013:  Wiecie, myśmy ledwo to przeżyli.
5017:  Ja też nie używam cukru do herbaty tak jak Martyna, to znaczy piję zawsze, ale przez to, że zieloną piję, ja sobie nie wyobrażam do zielonej dać cukru.
5025:  Ale wiecie, kiedyś lubiłem bardzo herbatę czarną i takim moim odkryciem...
5033:  Takim moim odkryciem była herbata truskawkowo-śmietankowa, którą sprzedawała firma Demmer's Teahouse.
5041:  O, nie wiem jak wy, ale jak ja widzę taki widok, to od razu wypoczywam.
5050:  Tak, misja z pomocą Triss już była, częściowo.
5054:  Na razie jesteśmy na etapie schacki z Triss, ale z tego co pamiętam, będą jeszcze... Boże, mamy bardzo dużo rzeczy do rozegrania.
5064:  Bardzo dużo.
5066:  Gdzieś pamiętam jeszcze było jakieś zadanie związane z Triss.
5072:  Jeszcze parę zleceń Wiedźmińskich mamy.
5074:  Witamy Łukasza Pałacha w gronie Trybutariuszy.
5079:  Tak, lista Nemezis Mych powiększyła się o Szczura.
5084:  Szczur na poziomie 71.
5085:  Groźna rzecz.
5089:  O, przypomniał mi się wierszyk z kreskówki Phineas i Ferb.
5098:  Cegła, cegła, cegła, cegła.
5099:  Fajna rzecz.
5100:  To była taka reklamówka, która się pojawiła w którymś momencie i reklamówka mała właśnie dokładnie taką treść.
5106:  Jedne z piękniejszych komentarzy animacji na temat bezsensowności reklam w telewizji.
5114:  Wiecie co, może wpierw porozmawiamy sobie z Dickstraw, bo jest bliżej.
5119:  Który polski autor powinien dostać Nobla?
5123:  No najbardziej Jacek Dukaj.
5125:  Nie mam żadnej wątpliwości, że warsztatowo czysto... Nie, musimy się wrócić chyba.
5132:  Warsztatowo czysto Jacek Dukaj jest najlepszy.
5134:  Chociaż nie, no dają nam te kropeczki idiotyczne drogę, to pójdźmy za kropeczkami idiotycznymi.
5145:  Okej.
5148:  I...
5155:  Mój mąż z zawodu jest dyrektorem.
5157:  Boże, jakie to polskie.
5160:  Dość mam tego wszystkiego.
5161:  Rojwinowi posmarować, Tasakowi posmarować.
5170:  Jak to interes prowadzi?
5171:  Trzeba na dół zejść.
5173:  Ale wiecie, nie przestaje mnie...
5180:  Że te kropeczki prowadzą w niewłaściwą stronę.
5186:  Ja też tak potrafię.
5192:  O, kurtyzana.
5194:  Witam Darksands.
5196:  Cóż za piękny nick w gronie trybutariuszy.
5201:  Mieszczka.
5202:  Nie Drań, tylko Geralt.
5205:  Dijkstra.
5207:  Dijkstra.
5209:  Czaty, Krzysztof na dół.
5210:  Masz chwilę?
5210:  Tak, absolutnie.
5211:  Czego chcesz?
5213:  Dlaczego Sigi Roiven... Krzysztof, może zejdę na dół, tak?
5217:  To prawda.
5219:  Junior współpracuje z Radowidem.
5221:  Hmm, jeżeli to prawda, Skurwiel ma większe kłopoty niż mu się wydaje.
5229:  Prosimy o stream ze śpiewania piosenek z Fineasza i Ferba.
5232:  Musiałbym je jeszcze pamiętać.
5234:  Bo jak pisze, masz może opinię o tym, że przynajmniej moim zdaniem w internecie, jeśli chodzi o politykę, to jest walka skrajnych prawaków ze skrajnymi lewakami, a nie głosy ludzi, którzy nie są ekstremistami, są przytłumione, co moim zdaniem szkodzi wszystkim.
5245:  I ja, mimo zgadzania się z wieloma postulatami ludzi bardziej lewicowych, nie jestem w stanie z nimi identyfikacji wspierać.
5249:  Ja też.
5252:  Ale wiecie dlaczego to jest?
5253:  Ponieważ to przeszło ze starych mediów.
5257:  Znaczy, to w telewizji się zaczęło, że zaprosimy Krzysztofa Bosaka i z drugiej strony zaprosimy Zandberga.
5266:  Ciekawe, może się w czymś nie zgodzą, tak?
5272:  Źródło wydaje się być wiarygodne.
5274:  To by tłumaczyło, dlaczego Skurwiel poczuł się na tyle silny, by wyłamać się z Wielkiej Czwórki.
5280:  Potrzebuję kogoś, kto zabierze mnie do Juniora.
5283:  Na pewno masz jakieś stare kontakty w Redaniu.
5286:  Nie mam, ale ty masz.
5288:  Oświeć mnie.
5289:  Temerczyk.
5290:  Był dowódcą osławionych niebieskich pasów.
5292:  Kojarzysz?
5294:  Vernon Roche.
5295:  Zatknąłem się ze swoimi ludźmi w obozie, bo widzął Oksana.
5299:  Tuż mu wizytę na pewno się ucieszy.
5304:  Zojotaurus powiedział, że to mężu... Powiedziała, to tekst z Poszukiwany Poszukiwana, no proszę.
5311:  Jeszcze raz przekonujecie się naocznie o tym, że moja erudycja, jeśli chodzi o klasyczne polskie filmy, nie istnieje.
5318:  Czy możemy wreszcie zagrać gwinta z Dijkstrą?
5321:  Ośmieliłem się teraz, jak już nie przegrywamy.
5330:  Dobrze.
5332:  Rozmawiamy z Vernonem Roshem w takim razie.
5347:  Pójdźmy sobie do znacznika jakiegoś, bo do tej kryjówki Juniora to przyjdzie czas jeszcze, przyjdzie czas.
5352:  Na razie Vernon Rosh, bo to jest chyba jeden jedyny moment, kiedy się możemy z nim zobaczyć.
5356:  Chyba, że czegoś nie pamiętam, co wiecie, jest bardzo możliwe.
5363:  Tak, tak, z Dixthrow było grane, ale to jest dość długi wątek.
5366:  On się przeplata z wątkiem Triss.
5367:  My, generalnie rzecz biorąc, mamy naprawdę dużo rzeczy do zrobienia.
5372:  Więc wiecie, że... To jest bardzo daleko.
5377:  Więc żadnego opierdalania się i... Od questu do questu dzisiaj.
5383:  Żeby odblokować Gwinta z Dixthrow trzeba zagrać z inną osobą.
5386:  Jest do tego zadanie oskryptowane.
5388:  O, dzięki!
5390:  Moi drodzy, wracamy do świata wilków.
5403:  Czy to jest tutaj?
5405:  Wiecie, na wszelki wypadek dam sobie swój znacznik, bo jemu bardziej ufam.
5410:  Witaj, Agatheyszyn, witaj.
5416:  Czy coś ciekawego ominęło?
5419:  Pomyślmy.
5421:  Parę legendarnych śmierci, w tym jedna w burdzie z nieśmiertelnymi pijakami.
5425:  Nie jestem w stanie tego zrozumieć.
5430:  Ktoś powiedział o jamnikach?
5432:  Gdzie są jamniki?
5434:  Wy używacie słowa klucz i od razu ja się elektryzuję.
5439:  Jak tu jest pięknie.
5442:  Za- za- uuuu, kryjówka Temera.
5446:  Uwielbiam takie momenty, że no, to jest, to jest tajemnicza kryjówka, nikt o niej nie wie, poza wielkim znacznikiem przed tą kryjówką, na którym jest napisane, kryjówka, tajna temerskich partyzantów ukrywających się w grocie, o której nikt nie wie.
5462:  I piękny przykład dysonansu ludonarracyjnego.
5465:  Czyli takiej rozbieżności między rozgrywką, a fabułą.
5471:  Geralt jak pajac wkracza do kryjówki.
5475:  Jamniki morskie przez Kelligę.
5477:  Aha, ja wam dam.
5478:  To są te obrzydliwe syreny, które niszczą naszą małą łódeńkę.
5484:  Szukam Rosza.
5488:  Nie znam człowieka.
5490:  To jest tajna kryjówka temerskich partyzantów, której wcale nie ma Vernona Rosza.
5498:  Jest tylko wuj Vernon.
5501:  Rozumiem.
5502:  A to za tobą to pewnie jest obozowisko grzybiarzy.
5507:  Jesteśmy ornitologami.
5509:  A ten miecz to do obrony przed dzioborożcami?
5513:  Nie.
5514:  Dzioborożce nie występują w tym klimacie.
5518:  Nie wiedziałeś?
5523:  Teraz wejdę do obozu.
5526:  Tak.
5527:  A ty pójdziesz szukać dzioborożców.
5530:  No pójdę.
5533:  Piękne.
5534:  Bardzo mi się podoba ten fragmencik.
5536:  Henryk Wróżbita pisze, że pani od polskiego zaczęła się rzucać z pretensjami, że mam własne zdanie.
5540:  O nie, jak śmiesz!
5542:  Co mam na to poradzić, bo upyryczywie mnie to denerwuje.
5546:  Można zacząć robić złośliwsze rzeczy, to znaczy cytować innych, którzy mają podobne zdanie jak ty i sprawdzać, kiedy zostanie to rozpoznane jako cytat.
5558:  Albo fingować cytaty z książek, które nie istnieją, to jest jeszcze zabawniejsze.
5564:  Kiedyś słyszałem o studencie, który zdał większość egzaminów z historii literatury, wymyślając powieści, których nie było.
5571:  Ale umiał świetnie interpretować.
5576:  Wernon Roche, ostatnia nadzieja Temerii.
5585:  Śmiej się, ale Temeria jeszcze wróci na mapy świata.
5588:  Roche, nie mogę zostawić tych ludzi samych sobie.
5593:  Możesz i musisz, bo dostałaś taki rozkaz.
5596:  Oni zginą.
5597:  Proszę!
5598:  Koniec rozmowy.
5599:  Odmaszerować.
5611:  Piękny jest ten temat z Wiedźmina II.
5618:  Wątek języka polskiego się pojawia, nieuniknienie na czacie, biorąc pod uwagę także, że gramy w grę adaptacji najlepszej powieści, jaką zrodziła polska literatura, jednej z... Przez trzy miesiące będziemy omawiać Biblię na polskim, to jest przerażające.
5634:  Nie dlatego, żeby nie należało, a dlatego, że to jest język polski, przypominam, więc jeśli już, to nawet szkoda polemizować.
5643:  Czy warto czytać lalkę?
5645:  Czy lepiej parę streszczeń?
5647:  Jak zawsze.
5649:  Zobacz.
5649:  O!
5650:  Sprzedam wam moją metodę.
5652:  Na tle muzyki z Wiedźmina II.
5656:  Jak zastanawiacie się, czy coś przeczytać w księgarni czy gdziekolwiek indziej, weźcie książkę, przeczytajcie pierwszą stronę, przeczytajcie ostatnią stronę i przeczytajcie losowe zdanie ze środka.
5668:  Jeżeli ten trójstopniowy test zwróci Wam trzy fragmenty, które przyprawiają Was o znudzenie, odłóżcie książkę na półkę.
5676:  Działa za każdym razem.
5678:  Serio.
5680:  I teraz tak, w pierwsze zagramy w Gwinta, żeby nie było tak jak z Krwawym Baronem.
5688:  Witaj Marku na streamie.
5693:  Z nadinterpretacją w ogóle nie denerwujcie, nie ma czegoś takiego.
5697:  Jest taka zajebista książka.
5701:  Interpretacja i nadinterpretacja, współautorstwa Umberta Eco.
5704:  I tam macie dowody na to, że nadinterpretacja nie istnieje jako taka, bo to jest niezgodne z ideą interpretacji, która się zasadza na swobodzie właśnie.
5715:  Mamy jakąś nową kartę, warto naszej uwagi?
5717:  Nie.
5724:  Dobra, jest manekin.
5726:  Chcę, chcę zobaczyć tego szpiega.
5729:  Aaa!
5730:  Czemu nie ma?
5732:  Wymieniamy sile.
5734:  Dostaliśmy wstrętną balistę.
5737:  Nie ma ani jednego szpiega, to się źle skończy.
5741:  He, Willet pisze, że przez 3 lata z polskiego dostał piątki ze sprawdzianą z lektur, znając je jedynie ze streszczeń miecia.
5748:  Ale streszcze miecia są naprawdę dobre!
5757:  Zrobimy easter egga!
5758:  Haha!
5759:  Vernon Roche!
5760:  Hahaha!
5760:  Hahaha!
5769:  Widzę, że Vernon postanowił rzucić najlepsze karty, jakie ma.
5778:  Dobra.
5783:  Jak masz jaskra, to warto wywalić róg dowódcy, będą lepsze losowania.
5787:  To jest dobre, tylko że nie mamy za bardzo czym zastąpić tego rogu, ale w sumie... Widzę, że same legendarne karty bardzo łatwo będzie nam wygrać z takim przeciwnikiem.
5804:  No niesłychanie wprost łatwo.
5813:  Okej, nie wiem, co się właśnie stało.
5820:  No musimy drugą balistę, nie ma wyboru.
5827:  Już są pierwsze F-y na czacie, pięknie.
5829:  Ogólnie to śmieszne, ja na maturze musiałem znać dziady, lalkę, wesele, nic z tego mi się nie podobało, ale co z tego, wiem, że będzie na maturze.
5835:  Z pana, to po prostu najlepsza jest Księga Fredry.
5836:  Potwierdzam, trzynasta najlepsza.
5841:  Zmrok wieczorny, babcia siwa przy kominku, głowę ukiwa, nos jak kaczek, okulary, coś pierdoli, babszczel stary.
5855:  Co do lalki, podoba mi się interpretacja, że Wokulski nie był ani romantykiem, ani pozytywistą, ale schizofrenikiem z obsesją.
5859:  W ogóle to jest śmieszne, bo naprawdę, czy ktokolwiek oprócz polonistów myśli, że jak Prus pisał lalkę, to się zastanawia, projektując tę postać, myślę sobie, że 50% romantyka i...
5875:  50% pozytywisty!
5877:  Bo ja myślę, że raczej sobie myślał, że zaprojektuje takiego dziwnego gościa, który stara się robić to, co chce, ale równocześnie ma problemy z kobietami i nie umie za bardzo z nimi rozmawiać, tak?
5892:  Waniewski miał w liceum bardzo dobrą, fajną polonistkę, która nam powiedziała, że wie, że mamy swoje interpretacje i że te książki w większości są nudne, ale po prostu musimy je wykuć na pamięć.
5900:  No i przynajmniej, przynajmniej stawiała sprawę jasno.
5908:  Wiem, co sprytnego zrobimy za moment.
5918:  Jedno piwo, już jestem gotów, żeby czytać przedwiośnie.
5921:  Proszę mnie ignorować od teraz!
5924:  Niepokoi mnie to, co tam się dzieje z tą artylerią, wiecie?
5927:  Bardzo mnie to niepokoi.
5940:  Dobra, będziemy grać na zwłokę.
5950:  Wesele był jednym z lepszych dramatów, jakie musieliśmy czytać w liceum.
5953:  Ja nie byłem w stanie czytać Wesela, sorry.
5959:  Wiadomo, że Wyspiański jeszcze gorzej pisał niż malował.
5963:  Dobra, no musimy wyeliminować w takim razie przynajmniej tę dwudziestkę, nie?
5967:  Ale to i tak nic nie da, obawiam się.
5971:  Fuck.
5977:  Jak teraz ma następną tak... No, o kur... Fuck!
5984:  Dobra, teraz szybka... Szybka matematyka!
5989:  Nie oszukujmy się, i tak jej... I tak tego nie umiem zrobić.
5991:  Yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
6007:  Gramy jeszcze raz.
6009:  Głupi Vernon Roche, wracaj tutaj!
6012:  Wracaj do mnie!
6013:  Wracaj do mnie!
6015:  Zagramy?
6016:  Z chęcią.
6019:  Melduje się, że jestem.
6020:  Martyna oczywiście wróciła w momencie, w którym będzie mogła użyć F!
6024:  To straszne!
6026:  Dobra, co mówiliście?
6027:  Żeby wypieprzyć róg dowódcy?
6029:  Dać jaskra?
6031:  A myśmy mamy jaskra, tak czy siak.
6034:  Nie, aha, bo mamy cały czas karty spe... Dobra, zostawmy.
6037:  Musimy mieć jakieś nowe karty, żebym oczywiście chciał je zamieniać.
6045:  Idealnie na F, no pięknie, pięknie.
6047:  Jest jaskier!
6049:  Jest szpieg!
6050:  Są pasy!
6052:  Jest dobrze!
6053:  Jest dob... Wygramy to!
6055:  Jest dobrze, już znamy jego strategię.
6057:  Wiemy, co będzie chciał robić.
6064:  Co się stało?
6066:  Dlaczego?
6068:  Dlaczego źle kliknąłem?
6070:  Szlag by trafił.
6074:  Kliknąłem źle w kartę.
6076:  Nie wiedziałem, że podwójne kliknięcie ją zmienia.
6078:  To straszne.
6083:  Skaweński Alchemik się osobiście obawia maturę w przyszłym roku, gdyż jest rocznikiem, który będzie jako pierwszy pisał nową maturę.
6088:  Skaweński Alchemiku, nie martw się.
6090:  Każdy był rocznikiem, który po raz pierwszy pisał nową maturę, ponieważ nowa matura jest bez przerwy.
6099:  Ja też pisałem nową maturę.
6100:  Znaczy, nie pisałem.
6103:  Co dostaliśmy?
6106:  Jaki?
6107:  Hytrus.
6109:  Lisek Hytrusek.
6112:  Grzegorz miał taką spinę z polonijską, że na rozprawce z dziadów udowodnił nie taką tezę, jaką chciał.
6117:  O, Panie!
6118:  Panie!
6120:  Prosisz się o guza!
6121:  Dobra, spasujemy teraz.
6131:  Racja, użyjemy medyczki, macie ra... Tak, tak, tak, tak.
6142:  Aaa!
6143:  Używaj sobie śpiega, używaj!
6146:  Bo Krzysztof też użyje śpiega, haha!
6154:  Jaskier daje róg dowódcy na pierwszy rząd tylko, a widzicie, to dobrze wiedzieć.
6158:  Dobrze wiedzieć.
6162:  A musimy to wygrać teraz, nie takie proste.
6166:  Świetnie.
6176:  Będziemy teraz chytrzy.
