Noc Długich Pazurów — WITCHER 3 Livestream #22
🔗 https://www.youtube.com/watch?v=J4cSjj_WcAQ

1:  Witajcie w Królestwach Północy.
6941:  Chyba.
6942:  W trzeciej kolejności nie pamiętam, ale jest jakaś burgerowia, ja sobie też zamawiam, ale to głównie przez aplikację jest, dlatego nie pamiętam nazwy.
6948:  Mam wrażenie, że ten nigdy nie...
6957:  O nie!
6961:  Jakie zadania będą niemożliwe?
6965:  Jakie zadania będą niemożliwe?
6967:  O nie!
6969:  Dziękuję CD Projekcie.
6972:  To moi drodzy, my musimy teraz, my musimy teraz bezwzględnie zobaczyć, czy są jakieś questy.
6979:  Czy są jakieś questy w Toussaint, których my nie znamy?
6985:  Całkiem, całkiem dużo.
6991:  Pytaliście zatem, czy będziemy... Pytaliście, czy będziemy robili też questy z sąsiedniego dodatku?
6999:  Oczywiście, że będziemy.
7001:  Gdzie są kupcy?
7004:  Kupcy są na tak zwanym wypizdowie.
7007:  Dobrze.
7007:  Czy mamy tu jakieś pytajniczki do ogarnięcia?
7009:  Bardzo niewiele pytajniczków zostało.
7011:  Pomnik Lebiody już stoi.
7013:  I uszy jeszcze, absolutnie.
7015:  Gruba Buła w Krakowie, mówicie, też?
7018:  Uszy, uszy!
7020:  Gdzie, gdzie ja mam głowę?
7023:  Muszą być uszy.
7026:  No dobrze, złośliwie musimy cofnąć się do jakiegoś drogowskazu.
7034:  Wchodzi w zadanie czułe czasowe.
7036:  Wszystkie problemy niezależne od głównego wątku są bezpieczne?
7039:  A, okej.
7040:  Dobra, ale tak sobie zrobimy jakieś... Zanim ogarniemy ten szturm, to sobie zrobimy jakieś radosne... Nie wiem, bo jeżeli chodzi o poziom, to jest w porządku.
7048:  Jest setny.
7050:  Ale mam... Czuję, że powinniśmy zrobić jakieś zadania poboczne.
7054:  Wiatrach w Dulcinelli po drodze.
7055:  Iść do Uli.
7057:  Dobrze, czyli mówicie, że prawillnie mamy po prostu tęt, tęt, kopyt.
7061:  No dobrze, ale tędy nie pojedziemy, ponieważ nas cofa, więc znacznik jakiś.
7065:  Najbliższy znacznik jest w porcie.
7067:  Dobrze.
7067:  I przy okazji miniemy karczmę, w której nigdy nie byliśmy.
7071:  Elfia posiadłeś z magami była?
7073:  Nie, nie było.
7075:  W ogóle, jeżeli chodzi o questy, które są w krwi i winie, mieliśmy ich niewiele, więc ja się spodziewam, że części mogliśmy nie zobaczyć.
7090:  Znów widzieć?
7093:  Myśmy tutaj byli.
7094:  Pizzerię w Krakowie.
7097:  Nolio na Kazimierzu.
7101:  Ewentualnie cyklop, ale do cyklopa chodziłem kiedyś.
7115:  W ostatniej sekwencji nie ma opcji odpoczynku.
7121:  O, Edyta Górniak.
7124:  Dobrze wiedzieć.
7127:  Dobrze wiedzieć.
7130:  Ale co, ale przez całą sekwencję nie ma?
7132:  Przez całą sekwencję nie ma?
7134:  Quest z Płotką Basiu był ho, ho, ho kiedy grany.
7138:  Czy malować coś z Saosu czy Marińców?
7140:  Zawsze Marińców.
7142:  Wiatrak Dulcyneli.
7144:  Dobrze.
7148:  Nie, to co sobą reprezentuje Edyta Górniak sprawia, że jeszcze bardziej uzasadniona jest niechęć moja do wszystkiego tego, co kiedykolwiek stworzyła.
7156:  Więc z tego, co pamiętam... O, Kinga pisze, że czytając sagę wiedźmińską ma przed oczami Geralta z uszami i z okularami.
7163:  Myślę, że jest źle lub dobrze, wszystko zależy od perspektywy.
7170:  Dobrze, gdzie są ule przy wiatrach u Dulcinei?
7175:  Były na czatach.
7177:  Były na czatach wielokrotnie polecane ule.
7183:  Ule w bok.
7185:  Bardzo, bardzo, bardzo precyzyjnie, Nadio.
7188:  Bardzo precyzyjnie.
7189:  Doceniam.
7190:  Bardzo doceniam.
7193:  Bardzo doceniam.
7194:  Sprawdźmy, czy to jest zaznaczone na mapie, bo jak znam życie, absolutnie nie.
7199:  To mi wygląda na coś, gdzie mogło być ule.
7201:  Maska wilka?
7205:  Maska wilka tak wygląda.
7206:  Geralt nie wygląda dobrze w masce wilka.
7209:  Zdecydowanie nie wygląda dobrze Geralt w masce wilka.
7216:  Gdzie są?
7217:  Zaraz, stop, moment.
7219:  Tutaj są nasze uszy, dobra.
7227:  Do zobaczenia, Adamie.
7229:  Do zobaczenia.
7230:  Niech przedwieczny jamnik prowadzi arcymagosa, trybutariusz i wszystkich, którzy za nim podążają.
7234:  Cóż za piękne pożegnanie.
7238:  Czy to są ule?
7239:  Nie, to nie są ule.
7240:  Nie wiem, gdzie są ule.
7242:  Nie umiem znaleźć uli.
7243:  Dlaczego mnie to kompletnie nie dziwi?
7249:  Kompletnie, ale to kompletnie mnie to nie dziwi.
7252:  Może po drodze zobaczymy.
7256:  Geralt w tej zbroi wydaje się gruby.
7257:  Co to za fat-shaming Wiedźminów?
7261:  Oczywiście, że żelki są... Bardzo chciałbym pochwalić wprowadzenie przez Babę Jagę tematu żelków, zwłaszcza, że kwaśne żelki to jest najbardziej istotna rzecz, jaka istnieje we wszechświecie.
7277:  Gdzie mamy... Tutaj mamy znacznik.
7278:  Ja zawsze się mylę, gdzie jest znacznik.
7280:  Zawsze w przeciwną stronę.
7284:  Przedwieczny jamnik, wyobraźcie sobie jamnika w stylu Lovecraftowskim.
7288:  Wielkie nieba, to byłoby wspaniałe.
7290:  Jakiego typu gier nie trawię, oprócz tych, w których jest rywalizacja?
7295:  Gier, które są nachalnie osadzone we współczesności, ale takie, której nie lubię, na przykład, nie wiem, wyścigi samochodowe, to jest coś, czego nie jestem w stanie zrozumieć.
7304:  Jedyne wyścigi samochodowe, które lubiłem, to były te, w których można było rozwalać przy okazji miasto.
7308:  Ja wiem, Nadio, że ule, ale nie ma tutaj żadnych uli.
7310:  Przepraszam cię, nie jestem w stanie ich znaleźć.
7316:  Szukałem wszędzie uli.
7317:  Nie znalazłem.
7324:  Dlaczego Geralt przestał... Dlaczego Geralt przestał cwałować?
7327:  Nie mówcie mi, że to jest ten błąd.
7330:  Czy... Dobra.
7332:  Geralt?
7333:  Czasem to się dzieje.
7335:  Tak, Geralt przestał cwałować.
7337:  Świetnie.
7338:  Świetnie.
7339:  Doskonale wprost.
7344:  Odczarowanie umy nie było łatwe, ale powiodło się dzięki połączonym wysiłkom Yennefer i wszystkich Wiedźminów.
7352:  Okazało się, że najbrzydszy człowiek na świecie wcale nie jest człowiekiem, lecz owym elfim czarodziejem, który towarzyszył Ciri w ucieczce przed dzikim gonem.
7361:  Avalach!
7362:  Bo pod takim mianem był znany, zdradził Geraltowi, że Ciri przebywa w ukryciu, na wyspie mgieł.
7370:  Ja się tego nauczę na pamięć.
7372:  Ja się naprawdę tego nauczę na pamięć.
7379:  Black Soul, dziękuję za umilanie chorowania.
7381:  Cieszę się, cieszę się, że możemy umilić tak nieprzyjemny okres w życiu.
7386:  Tu jest jakiś namiot.
7388:  Kwaśne żelki, przemiz, jesionka ratowały moje poczucie smaku, kiedy brałem antybiotyk, który sprawiał, że miałem wrażenie, jakbym żuła piołun.
7395:  Ojej, okropne wrażenie.
7397:  Wiktor ma pytanie ważne.
7399:  Czy odczarowanie umy było łatwe?
7402:  Ja nie wiem, musiałbym powtórzyć.
7406:  Faktoria Kupiecka, co to jest?
7409:  Obóz został porzucony, ale widać, że niektóre zniszczenia są świeże.
7414:  Chyba przyszedłem za późno.
7428:  To rozejrzę się.
7430:  Rany zadało duże stworzenie.
7434:  Widać wyraźne ślady pazurów na całym ciele.
7437:  Gardło jest rozszarpane.
7440:  Ślady walki.
7441:  Ok.
7442:  Wyraźne odciski łap potwora.
7444:  Jednak widać je tylko tutaj, więc prawdopodobnie zaatakował z powietrza.
7450:  Z powietrza.
7451:  Bazyliszek!
7452:  Bazyliszki płoną.
7454:  Cudownie.
7455:  Te ślady są trochę inne niż u znanych mi gatunków.
7468:  Te tereny są niebezpieczne.
7470:  Podejrzewam, że gdzieś tutaj może gniazdować Bazyliszek.
7473:  Radziłbym się oddalić.
7475:  Ależ spokojnie, nie ma się czego bać.
7478:  Z dumą przyznaję, że tu właśnie gniazduje.
7481:  Doglądam go osobiście.
7483:  Doglądam?
7485:  To nie jest jakieś domowe zwierzątko.
7487:  Ten Bazyliszek morduje ludzi.
7490:  Nie, nie, nie.
7491:  Nie morduj mnie, jeśli nie wejdą na jego tereny.
7495:  To ty wywiesiłeś plakaty z ostrzeżeniem?
7499:  A, rozwieszam je, żeby nikt nie ucierpiał.
7502:  Ale ktoś ucierpiał.
7504:  Leży tu świeżo zmasakrowany trup.
7507:  Nieszczęśnik był pewnie kupcem.
7510:  Dowiedziałem się, że dwóch handlarzy mimo zakazu wybrało ten szlak.
7514:  Natychmiast przyszedłem ich ostrzec, ale jak widać, spóźniłem się.
7519:  Moi służący są już poinstruowani.
7522:  Zabiorą ciało i oddadzą rodzinie wraz z sowitym zadośćuczynieniem.
7528:  Okej.
7530:  Kim właściwie jesteś?
7532:  I skąd takie zainteresowanie potworem?
7535:  Hrabia Boris do usług.
7539:  Ten gatunek to symbol naszej rodziny.
7542:  Ruddis Alvarez.
7544:  Od wieków sygnuje się Regulus Platinum.
7549:  Rodowa legenda głosi, że wieki temu jeden z naszych przodków
7554:  Został jako dziecko uratowany z pożaru przez samicę Bazyliszka, która zabrała go do gniazda i wykarmiła jak własne młode.
7563:  Bzdura.
7565:  Zapewne.
7566:  Jaka piękna.
7569:  Tak, cudowne.
7571:  Powiedziałeś, że to ostatni Bazylisze.
7574:  Skąd to ty wiesz?
7575:  Ostatni egzemplarz tego gatunku.
7578:  Widzisz, kiedyś było ich znacznie więcej, ale wyginęły, kiedy wykarczowano lasy bukowe.
7585:  Sugerujesz, że istnieje bezpośredni związek między bukowym zagajnikiem a bazyliszkami?
7591:  Istnieje pośredni.
7592:  Otóż niegdyś lasy bukowe pełne były saren, a one właśnie stanowiły podstawowy pokarm bazyliszków.
7601:  Wtedy saren zakończył błot, bazyliszki przerzuciły się na ludzi.
7606:  Wtedy niestety wkroczyli wiedźmini.
7610:  I cóż, została już tylko ta jedna.
7614:  Ostatnia sztuka.
7615:  To samica.
7617:  Jeszcze w zeszłym roku były dwa bazyliszki, ale partner Jokasty nie przetrwał już.
7622:  Jokasta?
7623:  Ojoj, jakie imię.
7624:  To jej imię.
7626:  Mój ojciec tak ją nazwał na cześć nieboszczki matki.
7630:  Jokasta wysiadywała wtedy dwa jaja.
7634:  Ale kiedy samiec zginął, wyrzuciła je z gniazda.
7639:  Ja już jestem jak w Animusie, ja osiągnąłem 100% synchronizacji z Geraltem.
7643:  Mówię wcześniej to, co mówi Geralt.
7647:  Wypłacasz pieniądze rodzinom ofiar potwora?
7650:  Dlaczego?
7652:  Bo te ziemie należą do mojej rodziny.
7654:  Jeszcze z nadania księżnej Ademarty.
7657:  Ale Bazyliszek nie oddala się poza te tereny.
7660:  Nikogo nie zabija.
7662:  Nie wyrządza żadnych szkód.
7665:  Oczywiście, jeżeli się go nie sprowokuje.
7668:  A jeśli coś już się wydarzy, to ja pokrywam wszelkie straty.
7673:  Z własnego skarbca.
7675:  Z własnego skarbca zwracasz też rodzinom mężów i synów, a dzieciom rodziców rozszarpanych przez potwora?
7683:  Oczywiście ma się rozumieć, że tego nie mogę zrobić.
7687:  Ale wypłacam rodzinom ofiar sowity ekwiwalent.
7691:  Zeszłego lata wdowa po rymarzu dostała ode mnie 800 koron.
7696:  Rodzina tego nieszczęsnego kupca też nie będzie pokrzywdzona.
7702:  Okej.
7704:  Wiesz może, gdzie gniazduje ten twój bazyliszek?
7707:  Pewnie, że wiem.
7708:  Ale nie sądzisz chyba, że ci powiem.
7711:  Te miecze nie wyglądają na zabawki.
7713:  Nie wiem, jakie masz intencje.
7716:  W takim razie sam go znajdę.
7718:  Zostawia charakterystyczne ślady.
7720:  Łatwo go wytropię.
7721:  Poszukam też drugiego ciała.
7723:  Mówiłeś, że kupców było dwóch.
7738:  Okej.
7739:  Musimy się dowiedzieć więcej na temat drugiej ofiary, co prawdopodobnie oznacza, że będziemy więcej grzebać w ziemi i używać wiedzi mińskich zmysłów.
7746:  Skąd ja to wiedziałem?
7748:  Łuska jest cieńsza niż u zwykłych bazyliszków.
7752:  To może znaczyć, że potwór jest bardziej wrażliwy na ogień.
7755:  To prawda.
7757:  Jokasta bardzo boi się ognia.
7759:  To wrażliwe stworzenie.
7760:  Nie pamiętałem, że Jokasta była w Edypie.
7762:  Więc, gdyby przypadkiem przyszło ci do głowy ją zabić, zniszczyłbyś cały gatunek.
7767:  Okej.
7795:  O Arcane już było dzisiaj na Steamie, bardzo mi się podobał trzeci... trzecia część, że tak to ujmę.
7803:  Dobra, cóż tu... O, o, o, tu jeszcze widzę malutki pytajniczek przy gigantycznych beczkach.
7810:  Rozbite beczki.
7811:  Wyciekł z nich płyn.
7812:  To chyba ta nina, jakiej używa się do garbowania skór.
7817:  Potwór rozbił beczki.
7819:  Stąd zapach na łzce.
7821:  Jokasta jest bardzo ciekawska.
7823:  Intrygują ją wszelkie mocne zapachy.
7826:  Pewnie to właśnie te beczki przyciągnęły ją do karawany.
7831:  Ślady po ślinie i rozbite beczki wskazują na atak.
7835:  Prawdopodobnie Bazyliszek dopadł tutaj drugą ofiarę.
7838:  W każdym razie sądzę, że mogę wyśledzić potwora po zapachu jagu i garbnika.
7844:  Po co masz ją śledzić?
7846:  Jokasta jest pod ochroną.
7848:  Gdyby zginęła, równowaga w ekosystemie zostałaby trwale naruszona.
7852:  Skutków nie dałoby się przewidzieć.
7855:  Wystarczy, że nie będziesz jej prowokował.
7857:  Nie uwielbisz, czy tylko ona też zostanie w spokoju.
7860:  Ja zawsze podejrzewałem, że oni specjalnie przywabiają do siebie Bazyliszka, żeby zniszczył ich towary, a potem najzwyczajniej w świecie domagają się odszkodowania.
7872:  Co więcej, dodam, że jeżeli chodzi akurat o równowagę w przyrodzie, to ona została zaburzona sztucznie podczas koniunkcji sfer, więc już nie ma żadnej przyrody i nie ma żadnego ekosystemu, tylko wszystkie twory pokoniunkcyjne należy wyrżnąć.
7887:  I tak, macie rację, był w Krakowie Bazyliszek wedle pewnej legendy.
7893:  Nigdy mi się nie udało wprawdzie stwierdzić, gdzie to może być, ale był, był.
7896:  Ktoś z kamienic.
7898:  A, musimy iść za tym kretynem.
7899:  W porządku.
7902:  To jest coś, do czego nas szkolnictwo przyzwyczaja, to znaczy do tego, że naszym przewodnikiem jest kretyn, więc jesteśmy naturalnie i dobrze przystosowani do tego, żeby wykonywać w ten bierny sposób polecenia.
7918:  Okej.
7919:  Zapach jest zbyt rozproszony.
7922:  Prawdopodobnie Bazyliszek wzniosł się wysoko w powietrze.
7925:  Czy Doom Patrol był widziany?
7927:  Tak.
7928:  Bardzo wyraźne.
7930:  I w ogóle obejrzałem wreszcie czaty, bo to dzięki wam, obejrzałem wreszcie Invincible na Amazon Prime.
7937:  Jakie to jest dobre!
7938:  To jest świetna animacja.
7944:  Dręczą mnie te pytajniczki.
7946:  Aha, tutaj są na kolejne, dobrze.
7950:  Przy ulicy Krzywe Koło?
7953:  Bazyliczek?
7955:  Mówicie, że jednak z Warszawy.
7956:  To by wyjaśniało, dlaczego nie znalazłem tego miejsca w Krakowie.
7960:  Oczywiście, że zabijemy Jokastę.
7962:  Kontrakt od gildi Bednarzy.
7964:  Drogi Gastonie.
7965:  Gaston!
7981:  Mi się przypomina ta komedia.
7984:  Co to było?
7985:  W odpowiedzi na twoje zapytanie dotyczące planowanej trasy przewozu beczek z taninami, potwierdzam, oficjalny szlak wspierany przez gildię nadal prowadzi przez ziemię hrabiego di Salvares.
7996:  Zarząd nie widzi potrzeby zmiany szlaku tradycyjnie używanego.
7999:  Hrabia zobowiązał się pokryć wszelkie ewentualne szkody poczynione przez biały terror, tak że na wypadek ataku i zniszczenia nawet całego ładunku gildia nie będzie stratna.
8011:  Gaston był... Piękna i bestia, oczywiście.
8015:  Oczywiście, macie rację.
8018:  Podążamy za Smrodem.
8022:  Coś słyszę, ale to nie bazylisze.
8028:  Ludzkie głosy.
8029:  Zjadł stąd No Way Home?
8030:  No, wszystkie tropy spidermanowe, które mogli wrzucić, wrzucili.
8033:  Jestem, no, czekam.
8035:  Bardziej niż na Eternals.
8040:  Zator, Krzywy, ruszajcie się, przygotujcie sprzęt.
8044:  Gdzieś polazło potworzysko, trzeba będzie przywabić.
8050:  A ty to kto?
8052:  Właśnie miałem wam zadać to samo pytanie.
8056:  Mówią na nas rębaczy.
8059:  Przepraszam, a nie pochodzicie przypadkiem z Trinfrid?
8064:  A tak, pochodzimy.
8067:  Momencik, a skąd wiesz?
8069:  Coś ty za jeden.
8074:  Geralt z Rivi.
8076:  Jestem Wiedźminem.
8077:  Znam waszych kolegów po fachu.
8079:  Pocholta, Zdzieblarza, Niszczukę i Młodego.
8083:  A, jedźmin!
8085:  Mówił mi Boholt o tobie.
8088:  Podobno niezły jesteś w machaniu mieczem.
8092:  Profesjonal.
8094:  Dobra, zrobimy tak.
8095:  Ruszamy na gada w piątkę.
8098:  Bestia podobno jest strasznie zjadliwa.
8100:  Każda para rąk się przyda.
8103:  A nagrodę, cośmy już od gildii pobrali, podzielimy sprawiedliwie.
8107:  Umowa stoi?
8108:  Panowie, chwileczkę.
8110:  Co ja słyszę?
8111:  Planujecie zabić Jokastę?
8113:  No nie, tak nie może być.
8115:  Przecież to stworzenie jest pod ochroną.
8118:  Jeżeli chodzi wam o nagrodę od gildii, to... to zapłacę.
8123:  Zapłacę podwójnie.
8126:  Nie wolno wam zabić ostatniego przedstawiciela ginącego gatunku.
8132:  Mogli się postarać o lepsze dziary, to prawda.
8134:  Za to, żebyśmy nic nie robili.
8136:  A to nowość.
8138:  I co ty na to, panie profesjonał?
8140:  Słyszałem, że bestia już pięcioro ludzi ubiła.
8152:  Bierzmy się do roboty.
8154:  Razem szybko z nim skończymy.
8156:  Po tym wszystkim, co ci powiedziałem o Jokaście, chcesz ją zamordować?
8161:  Pożałujesz tego.
8163:  Ja mam koneksję.
8165:  Wszystkim opowiem, że zabiłeś ostatniego bazyliszka.
8168:  Taki tam ostatni, pięćdziesięciu jeszcze będzie po drodze.
8171:  Przykro mi, panie Di Salvares.
8173:  Potwór to potwór.
8175:  Wszystko jedno, srebrzysty, ostatni czy przedostatni.
8179:  To jest groźny drapieżnik, który zabija ludzi, a nie ciekawa rodzinna pamiątka do hodowania w lesie.
8187:  Zobaczysz, zielarze i alchemicy cię znienawidzą.
8192:  Ja znam... i opowiem im wszystkim, jakie z ciebie bezduszne monstrum!
8197:  Nie dbasz o równowagę w naturze!
8199:  Będziesz im płacić jak za zboże!
8202:  Ludzie, błagam, niech ktoś uciszy tego paniczyka!
8206:  Dobra, panie wiedźmie, do rzeczy!
8209:  Jak będziemy walczyli?
8211:  Możemy strzelać do niego z kurz, a ty sam będziesz go prał mieczem.
8216:  Albo idziemy na niego kupą i wszyscy go tłuczemy.
8220:  Ty decyduj.
8221:  Masz większe doświadczenie.
8225:  Właśnie nie ma żadnego sensu, bo jeżeli to jest ostatni rzeczywiście podgatunek, bo to jest podgatunek, a nie gatunek, bo bazyliszków jest mnóstwo w świecie Wiedźmina, to i tak się nie rozmnożysz.
8234:  Tu Magda M1 dopisze, że jeżeli nie ma innych gatunków w okoliczny, to nie jest... Poza tym Wiedźmini mieli taką zasadę, że jeżeli potwór był inteligentny, to go nie ubijali.
8245:  Natomiast nie było jakby przesłania ekologicznego w tym wymiarze, bo to są potwory z innego świata, pokoniąkcyjne.
8252:  Ostrzelałem... Tak.
8256:  Rzeczywiście, możecie do niej strzelać.
8261:  To niezły pomysł.
8261:  Ja chcę do niej.
8263:  Tak, do niej.
8265:  To samica.
8267:  Patrzcie, chłopy, jaki uczony wiedźmin.
8271:  Ze stu metrów potrafi dojrzeć, co gadzina ma pod ogonem.
8278:  Dobra, dosyć zabawy.
8279:  Słyszeliście, zawodowca.
8281:  Szykujcie kuszę.
8283:  Zaraza.
8284:  Potworzycy nie ma w gnieździe.
8287:  Trzeba ją najpierw wytropić.
8289:  Niekoniecznie, Geralt, niekoniecznie.
8293:  Myśmy zrobili rozeznanie.
8296:  Kupcy używają garbnika, żeby zwabić gada.
8298:  Nie ma jak rębaczy.
8301:  Macie garbnik?
8303:  A co mamy nie mieć?
8305:  Proszę bardzo, polejesz?
8309:  Polejemy.
8310:  Oczywiście, że polejemy.
8326:  Gniazdo Jokasty.
8328:  To w kontekście Jokasty Nu naprawdę brzmi dziwnie.
8334:  Tak!
8341:  Tak!
8342:  Zestrzelcie ją z niebios, a my ją podpalimy!
8350:  Witamy pandemicznego studenta na czatach.
8352:  Właśnie skończyłem wykłady.
8353:  Cudownie!
8359:  O tak!
8360:  Jokasta!
8361:  Ale będziesz płonąć!
8371:  Przepraszam, zapomniałem o Erdenie.
8395:  A to nam się trafiło.
8399:  Walka u boku prawdziwego Wiedźmina.
8402:  Pięknie, żeś tym mieczem wymakiwał.
8406:  Pomiałeś coś o zapłacie od Giny.
8408:  Ha, ha.
8410:  Wiedźmin się nie certoli.
8412:  Znać, że zawodowiec.
8414:  Proszę.
8416:  Twoja część.
8417:  Co do grosza, tak jak żeśmy się umówili.
8422:  My sobie weźmiemy parę tych srebrnych łusek i ogon dla Gilby na dowód.
8427:  F dla Jokasty czaty, tak.
8430:  Tak, Wiedźmin wymachiwał mieczem.
8431:  O!
8435:  Czy nauczanie zdalne podwróci?
8437:  Moje nigdy nie odeszło.
8442:  Szepniemy dobre słowo o tobie, komu trzeba, żeby cię sklepikarze nie ukrzywdzili w transakcjach.
8450:  Dzięki.
8451:  Bywajcie.
8454:  Oddajemy honor i okaście.
8456:  To dobrze, a jaki trofeum z niej będzie?
8458:  Aaa!
8459:  Trofeum z ostatniego bazyliszka!
8462:  How cool is that?
8470:  To był nieprzyjemny dźwięk.
8473:  Nie, nie, nie żaden szturm.
8475:  Czyli to oznacza, że powinniśmy mieć kolejny chyba... Hmm?
8482:  Co? !
8487:  Podpal rośliny za pomocą znaku Igni?
8491:  Co to jest?
8492:  Czemu tego jeszcze nie zrobiliśmy?
8496:  Płotko!
8498:  Przybywaj!
8501:  Gdzie to jest?
8503:  Gra chce, żebyśmy podpalili coś za pomocą znaku Igni.
8507:  O, ale tutaj z drugiej strony jest kryjówka Hanzy.
8510:  Wyczyśćmy kryjówkę Hanzy w pierwszej.
8513:  Czy jest level-up na setce?
8517:  O nie!
8518:  Jak to level... Level Cup jest?!
8522:  O nie!
8525:  Jak to?!
8530:  Znaczy... Nie żebym... Nie żebym jakoś żałował szczególnie, ale... Bo mamy wszystko, co potrzebujemy mieć, ale jednak to poczucie, że nie można levelować jest smutne poniekąd.
8549:  Okej.
8555:  O tak!
8556:  O tak!
8557:  Dobrze, bardzo dobrze, bardzo dobrze.
8560:  Grrasan!
8562:  Płońcie.
8565:  Nie!
8567:  Nie!
8569:  Pszy!
8578:  Wspaniałe wrażenia!
8581:  Tak!
8582:  Won mi!
8583:  Won!
8583:  Won!
8585:  Gdzie?
8585:  Pies!
8586:  Pies ratunku!
8587:  Pies!
8588:  Pies niebezpieczny!
8589:  Quen?
8590:  Pies Hanzy!
8591:  Bardzo niebezpieczny!
8598:  Wielkie nieba!
8599:  Co tu się dzieje?
8600:  Wszyscy nas atakują!
8602:  Za dużo psów!
8604:  Za dużo psów!
8610:  Pies został ustrzelony przez kusznika.
8613:  Dobrze, potrzebujemy Quena.
8615:  Bardzo niebezpieczne zwierzęta.
8618:  Widać, widać dobrze, z czym Geralt sobie nie radzi.
8625:  Parappa, parappa!
8628:  Widzę, że nie dość, że pięknie tańczą, to jeszcze śpiewają do tego tańca.
8640:  Tak!
8641:  Pięknie!
8651:  I ten łucznik!
8653:  Więcej!
8654:  Więcej ludzi do palenia!
8656:  Wspaniale!
8658:  Wspaniale!
8660:  Potrzebujemy znak Erdem.
8665:  Tak, Bazyliszek, hold my beer!
8668:  Psy, o nie!
8668:  Tak!
8669:  Tak!
8670:  Pies!
8672:  Koszmar!
8674:  Koszmar od pierwszego streamu Wiedźmińskiego aż do końca!
8678:  Pies jest największym zagrożeniem!
8682:  To jest dramat!
8684:  Jest F!
8685:  Pierwszy F po dwóch godzinach!
8690:  Wielkie nieba.
8692:  Wielkie nieba.
8693:  Musimy przyjść lepiej przygotowani do szturmu na kryjówkę.
8696:  To nie jest kryjówka Hanzy, już wiadomo, to jest kryjówka psów.
8702:  Wielkie nieba.
8704:  Niedobra sytuacja.
8708:  Geralt versus wóz z kamieniami.
8713:  Zero dla Geralta, jeden dla wózu z kamieniami.
8716:  Wiedźmin ma podświadomą słabość do psów, coś w tym jest.
8720:  Czy myśmy nie byli w tej karczmie?
8722:  Chyba nie byliśmy w tej karczmie.
8723:  Ona się nazywa Pod Srebrną Salamandrą.
8725:  Nie wygląda to na coś, gdzie byśmy byli.
8729:  Kryjówka Hans jest przykrywką dla kryjówki psów.
8731:  Tak właśnie.
8732:  To mnie zmyliło.
8733:  Inaczej przyszedłbym lepiej przygotowany.
8736:  Teraz tak zrobimy.
8738:  Co się mnie konfunduje to, że za każdym razem jak przejeżdżamy tutaj w okolicach, to jakieś komary i muchy są.
8744:  Okropne uczucie.
8745:  Medytacja.
8747:  Nie możemy mieć w ogóle... Zero skażenia, to jest podstawowa kwestia.
8752:  Wyposażony QN.
8754:  Teraz możemy walczyć z psami.
8757:  Tak jest.
8764:  I teraz zrobimy taktyczną rzecz.
8770:  O nie, zła taktyczna rzecz, zła taktyczna rzecz, zła taktyczna rzecz.
8774:  Tu jest taktyczna rzecz lepsza.
8777:  O tak.
8783:  Tak!
8787:  Wypuchamy!
8788:  Pięknie!
8790:  Ślicznie!
8792:  Nie ma jak kryjówka Hanzy!
8795:  Tak!
8796:  Chcemy jeszcze silny znak Yrden.
8799:  Tak, bardzo dobrze.
8805:  No i tak!
8807:  Więcej!
8808:  Więcej!
8810:  Więcej!
8811:  Jaki młynek, kiedy jest Igni!
8814:  Jaki młynek!
8819:  Eee, gdzie są wrogowie?
8823:  Gdzie są wrogowie?
8824:  Czemu nie przybywają?
8825:  Czemu, czemu tamten mistrz drugiego planu pozostaje na drugim planie?
8833:  Tak, to to jest kap, ewidentnie.
8835:  To jest dziwne.
8840:  Ooo, teraz więcej przybyło, świetnie.
8849:  Hajda!
8851:  Hajda!
8852:  O nie, o nie.
8854:  Won!
8855:  Groźny pies Hanzy.
8864:  Groźny pies Hanzy numer dwa!
8868:  Pomszczę cię, druhu!
8869:  O!
8870:  I tak to nie jest w stanie przebić tych okrzyków, które wydają postaci w The Last of Us, kiedy wołają się po imieniu postaci przeciwników.
8880:  No to było potężne.
8883:  Oczywiście, że rzuca zaklęcia.
8886:  To jest mniej więcej tak, jakby ktoś się poszedł na klepasz i powiedział, o Boże, on sprzedaje pietruszkę!
8893:  Nietypowe!
8896:  Człowiek siedzi w świecie fantasy i się dziwi, że ktoś rzuca zaklęcia.
8900:  Dlaczego on płonie w wodzie?
8902:  Kolejna niezgodność z prawami fizyki.
8904:  Zażalenie!
8907:  Witamy Jakuba na czatach.
8909:  I wszystkich przybyłych.
8910:  Przybyliście w dobrym momencie.
8911:  Przybyliście w momencie, w którym wypala się wrogów.
8914:  Paparapaparapa!
8919:  O tak, o tak.
8923:  Ojej, tak!
8924:  Wspaniałość!
8925:  Wspaniałości!
8927:  Pomyślcie, jak będą wspaniale palić się wampiry w ostatnim akcie.
8931:  Minor spoiler alert.
8934:  Dlaczego?
8934:  Wyzywają nas!
8936:  To się szybko skończy.
8939:  Te wybuchy!
8940:  Te pościgi!
8942:  Te wybuchy!
8948:  Więcej!
8950:  Więcej!
8951:  Gdzie jeszcze są wrogowie?!
8953:  Tyle na to czekałem!
8955:  O, następny pies.
8965:  Bracia!
8975:  Patrzcie, bracia Jeno, jaką pan go reje!
8981:  Palą się mu kości z wiedźmińskiej miłości!
8988:  Aaa!
