Pół wieku eksploracji później — WITCHER 3 Livestream #12
🔗 https://www.youtube.com/watch?v=2a46pkxu55E

2:  Witajcie serdecznie
5420:  to powiem wam jednego TED-a, a później jak przyjdę na następny dzień, to będzie zupełnie co innego.
5425:  Bo rzeczywiście tak się dzieje, że ja coś zrobię na próbę.
5428:  Więc trzeba się spodziewać próby, zazwyczaj trzeba mieć sensownie zrobioną prezentację, czasem grafik TEDx-a też coś pomaga w tym.
5437:  I 18 minut.
5439:  To są takie bazowe wymogi, które trzeba spełnić.
5441:  No i to jest coś, do czego się jest zapraszanym, raczej nie można się samemu zgłosić.
5450:  Dobrze, jeszcze to zrzucimy.
5456:  Co mam na myśli, mówiąc o tym, że ludzie są przebodźcowani?
5459:  Okej, chodzi o następującą rzecz.
5461:  Będziemy troszeczkę grać na zwłokę.
5463:  Wiecie, bo coś mi się tak wydaje, że tutaj może być jakaś pożoga.
5468:  A nie, on już się wyprzytykał z kart, kretyn.
5472:  Okej.
5475:  Już wam mówię, o co chodzi z przebodźcowaniem.
5483:  Zobaczcie, co tu się dzieje.
5485:  Rozmawiamy na czacie, równocześnie śledzimy fabułę w grze wideo, równocześnie słuchamy muzyki, równocześnie oglądamy grafikę, równocześnie czytamy napisy na interfejsie.
5497:  Ile tu już jest trybów narracyjnych?
5502:  Czytacie książkę.
5503:  Ile macie trybów narracyjnych?
5506:  To jest przebodźcowanie.
5507:  Jeżeli jest bardzo dużo dołodźców w danym medium, to potem, jeżeli się musimy skoncentrować na czymś, co jest o wiele bardziej uboższe komunikacyjnie, to nam jest ciężej zapamiętywać.
5517:  Więc to nie jest tak, że my jesteśmy nagle głupi pokoleniowo, że całe pokolenie, tak jak w Boomerze Twierdzy, jest głupie, bo się nie potrafi skoncentrować na książce, tylko po prostu książka daje nam jeden
5526:  narrative mode, tryb narracyjny, za mało.
5529:  Dlatego jak ja robię prezentację, to na przykład jak wiem, że ma być statyczny slajd i na przykład wiem, że na tym statycznym slajdzie muszą być coś tak nieskończenie nudnego jak warunki zaliczenia, to na przykład wtłodam gif poruszający się albo film.
5543:  W ten sposób jest szansa, że ktoś się bardziej skoncentruje, zwłaszcza jeżeli też jest tak wrażliwy na te kwestie jak ja.
5550:  Z Płatnerzem jeszcze mamy porozmawiać, tak?
5553:  Znaczy pograć.
5554:  Pogramy.
5554:  Może daję.
5574:  O właśnie, dobrze mówicie.
5576:  Jeszcze ja mówię i jeszcze wy robicie coś w trakcie streamu.
5580:  Coraz więcej, nie?
5587:  I to jest kluczowa sprawa, żeby sobie też rozeznawać to, na czym polega ten problem.
5594:  Dokładnie na takiej samej zasadzie działają zastrzyki dopaminowe w apkach, znaczy aplikacje też mają różne tryby narracyjne.
5600:  Dlatego jedynym ze sposobów na ograniczenie nadużywania aplikacji jest zmienienie sobie trybu kolorów w telefonie na szary.
5612:  O tak, ja zawsze przy czytaniu sobie puszczam muzykę, ja już nie jestem w stanie się skoncentrować inaczej.
5619:  Tu będzie Smok, Nadio, Willen, Tren... Nie, przepraszam, nie przeczytam tego.
5626:  Czekajcie, bo to jest challenge.
5628:  Willen, Tretten, Merch.
5630:  Merth.
5631:  Willen, Tretten, Merch.
5633:  Willen, Tretten, Merch.
5634:  Okej, udało się.
5636:  Nie grałem w Black Mesa.
5639:  Borczykawki, tak!
5640:  Jezus, jest łatwiej, niewątpliwie.
5643:  Mamy dużo tych wież oblężniczych.
5648:  Świetnie, jest szpieg.
5650:  No i zobaczcie teraz, kluczowa kwestia, nie?
5653:  Jest... Ja miałem taką ostatnią sytuację, żeby podawać na swoim przykładzie, okej?
5658:  Jest konferencja, na którą byłem zaproszony, swoją drogą zajebista i branżowa.
5664:  I ja na tej konferencji od razu pierwsze co siedziałem w pierwszym rzędzie i wyciągnąłem telefon, nie?
5668:  I sprawdzam sobie LinkedIna, piszę coś na Twitterze, ogarniam Facebooka i tak patrzę, że parę osób z sali popatrywało tak na mnie...
5676:  On nie słucha, nie?
5678:  Więc ja już nauczony doświadczeniem, pierwsze co zrobiłem, to zignorowałem to, bo wiedziałem, że nie ma szans, żebym przekonał kogokolwiek do tego, że ja słucham.
5688:  Zwykle też, jak mam złośliwy nastrój, to wtedy zadaję pytania i dbam o to, żeby to były najcelniejsze pytania, jakie jestem w stanie zadać, właśnie po to, żeby udowodnić nielicznym, którzy jeszcze tak myślą, że to nie jest złe, że ktoś korzysta z telefonu, na przykład, nie wiem, na zajęciach, być może bardzo dobrze, albo nawet lepiej wtedy, koncentruje się.
5713:  Black Mesa to remake Half-Life 1.
5716:  To nie widziałem, na pewno.
5720:  Dziękuję, Jorwet, za podpowiedź, jak przeczytać Willen Tretermerch.
5724:  Bardzo doceniam.
5726:  Co sądzę o dorosłych, którzy twierdzą, że za ich czasów wymagania były wyśrubowane i matma na 10 razy w wyższym poziomie.
5731:  Zapomniał wół, jak cielęciem był.
5733:  Jest taka ładna, jest taka ładny idiom.
5737:  Związek frazeologiczny.
5739:  To właśnie myślę.
5743:  Do wyboru, do koloru, co możemy zagrać.
5761:  Ja nawet miałem raz taką sytuację, ona była dla mnie bardzo zabawna, że na wykładzie ktoś czekał bardzo długo z zadaniem pytania, jak zawsze, wiecie, po szkole i tak dalej, wstydził się, no i podszedł tam pod koniec cicho i zapytał o jakiś termin, którego ja użyłem.
5777:  Ja byłem zdumiony i pomyślałem, ale w sumie dlaczego nie wyciągnąłeś telefonu i nie sprawdziłeś?
5782:  Jak to, telefon na wykładzie?
5784:  Tak, on do tego jest.
5791:  Hmm... okej.
5799:  No tak, bo wtedy najłatwiej jest rozpoznać.
5802:  W ogóle najczęściej się burają o to ludzie, którzy mają jakiś problem ze sobą,
5817:  I mam na myśli tutaj głównie problem z, wiecie, budowaniem autorytetu, z kontrolowaniem publiczności.
5825:  Jeżeli ktoś nie słucha, to trzeba się skupić na sobie i zadać sobie pytanie, co ja robię takiego złego, że mnie nie słuchają?
5841:  Tak sądziłem.
5845:  Ale dobrze, mamy medyczkę.
5851:  A on stracił jedną z potężniejszych kart.
5853:  Biorę to.
5865:  Gdzie się nauczyć takiego softskilla, jeżeli chodzi o kontrolę widowni?
5869:  Sprzedam wam jeden... jeden test, taki jeden sposób na to.
5875:  Przydałaby się bardzo pożoga w tym momencie.
5881:  Jednym ze sposobów jest wypróbowanie właśnie w takich chwilach zupełnie nieoczekiwanych rzeczy.
5888:  Na przykład zmiana kompletna planu prezentacji, podejście do komputera i odpalenie jakiegoś filmu.
5895:  To jest coś, czego się nikt nie spodziewa na przykład, nie?
5899:  Albo ściszenie głosu i mówienie czegoś na przeponie w taki sposób, żeby było słychać, ale żeby to był szept.
5906:  Wtedy ludzie instynktownie na przykład obniżają głosy, jak rozmawiają ze sobą.
5910:  To są takie proste rzeczy, nie?
5911:  Ale działa.
5917:  Dziś się czegoś można nauczyć.
5919:  Not from the Jedi.
5920:  Uuu, szanuję.
5934:  Kiedyś podczas egzaminu z fizyki, pisze Jakub, zapomniałem jak sformułować problem, przez co wyłapałem drubały, po wszystkim profesor powiedział, że jestem gapa i trzeba opowiedzieć, to on by mi go sformułował.
5942:  Na początku myślałem, że jest wariował, a potem się skumowałem, że miałem rację.
5944:  Sednem z egzaminu nie było nauczenie się na pamięć, tylko rozwiązywanie.
5947:  Absolutnie tak.
5949:  Będziemy złościwie grać karty legendarne.
5956:  Dlaczego w szkołach średnich jest 20 przedmiotów zamiast 50?
5958:  Nie mam zielonego pojęcia, ale to jest chore.
5970:  Nie, jak teraz wskrzeszę Gountera, to to nic nie da, niestety.
5982:  O psia krew!
5984:  Przerżnęliśmy w tym momencie.
5986:  Chyba.
6001:  Okej, zobaczymy.
6003:  Wszyscy, którzy umieją matematykę lepiej ode mnie, w tym momencie już wiedzą, jak się zakończy ta gra.
6010:  Ale chyba... Chyba jednak nie będzie przegranka, moi mili, z bardzo prostego powodu.
6016:  Foltest oblężniczy.
6032:  Dobrze.
6034:  Jestem content.
6037:  Poradnia zniszczonych licealistów, mówicie.
6039:  Tu się nie ma co śmiać, wszyscy byliśmy zniszczonymi licealistami kiedyś.
6043:  Albo studentami.
6047:  Niestety.
6051:  Przepaść między szkołą a studiami jest przerażająca, mówisz Adam?
6054:  Wiesz, mnie się wydaje, że w pewnych kwestiach właśnie tej przepaści nie ma i to mnie bardzo niepokoi, bo ja znam bardzo wielu kolegów i koleżanki niestety również, którzy minęli się z powołaniem i powinni uczyć, oczywiście mówię bardzo stereotypowo i brzydko, ale w takim najgorszym polskim przedszkolu, gdzie właśnie jest totalna patologia, nie?
6075:  I nauczyciele zachowują się jak wariaci.
6077:  No to niestety znam nauczycieli akademickich, którzy robią coś podobnego.
6083:  I bardzo to tępię.
6086:  Opowiadałem wam kiedyś na streamach, ale teraz też mogę, że był COVID, to jedna ze znajomych profesor się przechwalała na fejsiku, że jak studenci mówili, że nie mogą się łączyć na egzamin, bo była awaria prądu, to ona sprawdzała ich po adresie IP, wydzwaniała po miejscowościach, w których mieszkali i pytała, czy były tam awarie prądu.
6103:  Ja jej powiedziałem, wiesz co, ty nie masz czasem za dużo czasu wolnego, wiesz, bo coś ostatnio kiepsko z publikacjami, nie?
6111:  to może, może byś przycisnęła trochę publikację, bo trochę głupio, żeby profesor miał mniej niż Krzysztof, nie?
6117:  Jestem bardzo złośliwy w takich sytuacjach.
6121:  A mnie nie szanuje takich ludzi, Boże, jak ja takich ludzi nie szanuję.
6132:  Będę wznosił modły Tomaszu nad... Nie, przepraszam, pomyliły mi się niki.
6139:  Tamaro, będę wznosić modły nad udanym planem na studia.
6142:  Obiecuję.
6143:  Znaczy, po mojemu modły, czyli takie magowskie, nie?
6150:  Bookworm pisze, poszłam do liceum na biologa i jestem przeświadczona, że uwielbiam biologię i liceum mnie tego oduczyło.
6156:  Najgorzej.
6157:  Ale jest piękna ta dróżka.
6158:  Popatrzcie, coś wspaniałego.
6161:  Czy to jest kamień mocy?
6163:  Czy to jest kamień mocy?
6166:  Czy to jest kamień mocy?
6170:  Tak!
6172:  Aż z wrażenia właściwie podskoczyłem.
6179:  Smok do talii, mówicie.
6181:  Gdzie jest smok?
6184:  Tak!
6186:  Bierze... Jakiegoś przydupasa trzeba zwolnić teraz.
6191:  Nie będzie to Gaunter, nie!
6193:  Będzie to Zoltan.
6196:  Zoltan wypadł.
6197:  Smok, witaj.
6203:  Mamy to.
6206:  Mówiłem?
6206:  Teraz już nie zadziałał skok.
6208:  To dlatego, że podniecenie wynikłe z pozyskania mocy magicznej już zniknęło.
6216:  Wesemira nie było w talii?
6218:  Wydawało mi się, że jest.
6219:  A faktycznie nie ma Wesemira.
6221:  To wymienimy sobie jakąś... Jednego z tych trebuszy.
6224:  O, o, o. Miejmy Wesemira w talii.
6228:  Jest Wesemir w talii już?
6229:  Jest.
6229:  Nie, nie ma.
6231:  Co jest?
6234:  Eee?
6240:  Co tu się od Janie Pawla?
6244:  Okej, teraz jest.
6247:  Ruszamy dalej.
6251:  Ja dzisiaj dostałem plan i większość mam zdalnie, z czego się niesamowicie cieszę, pisze Kate, bo większość to wykłady, więc będę mogła w międzyczasie coś robić.
6258:  O, bardzo dobrze.
6260:  Ja zgłosiłem, że... bo niestety cały AG pracuje stacjonarnie, muszę się podporządkować, ale wynegocjowałem, że wszystkie moje zajęcia o grach będą zdalnie, niezależnie od tego, czy jest pandemia, czy nie.
6273:  Więc tu jest dobrze.
6274:  Co... co tutaj jest?
6275:  Jak myślicie?
6276:  Czy tutaj jest coś interaktywnego?
6279:  Jaka szkoda, nie.
6282:  Wydaje mi się, że tutaj jest jakiś quest.
6284:  Hmm...
6293:  Dobrze, zmierzamy tak czy siak do wsi Arinbiorn i w ten sposób będziemy mieli praktycznie... No nie, nie wszystkie Pytajniczki, bo jeszcze została nam cała północ przy Kertrolde.
6304:  Wielkie nieba.
6306:  Gdzieś tutaj powinna być jaskinia.
6309:  Nadia ma pamięć fotograficzną, ejdetyczną.
6319:  Okej.
6324:  Tu jest... ewidentnie tu się coś będzie działo.
6328:  Ewidentnie.
6333:  Aha.
6336:  Coś tu się będzie działo.
6337:  Cały czas chcą nas wysyłać do sierżanta.
6346:  Czy to są wilki?
6347:  Tak.
6347:  Omijamy je.
6348:  O Boże.
6348:  F5.
6351:  Może nie omijamy.
6353:  Tylko teraz użyjemy Quena od razu.
6359:  Zasadnie.
6368:  I północny wiatr.
6370:  A nie, to nie był północny wiatr, szkoda.
6381:  Denerwujące jest to, że te wilki się rozpieszchają w momencie, w którym jest aktywowany północny wiatr, a ja bym bardzo chciał, żeby się nie rozpieszchały wtedy.
6393:  Ewidentnie nie jest to początek streamu, bo nie giniemy natychmiast.
6399:  Może to jest też kwestia QnA.
6402:  Omijamy je!
6403:  O Boże, F5 nie omijamy, tak!
6407:  Ja się cieszę, że ja chociaż dostałem plan... dzień przed rejestracją na języki.
6411:  Ja w ogóle uważam, że te plany powinny być rozsyłane znacznie, znacznie wcześniej.
6415:  No ale też wiem po sobie, że...
6417:  Bardzo często wynikają rzeczy, które są w ostatniej chwili.
6421:  Na przykład, i to jest akurat na plus AGH, u nas czekają z ogłoszeniem niektórych części planu do ostatniej chwili, dlatego że chcą zrobić tak, żeby zajęcia zdalne nie tworzyły okienka, tylko żeby były w jakimś określonym dniu, kiedy są zajęcia zdalne.
6440:  By też było wygodniej studentom.
6442:  To jest... To szanuję.
6445:  Dawno śmierci nie było.
6446:  To prawda, trzy ćwierci do śmierci.
6448:  Teraz właśnie.
6449:  Jak to jest, że wykładowcy deklarują, że oceny z poprawki będą do danego dnia, po czym pojawiają się dwa tygodnie później?
6454:  Bo im się nie chce.
6457:  A czasem system nie zadziała.
6459:  To jest druga opcja.
6462:  Zawsze sugeruję pisać maile.
6466:  Nawet jeśli ktoś go nie przeczyta, to będzie mu go denerwowało, że jest.
6471:  Uuu, obozowisko bandytów.
6474:  Czas je zniszczyć.
6482:  Jakieś rady wyprzeć technikum pięcioletnie bez uszczerbku na zdrowiu psychicznym.
6487:  Jak zawsze powiem Wam to samo, co mówię.
6490:  Nie przejmować się durnymi ocenami, bo nikt nie będzie Was z nich rozliczać.
6499:  Ostatecznie i tak się liczą matury, nie?
6501:  Tak nawiasem mówiąc.
6503:  Przy pójściu na studia później, inżynierskie, patrzę na wynik matur, a świadectwem się nikt nie przejmuje.
6511:  O ile wiem.
6512:  Też zależy od uczelni.
6516:  Ale po technikum to raczej bym szedł na AG, nie albo na jakąś politechnikę.
6521:  Politechnika warszawska, krakowska.
6524:  Na pierwszym miejscu w wyborze.
6533:  Tak, korzystam z Usos, a mamy na AGH Usos.
6536:  Znaczy, korzystam w takim sensie, że wpisuję tam oceny i tyle.
6541:  Uważam, że wysyłanie wiadomości przez Usos należy do masochistycznych doświadczeń i unikam ich.
6548:  Wolę inny masochizm.
6553:  Co do świadectw, pisze Karta Mamińska, jak byłam na pomaturze na rozmowie o pracę w piekarni, to kazali mi przynieść świadectwo i patrzeć na oceny.
6560:  Co?
6562:  Kogoś posrało.
6566:  Mówiłem Wam już, jaka jest pyszna herbatka.
6568:  O, Rashilek nie poleca Politechniki Warszawskiej, a to dobrze wiedzieć, bo ja bazuję na, pamiętajcie, informacjach troszeczkę z innej strony i z innego źródła.
6578:  To znaczy od strony wykładowców najczęściej, jeżeli chodzi o uczelnie, na których nie studiowałem albo nie pracuję.
6584:  Więc dobrze wiedzieć.
6587:  Tu jest jakiś kupczyk, ale tu jest też jakaś wioseczka, ale chyba w niej byliśmy.
6591:  Jedziemy zatem do wsi Arinbjörn.
6598:  Na polibudłudzie warszawskim jest kulminacja snobistycznych profesorów.
6601:  Przerażacie mnie.
6603:  Pomóż mojemu tacie.
6607:  Okej, pomagamy tacie.
6611:  Okej.
6611:  Eee...
6626:  Wiecie co?
6627:  Pachnie mi to pułapką.
6633:  That's a bait, tak?
6635:  To jest... Tutaj by się przydał ten, wiecie, ten gif z Mad Maxa.
6641:  That's a bait.
6648:  Mam nadzieję, że tego chłopczyka będziemy mogli potem spalić, nie?
6651:  Proszę, powiedzcie mi, że będzie to możliwe.
6661:  Takiego.
6662:  Za wykorzystywanie dzieci.
6664:  Gdzie jest chłopczyk?
6667:  Chłopczyku?
6669:  Chłopczyku?
6670:  Gień!
6674:  Fatalnie.
6688:  Generalnie oczywiście od wszystkich możliwych politechnik, niestety coraz częściej także studiów, liczy się najbardziej skill, który macie.
6700:  A jak jeszcze da się ten skill potwierdzić jakimś doświadczeniem, tym lepiej.
6707:  Certyfikaty różne są wydawane też podczas kursów online.
6711:  Ja myślę, że w tym jest przyszłość i to duża.
6713:  Co więcej, uważam, że uczelnie powinny delegować najlepszych wykładowców właśnie do tego, żeby robili takie kursy online i po prostu, żeby się zwiększała ich baza, nie?
6723:  Co tu jest?
6726:  Wydaje mi się, że tutaj jest jakiś quest związany z upiorem, ale mogę po prostu czegoś znowu nie pamiętać.
6736:  Przepraszam najmocniej, Krzysztof zachowuje się jak krętacz morderca dzieci tylko i wyłącznie w zemście, jeżeli rzeczone dziecko w obrzydliwy sposób chce doprowadzić do naszej zagłady.
6753:  Ewidentnie kuszę los.
6761:  Tak znam profesor Rozczynianską.
6763:  Ona jest na Uniwersytecie Pedagogicznym.
6765:  Pisała pracę o Sapkowskim.
6776:  Generalnie środowisko badaczy w Polsce zajmujących się fantastyką jest tak niewielkie, że zna się wszystkich.
6784:  Nie!
6787:  Teraz się czuję jak w Soulsach.
6788:  Powiedział Krzysztof, który nigdy nie grał w Soulsy.
6798:  ile dla pracodawców są warte certyfikaty, bardzo zależy od pracodawcy.
6801:  No na przykład ostatnio nawet mieliśmy na czacie rozmowę, bo ktoś...
6808:  podążył za tą moją radą z materiału dotyczącego samonauki i wziął kurs na kurserze z Uniwersytetu Stanforda.
6818:  No to sorry, nie ma takiego pracodawcy, przynajmniej jeżeli chodzi o korporację, który jak zobaczy logo Uniwersytetu Stanforda na LinkedInie albo w CV, to nie powie... Okej, bo wcale nie musicie napisać tam, że to był jeden malutki kursik, prawda?
6831:  Tylko piszecie edukacja Stanford taki roka taki.
6837:  protipy przy pisaniu CV.
6845:  Bo to, że ktoś wziął sobie taki kurs i zadał sobie taki trud, paradoksalnie dla mądrego HR-owca znaczy więcej, niż jeżeli ktoś po prostu tkwił 10 lat w jednym miejscu.
6860:  Jakie przedmioty wykładam na uniwersytecie?
6862:  Pyta Michał.
6865:  W tym roku jest zwiększona pula, bo jest tak, introduction to video game studies, światotwórstwo w grach komputerowych, tworzenie świata gry komputerowej warsztat, tworzenie fabuły gier wideo warsztat, fantastyka w kulturze współczesnej, następne światotwórstwo i teoria literatury, bo musiałem coś mieć zleconego z góry.
6884:  A, i jeszcze kultura i innowacja.
6886:  I seminarium licencjackie i magisterskie, trochę tego jest.
6892:  Peter to oszust.
6894:  Uważajcie, ludzie, na Petur.
6896:  Przepraszam, bo to oszust.
6897:  Bejlisz.
6898:  Co honoru nie zna, jest wysp zakałą.
6900:  Sadło z niedźwiedzia, które mi sprzedał, okazało się smalcem z gęsi.
6903:  Niech go pioruny biją i morze pochłonie.
6906:  O, upiór z Eldbergu.
6910:  Świetnie.
6912:  Nie chcemy Nilfgaardskiego hełmu i nie chcemy miodu.
6923:  O, eliksir osmaku, bzuj agrestu, zjem na opakowania.
6926:  Ktoś mi mówił, polecam, smakuje, pisze Agatation.
6929:  Proszę bardzo.
6931:  Tutaj widzę karczmarza, wiecie co to oznacza.
6935:  Zobacz, no co morze wyrzuciło.
6937:  Ej, ty, do którego klanu należysz?
6941:  Do żadnego, jestem z kontynentu.
6943:  Tu piją tylko wojowie ze Skaligę.
6951:  Czy wiem cokolwiek o OMCS-ie?
6954:  Tak, jest to lepszy wybór w Lublinie niż kul.
6957:  Przepraszam.
6962:  A tak serio, to jest tam parę fajnych osób.
6964:  Na przykład profesor Szczerbakiewicz, pozdrowienia dla Rafała, jeżeli kiedykolwiek to będzie oglądał, który swoją drogą napisał jeden z pierwszych w historii polskich tekstów naukowych o grze wideo.
6977:  Dwa.
6979:  No co wy tu robicie?
6981:  Na wojów mi nie wyglądacie, prędzej na pastuchów.
6984:  Na Skeligę każdy rodzi się wojem, choćby przyszedł na świat w szałasie.
6989:  Ale ty tego nie rozumiesz.
6991:  Na kontynencie każdy jest czyimś tralem, do kogoś się łasi, jak pies, co pod stołem o resztki skomle.
6999:  Kto podróżnego pod dach nie przyjmie, ten hańbą się okrywa i wstydem.
7006:  Ojciec was nie uczył?
7009:  O, nie będą mi spluwać pod stopy.
7012:  Ślina to jest woda.
7014:  Woda to nie jest ogień.
7016:  Zabijemy ich.
7029:  O, mamy protip od Marty jako HR-owca.
7032:  Ludzie najczęściej nie potrafią tworzyć CV i opisów na LinkedInie, a później się dziwią, że nikt do nich nie pisze z ciekawymi ofertami.
7037:  Tak, pamiętajcie, że LinkedIne to też jest social medium, więc jeżeli chcecie się zatrudnić jako kreatywny, to może napiszcie co jakiś czas jakiś artykuł na LinkedInie, nie?
7046:  Krótki albo cokolwiek, nie?
7048:  Zróbcie, żeby ten profil żył.
7050:  No tak, profil na LinkedInie się warto zainteresować.
7054:  Ja sam swój prowadzę dość aktywnie, mimo że jestem zatrudniony i raczej będę w tym samym miejscu przez najbliższe nie wiadomo ile lat.
7063:  Proszę bardzo.
7066:  Jorund z Espychowa, świetnie.
7084:  O proszę, KRKN zna profesora Szczerbakiewicza i zna Tomka Majkowskiego.
7088:  Pozdrowienia dla Tomka.
7089:  Tomek Majkowski to jest jedyna jasna strona młodej kadry Uniwersytetu Jagiellońskiego, Wydziału Polonistyki.
7096:  Robi centrum badań groznawczych zresztą, takie bardziej literaturoznawcze, nazwijmy to i ludologiczne, ale wciąż centrum badań groznawczych.
7105:  Właśnie, nawodnienie.
7107:  Nawodnienie, macie rację.
7109:  Pewnie, że byłem we Wrocławiu, swego czasu jeździłem bardzo często nawet do Wrocławia.
7118:  O, woda jest pyszna.
7121:  Wiecie, naprawdę, jak człowieka suszy na kacyku, och, woda ma wtedy smak.
7128:  Gdzie się dokształcać?
7129:  Pyta Witold.
7132:  Słuchajcie, jest tak.
7133:  Ja kiedyś zrobiłem o tym materiał, ale na szybko.
7136:  Coursera.
7139:  Chyba Coursera jest najlepsza, ale jeżeli w takich bardziej lajtowych materiałach mówimy, no to sporo jest na nebuli filmów dokumentalnych i tego typu przyrodniczych.
7149:  I też dużo jest Khan Academy przez KH, ale naprawdę tych serwisów jest coś z 10, więc kiedyś zrobię ich omówienie wszystkie, ale to muszę wpierw sam trochę pogmerać po nich, żeby wam nie polecać czegoś w ciemno.
7164:  Ale znam sporo ludzi, którzy korzystali właśnie z Coursera i dlatego o niej mówię na pierwszym miejscu.
7172:  Na kurserze też robią kursy po prostu akademicy z uczelni zachodniej, najczęściej tych dobrych.
7178:  Sorry.
7180:  Pokaż, co tam masz na sprzedaż.
7181:  Same specjały, ale byle przybłędna z kontynentu się na nich nie pozna.
7188:  Tarjail poleca Fairy Tail jako ogon.
7193:  Ładne, podoba mi się.
7195:  Ciekawie pokazana magia.
7197:  Jak możesz coś więcej powiedzieć, to nie omieszkam posłuchać.
7201:  Co więcej, fajnie byłoby... O, Talar!
7204:  Fajnie byłoby, gdybyś wrzucił na Discorda do sekcji gry, żeby nam to nie umknęło.
7210:  Zaraz pogadamy z Jorundem.
7211:  Wpierw gwint!
7216:  co sądzę o Łodzi, a bardzo lubię jeździć do Łodzi, zwłaszcza od czasu, jak poznałem Filipa bez schematu, to wtedy tym bardziej mam powód.
7224:  W Łodzi też jest bardzo fajna ekipa zajmująca się grami wideo.
7228:  Wprawdzie troszeczkę się uszczupliła, bo Marysia Garda wyjechała do Skandynawii, ale dalej robią tam ludzie dobre rzeczy.
7235:  Wiecie co, i weźmiemy sobie Talara.
7236:  Ojej, o jak my sobie go weźmiemy?
7240:  Kto wypada?
7241:  Kto robi wypad?
7243:  Keira, sorry.
7246:  Jak to się robiło?
7247:  E zdaj się, tak?
7248:  Tak.
7248:  Talar, wskakujesz.
7254:  Fairy Tail jest głównym bohaterem Mag Ognia?
7257:  Na serio wrzućcie mi to na Discorda teraz?
7260:  Teraz to już jest poważna sprawa się zrobiła.
7266:  No, dobra, Vesemira, dobrze.
7270:  Gdzie?
7272:  Jaki gaunter zagraca talię?
7274:  Dobra karta.
7275:  Jedyna, która nam dobiera następną.
7278:  Lubię od niej zaczynać.
7279:  Powiedział Krzysztof, zaczynając od szpiega.
7284:  O, EDX jest także polecany.
7288:  Harvard, MIT.
7291:  Absolutnie.
7292:  Wiecie, co ja teraz zrobię z rozkoszą i radością?
7303:  A!
7304:  Mogłem poczekać.
7322:  Oprz.
7324:  Krzysztofa to zadowala.
7330:  Co sądzą obydgoszczy, a kabrzydgoszczy?
7332:  Właśnie to!
7338:  O, Nadia obejrzała Sex Education, to jest niesamowicie nowoczesne, no.
7341:  Ja w ogóle uważam, że Sex Education powinno się oglądać na tych lekcjach WDŻ zamiast tego całego durnego programu, zwłaszcza, że za moment na tych lekcjach nie będzie się dowiadywał człowiek niczego sensownego.
7360:  Ważne pytanie od Vancouvera.
7361:  Uuu!
7363:  Uuu!
7363:  Skupiam się.
7365:  Toruń vs Brzydgoszcz.
7370:  No nie, na to... Wiecie, nie, Toruń, jednak Toruń.
7372:  Mam tam sporo fajnych znajomych.
7374:  O, to zwycięża.
7380:  Geraltem go.
7383:  Co można zrobić dla rozwoju groznawca bez pakowania się na studia?
7388:  zaangażować się w takie projekty, jak na przykład, jeżeli jest się devem, nie?
7394:  Szkoły letnie, czy różnego rodzaju kursy i zloty, gdzie się uczy pisania.
7401:  Na przykład jest taka szkoła letnia w Wilii Decjusza, gdzie można się dostać, jeżeli ma się dobre próbki pisarskie i po takiej szkole letniej można nawet dostać się na staż do naprawdę sensownych firm.
7412:  Wiem, że CD Projekt Red łowił w ten sposób młode talenty pisarskie.
7417:  Witamy Zdzicha.
7419:  Witamy.
7421:  Na czatach.
7424:  Bierzcie przykład ze Zdzicha, który używa jamniczych emoji.
7428:  Mało dzisiaj było jamniczych emoji.
7429:  Jestem rozczarowany.
7433:  Nawet nikt nie pamięta o nawodnieniu.
7447:  Co teraz?
7459:  Zobaczymy, jak na to zareaguje.
7461:  Czy będzie miał pożogę.
7466:  Bardzo, bardzo doceniam wysyp jamników.
7469:  Zbudował mnie.
7476:  O, widzę, że coraz więcej z was pyta się pozytywnie o Squid Game.
7480:  Cieszę się, bo zwykle jest tak, że moje sądy na temat seriali są dość odosobnione albo kontrowersyjne.
7486:  Więc się cieszę.
7487:  Ha!
7488:  Wiedziałem!
7498:  Mamy ciekawy problem, swoją drogą.
7500:  I możemy użyć zbyt dużej liczby kart.
7507:  No to jest ciekawy problem
7512:  Czy znam chłopaków z TV Gry, pyta Agnieszka.
7515:  Wiecie, tylko i wyłącznie z przelotnego widzenia, bo parę razy widziałem, jak pojawili się na eventach, które organizowałem, na przykład na spotkaniu z Piotrkiem Kubińskim wokół książki gry wideo Zarys Poetyki, ale tak to oglądam ich głównie.
7530:  Bardzo szanuję.
7531:  O właśnie, oni robią fenomenalną robotę dla polskiego groznawstwa.
7535:  Wiem o tym dlatego, że zdarzało nam się groznawcom cytować ich materiały na TV Gry.
7542:  Dowódca nam nic nie da, bo dowódca boostuje katapulty.
7552:  A!
7552:  Dobrze mu tak!
7559:  Dobra, raczej to wygramy, nie?
7563:  Ale wiecie, jaką mam zasadę.
7565:  Zasada zawsze brzmi, jeżeli przeciwnik przegrywa, należy go upokorzyć.
7571:  Właśnie tak.
7573:  Katapulta przygotowana do miotania, mój Panie.
7576:  Och, twierdza.
7582:  Jak oceniam Star Wars Vision, jest to anime wersja Star Wars, na które czekaliśmy.
7587:  Jest to takie anime Star Warsowe, jakie mogła przygotować Kathleen Kennedy.
