Każdy. Pytajnik. Na. Skellige — WITCHER 3 Livestream #16
🔗 https://www.youtube.com/watch?v=4pCo34gbPZU

3:  Moi drodzy, witajcie.
5687:  Może się mylę, nie kwestionuję tego, ale ja nie jestem człowiekiem systematycznym, jeżeli musiałbym jeszcze ją uzupełniać jakoś, to byłoby to straszne.
5696:  Już i tak jest miliard serwisów, które muszą uzupełniać to na bieżąco.
5705:  Najgorzej jest, jak wyjdzie jakaś nowa publikacja naukowa, to wtedy muszę się zalogować do 15 serwisów różnych i wszędzie uzupełnić dokładnie to samo, ponieważ nikt nie stworzył jednego API, jakiejś jednej apki, w której mógłbym to wszystko mieć.
5718:  To jest tak dobijające.
5724:  Lubię ścieżki dźwiękowe z serii gier Trine, ale szczerze z podobnego gatunku chyba lubię bardziej z Ori and the Blind Forest.
5733:  To, co się muzycznie dzieje w Ori and the Blind Forest, to jest coś absolutnie nieprawdopodobnego.
5742:  Jakie jest rozwinięcie M po imieniu?
5744:  Cóż to za pytanie?
5745:  Oczywiście, że mag.
5748:  Dobry wieczór, fantastyczne książki jakie znaleźć.
5750:  Husiek jeszcze witaj na czatach i Marcin witaj na czatach i Grzegorz.
5756:  Co myśl o twórczości Czesława Miłosza?
5760:  strasznie intelektualistyczna.
5764:  Eseje lubiłem.
5766:  Natomiast poezja... Nie, z polskich poetów naprawdę poza Herbertem chyba nikt nie był w stanie i Micińskim.
5777:  Nikt nie był w stanie mnie ruszyć.
5780:  Jakie zadania...
5781:  Moi kochani, nie ma żadnych zadań, myśmy wszystkie zadania zrobili już, jeżeli chodzi o to.
5788:  Dzisiaj mamy eksplorację wyłącznie.
5790:  Ja mówiłem, ostrzegałem, ostrzegałem, to nie był clickbait.
5794:  Dziś są pytajniczki.
5796:  Zresztą, ja bym bardzo chciał zrobić, bo plan jest taki generalnie, tak serio mówiąc, że jak osiągniemy następny poziom, myślę spokojnie,
5804:  to będzie można powoli zacząć robić Miłe Złego Początki, czyli Olgierda von Ewerek.
5810:  No bo nie robimy Wyspy Mgieł, to z oczywistych względów, możemy jeszcze zebrać Towarzyszy Broni, to możemy dzisiaj zrobić na pewno, żeby nie zalegało w dzienniczku, a jutro sobie zaczniemy Miłe Złego Początki.
5824:  W ogóle, jak jesteście z Wrocławia albo możecie pojechać do Wrocławia, to co roku tam jest Game Music Festival.
5830:  Robi to swoją drogą Justyna Michułka, która prowadzi studia podyplomowe na WHAGH, czyli na moim wydziale, gdzie ja też pracuję.
5838:  I to jest fantastyczna, cudowna ekipa
5841:  która od lat dba o to, żeby muzyka z gier wideo miała reprezentację swoją na polskiej scenie artystycznej, bo wszyscy wiemy oczywiście, że z filharmoniami jest dokładnie tak samo jak z polonistami, to znaczy dzień, w którym w filharmonii usłyszycie muzykę z gry komputerowej, będzie dniem straconym niechybnie dla polskiej kultury.
5863:  Łódka się może faktycznie popsuć, jest takie ryzyko, ale wiecie, nie ma ryzyka, nie ma zabawy.
5871:  Pamiętajcie, że atutem tego jest to, że nie jestem skupiony na zadaniach i możemy więcej pogadać.
5876:  Mamy taki quasi-live dzisiaj.
5880:  Hoho!
5881:  Good night!
5881:  Aż mi się przypomniało, jak grałem Jeśka i piękna fraszka, którą chętnie bym powiedział nauczycielce od polskiego, której nie pozdrawiam, ponieważ dla nich uczenie nas to mordęga.
5889:  Jeżeli dla kogoś uczenie to mordęga, to powinni się natychmiast zwolnić.
5893:  ale tak w trybie now.
5894:  Jacy są moi ulubieni malarze, fantastyczni i ci bardziej realistyczni?
5898:  Lubiłem zawsze malarstwo historyczne, wydaje mi się, ale najbardziej serduchą mi ruszali malarze romantyczni, na przykład Kaspar David Friedrich, a z malarzy bardziej, nazwijmy to, abstrakcyjnych, chociaż nie lubię tego tak nazywać.
5914:  Co tu się dzieje? !
5916:  to zdecydowanie René Magritte.
5918:  René Magritte to jest człowiek, którego kocham i uwielbiam, absolutnie.
5922:  Przezłośliwy, przeinteligentny.
5925:  To jest ten gość, który zrobił obraz pod tytułem To nie jest fajka, przedstawiający fajkę, jak również Spadanie, na którym ludzie w Melonikach spadają i bardzo fajny obraz Pocałunek.
5938:  No i jest tego sporo.
5940:  Lubiłem też Daliego, więc jak widzicie, to nie jest tak, że ja jestem w stanie pokazać malarza realistycznego, bo nawet jeżeli on jest realistyczny, to są to jacyś surrealiści albo nadrealiści.
5952:  Widzę, że ta syrena nie chce zanurkować.
5954:  I co teraz?
5958:  I co teraz zrobimy?
5960:  Trzeba chyba wzbić się znowu na naszą gudeńkę.
5967:  Dobra.
5968:  Gin.
5970:  Ale, ale dużo syren.
5971:  Wielkie nieba.
5973:  W ogóle nie robiliśmy dawno zapisu.
5975:  Wspominałem, że mam jakąś publikację naukową, to muszę się logować do stosu systemów i tam coś uzupełniać.
5978:  Czym mógłbym to rozwinąć?
5980:  Może w wolnym czasie mógłbym zrobić coś, co ułatwi życie?
5983:  Aaa, to jest dobry pomysł na apkę, to znaczy generalnie jest tak, że...
5987:  Jest wymóg, w różnych systemach, które są od siebie rozproszone, typu ORCIT, Akademia Edu, ResearchGate, Google Scholar i tak dalej, wrzuca się dokładnie te same metadany bardzo często.
6000:  Kłopot polega na tym, że te systemy się ze sobą nie komunikują, z tego względu, że mają różne wzorce tych metadanych.
6005:  Więc to jest ciężka sprawa do rozwiązania.
6011:  Idea była taka na samym początku, że miała być powstać polska bibliografia naukowa, w której były wszystkie publikacje naukowe, co by też ułatwiło życie dziennikarzom i tak dalej, ale jak się domyślacie, oczywiście ten projekt, no naturalnie, że kto, komu, kto miał być posmarowany, komu to zostało, no i poza tym nic, to znaczy projekt został stworzony i jest kompletnie absurdalny i nie łączy się absolutnie z niczym, a my musimy znowu wyrzucić rzeczy z ekwipunku, straszne.
6037:  Beksiński oczywiście, to dlatego, że mi sereny przerwały moją listę.
6041:  Beksińskiego absolutnie kocham, ale Beksiński razem z Siódmakiem jest u mnie w ogóle na pierwszym miejscu, jeżeli chodzi o malarzy.
6047:  No i pamiętajcie, że termin malarz, powiedział Krzysztof, który nie może się powstrzymać w takich sytuacjach, jest przestarzały.
6055:  To znaczy artysta malarz dzisiaj to jest człowiek, który robi koncept arty dla gier komputerowych i to, że to się nazywa koncept arty dla gier komputerowych absolutnie nic nie znaczy.
6064:  To znaczy ten człowiek w dalszym ciągu jest malarzem, tylko że inaczej to dzisiaj przedstawiamy sobie, prawda?
6071:  I strasznie mnie złości i martwi to, że jak idę sobie do muzeum, to nie mogę sobie właśnie obejrzeć, mimo że ja płacę podatki też na muzea, prawda, jak każdy z nas, i nie mogę sobie obejrzeć tego, co lubię.
6082:  Czasami się zdarza, że ktoś zrobi jakąś wystawę prac fantastycznych, ale to się dzieje tak rzadko, że podchodzi pod kategorię tak rzadko, że nieprawda, nie?
6097:  Czy mam takie serie, gdzie przemoc mnie zraziła do dzieła?
6101:  Wiecie co?
6103:  Tak, czasem mi się to zdarza przy horrorach, dlatego... Czy znowu w coś trafiliśmy?
6110:  Tak, znowu.
6111:  Dlatego mam... Zawsze jak pytacie mnie, czy oglądam horrory, to zwykle właśnie nie oglądam i to jest z tego powodu.
6119:  O!
6120:  Teraz jesteśmy jak... Teraz jest World of Warships, moi drodzy.
6125:  Geralt strzela.
6129:  Dobrze.
6130:  Chyba to jest metoda.
6131:  Co sądzę o Invincible.
6133:  Ostatnio nadrobiłem i dla mnie przehypowany.
6135:  Czy mowa o tym filmie Christophera Nolana?
6139:  Jeśli tak, to się zgadzam.
6140:  To jest dobry film, ale nie aż tak dobry.
6151:  Streny cały czas na nas płyną.
6153:  Dominika poleca malarstwo Tomka Sentowskiego.
6156:  O, to nie kojarzę.
6158:  To nie kojarzę.
6159:  A może kojarzę?
6161:  Może kojarzę.
6165:  Krzysztof, idioto, masz jego album na półce.
6167:  Kojarzę.
6174:  Co dzisiaj mam w termosie?
6175:  Jak zawsze herbatka i jej zapas.
6178:  Tym razem herbatka nie... O, jest nowa łódeńka!
6182:  Świetnie, możemy się wpieprzyć tą przeklętą łódką w skały!
6190:  Aaa!
6191:  To oni!
6192:  Dobrze.
6194:  Czy ja tu... Uuu!
6197:  Dlaczego ma nas... Dlaczego stado kozic akurat?
6200:  Co się dzieje?
6201:  Dlaczego... Pierwsi ludzie, jakich spotkaliśmy od początku tego streamu i nas wyzywają.
6208:  To się źle skończy dla nich.
6210:  Różewicz?
6213:  To samo myślę o nim, co o Miłosz.
6221:  Dobra, nie pamiętam, jak się z nimi walczyło.
6224:  F!
6227:  Okej, Quen.
6234:  Stanowczo Quen jeszcze raz.
6241:  Tak, strumień igni, przypominam sobie.
6244:  Kwen!
6244:  Kwen!
6245:  Dobrze.
6252:  Aaaa!
6254:  Błonie pirat na plaży!
6259:  Cóż się potem przydarzy!
6265:  Haha, został... został ustrzelony przez własnego kamrata, tak to się kończy właśnie.
6276:  A co myślę o Miłoszu, bo nie wiem, pyta Julia.
6279:  Aha, rozumiem.
6280:  No, moim zdaniem jest przeintelektualizowany.
6285:  Nie umiem, nie umiem czytać takiej poezji.
6287:  Ja, ja jestem po stronie, wiecie, poezja, która dla mnie ma sens, rzeczywiście, i jej w Polsce praktycznie nie ma, wyjąwszy Grochowiaka, który próbował to robić, to jest haiku, czyli poezja, która jest czysto emocjonalna, opisuje jakieś wrażenie i to ma dla mnie pewien sens.
6304:  Tam, co tam, pirat, ale pies strażniczy, to jest coś, co mnie zaniepokoiło bardzo.
6311:  Psi synu, ja ci dam!
6313:  To nie jest obelga!
6317:  Strugackich nie czytałem i gorzej.
6319:  To jest jedna z takich wstydliwych rzeczy, które mam w ramach swojego notesu, którego nie prowadzę, wstydliwych rzeczy.
6328:  Czy ja dobrze widzę, że jest teraz... Dlaczego tu się pojawili następni piraci?
6334:  Czy my dostajemy za to expa?
6340:  Bo może dostajemy za to expa, to byłoby dobre miejsce do farmienia.
6343:  Ale ja wcale nie chciałem farmić, ja po prostu chciałem miksturki, radosne miksturki dla Geralta.
6352:  Jaki mam stosunek do takich książek jak Czarny Łabędź?
6356:  Powiedział Krzysztof w najgorszym momencie, patrząc na czaty.
6362:  Wiecie co, jeżeli coś jest zekranizowane, a mam wrażenie, że było, to częściej wybieram ekranizację.
6372:  Ale jeżeli to jest coś innego, to na pewno nie kojarzę.
6386:  Ooo!
6388:  Ktoś został rozpłatany!
6391:  Oj, piraci dywoją się i troją, żeby nas pokonać!
6401:  Czasami, moi drodzy, płatanie mieczem jest miłe, ale nie oszukujmy się, wiemy dobrze, co jest milsze.
6415:  Co to za skandal?
6417:  Co to za przerywanie mojego demonicznego śmiechu?
6427:  Pięknie.
6429:  Pięknie.
6431:  F5.
6431:  Invincible to serial animowany o superbohatera z Amazon Prime.
6437:  A nie!
6438:  To, to, to jest kupa w ogóle!
6439:  Tego nie oglądajcie!
6441:  Z Amazon Prime warto obejrzeć The Boys.
6444:  Och, to jest dobre!
6448:  Następnie ten... Nie, przepraszam.
6451:  Nine Perfect Strangers z Nicole Kidman.
6453:  To jest złoto absolutne.
6455:  Jeżeli ja wam polecam coś, co nie jest fantastyką, to bym się tym zainteresował.
6460:  I oprócz tego, co jest na Amazon Prime, co warto, oczywiście Expans, nie?
6464:  Ale Expans to jest coś, dlaczego niektórzy po prostu wykupują w ogóle sobie Amazona.
6470:  Zresztą teraz to jest dość opłacalne, bo w Polsce mamy jedną z lepszych ofert w tym momencie.
6478:  Dobrze, mam nadzieję, że to już jest koniec walki z piratami.
6483:  Okej.
6485:  Dobra.
6486:  I teraz tutaj mam takie wrażenie, że jest coś.
6493:  Tu ewidentnie jest coś, czego ci piraci strzegli.
6498:  Czego ci piraci strzegli?
6500:  Czy da się wejść do tej wieży?
6504:  Nie.
6505:  Czy ktoś z piratów ma klucz do tej wieży?
6513:  No właśnie, jak zasiadłem, to dwa sezony w ciągu poszło tego ekspansji, a mam dokładnie tak samo.
6520:  Znaczy, binge'uję od jakiegoś czasu, w tej chwili jestem na trzecim chyba sezonie i jest po prostu wspaniale.
6529:  Gdzie my jesteśmy?
6530:  Tu jest jakaś warownia.
6534:  Idź dalej.
6537:  Dobrze.
6538:  Ale tu pięknie.
6540:  Och, moi drodzy, możecie się śmiać z eksplorowania pytajniczków na Skellige, ale ja nie żałuję.
6546:  Ojej, więcej piratów.
6559:  Było pytanie o już wydział matematyki na GH Grabko, ale generalnie rzecz biorąc, no moje zdanie jest takie, jak już poznaliście.
6569:  Nie chcę też powtarzać dla tych, którzy będą oglądali stream jeszcze raz, to znaczy ja wierzę w zdolności studentów i wiem, że potrafią się postarać bardziej, żeby zrobić jakąś radosną złośliwość.
6579:  Studenci zawsze robili radosne złośliwości i tego się nie da powstrzymać, no na pewno nie przez relegowanie,
6592:  I a, i nawiasem to jest normalna praktyka, że podczas tego rodzaju zajęć się udostępnia serwery uczelniane.
6599:  Kiepskie jest tylko to, że one są tak źle zabezpieczone, nie?
6603:  Że można je przejąć z zewnątrz.
6607:  Są jakieś książki w stylu Dzieci Rogatego Szczura?
6609:  Uuu... Z uniwersum Warhammera Phantaz jest mało znam rzeczy, ale wiem, że dużo ludzi poleca Gotreka i Feliksa.
6624:  Moi drodzy, nic nie mówicie, ale byliśmy tyle razy trzy ćwierci od śmierci.
6628:  I jeszcze ani razu.
6640:  Dobra, jeszcze raz wal... Jeszcze raz walniemy tym.
6643:  Tylko walcz.
6659:  Miecz jest zawodny.
6663:  Czy sądzę o Hamiltonie?
6665:  Nie znam.
6666:  Czy znam jakiś... To czytałem.
6668:  Tak, tak, tak.
6670:  Parabole tańczą i piraci tańczą, a Krzysztof umiera.
6675:  No właśnie, nie chwal Igni przed odpaleniem.
6678:  Słusznie, słusznie, absolutnie słusznie.
6683:  Jakieś ostatnie słowa.
6688:  Mam wrażenie, że oni dostały jakieś specjalne... Aaa!
6690:  Ja zapomniałem, że się nauczyłem parować.
6694:  Już nie pamiętam, jak to się robiło.
6700:  A, już wiem.
6702:  Aaa!
6704:  Dobrze.
6707:  To wiele wyjaśnia.
6711:  Moi drodzy, powinniście być bardzo, bardzo dumni.
6716:  Synchroniczny płomień Igni!
6719:  Tego mi brakowało.
6720:  O nie, pies.
6723:  Dobrze, że mieliśmy... Geralt obrywa skuszy, widzę.
6731:  Niedobrze.
6733:  Trzeba leczniczego quena użyć natychmiast.
6739:  Dziękuję.
6745:  Ooo, dobrze.
6749:  To potrwa.
6751:  To potrwa.
6754:  Tak, zapamiętałem.
6755:  Trzeba będzie zrobić taki... Nie lubię używać stream elements, ale chyba zrobię ten licznik śmierci, jak słowo daję.
6763:  Dobra, inaczej.
6770:  O Boże!
6775:  Co?!
6776:  Co?!
6778:  Co?!
6781:  Jakim cudem?!
6783:  Jakie wredne!
6786:  Litości!
6788:  Nie!
6789:  Nie, nie, nie, nie, nie.
6790:  Nie, nie, nie będziemy w ten sposób.
6791:  Nie będziemy w ten sposób.
6793:  Absolutnie nie.
6794:  Biała mewa, która jest białym miodem, znaczy biały miód, który jest białą mewą.
6799:  Wiecie o co chodzi!
6801:  Dobrze, mamy wszystkie możliwe rzeczy zapisane.
6814:  Takiego.
6817:  To wszystko przez tego psa.
6819:  Gwiazda tańcząca.
6821:  Będziemy obrzucać ich granatami i petardami.
6834:  Nie!
6835:  Tylko nie pies.
6839:  Czemu ten pies nie atakuje?
6842:  Dobra, mam bardzo złe przeczucia.
6847:  Okej.
6849:  Pewnie, że jest szybki.
6852:  Uczy się walczyć z bandytami od samego początku tego streamu!
6857:  Przecież to już jest szesnasta część.
6862:  Okej, teraz została najgorsza rzecz, to znaczy psy.
6865:  Jest ich bardzo dużo.
6873:  W normalnych okolicznościach bym się cieszył, bo im więcej psów, tym lepiej.
6879:  Ale nie w tych okolicznościach.
6886:  Nie kojarzę Guardians of the Hall Catherine Lansky.
6892:  Nie kojarzę.
6896:  Za dużo przeciwników i Herkules dupa, kiedy wrogów kupa, a my nie jesteśmy Herkulesem.
6902:  Nawet nie jesteśmy Herkulesem Poirot.
6905:  Dobrze, trzeba zacząć patrzeć na to taktycznie.
6909:  To znaczy, zaczniemy wykorzystywać duże ilości sera i wypalać, wypalać wrogów w ciasnym zakamarku.
6923:  Tylko... Psy, psy to jest problem.
6925:  Gwiazda tańcząca.
6928:  Niech wszyscy płoną.
6929:  Niech płoną!
6937:  My w tej walce jesteśmy zdecydowanie dupą.
6939:  Muszę, muszę potwierdzić z bólem.
6945:  Czemu, czemu on przerwał strumień Igni?
6948:  Ja się pytam!
6958:  Bardzo mi przypomina ten wrzask to, co jest słyszane w twierdzy, jak płoną.
6963:  Ciekawe, czy jest ten sam asset dźwiękowy wykorzystany.
6967:  Plik dźwiękowy, sample, wszystko jedno.
6971:  Dobra, psy.
6972:  Najgorsza część tej walki przed nami.
6976:  Dużo psów.
6977:  Wszystkie groźne.
6990:  Najgorsze jest to, że nie możemy wypoczywać, ponieważ oni się tutaj znowu pojawią.
6998:  Przypomnij sobie, jak Duncan walczył.
7000:  O tak, och, ta walka.
7002:  Nie chcę spoilować, ale och, wspaniałości.
7009:  Mam wrażenie, że tutaj jest za dużo wrogów.
7011:  Czy macie podobne wrażenie?
7015:  Poznałem, że ktoś nas zaszedł od tyłu, ponieważ postanowił rzygnąć na nasz widok.
7026:  4... 4 HP było, tak?
7028:  No prawda.
7033:  Odpoczy... Wiecie co?
7033:  Zasłużyłem na odpoczynek.
7036:  O!
7036:  Tu jest taka... Tu jest takie miejsce ładne.
7038:  O, zobaczcie, są beczki.
7040:  W tych beczkach jest whisky.
7042:  Ja sobie otworzę batonik.
7044:  Otworzę sobie batonik w filmie.
7046:  Brawiant, posiłek, zapis, tak jest.
7060:  Masz rację, Julio, zawsze jest za dużo aksji.
7066:  Mamy młynek, nic nie daje.
7068:  Zbyt szybko giniemy.
7071:  Wielkie nieba.
7073:  Widzę pytanie kolejne o Castlevanie.
7076:  Jest moja recenzja, to tylko dowodzi mi tego, że algorytm YouTube'a jest do dupy.
7082:  Śledzie, a nie whisky, nie łudźmy się.
7084:  Macie rację, no niestety tutaj to najpewniej są śledzie.
7088:  Ale ja bym wolał, żeby to była whisky.
7090:  Najlepsza whisky, jaka istnieje?
7093:  Whisky w beczkach po sherry.
7095:  Och, Boże, jakie to jest potem dobre.
7097:  Albo po koniaku, jak Lagavulin.
7101:  Wspaniałość.
7104:  Właśnie w Xpans jedna z fajniejszych postaci serwuje Lagawulin, ja wtedy miałem taki moment.
7110:  A woman of culture, I see.
7112:  Oczywiście nie wiem, jak się nazywa.
7118:  Oni teraz powinni spa... Wiecie co?
7120:  Mam pomysł!
7121:  Użyję Ardu!
7124:  Myślałem, że podmuch powietrza działa w ten sposób, że jeżeli zostanie użyty na moście, to zepnie kogoś z tego mostu, ale nie, nie, po co, bo świetny znak, wspaniały!
7145:  Oczywiście, że oglądam w low-co, natomiast nie oglądałem teraz Say It Home Cup w StarCraft'cie.
7152:  Troszeczkę jestem do tyłu ze StarCraftem, przyznam.
7155:  I z meczami.
7156:  Nie jesteśmy w stanie wejść tutaj.
7158:  Tutaj jest gdzieś znacznik, który jest pytajnikiem i on jest na dole i ja tego nie rozumiem.
7164:  Czego ja nie rozumiem?
7166:  Znowu.
7168:  Tu się da wskoczyć, ale...
7172:  Okej, tam jest jakaś skrzynia chyba.
7176:  Nie, to są pakunki tylko.
7178:  Dobrze, teraz jest faza numer dwa problemów Krzysztofa, to znaczy nieumiejętność, trzeba znaleźć wejście do piwnicy, pisze Olga.
7190:  Czy próbowałem Art Bektak?
7192:  Bardzo, bardzo dobry torfiak, potwierdzam absolutnie, mam nawet w swoich zapasach.
7199:  Ostatnio też próbowałem Glenn Farclass.
7203:  Też dobra rzecz.
7205:  Dobrze.
7207:  Moja intuicja mówi mi, że wejście do piwnicy będzie na górze.
7213:  Moja intuicja mnie zawiodła.
7215:  A w wielu grach tak było.
7220:  Wielkie nieba.
7221:  Gdzie tu jest zejście do piwnicy?
7224:  Jestem trzeci raz w tym miejscu.
7235:  Myśmy milion razy ci mówili, narzeka Jakub, żebyś włączył wszystkie skille podlodowego Arda, to byłbym na scenie panem życia i śmierci.
7242:  Ale co to jest za zabawa, jak jest za łatwo?
7246:  Ja bym tylko bardzo chciał, żeby te hendożone znaczniki pokazywały mi, w jakie miejsce iść.
7253:  Oczywiście, że tak.
7254:  Geralt jest niedomagiem ognia, mistrzem klanu Żurawia, który...
7262:  który jak spada, wydaje najśmieszniejsze dźwięki we wszechświecie.
7276:  Bardzo ciekawa wypowiedź.
7277:  Muszę powiedzieć, że ja też jak widzę wroga, to mówię... Było nas 11 i mieszkaliśmy w jeziorze.
7286:  Scott Westerfeld.
7288:  Był czytany, tak.
7290:  To są dystopie zresztą, jeśli mnie pamięć nie myli.
7294:  To dość dobre.
7301:  Zburzona baszta na północnym zachodzie, wielkie nieba.
7305:  Stosujecie bardzo skomplikowane miary odległości.
7309:  Czemu oni zadają nam tyle obrażeń?
7320:  To jest cały health pool!
7321:  Litości!
7323:  To jest pirat!
7325:  Nie!
7330:  Komendant dzikiego ogonu!
7332:  Goddammit!
7334:  O!
7335:  Jeszcze się... Przywódca piratów.
7338:  Niedobrze, przywódca piratów ma tarczę.
7344:  Dobrze.
7349:  Zanotować, a Art absolutnie nie działa na pozbawianie tarcz piratów.
7356:  O nie, o nie, o nie.
7361:  Quen.
7362:  Dobra, zróbmy leczniczy Quen.
7366:  Dziękować.
7367:  Tak, jeden, jedno uderzenie.
7372:  Jedno uderzenie nas ukatrupia, to jest nieprawdopodobne.
7377:  I jeszcze zadaję obrażenia, bo normalnie Quen by nas wyleczył.
7384:  Dobra, i Igni.
7386:  Zza pleców, nie widzę innej opcji.
7395:  I strumień Igni.
7397:  Nie!
7405:  Kanapka z pieczonym kurczakiem.
7412:  Tak, musimy upgrade'ować zbroję, absolutnie.
7414:  Macie 100% racji.
7416:  Klucz do więzienia.
7419:  Okej.
7421:  Coś mi się wydaje... Coś mi się wydaje... Podniebna cela.
7429:  Niezły pomysł na więzienie bez krat.
7431:  Szkoda, że ten tutaj nie potrafił latać.
7434:  Tyrion!
7438:  Jest i easter egg z gry o tron!
7442:  Okej, warto było, ale zaraz, tutaj jest jeszcze jakaś skrzyneczka.
7448:  Świetnie.
7451:  Tu jest więcej skrzyneczek?
7453:  Nie.
7455:  Coś tu jeszcze jest, mamy cały czas znacznik.
7457:  Przepiękna sprawa.
7460:  Tu jeszcze coś może być, tak.
7462:  Ooo, tak!
7464:  Powiedział Krzysztof, który i tak to sprzeda albo wyrzuci.
7468:  Dobra, mamy wszystko.
7469:  Mamy to!
7470:  Mamy to!
7471:  Piraci pokonani!
7473:  Jupiiii!
7479:  No, strumień Igni też bym wyrzucił, ale wiecie, jest jeden problem ze strumieniem Igni.
7483:  Wygląda super.
7485:  To jest problem ze mną i z buildami, to znaczy... No tak, ja chętnie bym robił optymalne buildy i tak dalej, ale... Ale niektóre rzeczy wyglądają super.
7497:  Ja jestem niestety w tym przypadku po stronie tych, którzy uważają, że jeżeli coś... Na widok czegoś mówimy, that's cool shit, to należy to zostawić.
7510:  Eliksiry od... nie odnowimy tutaj eliksirów, bo wiecie co się stanie jak ja tutaj będę wypoczywał?
7515:  Wiecie co się stanie?
7516:  Ja wam mogę pokazać co się stanie jak będę wypoczywał, proszę uprzejmie.
7528:  Ej?
7529:  Piraci?
7531:  Piraci?
7533:  Gdzie są piraci?
7535:  O!
7536:  Nie liczy się efektywność, a efektowność.
7538:  Absolutnie zgadzam się, Elgion.
7539:  Dalej tutaj jest zamknięte.
7541:  Stało się absolutnie nic.
7543:  Czyli ewidentnie respawn piratów był uzależniony od tego, czy żyje ich szef.
7548:  To jest interesująca mechanika.
7551:  Ale ma sens.
7553:  Szagmat!
7555:  Ten moment, gdy gra troluje maga.
7557:  Coś w tym jest, coś w tym jest.
7561:  Ale proszę.
7564:  To jest zamek, w którym sprzedają migdały.
7570:  Jest tutaj siedziba Ferrero, która dzięki temu unika restrykcji Unii Europejskiej związanych z niedodawaniem oleju palmowego do słodyczy.
7578:  Ferrero be like.
7579:  Polski konsument lubi być truty.
7583:  Nie będziemy zmieniać smaku Ferrero i Nutelli, tak jak jest we Włoszech i w innych krajach, w których się dba o obywateli, bo polski konsument lubi być ruchany.
7597:  Uwielbiam ten argument.
7602:  Uwielbiam.
7608:  Czy ja tutaj widzę naszą absolutnie ulubioną rzecz, to znaczy echidny?
7613:  Tak jest, są ochydny.
7616:  Nóże walczyć z ochydnami.
7618:  Za dużo ochydn.
7621:  Ciężko odmieniać to słowo.
7624:  To jest tak, pizza.
7626:  Kogo czego nie ma pizz.
7628:  Ciężko to wymówić, a jest to poprawne.
7633:  Kiedyś dla mnie było szokiem, że się mówi w dopełniaczu księgarni i czytelni, a nie czytelni i księgarni.
7644:  Geralt, dlaczego jęczysz jak niszczyć się łódka?
7646:  Geralt osiągnął symbiotyczną więź z łódką.
7651:  Chaty mówiły, że da się do tych beczek podpływać i lutować się w ten sposób.
7655:  Niestety nie da się.
7658:  Trzeba zanurkować.
7659:  Fatalnie.
7663:  Dobra.
7664:  Czy jest jeszcze tutaj coś?
7665:  Nie ma!
7666:  Świetnie.
7672:  No nie lubię, no nie podobało mi się Invincible, co ja na to poradzę?
7675:  Dla mnie, dla mnie wykończyłem się po pierwszym odcinku.
7679:  Kompletnie nie ta stylistyka, za bardzo też takie satyryczne ujęcie, które trochę nie miało sensu dla mnie.
7689:  Co trzeba koniecznie odwiedzić mieszkając w Krakowie?
7691:  A mieszkają.
7692:  A ja bym poszedł na przykład do Muzeum pod Rynkiem Głównym, bo mało kto kojarzy to muzeum.
7698:  Nigdzie się o nim nie mówi, a jest całkiem sensowne i dość nowoczesne.
7701:  Oczywiście Fabryka Schindlera też warto, z takich nowocześniejszych muzeów.
7707:  Jest też Muzeum Iluzji.
7709:  Nie wiem, gdzie ono jest, ale jest coś takiego.
7712:  Też dość dobre.
7714:  No i wiadomo, i to wszystko, co jest na wierzchu.
7717:  A, jeszcze z Kopców jest taka fajna trasa między Kopcami, tzn.
7720:  między Kopcem Piłsudskim a Kościuszki.
7723:  Las Wolski, tam jest dużo fajnych ścieżek spacerowych i rowerowych, jeżeli ktoś lubi kolarstwo górskie, czy wyżynne, nazwijmy to.
7733:  I jeszcze Kopiec Kraka, który jest najmniej znany, a tam jest bardzo fajny klimat.
7738:  Warto też się kopnąć oczywiście na Kazimierz, bo rynek główny jest reklamowany jako coś dla turystów, ale nikt przy zdrowych zmysłach już tam nie idzie nigdzie, bo tam nie ma żadnych fajnych rzeczy.
7748:  Fajne rzeczy są na Kazimierzu.
7750:  Przez fajne rzeczy Krzysztof rozumie.
7751:  Dobre burgery, jeszcze lepsze piwo.
7756:  Tak jest Kingo, łódeczka.
7757:  Dzisiaj mamy łódeczkę.
7760:  To znaczy, ściśle mówiąc, klepawą łódeńkę, jaką odkryłem, ochrzciłem, która to klepawa łódeńka zawodzi nas raz po raz.
7766:  Topielce!
7768:  Świetnie, można kogoś wypalić.
7770:  Oczywiście, o ile grana nam to pozwoli.
7774:  O, House of Beauties, dobre miejsce.
7778:  Z burgerowni Moaburger, absolutnie.
7782:  Na Mikołajskiej.
7786:  Ten topielec wiruje na pępku.
7794:  To jest jeden z tych momentów, w których nienawidzę redów, to znaczy... O, dobrze, możemy się wspiąć.
7806:  Pięknie.
7807:  Ciach, ciach, ciach!
7824:  Stwierdzenie... Stwierdzenie, nie wiem gdzie jest Muzeum Iluzji, było autentycznie najlepszą możliwą reklamą.
7831:  Ale zajebisty komentarz.
7834:  Faktycznie.
7837:  Bardzo mi się podoba.
7841:  Czaty uczą, czaty bawią.
7844:  Dobrze.
7845:  Ruszamy dalej.
7846:  Nie mówcie, że nie idzie nam to szybko.
7852:  W Warhammerze 1, to jest W1, można było strzelać fireballami.
7858:  Wszędzie można strzelać fireballami, jak się człowiek uprze.
7861:  W Wiedźminie Pierwszym, okej.
