Kraina tysiąca waśni — WITCHER 3 Livestream #24
🔗 https://www.youtube.com/watch?v=DnHkIKiOKjE

1:  Wiedźmin i sobota.
4484:  Oczywiście, że jest cały zwierzyniec u nas.
4486:  Jest żabcia, jest prorok kaczk, są jamniki, jest krokodyl.
4491:  Wszyscy są.
4493:  To bardzo dobre wiadomości.
4497:  Tak, te tureckie herbatki w taki malutki szlaneczek piję zawsze.
4500:  Tak, tak, tak jest.
4501:  Oddział.
4503:  Opatrzyć rannych i przygotować się do wymarzu.
4508:  Mądra decyzja.
4510:  I jeszcze jedno.
4512:  W walce z wampirami używajcie wyłącznie srebra.
4517:  Każ alchemikom wyprodukować jak najwięcej oleju przeciw wampirom.
4520:  Nie, ogień, ogień, ogień.
4521:  Nakładajcie go na miecze.
4523:  Uważajcie szczególnie na Alfie i Bruxy.
4527:  To te o sylwetkach kobiet.
4529:  Potrafią znikać.
4531:  W walce z nimi sprawdzają się petardy z opiłkami srebra.
4536:  Dzięki, Wiedźminie.
4538:  Mam nadzieję, że jesteś wart pieniędzy, jakie obiecała ci księża.
4542:  I że przyniesiesz łeb tego drania, który sobie odpowiada.
4546:  Nabity na hak.
4549:  Czy ogrywałem grę sama?
4550:  Nie.
4551:  A czy ona jest jakoś związana z Huxleyem?
4554:  Olga pisze, że wróciła do herbatki truskawkowo-śmiertelnego.
4556:  Kiedyś miałem ulubioną herbatkę truskawkowo-śmiertelnego, bo pyszna była.
4564:  Tylko czarna.
4565:  Nie mogę teraz czarnych.
4572:  Niech nam zaufa.
4573:  Możesz mi zaufać.
4575:  Rozwiąże wasze problemy.
4577:  Niby jak.
4579:  Na razie musi wystarczyć ci tyle, że potrzebuję Siany.
4583:  Bardzo potrzebujemy Siany.
4584:  Przecież znasz decyzję księżnej.
4585:  Tak.
4586:  Siana ma oczekiwać na proces.
4588:  W zamknięciu.
4590:  Decyzję znam, ale to nie znaczy, że się z nią zgadzam.
4595:  Ty może masz taki luksus.
4596:  Ja niestety go nie mam.
4599:  Przesiąłem wierność.
4603:  Ludzie giną z powodu jednej osoby.
4604:  Jeśli księżna się dowie, że ci pomogłem, sam pójdę pod gilotyne.
4606:  A ja tuż po tobie.
4607:  Mimo to ryzykuję.
4632:  Widzę, że marnuję tu czas.
4634:  Czekaj.
4640:  Kiedy... Kiedy ostatni raz widziałem Sianę... Krew jest aż tak wysoko, wielki nie ma.
4647:  Pokoju dziecięcego?
4649:  Jesteś tego pewien?
4651:  Przestań.
4653:  Służę na dworze od lat, znam tam każdy kąt.
4656:  Więc tak, jestem pewien do ciężkiej cholery.
4659:  To co, księżna zamknęła ją w domku dla lalek?
4663:  Szczerze, nie mam pojęcia.
4666:  Myśmy mieli ten dialog.
4669:  A co ty z tym zrobisz?
4671:  To już nie moja sprawa.
4673:  Rozumiem.
4674:  Sprawdzę to.
4676:  A ty wracaj do garnizonu.
4678:  Najlepiej po moich śladach.
4680:  To przetarty ślad.
4687:  Tak był?
4690:  Trzeba dać znać Regisowi, żeby do mnie dołączył.
4693:  Dobrze.
4694:  Idziemy.
4702:  Rozmawiamy z ptakami.
4705:  Zapisujemy.
4709:  Czy paliłem kiedyś fajkę?
4710:  Ja jestem bardziej cygarowy niż fajkowy.
4714:  Tu są te... A, tu są ptaki.
4717:  Niech Regis spotka się ze mną w pałacu.
4721:  Musimy dostać się do pokoju dziecięcego.
4738:  Pewnie, że cygara niezdrowe, tak samo jak wszystko inne, ale smaczne.
4743:  Ja bardzo rzadko popalam.
4747:  Czasem tak jest, że pasuje do whisky.
4752:  Strażnicy stwierdzili, że po cholerę walczyć z wampilami, jak można sobie podefilować na moście.
4768:  Mam wrażenie... Jak tutaj jest ładnie?
4772:  Aaa!
4773:  Więcej wąpierzy!
4776:  Świetnie!
4785:  Aaa!
4786:  Myślałem, że to jest Bruxa!
4791:  Płoń!
4792:  Hmm...
4800:  Gdzie jest Alp?
4801:  Za bardzo się teleportuje, należy go wyeliminować.
4806:  Geralt niestety nie umie rzucać petard, to jest problem.
4809:  Hahaha.
4831:  Bardzo mi się podoba twoja teoria, Carnival Nefisto, bardzo mi się podoba.
4838:  Powiedziałbym nawet, że ta teoria byłaby fantastyczna!
4846:  Uwielbiam te walki.
4855:  Może im doradzałem, żeby się wycofali, mowa o tych strażnikach, ale jeżeli mam... Wiecie, jak się człowiek wycofuje z walki z wampirami?
4864:  W ten sposób się człowiek wycofuje z walki z wampirami, a nie... Defiluje na moście.
4872:  Psia krew.
4876:  Razem z tym rycerzykiem Damianem, który mi się źle kojarzy, bo przypomina mi się Damian, który rozpoczął szturm na biedną dolinę w Divinity Ego Draconis.
4888:  A piękny to był szturm, trzeba przyznać.
4890:  Fleder!
4891:  Fledery płoną.
4892:  Są równie miłe jak nekery.
4894:  Może to jest kwestia zakończenia na R. Może to jest kwestia tego, że się kończą na R.
4908:  Na przykład papier też płonie.
4910:  Prawda?
4916:  Czy oglądałem anime Dorohedoro?
4919:  Wydaje mi się, że coś kojarzę mgliście, co oznacza, że ktoś mógł to polecać kiedyś.
4925:  Przy wystarczającej liczbie ogni wszystko zapłonie.
4928:  Tak, absolutnie tak jest.
4929:  Regis!
4930:  Dziękuję, że dałeś znać, gdzie mam przestawić.
4933:  Pokój dziecięcy jest za tymi drzwiami.
4936:  Czemu zawsze mamy za dużo bambetli?
4941:  W ogóle co się dzieje?
4943:  Aaa!
4944:  Siodła.
4945:  Zapomniałem.
4948:  Jak widzisz, kręcił się tu jeden z moich pobratymców.
4952:  Zadbałem, żeby nie przeszkadzał.
4955:  Christopher też się kończy na R. Tak jest.
4958:  To jest mój... To jest ten cień, jak gett krogulec, którego dawno spaliłem.
4967:  Czy upiór dobrze płonie?
4969:  A masz jakieś inne pytania, Livio?
4971:  Bo chętnie na nie odpowiem.
4975:  Czy jesteśmy w trakcie spoileryzmu?
4977:  Nie, nie, teraz mamy drugie, alternatywne zakończenie.
4979:  Zamknięte.
4981:  Oczywiście.
4982:  Regis, nie chcę mi się szarpać z tymi drzwiami.
4986:  Byłbyś łaskaw?
4988:  Na Twitchu jeden streamer dostał bana za mówienie słowa nekr, bo przypomina pewne inne słowo, ale tymczasem wszyscy na czatach.
4995:  Krzysztof, a dlaczego nie streamujesz na Twitchu?
4997:  Dziękuję.
4998:  Ten Jacek niech przyjmie podziękowania.
5000:  Poddałem się w odmianie za trybut.
5003:  Ostatnio ogłaszałem się tu w poszukiwaniu grafików.
5005:  Pełen sukces.
5006:  Pierwsze koncepty już są przerabiane na modele.
5008:  Tym razem wysypał się programista, silnik Anil4, Discord, ten Jacek, hashtag 9078.
5015:  Moi drodzy, ogłoszenie dla programisty, świetne wiadomości, to znaczy streamy Krzysztofa zasilają gamedev, uznaję to za sukces, wspaniały sukces, wiecie, co robić, zgłaszajcie się do tego Jacka na Discordzie, ten Jacek, hashtag 9078, tym razem programiści Anrila4.
5034:  Wspaniałe wiadomości.
5037:  Bardzo się cieszę.
5042:  To nie jest coś, co chcemy wziąć.
5044:  To jest coś, co wyrzuciliśmy.
5046:  O, byliśmy tutaj już.
5048:  Cisza.
5050:  Nikogo tu nie ma.
5051:  Witamy Urszulę na czatach.
5052:  Dobry wieczór.
5055:  O, i to jest moje zakończenie.
5057:  Tak.
5058:  To jest moje zakończenie.
5060:  I ono jest pozytywne.
5064:  Ołowiany rycerzyk.
5067:  Konik na biegunach.
5069:  Nosi ślady częstego użytkowania.
5077:  Czy ja słyszę pozytywkę?
5079:  Ładna melodia.
5081:  Rzeczywiście ładna.
5083:  Szkoda, że mechanizm jest uszkodzony.
5086:  Wielka szkoda.
5087:  Uwielbiam pozytywki.
5088:  Pomysł Hansa Zimmera, żeby włączyć pozytywkę do tematu Daviego Jonesa w Piratach z... Boże, jaki to był genialny pomysł.
5101:  Drewniana kaczka.
5103:  Ktoś jej urwał skrzydełka.
5105:  Kaczk.
5106:  Gdzie jest prorok Kaczk, kiedy go wzywamy?
5111:  Pamiętnik.
5111:  Oj, przyda się.
5113:  A to co?
5114:  Jakiś notatnik.
5116:  Własność Izabeli de Rochefort.
5119:  Rochefort!
5120:  Dwornej guwernantki.
5123:  Ser!
5123:  Mmm.
5140:  Sjana dała mi dziś laurkę.
5142:  Urocze.
5143:  Przedstawia bezgłowych, zakrwawionych ludzi.
5147:  Albo i nie.
5148:  Spytałam, czemu to narysowała.
5151:  Księżniczka odpowiedziała, że to scena z koszmarów, które nawiedzają ją, odkąd tylko pamięta.
5157:  Faktycznie Sjana noc w noc budzi się z krzykiem, chyba że śpi w jednym łóżku z Anarietą.
5165:  Podobno dziewczynki dotknięte klątwą czarnego słońca miały okropne sny, takie które mogą doprowadzić do szaleństwa.
5175:  Dziewczynki dziś się pokłóciły.
5178:  Niestety muszę odnotować, że nie zachowały się jak przystało damom.
5183:  Doszło do rękoczynów.
5186:  Pierwsza uderzyła siostrę Anna Henrietta.
5189:  Sjana nie pozostała jej dłużna.
5192:  Nim zdołałam je rozdzielić, mała Anarietta straciła dwa mleczaki.
5198:  Natychmiast pobiegła na skargę do rodziców.
5201:  Jego książęca Mość nie dał wiary mojej relacji i cała wina została przypisana Sjanie.
5206:  Dziewczynka została przykładnie ukarana.
5210:  Anarietta próbowała potem załagodzić sytuację, ale książę i księżna
5216:  Byli nieugięci.
5218:  No tak.
5220:  Jak ktoś już się dorobi reputacji czarnej owcy, ciężko to z siebie zrzucić.
5225:  Damy jej rękoczyny, nieprzystoi, tak?
5228:  Nieprzystoi.
5230:  Muzyka w Dune'ie, pisze Żółwik, została rewelacyjnie zrobiona, jak słuchałem Old Gina Sancho, jak na słuchawkach pojawiały się bemny, to aż czuję drżenie, gdy widziałem ten film na sali kinowej, coś wspaniałego.
5240:  Myślę, że w Dune'ie Simmer wreszcie się...
5244:  bo poprzednie jego filmy były strasznym copy-paste, niestety, poprzednie muzyki filmowe.
5249:  Ale ten temat Daviego Jonesa to jest rzeczywiście dla mnie jeden z szczytów twórczych, który osiągnął Zimmer.
5257:  Drugim dla mnie jest absolutnie muzyka do Incepcji, którą kocham.
5261:  No Time for Caution i zresztą i Insterstellara, dorzućmy jeszcze.
5265:  No to są wspaniałe rzeczy, absolutnie wspaniałe.
5269:  W incepcji nie tylko Time, wbrew pozorom, ale jest tam taki jeden utwór, który mam na swojej playliście ambientowej.
5275:  Słuchałem go nieskończoną liczbę razy.
5281:  Dziś po raz pierwszy towarzyszyłam dziewczynkom w krainie tysiąca baśni.
5286:  Spędziłyśmy tam pół dnia.
5290:  Wpierw bawiłyśmy się z Calineczką, a potem z Rumcajsem.
5294:  Był niezwykle szarmancki jak na rozbójnika.
5298:  Zaczynam podejrzewać, że Izabela de Roquefort pisała swój dziennik pod wpływem jakichś potężnych substancji halucynogennych.
5306:  Może kanabis rudelaris, albo... Ciii, nie przerywaj.
5312:  Chyle czoła przed osiągnięciem mistrza Artoriusa Vigo.
5316:  Dowiódł, że w magicznych arkanach nie ma sobie równych.
5320:  Czekaj, czekaj.
5322:  Artorius był nadwornym czarodziejem.
5324:  Specjalistą od iluzji.
5326:  A to oznacza?
5327:  Tak, iluzję.
5328:  Ostatni raz proszę.
5330:  Nie przerywaj, bo pójdziesz do kąta.
5333:  Dziewczynki powiedziały, że jeśli miałabym ochotę wybrać się tam sama, wystarczy otworzyć książkę Kraina Tysiąca Baśni i powiedzieć na głos słowa zaklęcia Expecto Ludum.
5346:  Książka, która jest kluczem do iluzji.
5349:  No proszę.
5351:  Zaczyna się robić interesująco.
5356:  Ładne, ładne, expecto ludum, podoba mi się, podoba mi się.
5360:  Tomex ma ciekawy headcanon, że magowie chcieli wymordować dzieci Czarnego Słońca, bo były odporne na magię, stąd bajeczkę o złej naturze i wynaturzeniach.
5367:  To jest fajna teoria, podoba mi się.
5372:  Sianę badali dziś czarodzieje, przysłani przez Kapitułę.
5378:  Nie wiem, do jakich wniosków doszli, ale jego książęca Mość jest wyraźnie zmartwiony.
5384:  Pewnie to wtedy zdiagnozowano u niej syndrom czarnego słońca.
5389:  Albo przypięto jej łatkę, czytam dalej.
5393:  Spytałam księcia, co teraz czeka księżniczkę.
5396:  Nie odpowiedział.
5399:  Księżniczka, czyli guślarz wróci, będzie opowiadał o swojej kłusce księżniczce.
5407:  Który raz jest wiedźmi odgrywany?
5408:  Szósty, jak obliczyliśmy na czatach.
5413:  Uczyłam dziś dziewczynki języka Nilfgaardzkiego.
5416:  Sjana bardzo się przykładała, mimo że z trudem zapamiętuje nowe słówka.
5421:  Księżniczka Anarjetta wykazuje większy talent... Dlaczego te wałki do ciasta są opokrwawione?
5428:  Kiedy myślała, że jej nie słyszę, powiedziała pod moim adresem Blede Hel.
5435:  Śmiały się z Sjaną w niebogłosy.
5437:  Hm, Blede to cholerny pieprzony, a Hel...
5443:  w dźwięcznym języku naszych południowych sąsiadów.
5447:  Słowo to określa miejsce, gdzie plecy tracą swoją szlachetną nazwę.
5454:  Regis!
5456:  To był typowy Sapkowski.
5458:  Ten dialog to był typowy Sapkowski.
5462:  Wspaniałe.
5464:  Jak mi się podoba muzyka Daniela Elfmana, tego Edwarda Nożytorankiego, lubię, lubię.
5470:  Starczy.
5473:  Wiem, że to brzmi nieprawdopodobnie, ale... Może Anna Henlietta uwięziła Sianę w tej iluzji?
5481:  Może.
5483:  Tam byłaby bezpieczna i odizolowana.
5487:  Przekonajmy się.
5493:  No i gdzie ta książka?
5499:  Ale mi się podoba ten.
5503:  Muszę sobie kupić pozytywkę, w której będzie jamnik krążył za swoim ogonem.
5511:  W każdym razie tylko coś takiego znaleźć.
5514:  Czyli idziemy do Narnii, dobrze.
5531:  Zamknij się.
5531:  Aha, kluczyk schowany za ramą.
5559:  Aaaah, chytre, chytre.
5564:  Zlecenie Złotej Gęsi, darmowe punkty zdolności, a to dobra wiadomość akurat, ponieważ punkty zdolności nam się bardzo przydadzą, a nie mamy w zasadzie już możliwości, niestety, zebrać nowych z uwagi na maksymalny poziom.
5582:  Introsprial Pacific, a tak, kojarzę, dobre było.
5586:  Jeszcze bardzo lubię muzykę do, jeżeli już o intrach mówimy, do drugiego Crysisa.
5597:  A. To chyba to.
5602:  Zobaczmy.
5604:  Ciekawe, jaką melodię wygrywałaby negatywka.
5606:  Może black metal.
5608:  Uwielbiam.
5609:  Negatywka.
5620:  Od kiedy to jest przechodzone?
5621:  Dwadzieścia cztery części streamów razy sześć, siedem godzin mniej więcej.
5625:  Czasem dziesięć.
5628:  Ekspektoludum powinieneś powiedzieć!
5631:  Wingardium Leviosa, nie Leviosa!
5649:  Tak, są grzybki.
5657:  Wciągająca lektura, prawda?
5668:  Pamiętam, jak tu ginąłem.
5671:  Zobaczmy, dokąd prowadzi ta droga.
5677:  Wspaniale, więcej do eksploracji.
5680:  Nie mam sobie sejwa chyba z tej krainy, tak mi się wydaje.
5683:  Szukaj ogników, tu są wszędzie ogniki.
5689:  Czy tu jest mapa?
5701:  Oczywiście nie ma mapy, no po co mapa, Krzysztof, no po co?
5708:  Masz problem z orientacją?
5709:  Ha-ha!
5711:  Ha-ha!
5714:  Nie znoszę tego, by... Accessibility w grach wideo jest ważne.
5727:  Po cholerę mię złota zbroja, moi kochani.
5731:  Skoro mamy najlepszą zbroję na świecie.
5733:  Chyba, że do ozdoby chorwobianko.
5738:  Nie, ja nie mam... U mnie nie jest tak, że otwarcie mapy niszczy imersję.
5742:  Absolutnie nie rozumiem tego argumentu.
5743:  Wręcz przeciwnie, miałem strzaskaną imersję, jak nie mam mapy.
5748:  Bo się gubię i denerwuję wtedy.
5754:  Że na razie wiemy, że należy podążać drogą brukowaną żółtą cegłą, która nie jest ani żółta, ani nie jest cegłą.
5765:  Ale jest piękna muzyka za to.
5769:  Masz cholerną błyszczącą ścieżkę, bo czy to wam... Nie przesadzaj.
5788:  Co to jest?
5796:  Wioska Skrzatów.
5806:  Maria Konopnicka byłaby zachwycona.
5816:  Nie udało się.
5824:  Nie będzie!
5825:  Nie będzie podróży!
5827:  Nie będzie oddawania pierścienia!
5830:  Nie będzie!
5832:  Nie będzie krzyżowania planów Sarumanowi!
5834:  Będzie industrializacja w Shire!
5837:  Otworzymy kopalnie!
5838:  Będzie górnictwo i przemysł!
5841:  Będzie wreszcie postęp, a nie to tkwienie w średniowieczu i uprawianie sobie pulek!
5853:  Mam... Mam powidoki z władz pierścieni.
5856:  Zbrodnie wojenne.
5859:  Zbrodnie.
5860:  Tak, konwencja genewska robi brrr.
5866:  Złota ścieżka to nawiązanie do krainy Czarnoksięgowskiej Neos?
5870:  Możliwe?
5870:  Możliwe?
5872:  Możliwe?
5877:  No i co?
5878:  Podążaj złotą ścieżką, tak?
5879:  Podążam złotą ścieżką.
5881:  Problem polega na tym, że w złą stronę.
5883:  Co to jest?
5885:  Dziewczynki, witajcie w krainie tysiąca baśni.
5888:  Bawcie się grzecznie.
5889:  Udanej zabawy, wujek Artorius.
5891:  Uwaga, zaklęcie ważne do czerwiec 1252.
5895:  Uwielbiam to, nie?
5897:  Znaczy, człowiek sobie uzupełnia dokument i wszystko jest w mianowniku, tak?
5903:  Że dokument podpisano w 16 czerwiec.
5906:  Między Krzysztof Maj.
5908:  Super.
5913:  Mhm.
5914:  Zapowiada się ciekawie.
5915:  Chaty się zaniepokoiły moim wybuchem, ale... ale hobbity są irytujące.
5919:  Musicie przyznać, że hobbity są irytujące.
5922:  Jak... jak... w ogóle co to jest, że wielki mak Saruman, zły Seroman, jak ja mogę nie być po stronie Seromana, przegrywa z jakimiś beznadziejnymi hobbitami?
5936:  Krzysztof... Krzysztof, podążaj za złotą ścieżką.
5939:  Nie musi... Immersja... Nie musi być mapy.
5945:  Skrzaty, hobbity, jedna mać!
5951:  Eee... Krzysztof, ale wiesz, będziesz mieć taką, taką, taką... O, tak się zanurzysz w tym świecie, jak się będziesz w nim gubić.
5962:  Dobrze, pójdziemy za kropeczkami.
5964:  Co to jest?
5966:  A!
5967:  To jest granica zaklęcia, okej.
5972:  Tak nawiasem mówiąc, idziemy teraz zupełnie poza tą brukowaną cegłą.
5981:  Oczywiście, że się Krzysztof zgubił.
5983:  Naturalnie, że tak.
5986:  Przypominam, że od dawna nie podążamy żółtą cegłą.
5995:  Warto kupić przed maturą Warhammera?
5997:  A co ma jedno do drugiego?
5998:  Musisz odpoczywać przed maturą, więc tym bardziej.
6000:  Frodo miał ładne oczka, mówi Żabcia.
6003:  Okej.
6006:  Ale nie miał anielskiego głosika, ponieważ... głosiku, ponieważ to właśnie Elijah Wood robił wszystkim na zgóle.
6016:  Widzę, że górnicza dolina mocno zmieniła się przez lata, prawda?
6021:  Mam... mam przeczucie,
6023:  że niech będzie podpalony, witamy!
6026:  Witamy.
6027:  Mam poczucie, że też będziemy coś podpalać teraz.
6046:  To jest alegoria kultury polskiej!
6050:  Zawsze chciałem ją spotkać!
6052:  Zbłąkany podróżnik?
6054:  Nie powinno cię tu być, kocheniutki.
6059:  Stary jesteś, blady, chudy, ale nic się nie bój.
6065:  Dodam trochę przytna i zrobię z ciebie smakowity kozek.
6071:  Spalamy!
6075:  Niech no tylko cię złapie!
6078:  O, przypomina mi się walka.
6081:  Z Granny Rags w Dishonored.
6094:  Zła wiedźma.
6096:  Na wypadek, gdybyśmy pomylili ją z dobrą wiedźmą.
6103:  Archespory?
6105:  Śmieszna sprawa.
6111:  Zaleta archesporów?
6112:  Szybko płoną.
6118:  Yyy... Czemu?
6118:  Czemu wiedźma?
6119:  Oj, oj, oj, oj, oj, oj, oj, oj!
6119:  Płoniemy!
6119:  He, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he, he,
6139:  Co to za atakowanie miotłą?
6148:  Troll Ganochalczuk.
6150:  Tak właśnie.
6151:  Niech ryczy z bólu ranny łoś.
6156:  Zwierz z drów przebiega, przebiega, przebiega, przebiega, przebiega, przebiega.
6160:  Słuchaj, a skąd wzięłaś broń?
6163:  Księciu z bajki nie był już potrzebny.
6165:  O, jest.
6179:  Dziękuję.
6179:  Gdyby nie wyłupiekłoby mnie.
6181:  Syjana?
6182:  To ty?
6182:  Kapela?
6183:  Przyszłaś się pobawić?
6186:  Nie, chcę tylko twoich fasol.
6193:  To zabrzmiało bardzo dwuznacznie.
6196:  To zabrzmiało bardzo dwuznacznie.
6200:  Jakie znowu fasolki?
6202:  Chcę wiedzieć, co tu się dzieje.
6203:  Nie przerywaj, jeśli łaskam.
6207:  No, Jasiu?
6209:  Co się z nimi stało?
6209:  Syjana, ja... Wybacz, ale... Ale ja ich nie mam.
6216:  Oj, zła śmierć.
6217:  To się robi coraz bardziej niepokojące.
6219:  Może się jednak pobawimy jak kiedyś, tak?
6223:  Na przykład bliska koło drogi.
6226:  Nie ma rączki, nie ma nogi.
6233:  Ale ja mówię prawdę.
6234:  Przysięgam.
6235:  Naprawdę przysięgam.
6237:  A Narietta kazała jej pochować w różnych miejscach, żebyś nie mogła stąd wyjść.
6242:  W jakich miejscach?
6244:  Co tu się dzieje?
6245:  Nie mam pojęcia, ale już wiem.
6248:  Józio, ten od wilków.
6249:  On będzie wiedział.
6250:  On zawsze wtyka nos w niesłej sprawy.
6253:  Oby tak było, Jasiu.
6255:  Bo jak nie, to cię znajdę i jeszcze sobie porozmawiamy, rozumiesz?
6261:  A teraz zmykaj.
6263:  Fasolki wszystkich smaków Bertiego Botta.
6266:  Tak, to niechybnie te.
6267:  A ty, co tu właściwie robisz?
6279:  Nie wiem, czy to ma jakieś konsekwencje, ale ja muszę.
6282:  Poszukuję utraconego dzieciństwa.
6284:  Wiesz, zabrali mnie do Kermory, jak byłem małym chłopcem, a tam już nie było gier i zabaw.
6289:  No jak myślisz, po co tu mogłem przyjść?
6295:  O, piękne.
6296:  Chodzi o Detlafa.
6298:  Próbuje zmusić Annelietę, żeby cię wypuściła.
6302:  Poszczył potwory na Bokler.
6305:  Cały on.
6306:  No, ale nie fatygowałeś się tu, żeby zdać mi relacje z najnowszych wydarzeń, prawda?
6311:  Więc przejdź do rzeczy.
6313:  Czy to nie oczywiste?
6315:  Proponuję sojusz.
6317:  Obojgu nam zależy, żebyś się stąd wydostała.
6320:  Tobie, bo chcesz wrócić na wolność.
6323:  Mnie, bo kiedy spotkasz się z Detlafem, skończy się rzeź w mieście.
6328:  Najpierw mnie demaskujesz.
6330:  Ląduję przez ciebie w więzieniu.
6332:  A teraz przychodzisz po prośbie?
6335:  Proszę, jakie życie płata Fidle?
6339:  Normalnie powiedziałabym ci, żebyś się pieprzył, ale z tego, co mówisz, giną przypadkowi ludzie.
6345:  To nie była część planu.
6347:  Death Love miał zabić tylko tych, którzy zawinili.
6350:  Nikogo więcej.
6355:  Niech będzie, Wiedźminie.
6357:  Przyjmuję twoją propozycję.
6358:  Sztama.
6364:  Decydowanie najlepsza część tego questu.
6368:  Jakub, zaraz wam wszystkim zetrze uśmiechy z twarzy, bo napisał, to takie ładne zupełnie, jak my przyszliśmy tu szukać utraconego dzieciństwa, który zabrał nam system edukacji.
6378:  A jeszcze dorzucę studia.
6379:  Ostatnio obliczyłem, to się znajdzie w odcinku pojutrze, że z moich 32 lat życia, 20 lat spędziłem w różnych instytucjach szkolnych.
6395:  F. F czaty, F. Wygnano cię z powodu klątwy czarnego słońca, prawda?
6403:  Mhm.
6404:  Okrutne księżniczki.
6406:  Mutantki.
6407:  Musiałeś o nas słyszeć.
6409:  Ba.
6410:  Jedną z was nawet spotkałem.
6412:  Renfri Skraden.
6415:  I co?
6416:  Rzeczywiście była potworem?
6418:  Na pewno była okrutna.
6420:  Ale czy z powodu rzekomej klątwy, czy przez to, co przeżyła?
6425:  Sam zadaję sobie to pytanie.
6427:  Zabiłeś ją, prawda?
6429:  Nie miałem innego wyjścia.
6431:  Zabawne.
6433:  To samo powiedziała matka, kiedy kazała wygnać mnie z domu.
6439:  21 lat będzie z przedszkolem, ale zerówką minąłem, bo moi cudowni rodzice załatwili mi zwolnienia od lekarzy na co tydzień nowe.
6449:  Już wtedy nie chciałem.
6452:  Powiedz mi coś więcej o tym miejscu.
6455:  Dobry, Julia, dobry.
6455:  To iluzja, tak?
6456:  Mhm.
6456:  Stworzona przez Arturiusa Vigo.
6461:  Odgrywałyśmy tu za nariettą scenki z ulubionych bajek.
6466:  Ta wiedźma
6467:  Nie sprawiała wrażenia, jakby chciała się bawić.
6470:  Tak, zerówka była obowiązkowa za moich czasów.
6475:  Anna Henrietta wybrała niebezpieczne miejsce, żeby cię uwięzić.
6482:  Pozory mylą.
6483:  Bohaterowie bajek nie zaatakują mnie, o ile ich do tego nie sprowokuję.
6488:  Ale ty, jesteś tu obcy, więc lepiej miej się na baczności.
6498:  Skoro już o tym wspomniałaś, czym zawinili ci rycerze, których zabił Dedlaf?
6503:  Powiedział Geralt na ciężkim detoksie po dekoktowym.
6509:  Nie lubię do tego wracać, ale niech będzie.
6513:  W sumie powinieneś wiedzieć.
6517:  Kiedy rodzice się mnie wyrzekli, to tym rycerzom powierzono misję wywiezienia mnie poza granice księstwa.
6524:  Wykonali ją bez słowa sprzeciwu.
6528:  Wiesz, takie dostali rozkazy.
6531:  Mhm, ale Crespi nie dostał rozkazu, żeby pobić mnie na hajem do nieprzytomności przy pierwszej próbie ucieczki.
6538:  A Dillak nie miał instrukcji, żeby mnie głodzić i lżyć.
6543:  Jednego się wtedy nauczyłam.
6545:  Rycerze nie zachowują się po rycersku, kiedy nikt nie patrzy.
6549:  Dlatego biało rycerzowanie jest złe też.
6552:  Witamy Krzysztofa na czatach, witamy.
6554:  Wewe Darius pisze, mały Krzysztof nie chce do przedszkola.
6556:  No chodź Krzysztof, będzie fajnie, tylko 21 lat.
6560:  Proszę, strasznie zabrzmiało.
6564:  To wiele tłumaczy.
6567:  Zdziwiony, prawda?
6568:  A jak znam życie, już wcześniej mnie osądziłeś.
6571:  Zanim nawet usłyszałeś moją wersję.
6574:  Wszyscy tak robią.
6577:  Bardzo ważna rzecz.
6579:  To jest zawsze coś, co odpowiadałem.
6581:  Jak ktoś mówił, wszyscy coś robią, to ja zawsze mówiłem, ja nie jestem wszyscy.
6585:  I to jest ten moment, kiedy mówię to ponownie.
6587:  To wytłumaczysz mi w końcu, o co chodzi z tymi fasolkami?
6591:  Mhm, pewnie.
6594:  Tylko uzbruj się w cierpliwość.
6597:  Z tej krainy są dwa wejścia.
6600:  Moja ukochana siostrzyczka jedną z nich zablokowała.
6603:  A od drugiego, który jest tam, w chmurach, postanowiła mnie odciąć, ukrywając fasolki.
6610:  Nadal nie rozumiem, jak...
6613:  Powoli.
6613:  Ten chłopiec to był Jaś od Jasia i magicznej fasoli.
6618:  Kojarzysz?
6619:  Wspiął się po gigantycznej łodydze do skrytego w obłokach zamku olbrzyma.
6625:  Aha.
6625:  I my zrobimy to samo, jak tylko ustalimy, gdzie Anarietta pochowała te pieprzone fasolki.
6630:  W sumie są trzy.
6632:  Czerwona, niebieska i żyta.
6633:  Aha.
6635:  A z jednej to niewyraźnie?
6637:  Nie, bo musi być dokładnie tak, jak w bajce.
6640:  Jasne?
6641:  No, to chodźmy poszukać Józia.
6643:  Może faktycznie będzie umiał nam pomóc.
6645:  Ty przodem.
6649:  Oczywiście, że nie pamiętam rozmowy z dziewczynką z zapałkami, z niczym nie pamiętam.
6654:  Piszecie o... Józio zwykle kręcił się na polanie u podnóża góry.
6657:  To kawałek stąd, na prawo od domku wiedźmy.
6660:  Przecież o kombatanckich wspomnieniach z przedszkola mnie to przypomina sytuację, gdy nie chciałem zjeść fasolki po brytońsku, więc bardzo mądra przedszkolanka stwierdziła, że skoro nie chciałem jej zjeść, to należało mi ją wmusić do gardła.
