Ostatnie życzenie — WITCHER 3 Livestream #14
🔗 https://www.youtube.com/watch?v=noK_qMwf7TI

2:  Sobota.
5167:  Ewidentnie jest to Baczyński.
5172:  Nieśmieszne.
5174:  Wracamy tutaj.
5179:  A, snajper powstrzelił Baczyńskiego podczas Powstania Warszawskiego, siedział w oknie i w szpital pogłębił.
5183:  Właśnie, coś tak kojarzyłem.
5187:  Nie było czas powstania.
5191:  Witamy Arcanum z powrotem!
5194:  Witamy, witamy.
5194:  Czy interesuje się premierą nowej gry From Software and Elden Ring?
5199:  Zainteresuje się na pewno bardziej jak wreszcie zagram poprzednie gry From Software.
5206:  Ooo... Słyszę mój ukochany ambient.
5210:  Muszę... Muszę obczaić co to jest za utwór.
5216:  Dlaczego wszyscy nas obrażają?
5220:  Mistrzu Geralcie, strażnik zobaczył was z wieży i posłano mnie, żebym otworzył wam bramę.
5226:  A czemu była zamknięta?
5228:  To ma być ta słynna skrydijska gościnność?
5230:  Taka tradycja.
5232:  Po uczcie Jarlowie wybiorą króla, więc drzwi muszą pozostać zamknięte, a na zamku mogą przebywać tylko synowie i córy Skeliga.
5251:  Dlaczego mówicie, o nie, włączyłeś quest z królem?
5255:  Jeżeli o nie, to ja na wszelki wypadek zapiszę.
5279:  Lugos to brodacz z Karczmy w Splicie z filmu jak rozpytałem II Wojnę Światową i nie widziałem tego.
5284:  Krzysztof pisze, że dostał na próbnej kardynalny błąd za nazwanie Okulskiego po prostu Stanisławem.
5289:  Skandal.
5290:  Mam nadzieję, że zdołamy zagrać z Krachem w Gwinta.
5311:  Mam takie samo prawo jak ty!
5313:  Powinnaś mnie wspierać, a nie odbierać z przymierzeńców.
5316:  Jeśli jakiś Uncrate założy koronę, to... To ty?
5320:  Tylko dlatego, że ci broda na gębie rośnie?
5323:  Jak tobie wyrośnie, to może wtedy cię jarlowie posłuchają.
5326:  Chcesz oberwać?
5327:  Ostatnio jak cię pobiłam, to zwiewałeś na drzewo!
5330:  Co, już zapomniałeś?
5331:  Tak?
5332:  To może pójdziesz ze mną zmierzyć się z wilkarlami.
5335:  Ciekawe, komu lepiej pójdzie.
5336:  Tobie, czy Hjalmarowi Pogromcy Gigantów?
5340:  Przestań się popisywać!
5349:  Ej, Cerys!
5350:  Ej, Cerys!
5350:  Ej, Cerys!
5351:  Ej, Cerys!
5351:  Ej, Cerys!
5357:  Ej, Cerys!
5358:  Ej, Cerys!
5384:  Nie widzę kracha.
5385:  Nie powiedział żaden makler giełdowy przez ostatnie 40 lat.
5391:  Nie.
5391:  Proszę, nie.
5392:  Nie.
5411:  No, no, no.
5414:  I to jest inauguracja roku akademickiego.
5420:  Tutaj nawet... Popatrzcie.
5425:  Tutaj nawet jest portret olbrzyma lodowego, z którym walczyliśmy.
5430:  Doceniam.
5431:  A może to jest magister niełuki i szkodnictwa wyższego?
5434:  Tak, to jest magister niełuki i szkodnictwa wyższego, tu jest grono rektorskie, a tam jest inauguracja, wszystko już widzę.
5442:  Wszystko już zrozumiałem.
5449:  Witaj, Birna.
5450:  Uczta nie przypadła ci do gustu?
5452:  To nie uczta, tylko jarmark, na którym kupczy się głosami niby owczymi skórami.
5461:  Svanrige nie zamierza walczyć o poparcie.
5464:  Syn Bran nie będzie targować się o koronę, która mu się należy.
5467:  Z tego, co słyszałem, o tym, kto zostanie królem, zadecyduje głosowanie.
5471:  Tak każe tradycja, ale nie każda tradycja jest dobra.
5474:  Piecze nad wyspami powinien sprawować jeden ród.
5480:  Rozumiem, że masz na myśli konkretny ród.
5483:  Oczywiście.
5484:  Bran był najlepszym królem, jakiego Skellige widziało od wieków.
5487:  Svanrigge to krew z jego... Bran the Broken!
5489:  ...a nie mu powinien przypaść tron.
5491:  A potem jego syna.
5491:  Co jest złego w wyborach króla?
5495:  Gibran jest połamaniec.
5497:  Przejdź się, posłuchaj to, zrozumiesz.
5500:  Kandydaci już rozdają ziemię, obiecują przywileje, tytuły, przychylne wyroki.
5505:  To stanowcza jest inauguracja roku akademickiego.
5509:  Król z wyboru nie jest władcą, tylko dłużnikiem.
5513:  Trzeba z tym skończyć.
5514:  Zaczynając od osadzenia na tronie pierworodnego syna Brana.
5517:  Mam nadzieję, że Jarlowie to dostrzegą.
5523:  Opuszczasz Kertroldę?
5524:  Jutro skoro świt.
5526:  Bawcie się dobrze, mistrzu Geralcie.
5530:  O jakich obydwu questach mówicie?
5534:  Można?
5537:  Nawet trzeba.
5539:  No, jest oto Jarl.
5541:  Dobrze.
5543:  No pięknie.
5574:  O czym rozmawiałeś z Birną?
5580:  O polityce.
5582:  Przecież nic innego jej nie interesuje.
5584:  Przekonywała mnie, że ze względu na pamięć o branie powinienem nakazać moim dzieciom wycofać się z wyścigu o koronę.
5594:  Teaser House of the Dragon był oglądany i niczym się dla mnie nie wyróżnia, to znaczy naprawdę nie podnieca mnie to, że zobaczyłem jeszcze raz tron w King's Landing.
5615:  Mogli się bardziej postarać, tak serio.
5619:  Liczyłbym przynajmniej na to, żeby zobaczyć Valyrię.
5622:  Nie jesteś rozdarty między Hjalmarem a Ceres?
5625:  W sensie, czy mam faworyta?
5627:  Nie.
5628:  Różni są jak ogień i woda, ale w obu płynie krefan krejt.
5639:  Mały, mały oftobot perfekcjonisty, ale że mam dzisiaj łaskawy humor, to przeczytam.
5643:  Jak weryfikować postępy uczniów, jeżeli nie ma ocen?
5648:  Feedback.
5650:  Tak się fachowo nazywa to coś, co dostajemy w pracy, kiedy coś zrobimy dobrze lub źle, ale rozumiem oczywiście, że lepiej byłoby, gdyby szef nam dawał 4+.
5659:  I druga rzecz, zgadzam się, że gry nie są gorszym medium literatury czy innych, niemniej jednak czytając książki, to zwiemy wyobraźnię, poznajemy słownictwo, jakie zalety dają gry, a co my teraz robimy?
5669:  My teraz dokładnie robimy to samo, znaczy też czytamy i też wyobrażamy sobie różne rzeczy.
5675:  Szczerze, Beyond Two Souls akurat, bo to sprawdzałem, ma jakieś 9 tysięcy stron, czyli grając w Beyond Two Souls czytamy 9 tysięcy stron scenariusza.
5688:  Moim zdaniem nie ma to absolutnie żadnego związku z rozwijaniem wyobraźni, ba, badania kognitywistów mówią, że wszystkie media oddziaływają tak samo na wyobraźnię, a gry wideo i to są akurat badania empiryczne robione na mapach mózgu aktywują najwięcej obszarów w naszym mózgu, więc jak na razie nie jesteśmy w stanie udowodnić tezy, że to książki bardziej rozwijają wyobraźnię.
5713:  Myślisz, że Rada Jarlów posadzi na tronie kobietę?
5717:  Gdybyś mnie spytał parę miesięcy temu, wpierw bym się zaśmiał, a potem zaprzeczył.
5725:  Ale dziś widzę, i nie tylko ja zresztą, że Cerys ma coś, co na wyspach jest równie rzadkie jak upalne lato.
5733:  Cierpliwość.
5735:  Wszyscy wpierw robią, potem myślą.
5739:  A ona jest inna.
5740:  Zastanowi się, rozważy za i przeciw.
5744:  Ale jak już zacznie działać, nie ma takiej siły, która by ją zatrzymała.
5751:  Aha.
5752:  Jaki procent graczy czytają tekst, wyobrażają sobie świat przedstawiony?
5755:  Każdy, nie jesteś w stanie tego zrobić.
5756:  Dobra.
5759:  Żeby nie było, że Krzysztof nie mówi naukowo.
5765:  Pomówmy o mojej nagrodzie.
5767:  Jeżeli robisz, spojrzymy na to z perspektywy kognitywnej, to słowo nagroda wywołuje u nas obraz w mózgu i wyobrażamy sobie, czym może być ta nagroda.
5775:  Nie jesteśmy w stanie nie wyobrażać sobie czegoś, kiedy poznajemy cokolwiek.
5782:  Nawet w momencie, w którym ja patrzę w tej chwili na Geralta, wyobrażam sobie, jak mógłby wyglądać inaczej.
5786:  Fakt, że założyłem mu okulary, ponieważ tak zdecydowałem w którymś momencie i czatom się podobało,
5791:  Zrobiliśmy to dlatego, że sobie wyobrażamy Geralta inaczej.
5793:  Ja Geraltem roleplayuję jako Magiem Ognia, wyobrażam go sobie więc jako Maga Ognia.
5798:  To, że mamy warstwę wizualną w kodzie, podaną nam w taki sposób, nic nie zmienia.
5803:  Gdyby zmieniało, w XVI, XVII, XVIII i XIX wieku nie ilustrowano by książek.
5811:  I ludzie też patrzyli na te ilustracje w książkach i one stymulowały wyobraźnię, ale nie urągały wyobraźni, ani nie okulawiały nas w jakikolwiek sposób, nie?
5823:  To jest po prostu inny tryb opowiadania historii i więcej warstw, więcej tak zwanych trybów narracyjnych.
5829:  Gra wideo ma więcej trybów narracyjnych niż powieść.
5831:  Powieść jest uboga pod tym względem i właśnie nie oddziałuje na naszą wyobraźnię.
5837:  Dlatego, że ma za mało trybów narracyjnych.
5839:  Gdyby nie to, to na przykład Dan Brown nie decydowałby się, żeby w kodzie Leonarda Da Vinci, nie, to było w Aniołach i Demonach, nie zamieścić nam ilustracji ambigramu.
5848:  Tylko by stwierdził, a nie, zostawię ambigram, tak?
5851:  Nie chce czytelnik sprawdzić, co to jest ambigram.
5853:  A jednak zdecydował się na to, że jest ilustracja przedstawiająca nam ambigram, czyli symbol samopodobny, który ze wszystkich stron wygląda tak samo.
5863:  No, koniec rantu naukowego.
5866:  Tak między nami.
5867:  Hjalmar nie jest zbyt porywczy na króla?
5870:  Zależy, o jakim królu myślisz.
5873:  Jeśli chodzi ci o takiego, co ślep posłów, przesuwa figurki po mapach, rachuje, co mu się bardziej opłaca, to tak, jest zbyt porywczy.
5883:  Ale Skellige chce innego władcy.
5886:  Takiego, co utopi Nilfgaard we krwi, który prędzej skoczy w ogień, niż się podda.
5891:  Cały Sjalmar.
5892:  My na Skellige nie znamy pojęcia pokoju za wszelką cenę.
5906:  Co to rant?
5907:  Rant to jest długa wypowiedź, którą wygłasza się w stanie lekkiego lub większego poddenerwowania.
5912:  Nadia ma bardzo interesującą teorię dotyczącą tego, dlaczego nasz Geralt nosi oksy.
5916:  Mianowicie dlatego, żeby płomienie nas nie raziły.
5919:  Bardzo się z tym zgadzam.
5921:  Obiecałeś mi nagrodę za pomoc twoim dzieciom.
5924:  I dotrzymam słowa.
5926:  Proszę.
5927:  To cacko jest w moim rodzie od pokoleń.
5930:  I za to, żeś pomógł zachować jego ciągłość, daję je tobie.
5938:  Piękna robota.
5940:  Dziękuję.
5944:  Dostaliśmy gorszy miecz od obydwu, które mamy.
5948:  Super.
5948:  O nie!
5975:  A nie, spoko, to nie są wilki.
5977:  Nie ma problemu.
5981:  Nie ma problemu, powiedział Krzysztof, obrywając od niedźwiedzia, zanim zdążył cokolwiek zrobić.
5988:  Zwierzętom!
5999:  I wracając do tego wątku, bo on jest ciekawy, o którym sobie mówiliśmy, to właśnie, można byłoby sobie powiedzieć, że no tak, tak, a teraz to już się kończy, bo nie ma tekstu, więc teraz już jest tylko bezmyślna łupanka.
6010:  No nie, ponieważ gdyby to była książka, to mielibyśmy przedługi opis na jedną stronę tego, w jaki sposób Geralt walczy z niedźwiedziami.
6017:  Jeżeli by to była książka Olgi Tokarczuk, ten opis byłby na 150 stron.
6021:  A jeżeli by była to książka robiona zgodnie z warsztatem takim, jak się na przykład uczy na warsztatach Creative Writing na Yale czy Princeton,
6027:  To rzecz one, opis byłby na kilka zdań, bo byłby naprawdę dobrze napisany i świetnie zredagowany.
6036:  Każde medium ma, kiedyś Jenkins powiedział bardzo fajną rzecz, Henry Jenkins, amerykański medioznawca, że każde medium daje z siebie to, co jest najlepsze.
6045:  Czyli na przykład film jest bardzo dobry do tego, żeby obrazować nam jak wygląda świat, literatura jest dobra do tego, żeby dokonywać przydługich ekspozycji, no a gra wideo jest dobra do tego, żeby robić roleplay i dokonywać interakcji ze światem i wpływać na zmienianie wydarzeń fabularnych.
6080:  Dajcie jakieś szmaty!
6081:  Trzeba mu zatamować kwotok szybko!
6084:  Tato... Tato... Weź mój płaszcz.
6094:  Redzi zawsze umieją zetrzeć uśmiech z twarzy.
6096:  To jest piękne.
6098:  Trzymaj się, synku.
6099:  Wyjdziesz z tego.
6101:  Jak mnie kiedyś rekin... Albjorn?
6105:  Nie żyję.
6113:  Krach!
6114:  Skąd tu się wziął te niedźwiedzie, co?
6115:  Gadaj!
6117:  Uważaj, jak mówisz do mojego ojca!
6119:  Schowaj miecz, szczeniaku, bo Krach też straci syna!
6123:  Obraziłeś mnie, Lugos, a teraz grozisz mojemu synowi!
6126:  Nie puszczę ci tego płazem!
6128:  No to chodź!
6129:  Chodź!
6130:  Zapługę cię jak wściekłego psa!
6133:  Spokój!
6134:  Spokój!
6135:  Dość już krwi rozlano!
6137:  Ktoś tu ściągnął te niedźwiedzie, żeby zamordowały naszych synów i braci.
6141:  Nie zwrócimy im życia.
6144:  Ale możemy i musimy ich pomścić.
6147:  Ten ciężar spoczywa na gospodarzu i jego dzieciach.
6163:  No podziało się.
6167:  Rodzina, atmosfera.
6169:  Jak wiadomo, w każdej rodzinie jest trup w szafie.
6172:  Tutaj jest ich więcej.
6174:  Chociaż nie ma szafy.
6177:  Witamy przeciętnego człowieka na streamie.
6181:  Misji Siąka pisze, że granie pobudza więcej zmysłów, muzyka, wzrok i prioprecepty... prioprocepty... nie, nie jestem w stanie przeczytać tego słowa.
6193:  Przecież gramy, wydaje nam się, że oddziałujemy nie tylko wizualnie, a mamy muzykę, która działa podprogowo.
6197:  Absolutnie tak.
6198:  Zgadzam się.
6202:  Anna WCK, widziałem za pierwszym razem twoje pytanie.
6209:  Nie myślę o śmierci, ja będę mieć 132 lata, a nie 32, to wtedy zacznę.
6220:  Czy widziałem serial RWBY?
6223:  Nie, nie widziałem.
6226:  Porobiło się.
6227:  Zaraza, porobiło się.
6231:  Żebyś wiedział, musimy zbadać ślady, ustalić, co tu się stało, bo inaczej... Nie mamy na to czasu.
6238:  Dobrze wiem, gdzie szukać winnych.
6241:  Czekaj, oszalałeś!
6242:  Chcesz kogoś zasiedł, zanim sprawdzimy, co się naprawdę stało?
6247:  Sprawdzaj sobie.
6248:  Ja w tym czasie zmyję hańbę z naszego klanu.
6251:  Hej, Jarlowie już cię nie słyszą.
6253:  Możesz przestać bawić się w bohatera i pomyśleć przez chwilę?
6256:  Chodzi o nasz honor.
6258:  Z tym nie można czekać.
6261:  Czy ty mnie w ogóle słuchasz?
6263:  Ktoś tu wpuścił, te niedźwiedzie.
6264:  Odpowiedź na to, kto za tym stoi, jest na tej sali.
6269:  Ulubioną w trójmuzycznym Zdziedzinie na 3 chyba cała ścieżka do tu są, ale wiecie, jest tych tu tak dużo.
6275:  Na przykład to, co jest w tej chwili w tle jest przepiękne, absolutnie.
6285:  No i tu jest ten wybór, prawda?
6286:  I dwa questy.
6287:  Pomagamy Cerys.
6291:  Masz rację, Cerys.
6292:  Pomogę ci.
6293:  Dzięki.
6294:  Do zobaczenia.
6295:  Wrócę z głowami zdrajców.
6299:  Ja tu na razie zostanę.
6301:  Ktoś musi to wszystko ogarnąć, wezwać znachorów, wydać ciała krewnym.
6306:  Wilku, dziękuję.
6310:  Czytałem, pisze Tuba Warrior jakiś czas temu autobiografię Nila Patricka Harris'a.
6315:  Nie.
6316:  Interaktywno.
6317:  Co sądzę o tym?
6319:  Zaraz powiem.
6320:  Ludzie się śmiali, jedli, pili.
6322:  Nagle zaczęła się rzeź.
6324:  Krew aż bryzgała na ściany.
6332:  Więc to jest nawiązanie do książek typu Choose Your Own Adventure i książki interaktywne kiedyś bardzo były popularne pod tym względem i dla mnie jak najbardziej, niech będzie takich rzeczy więcej.
6344:  Opowiedz, co dokładnie działo się tuż przed masakrą.
6347:  Młody Lugos założył się, że wypije beczkę piwa duszkiem.
6351:  Wlazł na stół, złapał antał pszennego z tintry i zaczął żłopać.
6357:  Grzyka latała mu jak spławik.
6359:  Nadał się, zczerwieniał, ale pił dalej.
6362:  Ludzie walili kuflami w stoły.
6364:  Wołali Lugos, Lugos.
6367:  I wtedy z drugiej strony sali poszedł taki ryk.
6370:  Bardzo dziwne echo.
6371:  Powróciliśmy się jak na komendę sternika.
6374:  A one już tam były.
6377:  Ci, co siedzieli najbliżej, nie zdążyli nawet mieczy wyciągnąć.
6382:  Rozerwały ich na kawałki w mgnieniu oka.
6385:  Pomścimy ich.
6385:  Obiecuję.
6389:  Ok.
6390:  Lugos?
6392:  Lugos?
6392:  Ten Lugos?
6393:  Lugos?
6393:  Ten... A jego syn!
6417:  Bo już miałem walnąć złośliwą uwagę.
6419:  Och, to dobrze, żeśmy pograli w gwinta.
6422:  Geralt skłonił głową.
6423:  Geralt wie, kiedy nie należy mówić.
6424:  Czasem wystarczy skinąć głową i nic więcej.
6426:  Okej.
6426:  Tam jeszcze coś mamy.
6448:  Wielkie truchło niedźwiedzia.
6450:  Ja to chyba pamiętam.
6456:  To są niedźwiedziołaki.
6477:  Potem się okaże, że spektakularnie nie pamiętałem.
6482:  Coś tu jest pod futrem.
6483:  Tatuaż?
6484:  W kształcie niedźwiedziej łapy.
6488:  Krzysztof widzi Lugosa szalonego, wydzierającego ryja na krach.
6491:  A też Krzysztof Lugos umarł.
6493:  No właśnie się zdziwiłem.
6495:  Myślałem, że znowu czegoś nie pamiętam.
6498:  Stara blizna ze śladami po szwach.
6504:  Wygląda na to, że to był pół człowiek, pół niedźwiedź.
6507:  Coś jak likantrop.
6509:  Ale nie ma pełni, więc przemianę spowodowało co innego.
6513:  Może coś, co zjadł albo wypił.
6516:  Miód.
6518:  Miód pitny o ziemistym zapachu.
6520:  Trzeba sprawdzić rogi i misy.
6523:  Dobry wieczór Piotrze i Alkun.
6525:  Witajcie i witajcie również wszyscy dołączający do nas.
6530:  Jestem już po pierwszych wizytach w dziekanacie, pisze Kinga za to i mam nadzieję, żeby tam nam trafiać jak najrzadziej.
6536:  To brzmi, jakby rzeczywiście poznała dziekanat.
6541:  Z jakiego sklepu mam lampę RBG?
6543:  Wiecie co, ja chyba tak sobie myślę, dam po prostu linka do rzeczy, które używam najczęściej na Discordzie i gdzieś przypnę, bo sam nie pamiętam.
6553:  Gdzieś z Amazonu kupowałem.
6554:  Aha, to ten ziemisty zapach, który czuć było z pyska niedźwiedzia.
6558:  Coś jak grzyby?
6560:  Misa jest pusta.
6562:  Grzybki.
6562:  Ta woń unosi się jeszcze gdzieś indziej.
6565:  Gdzieś na tej sali.
6569:  Wszystkie rogi puste.
6573:  Absolutnie.
6574:  Morał, nie pij miodu, bo zostaniesz niedźwiedziołakiem.
6577:  Tak jest.
6577:  Tak właśnie jest.
6585:  A mógł po prostu użyć igni.
6589:  Musimy znaleźć źródło zapachu.
6593:  Ale zanim znajdziemy źródło zapachu, musimy coś kliknąć.
6599:  Jest.
6600:  Miód zaprawiony jakimiś grzybami i czymś jeszcze.
6605:  Ludzką krwią?
6608:  Cerys!
6611:  Jeden ze strażników widział, co się stało.
6613:  To nie były niedźwiedzie, tylko jacyś... Ludzie, którzy się w nie zamienili.
6618:  Mhm.
6618:  Berserkowie.
6621:  Okej.
6623:  Berserkowie?
6624:  Tak Skaldowie nazywają wojowników, którzy potrafią podczas walki zmieniać się w zwierzęta.
6628:  Zawsze myślałam, że to tylko legenda.
6630:  Ale zgadzałoby się, prawda?
6634:  Gdyby nie to, że byliśmy na uczcie, a nie na wojnie.
6640:  Chyba Skyligę mi się bardziej podoba jako wizja takiego innego świata w klimatach nordyckich.
6646:  Tak mi się wydaje, że lepiej zostało tutaj ujęta ta strona wielokulturowa, bo Skyrim to jest taki typowy przykład settingu, który jest generycznie nordycki.
6659:  Tam są wszystkie rzeczy, o których byśmy się spodziewali, ale nie czuję kultury nordyckiej.
6664:  Takie mam wrażenie.
6666:  Co nie zmienia faktu, że trochę to jest nieuczciwe, bo Skyrim jednak dzieli od Wiedźmina przepaść i narracyjna i technologiczna, ale bardziej narracyjna.
6674:  Mam podejrzenie, co mogło wywołać tę przemianę.
6677:  Miód, który pili.
6678:  Powąchaj.
6682:  Miód zaprawiono krwią i czymś jeszcze.
6685:  To chyba jakieś grzyby, ale ich nie rozpoznaję.
6688:  W takim razie Hjort może nam pomóc.
6690:  Zna się na roślinach lepiej niż niejeden druid.
6692:  Spróbować nie zaszkodziń.
6695:  Co piją jamniki?
6696:  Wyłącznie wodę.
6697:  Psom generalnie nie powinno się poddawać innych rzeczy do picia poza wodą.
6706:  Kelnerka nie chce z nami rozmawiać.
6727:  Piękne nawiązanie do Krwawych Godów z Gry o Tron.
6733:  Bardzo subtelna rzecz.
6738:  O, guślarz!
6746:  Mogę przeszkodzić w modłach?
6750:  Już to zrobiłeś.
6751:  O co chodzi?
6752:  Do jednej z beczek miodu dodano krwi i czegoś jeszcze.
6755:  Jakiś ziół albo grzybów.
6757:  Cerys mówiła... Daj mi ten róg.
6768:  Znam ten zapach.
6770:  Mardren.
6776:  Cerys nie kłamała.
6777:  Znasz się na ziołach.
6779:  Tak.
6779:  Zwłaszcza tych, którzy mimo wszystko znowu bez uspokoić, wywołać sen bez snów.
6786:  Udalryk cierpiał długie lata.
6788:  Próbowałem mu pomóc na różne sposoby.
6791:  Wpierw modlitwą, a potem sokiem z maku.
6794:  Ale teraz chyba już z tym skończył.
6795:  Eee, to nie takie proste.
6798:  Ale odzwyczaja się.
6800:  W ten oto sposób odpowiedziałem między wierszami na pytanie od Palitki.
6804:  Mam nadzieję, że czaty doceniają.
6806:  Czy te grzyby mają coś wspólnego z berserkami?
6809:  Tak, ale tylko w opowieściach, w których miały sobie jakieś dzieci w zimowe noce.
6816:  Wojownicy, którzy jedli Mardrem, mieli w przypływie bitewnego szału zmieniać się w zwierzęta.
6821:  Ale jak mówię, to... Jedynie legendy wiem, ale łatwiej mi w nie wierzyć niż w to, że niedźwiedzie pojawiły się znikąd.
6832:  Mardrem?
6833:  Nigdy nie spotkałem się z tą nazwą.
6834:  Na kontynencie mówi się na nie inaczej.
6837:  Łysiczki, zdaje się.
6839:  Kojarzę.
6840:  Chłopi jedzą je, żeby uśmierzyć ból.
6842:  Udalryk też ich próbował.
6844:  Ale tylko parę razy, bo w dużych ilościach te grzyby wywołują wizje, koszmary.
6847:  No tak.
6848:  Ostatnie trzeba udalić, bo mi było ciężkie.
6850:  No tak.
6851:  Ostatnie trzeba udalić, bo mi było ciężkie.
6852:  No tak.
6852:  Ostatnie trzeba udalić, bo mi było ciężkie.
6858:  No tak.
6858:  Ostatnie trzeba udalić, bo mi było ciężkie.
6860:  No tak.
6860:  Ostatnie trzeba udalić, bo mi było ciężkie.
6862:  No tak.
6862:  Ostatnie trzeba udalić, bo mi było ciężkie.
6863:  No tak.
6864:  Ostatnie trzeba udalić, bo mi było ciężkie.
6865:  No tak.
6865:  Ostatnie trzeba udalić, bo mi było ciężkie.
6867:  No tak.
6867:  Ostatnie trzeba udalić, bo mi było ciężkie.
6870:  No tak.
6870:  Ostatnie trzeba udalić, bo mi było ciężkie.
6872:  No tak.
6872:  Ostatnie trzeba udalić, bo mi
6874:  Masz rację.
6875:  Pomagałam w przygotowaniach do uczty, zauważyłabym.
6879:  Może to się stało zanim wytoczono trunki na górę?
6882:  Jeszcze w piwnicach.
6883:  Chodź, może znajdziemy tam jakieś ślady.
6886:  Dobrze wam tak krakusy, Misze Goldbaum.
6892:  Tak, to jest ewidentnie przyszła kryska na matyska.
6896:  Nigdy nie wiedziałem, co oznacza to powiedzenie.
6901:  Idę tutaj, ponieważ mam wrażenie, że tutaj nigdy nie byłem.
6905:  To wrażenie było błędne.
6910:  Czuję się trochę jak w Czarnym Zamku przez Castle Black.
6915:  Przez zarówno otoczenie, jak i świszczący, dujący w górach wiatr.
6920:  Jeśli szybko nie znajdziemy winnego, wojownicy wezmą sprawy w swoje ręce.
6924:  W zamku już huczy.
6925:  Myślisz, że otwarcie zaatakują Kracha?
6928:  Albo siebie nawzajem.
6929:  Według najlepszych tradycji Skellige.
6931:  Dawno nie było porządnej wojny domowej.
6935:  Mam wrażenie, że Skellige i Polskę bardzo dużo łączy.
6941:  Mamy nawet system wolnej elekcji, który nie do końca działa.
6945:  Znaczy, już nie mamy.
6946:  Mamy jeszcze gorszy.
6952:  Czułam, że zanosi się na kłopoty.
6954:  Było za spokojnie.
6956:  Zabawne.
6956:  To samo powiedział Arnwald.
6958:  Że na dobrej uczcie i krew, i miód powinny się lać strumieniami.
6963:  Życzenie się spełniło.
6966:  Mam wrażenie, że bardzo, bardzo daleko gdzieś idziemy i że na 1000% nie będę wiedział, jak wrócić z powrotem.
6974:  Wrócić z powrotem to jest pleonazm.
6977:  Wrócić.
6982:  Chcę tu wejść, chcę tu wejść, chcę tu wejść.
6984:  Czemu ja nie mogłem wejść?
6985:  Uff, ale cuchnie.
6986:  To wódka?
6996:  Ma hakamski spirytus.
6998:  Komuś się nieźle rozlało.
7000:  Dobrze, że ojciec ma teraz inne zmartwienia.
7004:  Co sądzę o papieżofilii w Krakowie?
7006:  Pytanie od Awake.
7008:  Ha, powiem tak.
7010:  Musieliśmy się bardzo długo przyzwyczaić do tego, że na każdym rogu i skrzyżowaniu sadzają jakiś pomnik papieski, ale w którymś momencie, jak to mawiają Anglosasi, jumpnęli szarka, wstawiając pomnik papieża w Parku Strzeleckim, który wyglądał jakby się zasadzał do stolca.
7027:  Nie wierzycie mi, to zgooglajcie pomnik Jana Pawła II w Parku Strzeleckim, zobaczycie.
7033:  Jestem tuż za tobą.
7034:  Co za ulga.
7034:  Ten miód jest czysty.
7035:  Tu też nic.
7058:  Mhm.
7059:  Ewidentnie.
7060:  Ciekawe jestem, czy to jest faktycznie skrypt, czy przewiduje na poziomie level designu, kto podejdzie gdzie w pierwszej kolejności.
7069:  Bo gracze częściej statystycznie skręcają w lewo.
7071:  Geralt, biegnij!
7089:  Aha.
7090:  Przepraszam, przepraszam was bardzo, ale no... Rozumiecie, to była siła wyższa.
7102:  Muzyka nas opuściła.
7105:  O, zobaczcie, teraz jest tak, jakbyśmy oglądali polski film.
7112:  Przepraszam, już nie, jest muzyka.
7116:  I to jeszcze moja ulubiona.
7125:  Magia.
7126:  Czy znam jakieś piosenki w ksenojęzykach?
7128:  Uczyłem się pieśni Dovacina w całości.
7132:  Dovacin, Dovacin, Danosilus, Varin, Alfuk, Norok, Falgran.
7139:  Dalej nie pamiętam, ale uczyłem się tego na przysięgę doktorską, bo na UJ oczywiście kiedyś opowiem wam o tym na live.
7146:  Kazano nam składać przysięgę po łacinie, stwierdziłem, że będę mówić w innym języku.
7161:  Niech no tylko dorwę tego piromana.
7164:  Pomyślmy.
7165:  Musiał wejść przez główne wejście, tak jak my.
7168:  Może zostawił tam jakieś ślady?
7170:  Może.
7171:  Kiedy trzasnąły drzwi i buchnął ogień.
7174:  Też słyszałaś trzask pękającej butelki?
7177:  Nie, ale ja nie posiadam wiedźmińskich zmysłów.
7180:  Pewnie słyszysz, jak mi włosy rosną.
7183:  Staram się nie podsłuchiwać.
7185:  Tak czy inaczej warto to sprawdzić.
7187:  Chodź.
7189:  Panie Marudo, nie, nikt nie zauważył tego, że mówiłem nagle w innym języku, ponieważ na UJ-cie wszyscy są zajęci tym, żeby głaskać swoje ego, więc nie zauważają, co się dzieje wokół.
7208:  Naprawdę jestem kompletnie pogubiony.
7214:  Czy to jest... Tu coś widzę.
7216:  No no, ktoś tu wszedł w rozlany miód.
7222:  O, niech zgadnę.
7226:  Lutu nie zbieram, kiedy nie muszę, ponieważ przekleństwem tych streamów jest przeciążony ekwipunek.
7233:  Rob się urwał.
7235:  Trzeba poszukać innych śladów w pobliżu.
7237:  Musiał poczuć, że ubranie się rozdarło, ale za bardzo się śpieszył.
7241:  Co to?
7242:  Strzęp jakiejś tkaniny.
7244:  Nie, to niemożliwe.
7246:  O co chodzi?
7247:  Arnwald.
7248:  Tylko on nosi taką tunikę.
7251:  Jesteś pewna?
7252:  Widziałam go w głównej sali ze służącymi.
7253:  Chodźmy!
7253:  Wskakuj na konia.
7254:  Dogonimy go.
7278:  Ja myślę palitko, że to jest specyfika UJ-tu, jakoś nie miałem do czynienia z takimi ludźmi później.
7285:  W takim stężeniu oczywiście.
7289:  O nie!
7291:  O nie!
7292:  O nie!
