Mass Effect 2 LEGENDARY EDITION Livestream #6
🔗 https://www.youtube.com/watch?v=6JDIAX6eEPk

2:  Mass Effect 2.
3816:  Złożoność Dark Souls, Resident, Mass Effect czy Assassin's Creed jest wielka, absolutnie.
3820:  I zresztą sojusz od tego eksperci, którzy kontrolują na przykład rozwój tego typu franchise i swego drogu są dość suto opłacani.
3827:  O nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie,
3838:  Gnuśna Miranda, czemu ja ci muszę rozkazywać w takich chwilach?
3843:  Aaa!
3845:  Ratunku.
3849:  Już widzę co to było, to był ten rakietowy dron.
3853:  Który w dalszym ciągu ma... Dobra.
3861:  Uff.
3866:  Thank you, Tali.
3871:  Korzystanie z osłon jest dla słabych, nie jest dla potężnych magów.
3875:  A tak serio, Yennefer się przytula do osłon w niewłaściwych momentach.
3880:  Czy tutaj jest coś interesującego, czy nie bardzo?
3883:  Nie bardzo.
3883:  O, no, mówiłem!
3891:  Dlaczego nie lubię barierek?
3892:  Nie wiem, ja mam zawsze problem z tym systemem, ponieważ jestem przyzwyczajony już do tego, jak w grach on był robiony automatycznie i nie trzeba było tego ogarniać manualnie.
3905:  Come on!
3910:  Dobrze.
3912:  Zróbmy to.
3914:  Hahaha!
3916:  Fruń, fruń, fruń!
3920:  Dobrze.
3922:  Target down.
3922:  To jest to, co chcemy słyszeć.
3933:  Dobrze.
3937:  Nie najbardziej bolało w cyberpunku kiepskie chowanie się za obiektami.
3941:  Oho, rozswojął.
3946:  Jak na razie tylko trzeci cyber... raz cyberpunk został opluty, nie martwcie się.
3951:  Jeszcze dużo na przed nami.
3954:  Eee... Nawet jeszcze nie zdołałem skomentować 32-gigowego patcha, który nie zmienił całkowicie niczego.
3960:  Dobra, dobra, dobra, bo znowu gra chce mnie gnać w określonym kierunku, a tutaj widzę, że jest... O, proszę bardzo.
3967:  SpePaths.
3968:  Bardzo ważna rzecz.
3969:  1000 kredytów.
3970:  A tutaj kredyty to jest, kochani, na wagę złota, absolutnie.
3976:  Postaram się częściej opluwać cyberpunka.
3979:  Chociaż... wypadałoby zajrzeć do tej gry w którymś momencie i sprawdzić, czy się faktycznie nam coś zmieniło.
3986:  We'll take cover by the doors.
3991:  Shepherd, you take point.
4003:  No pewnie, pewnie, dajemy, dajemy cały czas szansę na... Aha, bo tutaj musimy jeszcze Mirandę dać, okej, już czaję.
4023:  O nie!
4027:  Zostaw Quarianina!
4038:  Największy problem z Cyberpunkiem polega na tym, że... Buggy to jest czubek góry lodowej, ta gra po prostu jest źle zaprojektowana.
4047:  Się dzisiaj skończyłem pisać abstrakt artykułu, który będzie na ten temat, o pseudo-otwartym świecie.
4053:  Zobaczymy, czy przyjmą.
4056:  Pięć!
4056:  Proszę ba... Jojojojojoj.
4070:  Proszę bardzo.
4071:  Proszę niszczyć!
4078:  Ha ha ha!
4079:  Kto się unosi?
4080:  Kto jest prymitywnym wielkim mechem, który się unosi?
4093:  Oł.
4094:  God.
4099:  Ratunku, ratunku, ratunku, ratunku!
4101:  Uciekajmy.
4106:  Czemu mech jest niewrażliwy na magię?!
4109:  Gin, gin!
4111:  Aaa!
4113:  Wiedziałem.
4114:  Wiedziałem.
4116:  Tam jest taki otwarty świat, że jak podchodzę do sklepu z napisem Open, a tam są drzwi zamknięte.
4120:  Właśnie taki, tak!
4123:  Autosave.
4124:  Całe szczęście, że był autosave.
4126:  Ten chyba poprawił FPS, ale w Night City jest jeszcze mniej ruchu niż było.
4131:  O Boże, jak się cieszę, że są wreszcie.
4144:  Biegniemy.
4148:  Magu!
4151:  Istotą magów jest to, że magowie się muszą chronić na...
4156:  O właśnie, tak... Bardzo dobrze, tak to powinno wyglądać od samego początku.
4166:  Wszystko polega tylko i wyłącznie na tym, że gra zakłada, zobaczcie, że będziemy żołnierzem potężnym, zamiast żeby założyć, że będziemy potężnym magusem.
4177:  A co robi potężny magus?
4178:  Trzyma się na tyłach!
4182:  Zawsze.
4185:  Wrażliwy, wrażliwy pojemnik.
4188:  To jest wrażliwy loot crate.
4192:  Tak, na osłony, które są rozwalane przez wrogów jestem niewrażliwy.
4196:  Ja wolę schować się do budynku.
4200:  Poza tym, z ciekawości dla tych, którzy sprawdzali cyberpunka, czy poprawili to, że w dzielnicy pod tytułem, jak ona się nazywa?
4210:  Na P. Ach.
4214:  Nie pamiętam już.
4215:  Oj, jaka szkoda.
4216:  Jest jeden z takich dzielnic, która była dzielnicą hotelową, wypoczynkową.
4220:  I tam literalnie nie było dwóch trzecich wypełnionych w ogóle.
4226:  Nie tylko treścią, ale lokacjami.
4230:  Sprawdzimy sobie tutaj wszystko, żeby po pierwsze nikt na mnie nie krzyczał, że nie eksploruję, a po drugie... Tali.
4240:  Dobrze, Tali, dobrze.
4241:  Ja tylko chciałam usłyszeć twój akcent.
4245:  Standardowe pytanie Judy, czy Pan Am?
4247:  Tylko i wyłącznie Pan Am, bo Pan Am jest najlepszą opcją, a poza tym Judy jest źle napisaną postacią, ponieważ ma zafiksowany jeden typ romansu, tylko i wyłącznie.
4256:  W świecie cyberpunkowym, słabo.
4262:  A szkoda, bo miała potencjał.
4268:  No powiem wam, że nie jest tak źle z tym hakowaniem.
4272:  O wiele lepiej się tutaj czuję.
4278:  Yyy... Okej.
4280:  Coś tu jeszcze widziałem.
4284:  No właśnie, myśmy za tym stali jako osłoną.
4286:  Świetna osłona!
4288:  Doskonała osłona!
4291:  Yyy... Gdzie idziemy sobie?
4294:  Tutaj idziemy.
4294:  Jak strasznie się cieszę, że się pojawił wreszcie na minimapie ta opcja ze strzałeczką.
4298:  Ona to jest tak niewiele, a tak dużo.
4301:  Zarazem.
4305:  Monstry wracają.
4307:  Meksy będą się chronić.
4308:  Bez szmaragdów.
4309:  Muszę schować się.
4310:  Nie ma szmaragdów.
4311:  Nie ma szmaragdów.
4312:  Nie, nie, nie, nie.
4313:  Vitor?
4316:  Nie, Vitor.
4318:  Nie tutaj.
4318:  Szmaragdy nie znajdę.
4320:  Monstry wracają.
4321:  Muszę schować się.
4322:  Nie myślę, że on cię słyszy, komendant.
4335:  Musimy schować się!
4337:  Musimy schować się!
4338:  Meksy będą nas ochronić!
4339:  Słupki przychodzą!
4339:  Słupki przychodzą!
4340:  Słupki słońca!
4346:  Jesteś człowiekiem!
4352:  Gdzie się schowałeś?
4355:  Dlaczego się nie znaleźli?
4357:  Kto się nie znaleźł?
4363:  Te... te monstry... te zwierzęta... Wszyscy ich zabrali.
4364:  Dlaczego Koen jest z powrotem, Vitor?
4366:  Co się stało?
4366:  Nie wiesz.
4367:  Nie widziałeś.
4367:  Ale ja widzę wszystko.
4368:  Wygląda na zdjęcie bezpieczeństwa.
4369:  Powinien się to połączyć manualnie.
4373:  Co to za cholera?
4390:  O mój Boże... Myślę, że jest to kolektor.
4395:  Czy to jakiś inny alien?
4397:  Są rodzaje z gdzieś poza Relajem Omega-4.
4399:  Tylko niektórzy ludzie nigdy nie widzieli go w osobiście.
4402:  Zazwyczaj pracują wśród przeciwników, takich jak księżnicy, czy zamieszkani żołnierze.
4406:  Jeśli są w jakiś sposób zaangażowani w Reaperów, to mogłoby wyjaśnić, co się stało w kolonii.
4413:  Kolektory mają przemieszczoną technologię.
4415:  Szkodnicy szkodzą.
4417:  Nikt nie może się schować.
4419:  Szkodnicy cię znaleźli.
4421:  Powiedz mi więcej o tych szkodnikach.
4423:  To tak cię znaleźli.
4424:  Idą wszędzie, znaleźli cię.
4425:  Wygląda na miniaturne proby, może.
4427:  Znajdź wiktymów, a potem zmobilizuj ich ze stasisów lub toksyn nerwowych.
4430:  Co się stało następnie?
4437:  Monstry zabrali ludzi do samolotu, a potem uciekli.
4439:  Samolot uciekł.
4439:  Myślę, że to chyba wszystko, o czym mówimy.
4441:  Uwielbiam to, co powiedziałeś.
4442:  Byłeś bardzo pomocny.
4455:  Studiowałem ich.
4458:  Monstry, płyty.
4459:  Wydaję mi się, że Normandie rozwalili właśnie ci kolektorzy, tak.
4463:  Musimy dostać te dane do elusywującego człowieka.
4465:  Zabrać kwarę i zapytać szatynę, żeby przychodzić do niego.
4467:  Co?
4470:  Vitor jest zniszczony!
4472:  Potrzebujemy... Nie usłyszymy go.
4473:  Musimy tylko zobaczyć, czy wie o czymś innym.
4475:  Powróci się bez zniszczeń.
4476:  Twoi ludzie już raz próbowali zniszczyć nas.
4477:  Jeśli go dostaniemy, nigdy nie dostaniemy tego inteligencji, czego potrzebujemy.
4481:  Praza był głupcem i on i jego mężczyźni zapłacili za to.
4483:  Możesz wziąć dane Omnitoola Vitora, ale proszę, pozwól mi go zabrać.
4493:  A ja bardzo chcę, żeby Tali do nas dołączyła.
4496:  Nie musisz wziąć Vitora i iść.
4497:  Moglibyśmy pracować razem, tak jak cały czas.
4500:  Wciąż próbuję zrozumieć, że wciąż żyjesz.
4503:  Mam teraz odpowiedzialności.
4504:  Mam własną misję.
4506:  Nie mogę uciec od tego.
4507:  Dobrze, bierz go, Tali.
4509:  On jest traumatowany i potrzebuje ochrony medycznej.
4512:  Tali będzie nam dawał omni-przestrzenione dane i odwiedził go do Flotilla.
4516:  Rozumiem, komendant.
4517:  Dziękuję, Shepard.
4518:  Cieszę się, że wciąż jesteś tym, kto daje radę.
4525:  Dobrej szczęścia, jeśli znajdę coś... Jesteśmy gotowi na zabawę.
4529:  Shepard.
4541:  Znaczy ja generalnie, tak szczerze, bym poczekał aż ten remaster stanieje, jeżeli ktoś chce sobie go kupić, bo jednak... sporo.
4558:  Robią się artefakty na live'ie przez ziarno?
4561:  O, niedobrze.
4563:  Możemy zaraz wyłączyć ziarnistość, nie mam z tym problemu żadnego.
4567:  Data z jego Omnitools powinny być bardzo użyteczne.
4570:  Wciąż to analizujemy.
4571:  Ale najważniejsze, zauważyłeś, że kolektorzy są poza obdukcjami.
4577:  Nie widziałem traileru Battlefielda 2042, on był na EA3, znaczy może nie na EA, tylko na E3 teraz.
4583:  Dlaczego mam poczucie, że już o nich wiedziałeś?
4585:  Miałem wątpliwości, ale potrzebowałem dowód.
4589:  Kolektory są najbardziej enigmatyczni.
4591:  Periodycznie przejeżdżają do systemów Terminus, szukając znacznie mniej ważnych produktów lub specyfików.
4597:  Zazwyczaj w zamian za ich technologię.
4599:  Kiedy ich transakcje są skończone, uciekają tak szybko, jak przyjeżdżają.
4603:  Doktorze, muszę i E3 nadrobić trochę.
4604:  Wiesz, że nie mieliśmy dowodów od kolektorów,
4614:  Jaka gra ma najlepiej napisane ścieżki dialogowe?
4617:  Mass Effect ma bardzo dobrze napisane, ale chyba najlepiej napisane są ścieżki dialogowe w Wiedźminach i to od jednego do trzeciego.
4623:  Szczególnie 2 i 3.
4625:  Oprócz tego Disco Elysium.
4627:  To jest absolutny majstercztyk, jeżeli chodzi o prowadzenie narracji, dialogi, storytelling.
4632:  No i Stalnej Porobu.
4634:  Stalnej Porobu ma znakomicie napisaną grą.
4637:  Dlaczego Relaj Omega-4 nie ma mapy?
4640:  Co o nim wiemy?
4641:  Tylko, że nigdy nie ma ruchu, który przejechał przez niego.
4645:  Nasze najlepsze zdanie jest to, że Relaj reakcjonuje inaczej z samolotami, pozwalającymi na bezpieczne przejście.
4651:  Jeśli oni mogą zmanipulować Relajy, to tylko dłuższa ewidencja połączenia z Reapami.
4656:  Jakieś pomysły na to, dlaczego zmieniali się ich skupienie na ludzi?
4659:  Są agentami dla Reapera.
4660:  Mogli być wiele powodów.
4661:  Oczywiście, ludzkość miała ogromną rolę w zniszczeniu prawodawstwa.
4666:  To może było wystarczająco, by ich zainteresować.
4668:  Ale prawdopodobnie jest to, dlaczego się błagają o abdukcję kolonistów.
4673:  Kiedy ludzie są paralizowani, dlaczego nie po prostu ich zabić?
4677:  Ja bardzo rzadko mam tak, że coś, co nie jest utrzymane w poetyce fantastycznej w ogóle jest w stanie mnie utrzymać w fotelu i nie sprawia, że zaczynam ziewać, więc doceniam.
4689:  Natomiast ja mam problem z polskimi aktorami, ponieważ ja uważam, że jeżeli na przykład chciałbym, żeby ktoś mi podał miskę, to mówiłbym, słuchaj, podejmij miskę.
4697:  Natomiast polska szkoła aktorska sprawia, że ja słyszę na ekranie, podejmij miskę.
4703:  Sorry, ja nie jestem w stanie tego wytrzymać po prostu i do tego dochodzi brak muzyki najczęściej i robienie pokazu slajdów wedle szkoły francuskiej kinematograficznej, nie jestem w stanie tego znieść.
4713:  I Boże Ciało też ma te momenty, niestety.
4719:  Filmy superbohaterskie kocham, MCU mogę oglądać zawsze.
4722:  Płacą za ślady, ale nigdy wcześniej nie dotarli do jednej specjali.
4725:  Przedmioty były w duzach, a nie w dziesięciu.
4727:  Mówisz o DC, to uważam, że to tylko animacja absolutnie.
4729:  Mówisz o DC, to uważam, że to tylko animacja absolutnie.
4731:  Mówisz o DC, to uważam, że to tylko animacja absolutnie.
4734:  Mówisz o DC, to uważam, że to tylko animacja absolutnie.
4736:  Mówisz o DC, to uważam, że to tylko animacja absolutnie.
4739:  Mówisz o DC, to uważam, że to tylko animacja absolutnie.
4741:  Mówisz o DC, to uważam, że to tylko animacja absolutnie.
4743:  Mówisz o DC, to uważam, że to tylko animacja absolutnie.
4746:  Mówisz o DC, to uważam, że to tylko animacja absolutnie.
4748:  Mówisz o DC, to uważam, że to tylko animacja absolutnie.
4750:  M
4751:  Magic'a to jest dobra gra, absolutnie.
4754:  Na to, och, jeszcze a propos dialogów, jedna gra mi się przypomniała, przecież Divinity i nie tylko Original Sin 1 i 2, ale Divinity Ego Draconis z szalonym magiem, moim ulubionym, absolutnie.
4765:  I hate waiting, but I'll need a team, a good one.
4768:  Już skomplikowałem listę żołnierzy, naukowców i mercenarzy.
4772:  Znalazłeś dosyłki na najlepsze z nich.
4774:  Znaleźć ich i przekonać ich pracować z tobą może być ciężkie, ale jesteś naturalnym liderem.
4780:  Przetrwam kolektorów.
4780:  Kiedy zrobią następne pojawienie, zapraszam cię i twoją drużynę.
4784:  Bądź gotowy.
4791:  Miranda i Jacob nie są wystarczającymi.
4794:  Ile musisz mi zatrzymać?
4795:  Ujawniłem Mirandę i Jakobu, że jesteś w celu.
4799:  Zdecyduj, kto dołączy do twojego składu.
4802:  Wszyscy inni na tej listie byli wybrani specjalnie na tę misję.
4805:  Są najlepsi.
4807:  Zrobię to, co mogę z tym, co mi dałeś.
4809:  Jestem pewna, że to zrobisz.
4811:  Przed tym jak pójdziesz... dwa rzeczy.
4814:  Najpierw wejdź do Omega i znajdź Morden Solas.
4817:  To świetny naukowca.
4820:  Nasza inteligencja stwierdzi, że może wiedzieć, jak zareagować przeciwko szkodnikom.
4826:  Eee, Divinity Baldur's Inn?
4828:  Też na to czekam, absolutnie.
4830:  Żartuję.
4830:  Znaczy, Baldur's Gate 3 i robiony przez Lariana to jest coś, co sprawi, że być może 2021 będzie dla mnie uratowanym rokiem, bo przestał być wspaniałym rokiem, jak się dowiedziałem, że... Vampire The Masquerade Bloodlines 2 został anulowany w zasadzie.
4845:  Wygląda dobrze.
4846:  A co jeszcze?
4847:  Znalazłem pilota, którego myślę, że podoba ci się.
4850:  Słyszałem, że jest jednym z najlepszych.
4852:  Kogo możesz zaufać.
4858:  Hej, komendant.
4860:  Tak samo jak w starożytnych czasach, co?
4861:  Nie wierzę, że to ty, Joe.
4862:  Widziałem, jak mówisz.
4864:  Widziałem, że jesteś spasowany.
4866:  Zdobyłem szczęście.
4867:  Mało strzałów przyłożonych.
4870:  Ile nas pracy czeka?
4872:  Tak, absolutnie, idziemy od razu po Mordina.
4875:  O kurde, teraz...
4927:  Dobrze, że jesteś w domu, nie, komendant?
4930:  Myślę, że musimy jej dać imię.
4982:  O rany.
4984:  Pytacie na czacie, co mnie urzeka w fantastyce.
4987:  To!
4990:  Czego nie ma w naszym świecie.
4993:  Inmersja w świat inny, zanurzenie.
4996:  Coś wspaniałego absolutnie.
4998:  Coś wspaniałego.
5000:  Mogliby nawet wyrenderować tę cutscenę w dwóch fpsach i tak byłbym zachwycony.
5009:  Witaj na nowej Normandii, komendant.
5026:  Spoglądałam się do dossierów.
5028:  Bardzo polecam zacząć od zakupu Morden Solis, profesora Solarium na Omega.
5032:  Wiemy, że kolekcjonerzy używają pewnego typu technologii przemieszczonego, aby nie zmobilizować ich wrogów.
5037:  Potrzebujemy, żeby on stworzył przeciwnik, aby nas chronić.
5040:  Bez tego przeciwnika nie będziemy mogli się pomóc, jeśli zaczniemy szukać kolekcjonerów.
5051:  Edi!
5053:  Wspomnienia... Hmm... Czy uważam, że Launch Trailer Mass Effecta 2 to osiągnięcie wybitne?
5060:  Wiecz... Nie pamiętam szczerze Launch Trailera Mass Effecta 2, ale do tej pory za mistrzowskie osiągnięcie, jeżeli chodzi o reżyserię zwiastunów, uważam zwiastun do StarCrafta Heart of the Swarm.
5070:  Praca kamery tam, to jest po prostu coś niesamowitego, co tam się dzieje.
5078:  Mimo wszystko, nie jestem w kontroli ze zewnątrz, komendantze.
5083:  Podczas obywateli pracuję w kompaniach elektronicznych i cyberszkolnych.
5089:  Poza tym, nie mogę interfejsować się z systemami zewnątrz.
5094:  Obserwuję i oferuję analizy i rady.
5095:  Nic więcej.
5098:  Mmm... O tak.
5099:  Przepraszam, że mówię Eddie, przepraszam!
5100:  Grałem w tę grę bardzo dawno temu.
5103:  Eee...
5127:  Dobrze.
5128:  Private terminal?
5129:  Nie pamiętam tego.
5132:  Okej, to pamiętam.
5134:  Windy też pamiętam.
5137:  Tech lab.
5140:  Dobrze, potrzebujemy Mordina do tego.
5144:  Tradycyjnie zrobimy sobie Tour de Normandie.
5151:  Dobrze, już działam z tym działaniem, aczkolwiek muszę powiedzieć, że aż się dziwię, że jest tutaj ten efekt.
5159:  Gdzież jest?
5160:  Film Grain, off.
5161:  Dobrze, jeżeli to coś pomoże, to czemu nie?
5168:  Dobrze, idziemy natychmiast do Jokera.
5171:  Czy tutaj też jest tak, że otrzymuje się rzeczy z... Oczywiście, że tak.
5176:  Bardzo dobrze.
5176:  Journal updated, ED, Joker.
5182:  Prywatny warto czytać?
5182:  Co prywatnego?
5183:  I tu jest przegląd.
5201:  Zapisujemy... To jest moment, w którym trzeba zapisać na napadek, gdybym spaprał jakąś konwersację.
5228:  Komandera.
5229:  Wydaje mi się, że wszystko w porządku tutaj.
5230:  Chciałbym zakończyć normatykę przez jej pasy.
5232:  Muszę tylko wyciągnąć wyświetlacz i to będzie tak, jakbyśmy nigdy jej nie stracili.
5235:  Standardy bezpieczeństwa wskazują przeciw do manipulacji wyświetleń wyświetlaczów... Komandera, czy możemy wyłączyć to?
5240:  Nie potrzebuję... Nie mam czasu, by cię zabezpieczyć, Joker.
5246:  Tak, powyższenie intercomu nie jest moim silnym problemem.
5249:  Dzięki.
5250:  Pamiętam to.
5252:  Więc, jak myślisz o tym, co robimy?
5254:  Normandia nie jest tak gotowa, jak ona powinna być.
5256:  Tylko możemy się ulepszyć.
5258:  A jeśli chodzi o drużynę, to musiałbyś zapytać o ludzi.
5261:  Co myślisz o ludziach, których znalazłyśmy?
5264:  No, o tych, o których... Nigdy nic nie powiem przeciwko Mirandzie.
5267:  Jacob jest zbyt ładny.
5269:  To tylko moja opinia, nie trzeba go rozprzestrzenić.
5271:  Czy kiedyś myślałeś o starych Normandach?
5273:  Tak, to wyglądało na to, że to były dobre stare czasy, ale... Jesteśmy w dziwnym miejscu, oczywiście, ale w tamtych czasach to nie było tylko słońce i dziewczyny.
5281:  Co się stało z resztą starej drużyny?
5284:  Prawie tak.
5284:  Prezli się nie zniszczył.
5286:  Reszta z nas po prostu zniknęła.
5287:  Byliśmy twoim zespołem, komandera.
5288:  Z zniszczeniem Normandy, a ty uciekłeś.
5291:  To wszystko na teraz.
5291:  Do zobaczenia, komandera.
5301:  Ho, ho, ho, ho, ho, ho.
5303:  Czyli tak, w pierwszej kolejności idziemy do... The Professor.
5309:  To będzie, to jest, to zdecydowanie tak jest.
5314:  Tak jest.
5320:  Podoba mi się ta nowa Normandia.
5322:  Oj, podoba mi się.
5326:  Chambers.
5328:  Mieli dać graczowi wybór pełny jeśli chodzi o kolejność rekrutowania, ale w trakcie developmentu to zmienili, o ciekawe.
5361:  Nie wiem gdzie jest mój prywatny terminal.
5366:  O, jeśli jakaś z drużyny ma ważny temat do porozmawiania... Tak, ale jako twoja żołnierz, wszyscy wiedzą, jak... Mam drogę w psychologii.
5374:  Jestem dobry w sensie, że ludzie nie mają żadnych kosztów.
5378:  Tak, szukam o oczekiwania.
5379:  Mamy szczęście, że masz kogoś ze sobą.
5381:  Dziękuję.
5382:  Co jeszcze chciałabyś znać?
5383:  Nic.
5384:  Nasze metody mogą być straszne.
5386:  Szukamy interesów ludzkich.
5389:  Wygląda na to, że Cerberus chce dominować wszystkich alianów i włożyć ludzkość na górę.
5393:  Cerberus patrzy na nas, ale to nie oznacza, że nienawidzimy alianów.
5396:  Uwielbiam ludzkość.
5398:  Uwielbiam też Asarię,
5401:  I love democracy.
5406:  Bo piszecie, że mógłby być bohater nie antropomorficzny, nie?
5410:  Jakaś ksenorasa.
5412:  I tak, jak najbardziej, tylko science fiction bardzo rzadko to robi.
5415:  Ja znam niewiele powieści, które się na to odważyły, na przykład Dzieci Czasu Adriana Czajkowskiego.
5421:  To jest cała powieść z perspektywy pająków.
5423:  Polecam swoją drogą.
5436:  Jak się czujesz, gdy będziesz wysyłany do Normandy?
5440:  Jak się czuję?
5440:  Zmęczona, zaskoczona, zaskoczona.
5443:  Ale głównie czuję się wzmocniona.
5444:  Wśród twojej rządu nie możemy przestać.
5445:  Nie martw się.
5446:  Wierzę w ciebie bezpośrednio.
5458:  Dobra.
5458:  Idziemy do tego prywatnego terminala, gdziekolwiek on jest.
5461:  Tu jest Eddie.
5462:  Tu jest elevator, dobra.
5464:  Z Eddie jeszcze nie będziemy rozmawiać.
5466:  Prywatny terminal!
5467:  Dziękuję.
5469:  Team status.
5472:  Ok.
5472:  Upgrades.
5477:  Unread messages.
5484:  Wielkie nieba, to nie jest coś, co ja będę teraz czytał nagle.
5492:  Okej, F5.
5497:  Co z fantastyki ostatnio przeczytałem albo czytam.
5501:  Czytam w tej chwili, tam gdzieś jest, czwarty poziom archiwum... Boże, czwarty poziom, czwarty tom archiwum burzowego świata Brandona Sandersona i polecam w ciemno.
5519:  To jest dokładnie to, co Ansible.
5541:  Teraz nerdzę sci-fi'owo, wiem.
5568:  Dużo spamu z DLC jest.
5577:  Znaczy, ja nie chcę na razie niczego zaznaczać, że przeczytałem, bo potem zapomnę o tym, a ja siebie znam i raczej będę robił w ten sposób, że będę sobie czytał po kwolutku i jak będzie jakiś kłeścik, to wtedy sobie oznaczam jako przeczytany.
5600:  Z deweloperów cenię najwyżej... Ceniłem kiedyś BioWare'a, ceniłem kiedyś CD Projekt Red, teraz mam mieszane uczucia.
5608:  Bardzo cenię Larian Studios, bardzo cenię oczywiście Rockstar'a, Arkane Studios, Bethesda, mimo wszystko.
5616:  Może zmienisz twój tłum, jeśli zakończymy się tak jak w oryginalnej Normandii.
5619:  Może.
5620:  Jak tylko ilusiwny mężczyzna ucieknie przez rozmowę.
5622:  To zostało stworzone dla mojego serwisu do tej pory.
5627:  I to jest piękne.
5643:  Bardzo mi się podoba jak tutaj zrobili pracę kamery w porównaniu z jedynką.
5650:  Powodzenia w ratowaniu waszych galaktyk w różnych, równoległych wobec naszego świata.
5657:  Dobra, Eddie jest w różnych miejscach, widzę, dostępna.
5659:  Dlaczego Jennifer Shepard zwariowała i nie idzie we właściwym kierunku?
5667:  Dobrze.
5676:  Okej.
5684:  To powinno rozwiązać nasze problemy.
5686:  I teraz sobie idziemy windą.
5688:  O, jak wygodnie wreszcie.
5690:  Captain's cabin.
5692:  Oczywiście, że w pierwszej kolejności sobie zwiedzimy naszą kabinę.
5696:  Czy oglądam mecz Polska-Hispania?
5698:  O nie, nie, nie.
5698:  Moi drodzy, to jest ja ze sportu
5701:  e-sport.
5702:  To znaczy, jak spytacie mnie na przykład, komu kibicuję w StarCraft, nie ma problemu, od razu możemy na ten temat rozmawiać.
5708:  Natomiast jeżeli chodzi o tradycyjne... A, pięknie zrobili achievementy.
5712:  Natomiast jeżeli chodzi o tradycyjny sport, u mnie nie bardzo.
5716:  Tu, tu, tu, tu.
5719:  Locker, tu jest nam nic niepotrzebne.
5721:  Sound system.
5723:  Tak, to jest kajuta kapitańska, którą pamiętam.
5725:  Bardzo mi się podoba, że ona tutaj jest.
5727:  O i tutaj jest akwarium jeszcze.
5729:  Czy ja dobrze pamiętam, że tutaj będą modele statków?
5732:  Tak, tu będą modele statków, które napotykamy.
5737:  Piękny taki maleńki szczegół, prawda?
5740:  Combat Information Center, Crew Quarters, Engineering i ruszamy dalej, obiecuję.
5745:  Czyli jest jakaś seria gier, która mi od dłuższego czasu siedzi w lodówce i chciałbym, żeby wreszcie z niej wyszła wraz z złogoodsłoną.
5751:  O mój Boże.
5752:  Chodź, Rupert.
5754:  Przepraszam, Princesa.
5756:  Komendant Shepard, hero z... Sgt.
5757:  Rupert Gardner tu.
5758:  Jak mogę być serwisem?
5775:  Wiecie, to są takie szczegóły.
5777:  Na przykład w Bethesdzie jest jeden człowiek odpowiedzialny za napisanie wszystkich książek do Skyrima.
5783:  No nie mogę tego nie cenić.
5785:  Ale fakt faktem, że jest to bug testa, jeżeli chodzi o dowożenie gier.
5789:  Natomiast dla samego TES-a naprawdę i Falloutów oczywiście, to jest ten sam casus, co Bioware'u zauważcie.
5796:  Znaczy też jest zły leadership i zły production team, natomiast cała reszta ludzi to jest absolutnie rewelacyjna.
5815:  Bez Testa, tak.
5820:  Ale zobaczcie, Bethesda właśnie była precyzyjnie krytykowana za to, za co teraz jest krytykowany CD Projekt i za co teraz jest krytykowana EA, więc... No niestety.
5834:  Dobra, przez to się przeklikamy Dobra Dostaliśmy następny quest, to jest zawsze bardzo dobra informacja Tutaj pamiętam, że też coś było
5859:  O, o, o, o, o, o, o, o, o, o, egzamin, gdzie to było?
5866:  Gunnery officer, czy to nie będzie czasem Tully?
5870:  Chyba tak.
5875:  Doktor Chakwas!
5880:  Long time no see.
5882:  Dobrze Cię widzieć żywy.
5884:  Cieszę się, że widzę znany twarz.
5885:  Wydaje mi się tak samo.
5887:  Chciałabym, żeby więcej z jednej drużyny mogło tu być.
5889:  Ten rodzaj traumy, którą odczułaś, zmieniłaby większość ludzi.
5893:  Ale nie Ty, rozumiem.
5894:  Witaj z powrotem, Shepard.
5899:  Masz wszystko co potrzebujesz?
5900:  Jedyna rzecz kłanianą jest mój prywatny... Miałam nawet kawałek seryjnego brandy, który opłaciłam na specjalną okazję.
5908:  Zostanę oczekiwana na nowy kawałek.
5911:  O, nie potrzebujesz.
5913:  Jest kosztowny.
5914:  I mamy dużo miłości.
5916:  Po straceniu Normandy, zostałam zatrzymana w Centrum Medycznym Narodowego Marsza.
5921:  Bardzo szanowna pozycja.
5923:  Kolonialne życiowości wojskowe?
5925:  Spędziłam większość mojego życia na wojskach wojskowych.
5928:  Jestem przyzwyczajona do brzmienia motorków, krzyku balkowców.
5932:  Tego sztucznego wersygu, kiedy napięcia dźwiękowe wkraczają.
5936:  Wydaje mi się, że to nie jest typ Cerberus, doktorze.
5941:  Nie, mam wiadomość, że twoje porozmawianie z Cerberus będzie etyczne.
5948:  A, pardon?
5954:  Dobra.
5955:  Eee... Find Brandy, świetnie.
5962:  AI Core... Denied.
5965:  Cóż tu mamy?
5966:  Tu jest Eddie.
5968:  Została nam... Engineering Room, moi drodzy, tylko i wyłącznie już.
