Mass Effect EDYCJA LEGENDARNA — Livestream
🔗 https://www.youtube.com/watch?v=fxSlrdEm6LY

3:  Witaj się na streamie.
4683:  Kapitanie Anderson, jak będzie pan siedział przy takim świetle, to... I to jeszcze w takiej pozycji, na takim krześle, kręgosłup niepodparty, słabe światło.
4696:  Ajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajaj
4732:  Na Normandii standardy wszystkie ustalam ja.
4735:  O, proszę, dostaliśmy kodeks.
4737:  Dzień dobry, inżynierze Adamsie.
4739:  Inżynier Adams jest niewysłowienie... Inżynier Adams jest niewysłowienie rozmowny.
4744:  Myślę, że inżynier Adams jest w tej samej lidze, co brat Jeremiasz.
4753:  Czemu Yennefer jak Triss?
4755:  Aha!
4756:  Dobre pytanie!
4757:  Ponieważ połączyliśmy najlepsze co w Yennefer i Triss.
4760:  W jedno.
4764:  A, equipment.
4764:  To nas nie interesuje.
4767:  Oczywiście jak się zrobi to samo w Wiedźminie, to Yennefer i Triss mogą nas okrutnie ukarać, ale korzystamy z tego, że... Ależ właśnie chcę...
4778:  Chciałem porozmawiać.
4780:  Ja naprawdę chcę porozmawiać.
4783:  Supplies?
4784:  Why should I pay you?
4788:  Bardzo dobre pytanie.
4790:  Show me.
4791:  Dobrze.
4804:  Jesteśmy biedni jak mysz kościelna, faktycznie.
4808:  Eee, sell.
4809:  Co możemy sprzedać?
4814:  Sniper rifle, mówicie, że nam się na razie nie przyda, tak?
4819:  Hmm.
4823:  Eee... Aha, accept to jest sell, dobrze.
4832:  Szukasz sprzętów?
4833:  No, to zależy od tego, ile licencji kupiłeś.
4834:  Będę mógł wytrzymać te licencje.
4837:  I kiedy zostaniemy na miejscu, gdzie musisz kupić sprzęt, będę kupił sprzęt w otwartym kosmosie.
4841:  Tylko to jest trudne.
4842:  Muszę szybko przesunąć licencje, tak, że tylko najnowsze licencje będą stać się w porządku.
4859:  Tak a propos tragicznej muzyki coś kojarzę, w jakimś cyklu fantasy czytałem, gdzie system magii kręcił się wokół muzyki, było coś takiego, ale gdzie, gdzie, w jakim cudem nam, a, magicznej muzyki, przecież tam tragicznej właśnie miałem się oburzyć.
4872:  Magiczna muzyka, gdzie to... Przecież to było w tym, w... Mam to na końcu języka.
4880:  Abhorsen Gartanixa, tam nekromanta miał siedem dzwoneczków, jak w nie uderzał, to mógł pętać potężniejsze duchy.
4888:  Wow, jaki to był system genialny.
4890:  Mnie też martwi krzywy kręgosłup Andersona, zwłaszcza, że będzie potrzebował prostego.
4902:  Dobra.
4904:  Nie dostaliśmy żadnego EXPA za to?
4906:  A miałem nadzieję, że będziemy mieć.
4908:  Tu już byliśmy, byliśmy.
4909:  Tam jest ta maszynownia.
4911:  Dobra, wracamy na górę.
4913:  Wracamy na górę.
4916:  Okej.
4917:  Czyli rozumiem, że wracanie na górę polega na tym, że podchodzimy do przycisku, przycisk nas teleportuje trzy metry dalej i ruszamy.
4926:  Dobrze, że Anderson nie jest naukowcem, bo wtedy nie miałby kręgosłupa, przynajmniej moralnego.
4936:  Chcę wejść, chcę wejść, chcę wejść, chcę wejść.
4938:  Dziękuję.
4939:  A, tutaj jest mostek po prostu.
4941:  Pff, BTW, fajny ten cyberpunk, nie wiem, nie grałem, haha!
4948:  Bo żeby tak wyglądał cyberpunk.
4950:  Kuźwa.
4952:  Joker.
4955:  Nasza Yennefer pojękuje i dyszy jak idzie do Jokera, wszystko się zgadza.
4963:  Sims legit.
4965:  Mmm...
4973:  Czary!
4973:  Czary!
4974:  Cytadela!
4975:  Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
5001:  Dowództwo Asarii.
5011:  SSV?
5017:  Space System Vehicle?
5020:  Nie jestem dobry w akronimy.
5025:  Roger, Alliance Tower.
5029:  Normandy out.
5029:  Normandy, to Alliance Tower.
5031:  Proszę przejść do 422.
5052:  Witam.
5053:  W dobrym momencie wpadłeś.
5055:  Właśnie jesteśmy nad Stadeli.
5057:  Jest... Cytadelska bezpieczeństwo zainwestuje w wasze obowiązki przeciwko CERN.
5067:  Rozmawiamy o znalezieniu CESEC w spotkaniu, a nie wcześniej.
5078:  Jest tylko jedno dzieło popkultury, które miało takie wejście i to był Jurassic Park.
5082:  Ambasador Udina seems to have an eastern accent.
5106:  Saren jest zagrożeniem dla każdej kolonii ludzkiej.
5108:  Jeśli go nie powstrzymają, to ja.
5110:  Zatrzymaj się, komendant.
5111:  Już zrobiłeś więcej niż wystarczy, żeby zniszczyć twoją karydyzację dla Spektrów.
5116:  Misja na Eden Prime była szansą, żeby pokazać, że możesz to zrobić.
5119:  Zamiast tego Nihilus zginął, a Beacon został zniszczony.
5123:  To Saren's fault, nie jej.
5126:  To my lepiej... Shepard, ty i inni możemy się spotkać na Cytadeli Talonu.
5131:  I z tego co pamiętam, w jedynce jest tak, że po Cytadeli można się poruszać znacznie bardziej swobodnie niż w dwójce, a w trójce ona już jest w ogóle tunelowa kompletnie, no też ze względów fabularnych, ale już w dwójce jest tak, że jest troszeczkę kiepściej.
5146:  Och, to bardzo lubię robić sobie tak, w wolnych chwilach robię sobie manual override.
5151:  Captain Hendrickson reported some unusual energy readings during a patrol of the Argos rock cluster.
5156:  Hmm... Do you want to send a recon team?
5159:  Czyżby to był quest?
5160:  Czyżby to był quest?!
5164:  Tak się robi questy!
5167:  W cyberpunku szedłbym sobie tutaj i bym dostał telefon.
5171:  Tutaj jest naczelny dowódca floty, weź tutaj jest assignment, musisz tam polecieć do takiego systemu.
5178:  Chcesz to wziąć?
5178:  Chcesz to wziąć?
5179:  Chcesz to wziąć?
5180:  Chcesz to wziąć?
5180:  I wtedy na spokoju wciskamy cokolwiek, nie?
5183:  Tak się robi questy.
5185:  Hmm... Co za czasy trzeba grać w grę sprzed 15 bilionów lat, żeby mieć dobrze zaprojektowany emergent storytelling.
5197:  Ojej... Ha ha ha ha ha!
5203:  Przecież to jest Elkor!
5205:  Oni... Elkorzy są cudowni, oni nie wyrażają emocji, jeśli mnie pamięć nie myli, w związku z powyższym na początku zawsze komunikują, co czują.
5219:  Dlaczego wyjaśniłeś, co mówisz?
5222:  Uwielbiam Elkorów.
5247:  Powiedz mi więcej o twojej specji.
5253:  Uważam, że tak powinni się komunikować profesorowie.
5256:  Wtedy wiadomo było, o co im chodzi.
5259:  Chciałabym wiedzieć więcej o kulturze Alcor.
5265:  Muszę porozmawiać z każdym Elkorem nad Stadeli.
5271:  Oby się nic nie bugowało.
5275:  Dobra, dobra, to... nie to.
5276:  I should go.
5280:  Proszę bardzo, expa... To jest piękne!
5283:  Rozmawiamy z ludźmi i dostajemy za to experience.
5285:  Tak powinno być w każdej grze.
5295:  Na razie mówią o nas human, ale... Uuu... Jaka to była rasa?
5300:  Nie pamiętam.
5302:  Dobra, yyy...
5307:  Jak zrobić angielską wersję językową?
5309:  Na Steamie musisz zaznaczyć, że chcesz mieć w opcjach do gry angielską wersję językową, bo z poziomu gry tego nie zrobisz niestety.
5319:  Ja to zrobiłem od razu przed streamem, bo no właśnie, chciałem tych wszystkie smaczki.
5325:  Grałem w wersję polską dawno, dawno temu, jakby doceniłem wszystkie easter eggi i...
5333:  O!
5336:  Te ziomeczki to byli opiekunowie Cytadeli, chyba z nimi się nie gadało, bo to były drony czy coś.
5340:  Tak, to prawda, to prawda.
5341:  Racja.
5343:  Nie ma sprawy.
5345:  Słyszycie?
5346:  Nasza Magini to jest dygnitarz!
5357:  Notable.
5359:  Hmm?
5359:  Ładne słowo, notable.
5361:  Personal question.
5362:  Safiria to jest piękne imię dla maga.
5364:  Pa pa.
5364:  Świetnie.
5365:  Informacja do kodeksu.
5395:  Ej, okej, okej, okej.
5398:  Przeklikamy się przez to w nadziei, że dostaniemy expa.
5407:  Zresztą i tak to wszystko wyląduje nam w kodeksie, jeśli mnie pamięć nie myli.
5412:  Tak jest.
5415:  Avino, będę cię używać zawsze z radością.
5420:  Druga rzecz, uwielbiam takie rzeczy, jakie mamy, interfejs diegetyczny jest w świecie gry i... i ma to sens, nie?
5428:  To znaczy, jesteśmy w futurystycznym, totalnie futurystycznym społeczeństwie i w ten sposób by nam się wyświetlały wtedy wskazówki.
5435:  A nie, że coś mi wulgarnie ktoś pokazuje na interfejsie.
5438:  Co powiedziawszy, sprawdzam, gdzie mam iść.
5442:  Go to the tower, dobrze, czyli interesuje nas wieża.
5445:  To citadel tower, dobrze.
5447:  Idziemy do citadel tower.
5451:  i nie używamy shifta.
5454:  Co to jest?
5456:  Uuuu... Rapid Transit, ale wpierw musimy tam przejść, dobrze, strasznie mi się to podoba.
5468:  To Financial District, dobrze.
5471:  Citadel Tower.
5472:  Kolejny ten element interfejsowy, diegetyczny, super sprawa.
5477:  Mmm...
5479:  Żeby wszystkie gry były tak projektowane, naprawdę.
5481:  Strasznie nie lubię, jak jest zaśmiecony interfejs ten, który jest nakładką.
5488:  Ale będzie trzeba coś zrobić z tym poziomem staminy, bo jest źle.
5498:  Tutaj co jest?
5498:  Cited words.
5500:  Cóż to są words?
5505:  Ale nic nie pamiętam.
5506:  To jest fantastyczne, bo nie dość, że mam napady nostalgii, to jeszcze autentycznie nie pamiętam tego, co się działo.
5513:  Czy planuję grać w gry sobie w awariowe typu The Forest i Subnautica?
5516:  Oczywiście na streamach.
5518:  W Subnautica bym zagrał chętnie w sumie.
5520:  You must talk to the council.
5521:  Aha, czyli nas blokuje przed eksploracją.
5524:  Jedyne, co mi się na Cytadeli nie podobało, to ta sterylna biel właśnie.
5528:  Czemu?
5528:  W sensie, że jest to jakoś niezgodne z lore, czy... czy po prostu tak od strony estetycznej?
5533:  Hee!
5534:  Popatrzcie!
5535:  Jest pomnik!
5538:  Znaczy się, no, to jest... To jest kolejna rzecz, której mi brakowało w Night City.
5542:  Zauważcie, że w Night City w ogóle nie ma sztuki, poza graffiti na murach.
5546:  Zresztą, aby w tym świecie nikt nie żył.
5551:  Please do not disturb the keepers.
5559:  Tak, w Subnautice są elementy horrorowe.
5561:  Znaczy, generalnie gry survivalowe w moim przypadku są dlatego wykluczone, jeżeliby tam się pojawiły jakieś elementy hardcore'owe, horrorowe, bo ja horrorów nie znoszę.
5570:  Jakich... Gorge, coś w tym stylu.
5573:  Dobrze, tu mamy ten Rapid Transit System.
5576:  Wie, że jest w tamtą stronę, ale tutaj coś widzę.
5579:  Barlavon!
5580:  Ooo!
5583:  Wędok Westy od niego, pamiętam.
5585:  Wybaczcie mi, klan Ziemi.
5587:  Nazywam się Barla Vaan.
5590:  Moja praca sprawia, że muszę zostać informowany.
5592:  Jestem finansowym księgiem dla wielu ważnych klientów tutaj na Cytadeli.
5599:  Że design tych wszystkich postaci jest cudowny.
5617:  Od Presidium do Wards.
5619:  Co to jest Presidium?
5619:  To jest polityka, ale tylko najważniejsza i najinfluencjonalniejsza w niej.
5624:  Co to są Wards?
5625:  To jest kulturowe serce galakcji.
5627:  Nie wiedziałeś, jak się znaleźć w Wardsie, komandorze.
5631:  Proszę o wyjaśnienie, co to jest Presidium?
5633:  Ja też oferuję serwisy premium dla tych komandorów.
5634:  Słyszę, że to jest niebezpieczne.
5636:  Nawet jeśli jego prawdziwe motywy będą ci pomagać.
5638:  Wciąż słyszę, że to jest niebezpieczne.
5639:  Wtedy możemy tylko życzyć, byś nigdy nie został... Do widzenia, komandorze.
5644:  Goodbye, goodbye, goodbye.
5646:  Dobrze, wracamy sobie do wieży, czyli to będzie tędy.
5649:  Citadel Tower, okej.
5652:  I idziemy.
5653:  W sumie logiczne.
5656:  A, chodzi ci o to, że biały jest taki generyczny i że powinno to wszystko już być zabrudzone i tak dalej.
5662:  No to jest fakt, to znaczy George Lucas miał taką obsesję, żeby zrobić used universe, zużyty wszechświat, żeby wszystko właśnie było wytarte i nadgryzione zębem czasu.
5676:  Ale myśmy tu już byli, to co ja... Ach, być może tutaj po prostu powinienem był przejść.
5681:  Oczywiście, że tak, to Citadel Tower, piękna sprawa.
5686:  Boże, ta muzyka na Cytadeli, mmm... Książka nie zapyta o wiele pytań, prawda?
5694:  Zrozumiałem.
5695:  Zrobiliśmy informacje.
5696:  Teraz musimy po prostu wierzyć ambasadorowi Udina.
5701:  A to jest ciekawy temat, że dialogi ekspozycyjne w grze burzą trochę imersywność.
5707:  To znaczy, rzeczywiście musielibyśmy się wczytać w to, kim jest nasz komandor, ale z tego, co pamiętam, jest tak, że ona jest pierwszy raz na Cytadeli w tej chwili, więc możemy przyjąć, że ludzkość przed jeszcze, nie wiem, kontaktem i tak dalej, nie interesowała się innymi rasami, ale to jest rzeczywiście niedopracowane.
5725:  Nie bądź przerażony.
5726:  Twoja inwestycja skończyła się, Garrus.
5732:  Gaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
5762:  Dobry wieczór, dobry wieczór, spotkaliśmy Garusa.
5766:  Mmm, Garus, Garus.
5767:  Cudo.
5767:  Będziesz moim snajperem.
5769:  Zaraz moja rudowłosa magini cię usiedli.
5790:  Będzie mieć rewelacyjne relacje i Garus nigdy nie będzie pudłować.
5799:  Wszystko zwiedzimy.
5800:  Co tutaj jest?
5801:  Nic, nie można wejść.
5803:  Okej, nic nie zwiedzimy zatem.
5806:  Możemy rozmawiać z kimś tutaj, czy nie za bardzo?
5809:  Możemy, możemy.
5812:  Rear Admiral to jest admirał floty zdaje się, nie?
5815:  Bo na pewno nie tylny admirał.
5818:  Tak, chyba admirał floty.
5820:  Tak się to tłumaczy.
5823:  Boże, design tych pos... Ooo, proszę, proszę!
5826:  Nasza znajoma rasa.
5827:  Jak ona się nazywała?
5828:  Boże, drogi, przecież dostaniemy w którymś momencie inżyniera z tej rasy do współpracy.
5835:  Ja tutaj powinienem być lormistrzem, a nic nie pamiętam.
5843:  Zobaczymy, czy jeszcze tam można z kimś porozmawiać.
5847:  Ale nasza, nasza rudowłosa magini już się zasapała.
5850:  Salarianie, dziękuję, tak.
5853:  To był Salarianie, tylko on był zakapturzony, ponieważ jest Sithem.
5857:  Crossovers we asked for.
5860:  Chociaż... Pamiętajmy, że pod warunkiem, że wyłączamy całkowicie z myśli ostatnią trylogię Disneya.
5869:  Dobrze.
5870:  Przesłuchanie!
5872:  Coś... Dobrze, jesteśmy w moim świecie, to znaczy w świecie niekończących się spotkań i narad, które nic nie dają.
5879:  Inwestycja o bezpieczeństwie Cytadla nie wywołała żadnych dowodów, aby wspierać twoją karę.
5884:  Bo twoja bezpieczeństwo Cytadla jest głupia.
5886:  Przeczytaliśmy raporty z Edenu, ambasadorze.
5893:  Mhm, a potem będę musiał was ratować.
5895:  Mr. Anderson!
5895:  Będziemy robić znalazania się inteligentnie.
5923:  Misja do Eden Prime była najnowsza.
5925:  Jedynym sposobem byś wiedział o biegunu, byłoby jeśli byś tam był.
5929:  Z nauką, którą przekazał mi, przeczytałem raporty z Eden Prime.
5933:  Nie byłem zaskoczony.
5935:  Ale co możesz oczekiwać od człowieka?
5937:  Saren zaskoczył ludzkość.
5938:  Dlatego atakował Eden Prime.
5950:  Mhm.
5951:  How dare you speak like that to a mage?!
5953:  A jak wszystkie spotkania?
5956:  Oj, kusi!
5956:  Kusi!
5986:  Otwórz oczy.
5988:  Szczepionki są projektowane przez Billa Gatesa.
5993:  Ziemia jest płaska.
6001:  Salarianie zaprojektowali weganizm, żeby usilić galaktykę.
6005:  Dumna Magini.
6006:  Dobrze.
6023:  Teraz... Jak taki kretyn mógł zostać członkiem rady?
6052:  Git to był błąd, który złożył cię do tego spotkania, kapitanie.
6056:  Ty i Saren masz za dużo historii.
6059:  To sprawiło, że konsul... Wiem, Saren.
6061:  Przede wszystkim Saren to jest gaz bojowy.
6064:  Każdy powinien przejrzeć, że to jest coś nie tak.
6066:  Każdy świat, który kontrolujemy jest w niebezpieczeństwie.
6069:  Nawet ziemi nie jest bezpieczna.
6071:  Powiedz mi o tej historii pomiędzy tobą i Saren.
6074:  Pracowałem z nim od dłuższego czasu na misji.
6076:  Nie powinniśmy tu o tym rozmawiać.
6080:  Ale ja wiem, jak on się czuje.
6082:  I on musi zostać zatrzymany.
6083:  Teraz co?
6084:  Jaki jest nasz następny krok?
6084:  Jako aspektor, on jest prawidłowo nieprzyjacielny.
6086:  Musimy znaleźć jakiś sposób, by go wyjaśnić.
6089:  A co z Garethem?
6090:  Tym C-Secem, który... Tak!
6092:  Tak!
6093:  Gareth!
6095:  Tak, tak!
6095:  Mówił o tym, by zakończyć jego raport.
6096:  Wygląda na to, że był blisko do znalezienia... Oczywiście, że... Mam kontakt z C-Secem, który może pomóc nam przesunąć Garetha.
6102:  Zabacz.
6104:  Zatrzymali Harkina ostatnią godzinę... Nie musisz.
6106:  Nie chcę, żeby prezydent użył twojej przeszłej historii z Sareną jako wypowiedzi, żeby odzyskać wszystko, co nam się wydarzyło.
6112:  Shepard będzie to urządził.
6112:  Nie możesz tylko wyciągnąć kapitana Andersona z tej investigacji.
6116:  Ambasador ma rację.
6118:  Muszę odstąpić.
6119:  Harkin prawdopodobnie pojechał na korę Koras.
6121:  To mały, mały klub w górnej części szpitala.
6125:  Chyba nie ma opcji, żeby mieć angielski i polski napisy, niestety to jest problem z tą edycją Mass Effecta.
6133:  I wytknięto to już.
6135:  Barla Vaughn!
6139:  He's my Paul already!
6145:  Haha, widziałem, że teraz opowie.
6152:  Jak jeszcze staliśmy przed tą paprodką, to on powiedział, nie, nie, musimy znaleźć bezpieczniejsze miejsce.
6159:  Przyszliśmy za paprodkę, od razu się otworzył.
6164:  I oficjalne rekordy po prostu to wszystko osiągnęły.
6168:  Ale ja widziałem jak on funkcjonuje.
6170:  Nie ma świadectwa.
6170:  Czasami tysiąc ludzi musi umrzeć, żeby milion ludzi mogło żyć.
6173:  Ale tylko jeśli nie ma innego sposobu.
6176:  Saren nawet nie szuka innej opcji.
6178:  On jest powstrzymywany, zniszczony.
6179:  Zabijanie inocencji nie ma... Ale tylko jeśli nie ma innego sposobu.
6184:  Nasz ambasador nie wydaje się poradzić z księgiem.
6186:  On jest po prostu frustrowany.
6187:  Chcą nas rozwijać, ale każdy wie, że to tylko kwestia czasu, aż dostaniemy... Jak ambasador myśli, że to będzie szybciej, ale zgodnie z moim zdaniem.
6195:  Kto się martwi, jeśli dostaniemy księgę na księgach?
6200:  Co to ma na myśli?
6200:  Jeśli księgę rozwija się na księgach w Interstellarze, musimy ją podążać.
6208:  Nie mamy władzy, ani politycznych przyjacielstw do rozwiązywania problemów.
6210:  Zabierz ten błąd, w którym jesteśmy teraz.
6211:  Gdyby ludzkość miała miejsce na Kancelarii, po prostu wysyłabyśmy władzę Cytadła, żeby zajmować się Sarenem i jego dziewczyną.
6218:  Problem rozwiązanego.
6219:  Wszystkiego dobrego, Shepard.
6221:  Piękne, że gra zrobiona przez Amerykanów, tutaj otwarcie mówi się o twierdziach cywilnych w trakcie misji służb socjalnych.
6227:  Fakty, ale pamiętajmy, gry są tworzone przez wieloosobowe zespoły, które charakteryzują się różnymi poglądami religijnymi i światopoglądowymi.
6235:  Tak zawsze ostrzega nasz Ubisoft, zanim odpalimy dowolnego Assassin's Creed'a.
6240:  Chociaż i tak to jest lepsze niż to, co mówi Krystyna Czubówna, czy mówiła kiedyś Krystyna Czubówna we wszystkich IMAX-ach, jak trzeba było pouczyć kmiotów, że mają używać okularów 3D, to mówiła, ten sprzęt został wykonany z niezwykłą, jak na taką technologię, precyzją.
6257:  Posługuj się nim z uwagą, kmiocie.
6262:  Rapid Transport, Wards, tam potrzebujemy iść.
6266:  Nora Chory.
6272:  Dzień dobry, jesteśmy w Norze.
6276:  Znaczy, to, to... VET... VET ESCALATED QUICKLY!
6281:  Ja chciałem!
6284:  Posmakuj mojej magii!
6296:  Proszę bardzo, tutaj.
6298:  Świetnie.
6301:  Wołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowołowoł
6332:  Dobrze, dobrze, dobrze, koniec.
6334:  Zaraz będzie moja magia dostępna.
6340:  F5.
6340:  Nie no, zaraz stracimy cały żel.
6351:  Ja tutaj wbijam same headshoty i co?
6354:  Wow.
6358:  Ja tutaj chciałem jeszcze porozmawiać!
6361:  Wiecie co, musimy zdobyć jak najszybciej Medijel, bo inaczej to się źle skończy.
6366:  Czy my możemy się stąd wycofać i kupić Medijel?
6371:  To się ekskalowało szybciej niż windy.
6373:  Aha, to czytałem.
6374:  Dobra.
6375:  Tak się przejąłem, że... ...małem chwilową amnezję.
6380:  Otwórz drzwi, może tutaj będzie Medijel.
6388:  Uff.
6391:  Co tutaj?
6392:  Siedzisz i się lenisz zamiast mi pomóc w walce z asasynami.
6399:  Chcę otworzyć drzwi.
6402:  Mediżel.
6404:  Uszanowanko.
6406:  Szukamy Mediżelu.
6407:  Pasjonujący quest.
6411:  Nasza Ruda Magini umie znakomicie opierać się o różne przedmioty.
6418:  Patrz na mnie, jak do mnie mówisz!
6420:  No lepiej.
6420:  What do you need?
6422:  I've been hunting for evidence of corruptly organized crime on the Citadel, but... I was hoping you might share anything you find during your own investigation.
6432:  I can make it worth your time.
6433:  How do you know that my investigation is... You wouldn't be investigating if it weren't big.
6436:  And if it's big, it's something I'd like to hear about.
6439:  How do you know I'm investigating anything you're asking about?
6443:  I'm a good journalist, Commander Shepard.
6445:  Word gets around.
6446:  Ja gram na normalnym poziomie trudności, tylko że jesteśmy słabą jak kupa Magini, bo każda Magini jest słaba jak kupa na samym początku.
6454:  No, ta dziennikarka jest strasznie irytująca.
6461:  Dobra.
6466:  Nie wiem, jako dziennikarka powinna przemyśleć swój dress code.
6475:  Gdzie ja jestem?
6477:  Jestem w pięknym miejscu.
6480:  Dobrze, co tutaj się dzieje?
6484:  Merchant, tak!
6486:  Daj mi Medi-gel!
6490:  Czemu nie chce ze mną żaden kupiec rozmawiać?
6495:  Świetnie, chcę Medi-gel.
6506:  Właśnie, właśnie.
6511:  Show me what you got!
6514:  Medi-gel.
6516:  Medi... Czemu nie ma... Czemu on nie ma Medi-gelu?
6526:  Co za bezużyteczny!
6528:  Elkos Combine License?
6530:  Mmm, baj.
6533:  To się przyda?
6536:  Ale czemu... Boże, 12 tysięcy.
6539:  Czemu ja nie mam Medi-Gelu nigdzie?
6543:  No i ja właśnie... Myśmy specjalnie robili restart gry na streamie, żeby miało mieć Maginie.
6554:  Klinica i u dr Czapłas.
6560:  Tu jest klinika gdzieś?
6561:  Dobrze, to teraz pójdziemy do kliniki.
6568:  Proszę bardzo, ledwie umiemy strzelać z pistoletu.
6571:  Znamy jeden czar, który polega na pchnięciu, ale już rozdajemy autografy.
6575:  Paka.
6580:  Na Normandii?
6580:  Uuu, niedobrze.
6582:  Uuu, niedobrze, niedobrze, niedobrze, niedobrze, niedobrze.
6585:  Niedobrze.
6586:  Ale wiem, co zrobimy.
6587:  Przekonwertujemy na Medijel następną rzecz, którą dostaniemy.
6593:  Schody w dół.
6595:  Z pewnością prowadzą do jakiegoś fajnego miejsca, w którym absolutnie nic nie ma.
6598:  To znaczy nie ma Medi-Gelu.
6599:  O!
6600:  Ale są salarianie.
6607:  Tyle w temacie.
6610:  To się na Omni-Gel konwertuje, a nie na Medi-Gel?
6614:  Jesteśmy zgubieni.
6618:  Nie mam pojęcia, gdzie idę, ale... Aha, tu jesteśmy, w Corazden.
6622:  Świetnie!
6625:  Dobra.
6626:  Idziemy goli i weseli.
6630:  Ale w sumie, biorąc pod uwagę gdzie idziemy, chyba dobrze jesteśmy wyposażeni.
6640:  Dobra.
6642:  Macie tu Medi-Gel?
6642:  Chcę się sztachnąć Medi-Gelem.
6645:  Wróć, Rex.
6646:  Fizz mówił nam, żeby zabrać cię do domu.
6647:  Rex?
6648:  Czego czekasz?
6649:  Jestem tutaj.
6665:  Chodź tutaj do mnie, mój tanku.
6668:  Dobrze, kto tutaj jest?
6679:  Patron.
6683:  Patron jest dla nas patronizing.
6687:  Można się było upić dla expa?
6690:  Brzmi jak... Brzmi jak dzień z życia studenta albo naukowca.
6702:  To jest oficjalnie najbardziej awkward conversation jaką miała nasza Magini do tej pory.
6710:  Ale cóż, dobrze.
6712:  Z kim mamy porozmawiać?
6714:  Prawdopodobnie tam, gdzie jest wielki wykrzyknik.
6717:  Harkin.
6720:  Czy tylko mnie przeszkadzają lśniące usta każdej postaci?
6726:  Jeszcze raz, zajrzyj, jak wygląda ta Andromeda.
6732:  O, temu nie lśnią usta.
6737:  Przypomina mi się od razu anegdota z Graham Norton Show.
6742:  Graham Norton Show.
6746:  Po polu śniących ust.
6747:  Polecam odcinek, w którym jest ten gość z... może jaką się nazywa, ten słynny... przypomnę sobie za moment.
6756:  Maybe you can help me, don't call me like that.
6758:  Where's Garrus?
