Mass Effect LEGENDARY EDITION Livestream #5
🔗 https://www.youtube.com/watch?v=3_BXiLQwNPc

2:  Zaczynamy.
2042:  Dzięki za info bym się nie zorientował.
2044:  Okej.
2045:  To mi wygląda na jakąś lokację, w której będzie się rozgrywała bitwa straszliwa.
2049:  Przechodzą wybory romansowe.
2050:  Layara ma focha po tym, jak się romansuje z kim innym.
2053:  Mmm.
2054:  Mmm.
2055:  A w dwójce to jest ważne, żeby żadna postać nie miała focha.
2061:  O nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie.
2063:  Rex?
2065:  A my sobie snajpimy radośnie.
2072:  No, niszczyciele są silne, to trzeba przyznać, ale nam to jest niestraszne, ponieważ mamy moc ratować Rexa.
2084:  Dobrze.
2087:  No, tych walk tutaj jest sporo.
2088:  Powiem wam, że gdybyśmy nie mieli tej broni, to nie byłoby tak wesoło.
2092:  Czemu Yennefer strzela w skałę?
2097:  I czemu Geth Prine się tak szybko regeneruje?
2103:  Dobrze.
2104:  Teraz Geth Prime się może regenerować ile chce, bo my go już mamy w naszych sidłach.
2113:  Romans z Kelly Chambers nie liczy się jako romans?
2116:  Dobrze wiedzieć!
2117:  Kelly Chambers to jest ta dziennikarka?
2119:  Nie.
2120:  Nie pamiętam.
2124:  Dobrze.
2129:  Niech ktoś coś zrobi z tą muzyką.
2133:  Czy ja to chciałem zrobić na pewno?
2137:  Nie wiem, czy to chciałem zrobić.
2144:  Spójrzmy, co się dzieje.
2145:  Security room.
2146:  To nie brzmi dobrze.
2148:  To brzmi jak... Dokładna odwrotność security room.
2156:  Security panel.
2158:  Uuu.
2161:  Chodźmy, Seirin już ma początek.
2164:  Musimy go znaleźć, zanim dojdzie do komandera.
2166:  Zobaczmy, czy już go znaleźliśmy, a potem po prostu przechodzimy do kłopotu.
2170:  To jest ten komandera, który musi go znaleźć.
2174:  Czekaj, coś się dzieje.
2179:  Jesteśmy na ilość, tak jest?
2180:  Witam, witam.
2181:  Brzmi, jakby coś się działo.
2184:  Na szczęście mamy ze sobą największego intelektualistę Normandii, czyli Rexa.
2189:  Ta wiadomość musi być 50 tysięcy lat.
2190:  Niestety nie możemy ją zrozumieć.
2192:  Zrozumiałam.
2194:  To oczekiwanie przeciwko inwazji Reapera.
2197:  Niesamowite.
2198:  Cyfra musiała przetransferować zrozumienie języków Protha w twoją myśl.
2204:  Nie jest bezpieczna.
2205:  Szukaj odwagi.
2212:  Ciekawe, czy to jest wiadomość od naszego proteańskiego przyjaciela, którego spotkamy w którymś momencie.
2216:  Ciekawe czy to jest wiadomość od naszego proteańskiego przyjaciela, którego spotkamy w którymś momencie.
2221:  Ciekawe czy to jest wiadomość od naszego proteańskiego przyjaciela, którego spotkamy w którymś momencie.
2239:  Ciekawe czy to jest wiadomość od naszego proteańskiego przyjaciela, którego spotkamy w którymś momencie.
2251:  Poważne sprawy.
2254:  Teraz musimy iść do jakiegoś Security Planner czy nie, do następnej windy z tego co widzę, tak.
2261:  Wróciła fantastyczna, świetnie skomponowana, rewelacyjna muzyka.
2270:  Czy ja oczywiście źle wylazłem?
2272:  Naturalnie, że źle wylazłem.
2277:  Ja mam talent do złego wychodzenia.
2287:  Katana... Zaraz, zaraz, zaraz, zaraz, to jest dobre.
2292:  To jest dobre, czyli tylko to redukujemy do omnijelu, a to bierzemy.
2304:  Tu jeszcze coś mam jako znacznik, a nie, to jest... Oczywiście, że to jest ten mylący znacznik, okej.
2313:  Boże, jak ta lokacja jest źle zaprojektowana!
2321:  Ale przepięknie równocześnie, to jest... Architektura nope, jeżeli chodzi o level design, ale jeżeli chodzi o dekorację, coś wspaniałego.
2335:  Zakładany pancerz. Dziękuję za przypomnienie. Niestety jesteśmy... Ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
2351:  Tłusty kroganin ma jakiś pancerz?
2353:  Nie, tłusty kroganin ma swój własny pancerz, więc jemu zostawiamy, ale nasza kwarianka może mieć lepszy pancerz.
2360:  To jest dobra informacja, bo możemy jej też dać coś, co sprawi, że będzie bardziej potężna.
2366:  Na przykład to.
2370:  A to jest cóż?
2372:  Damage protection.
2373:  Tak, to się też przyda.
2376:  Mam wrażenie, a, Bio Bio by grała Krzysztofem, poziom imersji wyjebał w kosmos, tak.
2383:  To prawda, Bio Bio jest przewodnikiem po świecie Mass Effecta, jako osoba, która wysforowała się naprzód i zaczęła grać w część drugą już, a za moment pewnie w część trzecią, w jakimś chorym przypadku wyścigu z yours truly.
2401:  Swoją drogą, ciekawe, że w Mass Effect 1 reapersi byli niczym tygodniowa apokalipsa, potem się rozciągają w dekady po... O, to jest słuszna uwaga, niekonsekwencja światotwórcza.
2411:  Witam również!
2413:  Za rok będę miał na studiach na UG zajęcia z groznawstwa i aż się nie mogę doczekać.
2417:  Super sprawa!
2418:  Cieszę się strasznie!
2419:  Na Uniwersytecie Gdańskim jest groznawstwo?
2421:  Fajnie!
2422:  Jak ja się cieszę, że się pojawiają groznawstwa wszędzie.
2428:  A, teraz musimy wrócić do Mako, jak znam życie, dobrze.
2431:  Czyli backtracking.
2432:  Wszyscy kochamy backtracking.
2436:  Wszyscy.
2439:  Taral też jest w połowie dwójki.
2441:  No to gratulacje.
2442:  Ja jeszcze długo nie będę.
2447:  Znaczy długo.
2449:  Zobaczymy, jak będzie nam szła dwójka.
2451:  Dwójka troszeczkę lepiej pamiętam.
2452:  O, wraca moja ulubiona mechanika.
2454:  To znaczy strzelania z czołgu, który nie jest czołgiem, tylko pojazdem opancerzonym.
2462:  Ale piękne są te ruiny proteańskie.
2467:  O, wreszcie się muzyka zmieniła.
2471:  Zgadzam się, że trzeba się sycić tą grą.
2473:  Polecam wcześniej zrobić wszystkie lojalnościówki i ulepszenia.
2477:  Zgadzam się absolutnie.
2479:  Bojowy wóz piekota.
2480:  I stand corrected.
2481:  Czy Legion się pojawia w dwójce już?
2484:  Czy w jedynce?
2485:  Ojej, jak to jest ładnie.
2487:  Gdzieś był zoom, ale już nie umiem go używać.
2491:  O, umiem go używać, tylko w złym miejscu.
2505:  Gdy nie wiem jak się to wyłączy, aha, po prostu też kontrolem.
2508:  Ojej, po prostu muzyka masy efektowa teraz nam towarzyszy, jak miło.
2514:  Strzelają do nas również getty, to jest mniej miłe, ale Mako sobie poradzi, bo już wiemy, jak się uleczyć.
2522:  To jest cenna lekcja, którą wzięliśmy z misji, gdzie walczyliśmy przeciwko Racknai, czyli Rachnidom.
2530:  No Legiona tu mi brakuje bardzo.
2531:  Legion to jest jedna z moich ulubionych postaci zdecydowanie z całej trylogii.
2543:  A, tam.
2544:  Ja mogę maksymalizować bronie w jakichś gacha games, jak na przykład w Genshinie.
2549:  Tam jeszcze jestem w stanie to zrozumieć.
2551:  Tutaj?
2552:  Ja tu gram dla fabuły.
2560:  Błagam!
2561:  Błagam, nie!
2563:  No nie!
2565:  Dziękuję.
2567:  I cóż my teraz możemy zrobić?
2571:  Możemy tylko i wyłącznie wyjść.
2575:  Gdyby to był po prostu automatyczny traf, to Saren byłby skomplikowany.
2588:  Co ty myślisz o tym?
2589:  Nie wstrzymaj się twoich doczekań.
2608:  Rex dba o to, żebyśmy byli przerażeni, ponieważ Krogan o niczym innym nie marzy, tylko o tym, żeby się zanurzyć w wir walki.
2616:  Oczywiście za naszymi plecami.
2619:  Mhm, oczywiście.
2630:  Tak samo jak przewidziana była dzisiejsza burza w Krakowie przez meteorologów, mhm.
2634:  Nie czuję żadnej indoktrynacji wśród was.
2636:  Tak samo jak w ostatnich ostatnich czasach.
2638:  Być może wciąż jest nadzieję.
2639:  Czekaj chwilę.
2640:  Jak ja mogę cię zrozumieć?
2644:  Czemu nie mówisz po angielsku?
2648:  Sprytnie, sprytnie, lubię to.
2649:  Otrzymałem wasze komunikacje, odkąd przyjechaliście do tej placówki.
2652:  Przeczytałem moje rozwiązanie do formatu, który będziecie zrozumieć.
2668:  Po raz pierwszy od kilku lat na kulturoznawstwie na Uniwersytecie Gdańskim zostanie uruchomiona specjalizacja o nazwie Kultura Mediów Elektronicznych i Redakcja Stron Internetowych.
2676:  Mega, super, cieszę się strasznie z tego, to jest cudowna rzecz.
2680:  Wykała Pućkaś to jest autentycznie czasownik.
2682:  Tak, zgadzam się.
2684:  Może jakiś program inteligencji artystycznej?
2706:  Jestem przemieszczonym systemem analizy nieorganicznej, czyli AI.
2716:  Czyli znowu naukowcy do wszystkiego doprowadzili.
2718:  Musisz zniszczyć cykl, który kontynuował się przez miliony lat.
2720:  Ale żeby go zakończyć, musisz zrozumieć, czy zrobisz te same błędy, które my zrobiliśmy.
2728:  Cytadla jest sercem twojej cywilizacji i siedzeniem rządu.
2732:  Tak jak była z nami i tak jak była z każdą z naszych cywilizacji.
2738:  Ale Cytadla jest trupem.
2740:  Stacjon jest w rzeczywistości wielkim relajem masowymi.
2745:  Który łączący się do Ciemnej Sprawy.
2747:  Piękny otwór poza horyzontem galakcji.
2750:  Kiedy relaj Cytadla jest aktywowany, Reeperzy pójdą przez niego.
2755:  I wszystko co wiesz, będzie zniszczone.
2763:  Jak u mnie wyglądały od zajęcia zgroznawstwa?
2766:  Już mówię.
2782:  Prowadzę na AGH trzy przedmioty groznawcze.
2785:  Jeden to jest światotwórstwo w grach komputerowych, drugi to będzie w tym roku uruchamiane Introduction to Game Studies i to będzie takie wprowadzenie do groznawstwa jako dyscypliny.
2794:  Następnie zajęcia na informacji społecznej, sprojektowania fabuł w grze komputerowej i sprojektowania świata w grze wideo, czyli to są takie zajęcia z narrative designu i story designu.
2804:  No a pozostałe to są zajęcia fakultatywne, bo jeżeli chodzi o specjalność groznawcza czy kierunek, to jeszcze będzie on dopiero uruchamiany.
2812:  Jak reaperowie przetrwają w ciemnym świecie?
2815:  Nie pamiętam tego z lore'u, swoją drogą.
2817:  Uczniowie tu przyszli wierząc, że reaperowie wchodzą w dłuższe stacje inaktywności.
2822:  To pozwala im przetrwać tysiące i tysiące lat, które kosztuje dla cywilizacji organicznej, żeby odbudować się.
2827:  Wytrzymając się poza góry galakcji, ubezpieczają się, że nie znalazły ich.
2837:  I taką miałem ogromną nadzieję, że Mass Effect 4 właśnie pozwoli nam na przykład udać się tam, skąd pochodzą Reapersi.
2844:  Boże, jakie to byłoby cudowne, a dostaliśmy Andromedę.
2849:  Groznawstwo na AGH to jest potwierdzone info.
2851:  Tak, jest planowana taka specjalność na studiach, jeszcze nie wiemy jakich i kiedy, ale tak na pewno jest planowana.
2857:  Hmm...
2863:  Idziemy w narrację Admirała Agbara.
2866:  Tak, Mass Effect daje taką możliwość jak najbardziej.
2872:  To jest ważny wątek.
2890:  Przez następne dekady, Reaperzy systematycznie obliczyli naszą ludność.
2895:  Świat po świecie, system po systemie.
2898:  Metodycznie wyłapali nas.
2902:  Niektórzy z was musieli wycofać się.
2905:  Przez Cytadlę Reaperzy mieli dostęp do wszystkich naszych rekordów, map, data sensu.
2909:  Informacja to moc, a oni wiedzieli wszystko o nas.
2915:  Wiedza jest siłą.
2916:  Niektóre świata zostały całkowicie zniszczone.
2919:  Inni zostały zniszczone, ich populacje zniszczone.
2922:  Te teorie indoktrynacji zostały zniszczone pod kontrolą Reapa.
2927:  Teorie indoktrynacji zostały zniszczone.
2929:  Teorie indoktrynacji zostały zniszczone pod kontrolą Reapa.
2937:  W kilku wiekach rociarze zabiły lub zwolniły każdego Prothe'a w galakcji.
2941:  Byli bezwzględni, brudni i absolutnie skomplikowani.
2948:  Nie rozumiem.
2949:  Gdzie rociarze poszli po zaskoczeniu waszych ludzi?
2952:  Nasze świata zostały wyczerpane, wywołane przez zwierząt indoktrynowanych.
2959:  Wszystko wartościowe, wszystkie zasoby, wszystkie technologie zostały zdobyte.
2963:  Ciekawe, że wszystkie rozwinięte, organiczne życie zostało zniszczone.
2966:  Reapery wróciły z powrotem przez relację Cytadela, w ciemny świat.
2969:  Wszystkie dowody o inwazji Reapera zostały wyczerpane.
2973:  Tylko ich zwierząt indoktrynowanych zostali poza nimi, zniszczonymi.
2979:  Ok.
2979:  Nie genocide, tylko xenosite powinno być.
2983:  Genocide to jest ludobójstwo.
3009:  W końcu, co to ma znaczenie?
3011:  Twoje przetrwanie nie ma znaczenia, żeby ich zatrzymać.
3016:  Dobra, jak ich zatrzymać?
3018:  Kończymy.
3019:  Powiedz mi, co muszę zrobić.
3022:  Częstość jest kluczem.
3024:  Przed atakami Reprotheanami byliśmy na górze... Omnisite, ładne.
3031:  Chat jak zwykle przoduje w byciu kolektywną jaźnią Loremistrzostwa.
3040:  Chciała wiedzieć Yennefer Shepard.
3056:  Aby utrzymywać wsparcie, wszyscy byli przenoszeni do stacji kriogenicznej.
3061:  Miałem programowanie, aby monitorować stację i odczuwać pracowników, kiedy przeszło niebezpieczeństwo.
3068:  Ale zniszczenie całej specjali jest dłuższym, powyższym procesem.
3074:  Człowieki przeszły, dekady, wieki.
3076:  Reapy przetrwały, a moje rezerwy energii odpoczywały.
3079:  Jak wyżyłeś?
3084:  Zacząłem opuścić wsparcie życia nieistotnych personelów.
3087:  Najpierw wsparcie, a potem wsparcie.
3090:  Kiedy chciałem, ich podłogi zostały zamknięte w obszarze energii.
3093:  W końcu tylko podstawowe podłogi najwyższych naukowców pozostały aktywne.
3097:  Było tam tysiąców podstawowych podłog.
3099:  Zatrzymałeś je?
3101:  Zabijesz ich?
3104:  Byłeś programowany, by ich opiekuć, a nie zabić ich.
3111:  To nie było całkowicie nieprzewidywalne.
3114:  Moje działania powodowały, że programy kontyngencyjne weszły na moje stworzenie.
3120:  Będę wiedział, że nie opowiedzieli o tej kontyngencyjnej.
3123:  Użyłem kluczowych personelów.
3126:  Kiedy się odzyskaliśmy, najwyżsi naukowcy byli wciąż życi.
3129:  Kiedy naukowcy uciekli, zauważyli, że roślina Prothean została zniszczona.
3134:  Zostało tylko kilkanaście osób.
3136:  Zbyt mało, żeby utrzymać wyjątkową populację.
3141:  Jednak wierzyli, że znajdą pewien sposób, by zatrzymać rządzących od wrócenia.
3143:  Sposób, by zniszczyć cykl na zawsze.
3144:  I wiedzieli, że Rządzący są kluczem.
3145:  Jeszcze nie rozumiem, co tu się dzieje.
3146:  Dlaczego Saren próbuje znaleźć Konduit?
3148:  Konduit daje mu dostęp do Cytadeli i Rządzących.
3168:  Uczniowie są kontrolowani przez Cytadę.
3170:  Przed każdą inwazją, sygnał jest wysyłany przez stację, zaskoczającą uczniów do aktywacji relatu Cytadę.
3176:  Wtedy, pod względem niebezpieczeństwa, naukowcy odkryli sposób, by zmienić ten sygnał.
3183:  Używając kontynuacji, otrzymali dostęp do Cytadły i robili te modyfikacje.
3189:  W tej chwili, kiedy Uczniowie wysyłali sygnał do Cytadły, uczniowie go nie zauważyli.
3193:  Uczniowie są zatrzymani w mrocznej przestrzeni.
3198:  Saren może używać konducji, aby przeprowadzić wszystkie zewnętrzne bronie Cytadela.
3203:  Dokładnie.
3203:  I kiedy będzie wewnątrz, będzie mógł przenosić kontrolę stacjonarstwa do Sovereigna.
3208:  Sovereign będzie przechowywał systemy Cytadela i mianowicie otworzył relaj.
3213:  I cykl ekstynkcji rozpocznie się znowu.
3216:  Zatrzymam się, Saren.
3219:  Powiedz mi, jak.
3220:  Zabierz kopię, kiedy pójdziesz.
3223:  Kiedy dojdziesz do Cytadeli, to zniszczy protokoły bezpieczeństwa Cytadeli i da ci czasowy kontrolę stacji.
3230:  Czekaj.
3230:  Gdzie jest unika kontroli głównych w Cytadeli?
3234:  Przez kondykt.
3235:  Podążaj za Saren.
3236:  Będzie prowadził cię do twojego postępowania.
3242:  A jeszcze popytamy go.
3244:  No i Yennefer ma niesamowity wytrzeszcz.
3246:  To jest kwestia silnika.
3249:  Nie wiem, co się z nimi stało wtedy.
3251:  Nienawidzę, że oni znaleźli żadnego jedzenia lub wody na stacji.
3255:  Tylko wiem, że skończyli ich misję, by zamknięć relaj.
3259:  Twoja obecność tu pokazuje, że ich skarb nie był w celu.
3265:  Więc kiedy wywodnicy stworzyli Cytadel, to oni stworzyli też Zbierców?
3271:  Najprawdopodobniejszym scenariuszem jest to, że Zbiercy byli jedną z najpierw odwiedzonych cywilizacji.
3277:  Być może najpierw.
3277:  Być może dobrze odpowiadali na indoctrynację.
3279:  Wszystkie Różnicy po prostu stworzyli ich, aby być obojętni.
3283:  W każdym razie, ale Księżnicy nie są już odwrotnie kontrolowane przez Różnika, czy jego księgę.
3288:  Kiedy Prothians zmieniali sygnały Cytadela, zniszczyli księżnicę za Księżnika.
3294:  Teraz są całkowicie nieprawidłowe.
3296:  Różnik musiał zauważyć, że organizmowe rasy były trudne do kontroli.
3302:  A likely hypothesis.
3304:  The Keepers evolved in an unanticipated direction.
3308:  Non-organic servants like the Geth would be more predictable.
3311:  I Legion to zrozumie.
3313:  Swoją drogą, bardzo podobny motyw kogoś, kto jest uciśniony i kontrolowany przez, w tym wypadku, Czarnoksieżnika, jest w tiganie Gaia Gavrila Kea.
3325:  I to, jak to jest opisane, mistrzostwo absolutne.
3333:  Hmm... A co z biekanem na Eden Prime?
3335:  I tym na Vermeier?
3336:  Dla czego to było?
3337:  Vermeier, okej.
3338:  To jest Wirmier, umówmy się.
3341:  Używaliśmy ich jako jednego, rozdzielczo rozwiniętego zespołu, aby przenosić dane i komunikacje szybko, od świata do świata.
3348:  Prawie wszystkie biekany zostały zniszczone podczas inwazji.
3353:  Ale po tym, jak wypadkowie zniszczyli się, mieszkańcy tutaj, na Ilos, zdecydowali się przesłuchać wysyłania wiadomości.
3362:  Wiedzieliśmy, że to niemożliwe, że są tam inni przebywacze.
3367:  Ale jeśli są, to chcieliśmy, żeby wiedzieli o Ilos.
3372:  Znaczy, Yennefer mogłaby wygrać w castingu na żonę Lotta, w tym momencie całkowicie nieruchomo słucha naszego radosnego posłańca.
3381:  W rzeczywistości, nie oczekiwaliśmy, żeby żadne z biegunów wciąż funkcjonowały, ale musieliśmy spróbować.
3388:  Jeśli są przebywacze, musieliśmy ich dotrzeć.
3393:  Ta wiadomość była dla naszego ludu.
3394:  Była kodowana tak, żeby tylko ludy organiczne mogły ją pojęć.
3397:  Nigdy nie zauważyliśmy, że mogłaby prowadzić agent maszyn, jak Saren, do tego świata.
3400:  Ale to też zaprowadziło cię tutaj.
3402:  Więc może to nie jest dla nas wszystko.
3403:  Saren, to już wystarczy na wkrótce.
3404:  Zabierz ten filet daty i chodźmy.
3415:  Nie.
3423:  Yennefer jest bohaterką po prostu drugiego planu dzisiaj, mimo że powinnaś być bohaterem pierwszego planu.
3430:  Dobra, musimy się OCZYWIŚCIE cofnąć.
3433:  Mam nadzieję, że teraz ktoś nas radośnie przeteleportuje dalej.
3439:  Tigana, najbardziej magiczna powieść Kaja, moim zdaniem, dosłownie i w przenośni.
3442:  Gobelinowi jednak brakuje tej maestii narracyjnej.
3445:  No, Fianowarski Gobelin jest najwcześniejszą powieścią Kaja i to czuć.
3449:  Jest też bardzo takie podstawowe światotwórstwo tam.
3458:  I believe you.
3459:  Magia wymaga poświęceń.
3460:  Tak jest, absolutnie.
3488:  O, tak, widzę czerwone znaczniki, a to oznacza... To jest piękne, że można strzelić absolutnie na oślep i trafić getta.
3498:  F5.
3500:  Nie chciałbym musieć... Uuuuhuuu!
3505:  O nie, znowu dostajemy techno.
3508:  To jest techno, przy którym się bawią getty.
3510:  Ewidentnie.
3515:  Boże, pamiętam.
3516:  To jest akurat sekwencja, którą... Nie!
3519:  Nie mógłbym grać w Deluxe Sky Jump.
3522:  To jest sekwencja, którą pamiętam.
3529:  Bardzo ciekawie jest u Kaja to, że historia Fianna Varu powtarza się w każdym tomie, rozchodzi się jak kręgi po wodzie, coś jak światło u zelaznego i Fianna Var jest przywołany w każdej... Serio Fianna Var jest przywoływany?
3537:  Nie pamiętałem tego!
3542:  albo nawet w ogóle nie zauważyłem tego, że jest przywoływany, bo pamiętam, że powieści Kaya łączą się w tym, bardzo często, dobrze, pamiętam, że mam przejeżdżać getty, łączą się pewnymi odniesieniami do na przykład takich sam ciał astronomicznych, czyli dokładnie taki sam zabieg światotwórczy, jak zrobił Sanderson w Kosmir całym,
3562:  Wszystkie powieści Sandersona się też odwołują do pewnej wspólnej puli danych i w ten oto sprytny sposób tworzony jest jednolity świat, który łączy wszystkie inne drobniejsze światy przedstawione.
3576:  Dobrze, to truchło jest nam niepotrzebne, ale nie wiedziałem, że Kai też to robił właśnie w tym wymiarze.
3581:  Bardzo interesujące.
3584:  No już czas jakiś temu czytałem kajale, pozostawiło na mnie niezatarte wrażenie.
3588:  Tigana, Lwy Alrasanu i Sarantyńska mozaika.
3592:  Ja jeszcze lubię bardzo Pieźń dla Arbon, bo tam są wykorzystane motywy prowansalskie, a to jest rzadka rzecz w naszej kulturze.
3599:  Przytulił się do Mako.
3600:  Tak, plugawy gett usiłuje zyskać względy naszego pojazdu opancerzonego, ale to nic.
3610:  Musimy jak najszybciej wyjechać z tego tunelu, bo ja dłużej nie zdzierżę tej muzyki.
3615:  Czemu nie mogę zapisać?
3618:  Chcę teraz zapisać.
3619:  Nie mogę zapisać dlatego, że nas atakują wrażegety.
3625:  Ooo... Cudowna sprawa.
3632:  Mniej cudowna sprawa to jest to, co dzisiaj wyprawia Mako.
3636:  Jest tak krnąbrny dziś, jak nigdy.
3640:  Czy ja dobrze widzę, że źle...
3643:  Tak, my teraz źle, źle jedziemy.
3648:  Czym są motywy prowansalskie?
3649:  W pieśni dla Arbon... Generalnie tak.
3652:  Guy Gavriel-Kai ma taką zasadę światotwórczą, że każdy swój świat, mimo że to jest świat fantastyczny, opiera na innych inspiracjach.
3662:  W Tiganie są to inspiracje...
3664:  XVI-wiecznymi Włochami mniej więcej i walką Ghibellinów i Gwelfów.
3668:  W Lwachar Rassanu chodzi o Hiszpanię epoki cyda i walki islamu, chrześcijaństwa i judaizmu, natomiast w Pieśni dla Arbon są te realia dworu między innymi w Prowansji i tej tradycji literackiej, miłości dwornej, pisania tych eposów arturiańskich, romansów rycerskich i tak dalej, jest to przepięknie odmalowane.
3697:  Dobrze jedziemy?
3698:  Dobrze jedziemy.
3699:  Błagam, powiedzcie mi, że dobrze jedziemy.
3705:  Nieprzeczytane wiadomości.
3706:  Przepraszam, ale tu się dzieją rzeczy.
3707:  Mam wrażenie, że gdyby przeanalizować fabuły i postacie, okazałoby się, że każdą z nich można odnieść do schematu i archetypów z Gobelinu.
3713:  Dlaczego znowu Mako robi rzeczy?
3723:  Wyżej jeszcze jedna.
3726:  No nie no, serio, co się dzieje?
3734:  Mako wcale nie jest zaparkowany na żadnym terenie!
3740:  Dobrze.
3742:  Mam nadzieję, że już nic nie opuściłem.
3745:  Teraz jedyna rzecz, którą mogę opuścić, to już jest... Wiecie co, ja mam wrażenie,
3750:  Tak, śliski kock, zdecydowanie.
3751:  Widzicie co, ja mam wrażenie, że myśmy tutaj byli.
3754:  I ten znacznik nas oszukał.
3757:  To znaczy, my mamy jechać tu.
3762:  Nie, serio, już nie wiem.
3763:  Naprawdę, rozwścieczy mnie, jeżeli Mass Effect pokazuje mi zły znacznik po raz kolejny.
3769:  Mako!
3775:  Teraz nie jestem w stanie jechać do przodu.
3778:  Dobrze, dziękuję.
3782:  Come on!
3784:  Skajowszczyzny, jest jeszcze dialogia chińska i dwa razy Bałkany.
3787:  Bałkany?
3788:  O, proszę.
3789:  O, proszę.
3796:  Tak!
3797:  Oczywiście, że pojechałem w złą stronę.
3799:  Nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie.
3802:  Po prostu level designer tutaj powinien zostać oficjalnie zwolniony.
3806:  Ja nie mówię o tym level designerze, który to zaprojektował 10 lat temu, tylko o tym, który robił mapę teraz na nowo.
3814:  Nie robi się takich rzeczy.
3819:  Come on, jak można umieścić znacznik z tyłu?
3823:  To nie ma żadnego sensu.
3828:  Staby... Pierwsza zasada level designu, że trzeba aktualizować znaczniki, zwłaszcza jeżeli... zwłaszcza jeżeli to jest... główna misja.
3843:  Ale to, swoją drogą, tylko Krzysztof potrafi się zgubić w liniowej misji z punktu A do punktu B. Nie ma sprawy, stream dla wszystkich, którzy nie mogą być w całości, będzie nagrany jak zawsze.
3864:  Tak?
3870:  Mam nadzieję, że w końcu dobijemy do kresu tej radosnej mapy.
3875:  Zobaczcie, jak złośliwie jeszcze pokazują nam ten znacznik teraz z prawej strony, żeby człowiek myślał, że źle jedzie, nie?
3884:  Nigdy więcej nie popełnię tego błędu.
3889:  Dzieci Ziemi i Nieba dzieją się w realiach powstania chłopskiego w Chorwacji przeciwko Wenecjanom.
3894:  Wow!
3894:  There!
3894:  The conduit!
3894:  It's incredible!
3899:  Nie mamy czasu, żeby podziwiać widok.
3901:  Musimy przejść przez ten relaj.
3902:  I te dziewczyny nie będą nam łatwiejsze.
3943:  Dobra, robię imersję.
3948:  Aktywuj defensy, zamknij stację!
3949:  Armii się nie ruszają, system nie reaguje.
3955:  Zabierz Cytadł!
3956:  Ewakuuj kancelę!
3957:  Cytadł kontroli!
3959:  Cytadł kontroli, czy to zrozumiesz?
3971:  Przepiękna scena, absolutnie... Biegnie... NAPRZUD!
3983:  Niszczyć getty!
3992:  Przejechany gett!
3993:  Przejechany drugi gett!
3998:  PENDEM!
3999:  10, 9, 8, 7... Jest.
4000:  Udało się.
4000:  Ooo...
4029:  Mako!
4031:  Ja chcę strzelać z Mako do getów!
4036:  Czemu nie mogę strzelać z Mako do getów?
4040:  Jennifer Shepard skonfundowana.
4045:  Taktyczny save.
4051:  Czasem zdarza mi się zauważyć znaczniki na minimapie, to jest... Aviana nie chce z nami rozmawiać.
4065:  Won.
4068:  Bardzo dobrze, tłusty kroganinie, bardzo dobrze.
4078:  Ale to jest, to jest, to jest piękne, ponieważ tłusty kroganin, to jest piękne, ponieważ w ten sposób tłumaczyło, dlaczego Mako jest niedostępny.
4086:  Chyba, że jest dostępny w dwójce, bo tego nie pamiętam.
4089:  Chyba nie jest dostępny.
4098:  Nie pozwól, żeby przeciwnik miał szafy w rękach.
4192:  Przepiękna sprawa.
4193:  Uwielbiam tę walkę, która tu jest.
4197:  Pamiętam, że taka scena robiła niesamowite wrażenie.
4209:  Boże, czyste piękno.
4212:  Teraz mam po widoki z... Imperium kontratakuje.
4223:  Okej, tego w ogóle nie pamiętałem.
4228:  Na czacie tymczasem dyskusja o czołgu.
4231:  Nie skupię się, albowiem tu się dzieją bardzo poważne rzeczy.
4235:  Ojej, przepiękne.
4237:  Uwielbiam pomysły związane z zmienianiem rzutu perspektywicznego.
4242:  No, wspaniałości.
4246:  Biegniemy.
4253:  Hmm... Gef Trooper.
4258:  Troopers ready for action.
4267:  Kto w nas śmie strzelać?
4271:  Gef rakietowy śmie w nas strzelać.
4273:  Koniec z gefem rakietowym.
4277:  Proszę bardzo, proszę bardzo!
4280:  Jak walczymy, z jaką odwagą, kompletnie nie używając żadnej magii, niestety!
4286:  Ale to się zmieni.
4296:  Bardzo dobrze.
4305:  Jako że wychodzi, że mamy sztuczną grawitację w butach i dopiero teraz jej używamy, a wcześniej musimy naprawiać windy i tego typu sprawy.
