Mag prochowy wyrusza na Zachód | RED DEAD REDEMPTION 2 Livestream
🔗 https://www.youtube.com/watch?v=ksSGS9kAvK4

4:  Witajcie świątecznie dalej.
4337:  Tutaj po prostu widać, pisze Promet, że tak mógłby wyglądać dziennik takiej postaci.
4341:  Rozwija lore, dodaje klimatu, ale nie psuje imersji.
4343:  To nie jest suchy tekst w glossariuszu, tylko dokładnie tak.
4346:  Nie ma tego nieszczęsnego interfejsu nakładkowego, nie?
4351:  Tylko właśnie interfejs diegetyczny, osadzony w świecie gry.
4354:  Nie no, wspaniałe to jest absolutnie.
4357:  Zaczynam rozumieć zachwyty i to tak w pełni.
4360:  Na fejsie jak linkowałem ten live, to sobie zażartowałem, no zobaczymy co z tym Red Deadem.
4365:  No to zobaczyliśmy.
4368:  W porządku, Dutch?
4368:  Dziękuję.
4394:  Dziękuje, że powróciłeś do mnie, John.
4397:  W końcu trochę relikwii.
4398:  Błagany jest, ale będzie w porządku.
4401:  Mam nadzieję.
4405:  Jak się czujesz, Jose?
4405:  Czuliście dużo.
4406:  To zimno.
4423:  Dziękuje, że powróciłeś do mnie, John.
4426:  Oczywiście.
4426:  Chodź.
4451:  Witamy się z Molly.
4461:  Jaki trunek w szklanicy?
4463:  Oberlauer.
4465:  Dwunastoletni.
4466:  Dwunastoletnia w zasadzie.
4470:  Wasze zdrówko.
4472:  O tak, czuję klimat.
4473:  Coś myślę, że whisky będzie stałym gościem przy streamach z Red Deadów.
4478:  Muszę pamiętać potem, żeby wypić dwa razy więcej wody.
4482:  I w ten sposób dopiero... Czy wy widzicie te promienie?
4487:  Pierwszy raz w życiu widzę ten sam efekt przy wychodzeniu z budynku jak w świecie.
4495:  Pierwszy raz w życiu coś takiego widzę.
4499:  Żeby słońce oślepiło.
4501:  To jest poziom arcymistrzowski, jeżeli chodzi o design świata.
4508:  Właśnie design, nie?
4509:  Bo światotwórstwo to swoją, ale...
4513:  Wszystko w porządku.
4516:  Teraz jesteś bezpieczna.
4521:  Będzie w porządku, Arthur.
4523:  Jestem pewien, że będzie w porządku, Mary Beth.
4531:  Zrobiłaś to co mogłaś z tym miejscem, Pani Grimshaw.
4534:  To może być gorsze, pod względem okoliczności.
4538:  Nie ma wątpliwości.
4540:  Bądźcie gorący.
4541:  Wszyscy.
4541:  Bądźcie gorący.
4543:  Jeszcze kilka dni i wychodzimy z tej góry.
4546:  Mam nadzieję.
4546:  Bądźcie silni.
4547:  Były to niebezpieczne kilka dni.
4549:  Wiem.
4549:  I mieliśmy trudne czasy wcześniej.
4552:  Bądźmy ruchliwi i bądźmy razem.
4554:  Tak samo jak zawsze.
4556:  Wszyscy.
4558:  Czy nie tak, panie Morgan?
4559:  Oczywiście.
4566:  Tilly nie chce z nami rozmawiać.
4568:  Czasem jest... o, czasem jest wyszarzone to, okej.
4569:  Wiem.
4570:  Będziemy w porządku.
4571:  O, przepraszam.
4573:  Czy nie wiedziałeś, czy nie słyszałeś, czy nie powiedziałeś ci od początku?
4595:  Czy nie zrozumieliście podstawy ziemi?
4603:  Czy to On, który siedzi na okolicy ziemi, a mieszkańcy niej są jak wioski?
4609:  Który rozprzestrzał wieje jak okno i rozprzestrzał je jak pokój, który nie przywołuje królów do niczego?
4625:  On sprawia, że wierzący na ziemię są w tajemnicy.
4629:  Jej!
4631:  Nie zostaną stworzone.
4633:  Jej!
4634:  Nie zostaną założone.
4637:  Jej!
4638:  Nasze rzucenie nie zabierze rzutu na ziemię.
4640:  I on też się na nich wyrzuci.
4644:  On się wyrzuci i światowy wind ich zabierze jako stówkę.
4650:  Przez Sigma.
4652:  Nie mam komentarza.
4678:  To był dobry stream, do zobaczenia.
4708:  Wciąż daje siłę do wierzących, a do tych, którzy nie mają siły, zwiększa ich siłę.
4711:  Nawet młodzi będą wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący, a młodzi wierzący
4740:  Pastor przejął streama.
4750:  To dziecko będzie miał postrzał szyi.
4758:  Teraz oficjalnie mogę się już ubiegać o dotację z Ministerstwa Kultury i Dziedzictwa Narodowego.
4765:  Było kazanie na streamie.
4768:  Jest religijnie
4773:  Z drugiej strony trochę szkoda kręgosłupa moralnego.
4783:  Czy możemy porozmawiać ze Strausem?
4785:  Tak.
4798:  Jestem w niebie, naprawdę.
4800:  Jeżeli myśleliście przez jeden moment, że ja przez tę grę będę speedrunował, to mnie nie znacie.
4805:  Czy możemy zrobić mu tracheotomię?
4810:  Nie.
4828:  Zero na dziesięć.
4833:  Co to jest ten symbol na mapie?
4835:  Muszę... Zaraz, zobaczymy sobie, czy mi to wyjaśnią.
4839:  A, koń, okej.
4842:  Nie powiedziałbym w życiu, że to jest symbol konia.
4846:  Dobrze.
4848:  Idziemy dalej.
4852:  I widząc tę grafikę pisze Marcin, zastanawiam się, czy realistyczna grafika staje się przekleństwem branży zamiast atutem.
4857:  Nie, myślę, że nie.
4858:  Myślę, że to jest po prostu coś, do czego się musimy przyzwyczaić, że to powinno być standardem, a nie czymś, nad czym się będziemy zachwycać, że to jest w ogóle jakieś nieprawdopodobne.
4868:  Zawsze jest tak, że jak sztuka osiąga pewien poziom, to potem już można grać z konwencjami i to jest fajne.
4875:  Good morning.
4876:  Morning, Arthur.
4877:  Morning, morning.
4883:  O, chłopie, dobrze.
4883:  Myślałem, że podobało się twoja akcja.
4885:  Kilka dni na ramie, a wy wszyscy się zmienili w zielonych.
4888:  Poza tobą, oczywiście.
4890:  Ustać, Micah.
4891:  Nigdy nie widziałem tak wielu długich twarzów.
4896:  Myślę, że... Myślę, że ludzie ich przegapili.
4899:  Przegapili?
4901:  Ale kiedy ja pójdę, nie chcę żadnego kłopotu.
4905:  Kiedy ty pójdziesz, będzie tam partia.
4911:  Prawie.
4912:  Prawie.
4912:  Śmieszne, co?
4913:  Z pewnością.
4913:  Nie czuję się tak, jakbym został uśmiechnięty przez twoich dwóch.
4922:  Zatrzymaj się!
4924:  Teraz!
4925:  Ty, żołnierze, puszczą się z sobą, kiedy Komu, Driscoll, nie musieli puszczać?
4929:  Ciężko?
4930:  Chcesz siedzieć i czekać, aż nas znajdą?
4932:  Wszyscy z wami.
4933:  Mamy dużo pracy.
4934:  Chodźmy!
4935:  Jesteś pewien o tym, Dutch?
4937:  Tak.
4937:  Ludzie spędzili dużo ostatniego.
4940:  Jeszcze nie wrócili na nas.
4941:  I ostatnie co potrzebujemy, żeby Komo Driscoll zniszczył nas.
4944:  Idziemy.
4945:  Wiem, że go nienawidzisz, Dutch.
4946:  Jest tutaj dla nas.
4947:  Wątpię w to.
4947:  Nie.
4948:  Tylko mnie wątpisz.
4949:  Nigdy nie wątpię w ciebie, Dutch.
4951:  Ty... Zawsze mówiłeś, że zemsta jest kosztem, który nie możemy zapewnić.
4957:  To odpowiedni telefon, Arthur.
4959:  Weź to.
4962:  I to jest o wiele więcej, niż odzyskiwanie biznesu dawno temu.
4968:  Mówili o samochodach i detonatorach.
4972:  Tu.
4972:  Colm zawsze miał dobre informacje.
4976:  Chodź.
4977:  A ty myślisz, że teraz jest odpowiedni czas, by zniknąć samochodem?
4982:  A ty, mój szalik, żyjący na krowiach i krowiach?
4986:  Zostałem za młody w tej życiu.
4988:  Panie Matthews, panie Smith, panie Pearson.
4992:  Proszę, popatrzcie na miejsce, w którym odrzyskują O'Driscoll.
5000:  Co tu się dzieje?
5002:  Widzę wszystko co piszecie, tylko nie chcę psuć imersji, nie czytam.
5020:  Nie no, to co tu się dzieje z dubbingiem, tylko potwierdzam i to co zawsze powtarzam, gra wideo jest medium audiowizualnym.
5025:  Musi być voice acting.
5027:  Musi być.
5030:  Co to było?
5030:  Traki, orki, wiele z nich.
5056:  Z tego co wiedziałem, jedyni złodzieje tu są my i oni.
5061:  Muszą być w ten sposób.
5062:  Wszystkie postacie zostawiają ślady.
5063:  Jesteś w porządku, Dickie?
5064:  Oczywiście.
5064:  Słuchaj, wiem, że nie myślisz dużo o moich pomysłach ostatnio, ale to jest odpowiedni ruch.
5066:  Okej.
5066:  Wiesz, że mam twoje odpływy.
5069:  Długo temu się dowiedziałem, że zniszczyłeś Colmo Driscoll.
5079:  Czekaj na niego i ludzie, których kochasz, umarną.
5086:  Ta konflikt pomiędzy tobą i nim musi zostać zakończona.
5087:  Jednym czy innym sposobem.
5089:  Będzie tak.
5093:  Niektóre rzeczy nie mogę zaprzeczyć, a inne nie mogę zaprzeczyć.
5105:  Co zrobił z Hannabellem?
5106:  Nic nie mogę zrobić.
5107:  Zabiłeś jego brata, Dutch!
5108:  Tak, to zrobiłem.
5108:  I mam nadzieję, że ci chłopaki zakończą się wkrótce.
5120:  Tak to będzie wyglądało.
5123:  Dokładnie tak, szefie!
5125:  Widzisz ten smog?
5131:  Jak się potrąci drzewo, to spadnie śnieg.
5135:  Powiedzieliśmy, że jest blisko łóżka, więc... Czy jesteś pewien, że to jest odpowiedni sposób?
5142:  Tak.
5147:  Tak, Red Dead sprawił, że Krzysztof się zamknął wreszcie, tak.
5153:  Dajcie spokój.
5157:  Nie ma dymu bez ognia.
5161:  Z tym dialogiem krzyczonym o normalnym to jest raczej norma w grach AAA?
5163:  Mhm, powiedzcie to Redom i Cyberpunkowi.
5166:  Jesteśmy cholernie gotowi.
5168:  Gotowi, Dutch.
5169:  Dobrze.
5170:  Teraz...
5177:  Witamy Piotra w gronie Trybutariuszy, dzięki serdeczne Piotrze.
5184:  Już widzę, że czaty się zajamniczyły stosownie.
5206:  Nie, nie, nie przeszkadza mi brak magii ognia.
5209:  Ta gra pozwala mi na roleplay w dostatecznym stopniu.
5213:  Wystarczy mi, że jestem JP Morganem.
5216:  Magiem prochowym.
5219:  Git.
5220:  Proszę, da się zrobić mapę, która jest intuicyjna bez wielkiego napisu na interfejsie z obiektywem.
5226:  Da się.
5256:  Cześć, Bartku.
5258:  Long time no see, chociaż w tej postaci.
5260:  Witaj.
5262:  Cieszę się, że dołączyłeś do nas.
5270:  Co on mówi?
5272:  Nie wygląda na to zbyt szczęśliwy.
5275:  Nie.
5275:  Wychodzą?
5283:  Wygląda, że tak.
5283:  Czy powinniśmy ich zabrać?
5285:  Nie.
5285:  Kone może się doczekać.
5288:  Najlepiej, żeby ich pojechać.
5304:  Żabcia pisze, że żaba kocha śnieg, idealna urodzinowa gierka.
5307:  Mamy kolejną osobę obchodzącą urodziny.
5309:  Czaty, zajamniczcie się dla żabci.
5312:  Możecie się też zażabcić dla żabci.
5316:  Broń, która nie została przydzielona, została przed zejściem z konia, zostanie przy jukach.
5321:  Okej.
5323:  Muszę się do tego wdrożyć.
5328:  Dlaczego nasz koń nie jest biały?
5329:  Chciałbym białego konia.
5334:  Ok.
5337:  Rewolwer.
5338:  Dobra, bierzemy rewolwer.
5341:  Czy nie możemy mieć... Czy nie możemy mieć większej liczby broni?
5344:  To jest pytanie.
5346:  Pięści nie.
5347:  Lasso.
5348:  Ojej.
5352:  Karabinek powtarzalny.
5356:  Okej.
5360:  A, i teraz jest tak, że... A, możemy mieć też rewolwer, dobra, czaję.
5372:  Wygląda na to, że najłatwiej jest podjąć ten sam drogę jak Bill i Micah.
5377:  Jak już powiedziałeś, zemsta jest kosztem, którego nie możemy osiągnąć.
5382:  Tylko nie byłem pewien, czy zgodzisz się ze mną.
5384:  Czy wcale nie straciłeś w mnie wierze?
5387:  Nasze potrzebne teraz są sprzęty, sprzęty i droga stąd.
5391:  Wszystko inne, wśród wszystkich, może czekać.
5400:  Okej.
5402:  Do czego westernu nie lubiłem oglądać?
5403:  Uwielbiam westerny.
5405:  Dominik pisze, że na podstawie widoków i życia zwierząt z tej gry został stworzony pełnoprawny film przyrodniczy dotyczący autentycznych czterech stanów.
5412:  Niesamowite.
5415:  Dobra, pytanie czy my możemy pogadać z nimi jeszcze?
5420:  Ja wiem, że idę w złą stronę, ale ja chcę z nimi pogadać.
5427:  No.
5430:  Okej, nie można z nimi pogadać.
5434:  Dobra.
5435:  Zobaczymy, czy da się zrobić manualny zapis.
5437:  Nie da się zrobić manualnego zapisu.
5439:  Czy myśmy jeszcze nie wyszli z samouczka?
5443:  W sumie możemy iść do trzech broni palnej, jak sobie zejdziesz z konia.
5445:  Okej.
5446:  Ale niesamowicie mi się podoba to, że cała broń jest w kaburach.
5449:  No, tak to powinno wyglądać.
5457:  To jest oficjalnie jeden z lepszych samouczków w jaki grałem w życiu.
5472:  Tak sobie zawsze myślę, że w utopijnym świecie osiągnięcia jednej firmy by były wgrywane do takiej open accessowej bazy assetów i w ten sposób każda kolejna gra byłaby lepsza.
5484:  No ale oczywiście przeszkadza temu
5487:  Rynek.
5489:  Konkurencyjność studiów.
5491:  I tak dobrze, jak studia nie patentują swoich rozwiązań.
5497:  Nie tracę broni, którą zostawię, więc możesz podnosić to, co znajdziesz na ziemi podczas walki?
5501:  Okej.
5503:  To dobrze.
5503:  Oczywiście, że chciałem z nimi porozmawiać w środku akcji.
5508:  Tam się dzieją rzeczy w dole.
5512:  Dlaczego on ma fajniejszy kapelusz i płaszcz od nas?
5514:  To jest niesprawiedliwe.
5523:  Co tam się dzieje?
5527:  Ależ mi się podoba.
5528:  Ta muzyka jest bardzo dyskretna, a jest idealna.
5533:  Boże, jak tu jest pięknie!
5537:  Tu jest pięknie!
5542:  Nie pamiętam, kiedy byłem w górach i było tak pięknie.
5549:  Może ja powinienem wziąć udział w tym.
5550:  Będą dla Ciebie bronić.
5551:  Jeszcze nie otrzymali mnie?
5552:  Nie, ale sposób w jaki nasz luk jest ruszany... Chodźmy.
5555:  Zacznijmy od tamtej strony.
5577:  No trochę tak jest Aquarelle, że... Krzysztof przy Dark Souls, przy... AAAAAAAA!
5581:  Przy, przy, przy tym... Przy Red Dead Redemption, hohoho!
5585:  No bo tutaj rzeczywiście jest ten efekt wowu.
5589:  Dobra, podejdę sobie jeszcze raz do tego drzewa, bo to jest bardzo, bardzo takie... To jest bardzo miłe.
5594:  To jest, to jest bardzo miłe.
5595:  To jest... No, to jest bardzo miłe, na co poradzę.
5605:  Potem wjadło kawałki inspirowane Ennio Morricona, to już w ogóle mnie kupiliście.
5614:  Słyszycie to?
5619:  Jak się przedzieramy przez krzewy, to dźwięk jest zsynchronizowany z potrąceniem krzewu.
5635:  No ja też bardzo mi brakuje takiego śniegu.
5637:  W Krakowie śnieg to jest taka czarna breja.
5655:  To jest nasz.
5656:  Oczywiście, że nie rozpoznałem swojego.
5659:  Oczywiście, że tak jest.
5663:  Domyślam się, że tutaj.
5675:  Super osłona taka, która mnie w ogóle nie osłania.
5680:  Co?
5684:  Prowadź wyślij gang?
5686:  Co?
5693:  Słyszałeś coś?
5694:  Nie myślę, że tak.
5697:  Pojechałeś na głowę tutaj.
5699:  Okej, zacznę najpierw.
5724:  Czy ja mu naprawdę zgwizdnąłem kapelusz?
5727:  To jest piękne.
5728:  Uuuu!
5731:  Jaki niski poziom zdrowia, czemu?
5734:  Lekarstwo I. Dobrze, żeśmy wzięli lekarstwo.
5746:  Snajper na wieży.
5756:  Nie znacie, nie znacie tej... No... How about now?
5762:  Controller players?
5767:  Mysz nie ma sobie równych, jeżeli chodzi o celowanie.
5772:  Okej, tam mamy następnego.
5780:  Gdzie jest ta twoja główeczka?
5784:  Ale mi się podoba to, że można zdmuchnąć kapelutek.
5786:  To jest piękne.
5789:  Naprawdę, naprawdę muszę zmienić sobie DPI.
5793:  Dobra, gdzie jest jeszcze... Gdzieś jest jeszcze... Dobra, tu jest jeszcze.
5803:  Poszedł.
5806:  Spójrz na mnie!
5807:  Będziesz umarł, żołądka!
5856:  Na padzie się satysfakcjonująco celuję, mówicie?
5859:  To musi być naprawdę dobrze zrobione w takim razie.
5862:  Ależ mi się podoba to, że mogę zmuchnąć kapelusz!
5866:  To jest piękne!
5873:  Jak tam z naszymi nabojami?
5878:  Kto jeszcze z nas tutaj?
5893:  To to jest duże zaskoczenie, bo zwykle na padzie jest tragiczna obsługa strzelania.
5903:  Oh boi.
5906:  Okej, gdzie strzelacie i czemu ja nie widzę przeciwnika?
5924:  Czy on naprawdę wrzasnął jak go trafiłem w rękę?
5927:  To jest wspaniałe.
5931:  To co się dzieje jest wspaniałe.
5943:  Oczywiście... ...bierzemy wszystko.
5947:  Co?
5949:  Naprawdę jest animacja lutowania?!
5959:  Jest anima... Oni też lutują!
5969:  Z wioski, okej.
5970:  Z wioski przychodzą.
5972:  O, ja już ich widzę, dobra.
5996:  Jest jeden.
6000:  Z życiem coś się niedobrego dzieje?
6003:  Faktycznie, teraz zauważyłem.
6006:  Zjedzmy coś.
6015:  Okej.
6020:  Gdzież, gdzież?
6021:  O, o, o, o, o, o.
6031:  Ta kropencja mała.
6051:  Ta amunicja jest okej.
6056:  Powiedziałbym, że dość dużo jest przeciwników.
6066:  Mam dojmującą potrzebę wbijania headshotów, niestety.
6084:  Dobrze.
6084:  Podoba mi się, że ci przeciwnicy są tacy mobilni, to jest bardzo realistyczne.
6090:  Jaki capslock?
6092:  Czemu capslock?
6096:  Czemu caps lock?
6102:  Czekajcie, o co chodzi z caps lockiem?
6110:  Czekajcie, o co chodzi z caps lockiem?
6113:  Caps lock podczas strzelania to bullet time?
6115:  A, ja w ogóle tego nie zauważyłem.
6121:  W ogóle tego nie zauważyłem.
6126:  Koło wyboru przedmiotów.
6130:  Okej.
6133:  Dlaczego cały czas mam to koło wyboru broni?
6135:  To mnie bardzo irytuje.
6140:  I?
6145:  Pod kapsem są spele.
6147:  Tak do mnie mówcie.
6148:  Dobra, teraz musimy wszystko zlutować.
6157:  Czemu R?
6163:  Czemu R, moi drodzy?
6179:  Aaa... Otwarty olej z węża?
6189:  A po co mam to zrobić?
6196:  Nie mam zielonego pojęcia, co to było.
6199:  Właśnie wiedziałem, że było coś napisane na dole ekranu, tylko kompletnie to ignorowałem wtedy.
6205:  Złota obrączka, dobra.
6207:  Trzy godziny później.
6210:  Ej!
6213:  Daj mi zlutować wszystkich!
6215:  Dodge!
6217:  Nie denerwuj mnie!
6223:  Aaa, to jest mana!
6226:  Okej, to ma sens.
6231:  Jak ole... Aaa!
6232:  Aaa, to jest fajne, że bullet time nie jest nieskończony, to mi się podoba.
6240:  Dobrze, dobrze.
6243:  Krzysztof był zaabsorbowany strzelaniną.
6246:  Żeby dać Wam kontekst, ostatnia strzelanina, w jakiej miałem do czynienia w grach wideo, była przy Call of Huales Gunslinger, okej?
6259:  Krzysztof nic... Krzysztof nie odchodzi za daleko, Krzysztof lootuje.
6267:  Tutaj widzę jakiegoś przeciwnika jeszcze leży.
6269:  Tak!
6274:  Właśnie nie mogę się przyzwyczaić totalnie, że te informacje są na dole ekranu, ale przyzwyczaję się, przyzwyczaję się.
6280:  Jest dużo rzeczy, do których trzeba się przyzwyczaić w Red Deadzie.
6284:  Call of Juarez znakomity absolutnie.
6286:  Zarówno Gunslinger, jak i pierwsza część, ale Gunslinger jest rewelacyjny narracyjnie.
6290:  To, co tam się dzieje bez przerwy, to jest coś wspaniałego.
6297:  No, no, no, widzę, że Jakub też sekunduje.
6300:  Piotrek Kubiński w grach wideo w zarysie poetyki właśnie korzysta z Gunslingera jako przykładu emersji.
6306:  Czyli teoretycznie jest to przeciwieństwo emersji, ale w praktyce chodzi o to, że zanurza nas jeszcze bardziej.
6311:  Takie łamanie czwartej ściany.
6316:  Jest taki moment, że narrator mówi, znaczy zauważa, że jedna z postaci śpi sobie w salunie i mówi, że o i teraz atakują nas Indiani i nagle rzeczywiście wyskakują Indiani i zaczynają nas atakować i on mówi później do tego gościa, który się zdrzemnął, to okej, już uważasz?
6338:  Dobra, to nie było żadnych Indian, lecimy dalej z historią, coś wspaniałego.
6348:  W trzeciej części nie widziałem Call of Juarez, nie grałem w nią.
6351:  Nawet nie widziałem, że jest.
6356:  To jest dobra polska gra, nawiasem mówiąc.
6358:  Rzadko się o niej mówi, a jest dobra.
6367:  Oczywiście, że należy wszystko zlutować zawsze.
6371:  W ten sposób będziemy niewysłowienie bogaci.
6376:  Poza tym to też jest okazja dla mnie, żebym nadrobił czaty.
6380:  O, Julia ma rację, nawodnienie jest ważne, zwłaszcza przy whisky.
6389:  Trzecią częścią był Gunslinger?
6392:  To ja myślałem, że było Call of Juarez i Call of Juarez Gunslinger po prostu jako dwie części.
6396:  To nie, to trzecia część była super.
6407:  Dead Island nie grałem, ponieważ to jest horror.
6408:  Mam zwyczaj jeden, jedyny, którego absolutnie nie łamie, to znaczy nie gram w gry, które są horrorami.
6415:  Wystarczy mi horror, z którym mam do czynienia na co dzień, jak nie ma wolnego, to znaczy polska nauka.
6422:  To jest horror, który jest tak przerażający i straszliwy, że najgorsze Silent Heale przy nim wysiadają.
6433:  Czemu dużo wody jest ważne przy whisky?
6436:  Dla nerek.
6436:  Whisky jest bardzo obciążające dla nerek.
6439:  Więc jak normalnie muszę pić, nie wiem, 3-4 litry dziennie, to tak muszę pić 6.
6445:  Już przesadzam, no ale 4-5.
6448:  Chociaż jak miałem problemy takie ostre z nerkami, to musiałem pić 6 litrów i myślałem, że umrę wtedy.
6457:  Tu jeszcze widzę jeden krzyżyk, co najmniej.
6459:  Krzyżyk na drogę!
6461:  Dobra.
6465:  Raz w szpitalu dostałem właśnie taki baniak.
6467:  5 litrów wody i przykazanie od lekarza.
6470:  Wypić do wieczora!
6472:  Boże!
6473:  To było straszne.
6477:  6 litrów whisky to ja bym chciał wypić.
6480:  Tu jest ewidentnie trup, a nie jestem w stanie go ograbić.
6487:  Dobrze, mam wrażenie, że mamy je wszystkie.
6491:  Świetnie.
6492:  Ruszamy na koń.
6494:  To jest zielone.
6518:  Tutaj.
6518:  Wygląda dobrze.
6519:  Co myślisz, Bill?
6519:  Wygląda dobrze.
6548:  Smakuje dobrze.
6548:  Chodź.
6548:  Znalazłeś wszystko?
6553:  Myślę, że tak, szefie.
6555:  Znalazłem to na jednym z nich.
6557:  Dziękuję.
6557:  To jest perfekcyjne.
6558:  O tak, interesujące.
6560:  To coś o samochodzie, który oni zablokowali.
6564:  O, panie Leviticus Cornwall.
6567:  Zamontuj się, idziemy dalej.
6580:  Bardzo mi się podoba, że spokojnie czekali aż wszystko zlutujemy.
6599:  Widzicie co to się nazywa?
6602:  Co się teraz dzieje?
6611:  To się nazywa bonding.
6617:  Więź między naszą postacią, a tymi postaciami.
6639:  Muszę zobaczyć widok.
6640:  Nie, to nie jest właściwa droga.
6641:  Udało nam się stoić za mną w czarnym wodzie.
6652:  Gdyby to był CD Projekt Red ery cyberpunka, to dostalibyśmy timelapse.
6656:  Ziu, ziu, ziu, ziu, zobacz, zobacz, to jest twój przyjaciel, to, to, o, o, popatrz, bardzo go lubisz, to jest Jack, o, dobry, dobry Jack, dobry, popatrz, jaki jesteś fajny, tak, tak, Jack, to masz się z nim zaprzyjaźnić, rozumiesz, graczu?
6670:  Teraz, trzy, dwa, jeden, best friends.
6674:  Co, nie rozumiesz?
6675:  Dlaczego nie rozumiesz?
6676:  Dlaczego nie rozumiesz?
6677:  To jest twój najlepszy kumpel.
6678:  Płacz teraz, że ginie już na trailerze gry.
6683:  Tak się robi bonding.
6688:  Tak się robi bonding.
6695:  Oni zareagowali na to, że zostałem z tyłu.
6708:  Nie, wspaniałe.
6710:  Podczas jazdy samochodem zwłaszcza jest mocne budowanie relacji z panem, czy telefonicznie z Judy?
6714:  Tak, ale ja mam wrażenie, że to jest budowanie relacji ze smartfonem bardziej.
6720:  Więcej przeszedziłem w smartfonie tam niż przy rozmowach z postaciami.
6727:  Nie no, no to co robi Redde to jest absolutnie niesamowite.
6732:  To jest samouczek, nie?
6741:  Możemy mieć bonding, mamy bonding w domu, bonding w domu.
6754:  A wbrew pozorom... O Boże, lasso.
6758:  Wbrew pozorom analogie są uprawnione, bo cyberpunk wywodzi się właśnie z westernu jako nurt i był inspirowany nim bardzo silnie.
6769:  Czy to jest tędy?
6774:  Pomyślałem, że to jest ta czerwona kropeczka, tak.
6782:  Oh boy, ta muzyka.
6789:  Epicko to.
6792:  Z której strony jest inspirowany westernem?
6794:  Postaci, które w nim występują są postaciami inspirowanymi z westernów.
6797:  Jak poczytacie podręcznik Mike'a Pondsmitha Cyberpunk 2020, to tam jest to wprost powiedziane.
6815:  To jest wspaniałe.
6823:  To jest wspaniałe.
6833:  Jaką grę poleciłbym na początek, Julio?
6835:  To trudno powiedzieć, nie?
6836:  Bo to zależy jak... w ogóle jakim gatunku, nie?
6842:  Jeżeli chodzi o RPG-a... to pewnie Wiedźmin.
6849:  Ale nie wiem, czy od razu trzeci.
6851:  Najpierw go ograbmy.
6852:  Pięknie.
6873:  A tu się akurat zgodzimy, że jesteś nobody.
6879:  Jak się nazywasz, chłopie?
6881:  Nie wiem.
6881:  Nie wiesz swojego imienia?
6883:  To jest Kieran.
6885:  Kieran co?
6886:  Duffy, Kieran Duffy.
6891:  Nie będę ci kłócił.
6892:  To jest naprawdę zły dzień dla ciebie, Kieran Duffy.
6895:  Gdzie mnie wziąłeś?
6896:  Gdziekolwiek, gdzie nie będziesz kłócił.
6898:  Dlaczego?
6899:  Co będziesz mi zrobić?
6901:  Gdziekolwiek, gdzie nie będziesz kłócił.
6902:  Więc zaproszę cię, żebyś ułatwił się, żebyś krzyczał.
6905:  Nie, proszę!
6911:  Nie jestem zbyt zbyt zbyt zbyt zbyt zbyt zbyt zbyt zbyt zbyt zbyt zbyt zbyt zbyt zbyt zbyt zbyt zbyt zbyt zbyt zbyt zbyt
6936:  Cieszę się czaty, że nawet jak piszecie, że pracujecie, to równocześnie chcecie sobie odpoczywać.
6940:  To jest taki fajny nawyk, który się wyrobił.
6942:  Nie, że jak się u Krzysztofa mówi o tym, że się pracuje w niedzielę albo w dni wolne, to się za przecinkiem dodaje, że jednak wypoczywamy.
6950:  Czy wy widzicie to wyłaniające się zza gór ciało niebieskie księżycem zwane?
6962:  Jestem w absolutnym szoku.
6982:  I to nawet nie jest ray tracing, prawda?
6983:  Hahaha, no.
6984:  Nie, nie, oczywiście, że tylko gry z ray tracing są imersywne.
6987:  Jak nie ma ray tracingu, nie są imersywne.
6992:  Come on, to jest przepiękne!
6997:  Jak to wygląda z książkami RPG?
6998:  Szukałem po necie, nic nie znalazłam.
7000:  Z książ... Znaczy, w sensie z podręcznikami RPG-owymi.
7004:  Szukałem po różnych chomikach, na pewno Cyberpunk 2020 podręcznik jest na Library Genesis, bo to sprawdzałem.
7009:  Inaczej bym go nie miał.
7012:  Dobra, chcę, chcę zobaczyć ten miesiąc jeszcze raz srebrzący się na niebie.
7016:  Proszę was przeprosić, niestety moje przeziębienie.
7033:  Dwa lata nie chorowałem.
7034:  Starczyło, że parę razy powychodziłem.
7036:  Bo nie można złożyć dokumentów podpisanych cyfrowo, trzeba podpisać ręcznie.
7044:  Dziękuję wszystkim, którzy mnie do tego zmusili.
7052:  To, co widzicie teraz, to jest obraz.
7057:  I sztuka.
7061:  Na szczęście nie jest to najgorsza choroba, jest to przeziębienie, a zapalenie gardła to jest coś, co jest moją chorobą zawodową i co miałem regularnie do momentu, w którym zaczęła być edukacja zdalna.
7072:  Wtedy nie miałem.
7076:  Wiecie, co jest najzabawniejsze z tymi podpisami?
7078:  Że polskie prawo mówi, że tylko wy możecie zakwestionować autentyczność podpisu.
7082:  Czyli teoretycznie mógłbym wysłać każdy dokument z faksymilem swojego podpisu.
7086:  Z faksymilem swojego podpisu to się nie odmienia.
7089:  I nikt nie mógłby tego zakwestionować.
7092:  Ale niestety urzędnicy tego nie wiedzą.
