🔴 Jedi, który gapił się na kozy | JEDI: FALLEN ORDER Livestream #2
🔗 https://www.youtube.com/watch?v=ga7G53uCoiE

14:  Zasmucające informacje są zasmucające.
4621:  Zasmucające.
4622:  Masowe spowolnienie mi się podoba.
4627:  Kazerkoł, nowicjusz Jamniczego Ognia, trybutuję.
4630:  Dziękuję serdecznie.
4631:  Trybut przepraszający za błąd.
4633:  Patrząc na Jedi Fallen Order nabrałem ochotę na The Old Republic, czyli to nie był prank, Kazerkoł.
4638:  Dobrze.
4639:  Dziękuję ci bardzo.
4641:  Dlaczego mamy...
4643:  Dlaczego mamy tak mało punktów?
4644:  Dwa punkty umiejętności?
4647:  O nie... O nie... Dlaczego tak się dzieje?
4657:  Co to za nowe, straszne rzeczy?
4662:  Takie zdolności lubię.
4664:  Czego bardzo nie lubię wszelako.
4669:  To... używania tego spowolnienia.
4687:  No co jest?
4688:  Przecież odbijam!
4691:  On jest silny!
4697:  Niesprawiedliwy.
4700:  Można kupić BD-1 z klocków LEGO?
4701:  Dlaczego mnie to kompletnie nie dziwi?
4714:  Nowy emiter.
4715:  Dostajemy bez psów jakieś bezsensowne rzeczy.
4720:  Nie jest drogi 450.
4721:  A!
4723:  To jest niedrogie.
4724:  Wiecie co?
4726:  Ja proponuję zmienić 450 na pół tysiąca.
4728:  Od razu człowiek widzi, że coś jest drogie.
4744:  F dla droida.
4758:  Dzień dobry!
4765:  Jak śmiesz!
4766:  Pomóż, Stim!
4777:  Zabiłeś miauczącego doroida.
4779:  Tak!
4779:  Wszyscy zginą, którzy mi się przeciwstawią.
4782:  Co to za, co to za jakieś, jakieś licze teksturowe?
4788:  Czy to jest ognisko?
4789:  Chyba tak.
4791:  Boże, jak ja nie znoszę.
4795:  Już blisko, chaty, blisko.
4819:  Sokół Millenium kosztuje raptem cztery tysią... raptem.
4837:  Ok, spróbujemy masowego spowolnienia.
4841:  Nie zadziałało, czemu mnie go nie dziwi?
4842:  Myślę, że mogę go wziąć.
4843:  To wszystko skończy się.
4856:  Tak!
4858:  To lubię!
4861:  To lubię!
4870:  Tego nie lubię.
4870:  To jest Mandalorianin?
4871:  Nie.
4873:  To jest jakiś bullshit Disneyowski.
4883:  O Boże, co to było?
4888:  Jak ja nie znoszę... Uwaga!
4895:  Uwaga!
4911:  Co?
4911:  Co to było?
4912:  Użyłem specjalnej zdolności.
4917:  Przecież co?
4917:  Jak my pp shop plu?
4922:  Co za skandal.
4927:  To jest klon, który teraz funkcjonuje jako szturmowiec czystki?
4933:  Możesz pchnąć ciężki atak?
4935:  Nie znam tej możliwości.
4948:  Czyli to nas, a rozumiem, czyli to nas nas osłabić, tak?
4952:  Tak.
4967:  Co jest z tymi blokami?
4974:  Nie jestem w stanie zrozumieć bloków w tej grze.
4984:  Uważaj na cel!
4997:  Uważaj na cel!
5000:  Uważaj na cel!
5008:  Uważaj na cel!
5009:  Uważaj na cel!
5014:  Jak na czerwono, to dwójeczka?
5015:  Okej.
5021:  Faktycznie, szturmowiec czystki.
5024:  Zdolny do kontrataków po sparowaniu ciosu.
5026:  Okej.
5029:  N. Dzięki za wsparcie od siedmiu miesięcy i za serowego jamnika.
5034:  No One pisze, dzięki za ranty na Rings of Power, dzięki czemu zdecydowałem się na trzecie podejście do Silmarillionu.
5039:  Tak!
5040:  Wreszcie go zrozumiałem, to dobrze.
5043:  W czasie oglądania live'a gram we Frostpunk, pisze TimeLooter.
5045:  Fajna gra, trzeba strategicznie myśleć, czy grałem kiedyś.
5047:  Tak, całość przeszedłem.
5049:  Sturmowcy czystki, łowcy imperialnej inkwizycji specjalizują się w tropieniu ocalałych członków zdradzieckiego zakonu Jedi.
5055:  Potajemnie przymierzają galaktykę, by wspomagać inkwizytorów w ich złowrogiej misji.
5060:  Ta wysoce wyspecjalizowana klasa żołnierzy używa głównie piłki energetycznie i stanowi śmiertelne zagrożenie.
5066:  Tymczasem wszyscy fani kanału sportowego... PIŁKA!
5072:  PIŁKA!
5075:  PIŁKA!
5077:  OKRĄGŁA PIŁKA!
5079:  I stanowi śmiertelne zagrożenie dla każdego wroga władającego mieczem świetnym.
5083:  Swoją zwinność i mściwość udowadniają łącząc w walce śmiercionośne intuicyjne kontrataki z wyuczonymi podczas szkolenia technikami.
5093:  Ja wam dam piłki na czatach!
5097:  Co?
5097:  Skażanie?
5103:  Zskażanie czarnymi piłkami.
5110:  Okej, to jest moja druga ulubiona rzecz w tej grze.
5113:  Wypychanie szturmowców tam.
5117:  Niedługo mundial, szykuj się, nie przerażajcie mnie.
5120:  Coś mi ominęło oprócz 69 śmierci?
5122:  Wiele rzeczy.
5124:  Wiele rzeczy we Clever One.
5126:  Czy znowu nie wiem gdzie iść?
5131:  Znowu moja moc nie działa.
5132:  Moja szmoc nie działa.
5136:  Czy lubię jakiś sport?
5136:  E-sport.
5139:  Wyłącznie e-sport.
5142:  Sport nie budzi we mnie emocji.
5144:  Zupełnie poważnie mówiąc.
5145:  I nigdy nie budził.
5147:  Dopiero jak poszedłem raz do spotkań i oglądałem mecz StarCrafta, to poczułem emocje sportowe.
5152:  StarCraft!
5152:  StarCraft!
5154:  StarCraft!
5155:  StarCraft!
5155:  StarCraft!
5156:  StarCraft!
5159:  Dlatego też uważam na przykład, że na uczelniach podczas, nie wiem, zajęć z WF-u powinno być możliwe trenowanie takie jak we sporcie.
5171:  Czy mamy jakiś sposób nauki języków obcych?
5174:  Kiedyś o tym opowiadałem, ale generalnie mój problem polegał na tym, że ja nie byłem w stanie się nauczyć tradycyjnymi metodami.
5181:  Żadnymi.
5183:  Nawet metody Kalana i tego typu w szkołach prywatnych nic mi tutaj nie dawało.
5188:  Dopiero jak zacząłem czytać, miałem indywidualne lekcje z lektorem, który był w stanie nauczyć mnie w jakiś sposób używać
5197:  Bardzo podobnie angielszczyzny, jak używam polszczyzny.
5203:  I to mi dopiero pomogło, a uczyłem się 14 lat, zanim wpadłem na to rozwiązanie.
5208:  No i wiadomo, czytanie na Kindle'u bardzo mi pomogło.
5214:  Co to było?
5215:  Dlaczego?
5216:  Ktoś śmie!
5218:  Jak śmiesz mnie!
5219:  Co?!
5223:  Co?!
5226:  Co za zniewaga.
5228:  Mnie ogniem?!
5230:  Mnie ogniem?!
5242:  Ja... Ja dzisiaj?
5245:  Moja cierpliwość jest wystawiana na zbyt dużą próbę.
5252:  Tak, zdecydowanie.
5253:  Upokorzony.
5263:  O nie!
5272:  Co?
5272:  Nie żartujcie nawet w tym momencie.
5274:  Wy sobie... To wszystko dla niego.
5290:  Nie żartujcie sobie.
5301:  Nawet sobie nie żartujcie.
5302:  Przecież to jest jakiś kompletny absurd.
5307:  Nie chcę, żebyśmy nie mieli szans.
5332:  Nikt się nie nauczy blokowania w tej grze.
5334:  Smedai!
5344:  Jestem... zamknięty!
5361:  O Boże, nie zauważyłem tego.
5382:  Powinienem, on powinien przelecieć przez całą
5386:  Aaaa!
5426:  I to mi się podoba!
5431:  Ooo, tak, potrzebuję więcej power fantasys, Sturmowiec Ogniowy.
5435:  Za każdym razem jak się leczysz, to tracisz koncentrację i natomiast dostajesz obrażenia, zauważyłem.
5439:  Też to zauważyłem, Domeks, no.
5442:  Dwukrotne kliknięcie spowolnienia z obszarowe, a pisali, żeby wcisnąć dłużej.
5449:  Katemin Pidgeon pisze, ja mojego brata namówiłem, żeby oglądał YouTube'a po angielsku i z radością patrzyłem, jak po kilku tygodniach przestał używać napisów u swoich ulubionych YouTuberów.
5455:  Tak, ja też to robię, regularnie.
5458:  Szturmowcy ogniowi to wyspecjalizowani komandosi wspierający machinę w Wojennym Imperium Galaktycznego.
5463:  Fun fact, jak się uczyłem angielskiego, to nie było jeszcze YouTube'a.
5465:  Boże, jak to brzmi...
5469:  Są doskonale wykształceni w obsłudze broni zapalającej, a ich miotacze, mimo niewielkiego zasięgu, około 10 metrów, to jest niewielki zasięg, pokrywają ogniem duży obszar.
5478:  Choć nie są zbyt winni, wykorzystują uzbrojenie, by ograniczać mobilność swego celu i wymuszać na nim pozostanie w miejscu.
5483:  Choć ich broń jest niezwykle śmiercionośna, jak każda broń ogniowa, to wykorzystuje ona łatwo palne paliwo i potrzebuje czasu, by ostygnąć po użyciu.
5490:  Starzy.
5490:  Ja wam dam, kuźwa, starzy.
5491:  Swoją drogą, a propos, a propos ognia,
5500:  A propos ognia.
5503:  Dostałem dzisiaj od szlachetnej Wicki sztuka ognia, moi drodzy.
5509:  Przepiękna rzecz, przepiękna książka.
5511:  Bardzo dziękuję.
5513:  Bardzo dziękuję jeszcze raz teraz, żebym sobie przypomniał.
5516:  Neko.
5518:  I tutaj są, moi drodzy, ilustracje.
5521:  Ważne ilustracje dotyczące i instrukcje, jak na przykład, proszę bardzo, pług ogniowy.
5529:  Wspaniałe.
5531:  Wspaniałe rzeczy.
5532:  Zamierzam się tego wszystkiego nauczyć.
5534:  Jest również instrukcja rozpalania ognia dla opornych.
5539:  Świder ręczny, tak to się nazywa, moi drodzy.
5543:  Proszę bardzo, świder ręczny.
5546:  Więc jeszcze raz dziękuję bardzo, to jest przemiłe, ale ta okładka mnie po prostu ujęła od razu.
5552:  Wspaniała rzecz.
5554:  I co?
5556:  Miraski pisze, że dostał sztukę palenia?
5558:  Jakiego palenia?
5561:  Miraski, czy chodzi ci o takie palenie?
5573:  Takie czy inne?
5579:  Tak jest najlepsze.
5587:  420 sposobów na dobre rozpalenie ognia.
5594:  Gdzie mamy iść?
5596:  Czyli my mamy iść tu?
5600:  Coś mi mówi, że tak i równocześnie coś mi mówi, że nie.
5610:  Aha.
5612:  Mam wrażenie, że już wiem, gdzie iść.
5623:  Nie.
5623:  Oddaję się.
5624:  A jednak!
5627:  Aaa... Mówicie, że trzeba zamieścić ostrzeżenie o pająkach w tytule?
5634:  Zostanie tak zrobione w zapisie streamu.
5636:  Absolutnie.
5639:  R przeciążenie.
5640:  Aaa... Takie buty.
5651:  Potrzebujemy jamnika z czerwonymi oczami na zielonym tle.
5654:  Dlaczego tu nie ma żadnego checkpoint?
5658:  Jest!
5677:  Wiecie co?
5677:  Mam pewien pomysł.
5678:  Dobra, teraz żeby nikt nie ryczał.
5680:  Ale Krzysztof, czemu nie inwestujesz w przetrwanie?!
5686:  Dobrze, niech wam będzie.
5687:  Odzyskuje dodatkowe zdroje przy korzystaniu ze stymulantu.
5690:  Proszę bardzo.
5692:  Teraz stymulacja będzie efektywniejsza.
5697:  Jak się ma godzieju gra w Fallen Order?
5699:  Świetnie!
5703:  Boss opcjonalny niedaleko, to dobrze.
5706:  Jeszcze nie rozróżniam bossów opcjonalnych od nieopcjonalnych, po prostu zabijam wszystko, co żyje.
5720:  Chyba skończyłem.
5721:  Cholerstwo jedne.
5726:  Przecież to zabiłem już!
5728:  Czemu to żyje, jak to zabiłem? !
5736:  Czemu?
5736:  To co żyje z... Trudno zabić to co martwe?
5740:  Tak!
5740:  What is dead may never die!
5743:  Żegnajcie.
5745:  Przyjaciele Hagrida.
5748:  No i?
5753:  I co?
5753:  Oni nie potrafią zabić tych pająków?
5758:  Ewidentnie.
5759:  A szkoda, to byłby świetny farm spot.
5765:  No to jest piękny widok, jak pająki są tam.
5780:  Ci toki jedynego zabili!
5782:  Hihihii!
5798:  Kto jest potężnym pogromcą pająków?
5801:  Żegnajcie, przyjaciele Hagrid'a, by mi grał za każdym razem.
5807:  Fallen Ordo, nie możesz farmić, jeżeli sam nie dobijasz?
5810:  Teraz mi to mówicie.
5814:  Zdobyto nowe nasiono do terrarium.
5818:  Moje podniecenie nie zna granic.
5821:  Okej, już wiem, co mam zrobić.
5826:  Ooo, jaskinia.
5831:  Ja mam bardzo złe przeczucia.
5842:  Więc to był ten boss.
5850:  Co?!
5852:  Co jest z tymi unikami?!
5855:  No przecież co jest, no? !
5861:  Nie działają uniki!
5865:  Dlaczego nie działają uniki?
5868:  Wciskam Ctrl jak wariat i on nic nie robi!
5878:  Szkoda, skoro Karaluka potrafił przeżyć wybuch atomowy, to co do cholery jest z koleją na Karaluku?
5882:  To jest dobre pytanie.
5884:  Teraz ja nie pamiętam, gdzie iść.
5887:  Moje założenie jest takie...
5894:  O właśnie.
5901:  O, teraz zadziałało!
5906:  Teraz nie zadziałało.
5907:  No przecież co z tymi unikami? !
5937:  No przecież trzeba!
5939:  I oczywiście już nie ma leczenia.
5971:  Fiiiischchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchchch
6001:  BD-1.
6001:  Dobra, popatrzę.
6030:  Tak było.
6031:  Nie zmyślam.
6032:  Powiedziałem BD-1 zamiast BB-8?
6034:  Niesamowite, prawda?
6035:  Znowu BD-1 coś znalazł.
6035:  Jaja.
6058:  Obwisła pajęcza moszna.
6062:  Mówiłem?
6063:  Wyliźk składa każdego roku nawet tysiąc jaj.
6067:  Łącząc pajęczynę ze śliną i wydzieliną z węzłów limfatycznych umiejscowionych pod każdym z odnóży tworzy niezwykle wytrzymałe kokony jajowe, chroniące zarodniki przed drapieżnikami.
6077:  Aby się z niego wydostać, w pełni ukształtowane młode osobniki spełniają pięciu dni na pożeraniu zmiękczanej jadem osłonki kokonu.
6082:  Jak można lubić te zwierzęta?
6084:  Opuszczające jaja młode są wściekle głodne i atakują każdą znajdującą się w pobliżu ofiarę.
6089:  Zabić zanim złożę jaja, absolutnie.
6092:  Nigdy nie było bardziej adekwatne.
6101:  Jak?
6102:  Ochyctwo.
6105:  Czemu się BB-1 zapalił na czerwono?
6107:  O nie no, nie mówcie mi nawet.
6109:  Przecież my nie mamy w ogóle zdrowia.
6110:  Jeszcze złym pomysł.
6119:  Pomysł jest następujący.
6120:  To znaczy, odpoczniemy.
6135:  Dofarm punkt.
6136:  To nie jest zły pomysł.
6138:  Spójrz, tam na dół!
6138:  Próbuj to nie zdobyć.
6139:  Tak!
6139:  Uwaga!
6151:  Co jest?
6157:  Jest, punkt umiejętności.
6159:  O to chodziło.
6170:  Zatakuj go szybko!
6171:  Zatakuj go szybko!
6185:  Okej, nic nie działa.
6199:  Boże, drogi.
6201:  Cóż to za finisher był?
6215:  Czy mogę rzucić mieczem?
6216:  Naprawdę?
6217:  Naprawdę?
6220:  My z ledwością jesteśmy w stanie walczyć ze szturmowcami na razie.
6233:  Inaczej, trzeba poczekać aż oni... Teraz muszę odzyskać punkt umiejętności.
6266:  Jeden!
6266:  Wciskam 30 razy i nic!
6270:  Boże drogi, jaki ten... Responsywność tej gry jest na poziomie zerowym.
6284:  Naprawdę.
6289:  Dobra.
6290:  Okej, o to chodziło.
6293:  Zresztą, co tu się dzieje z tym?
6297:  Nie wiem, co się dzieje.
6306:  Kirito, dzięki za trybut.
6309:  U mnie.
6309:  Ta książka.
6309:  Ta książka, otóż.
6338:  Czy my wreszcie możemy się tutaj... Nie wierzę.
6340:  No nie wierzę.
6342:  Zasłużyłem.
6348:  Tylko u mnie jest.
6349:  Tak, nie ma nigdzie tej książki.
6351:  Nie dostaniecie jej księgarnia.
6355:  Upadek Gondolinu.
6355:  Ciekawe, co się dzieje z Gondolinem, ty.
6357:  Właśnie.
6358:  To jest dobre pytanie, sam.
6360:  Nie ominąłem wsparcia, chyba że chodzi... Aaa, macie rację.
6363:  Dołączył do nas Paweł Strzelczyk.
6367:  Dlatego nie zauważyłem tego, moi drodzy, że się nie zajamniczyły czaty stosownie.
6372:  Dzięki, Pawle, za dołączenie.
6375:  Nie dzięki czaty za brak zajamniczenia!
6380:  Gdzie był gondol, kiedy upadł gondolin?
6382:  Co tu się znowu dzieje?
6391:  A, rozumiem.
6392:  Atak od tyłu i to było za mało wciąż.
6400:  To mi się podoba.
6401:  Tak to powinno wyglądać od samego początku.
6404:  Tak to powinno wyglądać właśnie.
6411:  O, mam bardzo słabsze czucie.
6414:  Właśnie takie.
6422:  Co to było?
6436:  To jest nieprawdopodobne, proszę.
6438:  To jest nieprawdopodobne.
6439:  To jest absolutnie i w stu procentach nieprawdopodobne.
6449:  Najbardziej mi się podobał moment, w którym nasz... Jak się nazywa nasz bohater?
6456:  Jamnestis.
6457:  Zrobił tak.
6460:  To było najpiękniejsze.
6464:  Paweł pisze, że YouTube oszukał, zakazał i wyłączył wsparcie.
6468:  Jak to jest w ogóle możliwe?
6469:  No mówiłem, że Jamnestis.
6472:  Jaki tam Kal?
6473:  Jaki tam Kal?
6474:  Kal to był w tej opowieści o okruchu lodu.
6478:  O. No i co ja mam teraz niby zrobić?
6481:  Aha.
6487:  Mam przejść po chybotliwej rurze.
6490:  Co może pójść nie tak?
6500:  Udało się!
6501:  Chciałem, żeby się udało i się udało jak raz!
6505:  Tak!
6506:  Tak!
6516:  To niesamowite!
6518:  Raz się coś udało!
6524:  Okej, to wygląda jak coś bardzo niebezpiecznego.
6527:  Odlokaj, odblokowano skrót.
6531:  Książki w stylu Frostpunk!
6533:  Uuu, zbyt oryginalne.
6535:  Zbyt oryginalna fabuła, żebym znalazł coś podobnego.
6539:  Odblokowano... Najzbawniejsze jest to, że gra się cieszy... O, odblokowano skrót, a ja nawet nie wiem dokąd, nie?
6550:  Więc... Tak, nie wiem, czy myśmy tutaj byli.
6552:  Nie, nie byliśmy tutaj.
6556:  Nie byliśmy otóż tutaj.
6560:  Takie bardzo dziwne rzeczy.
6564:  Byłem na dole?
6566:  Aaa, racja.
6566:  Jest i rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
6589:  Nie mam pojęcia, gdzie idę.
6592:  Snoopie... O, Snowpiercer, ale miały być książki.
6596:  Ale Snowpiercer tak, jak najbardziej.
6598:  Chociaż wiecie, są komiksy Snowpiercera, teraz się uświadomiłem.
6601:  Więc Snowpiercer jest bardzo podobny do Frostpunka, to jest prawda.
6604:  Założenie jest zgoła też podobne.
6609:  No i to mi się podoba.
6610:  O nie, jest koza.
6618:  To jest rzygająca ko...
6621:  To nie jest koza.
6633:  Co to jest?
6638:  Rzygający ślimak?
6639:  Ja już nawet nie będę wspominał.
6641:  Sliiiiik.
6644:  Ataki sliiiik są bardzo powolne.
6647:  Unikaj ich lub je uprzedzaj.
6651:  To duże mięsożerne ślimaki.
6653:  Choć występują w większości biotopów strefy umiarkowanej, to preferują chłodne i wilgotne obszary, w szczególności porośnięte bujną roślinnością oraz obfitujące w niewielkie zbiorniki wodne, jaskinie i rozpadliny.
6673:  Wycierają toksyczną, śluzowatą substancję, której należy unikać.
6678:  Kozoślimak.
6679:  Świetnie.
6680:  Jeszcze tego brakowało.
6683:  BD-1 coś robi Carlowi na... ...czy Caliamnis... Jam... Jamnestis.
6690:  Iska go, mówicie?
6694:  To jest możliwe.
6695:  Już wiemy, skąd Jamnestis ma tak wspaniały... ...wspaniałą, bujną, rudą plerezę.
6702:  Otóż stąd, że jest nieustannie iskany przez BD-1.
6712:  No dobrze, czyli mamy za sobą tę okropną miejscówkę.
6718:  Żółte to jest coś, gdzie... a nie, nie zbadano.
6722:  Myśmy tam czegoś nie zbadali jeszcze.
6726:  Dobra, dobra, dobra, dobra, dobra.
6728:  To trzeba zbadać.
6729:  Tomek Kozłowski, witamy w gronie trybutariuszy.
6732:  Dobry zwyczaj, zajamniczaj.
6735:  To o was, to o was trybutariuszy.
6739:  No dobrze, teraz gdzie?
6742:  Tu?
6745:  Tak!
6747:  Aaaa!
6756:  No dobrze, dobrze, dobrze, dobrze, straszna muzyka.
6764:  Aha, myśmy stąd... stąd się zsunęli.
6772:  Nie da się wyjść, oczywiście, że tak.
6776:  Czy to znaczy, że ja znowu się zgubiłem?
6778:  Chyba nie.
6786:  Teraz w lewo.
6790:  Okej, okej, okej.
6792:  Idziemy w dobrym kierunku.
6797:  Jest i... przerażające miejsce.
6803:  Co tutaj będzie przerażającego?
6804:  Czy będzie kolejne... Uuuuuuuuuuuu... Proszę bardzo.
6815:  Proszę bardzo.
6816:  Esencja Zdrowia.
6827:  Rozbudowa rafinerii.
6828:  Poszerzająca swoją wiedzą na klasik Imperium zaczyna interesować się Krainą Cieni.
6834:  Esencja!
6835:  Abatur zbiera esencję!
6838:  Tu Abatur?
6839:  A tak.
6843:  Eee, gdzie byśmy nie byli?
6844:  Tam jest coś świetlistego.
6846:  Ja jestem prostym człowiekiem.
6848:  Widzę, że się świeci, to tam biegnę.
6850:  Conan O'Brien kiedyś powiedział, że to jest cecha starych ludzi.
6854:  Że po prostu biegną w tę stronę, w której świeci im światło i tyle.
6860:  To był The Haka.
6862:  The Haka zbierała tę cenę, tak.
6864:  Aha.
6870:  A czy ja się nie chcę wrócić do Piły Garrery?
6877:  Nie żartujcie, my naprawdę mamy się teraz zwrócić tam.
6887:  Co, myślę o kanale sportowym?
6889:  Niech skupią się na sporcie.
6895:  Jeżeli jest coś, czego bardziej nienawidzę od snobów,
6901:  To są to mędrkujący faceci, którym wydaje się, że prawdopośrodkizm, pseudologika i bieda racjonalizm zastępują refleksję naukową.
6914:  Moim zdaniem tędy.
6915:  Trzeba uwolnić łukich.
6926:  Nie śmiem się nie zgodzić, ale powstaje pytanie, gdzie i skąd.
6934:  Czy tutaj się da przejść?
6935:  Owszem.
6938:  Okej, nic, wszystko jest czerwone, ale... Tu mamy przejść.
6945:  Nie mam zielonego pojęcia jak.
6949:  Dobrze, tu jest jeszcze żółte, więc trzeba to zeksplorować.
6954:  I tam jest jeszcze żółte.
6955:  I mamy wrócić do Sogarrery.
6962:  Nie rozumiem, nie rozumiem, co ta gra komunikuje.
6966:  Dobra, pytanie, czy tutaj byliśmy.
6969:  Wygląda na to, że nie.
6972:  Nie, byliśmy, wypoczywaliśmy nawet tam, ale... Tu jest wielkie koło jeszcze.
6983:  Nie mam pojęcia.
6984:  Po prostu do czerwonej drzwi mówicie.
6990:  Przejdźmy, BD-1.
6991:  Jesteśmy tutaj przed tobą.
6993:  Teraz sam.
7026:  Przecież to jest ten robot, którego miał Cassian Andor i on był przyjazny.
7031:  To już nie jest przyjazny.
7036:  Oczywiście, że nie mam.
7038:  Oczywiście, oczywiście, że nie mam apteczki.
7041:  Naturalnie, że nie mam.
7057:  Naprawdę, naprawdę zabije mnie droid.
7059:  No naprawdę mnie zabije droid.
7074:  Ten droid z Beskaru czy co?
7076:  Ja już przestałem nawet się denerwować na to, że nasz miecz nie przepławia wtedy, kiedy powinien przepławiać.
7083:  Imperialne druidy-strażnicy, znane także jako druidy-strażnicy z serii X. Nie, KX.
7089:  Wykorzystywane są głównie przez Imperium.
7090:  Te niebezpieczne specjalizujące się w walce w zwarciu maszyny wykorzystują połączenie olbrzymiej siły i niezwykłej odporności do obezwładnienia lub nieszkodliwienia wroga.
7097:  Nie tłumaczą nam, dlaczego jest odporne na miecze świetne.
7099:  Wyposażone są w kompletny osprzęt, łącznościowe zakłóczacze i szereg algorytmów taktycznych.
7107:  Na to wygląda, moim imieniem.
7111:  Ta gra byłaby nudna, gdyby miecz świetny miał tak działać.
7114:  Nie rozumiem, moi drodzy.
7116:  Dla mnie nie ma nic nudnego w zabijaniu wrogów, którzy są od nas o wiele słabsi.
7124:  Nie umiem rzucać agłuki, to jest smutne.
7141:  Imps?
7141:  Naprawdę?
7147:  Łuki są zbyt wychudzone jak dla mnie.
7152:  No dziwnie wyglądają, to prawda.
7157:  Musimy iść do piły.
7161:  Oczywiście, że drzwi są zamknięte z drugiej strony.
7163:  No naturalnie, naturalna sprawa.
7173:  To są łuki koszykarze.
7175:  Niestety nie da się dwa razy z nimi porozmawiać.
7177:  To jest zasmucające.
7179:  Może są wychudzone, bo w niewoli były.
7182:  Coś w tym jest.
7184:  Coś w tym jest, moi drodzy.
7189:  Ale ja i tak nie mam litości.
7193:  Dobrze.
7198:  Saul jest przed nami.
7199:  Musimy być blisko.
7202:  Bardzo mnie cieszy to, jak mamy dużo zdrowia, prawda?
7205:  Fajnie to wygląda, nie?
7218:  Ej, to się źle skończy.
7222:  Dlaczego, dlaczego tu jest kał?
7225:  Dlaczego, dlaczego jesteśmy w zbiorniku z kałem?
7236:  Przepraszam, co?
7237:  Jaki weakling?
7239:  Czy on nas strzela, czy nie strzela?
7241:  Okej.
7243:  O co zakład?
7245:  O co zakład, że jeżeli wpadniemy do tego kału... ...to zada on nam obrażenia?
7258:  Mi się przypomina twierdza.
7261:  W twierdzy też jak się wy... ...mućki...
7265:  Mućki wystrzeliwało trebuszem, to tak śmierdziały, że ludzie umierali.
7283:  Kompletnie mnie to nie zdziwiło.
7286:  Czy ja mogę dostawać jakieś checkpointy, czy nie wiem, czy coś, czy nie?
7292:  Od razu kałam, może to sok brzoskwiniowy.
7295:  Co jest bardziej prawdopodobne, że imperialni mieszają kał w kadziach czy sok brzoskwiniowy?
7303:  Przepraszam, gdzie ja jestem?
7306:  Co?
7310:  Nic nie rozumiem.
7312:  Co?
7318:  Zupa z dyni, tak.
7323:  A zupa z dyni ma... Przepraszam.
7327:  Jaki współczynnik prawdopodobieństwa?
7338:  Chciałbym... Chciałbym móc odbić chociaż jeden z tych.
7361:  Mieszają paliwo.
7365:  Nawet nie mówcie, że muszę uwolnić jeszcze raz mnie na takiej maszynie.
7386:  Żartujcie sobie w tym momencie.
7390:  Nie, to jest następny oddział łuki, który trzeba uwolnić.
7393:  Boże, jak ja się przeraziłem.
7395:  Ale łuki zginęli, znaczy zniknęli.
7399:  To jest olej silnikowy, mówicie.
7402:  Ja wciąż uważam, że jest to kał.
7405:  Dobrze, dobrze, jestem w nastroju do kompromisów.
7408:  Jest to kał brzoskwiniowy.
7410:  Albo dyniowy, jak wolicie.
7425:  O, i teraz strzela w ten sposób, dobrze.
7429:  Wszyscy?
7429:  Wszyscy.
7438:  Tak się kończy.
7439:  Tak się kończy walczenie z dżedajami.
7445:  BD-1?
7446:  W czym rzecz?
7447:  Przeciążenie.
7450:  Okej, teraz mieszamy brzoskwiniowy kał.
7453:  To jest kawa Starbucks.
7455:  Świetna reklama.
7461:  Okej.
7463:  Czy ja idę w dobrym kierunku?
7465:  Chyba tak.
7468:  Imperium lata statkami na ko... Imperium Atakowa Ziemia.
7471:  Absolutnie.
7476:  Skrzynkę tam mam?
7477:  Nie widziałem.
7479:  Ale ta skrzynka to są i tak jakieś bezużyteczne ulepszenia do miecza.
7484:  Po co mi ta skrzynka?
7489:  Nasz miecz i tak już jest piękny.
7492:  To znowu będzie bezużyteczne ulepszenie.
7494:  Ooo!
7503:  Darael pisze, że to jest sok z drzew życia przerabiany na materiały buchowe.
7506:  Czy tak jest naprawdę, Daraelu?
7508:  Dlaczego drzwi zawsze są zamknięte z drugiej strony?
7513:  Naprawdę zaczynam rozumieć Kylo Rena.
7515:  Nie sądziłem, że to kiedykolwiek powiem.
7517:  No i co ja mam z tym fantem zrobić?
7521:  Krzysztofa rozumiem, tylko drugi Krzysztof.
7523:  On by się przydał.
7523:  Pisałby równocześnie, jak ja teraz gram, artykuł naukowy.
