🔴 Somehow, Dachshund Returned | JEDI: SURVIVOR Livestream #1
🔗 https://www.youtube.com/watch?v=FPAyUrL6j2s

37:  Dzięki.
5046:  Czemu nie mogę sparować jak walczę z nimi tym mieczem, to mnie dziwi.
5056:  Ach, Olivia pisze, że to był sarkazm.
5059:  Ja autentycznie myślałem, widzisz, idealistycznie czasem i mnie się zdarza, że coś się zmieniło.
5065:  Ta gra cofnęła daleko, wiecie dlaczego?
5068:  Dlatego, że niestety nie odpaliłem tego skrótu, który miałem odpalić i to był błąd bardzo duży.
5074:  A to jest ten skrót.
5090:  Strasznie denerwuje mnie to, że nie mogę... Come on!
5103:  Dobrze.
5104:  Zdobyto moc i przywrócenie, świetnie.
5109:  Orientacja mapy, zielony tam byłeś, żółty tam masz iść.
5115:  Ta mapa jest tak nieczytelna, że...
5118:  że to się nie zmienia.
5119:  Pewne rzeczy, moi drodzy, w Jedi Survival nie zmieniuje się w Xen and Fallen Order.
5128:  Czerwony list pisze, że u nas na geografii był typ, który uczył na jednych zajęciach.
5132:  Spłakał się, że nauczyciele na niego naskarżyli do dyrektora, że nazywa homoseksualistów słowem na P. Aha.
5139:  No i ten dyrektor powinien za to go zwolnić tak od razu albo wysłać na przymusowe szkolenie.
5145:  Bo rozumiem, że wiecie, bierzemy byle kogo do stanu nauczycielskiego, bo są braki kadrowe, więc rozumiem, że byle kogo bierzemy, jasne.
5154:  Ale w takiej sytuacji przynajmniej bym wysłał na przymusowe szkolenie.
5156:  Oczywiście na jego własny koszt, żeby nie było.
5159:  I to wybrać takie, takie wiecie, takie dobre szkolenie wtedy.
5162:  Tak minimum 20 tysięcy od osoby.
5165:  Nie chcę przeoszczędzić.
5166:  O, a nie ma szkolenia?
5168:  Oj, przepraszam, to chyba musimy rozwiązać stosunek pracy.
5171:  Oj, złośliwy bym sobie poczynał.
5172:  Prawdopodobnie dlatego, bo byłbym wtedy dyrektorem przez jakąś godzinę.
5178:  Co robić podczas studiów, żeby przyjęli mnie na doktorat?
5180:  Byłabym bardzo wdzięczny za porady.
5181:  Maju, prosta sprawa, albo trudna.
5183:  To znaczy, bardzo Ci polecam jeżdżenie na konferencje, albo chodzenie na konferencje.
5186:  Teraz jest o tyle łatwiej, że można zdalnie.
5189:  I nawet jeżeli będziesz miała udział bierny, czyli po prostu pójdziesz na konferencje, będziesz słuchać rzeczy,
5195:  To i tak możesz zebrać za to zaświadczenie, za to się też dostaje stypendia ministra, oprócz tego warto mieć publikacje.
5201:  Publikacje zwykle się wiążą z konferencjami w naukach technicznych, więc ciężej je troszeczkę zdobyć, ale nie ma co się zniechęcać, warto wystartować z referatem na konferencje.
5210:  No i ostatnia rzecz, to są publikacje.
5212:  Te trzy rzeczy dają ci wstęp na doktorat.
5214:  A ściśle mówiąc, do szkoły doktorskiej, no tak to się teraz dziwnie nazywa.
5219:  Tu już byłem, tu już byłem.
5223:  W jakim kontekście nauczyciele od geografii mówią coś o orientacji seksualnej kogokolwiek, pisze Daniel Klein.
5227:  No to jest druga kwestia, prawda?
5229:  No po prostu niektórzy mają tak, moi drodzy, że oni potrzebują, mają taką silną potrzebę wyrażania swojego poglądu i światopoglądu i zapominają, że w szkołach nie ma po prostu na to miejsca i tyle.
5241:  Na uczelniach zresztą również, a to się bardzo często zdarza.
5247:  O ile się nie mylę, z małą mam być prawo pracy, gdyż koszt obowiązkowego szkolenia wymaganego od pracownika musi pokryć pracodawca.
5252:  No i widzicie, właśnie dlatego jest w naszym świecie tak, jak jest.
5256:  Nie można być złośliwym.
5258:  To jest smutne.
5259:  Uważam, że złośliwość by wiele problemów rozwiązywała.
5262:  Co się dzieje?
5262:  Czemu byśmy się cofnęli tutaj?
5264:  Możecie mi wyjaśnić, dlaczego nas cofnęło?
5266:  Gdzie mam teraz iść?
5267:  Coś... Nie wiem, co się dzieje, ale... ale mamy punkt umiejętności.
5276:  Homofobia jest, pisze Hauasakura.
5278:  Ostatnio mój chłopak, doświadczyliśmy jej, jedząc autobusem do galerii, nikt nie reagował.
5282:  O, nie oczekuj, że ktokolwiek będzie reagował.
5284:  Niestety w Polsce mamy bardzo dobrze rozwinięty ten syndrom patrzenia w bok.
5289:  Wiecie, trzy małpki z nipu.
5294:  Au.
5297:  Au.
5297:  Umiejętność.
5300:  Dobrze, miecz świetlny czy szmoc?
5304:  Oczywiście, że szmoc.
5305:  Szarpnięcie.
5306:  3 i 2, żeby przyciągnąć pobliskie grupy wrogów.
5309:  Zestrojenie.
5309:  Zwiększa maksymalną szmoc Kala.
5312:  Bierzemy zestrojenie, moi drodzy.
5314:  Musimy mieć maksymalną szmoc.
5317:  Kinoa, dziękuję ci serdecznie za wsparcie od 18 miesięcy.
5320:  Witajcie, arcymagoś, razikatepci.
5322:  Po przerwie niech szmoc będzie z tobą.
5324:  Najdłuższa ze szmocy.
5326:  Bojamnicza szmoc.
5328:  Aha.
5329:  Nie mamy już żadnych punktów umiejętności.
5332:  Dlaczego ktoś miałby reagować i samemu narażać się na atak?
5337:  Wiecie, no... Dlatego, że tak dużo ludzi mówi, jest jak jest.
5344:  Gdyby zareagowało więcej osób, to nie byłoby problemu, ale nie reaguje więcej osób, w związku z powyższym nie reaguje jedna, a nie reaguje jedna dlatego, że nie reaguje druga.
5352:  To jest prosty paradoks.
5354:  Dobrze, zaryzykuję, że tędy.
5358:  No na to wygląda, że, że, że tutaj, tak?
5362:  Jezus Maria, jak się tym źle steruje.
5366:  Wsparcie nawigacji.
5370:  Czym jest wsparcie nawigacji?
5373:  To przecież myśmy stąd przed sekundą zaskoczyli.
5377:  Głównie w gimnazjum przyjechali na lekcję o ideologii, a nauczyciel wymienił ideologię gender razem z nazizmem i komunizmem.
5383:  To jest kolejna rzecz, za którą się powinno zwolnić, ponieważ po pierwsze nie ma czegoś takiego jak ideologia gender.
5389:  Łatwo sobie przetłumaczyć to na język polski, to znaczy ideologia tożsamości płciowej brzmi troszeczkę głupio, a ideologia społeczno-kulturowego konstruktu płciowości brzmi jeszcze głupiej.
5401:  No.
5402:  Więc za szerzenie nieprawdy
5405:  Naukowiec, każdy, w tym i nauczyciel, powinien odpowiadać, przynajmniej swoim stanowiskiem.
5412:  Dobrze, zaryzykuję, że może tędy.
5415:  Bo tutaj nie byliśmy.
5417:  Aaa!
5418:  Aaa!
5419:  Może tędy!
5421:  Ja zawsze reaguję, piszę bardzo, że mam argument w postaci 190 centymetrów i 120 kilogramów wagi.
5427:  To jest dobry argument.
5428:  Michał Pańczyk, dzięki za wsparcie od 12 miechów.
5431:  Czy Cal ma poncho?
5433:  Ja mam nadzieję, że ma poncho, ponieważ i Amnestys zawsze miał poncho.
5438:  Dobrze, gdzie mamy ten kontakt?
5441:  Oho, jest echo, moi drodzy.
5442:  Wsłuchajmy się w echo.
5443:  Cześć, Aura, witaj serdecznie.
5445:  Skinny Pete, witajcie.
5456:  120 kilo to jest konkret.
5460:  Dla zasady, bo tak należy, te powody wystarczają do reagowania, pisze Maciej.
5463:  Super, propsuje.
5465:  Słuchajcie, Oliwia ma argument dla nas, który jest absolutnie kładący.
5469:  W jaki sposób nauczyciele mają być empatyczni, jak nie mają do tego podręcznika metodycznego?
5476:  Przyznaję, wszystkie argumenty mam wytrącone z rąk.
5480:  Kama Greenberg, dzięki za trybut.
5481:  Szanuję bardzo za każdą wzmiankę o szmocy.
5483:  Szmoc najlepsza, moi drodzy.
5485:  I przeczesywanie pustyni.
5487:  Czemu nie mogę tu wejść?
5488:  Chcę tu wejść!
5491:  No i po co ja tutaj przyszedłem?
5493:  Zostałem ukarany za przyjście tutaj.
5496:  Jezus Maria, naprawdę się pogubiłem.
5499:  Więc każą nam co zrobić.
5506:  Okej, okej, okej, okej, okej.
5510:  Czy musimy iść do góry?
5513:  Chyba.
5516:  Do góry.
5521:  Otóż trzeba było wcisnąć spację po raz trzeci.
5523:  Dobrze, do góry to jest tędy.
5525:  Czy ja wreszcie zacznę rozpoznawać to?
5527:  Tak.
5528:  Chyba tak.
5532:  Do góry, dobrze.
5535:  Będzie zabawa z tą mapą?
5537:  Zawsze jest zabawa, moi drodzy, z mapą i ze mną.
5539:  Zawsze.
5541:  No i co?
5547:  Aaa, ja poszedłem tędy, a trzeba było iść tędy.
5552:  Co?
5556:  O rany boskie, przecież mnie te szpary wykończą!
5563:  Julek Szmajda, witam w gronie Trybutariuszy!
5564:  Dlaczego K2SO nas znowu zaatakował?
5567:  Konsolaczy PZ, zawsze PZ!
5568:  O Boże, drogi!
5572:  Dobra.
5575:  A masz.
5576:  Przestań, przestań, przestań.
5579:  Przecież, przecież wcisnąłem.
5585:  Jak śmiesz.
5587:  Usmakuj smocy.
5592:  Otóż to nie jest K2SO, tylko to jest...
5597:  K-400 albo K-405.
5600:  Ja już nic nie mówię.
5612:  Tu jest pasek postawy, coś w tym stylu Vancouver.
5614:  Hahaha!
5617:  Welcome in another episode of Fun with Maps!
5622:  Tak.
5627:  Otóż koktajl bananowy może być dobry, niesamowite.
5647:  Sandro, jak dotąd 90% śmierci jest od grawitacji.
5650:  Witaj serdecznie.
5652:  Czy czytałem zakąt, że na to mają?
5653:  Czy tak?
5653:  Sympatyczna fantazja.
5656:  Tylko tymi dwoma.
5659:  Chociaż się bardzo wolno rozwija.
5662:  Co masz na myśli, nowy chłopie?
5662:  Wygrałeś to na kredytach?
5664:  Kredyty nigdy się nie zgadzają.
5666:  No tak.
5666:  Mam córkę.
5667:  Chodź.
5668:  Będę miał sierżantki, które będą mogły mu pomóc.
5670:  Musi być ciężko uciec od niej.
5672:  Czy jej matka?
5672:  Uciekła.
5689:  Przepraszam.
5689:  Zabrałem dużo ludzi.
5690:  Więcej codziennie?
5691:  Zabrałeś jeszcze jednego?
5695:  Zrozumiemy.
5697:  To był sklep wokół Brocka.
5700:  Spędziłeś dużo czasu dla kogoś tak młodszego.
5706:  Tylko próbowałem przetrwać.
5716:  Julku, dzięki jeszcze raz za wsparcie.
5718:  Przyszła pora na wspieranie, pisze Julek Szymajda.
5719:  Serdeczne pozdrowienia ze słonecznego Aveiro, jeżeli dobrze czytam.
5723:  Dostaliśmy linkę do wspinaczki.
5725:  Możemy teraz mieć E, moi drodzy.
5729:  Ej, fajny!
5730:  Była taka linka w poprzedniej części?
5732:  Pingwiny z Madagaskaru to sztuka, absolutnie się zgadzam, uwielbiam.
5736:  Zwłaszcza Kowalskiego.
5738:  Czy ja mam jeszcze Kowalski Analysis, czy nie mam już?
5741:  Ojej, nie mam.
5743:  Muszę, muszę wreszcie nadrobić stream deck, bo po tym jak odpaliłem, znaczy przeniosłem się na nowego kompa, to straciłem oczywiście wszystkie ścieżki do muzyki na stream decku.
5754:  Nie mieliśmy o to linki, mówicie.
5756:  Aaa, proszę bardzo.
5757:  Proszę bardzo, to mi się podoba.
5760:  Lubię zmiany.
5767:  O nie, zagadka nielogiczna.
5769:  Muszę powiedzieć, że to bardzo dziwne, że na Kurusa wszędzie umieszczono takie rzeczy.
5782:  Ale ktoś najwyraźniej przewidział, że pewien Jedi będzie potrzebował wsparcia.
5787:  Czy czerwony lotos samoskiego czytałem?
5793:  Nie.
5793:  Okej.
5795:  Dobrze, nie idziemy w stronę czerwonego.
5805:  Czy ja po prostu mam spaść?
5807:  Czy ja po prostu mam spaść?
5810:  Otóż tak.
5812:  Return of the Yamnik, absolutnie.
5815:  Bez przerwy jesteśmy w tym samym miejscu, przecież ja się rozindyczę.
5822:  W końcu znam gość, to też Udiebia Kołalska, przecież to najlepszy pingwin.
5825:  Prawda, Pusienik?
5825:  Absolutnie.
5827:  Najlepszy film animowany, umieję jak wytresować yamnika, ale pierwsza część.
5830:  To są piękne filmy.
5832:  Czy mam jakieś umieję... umieję i nie mam.
5834:  Co to są postawy?
5837:  Aha.
5840:  Sanji wykorzystał wiadomość dla każdego wspierającego dostępną, a wspierał 14 miesięcy do tego, żeby napisać jamnik.
5847:  To jest najpiękniejsza rzecz, jaką można zrobić zawsze.
5851:  Zobacz, zaraz wejdzie w grogu mode.
5853:  Wiesz co, Mandolina, ja wiem, że masz grogu nawet wpisany w nick, ale strasznie rozczarowujący był koniec i finał zarazem, finałowy odcinek.
5864:  Bo chyba nie będzie już tego serialu, Mandalorianina.
5866:  Był tak rozczarowujący, że nawet nie zrobiłem recenzji.
5869:  To znaczy, stwierdziłem, że byłbym tak samo zrezygnowany, jak w przypadku Andorra.
5873:  Nic się nie dowiedzieliśmy o Grogu.
5875:  Poza tym, zrobili z niego po prostu zabawkę, która ma tylko popiskiwać i być cute, nic więcej.
5881:  Strasznie smutne, a tam był taki potencjał w tej historii.
5884:  Majłożnik ze wsparcie od 19 miesięcy.
5886:  Podpalony, cóż mnie ominęło?
5887:  Wiele, trzy ćwierci do jamniczej śmierci mianowicie.
5892:  To cię ominęło.
5893:  Będzie czwarty sezon?
5894:  Tak?
5896:  Ach, to dlatego.
5897:  Ja byłem przekonany, że to jest trzeci.
5901:  Pandor Super?
5901:  Noooo...
5904:  Do pewnego momentu tak, od pewnego momentu nie.
5906:  To znaczy, wiecie kiedy by Andor był rewelacyjnym serialem?
5909:  Kiedy byłoby całkowicie pominięty wątek brzeczonego Cassiana Andora, a w zamian żebyśmy mieli postać graną przez Andiego Serkisa i wyrwanie się z więzienia imperialnego.
5920:  To byłby serial idealny dla mnie wtedy.
5922:  Szczęśliwej jamnikówki dzięki No One i dzięki za wsparcie od 8 miesięcy.
5927:  Dobrze, moi drodzy, tu jacyś wrogowie.
5930:  Zabijmy ich wszystkich.
5936:  Czy myśmy ich już nie zabijali?
5938:  Co tu się znowu dzieje?
5939:  Czy myśmy ich już nie zabijali?
5940:  Mam wrażenie, że myśmy ich już zabijali.
5945:  Myśmy ich już zabijali, tak, tak było.
5954:  Myśmy ich już zabijali, tak.
5962:  Dobra, nauczę się przynajmniej odbijać tego.
5968:  A może nie?
5972:  Przestań.
5976:  Dziwne, że tu się dzieją.
5980:  Ostatni odcinek The Mandalorian był tak zły, że nawet nie odpala mi się, nie jestem w stanie go obejrzeć przez Szymon.
5984:  Czyli nie jestem sam.
5986:  Nie był bardzo rozczarowujący.
5989:  Dobrze, moi drodzy, dobrze.
5991:  Gdzie idziemy?
5992:  Otóż mamy pójść tutaj.
5993:  Tu podobno coś się dzieje.
5996:  Czy ja dobrze patrzę, że to w tę stronę?
5998:  Nie, no nie w tę stronę.
5999:  W tę stronę!
6000:  Aaa, linka!
6002:  Jezus Maria, Jezus Maria!
6005:  Przecież... Aaa!
6013:  Chociaż ta linka, powiem wam, wiele ułatwia.
6017:  Mam nadzieję, że można jej będzie używać swobodnie, a nie tylko w kontekstowych sytuacjach.
6022:  Czy jest jakaś gra, w której AI kompletnie nie ignoruje naszego towarzysza, nie idzie jak głupia prostona gracza?
6030:  Mam wrażenie... Mam wrażenie, że tak było w turówkach typu Divinity Original Sin, nie?
6037:  Bo tam nasi towarzysze byli bardzo często targetowani, zwłaszcza jeżeli byli healerem.
6045:  Chaty piszą jeszcze Spheer i Spiderman.
6047:  Oczywiście, że nie będzie można używać linii.
6049:  Wiedziałem, Ethereum.
6050:  Wiedziałem, że tak będzie.
6053:  O, był spadek klatkażu.
6057:  I na granicach lokacji są spadki, ale wiecie co, tak patrzę, a między 40 a 60 fpsów jest cały czas, a czasem skacze do 90.
6065:  Więc jest rzeczywiście rozchwiany ten klatkarz.
6069:  Mam nadzieję, że to naprawią, więc jeżeli to jest nad moje 40 i 90, no to spodziewam się, że inni gracze PC-towi mogą mieć ciężkie życie.
6076:  Czy widziałeś teaser trzeciego sezonu Wiedźmina z kostiumami z H&M?
6080:  Tak.
6080:  Już mogę wam powiedzieć, że zrobimy sobie to samo przy Wiedźminie, co zrobiliśmy przy Rings of Power.
6084:  Będziemy sobie robili streamy, na których będziemy szydzić z serialu.
6088:  No nic innego nie zasługuje.
6089:  Potisa!
6090:  Potisa!
6093:  Że ci goście to klony?
6094:  Pojęcia nie mam.
6095:  Hey, ja chcę to wyciągnąć.
6100:  Hej, Cap, jeśli umrzesz, to ja dostanę Mantis, prawda?
6104:  Przepraszam, Gabby, ale nie moja kolej.
6105:  No, co to za krasa?
6106:  Ten samolot jest na nasz rynku.
6107:  Senat ma militarną inteligencję na swoim personalnym terminalu tutaj.
6112:  Mógłby nam dać szansę walczyć przeciwko Empire.
6113:  Problem jest, że kapitał zapewnił nam drzwi.
6120:  Nawet twój twórca nie może otworzyć tych złych chłopaków.
6122:  Jak się z nimi złożymy?
6125:  Jeśli chłopaki złożą samochód, Jeb Pack, to zróbmy moją magię Slicer.
6130:  Z moją kochanyą pomogącą.
6132:  Zrobimy to.
6142:  MondaysEe pisze, że ma do napisania 5000 słów retrospective.
6146:  Czym jest retrospective?
6147:  Poza tym, że to jest retrospektywa i nie mam zielonego pojęcia, w jakim kontekście może być to użyte w kreatywnym pisaniu.
6155:  Dla mnie retrospekcja zawsze to jest sytuacja, w której przytaczamy przeszłe wydarzenia z perspektywy jakiejś fabuły, która się toczy, ale z gatunkiem takim jak retrospektywa nie spotkałem się.
6168:  Czy to jest ten jacht?
6170:  Wygląda podobnie.
6173:  Ja tutaj czegoś nie pomijam.
6176:  Ale wiesz co?
6177:  Ci polecam MondayZee.
6179:  Użyj czata GPT, ale 4 albo 3,5.
6181:  Iii... Może się zainspirujesz.
6186:  No, jest muzyka w tej grze.
6187:  No, Fantores, cóż mogę powiedzieć?
6188:  No, John Williams to to nie komponował, nie?
6198:  Tutaj możemy porozmawiać.
6205:  Da stuka miśka laka, absolutnie.
6208:  Miśka stuka laska, tak właśnie.
6210:  Absolutnie tak było.
6219:  Jak dotąd chyba jedna śmierć była tylko w trakcie walki, nie?
6223:  Tak mi się coś wydaje.
6227:  Ja wiem, moi drodzy, po prostu.
6229:  My cały czas walczymy z Lordem Gravitronem.
6234:  Aha.
6242:  Aha.
6242:  Aha.
6243:  Muszę powiedzieć, że muskulatura Yamnestisa budzi podziw.
6250:  Dwie wyśmierci były w walce, mówicie?
6252:  Okej.
6256:  Zabitego z jetpackiem mógł odbierz.
6258:  Właśnie, Kingo, tak.
6260:  To była by opcja.
6261:  Aha.
6268:  Czyli nie możemy tego po prostu zniszczyć.
6270:  Jaka olbrzymia szkoda.
6273:  Co to GPT pisze?
6274:  Niega.
6274:  Przynajmniej pomaga zaprojektować stację badawczą na 2 km pod wodą.
6277:  Świetna zabawa.
6278:  W ogóle jest, moi drodzy... Jezus, czy ja pamiętam, jak to się nazywa?
6282:  Bo jest nowe, fajne AI.
6283:  Znaczy, nowe, nowe jak nowe.
6285:  Ale żebym ja znalazł, jak to się nazywało.
6288:  Boże, coś Labs.
6291:  To nie jest... Może to jest Labs Open AI?
6293:  Nie pamiętam.
6294:  Nie, to nie jest to.
6296:  Najpierw się zniszczyłeś, Gabsy.
6297:  Czy możesz opowiedzieć przyjaciółom, że zniszczyłeś jokę?
6322:  Czy retrospekcją jest to, że kiedy film zaczyna się od katastrofy, a potem film pokazuje, jak do tego doszło?
6326:  To jest odwrotność, Karolitko, to jest prospekcja.
6329:  Jak wyprzedzasz wydarzenie, pokazujesz wydarzenie późniejsze i później fabuła zaczyna się od, nie wiem, 20 lat wcześniej, tak?
6338:  Czy coś takiego.
6339:  No więc to 20 lat wcześniej było retrospekcją, a to wcześniej było prospekcją.
6348:  MondayZee pisze, że to jest retrospective w ramach trzeciego roku uniwerku odnośnie wrażeń z projektu drużynowego.
6352:  Aaa!
6353:  Animowaliśmy dwuminutowy shot przez trzy miesiące.
6356:  W ogóle, kurs się bardzo podobał.
6358:  Jestem w United Kingdom, a nie w Polsce.
6359:  To wiele wyjaśnia.
6361:  To wiele wyjaśnia.
6363:  Czy widziałeś, jak gościu zaprezentowały czat GPT-2 Skyrima w VR?
6366:  Nieee.
6367:  Ej, ale wy nie znacie, wy nie znacie tego AI-a.
6371:  Czekajcie, szybko sprawdzę.
6374:  Muszę tylko to zrobić off-stream, bo muszę wejść do Nuclino, a wiadomo, nazwiska studentów i te sprawy, bo to było genialne to, co zrobili.
6383:  Może ja to znajdę.
6385:  To byłoby piękne i cudowne.
6387:  A jest to po prostu cudowny, wspaniały, świetny... świetne narzędzie.
6394:  Jezus tak, Skybox Lab znalazłem.
6398:  To się, moi drodzy, nazywa...
6404:  Blockade Labs.
6406:  Tak się nazywa to narzędzie AI-owe.
6408:  I teraz jest wciąż dostępne jeszcze za darmo, więc póki jest dostępne za darmo, to korzystajcie.
6414:  Zaraz Wam wkleję link do tego, jak zawsze.
6417:  A teraz jeszcze...
6418:  przykład tego, co on potrafi stworzyć.
6420:  To jest coś, co stworzyli studenci na zajęcia światotwórcze, które miałem, bo potrzebowali sobie zwizualizować jedną lokację, nie?
6427:  I to jest w 100% stworzone za pomocą prompta Studio Ghibli Vibe Village on Island.
6432:  Więc jak jeszcze mówiłem jakiś czas temu, że no, AI nie tworzy środowisk 3D, to
6442:  tworzy.
6444:  Polecam wam, mega bawienie się tym, super sprawa.
6448:  Już wam wklejam linka, Blockade Labs.
6451:  Śpieszmy się korzystać z AI, póki jest darmowe, nie?
6456:  Bo zaraz nie będzie.
6459:  Nie, studenci robią niesamowite rzeczy.
6461:  Teraz to jest potężne narzędzie do zajęć, nie?
6463:  Bo wyobraźmy sobie, że robimy jakąś lokację i chcemy sobie szybko zwizualizować i można to zrobić i nie trzeba opisywać.
6470:  Cudowna absolutnie sprawa, nie?
6475:  Za to czat z Binga.
6476:  Ostatnio zmyślał tytuły artykułu i podał fejkowe linki do nich.
6478:  O, czyli też zaczął to robić.
6479:  Ciekawe.
6481:  Muszą wprowadzić jakieś blokady przeciwko fake newsom w Bingu.
6492:  Ale muzyka rzeczywiście jest taka generyczna, nie?
6493:  To jest tak zwana muzyka ilustracyjna.
6500:  Ale mi się podoba ten płynny system przechodzenia za to.
6504:  Cudowne.
6509:  Lord Gravitron, zły jamnik, tylko dobry jamnik może pokonać zły jamnik.
6515:  Wracając do Horizon Zero Dawn, koło obchodzi seksualność innej osoby, tym bardziej, jeżeli to jest postać w grze.
6519:  No, jak widać, dużo ludzi.
6521:  Jest to dla mnie zdumiewające, więc wiecie... Haha, można byłoby odwrócić argumentację, prawda?
6526:  Często ludzie mówią, że o, Netflix się tylko interesuje w marketingu osobami czarnoskórymi i seksualnością.
6533:  Eee... A ty co robisz?
6537:  Aaa, więc to jest niestety sprzężenie zwrotne.
6541:  Dlatego, póki ludzie się będą na to łapać, puty, cyniczni marketingowcy, producenci będą to wykorzystywać.
6546:  Prosta sprawa.
6547:  Gdzie mam iść?
6551:  O, wszystko wskazuje, że w tę stronę.
6554:  Może ja mam wskoczyć na tę rurę, ale ja się boję.
6559:  Mmm... Mapa.
6562:  Aha.
6563:  Otóż nie mam wskoczyć na tę rurę.
6565:  Widzicie?
6566:  Dobrze, że to zrobiłem.
6573:  Aaa!
6576:  I co teraz?
6577:  What now?
6579:  Tędy.
6583:  Super.
6583:  Gierka kinowe.
6584:  23 fps.
6585:  Można się poczuć jak w filmie.
6586:  Jakaś recenzja Jedi Survival.
6590:  Szczerze?
6591:  Ani razu mi nie skoczyło na 20 fpsów.
6593:  W tej kinie mamy 50.
6595:  A mam włączone ultra na wszystko.
6598:  Włączcie z ray tracingiem.
6605:  R. Pakowanie, tak.
6608:  Moi drodzy, jesteśmy na jachcie.
6610:  Teraz się możemy poczuć jak prawdziwi senatorowie na Coruscant.
6616:  Fabularnie tutaj się znajdzie jedną skrzynkę na steampack, więc zacząć się rozglądać.
6619:  Uuuu, hao, dzięki za info.
6622:  Ej, to może to jest tędy?
6627:  Dobra, teraz jestem zaniepokojony.
6632:  Tu są jakieś, tu są jakieś zielone rzeczy, z których nie skorzystaliśmy jeszcze.
6636:  Mówicie, żeby skakać.
6638:  A jednak.
6639:  A jednak.
6640:  A jednak.
6642:  Dobra, dobra, dobra, stop.
6647:  Czarnoskóra Kleopatra?
6649:  Ani zimbie mnie, ani grzeje.
6650:  To nie jest fantasy, wiesz, proszę mi, tak tego nie obejrzę.
6654:  Myślę, że Rysław bardzo dobrze to skomentował na bez schematu, to znaczy, że... ...jeżeli by nie reklamowali tego jako dokument historyczny, to mogliby sobie zrobić wszystko, co chcą, a ponieważ zaczęli, to się sami wkopali.
6670:  Dobrze.
6672:  Nie będę skakać, moi drodzy.
6676:  Czy oni chcą z nami rozmawiać?
6677:  Kobr.
6677:  Patisa!
6682:  Altisa to jest żona Pattinsona, albo to jest wersja żeńska Pattinsona.
6689:  Jeżeli na najlepszej możliwej konfiguracji gra jest poniżej 60 FPS-ów, to jednak nie jest dobrze.
6693:  Ale ja absolutnie nie twierdzę, że to jest dobrze.
6695:  Twierdzę tylko, że jeżeli ktoś uważa, że w 2023 roku, w pierwszym dniu działania gry, będzie mieć pełne 120 FPS-ów i zero bugów, to nie rozumiem, w jaki sposób funkcjonują obecne patologiczne modele dystrybucyjne.
6711:  Also, zacząłem troszeczkę łagodniej na to patrzeć, odkąd pogadałem z devami na temat tego, no jak wiele w tym momencie systemów trzeba projektować gry, bo pamiętajcie, że jest spora część graczy, którzy grają wciąż na 1060GTX i to jest bardzo dobra karta graficzna.
6725:  No i twórcy starają się odpowiedzieć na to, że projektują gry i dla tych, i dla tych, więc to jest pełne spektrum.
6731:  Efektywnie projektuje się na jakieś kilkadziesiąt konfiguracji w tej chwili sprzętowych.
6735:  EA i tak nie ma nic do usprawiedliwienia.
6736:  Małe studia mogą, natomiast EA należy rozliczać i absolutnie uważam, że tę grę należy kupić trzy miesiące po premierze.
6745:  Bawię się tym Skybox Lab, pisze Nolan, przecież to jest przegranialne.
6748:  Prawda?
6749:  Super sprawa.
6752:  Rychu.pl też pisze, że ta EA umie stworzyć piękne rzeczy, no.
6759:  Maciek, GTX 1060 miałbym do dzisiaj, gdybym je streamował.
6762:  Taka jest prawda.
6762:  Nie przeszkadzała mi w ogóle.
6764:  Dobra, zobaczmy, moi drodzy, co będzie dalej.
6768:  Aaa, i kto?
6771:  Oj, oj, oj, oj, oj.
6773:  Biedny senatorek.
6775:  Zapi, zapi, zapi.
6778:  Zapi.
6779:  Zapi.
6788:  Ciemna strona siły jest drogą do wielu umiejętności, które niektórzy uważają za nienaturalne.
6799:  Będziesz dał mi dostęp do twojego terminala.
6806:  Nie mogę.
6807:  Zamontuj go i będziesz załatwiony.
6809:  Będę załatwiony.
6810:  Zamontuję terminal.
6815:  Głupi polityk.
6817:  Tak łatwo nimi manipulować.
6819:  Cóż może chcieć polityk?
6821:  Władzia albo pieniądze.
6822:  Och, tak jesteś potężny.
6826:  To nie jest moc ciemnej strony?
6829:  Ciii... Ciii...
6836:  Ciemna strona mogła smażyć mózgi.
6838:  Był taki rytuał ciemnej strony.
6840:  Kilkunastu Sithów mogło wpłynąć na zmiany w postrzeganiu rzeczywistości i nawet wtrącić świadomość Jedi czy ludzi do Limbo.
6853:  Straszny rytuał, ale chyba nie jest kanoniczny.
6858:  Co się spodziewałeś?
6859:  Zgubiłeś się.
6860:  Republika jest śmierdząca.
6862:  Zabity przez polityków tak samo jak ty.
6865:  Myślisz, że chciałem, żeby Utapau włączył się w Imperium?
6868:  Kompromisy, które zrobiłem, stworzyły przyszłość dla mojego ludu.
6872:  Byłem w Utapau, senatorze.
6874:  Oni wyrażają twoje imię jak krzywdę.
6876:  Najlepiej, że żyją.
6879:  Czemu walczyć, kiedy nie możesz wygrać?
6887:  Ola pisze, że każdy ruch tego płaszcza ją absolutnie rozwala.
6889:  Jest to prawda.
6893:  A teraz wszyscy będą grać w Empire at War.
6896:  Na tym pięknym hologramie.
6900:  Oooo...
6910:  Będą wiedzieli, że Jedi nigdy nie przestały się walczyć za nich.
6918:  Jaki zaskakująco naiwny.
6919:  Czemu on go nie zabił?
6921:  Zróbmy to, zanim będziemy mieli kolejny wydarzenie Corita w rękach, tak?
6924:  A co z nim?
6924:  Idzie z nami.
